sequence,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Je07IvhFxcBTeB?GiBllBasBXrB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Je07IvhFxcBTeB?CiBllBOsBXrB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8JeX8IvhF6iBTeB?+mBZnBllB0qB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Je07IvhF6iBTeB?+mBZnBllBXrB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Jel7IvhFGdBTeB?ZmBUiB6qBfsB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Jem7IvhFRdBSjB?1lBUiBfsBzqB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Je07IvhFxdBzhB?CjBllBmrBXrB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8JeX8IvhFxdBzhB?CjBllBmrB0qB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8JeT8IvhFGeB3iB?llBcrBZnB6qB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Jel7IvhFGeBylB?RiBUiBfsBzqB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Je5BJvhFTeBylB?cnBfrBOsBlqB,v115@zgB8HeC8GeB8FeE8DeF8BeA8AeC8Jel7IvhFGeB3iB?xlB0mBzqBasB
ITZSJLO,X,X,X,X,O,X,X,X,X,X,X,X
ITZSJOL,X,X,X,X,O,X,X,X,X,X,X,X
ITZSOLJ,O,X,X,X,O,X,X,X,X,X,X,X
ITZSOJL,O,O,X,X,O,X,X,X,X,X,X,X
ITZOLJS,O,O,X,X,X,X,X,X,X,X,X,X
ITZOLSJ,O,X,X,X,X,X,X,X,X,X,O,X
ITZOJLS,O,O,X,O,X,X,X,X,X,X,X,X
ITZOJSL,O,O,X,O,X,X,X,X,X,X,X,X
ITZOSLJ,O,X,X,X,O,X,X,X,X,X,X,X
ITZOSJL,O,O,X,X,O,X,X,X,X,X,X,X
ITOLJSZ,O,X,O,O,O,X,X,X,X,O,X,O
ITOLJZS,O,X,O,O,X,X,X,X,X,O,X,X
ITOLSJZ,X,X,X,X,O,X,X,X,X,O,X,O
ITOLSZJ,X,X,X,X,O,X,X,X,X,O,X,O
ITOLZJS,O,X,X,X,X,X,X,X,X,O,X,X
ITOLZSJ,O,X,X,X,O,X,X,X,X,X,O,X
ITOJLSZ,X,O,O,O,X,X,X,X,X,O,X,O
ITOJLZS,O,O,O,O,X,X,X,X,X,O,X,X
ITOJSLZ,X,X,O,O,X,X,X,X,X,X,X,O
ITOJSZL,O,X,O,O,O,X,X,X,X,X,X,O
ITOJZLS,O,O,O,O,X,X,X,X,X,X,X,X
ITOJZSL,O,O,O,O,X,X,X,X,X,X,X,O
ITOSLJZ,X,X,X,X,X,X,X,X,X,X,X,O
ITOSLZJ,X,X,X,X,O,X,X,X,X,X,X,O
ITOSJLZ,X,X,O,X,X,X,X,X,X,X,X,O
ITOSJZL,X,X,O,X,O,X,X,X,X,X,X,O
ITOSZLJ,X,X,X,X,O,X,X,X,X,X,X,O
ITOSZJL,X,X,X,X,O,X,X,X,X,X,X,O
ITOZLJS,O,O,X,X,X,X,X,X,X,X,X,X
ITOZLSJ,O,X,X,X,X,X,X,X,X,X,O,X
ITOZJLS,O,O,X,O,X,X,X,X,X,X,X,X
ITOZJSL,O,O,X,O,X,X,X,X,X,X,X,O
ITOZSLJ,O,X,X,X,O,X,X,X,X,X,X,O
ITOZSJL,O,O,X,X,O,X,X,X,X,X,X,O
ILTJSZO,O,X,O,O,O,O,X,X,X,O,X,X
ILTJSOZ,O,X,O,O,O,O,X,X,X,O,X,X
ILTJZSO,O,X,O,O,X,O,X,X,X,O,X,X
ILTJZOS,O,X,O,O,X,X,O,X,X,X,X,X
ILTJOSZ,O,X,O,O,O,O,O,O,X,O,X,X
ILTJOZS,O,X,O,O,X,X,O,O,X,X,X,X
ILTSJZO,X,X,X,X,O,O,X,X,X,O,X,X
ILTSJOZ,X,X,X,X,O,O,X,X,X,O,X,X
ILTSZJO,X,X,X,X,O,O,X,X,X,O,X,X
ILTSZOJ,X,X,X,X,O,O,X,X,X,X,X,X
ILTSOJZ,X,X,X,X,O,O,X,X,X,O,X,X
ILTSOZJ,X,X,X,X,O,X,X,X,X,X,X,X
ILTZJSO,O,X,X,X,X,O,X,X,X,O,X,X
ILTZJOS,O,X,X,X,X,X,O,X,X,X,X,X
ILTZSJO,X,X,X,X,O,X,X,X,X,X,O,X
ILTZSOJ,O,X,X,X,O,X,X,X,X,X,O,X
ILTZOJS,O,X,X,X,X,X,X,X,X,X,X,X
ILTZOSJ,O,X,X,X,O,X,X,X,X,X,O,X
ILTOJSZ,O,X,O,O,O,O,X,X,X,O,X,X
ILTOJZS,O,X,O,O,X,O,X,X,X,X,X,X
ILTOSJZ,X,X,X,X,O,O,X,X,X,X,X,X
ILTOSZJ,X,X,X,X,O,X,X,X,X,X,X,X
ILTOZJS,O,X,X,X,X,O,X,X,X,X,X,X
ILTOZSJ,O,X,X,X,O,X,X,X,X,X,O,X
ILJTSZO,O,X,O,O,O,O,X,X,X,O,X,X
ILJTSOZ,O,X,O,O,O,O,X,X,X,O,X,X
ILJTZSO,O,X,O,O,X,O,X,X,X,O,X,X
ILJTZOS,O,X,O,O,X,X,O,X,X,X,X,X
ILJTOSZ,O,X,O,O,O,O,O,O,X,O,X,X
ILJTOZS,O,X,O,O,X,X,O,O,X,X,X,X
ILJSTZO,O,X,O,O,O,O,X,X,X,O,X,X
ILJSTOZ,O,X,O,O,O,O,X,X,X,O,X,X
ILJSZTO,O,X,X,X,O,X,X,X,X,O,X,X
ILJSZOT,O,X,O,X,O,X,X,X,X,X,X,X
ILJSOTZ,O,X,O,O,O,X,O,O,X,O,X,O
ILJSOZT,O,X,O,X,O,X,X,O,X,O,X,O
ILJZTSO,X,X,O,O,X,O,X,X,X,O,X,X
ILJZTOS,O,X,O,O,X,X,X,X,X,X,X,X
ILJZSTO,O,X,X,X,X,X,X,X,X,X,O,X
ILJZSOT,O,X,O,X,X,X,X,X,X,X,O,X
ILJZOTS,O,X,O,O,X,X,O,O,X,X,X,X
ILJZOST,O,X,O,X,X,X,X,O,X,X,O,X
ILJOTSZ,O,X,O,O,O,O,O,O,X,O,X,X
ILJOTZS,O,X,O,O,X,O,O,O,X,O,X,X
ILJOSTZ,O,X,O,O,O,X,O,O,X,O,X,X
ILJOSZT,O,X,O,X,O,X,X,O,X,X,X,X
ILJOZTS,O,X,O,O,X,X,O,O,X,O,X,X
ILJOZST,O,X,O,X,X,X,X,O,X,X,O,X
ILSTJZO,O,X,X,X,O,O,X,X,X,O,X,X
ILSTJOZ,O,X,X,X,O,O,X,X,X,O,X,X
ILSTZJO,O,X,X,X,O,O,X,X,X,O,X,X
ILSTZOJ,O,X,X,X,O,O,X,X,X,X,X,X
ILSTOJZ,O,X,X,X,O,O,X,X,X,O,X,X
ILSTOZJ,O,X,X,X,O,X,X,X,X,X,X,X
ILSJTZO,O,X,O,O,O,O,X,X,X,O,X,X
ILSJTOZ,O,X,O,O,O,O,X,X,X,O,X,X
ILSJZTO,O,X,X,X,O,X,X,X,X,O,X,X
ILSJZOT,O,X,O,X,O,X,X,X,X,X,X,X
ILSJOTZ,O,X,O,O,O,X,O,O,X,O,X,O
ILSJOZT,O,X,O,X,O,X,X,O,X,O,X,O
ILSZTJO,X,X,X,X,O,O,X,X,X,O,O,X
ILSZTOJ,O,X,X,X,O,O,X,X,X,X,O,X
ILSZJTO,O,X,X,X,O,O,X,X,X,O,O,X
ILSZJOT,O,X,X,X,O,O,X,X,X,X,O,X
ILSZOTJ,O,X,X,X,O,O,X,X,X,X,O,X
ILSZOJT,O,X,X,X,O,O,X,X,X,X,O,X
ILSOTJZ,O,X,X,X,O,O,X,X,X,O,X,O
ILSOTZJ,O,X,X,X,O,X,X,X,X,O,X,O
ILSOJTZ,O,X,O,O,O,X,X,X,X,O,X,O
ILSOJZT,O,X,O,X,O,X,X,X,X,O,X,O
ILSOZTJ,O,X,X,X,O,O,X,X,X,O,O,O
ILSOZJT,O,X,X,X,O,O,X,X,X,O,O,O
ILZTJSO,X,X,X,X,X,O,X,X,X,O,X,X
ILZTJOS,X,X,X,X,X,X,O,X,X,X,X,X
ILZTSJO,X,X,X,X,O,X,X,X,X,X,O,X
ILZTSOJ,X,X,X,X,O,X,X,X,X,X,O,X
ILZTOJS,O,X,X,X,X,X,X,X,X,X,X,X
ILZTOSJ,X,X,X,X,O,X,X,X,X,X,O,X
ILZJTSO,X,X,O,O,X,O,X,X,X,O,X,X
ILZJTOS,O,X,O,O,X,X,X,X,X,X,X,X
ILZJSTO,X,X,X,X,X,X,X,X,X,X,O,X
ILZJSOT,O,X,O,X,X,X,X,X,X,X,O,X
ILZJOTS,O,X,O,O,X,X,O,O,X,X,X,X
ILZJOST,O,X,O,X,X,X,X,O,X,X,O,X
ILZSTJO,X,X,X,X,O,O,X,X,X,X,O,X
ILZSTOJ,X,X,X,X,O,X,X,X,X,X,O,X
ILZSJTO,X,X,X,X,O,X,X,X,X,X,O,X
ILZSJOT,X,X,X,X,O,X,X,X,X,X,O,X
ILZSOTJ,X,X,X,X,O,X,X,X,X,X,O,X
ILZSOJT,O,X,X,X,O,X,X,X,X,X,O,X
ILZOTJS,O,X,X,X,X,O,X,X,X,X,X,X
ILZOTSJ,X,X,X,X,O,X,X,X,X,X,O,X
ILZOJTS,O,X,O,O,X,X,X,X,X,X,X,X
ILZOJST,O,X,O,X,X,X,X,X,X,X,O,X
ILZOSTJ,X,X,X,X,O,X,X,X,X,X,O,X
ILZOSJT,O,X,X,X,O,X,X,X,X,X,O,X
ILOTJSZ,O,X,O,O,O,O,X,X,X,O,X,X
ILOTJZS,O,X,O,O,X,O,X,X,X,O,X,X
ILOTSJZ,X,X,X,X,O,O,X,X,X,O,X,X
ILOTSZJ,X,X,X,X,O,O,X,X,X,X,X,X
ILOTZJS,O,X,X,X,X,O,X,X,X,O,X,X
ILOTZSJ,O,X,X,X,O,X,X,X,X,X,O,X
ILOJTSZ,O,X,O,O,O,O,O,O,X,O,X,X
ILOJTZS,O,X,O,O,X,O,O,O,X,O,X,X
ILOJSTZ,O,X,O,O,O,X,O,O,X,O,X,X
ILOJSZT,O,X,O,X,O,X,X,O,X,X,X,X
ILOJZTS,O,X,O,O,X,X,O,O,X,O,X,X
ILOJZST,O,X,O,X,X,X,X,O,X,X,O,X
ILOSTJZ,O,X,X,X,O,O,X,X,X,O,X,X
ILOSTZJ,O,X,X,X,O,X,X,X,X,X,X,X
ILOSJTZ,O,X,O,O,O,X,X,X,X,O,X,X
ILOSJZT,O,X,O,X,O,X,X,X,X,X,X,X
ILOSZTJ,O,X,X,X,O,O,X,X,X,X,O,X
ILOSZJT,O,X,X,X,O,O,X,X,X,X,O,X
ILOZTJS,O,X,X,X,X,O,X,X,X,O,X,X
ILOZTSJ,X,X,X,X,O,X,X,X,X,X,O,X
ILOZJTS,O,X,O,O,X,X,X,X,X,O,X,X
ILOZJST,O,X,O,X,X,X,X,X,X,X,O,X
ILOZSTJ,X,X,X,X,O,X,X,X,X,X,O,X
ILOZSJT,O,X,X,X,O,X,X,X,X,X,O,X
IJTLSZO,O,O,O,O,X,O,X,X,X,O,X,X
IJTLSOZ,O,O,O,O,X,O,X,X,X,O,X,X
IJTLZSO,X,O,O,O,X,O,X,X,X,O,X,X
IJTLZOS,O,O,O,O,X,X,O,X,X,X,X,X
IJTLOSZ,O,O,O,O,X,O,O,O,X,O,X,X
IJTLOZS,O,O,O,O,X,X,O,O,X,X,X,X
IJTSLZO,X,X,O,O,X,O,X,X,X,O,X,X
IJTSLOZ,X,X,O,O,X,O,X,X,X,O,X,X
IJTSZLO,X,X,O,O,O,O,X,X,X,X,X,X
IJTSZOL,O,X,O,O,O,O,X,X,X,X,X,X
IJTSOLZ,X,X,O,O,X,X,X,O,X,O,X,O
IJTSOZL,O,X,O,O,O,X,X,X,X,X,X,O
IJTZLSO,X,O,O,O,X,X,X,X,X,X,X,X
IJTZLOS,O,O,O,O,X,X,O,X,X,X,X,X
IJTZSLO,X,O,O,O,X,X,X,X,X,X,X,X
IJTZSOL,O,O,O,O,X,X,X,X,X,X,X,X
IJTZOLS,O,O,O,O,X,X,O,X,X,X,X,X
IJTZOSL,O,O,O,O,X,X,X,X,X,X,X,X
IJTOLSZ,O,O,O,O,X,X,O,O,X,O,X,O
IJTOLZS,O,O,O,O,X,X,O,O,X,O,X,X
IJTOSLZ,X,X,O,O,X,X,X,O,X,X,X,O
IJTOSZL,O,X,O,O,O,X,X,X,X,X,X,O
IJTOZLS,O,O,O,O,X,X,O,X,X,X,X,X
IJTOZSL,O,O,O,O,X,X,X,X,X,X,X,O
IJLTSZO,O,O,O,O,X,O,X,X,X,O,X,X
IJLTSOZ,O,O,O,O,X,O,X,X,X,O,X,X
IJLTZSO,O,O,O,O,X,O,X,X,X,O,X,X
IJLTZOS,O,O,O,O,X,X,O,X,X,X,X,X
IJLTOSZ,O,O,O,O,X,O,O,O,X,O,X,X
IJLTOZS,O,O,O,O,X,X,O,O,X,X,X,X
IJLSTZO,O,O,O,O,X,O,X,X,X,O,X,X
IJLSTOZ,O,O,O,O,X,O,X,X,X,O,X,X
IJLSZTO,O,O,X,X,X,X,X,X,X,O,X,X
IJLSZOT,O,O,O,X,X,X,X,X,X,X,X,X
IJLSOTZ,O,O,O,O,X,X,O,O,X,O,X,O
IJLSOZT,O,O,O,X,X,X,X,O,X,O,X,O
IJLZTSO,X,X,O,O,X,O,X,X,X,O,X,X
IJLZTOS,O,O,O,O,X,X,X,X,X,X,X,X
IJLZSTO,O,O,X,X,X,X,X,X,X,X,O,X
IJLZSOT,O,O,O,X,X,X,X,X,X,X,O,X
IJLZOTS,O,O,O,O,X,X,O,O,X,X,X,X
IJLZOST,O,O,O,X,X,X,X,O,X,X,O,X
IJLOTSZ,O,O,O,O,X,O,O,O,X,O,X,X
IJLOTZS,O,O,O,O,X,X,O,O,X,O,X,X
IJLOSTZ,O,O,O,O,X,X,O,O,X,O,X,X
IJLOSZT,O,O,O,X,X,X,X,O,X,X,X,X
IJLOZTS,O,O,O,O,X,X,O,O,X,O,X,X
IJLOZST,O,O,O,X,X,X,X,O,X,X,O,X
IJSTLZO,O,O,O,O,X,X,X,X,X,O,X,X
IJSTLOZ,O,O,O,O,X,X,X,X,X,O,X,X
IJSTZLO,O,O,O,O,O,X,X,X,X,X,X,X
IJSTZOL,O,O,O,O,O,X,X,X,X,X,X,X
IJSTOLZ,O,O,O,O,X,X,X,X,X,O,X,O
IJSTOZL,O,O,O,O,O,X,X,X,X,X,X,O
IJSLTZO,O,O,O,O,X,X,X,X,X,O,X,X
IJSLTOZ,O,O,O,O,X,X,X,X,X,O,X,X
IJSLZTO,O,O,X,X,X,X,X,X,X,O,X,X
IJSLZOT,O,O,O,X,X,X,X,X,X,X,X,X
IJSLOTZ,O,O,O,O,X,X,X,X,X,O,X,O
IJSLOZT,O,O,O,X,X,X,X,X,X,O,X,O
IJSZTLO,X,O,X,X,O,X,X,X,O,X,X,X
IJSZTOL,O,O,X,X,O,X,X,X,O,X,X,X
IJSZLTO,X,O,X,X,O,X,X,X,X,O,X,X
IJSZLOT,O,O,O,X,O,X,X,X,X,X,X,X
IJSZOTL,O,O,X,X,O,X,X,X,X,X,X,O
IJSZOLT,O,O,O,X,O,X,X,X,X,O,X,O
IJSOTLZ,O,O,O,O,X,X,X,X,X,O,X,O
IJSOTZL,O,O,O,O,O,X,X,X,X,X,X,O
IJSOLTZ,O,O,O,O,X,X,X,X,X,O,X,O
IJSOLZT,O,O,O,X,X,X,X,X,X,O,X,O
IJSOZTL,O,O,X,X,O,X,X,X,X,X,X,O
IJSOZLT,O,O,O,X,O,X,X,X,X,O,X,O
IJZTLSO,X,X,O,O,X,X,X,X,X,X,X,X
IJZTLOS,X,O,O,O,X,X,X,X,X,X,X,X
IJZTSLO,X,X,O,O,X,X,X,X,O,X,X,X
IJZTSOL,X,X,O,O,X,X,X,X,O,X,X,X
IJZTOLS,O,O,O,O,X,X,X,X,X,X,X,X
IJZTOSL,O,X,O,O,X,X,X,X,X,X,X,X
IJZLTSO,X,X,O,O,X,X,X,X,X,O,X,X
IJZLTOS,O,O,O,O,X,X,X,X,X,X,X,X
IJZLSTO,O,X,X,X,X,X,X,X,X,X,O,X
IJZLSOT,O,O,O,X,X,X,X,X,X,X,O,X
IJZLOTS,O,O,O,O,X,X,X,X,X,X,X,X
IJZLOST,O,O,O,X,X,X,X,X,X,X,O,X
IJZSTLO,X,X,X,X,X,X,X,X,O,X,X,X
IJZSTOL,O,X,X,X,X,X,X,X,O,X,X,X
IJZSLTO,X,X,X,X,X,X,X,X,X,O,X,X
IJZSLOT,O,O,O,X,X,X,X,X,X,X,X,X
IJZSOTL,O,X,X,X,X,X,X,X,X,X,X,O
IJZSOLT,O,O,O,X,X,X,X,X,X,O,X,O
IJZOTLS,O,O,O,O,X,X,X,X,X,X,X,X
IJZOTSL,O,X,O,O,X,X,X,X,X,X,X,X
IJZOLTS,O,O,O,O,X,X,X,X,X,O,X,X
IJZOLST,O,O,O,X,X,X,X,X,X,X,O,X
IJZOSTL,O,X,X,X,X,X,X,X,X,X,X,X
IJZOSLT,O,O,O,X,X,X,X,X,X,X,X,X
IJOTLSZ,O,O,O,O,X,X,O,O,X,O,X,O
IJOTLZS,O,O,O,O,X,X,O,O,X,O,X,X
IJOTSLZ,X,X,O,O,X,X,X,O,X,X,X,O
IJOTSZL,O,X,O,O,O,X,X,X,X,X,X,O
IJOTZLS,O,O,O,O,X,X,O,X,X,X,X,X
IJOTZSL,O,O,O,O,X,X,X,X,X,X,X,O
IJOLTSZ,O,O,O,O,X,X,O,O,X,O,X,O
IJOLTZS,O,O,O,O,X,X,O,O,X,O,X,X
IJOLSTZ,O,O,O,O,X,X,O,O,X,O,X,O
IJOLSZT,O,O,O,X,X,X,X,O,X,O,X,O
IJOLZTS,O,O,O,O,X,X,O,O,X,O,X,X
IJOLZST,O,O,O,X,X,X,X,O,X,X,O,X
IJOSTLZ,O,O,O,O,X,X,X,X,X,O,X,O
IJOSTZL,O,O,O,O,O,X,X,X,X,X,X,O
IJOSLTZ,O,O,O,O,X,X,X,O,X,O,X,O
IJOSLZT,O,O,O,X,X,X,X,O,X,O,X,O
IJOSZTL,O,O,X,X,O,X,X,X,X,X,X,O
IJOSZLT,O,O,O,X,O,X,X,X,X,O,X,O
IJOZTLS,O,O,O,O,X,X,X,X,X,X,X,X
IJOZTSL,O,X,O,O,X,X,X,X,X,X,X,O
IJOZLTS,O,O,O,O,X,X,X,X,X,O,X,X
IJOZLST,O,O,O,X,X,X,X,X,X,X,O,X
IJOZSTL,O,X,X,X,X,X,X,X,X,X,X,O
IJOZSLT,O,O,O,X,X,X,X,X,X,X,X,O
ISTLJZO,O,O,X,X,X,O,X,X,X,O,X,X
ISTLJOZ,O,O,X,X,X,O,X,X,X,O,X,X
ISTLZJO,O,O,X,X,O,O,X,X,X,O,X,X
ISTLZOJ,O,O,X,X,O,O,X,X,X,X,X,X
ISTLOJZ,O,O,X,X,X,O,X,X,X,O,X,X
ISTLOZJ,O,O,X,X,O,X,X,X,X,X,X,X
ISTJLZO,O,O,X,X,X,O,X,X,X,O,X,X
ISTJLOZ,O,O,X,X,X,O,X,X,X,O,X,X
ISTJZLO,O,O,X,X,O,O,X,X,X,X,X,X
ISTJZOL,O,O,X,X,O,O,X,X,X,X,X,X
ISTJOLZ,O,O,X,X,X,X,X,X,X,O,X,O
ISTJOZL,O,O,X,X,O,X,X,X,X,X,X,O
ISTZLJO,O,O,X,X,O,O,X,X,X,X,X,X
ISTZLOJ,O,O,X,X,O,O,X,X,X,X,X,X
ISTZJLO,O,O,X,X,O,O,X,X,X,X,X,X
ISTZJOL,O,O,X,X,O,O,X,X,X,X,X,X
ISTZOLJ,O,O,X,X,O,O,X,X,X,X,X,X
ISTZOJL,O,O,X,X,O,O,X,X,X,X,X,X
ISTOLJZ,O,O,X,X,X,X,X,X,X,O,X,O
ISTOLZJ,O,O,X,X,O,X,X,X,X,O,X,O
ISTOJLZ,O,O,X,X,X,X,X,X,X,O,X,O
ISTOJZL,O,O,X,X,O,X,X,X,X,X,X,O
ISTOZLJ,O,O,X,X,O,X,X,X,X,X,X,O
ISTOZJL,O,O,X,X,O,X,X,X,X,X,X,O
ISLTJZO,O,O,X,X,O,O,X,X,X,O,X,X
ISLTJOZ,O,O,X,X,O,O,X,X,X,O,X,X
ISLTZJO,O,O,X,X,O,O,X,X,X,O,X,X
ISLTZOJ,O,O,X,X,O,O,X,X,X,X,X,X
ISLTOJZ,O,O,X,X,O,O,X,X,X,O,X,X
ISLTOZJ,O,O,X,X,O,X,X,X,X,X,X,X
ISLJTZO,O,X,O,O,O,O,X,X,X,O,X,X
ISLJTOZ,O,X,O,O,O,O,X,X,X,O,X,X
ISLJZTO,O,X,X,X,O,X,X,X,X,O,X,X
ISLJZOT,O,O,O,X,O,X,X,X,X,X,X,X
ISLJOTZ,O,X,O,O,O,X,X,X,X,O,X,O
ISLJOZT,O,O,O,X,O,X,X,X,X,O,X,O
ISLZTJO,X,X,X,X,O,O,X,X,X,O,O,X
ISLZTOJ,O,O,X,X,O,O,X,X,X,X,O,X
ISLZJTO,O,X,X,X,O,O,X,X,X,O,O,X
ISLZJOT,O,O,X,X,O,O,X,X,X,X,O,X
ISLZOTJ,O,O,X,X,O,O,X,X,X,X,O,X
ISLZOJT,O,O,X,X,O,O,X,X,X,X,O,X
ISLOTJZ,O,O,X,X,O,O,X,X,X,O,X,O
ISLOTZJ,O,O,X,X,O,X,X,X,X,O,X,O
ISLOJTZ,O,X,O,O,O,X,X,X,X,O,X,O
ISLOJZT,O,O,O,X,O,X,X,X,X,O,X,O
ISLOZTJ,O,O,X,X,O,O,X,X,X,O,O,O
ISLOZJT,O,O,X,X,O,O,X,X,X,O,O,O
ISJTLZO,O,O,O,O,X,X,X,X,X,O,X,X
ISJTLOZ,O,O,O,O,X,X,X,X,X,O,X,X
ISJTZLO,O,O,O,O,O,X,X,X,X,X,X,X
ISJTZOL,O,O,O,O,O,X,X,X,X,X,X,X
ISJTOLZ,O,O,O,O,X,X,X,X,X,O,X,O
ISJTOZL,O,O,O,O,O,X,X,X,X,X,X,O
ISJLTZO,X,O,O,O,X,X,X,X,X,O,X,X
ISJLTOZ,X,O,O,O,X,X,X,X,X,O,X,X
ISJLZTO,X,O,X,X,X,X,X,X,X,O,X,X
ISJLZOT,O,O,O,X,X,X,X,X,X,X,X,X
ISJLOTZ,X,O,O,O,X,X,X,X,X,O,X,O
ISJLOZT,O,O,O,X,X,X,X,X,X,O,X,O
ISJZTLO,X,O,X,X,O,X,X,X,O,X,X,X
ISJZTOL,O,O,X,X,O,X,X,X,O,X,X,X
ISJZLTO,X,O,X,X,O,X,X,X,X,O,X,X
ISJZLOT,O,O,O,X,O,X,X,X,X,X,X,X
ISJZOTL,O,O,X,X,O,X,X,X,X,X,X,O
ISJZOLT,O,O,O,X,O,X,X,X,X,O,X,O
ISJOTLZ,O,O,O,O,X,X,X,X,X,O,X,O
ISJOTZL,O,O,O,O,O,X,X,X,X,X,X,O
ISJOLTZ,X,O,O,O,X,X,X,X,X,O,X,O
ISJOLZT,O,O,O,X,X,X,X,X,X,O,X,O
ISJOZTL,O,O,X,X,O,X,X,X,X,X,X,O
ISJOZLT,O,O,O,X,O,X,X,X,X,O,X,O
ISZTLJO,X,X,X,X,O,O,X,X,O,X,X,X
ISZTLOJ,O,O,X,X,O,O,X,X,O,X,X,X
ISZTJLO,X,X,X,X,O,O,X,X,O,X,X,X
ISZTJOL,X,X,X,X,O,O,X,X,O,X,X,X
ISZTOLJ,O,O,X,X,O,O,X,X,O,X,X,X
ISZTOJL,O,O,X,X,O,O,X,X,O,X,X,X
ISZLTJO,X,X,X,X,O,O,X,X,X,O,O,X
ISZLTOJ,O,O,X,X,O,O,X,X,X,X,O,X
ISZLJTO,O,X,X,X,O,O,X,X,X,O,O,X
ISZLJOT,O,O,X,X,O,O,X,X,X,X,O,X
ISZLOTJ,O,O,X,X,O,O,X,X,X,X,O,X
ISZLOJT,O,O,X,X,O,O,X,X,X,X,O,X
ISZJTLO,X,O,X,X,O,O,X,X,O,X,X,X
ISZJTOL,O,O,X,X,O,O,X,X,O,X,X,X
ISZJLTO,X,O,X,X,O,O,X,X,X,O,X,X
ISZJLOT,O,O,X,X,O,O,X,X,X,X,X,X
ISZJOTL,O,O,X,X,O,O,X,X,X,X,X,O
ISZJOLT,O,O,X,X,O,O,X,X,X,O,X,O
ISZOTLJ,O,O,X,X,O,O,X,X,X,X,X,O
ISZOTJL,O,O,X,X,O,O,X,X,X,X,X,O
ISZOLTJ,O,O,X,X,O,O,X,X,X,O,O,O
ISZOLJT,O,O,X,X,O,O,X,X,X,O,O,O
ISZOJTL,O,O,X,X,O,O,X,X,X,X,X,O
ISZOJLT,O,O,X,X,O,O,X,X,X,O,X,O
ISOTLJZ,O,O,X,X,X,X,X,X,X,O,X,O
ISOTLZJ,O,O,X,X,O,X,X,X,X,O,X,O
ISOTJLZ,O,O,X,X,X,X,X,X,X,O,X,O
ISOTJZL,O,O,X,X,O,X,X,X,X,X,X,O
ISOTZLJ,O,O,X,X,O,X,X,X,X,X,X,O
ISOTZJL,O,O,X,X,O,X,X,X,X,X,X,O
ISOLTJZ,O,O,X,X,O,X,X,X,X,O,X,O
ISOLTZJ,O,O,X,X,O,X,X,X,X,O,X,O
ISOLJTZ,O,X,O,O,O,X,X,X,X,O,X,O
ISOLJZT,O,O,O,X,O,X,X,X,X,O,X,O
ISOLZTJ,O,O,X,X,O,O,X,X,X,O,O,O
ISOLZJT,O,O,X,X,O,O,X,X,X,O,O,O
ISOJTLZ,O,O,O,O,X,X,X,X,X,O,X,O
ISOJTZL,O,O,O,O,O,X,X,X,X,X,X,O
ISOJLTZ,X,O,O,O,X,X,X,X,X,O,X,O
ISOJLZT,O,O,O,X,X,X,X,X,X,O,X,O
ISOJZTL,O,O,X,X,O,X,X,X,X,X,X,O
ISOJZLT,O,O,O,X,O,X,X,X,X,O,X,O
ISOZTLJ,O,O,X,X,O,O,X,X,X,X,X,O
ISOZTJL,O,O,X,X,O,O,X,X,X,X,X,O
ISOZLTJ,O,O,X,X,O,O,X,X,X,O,O,O
ISOZLJT,O,O,X,X,O,O,X,X,X,O,O,O
ISOZJTL,O,O,X,X,O,O,X,X,X,X,X,O
ISOZJLT,O,O,X,X,O,O,X,X,X,O,X,O
IZTLJSO,O,X,X,X,X,X,X,X,X,X,X,X
IZTLJOS,O,X,X,X,X,X,O,X,X,X,X,X
IZTLSJO,X,X,X,X,X,X,X,X,X,X,O,X
IZTLSOJ,O,X,X,X,X,X,X,X,X,X,O,X
IZTLOJS,O,O,X,X,X,X,X,X,X,X,X,X
IZTLOSJ,O,X,X,X,X,X,X,X,X,X,O,X
IZTJLSO,X,O,X,O,X,X,X,X,X,X,X,X
IZTJLOS,O,O,X,O,X,X,O,X,X,X,X,X
IZTJSLO,X,O,X,O,X,X,X,X,O,X,X,X
IZTJSOL,O,O,X,O,X,X,X,X,O,X,X,X
IZTJOLS,O,O,X,O,X,X,O,X,X,X,X,X
IZTJOSL,O,O,X,O,X,X,X,X,X,X,X,X
IZTSLJO,X,X,X,X,O,X,X,X,O,X,X,X
IZTSLOJ,O,X,X,X,O,X,X,X,O,X,X,X
IZTSJLO,X,X,X,X,O,X,X,X,O,X,X,X
IZTSJOL,X,X,X,X,O,X,X,X,O,X,X,X
IZTSOLJ,O,X,X,X,O,X,X,X,O,X,X,X
