sequence,v115@zgB8HeB8HeD8FeC8EeH8AeC8Je2AJvhFRcBCeBUiBT?jBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jei7IvhFzdB+jBRhBU?iBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhFxcB6jBemBF?iB8nBfsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhF/hBGdB6jBZ?nB8sBVwB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Je2AJvhFTdB6jB8nBR?rBfsBFrB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jex8IvhFXeBmgBzhBS?oB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeyAJvhFGdBTeB3hBx?nB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jex7IvhFXdB6jB2mBz?iB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhFxcB8iB+jBy?mBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jei7IvhFFdBTeBXmBx?nBGmBcsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhFUeBxhBmhBS?oBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeOCJvhFXeBxgBSoBT?hB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jei9IvhF+jBxgB3iBT?hB0lBFsB
ITJZLOS,O,O,X,O,X,X,X,X,O,X,X,X,X
ITJZSLO,O,X,X,O,O,X,O,O,X,X,X,X,O
ITJZSOL,O,X,X,O,O,X,O,O,O,X,X,X,X
ITJZOLS,O,O,X,O,X,O,X,O,O,X,X,X,X
ITJZOSL,O,X,X,O,X,X,O,O,O,X,X,X,X
ITJOLSZ,O,O,X,X,X,O,O,O,X,X,X,O,X
ITJOLZS,O,O,X,X,X,O,X,O,O,X,X,X,X
ITJOSLZ,O,O,X,X,X,O,O,O,X,X,X,X,O
ITJOSZL,X,O,X,O,X,X,O,O,X,X,X,X,X
ITJOZLS,O,O,X,O,X,O,X,O,O,X,X,X,X
ITJOZSL,O,X,X,O,X,X,O,O,O,X,X,X,X
ITSLJZO,X,O,X,X,X,X,O,X,X,O,X,O,X
ITSLJOZ,X,O,X,X,X,X,O,X,X,O,X,O,X
ITSLZJO,X,O,X,O,X,X,O,X,X,O,X,O,X
ITSLZOJ,X,X,X,O,X,X,O,X,X,O,O,X,X
ITSLOJZ,X,O,X,X,X,X,O,X,X,O,X,O,X
ITSLOZJ,X,X,X,O,X,X,O,X,X,O,O,X,X
ITSJLZO,O,O,X,X,X,X,O,X,X,O,X,O,O
ITSJLOZ,O,O,X,X,X,X,O,X,X,O,X,O,O
ITSJZLO,O,O,X,O,X,X,O,X,X,O,X,X,O
ITSJZOL,O,O,X,O,X,X,O,X,X,O,O,X,X
ITSJOLZ,O,O,X,X,X,X,O,X,X,O,X,X,O
ITSJOZL,O,O,X,O,X,X,O,X,X,O,O,X,X
ITSZLJO,O,O,X,O,X,X,O,X,X,O,X,X,X
ITSZLOJ,O,X,X,O,X,X,O,X,X,O,O,X,X
ITSZJLO,O,O,X,O,X,X,O,X,X,O,X,X,X
ITSZJOL,O,O,X,O,X,X,O,X,X,O,O,X,X
ITSZOLJ,O,X,X,O,X,X,O,X,X,O,O,X,X
ITSZOJL,O,X,X,O,X,X,O,X,X,O,O,X,X
ITSOLJZ,O,O,X,X,X,X,O,X,X,O,X,X,X
ITSOLZJ,X,X,X,O,X,X,O,X,X,O,O,X,X
ITSOJLZ,O,O,X,X,X,X,O,X,X,O,X,X,X
ITSOJZL,O,O,X,O,X,X,O,X,X,O,O,X,X
ITSOZLJ,O,X,X,O,X,X,O,X,X,O,O,X,X
ITSOZJL,O,X,X,O,X,X,O,X,X,O,O,X,X
ITZLJSO,O,X,X,O,O,X,X,X,X,X,X,O,X
ITZLJOS,O,O,X,O,X,X,X,X,X,X,X,X,X
ITZLSJO,O,X,X,O,O,X,X,X,X,X,X,O,X
ITZLSOJ,O,X,X,O,O,X,X,X,X,X,X,X,X
ITZLOJS,O,X,X,O,X,X,X,X,X,X,X,X,X
ITZLOSJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITZJLSO,O,X,X,O,O,X,X,X,X,X,X,O,X
ITZJLOS,O,O,X,O,X,X,X,X,X,X,X,X,X
ITZJSLO,O,X,X,O,O,X,O,X,X,X,X,X,O
ITZJSOL,O,X,X,O,O,X,O,X,X,X,X,X,X
ITZJOLS,O,O,X,O,X,X,X,X,X,X,X,X,X
ITZJOSL,O,X,X,O,X,X,O,X,X,X,X,X,X
ITZSLJO,O,X,X,O,O,X,O,X,X,X,X,X,X
ITZSLOJ,O,X,X,O,O,X,O,X,X,X,X,X,X
ITZSJLO,O,X,X,O,O,X,O,X,X,X,X,X,X
ITZSJOL,O,X,X,O,O,X,O,X,X,X,X,X,X
ITZSOLJ,O,X,X,O,O,X,O,X,X,X,X,X,X
ITZSOJL,O,X,X,O,O,X,O,X,X,X,X,X,X
ITZOLJS,O,X,X,O,X,X,X,X,X,X,X,X,X
ITZOLSJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITZOJLS,O,X,X,O,X,X,X,X,X,X,X,X,X
ITZOJSL,O,X,X,O,X,X,O,X,X,X,X,X,X
ITZOSLJ,O,X,X,O,X,X,O,X,X,X,X,X,X
ITZOSJL,O,X,X,O,X,X,O,X,X,X,X,X,X
ITOLJSZ,O,O,X,X,X,O,O,O,X,X,X,O,X
ITOLJZS,O,O,X,X,X,O,X,O,O,X,X,X,X
ITOLSJZ,O,X,X,X,X,O,O,O,X,O,X,O,X
ITOLSZJ,X,X,X,O,X,O,O,O,X,O,X,X,X
ITOLZJS,O,X,X,O,X,O,X,X,X,X,X,X,X
ITOLZSJ,O,X,X,O,X,O,X,X,X,X,X,X,X
ITOJLSZ,O,O,X,X,X,O,O,O,X,X,X,O,X
ITOJLZS,O,O,X,X,X,O,X,O,O,X,X,X,X
ITOJSLZ,O,O,X,X,X,O,O,O,X,X,X,X,O
ITOJSZL,X,X,X,O,X,X,O,O,X,X,X,X,X
ITOJZLS,O,O,X,O,X,O,X,O,O,X,X,X,X
ITOJZSL,O,X,X,O,X,X,O,O,O,X,X,X,X
ITOSLJZ,O,X,X,X,X,O,O,O,X,O,X,X,X
ITOSLZJ,X,X,X,O,X,O,O,O,X,O,X,X,X
ITOSJLZ,O,X,X,X,X,O,O,O,X,O,X,X,X
ITOSJZL,O,X,X,O,X,X,O,O,X,O,X,X,X
ITOSZLJ,O,X,X,O,X,X,O,O,X,O,X,X,X
ITOSZJL,O,X,X,O,X,X,O,X,X,O,X,X,X
ITOZLJS,O,X,X,O,X,O,X,X,X,X,X,X,X
ITOZLSJ,O,X,X,O,X,O,X,X,X,X,X,X,X
ITOZJLS,O,X,X,O,X,O,X,X,X,X,X,X,X
ITOZJSL,O,X,X,O,X,X,O,X,X,X,X,X,X
ITOZSLJ,O,X,X,O,X,X,O,X,X,X,X,X,X
ITOZSJL,O,X,X,O,X,X,O,X,X,X,X,X,X
ILTJSZO,X,X,X,X,X,X,O,O,X,X,X,O,O
ILTJSOZ,X,O,X,X,X,O,O,O,X,X,X,O,O
ILTJZSO,X,X,X,X,O,X,X,O,X,X,X,O,X
ILTJZOS,X,O,X,X,X,X,X,X,X,X,X,X,X
ILTJOSZ,X,O,X,X,X,O,O,O,X,X,X,O,X
ILTJOZS,X,O,X,X,X,O,X,X,X,X,X,X,X
ILTSJZO,X,X,X,X,X,X,O,X,X,O,X,O,X
ILTSJOZ,X,O,X,X,X,O,O,X,X,O,X,O,X
ILTSZJO,X,X,X,O,X,X,O,X,X,O,X,O,X
ILTSZOJ,X,X,X,O,X,X,O,X,X,O,X,X,X
ILTSOJZ,X,X,X,X,X,O,O,X,X,O,X,O,X
ILTSOZJ,X,X,X,O,X,O,O,X,X,O,X,X,X
ILTZJSO,X,X,X,O,O,X,X,X,X,X,X,O,X
ILTZJOS,X,O,X,O,X,X,X,X,X,X,X,X,X
ILTZSJO,X,X,X,O,O,X,X,X,X,X,X,O,X
ILTZSOJ,X,X,X,O,O,X,X,X,X,X,X,X,X
ILTZOJS,X,X,X,O,X,X,X,X,X,X,X,X,X
ILTZOSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
ILTOJSZ,X,O,X,X,X,O,O,O,X,X,X,O,X
ILTOJZS,X,O,X,X,X,O,X,O,X,X,X,X,X
ILTOSJZ,X,X,X,X,X,O,O,O,X,O,X,O,X
ILTOSZJ,X,X,X,O,X,O,O,O,X,O,X,X,X
ILTOZJS,X,X,X,O,X,O,X,X,X,X,X,X,X
ILTOZSJ,X,X,X,O,X,O,X,X,X,X,X,X,X
ILJTSZO,X,X,X,X,X,X,O,X,X,X,X,X,O
ILJTSOZ,X,O,X,X,X,O,O,X,X,X,X,X,O
ILJTZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
ILJTZOS,X,O,X,X,X,X,X,X,X,X,X,X,X
ILJTOSZ,X,O,O,X,X,O,O,X,X,X,X,X,X
ILJTOZS,X,O,O,X,X,O,X,X,X,X,X,X,X
ILJSTZO,X,O,X,X,X,X,X,X,X,O,X,O,O
ILJSTOZ,X,O,O,X,X,O,O,X,X,O,X,O,O
ILJSZTO,X,X,O,X,O,X,X,X,X,O,X,O,O
ILJSZOT,X,O,O,X,O,X,O,X,X,O,X,X,X
ILJSOTZ,X,O,O,X,X,X,O,X,X,O,X,O,O
ILJSOZT,X,O,O,X,X,X,O,X,X,O,X,X,X
ILJZTSO,X,X,X,X,O,X,X,X,X,X,X,X,X
ILJZTOS,X,X,O,X,X,X,X,X,X,X,X,X,X
ILJZSTO,X,X,O,X,O,X,X,X,X,X,X,X,X
ILJZSOT,X,X,O,X,O,X,X,X,X,X,X,X,X
ILJZOTS,X,O,O,X,X,X,X,X,X,X,X,X,X
ILJZOST,X,O,O,X,O,X,X,X,X,X,X,X,X
ILJOTSZ,X,O,O,X,X,X,O,X,X,X,X,X,X
ILJOTZS,X,O,O,X,X,X,X,X,X,X,X,X,X
ILJOSTZ,X,O,O,X,X,X,O,X,X,O,X,X,X
ILJOSZT,X,O,O,X,X,X,O,X,X,O,X,X,X
ILJOZTS,X,O,O,X,X,X,X,X,X,X,X,X,X
ILJOZST,X,O,O,X,O,X,X,X,X,X,X,X,X
ILSTJZO,X,O,X,X,X,X,X,X,X,O,X,O,X
ILSTJOZ,X,O,X,X,X,O,O,X,X,O,X,O,X
ILSTZJO,X,O,X,X,X,X,X,X,X,O,X,O,X
ILSTZOJ,X,X,X,X,X,X,X,X,X,O,X,X,X
ILSTOJZ,X,O,X,X,X,O,O,X,X,O,X,O,X
ILSTOZJ,X,X,X,X,X,O,X,X,X,O,X,X,X
ILSJTZO,X,O,X,X,X,X,X,X,X,O,X,O,X
ILSJTOZ,X,O,O,X,X,O,O,X,X,O,X,O,X
ILSJZTO,X,X,O,X,O,X,X,X,X,O,X,O,X
ILSJZOT,X,O,O,X,O,X,O,X,X,O,X,X,X
ILSJOTZ,X,O,O,X,X,X,O,X,X,O,X,O,X
ILSJOZT,X,O,O,X,X,X,O,X,X,O,X,X,X
ILSZTJO,X,X,X,X,O,X,X,X,X,O,X,X,X
ILSZTOJ,X,X,X,X,O,X,X,X,X,O,X,X,X
ILSZJTO,X,X,O,X,O,X,X,X,X,O,X,O,X
ILSZJOT,X,O,O,X,O,X,O,X,X,O,X,X,X
ILSZOTJ,X,X,X,X,O,X,X,X,X,O,X,X,X
ILSZOJT,X,X,O,X,O,X,O,X,X,O,X,X,X
ILSOTJZ,X,X,X,X,X,X,O,X,X,O,X,X,X
ILSOTZJ,X,X,X,X,X,X,X,X,X,O,X,X,X
ILSOJTZ,X,O,O,X,X,X,O,X,X,O,X,O,X
ILSOJZT,X,O,O,X,X,X,O,X,X,O,X,X,X
ILSOZTJ,X,X,X,X,X,X,X,X,X,O,X,X,X
ILSOZJT,X,X,O,X,X,X,O,X,X,O,X,X,X
ILZTJSO,X,X,X,O,O,X,X,X,X,X,X,X,X
ILZTJOS,X,O,X,O,X,X,X,X,X,X,X,X,X
ILZTSJO,X,X,X,O,O,X,X,X,X,X,X,X,X
ILZTSOJ,X,X,X,O,O,X,X,X,X,X,X,X,X
ILZTOJS,X,X,X,O,X,X,X,X,X,X,X,X,X
ILZTOSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
ILZJTSO,X,X,X,O,O,X,X,X,X,X,X,X,X
ILZJTOS,X,X,O,O,X,X,X,X,X,X,X,X,X
ILZJSTO,X,X,O,X,O,X,X,X,X,X,X,X,X
ILZJSOT,X,X,O,X,O,X,X,X,X,X,X,X,X
ILZJOTS,X,O,O,O,X,X,X,X,X,X,X,X,X
ILZJOST,X,O,O,X,O,X,X,X,X,X,X,X,X
ILZSTJO,X,X,X,O,O,X,X,X,X,O,X,X,X
ILZSTOJ,X,X,X,O,O,X,X,X,X,O,X,X,X
ILZSJTO,X,X,O,X,O,X,X,X,X,O,X,O,X
ILZSJOT,X,O,O,X,O,X,X,X,X,O,X,X,X
ILZSOTJ,X,X,X,O,O,X,X,X,X,O,X,X,X
ILZSOJT,X,X,O,X,O,X,X,X,X,O,X,X,X
ILZOTJS,X,X,X,O,X,X,X,X,X,X,X,X,X
ILZOTSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
ILZOJTS,X,X,O,O,X,X,X,X,X,X,X,X,X
ILZOJST,X,X,O,X,O,X,X,X,X,X,X,X,X
ILZOSTJ,X,X,X,O,O,X,X,X,X,O,X,X,X
ILZOSJT,X,X,O,X,O,X,X,X,X,O,X,X,X
ILOTJSZ,X,O,X,X,X,X,O,O,X,X,X,X,X
ILOTJZS,X,O,X,X,X,X,X,O,X,X,X,X,X
ILOTSJZ,X,X,X,X,X,X,O,O,X,O,X,X,X
ILOTSZJ,X,X,X,O,X,X,O,O,X,O,X,X,X
ILOTZJS,X,X,X,O,X,X,X,X,X,X,X,X,X
ILOTZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
ILOJTSZ,X,O,O,X,X,X,O,X,X,X,X,X,X
ILOJTZS,X,O,O,X,X,X,X,X,X,X,X,X,X
ILOJSTZ,X,O,O,X,X,X,O,X,X,O,X,X,X
ILOJSZT,X,O,O,X,X,X,O,X,X,O,X,X,X
ILOJZTS,X,O,O,X,X,X,X,X,X,X,X,X,X
ILOJZST,X,O,O,X,O,X,X,X,X,X,X,X,X
ILOSTJZ,X,X,X,X,X,X,O,X,X,O,X,X,X
ILOSTZJ,X,X,X,X,X,X,X,X,X,O,X,X,X
ILOSJTZ,X,O,O,X,X,X,O,X,X,O,X,O,X
ILOSJZT,X,O,O,X,X,X,O,X,X,O,X,X,X
ILOSZTJ,X,X,X,X,X,X,X,X,X,O,X,X,X
ILOSZJT,X,X,O,X,X,X,O,X,X,O,X,X,X
ILOZTJS,X,X,X,O,X,X,X,X,X,X,X,X,X
ILOZTSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
ILOZJTS,X,X,O,O,X,X,X,X,X,X,X,X,X
ILOZJST,X,X,O,X,O,X,X,X,X,X,X,X,X
ILOZSTJ,X,X,X,O,O,X,X,X,X,O,X,X,X
ILOZSJT,X,X,O,X,O,X,X,X,X,O,X,X,X
IJTLSZO,X,X,X,X,X,X,O,X,X,X,X,O,O
IJTLSOZ,X,O,X,X,X,O,O,X,X,X,X,O,O
IJTLZSO,O,X,X,X,O,X,X,X,O,X,X,O,X
IJTLZOS,O,O,X,X,X,X,X,X,O,X,X,X,X
IJTLOSZ,O,O,O,X,X,O,O,X,X,X,X,O,X
IJTLOZS,O,O,O,X,X,O,X,X,O,X,X,X,X
IJTSLZO,O,O,X,X,X,X,O,X,X,X,X,O,O
IJTSLOZ,O,O,O,X,X,X,O,X,X,X,X,O,O
IJTSZLO,O,O,O,O,X,X,O,X,X,X,X,X,O
IJTSZOL,O,O,O,O,X,X,O,X,X,X,X,X,X
IJTSOLZ,O,O,O,X,X,O,O,X,X,X,X,X,O
IJTSOZL,O,O,O,O,X,X,O,X,X,X,X,X,X
IJTZLSO,O,X,X,O,O,X,X,X,O,X,X,O,X
IJTZLOS,O,O,O,O,X,X,X,X,O,X,X,X,X
IJTZSLO,O,X,X,O,O,X,O,X,X,X,X,X,O
IJTZSOL,O,X,X,O,O,X,O,X,O,X,X,X,X
IJTZOLS,O,O,O,O,X,O,X,X,O,X,X,X,X
IJTZOSL,O,X,X,O,X,X,O,X,O,X,X,X,X
IJTOLSZ,O,O,O,X,X,O,O,X,X,X,X,O,X
IJTOLZS,O,O,O,X,X,O,X,X,O,X,X,X,X
IJTOSLZ,O,O,O,X,X,O,O,X,X,X,X,X,O
IJTOSZL,X,O,O,O,X,X,O,X,X,X,X,X,X
IJTOZLS,O,O,O,O,X,O,X,X,O,X,X,X,X
IJTOZSL,O,X,X,O,X,X,O,X,O,X,X,X,X
IJLTSZO,X,X,X,X,X,X,O,X,X,X,X,X,O
IJLTSOZ,X,O,X,X,X,O,O,X,X,X,X,X,O
IJLTZSO,O,X,X,X,O,X,X,X,X,X,X,X,X
IJLTZOS,O,O,X,X,X,X,X,X,X,X,X,X,X
IJLTOSZ,O,O,O,X,X,O,O,X,X,X,X,X,X
IJLTOZS,O,O,O,X,X,O,X,X,X,X,X,X,X
IJLSTZO,O,O,X,X,X,X,X,X,X,O,X,O,O
IJLSTOZ,O,O,O,X,X,O,O,X,X,O,X,O,O
IJLSZTO,O,X,O,X,O,X,X,X,X,O,X,O,O
IJLSZOT,O,O,O,X,O,X,O,X,X,O,X,X,X
IJLSOTZ,O,O,O,X,X,X,O,X,X,O,X,O,O
IJLSOZT,O,O,O,X,X,X,O,X,X,O,X,X,X
IJLZTSO,X,X,X,X,O,X,X,X,X,X,X,X,X
IJLZTOS,X,X,O,X,X,X,X,X,X,X,X,X,X
IJLZSTO,X,X,O,X,O,X,X,X,X,X,X,X,X
IJLZSOT,X,X,O,X,O,X,X,X,X,X,X,X,X
IJLZOTS,X,O,O,X,X,X,X,X,X,X,X,X,X
IJLZOST,X,O,O,X,O,X,X,X,X,X,X,X,X
IJLOTSZ,O,O,O,X,X,X,O,X,X,X,X,X,X
IJLOTZS,O,O,O,X,X,X,X,X,X,X,X,X,X
IJLOSTZ,O,O,O,X,X,X,O,X,X,O,X,X,X
IJLOSZT,O,O,O,X,X,X,O,X,X,O,X,X,X
IJLOZTS,O,O,O,X,X,X,X,X,X,X,X,X,X
IJLOZST,O,O,O,X,O,X,X,X,X,X,X,X,X
IJSTLZO,O,O,X,X,X,X,O,X,X,O,X,X,O
IJSTLOZ,O,O,O,X,X,X,O,X,X,O,X,X,O
IJSTZLO,O,O,O,X,X,X,O,X,X,O,X,X,O
IJSTZOL,O,O,O,X,X,X,O,X,X,O,X,X,X
IJSTOLZ,O,O,O,X,X,O,O,X,X,O,X,X,O
IJSTOZL,O,O,O,X,X,X,O,X,X,O,X,X,X
IJSLTZO,O,O,X,X,X,X,X,X,X,O,X,X,O
IJSLTOZ,O,O,O,X,X,X,O,X,X,O,X,X,O
IJSLZTO,O,X,O,X,O,X,X,X,X,O,X,X,O
IJSLZOT,O,O,O,X,O,X,O,X,X,O,X,X,X
IJSLOTZ,O,O,O,X,X,X,O,X,X,O,X,X,O
IJSLOZT,O,O,O,X,X,X,O,X,X,O,X,X,X
IJSZTLO,O,X,O,X,O,X,X,X,X,O,X,X,X
IJSZTOL,O,X,O,X,O,X,X,X,X,O,X,X,X
IJSZLTO,O,X,O,X,O,X,X,X,X,O,X,X,O
IJSZLOT,O,O,O,X,O,X,O,X,X,O,X,X,X
IJSZOTL,O,X,O,X,O,X,X,X,X,O,X,X,X
IJSZOLT,O,O,O,X,O,X,O,X,X,O,X,X,X
IJSOTLZ,O,O,O,X,X,X,O,X,X,O,X,X,X
IJSOTZL,O,X,O,X,X,X,O,X,X,O,X,X,X
IJSOLTZ,O,O,O,X,X,X,O,X,X,O,X,X,O
IJSOLZT,O,O,O,X,X,X,O,X,X,O,X,X,X
IJSOZTL,O,X,O,X,X,X,X,X,X,O,X,X,X
IJSOZLT,O,O,O,X,X,X,O,X,X,O,X,X,X
IJZTLSO,O,X,X,O,O,X,X,X,O,X,X,X,X
IJZTLOS,O,X,O,O,X,X,X,X,O,X,X,X,X
IJZTSLO,O,X,X,O,O,X,O,X,X,X,X,X,O
IJZTSOL,O,X,X,O,O,X,O,X,O,X,X,X,X
IJZTOLS,O,X,O,O,X,O,X,X,O,X,X,X,X
IJZTOSL,O,X,X,O,X,X,O,X,O,X,X,X,X
IJZLTSO,X,X,X,O,O,X,X,X,X,X,X,X,X
IJZLTOS,X,X,O,O,X,X,X,X,O,X,X,X,X
IJZLSTO,X,X,O,X,O,X,X,X,X,X,X,X,X
IJZLSOT,X,X,O,X,O,X,X,X,X,X,X,X,X
IJZLOTS,X,O,O,O,X,X,X,X,O,X,X,X,X
IJZLOST,X,O,O,X,O,X,X,X,X,X,X,X,X
IJZSTLO,O,X,O,X,O,X,X,X,X,X,X,X,X
IJZSTOL,O,X,O,X,O,X,X,X,O,X,X,X,X
IJZSLTO,O,X,O,X,O,X,X,X,X,X,X,X,O
IJZSLOT,O,X,O,X,O,X,O,X,X,X,X,X,X
IJZSOTL,O,X,O,X,O,X,X,X,O,X,X,X,X
IJZSOLT,O,X,O,X,O,X,O,X,X,X,X,X,X
IJZOTLS,X,X,O,O,X,X,X,X,O,X,X,X,X
IJZOTSL,X,X,X,O,X,X,O,X,O,X,X,X,X
IJZOLTS,O,O,O,O,X,X,X,X,O,X,X,X,X
IJZOLST,O,O,O,X,O,X,X,X,X,X,X,X,X
IJZOSTL,X,X,O,X,O,X,X,X,O,X,X,X,X
IJZOSLT,X,X,O,X,O,X,O,X,X,X,X,X,X
IJOTLSZ,O,O,O,X,X,O,O,X,X,X,X,X,X
IJOTLZS,O,O,O,X,X,O,X,X,O,X,X,X,X
IJOTSLZ,O,O,O,X,X,O,O,X,X,X,X,X,O
IJOTSZL,X,O,O,O,X,X,O,X,X,X,X,X,X
IJOTZLS,O,O,O,O,X,O,X,X,O,X,X,X,X
IJOTZSL,O,X,X,O,X,X,O,X,O,X,X,X,X
IJOLTSZ,O,O,O,X,X,X,O,X,X,X,X,X,X
IJOLTZS,O,O,O,X,X,X,X,X,X,X,X,X,X
IJOLSTZ,O,O,O,X,X,X,O,X,X,O,X,X,X
IJOLSZT,O,O,O,X,X,X,O,X,X,O,X,X,X
IJOLZTS,O,O,O,X,X,X,X,X,X,X,X,X,X
IJOLZST,O,O,O,X,O,X,X,X,X,X,X,X,X
IJOSTLZ,O,O,O,X,X,X,O,X,X,O,X,X,X
IJOSTZL,O,X,O,X,X,X,O,X,X,O,X,X,X
IJOSLTZ,O,O,O,X,X,X,O,X,X,O,X,X,O
IJOSLZT,O,O,O,X,X,X,O,X,X,O,X,X,X
IJOSZTL,O,X,O,X,X,X,X,X,X,O,X,X,X
IJOSZLT,O,O,O,X,X,X,O,X,X,O,X,X,X
IJOZTLS,X,X,O,O,X,X,X,X,O,X,X,X,X
IJOZTSL,X,X,X,O,X,X,O,X,O,X,X,X,X
IJOZLTS,O,O,O,O,X,X,X,X,O,X,X,X,X
IJOZLST,O,O,O,X,O,X,X,X,X,X,X,X,X
IJOZSTL,X,X,O,X,O,X,X,X,O,X,X,X,X
IJOZSLT,X,X,O,X,O,X,O,X,X,X,X,X,X
ISTLJZO,X,O,X,X,X,X,O,X,X,O,X,O,X
ISTLJOZ,X,O,X,X,X,X,O,X,X,O,X,O,X
ISTLZJO,X,O,X,O,X,X,O,X,X,O,X,O,X
ISTLZOJ,X,X,X,O,X,X,O,X,X,O,O,X,X
ISTLOJZ,X,O,X,X,X,X,O,X,X,O,X,O,X
ISTLOZJ,X,X,X,O,X,X,O,X,X,O,O,X,X
ISTJLZO,O,O,X,X,X,X,O,X,X,O,X,O,O
ISTJLOZ,O,O,X,X,X,X,O,X,X,O,X,O,O
ISTJZLO,O,O,X,O,X,X,O,X,X,O,X,X,O
ISTJZOL,O,O,X,O,X,X,O,X,X,O,O,X,X
ISTJOLZ,O,O,X,X,X,X,O,X,X,O,X,X,O
ISTJOZL,O,O,X,O,X,X,O,X,X,O,O,X,X
ISTZLJO,O,O,X,O,X,X,O,X,X,O,X,X,X
ISTZLOJ,O,X,X,O,X,X,O,X,X,O,O,X,X
ISTZJLO,O,O,X,O,X,X,O,X,X,O,X,X,X
ISTZJOL,O,O,X,O,X,X,O,X,X,O,O,X,X
ISTZOLJ,O,X,X,O,X,X,O,X,X,O,O,X,X
ISTZOJL,O,X,X,O,X,X,O,X,X,O,O,X,X
ISTOLJZ,O,O,X,X,X,X,O,X,X,O,X,X,X
ISTOLZJ,X,X,X,O,X,X,O,X,X,O,O,X,X
ISTOJLZ,O,O,X,X,X,X,O,X,X,O,X,X,X
ISTOJZL,O,O,X,O,X,X,O,X,X,O,O,X,X
ISTOZLJ,O,X,X,O,X,X,O,X,X,O,O,X,X
ISTOZJL,O,X,X,O,X,X,O,X,X,O,O,X,X
ISLTJZO,X,O,X,X,X,X,X,X,X,O,X,O,X
ISLTJOZ,X,O,X,X,X,X,O,X,X,O,X,O,X
ISLTZJO,X,O,X,X,X,X,X,X,X,O,X,X,X
ISLTZOJ,X,X,X,X,X,X,X,X,X,O,O,X,X
ISLTOJZ,X,O,X,X,X,X,O,X,X,O,X,X,X
ISLTOZJ,X,X,X,X,X,X,X,X,X,O,O,X,X
ISLJTZO,X,O,X,X,X,X,X,X,X,O,X,O,X
ISLJTOZ,X,O,O,X,X,X,O,X,X,O,X,O,X
ISLJZTO,X,X,O,X,O,X,X,X,X,O,X,O,X
ISLJZOT,X,O,O,X,O,X,O,X,X,O,X,X,X
ISLJOTZ,X,O,O,X,X,X,O,X,X,O,X,O,X
ISLJOZT,X,O,O,X,X,X,O,X,X,O,X,X,X
ISLZTJO,X,X,X,X,O,X,X,X,X,O,X,X,X
ISLZTOJ,X,X,X,X,O,X,X,X,X,O,X,X,X
ISLZJTO,X,X,O,X,O,X,X,X,X,O,X,O,X
ISLZJOT,X,O,O,X,O,X,O,X,X,O,X,X,X
ISLZOTJ,X,X,X,X,O,X,X,X,X,O,O,X,X
ISLZOJT,X,X,O,X,O,X,O,X,X,O,O,X,X
ISLOTJZ,X,X,X,X,X,X,O,X,X,O,X,X,X
ISLOTZJ,X,X,X,X,X,X,X,X,X,O,O,X,X
ISLOJTZ,X,O,O,X,X,X,O,X,X,O,X,O,X
ISLOJZT,X,O,O,X,X,X,O,X,X,O,X,X,X
ISLOZTJ,X,X,X,X,X,X,X,X,X,O,O,X,X
ISLOZJT,X,X,O,X,X,X,O,X,X,O,O,X,X
ISJTLZO,O,O,X,X,X,X,O,X,X,O,X,X,O
ISJTLOZ,O,O,O,X,X,X,O,X,X,O,X,X,O
ISJTZLO,O,O,O,X,X,X,O,X,X,O,X,X,O
ISJTZOL,O,O,O,X,X,X,O,X,X,O,O,X,X
ISJTOLZ,O,O,O,X,X,X,O,X,X,O,X,X,O
ISJTOZL,O,O,O,X,X,X,O,X,X,O,O,X,X
ISJLTZO,O,O,X,X,X,X,X,X,X,O,X,X,O
ISJLTOZ,O,O,O,X,X,X,O,X,X,O,X,X,O
ISJLZTO,O,X,O,X,O,X,X,X,X,O,X,X,O
ISJLZOT,O,O,O,X,O,X,O,X,X,O,X,X,X
ISJLOTZ,O,O,O,X,X,X,O,X,X,O,X,X,O
ISJLOZT,O,O,O,X,X,X,O,X,X,O,X,X,X
ISJZTLO,O,X,O,X,O,X,X,X,X,O,X,X,X
ISJZTOL,O,X,O,X,O,X,X,X,X,O,X,X,X
ISJZLTO,O,X,O,X,O,X,X,X,X,O,X,X,O
ISJZLOT,O,O,O,X,O,X,O,X,X,O,X,X,X
