sequence,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jem6IvhFRcBSiBTfB3?gBFqB0rB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeT6IvhFxbBmgBCiBl?kBcqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jex6IvhFTdBifBGhBf?qBllB0rB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Je06IvhFxbB2kBzgBC?iBFqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jel6IvhFWhBTdB/kBZ?lBCmB0rB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jex6IvhFKhBGdB/kBF?gBcqBzrB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeO/IvhF0bBxcBzfBS?mBFqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeO/IvhFxbBTdBFgBf?qBCmB0rB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jex6IvhFOhBTdB/kBF?gBcqBqrB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeK/IvhFfgBxbBTdBW?mBFqB0rB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeT6IvhFibBWiBUhBx?kBFqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeO/IvhFTdBRgBSmBX?gBFqB0rB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeK/IvhFGbBxcBUgBT?hBFqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jei6IvhFWhBTdB3fBx?lBFqB0rB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jel6IvhFSiB/kBZlBu?lBUmBzrB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeT6IvhF6lBxhB0kBO?qB/rBFsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Je5AJvhFThBmkB/kBa?qBcsBlrB,v115@7gB8HeB8FeE8CeH8AeB8BeC8Jel6IvhFxcB2kBThBS?qBcqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeO/IvhFxbB8lBCiBz?kBFqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeTBJvhFxkB/kB+lBa?qBcsBlrB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeK/IvhFGbBUgBxhBT?hBFqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeT6IvhFWiB0kBxlBl?lBiqBXsB,v115@7gB8HeB8FeE8CeH8AeB8BeC8JeWCJvhFTfBxlBllB0?kBiqBXsB
JSZTILO,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZTIOL,X,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZTLIO,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZTLOI,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTOIL,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTOLI,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZITLO,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSZITOL,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JSZILTO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZILOT,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZIOTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSZIOLT,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLTIO,X,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZLTOI,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLITO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZLIOT,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLOTI,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLOIT,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTIL,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTLI,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOITL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSZOILT,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLTI,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLIT,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTILZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTIZL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTLIZ,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOTLZI,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTZIL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTZLI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOITLZ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSOITZL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JSOILTZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSOILZT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JSOIZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOIZLT,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOLTIZ,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSOLTZI,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOLITZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JSOLIZT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOLZTI,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JSOLZIT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOZTIL,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZTLI,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZITL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZILT,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLTI,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOZLIT,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTILSO,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTILOS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JZTISLO,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTISOL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JZTIOLS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JZTIOSL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JZTLISO,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTLIOS,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTLSIO,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTLSOI,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLOIS,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTLOSI,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSILO,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTSIOL,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTSLIO,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTSLOI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSOIL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSOLI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOILS,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JZTOISL,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JZTOLIS,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTOLSI,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOSIL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOSLI,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITLSO,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZITLOS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JZITSLO,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZITSOL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JZITOLS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JZITOSL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JZILTSO,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZILTOS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JZILSTO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZILSOT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILOTS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JZILOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZISTLO,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZISTOL,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JZISLTO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZISLOT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZISOLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTLS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
JZIOTSL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
JZIOLTS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JZIOLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZIOSTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JZIOSLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZLTISO,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLTIOS,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLTSIO,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLTSOI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTOIS,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLTOSI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLITSO,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLITOS,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JZLISTO,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLISOT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLIOTS,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JZLIOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZLSTIO,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTOI,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSITO,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLSIOT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSOTI,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSOIT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOTIS,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X
JZLOTSI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZLOITS,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,X
JZLOIST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JZLOSTI,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZLOSIT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZSTILO,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSTIOL,X,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLIO,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLOI,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTOIL,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTOLI,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSITLO,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSITOL,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JZSILTO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSILOT,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSIOTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZSIOLT,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTIO,X,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTOI,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLITO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSLIOT,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLOTI,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLOIT,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOTIL,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOTLI,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOITL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZSOILT,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLTI,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLIT,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTILS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JZOTISL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JZOTLIS,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZOTLSI,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOTSIL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTSLI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOITLS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
JZOITSL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
JZOILTS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,X
JZOILST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JZOISTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JZOISLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOLTIS,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X
JZOLTSI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZOLITS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,X
JZOLIST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JZOLSTI,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZOLSIT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOSTIL,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSTLI,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSITL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZOSILT,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLTI,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOSLIT,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTILSZ,O,X,X,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JOTILZS,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O
JOTISLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JOTISZL,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
JOTIZLS,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOTIZSL,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JOTLISZ,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTLIZS,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JOTLSIZ,O,X,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JOTLSZI,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTLZIS,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
JOTLZSI,O,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X
JOTSILZ,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTSIZL,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTSLIZ,O,X,O,O,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JOTSLZI,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSZIL,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSZLI,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTZILS,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTZISL,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTZLIS,O,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JOTZLSI,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTZSIL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTZSLI,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITLSZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOITLZS,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O
JOITSLZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JOITSZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
JOITZLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOITZSL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOILTSZ,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOILTZS,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O
JOILSTZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X
JOILSZT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
JOILZTS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOILZST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOISTLZ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
JOISTZL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
JOISLTZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
JOISLZT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
JOISZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JOISZLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JOIZTLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
JOIZTSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
JOIZLTS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X
JOIZLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOIZSTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
JOIZSLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JOLTISZ,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLTIZS,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JOLTSIZ,O,X,O,O,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JOLTSZI,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLTZIS,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
JOLTZSI,O,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X
JOLITSZ,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLITZS,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O
JOLISTZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
JOLISZT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JOLIZTS,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOLIZST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLSTIZ,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JOLSTZI,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLSITZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JOLSIZT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLSZTI,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOLSZIT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLZTIS,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JOLZTSI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOLZITS,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
