sequence,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeO/IvhFXbBxdB?SlBziB0pBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jei6IvhF+gBxdB?3fBziB0pBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Je06IvhF6gBxdB?2kBziBlpB3qB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jex6IvhF6iBOjB?clBTkB3qBlpB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeZ/IvhFWgBXeB?TgB0iBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeZ/IvhFWgB0dB?TgBXjBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jex6IvhFXeBOkB?TgB0iBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeO/IvhFXbBxdB?qlBziBlpBUqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Je//IvhFFbBxdB?ziB2pB0lBSvB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jex6IvhF0dBOkB?TgBXjBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Je6AJvhFxdBlfB?ziBOkB8pB3qB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Je6CJvhFOjBxfB?clBTkB3qBlpB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jei6IvhFxdBWlB?ziB/pBlqBcqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jex9IvhFOkBXgB?ziBqlBUqBlpB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeX+IvhFxfBmfB?0iBTkB1qBSvB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeX+IvhFxfBOkB?TgB0iBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Je09IvhFxfBOkB?TgBXjBqpBlqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8Jex9IvhFVlBziB?2pBqlB/pBUqB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeZ/IvhF0dBzfB?qlBXjBFlBWvB,v115@3gB8HeC8BeA8DeC8BeA8EeF8CeF8JeO/IvhFXbBxdB?ziB1pB0lBSvB
JZIOSLT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZLTISO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZLTIOS,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
JZLTSIO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTSOI,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLTOIS,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
JZLTOSI,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLITSO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZLITOS,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
JZLISTO,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZLISOT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
JZLIOTS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
JZLIOST,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
JZLSTIO,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSTOI,O,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLSITO,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSIOT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZLSOTI,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZLSOIT,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X
JZLOTIS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
JZLOTSI,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLOITS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZLOIST,O,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X
JZLOSTI,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZLOSIT,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X
JZSTILO,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSTIOL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSTLIO,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSTLOI,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSTOIL,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZSTOLI,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZSITLO,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSITOL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSILTO,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSILOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZSIOTL,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZSIOLT,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZSLTIO,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSLTOI,O,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZSLITO,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSLIOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZSLOTI,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZSLOIT,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X
JZSOTIL,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZSOTLI,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZSOITL,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZSOILT,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
JZSOLTI,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZSOLIT,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
JZOTILS,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O
JZOTISL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
JZOTLIS,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O
JZOTLSI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O
JZOTSIL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
JZOTSLI,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
JZOITLS,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O
JZOITSL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
JZOILTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZOILST,O,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X
JZOISTL,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZOISLT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZOLTIS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
JZOLTSI,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOLITS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZOLIST,O,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X
JZOLSTI,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZOLSIT,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X
JZOSTIL,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZOSTLI,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZOSITL,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZOSILT,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
JZOSLTI,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZOSLIT,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
JOTILSZ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
JOTILZS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOTISLZ,X,O,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X
JOTISZL,X,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
JOTIZLS,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOTIZSL,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTLISZ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
JOTLIZS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOTLSIZ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
JOTLSZI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOTLZIS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOTLZSI,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOTSILZ,X,O,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,O,X,X
JOTSIZL,X,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
JOTSLIZ,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X
JOTSLZI,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X
JOTSZIL,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOTSZLI,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOTZILS,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOTZISL,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTZLIS,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOTZLSI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOTZSIL,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTZSLI,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOITLSZ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
JOITLZS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOITSLZ,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X
JOITSZL,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOITZLS,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOITZSL,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOILTSZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
JOILTZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
JOILSTZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JOILSZT,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X
JOILZTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JOILZST,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
JOISTLZ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X
JOISTZL,X,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
JOISLTZ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JOISLZT,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JOISZTL,X,X,X,O,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
JOISZLT,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X
JOIZTLS,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O
JOIZTSL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
JOIZLTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JOIZLST,O,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X
JOIZSTL,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOIZSLT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOLTISZ,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X
JOLTIZS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X
JOLTSIZ,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X
JOLTSZI,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
JOLTZIS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X
JOLTZSI,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
JOLITSZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
JOLITZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
JOLISTZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JOLISZT,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X
JOLIZTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JOLIZST,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
JOLSTIZ,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JOLSTZI,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSITZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JOLSIZT,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X
JOLSZTI,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLSZIT,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X
JOLZTIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
JOLZTSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLZITS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JOLZIST,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
JOLZSTI,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLZSIT,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
JOSTILZ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X
JOSTIZL,X,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
JOSTLIZ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
JOSTLZI,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JOSTZIL,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOSTZLI,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOSITLZ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X
JOSITZL,X,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
JOSILTZ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JOSILZT,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JOSIZTL,X,X,X,O,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
JOSIZLT,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X
JOSLTIZ,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
JOSLTZI,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOSLITZ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JOSLIZT,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JOSLZTI,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOSLZIT,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JOSZTIL,X,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
JOSZTLI,X,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
JOSZITL,X,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
JOSZILT,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X
JOSZLTI,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JOSZLIT,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X
JOZTILS,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O
JOZTISL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
JOZTLIS,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O
JOZTLSI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O
JOZTSIL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
JOZTSLI,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
JOZITLS,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O
JOZITSL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
JOZILTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JOZILST,O,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X
JOZISTL,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOZISLT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOZLTIS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
JOZLTSI,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOZLITS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JOZLIST,O,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X
JOZLSTI,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOZLSIT,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X
JOZSTIL,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOZSTLI,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOZSITL,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOZSILT,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
JOZSLTI,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOZSLIT,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
STILJZO,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
STILJOZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
STILZJO,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
STILZOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
STILOJZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X
STILOZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
STIJLZO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
STIJLOZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
STIJZLO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIJZOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
STIJOLZ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
STIJOZL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
STIZLJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIZLOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
STIZJLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STIZJOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
STIZOLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
STIZOJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
STIOLJZ,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
STIOLZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
STIOJLZ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
STIOJZL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
STIOZLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
STIOZJL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
STLIJZO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
STLIJOZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
STLIZJO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
STLIZOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
STLIOJZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X
STLIOZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
STLJIZO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
STLJIOZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
STLJZIO,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
STLJZOI,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
STLJOIZ,O,X,O,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
STLJOZI,O,X,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
STLZIJO,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
STLZIOJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X
STLZJIO,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
STLZJOI,O,X,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
STLZOIJ,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
STLZOJI,O,X,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
STLOIJZ,O,X,O,X,O,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X
STLOIZJ,O,X,O,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X
STLOJIZ,O,X,O,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
STLOJZI,O,X,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
STLOZIJ,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
STLOZJI,O,X,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
STJILZO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
STJILOZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
STJIZLO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJIZOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
STJIOLZ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
STJIOZL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
STJLIZO,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
STJLIOZ,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
STJLZIO,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
STJLZOI,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STJLOIZ,X,O,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
STJLOZI,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
STJZILO,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJZIOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJZLIO,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJZLOI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJZOIL,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
STJZOLI,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
STJOILZ,X,O,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
STJOIZL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
STJOLIZ,X,O,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
STJOLZI,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
STJOZIL,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
STJOZLI,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
STZILJO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STZILOJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
STZIJLO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STZIJOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
