sequence,v115@FhB8BeB8DeB8CeH8AeH8Jem6IvhFfhB0cBxdBTfBSn?BlpB,v115@FhB8BeB8DeB8CeH8AeH8JeO/IvhF8fBfhB6hBxdBTi?BlpB,v115@FhB8BeB8DeB8CeH8AeH8Jei6IvhFGcBxdB3fBUhBTi?BlpB,v115@FhB8BeB8DeB8CeH8AeH8JeK/IvhFzaBfhBxdBGiB0h?BlpB,v115@FhB8BeB8DeB8CeH8AeH8Jey/IvhFfhBxdBGiBTfB0h?BlpB,v115@FhB8BeB8DeB8CeH8AeH8Je2/IvhFShBxdBTiB3fBUh?BlpB,v115@FhB8BeB8DeB8CeH8AeH8Jem7IvhFCeBxfB3hBTfBUi?BlpB,v115@FhB8BeB8DeB8CeH8AeH8Jem7IvhFCeBxfBUiBTfB3h?BlpB
TSZOLIJ,O,O,O,X,X,X,X,X
TSZOLJI,O,O,O,X,X,X,X,X
TSZOJIL,O,O,O,X,X,X,X,X
TSZOJLI,O,O,O,X,X,X,X,X
TSOILJZ,O,O,O,O,O,O,O,X
TSOILZJ,O,O,O,O,X,X,X,X
TSOIJLZ,O,O,O,O,O,O,O,X
TSOIJZL,O,O,O,X,X,X,X,X
TSOIZLJ,O,O,O,X,X,X,X,X
TSOIZJL,O,O,O,X,X,X,X,X
TSOLIJZ,O,O,O,O,O,O,O,X
TSOLIZJ,O,O,O,O,X,X,X,X
TSOLJIZ,O,O,O,O,O,O,O,X
TSOLJZI,O,O,O,O,O,O,X,X
TSOLZIJ,O,O,O,O,X,X,X,X
TSOLZJI,O,O,O,O,X,X,X,X
TSOJILZ,O,O,O,O,O,O,O,X
TSOJIZL,O,O,O,X,X,X,X,X
TSOJLIZ,O,O,O,O,O,O,O,X
TSOJLZI,O,O,O,O,O,O,X,X
TSOJZIL,O,O,O,X,X,X,X,X
TSOJZLI,O,O,O,X,X,X,X,X
TSOZILJ,O,O,O,X,X,X,X,X
TSOZIJL,O,O,O,X,X,X,X,X
TSOZLIJ,O,O,O,X,X,X,X,X
TSOZLJI,O,O,O,X,X,X,X,X
TSOZJIL,O,O,O,X,X,X,X,X
TSOZJLI,O,O,O,X,X,X,X,X
TZILJSO,O,O,O,O,O,X,O,O
TZILJOS,X,O,X,O,X,X,X,O
TZILSJO,O,O,O,O,O,X,O,O
TZILSOJ,O,O,O,O,X,X,X,X
TZILOJS,O,O,X,O,X,X,X,O
TZILOSJ,O,O,X,O,X,X,X,X
TZIJLSO,O,O,O,O,O,X,O,O
TZIJLOS,X,O,X,O,X,X,X,O
TZIJSLO,O,O,O,O,O,X,O,O
TZIJSOL,O,O,O,X,X,X,X,X
TZIJOLS,X,O,O,X,X,O,X,O
TZIJOSL,X,O,O,X,X,X,X,X
TZISLJO,O,O,O,O,O,X,O,O
TZISLOJ,O,O,O,O,X,X,X,X
TZISJLO,O,O,O,O,O,X,O,O
