sequence,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeR7IvhF3cBGeB?TgBliBimB0sB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeR7IvhFzcBGeB?igB3iBFmB0sB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeF7IvhFxcBTeB?3gBcmBOnBqsB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeR7IvhFfiBTeB?igB+nBFmB0sB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeF7IvhFxcBTeB?3gBGiBimB0sB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeR7IvhFFdBTgB?OmBCjBUnBXtB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeU7IvhFyhBWjB?xlBTnBFmBXtB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeaAJvhFzbBRdB?GiBFmB/sBctB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeU7IvhFylBWnB?xnBFmBTnBXtB
IJSTZLO,X,O,X,X,X,X,X,X,X
IJSTZOL,O,O,X,X,X,X,X,X,X
IJSTOLZ,O,O,X,O,X,X,X,X,X
IJSTOZL,O,O,X,X,X,X,X,X,X
IJSLTZO,O,O,X,O,X,X,X,X,X
IJSLTOZ,O,O,X,O,X,X,X,X,X
IJSLZTO,O,X,X,X,X,X,X,X,O
IJSLZOT,O,O,X,X,X,X,X,X,O
IJSLOTZ,O,O,X,O,X,X,X,X,X
IJSLOZT,O,O,X,X,X,X,X,X,X
IJSZTLO,X,O,X,X,X,X,X,X,X
IJSZTOL,X,O,X,X,X,X,X,X,X
IJSZLTO,X,X,X,X,X,X,X,X,O
IJSZLOT,X,O,X,X,X,X,X,X,O
IJSZOTL,X,O,X,X,X,X,X,X,X
IJSZOLT,X,O,X,X,X,X,X,X,X
IJSOTLZ,O,O,X,O,X,X,X,X,X
IJSOTZL,O,O,X,X,X,X,X,X,X
IJSOLTZ,O,O,X,O,X,X,X,X,X
IJSOLZT,O,O,X,X,X,X,X,X,X
IJSOZTL,X,O,X,X,X,X,X,X,X
IJSOZLT,X,O,X,X,X,X,X,X,X
IJZTLSO,X,O,X,O,X,X,X,X,O
IJZTLOS,X,O,X,O,X,O,X,X,O
IJZTSLO,X,O,X,X,X,X,X,X,X
IJZTSOL,O,O,X,X,X,X,X,X,X
IJZTOLS,X,O,X,O,X,O,X,X,X
IJZTOSL,X,O,X,X,X,O,X,X,X
IJZLTSO,O,X,X,O,X,X,X,X,O
IJZLTOS,X,X,X,O,X,O,X,X,O
IJZLSTO,O,X,X,X,X,X,X,X,O
IJZLSOT,O,O,X,X,X,X,X,X,O
IJZLOTS,X,X,X,O,X,O,X,X,O
IJZLOST,X,X,X,X,X,O,X,X,O
IJZSTLO,X,O,X,X,X,X,X,X,X
IJZSTOL,X,O,X,X,X,X,X,X,X
IJZSLTO,X,X,X,X,X,X,X,X,O
IJZSLOT,X,O,X,X,X,X,X,X,O
IJZSOTL,X,O,X,X,X,X,X,X,X
IJZSOLT,X,O,X,X,X,X,X,X,X
IJZOTLS,X,X,X,O,X,O,O,X,X
IJZOTSL,O,X,X,X,X,O,X,X,X
IJZOLTS,O,X,X,O,X,O,O,X,O
IJZOLST,O,X,X,X,X,O,O,X,O
IJZOSTL,X,X,X,X,X,O,X,X,X
IJZOSLT,X,X,X,X,X,O,O,X,X
IJOTLSZ,O,O,X,O,X,X,X,X,X
IJOTLZS,O,O,X,O,X,X,O,X,X
IJOTSLZ,O,O,X,O,X,X,X,X,X
IJOTSZL,O,O,X,X,X,X,X,X,X
IJOTZLS,X,O,X,O,X,O,O,X,X
IJOTZSL,O,O,X,X,X,O,X,X,X
IJOLTSZ,O,X,X,O,X,X,X,X,X
IJOLTZS,O,X,X,O,X,X,O,X,X
IJOLSTZ,O,O,X,O,X,X,X,X,X
IJOLSZT,O,O,X,X,X,X,O,X,X
IJOLZTS,O,X,X,O,X,O,O,X,O
IJOLZST,O,X,X,X,X,O,O,X,O
IJOSTLZ,O,O,X,O,X,X,X,X,X
IJOSTZL,O,O,X,X,X,X,X,X,X
IJOSLTZ,O,O,X,O,X,X,X,X,X
IJOSLZT,O,O,X,X,X,X,O,X,X
IJOSZTL,X,O,X,X,X,O,X,X,X
IJOSZLT,X,O,X,X,X,O,O,X,X
IJOZTLS,X,X,X,O,X,O,O,X,X
IJOZTSL,O,X,X,X,X,O,X,X,X
IJOZLTS,O,X,X,O,X,O,O,X,O
IJOZLST,O,X,X,X,X,O,O,X,O
IJOZSTL,X,X,X,X,X,O,X,X,X
IJOZSLT,X,X,X,X,X,O,O,X,X
ISTLJZO,X,O,O,O,O,X,X,O,X
ISTLJOZ,O,O,O,O,O,X,X,O,X
ISTLZJO,X,O,O,O,X,X,X,X,X
ISTLZOJ,X,O,O,X,O,X,X,X,X
ISTLOJZ,X,O,O,O,O,X,X,O,X
ISTLOZJ,X,O,O,X,O,X,X,X,X
ISTJLZO,X,O,X,O,X,X,X,O,X
ISTJLOZ,O,O,X,O,O,X,X,O,X
ISTJZLO,X,O,X,X,X,X,X,X,X
ISTJZOL,O,O,X,X,X,X,X,X,X
ISTJOLZ,O,O,X,O,O,X,X,O,X
ISTJOZL,O,O,X,X,X,X,X,X,X
ISTZLJO,X,O,O,X,X,X,X,X,X
ISTZLOJ,X,O,O,X,O,X,X,X,X
ISTZJLO,X,O,O,X,X,X,X,X,X
ISTZJOL,O,O,O,X,X,X,X,X,X
ISTZOLJ,X,O,O,X,O,X,X,X,X
ISTZOJL,X,O,O,X,X,X,X,X,X
ISTOLJZ,X,O,O,O,O,X,X,O,X
ISTOLZJ,X,O,O,X,O,X,X,X,X
ISTOJLZ,O,O,X,O,O,X,X,O,X
ISTOJZL,O,O,X,X,X,X,X,X,X
ISTOZLJ,X,X,O,X,O,X,X,X,X
ISTOZJL,X,O,O,X,X,X,X,X,X
ISLTJZO,O,O,O,X,O,X,X,O,X
ISLTJOZ,O,O,O,X,O,X,X,O,X
ISLTZJO,O,O,O,X,X,X,X,X,X
ISLTZOJ,X,O,O,X,O,X,X,X,X
ISLTOJZ,O,O,O,X,O,X,X,O,X
ISLTOZJ,X,O,O,X,O,X,X,X,X
ISLJTZO,O,O,O,O,O,X,X,O,X
ISLJTOZ,O,O,O,O,O,X,X,O,X
ISLJZTO,O,X,X,X,O,X,X,X,O
ISLJZOT,O,O,X,X,O,X,X,X,O
ISLJOTZ,O,O,O,O,O,X,X,X,X
ISLJOZT,O,O,X,X,O,X,X,X,X
ISLZTJO,O,X,X,X,X,X,X,X,X
ISLZTOJ,X,X,X,X,O,X,X,X,X
ISLZJTO,O,X,X,X,X,X,X,X,O
ISLZJOT,O,O,X,X,X,X,X,X,O
ISLZOTJ,X,X,X,X,O,X,X,X,X
ISLZOJT,X,O,X,X,X,X,X,X,X
ISLOTJZ,O,O,O,X,O,X,X,X,X
ISLOTZJ,X,X,O,X,O,X,X,X,X
ISLOJTZ,O,O,O,O,O,X,X,X,X
ISLOJZT,O,O,X,X,O,X,X,X,X
ISLOZTJ,X,X,X,X,O,X,X,X,X
ISLOZJT,X,O,X,X,X,X,X,X,X
ISJTLZO,X,O,X,O,X,X,X,O,X
ISJTLOZ,O,O,X,O,O,X,X,O,X
ISJTZLO,X,O,X,X,X,X,X,X,X
ISJTZOL,O,O,X,X,X,X,X,X,X
ISJTOLZ,O,O,X,O,O,X,X,O,X
ISJTOZL,O,O,X,X,X,X,X,X,X
ISJLTZO,O,O,X,O,X,X,X,O,X
ISJLTOZ,O,O,X,O,O,X,X,O,X
ISJLZTO,O,X,X,X,X,X,X,X,O
ISJLZOT,O,O,X,X,X,X,X,X,O
ISJLOTZ,O,O,X,O,O,X,X,X,X
ISJLOZT,O,O,X,X,X,X,X,X,X
ISJZTLO,X,O,X,X,X,X,X,X,X
ISJZTOL,X,O,X,X,X,X,X,X,X
ISJZLTO,X,X,X,X,X,X,X,X,O
ISJZLOT,X,O,X,X,X,X,X,X,O
ISJZOTL,X,O,X,X,X,X,X,X,X
ISJZOLT,X,O,X,X,X,X,X,X,X
ISJOTLZ,O,O,X,O,O,X,X,X,X
ISJOTZL,O,O,X,X,X,X,X,X,X
ISJOLTZ,O,O,X,O,X,X,X,X,X
ISJOLZT,O,O,X,X,X,X,X,X,X
ISJOZTL,X,O,X,X,X,X,X,X,X
ISJOZLT,X,O,X,X,X,X,X,X,X
ISZTLJO,X,O,X,X,X,X,X,X,X
ISZTLOJ,X,O,X,X,O,X,X,X,X
ISZTJLO,X,O,X,X,X,X,X,X,X
ISZTJOL,X,O,X,X,X,X,X,X,X
ISZTOLJ,X,X,X,X,O,X,X,X,X
ISZTOJL,X,O,X,X,X,X,X,X,X
ISZLTJO,X,X,X,X,X,X,X,X,X
ISZLTOJ,X,X,X,X,O,X,X,X,X
ISZLJTO,X,X,X,X,X,X,X,X,O
ISZLJOT,X,O,X,X,X,X,X,X,O
ISZLOTJ,X,X,X,X,O,X,X,X,X
ISZLOJT,X,O,X,X,X,X,X,X,X
ISZJTLO,X,O,X,X,X,X,X,X,X
ISZJTOL,X,O,X,X,X,X,X,X,X
ISZJLTO,X,X,X,X,X,X,X,X,O
ISZJLOT,X,O,X,X,X,X,X,X,O
ISZJOTL,X,O,X,X,X,X,X,X,X
ISZJOLT,X,O,X,X,X,X,X,X,X
ISZOTLJ,X,X,X,X,O,X,X,X,X
ISZOTJL,X,X,X,X,X,X,X,X,X
ISZOLTJ,X,X,X,X,X,X,X,X,X
ISZOLJT,X,X,X,X,X,X,O,X,X
ISZOJTL,X,O,X,X,X,X,X,X,X
ISZOJLT,X,O,X,X,X,X,O,X,X
ISOTLJZ,O,O,O,O,O,X,X,X,X
ISOTLZJ,X,O,O,X,O,X,X,X,X
ISOTJLZ,O,O,X,O,O,X,X,X,X
ISOTJZL,O,O,X,X,X,X,X,X,X
ISOTZLJ,X,X,O,X,O,X,X,X,X
ISOTZJL,O,O,O,X,X,X,X,X,X
ISOLTJZ,O,O,O,X,O,X,X,X,X
ISOLTZJ,O,X,O,X,O,X,X,X,X
ISOLJTZ,O,O,O,O,O,X,X,X,X
ISOLJZT,O,O,X,X,O,X,O,X,X
ISOLZTJ,O,X,X,X,O,X,X,X,X
ISOLZJT,O,O,X,X,X,X,O,X,X
ISOJTLZ,O,O,X,O,O,X,X,X,X
ISOJTZL,O,O,X,X,X,X,X,X,X
ISOJLTZ,O,O,X,O,X,X,X,X,X
ISOJLZT,O,O,X,X,X,X,O,X,X
ISOJZTL,X,O,X,X,X,O,X,X,X
ISOJZLT,X,O,X,X,X,O,O,X,X
ISOZTLJ,X,X,X,X,O,X,X,X,X
ISOZTJL,X,X,X,X,X,X,X,X,X
ISOZLTJ,X,X,X,X,X,X,X,X,X
ISOZLJT,X,X,X,X,X,X,O,X,X
ISOZJTL,X,O,X,X,X,X,X,X,X
ISOZJLT,X,O,X,X,X,X,O,X,X
IZTLJSO,X,O,O,O,X,X,X,X,O
IZTLJOS,X,O,O,O,X,X,X,X,O
IZTLSJO,X,O,O,O,X,X,X,X,X
IZTLSOJ,X,O,O,X,X,X,X,X,X
IZTLOJS,X,O,O,O,X,X,X,X,X
IZTLOSJ,X,O,O,X,X,X,X,X,X
IZTJLSO,X,O,X,O,X,X,X,X,O
IZTJLOS,X,O,O,O,X,X,X,X,O
IZTJSLO,X,O,X,X,X,X,X,X,X
IZTJSOL,O,O,X,X,X,X,X,X,X
IZTJOLS,X,O,O,O,X,X,X,X,X
IZTJOSL,X,O,O,X,X,X,X,X,X
IZTSLJO,X,O,O,X,X,X,X,X,X
IZTSLOJ,X,O,O,X,X,X,X,X,X
IZTSJLO,X,O,O,X,X,X,X,X,X
IZTSJOL,O,O,O,X,X,X,X,X,X
IZTSOLJ,X,O,O,X,X,X,X,X,X
IZTSOJL,X,O,O,X,X,X,X,X,X
IZTOLJS,X,O,O,O,X,X,O,X,X
IZTOLSJ,X,O,O,X,X,X,X,X,X
IZTOJLS,X,O,O,O,X,X,O,X,X
IZTOJSL,X,O,O,X,X,X,X,X,X
IZTOSLJ,X,O,O,X,X,X,X,X,X
IZTOSJL,X,O,O,X,X,X,X,X,X
IZLTJSO,O,X,O,X,X,X,X,X,O
IZLTJOS,X,X,O,X,X,X,X,X,O
IZLTSJO,O,X,O,X,X,X,X,X,X
IZLTSOJ,X,X,O,X,X,X,X,X,X
IZLTOJS,X,X,O,X,X,X,X,X,X
IZLTOSJ,X,X,O,X,X,X,X,X,X
IZLJTSO,O,X,O,O,X,X,X,X,O
IZLJTOS,X,X,O,O,X,O,X,X,O
IZLJSTO,O,X,O,X,X,X,X,X,O
IZLJSOT,O,O,O,X,X,X,X,X,O
IZLJOTS,X,X,O,O,X,O,X,X,O
IZLJOST,X,X,O,X,X,O,X,X,O
IZLSTJO,O,X,O,X,X,X,X,X,X
IZLSTOJ,X,X,O,X,X,X,X,X,X
IZLSJTO,O,X,O,X,X,X,X,X,O
IZLSJOT,O,O,O,X,X,X,X,X,O
IZLSOTJ,X,X,O,X,X,X,X,X,X
IZLSOJT,X,O,O,X,X,X,X,X,X
IZLOTJS,X,X,O,X,X,X,O,X,X
IZLOTSJ,X,X,O,X,X,X,X,X,X
IZLOJTS,X,X,O,O,X,O,O,X,O
IZLOJST,X,X,O,X,X,O,O,X,O
IZLOSTJ,X,X,O,X,X,X,X,X,X
IZLOSJT,X,X,O,X,X,X,O,X,X
IZJTLSO,X,O,X,O,X,X,X,X,O
IZJTLOS,X,O,O,O,X,O,X,X,O
IZJTSLO,X,O,X,X,X,X,X,X,X
IZJTSOL,O,O,X,X,X,X,X,X,X
IZJTOLS,X,O,O,O,X,O,X,X,X
IZJTOSL,X,O,O,X,X,O,X,X,X
IZJLTSO,O,X,X,O,X,X,X,X,O
IZJLTOS,X,X,O,O,X,O,X,X,O
IZJLSTO,O,X,O,X,X,X,X,X,O
IZJLSOT,O,O,O,X,X,X,X,X,O
IZJLOTS,X,X,O,O,X,O,X,X,O
IZJLOST,X,X,O,X,X,O,X,X,O
IZJSTLO,X,O,O,X,X,X,X,X,X
IZJSTOL,X,O,O,X,X,X,X,X,X
IZJSLTO,X,X,O,X,X,X,X,X,O
IZJSLOT,X,O,O,X,X,X,X,X,O
IZJSOTL,X,O,O,X,X,X,X,X,X
IZJSOLT,X,O,X,X,X,X,X,X,X
IZJOTLS,X,X,O,O,X,O,O,X,X
IZJOTSL,O,X,O,X,X,O,X,X,X
IZJOLTS,O,X,X,O,X,O,O,X,O
IZJOLST,O,X,X,X,X,O,O,X,O
IZJOSTL,X,X,O,X,X,O,X,X,X
IZJOSLT,X,X,X,X,X,O,O,X,X
IZSTLJO,X,O,O,X,X,X,X,X,X
IZSTLOJ,X,O,O,X,X,X,X,X,X
IZSTJLO,X,O,O,X,X,X,X,X,X
IZSTJOL,X,O,O,X,X,X,X,X,X
IZSTOLJ,X,X,O,X,X,X,X,X,X
IZSTOJL,X,O,O,X,X,X,X,X,X
IZSLTJO,X,X,O,X,X,X,X,X,X
IZSLTOJ,X,X,O,X,X,X,X,X,X
IZSLJTO,X,X,O,X,X,X,X,X,O
IZSLJOT,X,O,O,X,X,X,X,X,O
IZSLOTJ,X,X,O,X,X,X,X,X,X
IZSLOJT,X,O,O,X,X,X,X,X,X
IZSJTLO,X,O,O,X,X,X,X,X,X
IZSJTOL,X,O,O,X,X,X,X,X,X
IZSJLTO,X,X,O,X,X,X,X,X,O
IZSJLOT,X,O,O,X,X,X,X,X,O
IZSJOTL,X,O,O,X,X,X,X,X,X
IZSJOLT,X,O,X,X,X,X,X,X,X
IZSOTLJ,X,X,O,X,X,X,X,X,X
IZSOTJL,X,X,O,X,X,X,X,X,X
IZSOLTJ,X,X,O,X,X,X,X,X,X
IZSOLJT,X,X,O,X,X,X,O,X,X
IZSOJTL,X,O,O,X,X,X,X,X,X
IZSOJLT,X,O,X,X,X,X,O,X,X
IZOTLJS,X,X,O,O,X,X,O,X,X
IZOTLSJ,X,X,O,X,X,X,X,X,X
IZOTJLS,X,X,O,O,X,X,O,X,X
IZOTJSL,O,X,O,X,X,X,X,X,X
IZOTSLJ,X,X,O,X,X,X,X,X,X
IZOTSJL,O,X,O,X,X,X,X,X,X
IZOLTJS,O,X,O,X,X,X,O,X,X
IZOLTSJ,O,X,O,X,X,X,X,X,X
IZOLJTS,O,X,O,O,X,O,O,X,O
IZOLJST,O,X,O,X,X,O,O,X,O
IZOLSTJ,O,X,O,X,X,X,X,X,X
IZOLSJT,O,X,O,X,X,X,O,X,X
IZOJTLS,X,X,O,O,X,O,O,X,X
IZOJTSL,O,X,O,X,X,O,X,X,X
IZOJLTS,O,X,X,O,X,O,O,X,O
IZOJLST,O,X,X,X,X,O,O,X,O
IZOJSTL,X,X,O,X,X,O,X,X,X
IZOJSLT,X,X,X,X,X,O,O,X,X
IZOSTLJ,X,X,O,X,X,X,X,X,X
IZOSTJL,X,X,O,X,X,X,X,X,X
IZOSLTJ,X,X,O,X,X,X,X,X,X
IZOSLJT,X,X,O,X,X,X,O,X,X
IZOSJTL,X,X,O,X,X,X,X,X,X
IZOSJLT,X,X,X,X,X,X,O,X,X
IOTLJSZ,O,O,O,O,O,X,X,X,X
IOTLJZS,O,O,O,O,O,X,O,X,X
IOTLSJZ,O,O,O,O,X,X,X,X,X
IOTLSZJ,O,O,O,X,X,X,X,X,X
IOTLZJS,O,O,O,O,X,X,O,X,X
IOTLZSJ,O,O,O,X,X,X,X,X,X
IOTJLSZ,O,O,X,O,X,X,X,X,X
IOTJLZS,O,O,X,O,X,X,O,X,X
IOTJSLZ,O,O,X,O,X,X,X,X,X
IOTJSZL,O,O,X,X,X,X,X,X,X
IOTJZLS,X,O,X,O,X,O,O,X,X
IOTJZSL,O,O,X,X,X,O,X,X,X
IOTSLJZ,O,O,O,O,O,X,X,X,X
IOTSLZJ,X,O,O,X,O,X,X,X,X
IOTSJLZ,O,O,X,O,O,X,X,X,X
IOTSJZL,O,O,X,X,X,X,X,X,X
IOTSZLJ,X,X,O,X,O,X,X,X,X
IOTSZJL,O,O,O,X,X,X,X,X,X
IOTZLJS,X,O,O,O,X,X,O,X,X
IOTZLSJ,X,O,O,X,X,X,X,X,X
IOTZJLS,X,O,O,O,X,X,O,X,X
IOTZJSL,O,O,O,X,X,X,X,X,X
IOTZSLJ,X,O,O,X,X,X,X,X,X
IOTZSJL,O,O,O,X,X,X,X,X,X
IOLTJSZ,O,X,O,O,O,X,X,X,X
IOLTJZS,O,X,O,O,O,X,O,X,X
IOLTSJZ,O,X,O,O,X,X,X,X,X
IOLTSZJ,O,X,O,X,X,X,X,X,X
IOLTZJS,O,X,O,O,X,X,O,X,X
IOLTZSJ,O,X,O,X,X,X,X,X,X
IOLJTSZ,O,X,O,O,O,X,X,X,X
IOLJTZS,O,X,O,O,O,X,O,X,X
IOLJSTZ,O,O,O,O,O,X,X,X,X
IOLJSZT,O,O,O,X,O,X,O,X,X
IOLJZTS,O,X,O,O,O,O,O,X,O
IOLJZST,O,X,O,X,O,O,O,X,O
IOLSTJZ,O,O,O,X,O,X,X,X,X
IOLSTZJ,O,X,O,X,O,X,X,X,X
IOLSJTZ,O,O,O,O,O,X,X,X,X
IOLSJZT,O,O,X,X,O,X,O,X,X
IOLSZTJ,O,X,X,X,O,X,X,X,X
IOLSZJT,O,O,X,X,X,X,O,X,X
IOLZTJS,O,X,O,X,X,X,O,X,X
IOLZTSJ,O,X,O,X,X,X,X,X,X
IOLZJTS,O,X,O,O,X,X,O,X,O
IOLZJST,O,X,O,X,X,X,O,X,O
IOLZSTJ,O,X,O,X,X,X,X,X,X
IOLZSJT,O,X,O,X,X,X,O,X,X
IOJTLSZ,O,O,X,O,X,X,X,X,X
IOJTLZS,O,O,X,O,X,X,O,X,X
IOJTSLZ,O,O,X,O,X,X,X,X,X
IOJTSZL,O,O,X,X,X,X,X,X,X
IOJTZLS,X,O,X,O,X,O,O,X,X
IOJTZSL,O,O,X,X,X,O,X,X,X
IOJLTSZ,O,X,X,O,X,X,X,X,X
IOJLTZS,O,X,X,O,X,X,O,X,X
IOJLSTZ,O,O,X,O,X,X,X,X,X
IOJLSZT,O,O,X,X,X,X,O,X,X
IOJLZTS,O,X,X,O,X,O,O,X,O
IOJLZST,O,X,X,X,X,O,O,X,O
IOJSTLZ,O,O,X,O,X,X,X,X,X
IOJSTZL,O,O,X,X,X,X,X,X,X
IOJSLTZ,O,O,X,O,X,X,X,X,X
IOJSLZT,O,O,X,X,X,X,O,X,X
IOJSZTL,X,O,X,X,X,O,X,X,X
IOJSZLT,X,O,X,X,X,O,O,X,X
IOJZTLS,X,X,X,O,X,O,O,X,X
IOJZTSL,O,X,X,X,X,O,X,X,X
IOJZLTS,O,X,X,O,X,O,O,X,O
IOJZLST,O,X,X,X,X,O,O,X,O
IOJZSTL,X,X,X,X,X,O,X,X,X
IOJZSLT,X,X,X,X,X,O,O,X,X
IOSTLJZ,O,O,O,O,O,X,X,X,X
IOSTLZJ,X,O,O,X,O,X,X,X,X
IOSTJLZ,O,O,X,O,O,X,X,X,X
IOSTJZL,O,O,X,X,X,X,X,X,X
IOSTZLJ,X,X,O,X,O,X,X,X,X
IOSTZJL,O,O,O,X,X,X,X,X,X
IOSLTJZ,O,O,O,X,O,X,X,X,X
IOSLTZJ,O,X,O,X,O,X,X,X,X
IOSLJTZ,O,O,O,O,O,X,X,X,X
IOSLJZT,O,O,X,X,O,X,O,X,X
IOSLZTJ,O,X,X,X,O,X,X,X,X
IOSLZJT,O,O,X,X,X,X,O,X,X
IOSJTLZ,O,O,X,O,O,X,X,X,X
IOSJTZL,O,O,X,X,X,X,X,X,X
IOSJLTZ,O,O,X,O,X,X,X,X,X
IOSJLZT,O,O,X,X,X,X,O,X,X
IOSJZTL,X,O,X,X,X,O,X,X,X
IOSJZLT,X,O,X,X,X,O,O,X,X
IOSZTLJ,X,X,X,X,O,X,X,X,X
IOSZTJL,X,X,X,X,X,X,X,X,X
IOSZLTJ,X,X,X,X,X,X,X,X,X
IOSZLJT,X,X,X,X,X,X,O,X,X
IOSZJTL,X,O,X,X,X,X,X,X,X
IOSZJLT,X,O,X,X,X,X,O,X,X
IOZTLJS,X,X,O,O,X,X,O,X,X
IOZTLSJ,X,X,O,X,X,X,X,X,X
IOZTJLS,X,X,O,O,X,X,O,X,X
IOZTJSL,O,X,O,X,X,X,X,X,X
IOZTSLJ,X,X,O,X,X,X,X,X,X
IOZTSJL,O,X,O,X,X,X,X,X,X
IOZLTJS,O,X,O,X,X,X,O,X,X
IOZLTSJ,O,X,O,X,X,X,X,X,X
IOZLJTS,O,X,O,O,X,O,O,X,O
IOZLJST,O,X,O,X,X,O,O,X,O
IOZLSTJ,O,X,O,X,X,X,X,X,X
IOZLSJT,O,X,O,X,X,X,O,X,X
IOZJTLS,X,X,O,O,X,O,O,X,X
IOZJTSL,O,X,O,X,X,O,X,X,X
IOZJLTS,O,X,X,O,X,O,O,X,O
IOZJLST,O,X,X,X,X,O,O,X,O
IOZJSTL,X,X,O,X,X,O,X,X,X
IOZJSLT,X,X,X,X,X,O,O,X,X
IOZSTLJ,X,X,O,X,X,X,X,X,X
IOZSTJL,X,X,O,X,X,X,X,X,X
IOZSLTJ,X,X,O,X,X,X,X,X,X
IOZSLJT,X,X,O,X,X,X,O,X,X
IOZSJTL,X,X,O,X,X,X,X,X,X
IOZSJLT,X,X,X,X,X,X,O,X,X
LTIJSZO,O,O,O,O,X,X,X,X,X
LTIJSOZ,O,O,O,O,O,X,X,X,X
LTIJZSO,O,O,O,O,X,X,X,X,O
LTIJZOS,X,O,O,O,O,X,X,X,O
LTIJOSZ,O,O,O,O,O,X,X,X,X
LTIJOZS,O,O,O,O,O,X,X,X,X
LTISJZO,O,O,O,O,X,X,X,O,X
LTISJOZ,O,O,O,O,X,X,X,O,X
LTISZJO,O,O,O,O,X,X,X,X,X
LTISZOJ,X,O,O,X,X,X,X,X,X
LTISOJZ,O,O,O,O,X,X,X,O,X
LTISOZJ,O,O,O,X,X,X,X,X,X
LTIZJSO,O,O,O,O,X,X,X,X,O
LTIZJOS,X,O,O,O,X,X,X,X,O
LTIZSJO,O,O,X,O,X,X,X,X,X
LTIZSOJ,X,O,O,X,X,X,X,X,X
LTIZOJS,X,O,O,O,X,X,X,X,X
LTIZOSJ,X,O,O,X,X,X,X,X,X
LTIOJSZ,O,O,O,O,O,X,X,X,X
LTIOJZS,O,O,O,O,O,X,X,X,X
LTIOSJZ,O,O,O,O,X,X,X,O,X
LTIOSZJ,O,O,O,X,X,X,X,X,X
LTIOZJS,O,O,O,O,X,X,X,X,X
LTIOZSJ,O,O,O,X,X,X,X,X,X
LTJISZO,O,O,O,O,O,X,X,X,X
LTJISOZ,O,O,O,O,O,X,X,X,X
LTJIZSO,O,O,O,O,X,X,X,X,O
LTJIZOS,X,O,O,O,O,X,X,X,O
LTJIOSZ,O,O,O,O,O,X,X,X,X
LTJIOZS,O,O,O,O,O,X,X,X,X
LTJSIZO,O,O,O,O,O,X,X,O,X
LTJSIOZ,O,O,O,O,O,X,X,O,X
LTJSZIO,O,O,O,O,O,X,X,O,X
LTJSZOI,O,O,O,O,O,X,X,O,X
LTJSOIZ,O,O,O,O,O,X,X,O,X
LTJSOZI,O,O,O,O,O,X,X,O,X
LTJZISO,O,O,O,O,X,X,X,X,O
LTJZIOS,X,O,O,O,O,X,X,X,O
LTJZSIO,O,O,O,O,X,X,X,X,X
LTJZSOI,O,O,O,O,X,X,X,X,X
LTJZOIS,O,O,O,O,O,X,X,X,X
LTJZOSI,O,O,O,O,X,X,X,X,X
LTJOISZ,O,O,O,O,O,X,X,X,X
LTJOIZS,O,O,O,O,O,X,X,X,X
LTJOSIZ,O,O,O,O,O,X,X,O,X
LTJOSZI,O,O,O,O,O,X,X,O,X
LTJOZIS,O,O,O,O,O,X,X,X,X
LTJOZSI,O,O,O,O,X,X,X,X,X
LTSIJZO,O,O,O,O,O,X,X,O,X
LTSIJOZ,O,O,O,O,O,X,X,O,X
LTSIZJO,O,O,O,O,X,X,X,X,X
LTSIZOJ,X,O,O,X,O,X,X,X,X
LTSIOJZ,O,O,O,O,O,X,X,O,X
LTSIOZJ,O,O,O,X,O,X,X,X,X
LTSJIZO,O,O,O,O,O,X,X,O,X
LTSJIOZ,O,O,O,O,O,X,X,O,X
LTSJZIO,O,O,O,O,O,X,X,O,X
LTSJZOI,O,O,O,O,O,X,X,O,X
LTSJOIZ,O,O,O,O,O,X,X,O,X
LTSJOZI,O,O,O,O,O,X,X,O,X
LTSZIJO,O,O,O,O,X,X,X,X,X
LTSZIOJ,X,O,O,X,O,X,X,X,X
LTSZJIO,O,O,O,O,O,X,X,O,X
LTSZJOI,O,O,O,O,O,X,X,O,X
LTSZOIJ,O,O,O,X,O,X,X,X,X
LTSZOJI,O,O,O,X,O,X,X,O,X
LTSOIJZ,O,O,O,O,O,X,X,O,X
LTSOIZJ,O,O,O,X,O,X,X,X,X
LTSOJIZ,O,O,O,O,O,X,X,O,X
LTSOJZI,O,O,O,O,O,X,X,O,X
LTSOZIJ,O,O,O,X,O,X,X,X,X
LTSOZJI,O,O,O,X,O,X,X,O,X
LTZIJSO,O,O,O,O,X,X,X,X,O
LTZIJOS,X,O,O,O,X,X,X,X,O
LTZISJO,O,O,O,O,X,X,X,X,X
LTZISOJ,X,O,O,X,X,X,X,X,X
LTZIOJS,X,O,O,O,X,X,X,X,X
LTZIOSJ,X,O,O,X,X,X,X,X,X
LTZJISO,O,O,O,O,X,X,X,X,O
LTZJIOS,X,O,O,O,O,X,X,X,O
LTZJSIO,O,O,O,O,X,X,X,X,X
LTZJSOI,O,O,O,O,X,X,X,X,X
LTZJOIS,O,O,O,O,O,X,X,X,X
