sequence,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhF6i?BTeBfmBlhB8rBOtB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhF8h?BSjBzgB3iBOtBlrB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhFTd?BChBcoB/rBFnBOtB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je6AJvhFTc?BxdBcoB/rBFnBmsB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je07IvhFTd?B6jBWnBZoBXhBlrB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhFXd?BzgBSnBcoBlrBOtB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhF6i?BfmBlhBTjB8rBOtB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhF8h?B+jBzgB3iBatBlrB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je07IvhFxc?BTeBFmBXnBOtBCsB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je6AJvhFRd?BOnBTmBFoB/rBctB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je6AJvhFlc?BTeBxmBOtBcnB/rB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je6AJvhFTc?BxiBcoB/rBFnBmsB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhF6i?BfmBcoBzmBOtBlrB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je6AJvhFZh?B3dBzmBFoBurBctB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8JeRBJvhFcn?BTjBlgBCiB/rBOtB
JSILTOZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSILZTO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSILZOT,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSILOTZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSILOZT,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSIZTLO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIZTOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZLTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZLOT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSIZOTL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSIZOLT,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X
JSIOTLZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSIOTZL,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JSIOLTZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSIOLZT,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X
JSIOZTL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSIOZLT,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X
JSLTIZO,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JSLTIOZ,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X
JSLTZIO,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSLTZOI,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JSLTOIZ,O,O,O,X,X,X,X,X,O,O,X,O,X,X,X
JSLTOZI,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X
JSLITZO,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSLITOZ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSLIZTO,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSLIZOT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLIOTZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLIOZT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLZTIO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JSLZTOI,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JSLZITO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLZIOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZOTI,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JSLZOIT,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSLOTIZ,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X
JSLOTZI,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X
JSLOITZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLOIZT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLOZTI,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JSLOZIT,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSZTILO,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X
JSZTIOL,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JSZTLIO,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X
JSZTLOI,O,X,O,O,X,X,O,O,O,X,X,X,X,X,X
JSZTOIL,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JSZTOLI,O,X,O,O,X,X,O,O,O,X,X,X,X,X,X
JSZITLO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZITOL,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JSZILTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZILOT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSZIOTL,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O
JSZIOLT,O,X,X,O,O,X,X,O,X,X,X,X,O,X,O
JSZLTIO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JSZLTOI,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JSZLITO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZLIOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZLOTI,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JSZLOIT,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSZOTIL,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JSZOTLI,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JSZOITL,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O
JSZOILT,O,X,X,O,O,X,X,O,X,X,X,X,O,X,O
JSZOLTI,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X
JSZOLIT,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X
JSOTILZ,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X
JSOTIZL,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JSOTLIZ,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X
JSOTLZI,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X
JSOTZIL,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X
JSOTZLI,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X
JSOITLZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOITZL,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JSOILTZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOILZT,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X
JSOIZTL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOIZLT,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X
JSOLTIZ,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X
JSOLTZI,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X
JSOLITZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOLIZT,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JSOLZTI,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X
JSOLZIT,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X
JSOZTIL,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JSOZTLI,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JSOZITL,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O
JSOZILT,O,X,X,O,O,X,X,O,X,X,X,X,O,X,O
JSOZLTI,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X
JSOZLIT,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X
JZTILSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTILOS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZTISLO,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZTISOL,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JZTIOLS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
JZTIOSL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JZTLISO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTLIOS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZTLSIO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZTLSOI,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X
JZTLOIS,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X
JZTLOSI,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
JZTSILO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZTSIOL,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JZTSLIO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZTSLOI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JZTSOIL,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JZTSOLI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JZTOILS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
JZTOISL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JZTOLIS,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X
JZTOLSI,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
JZTOSIL,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JZTOSLI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JZITLSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZITLOS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZITSLO,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZITSOL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZITOLS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
JZITOSL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JZILTSO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZILTOS,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
JZILSTO,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZILSOT,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JZILOTS,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
JZILOST,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZISTLO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZISTOL,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZISLTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISLOT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZISOTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZISOLT,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X
JZIOTLS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
JZIOTSL,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JZIOLTS,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
JZIOLST,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZIOSTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JZIOSLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JZLTISO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLTIOS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZLTSIO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZLTSOI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZLTOIS,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JZLTOSI,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JZLITSO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZLITOS,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
JZLISTO,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZLISOT,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JZLIOTS,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
JZLIOST,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZLSTIO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JZLSTOI,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JZLSITO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLSIOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSOTI,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZLSOIT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOTIS,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JZLOTSI,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JZLOITS,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
JZLOIST,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZLOSTI,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JZLOSIT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZSTILO,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X
JZSTIOL,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JZSTLIO,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X
JZSTLOI,O,X,O,O,X,X,O,O,O,X,X,X,X,X,X
JZSTOIL,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JZSTOLI,O,X,O,O,X,X,O,O,O,X,X,X,X,X,X
JZSITLO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSITOL,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZSILTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSILOT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZSIOTL,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O
JZSIOLT,O,X,X,O,O,X,X,O,X,X,X,X,O,X,O
JZSLTIO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSLTOI,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSLITO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSLIOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSLOTI,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZSLOIT,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZSOTIL,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JZSOTLI,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JZSOITL,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O
JZSOILT,O,X,X,O,O,X,X,O,X,X,X,X,O,X,O
JZSOLTI,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X
JZSOLIT,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X
JZOTILS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
JZOTISL,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JZOTLIS,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
JZOTLSI,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
JZOTSIL,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JZOTSLI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JZOITLS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
JZOITSL,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JZOILTS,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
JZOILST,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZOISTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JZOISLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JZOLTIS,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JZOLTSI,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JZOLITS,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
JZOLIST,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JZOLSTI,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JZOLSIT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZOSTIL,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZOSTLI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZOSITL,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O
JZOSILT,O,X,X,X,O,X,X,O,X,X,X,X,O,X,O
JZOSLTI,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X
JZOSLIT,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JOTILSZ,O,O,X,X,X,O,X,X,X,O,O,X,X,O,X
JOTILZS,O,O,X,X,O,O,X,O,X,O,O,X,X,O,X
JOTISLZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTISZL,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JOTIZLS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
JOTIZSL,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JOTLISZ,O,O,X,X,X,O,X,X,X,O,O,X,X,O,X
JOTLIZS,O,O,X,X,X,O,X,O,X,O,O,X,X,O,X
JOTLSIZ,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JOTLSZI,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
JOTLZIS,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
JOTLZSI,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
JOTSILZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTSIZL,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JOTSLIZ,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOTSLZI,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X
JOTSZIL,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JOTSZLI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JOTZILS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
JOTZISL,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JOTZLIS,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
JOTZLSI,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
JOTZSIL,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JOTZSLI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JOITLSZ,O,O,X,X,X,O,X,X,X,O,O,X,X,O,X
JOITLZS,O,O,X,X,O,O,X,O,X,O,O,X,X,O,X
JOITSLZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOITSZL,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JOITZLS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
JOITZSL,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JOILTSZ,O,O,X,X,X,X,X,X,X,O,O,X,X,O,X
JOILTZS,O,O,X,X,O,X,X,O,X,O,O,X,X,O,X
JOILSTZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOILSZT,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOILZTS,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOILZST,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOISTLZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOISTZL,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JOISLTZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOISLZT,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOISZTL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOISZLT,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOIZTLS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
JOIZTSL,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JOIZLTS,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
JOIZLST,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOIZSTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOIZSLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLTISZ,O,O,X,X,X,X,X,X,X,O,O,X,X,O,X
JOLTIZS,O,O,X,X,X,X,X,O,X,O,O,X,X,O,X
JOLTSIZ,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOLTSZI,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X
JOLTZIS,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X
JOLTZSI,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X
JOLITSZ,O,O,X,X,X,X,X,X,X,O,O,X,X,O,X
JOLITZS,O,O,X,X,O,X,X,O,X,O,O,X,X,O,X
JOLISTZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLISZT,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOLIZTS,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOLIZST,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOLSTIZ,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOLSTZI,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOLSITZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLSIZT,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JOLSZTI,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X
JOLSZIT,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JOLZTIS,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JOLZTSI,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JOLZITS,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
JOLZIST,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOLZSTI,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JOLZSIT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOSTILZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOSTIZL,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JOSTLIZ,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOSTLZI,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X
JOSTZIL,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JOSTZLI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JOSITLZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOSITZL,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JOSILTZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOSILZT,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X
JOSIZTL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOSIZLT,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X
JOSLTIZ,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOSLTZI,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JOSLITZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOSLIZT,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JOSLZTI,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X
JOSLZIT,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JOSZTIL,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JOSZTLI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JOSZITL,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O
JOSZILT,O,X,X,X,O,X,X,O,X,X,X,X,O,X,O
JOSZLTI,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X
JOSZLIT,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JOZTILS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
JOZTISL,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JOZTLIS,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
JOZTLSI,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
JOZTSIL,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JOZTSLI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JOZITLS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
JOZITSL,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JOZILTS,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
JOZILST,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOZISTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JOZISLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JOZLTIS,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JOZLTSI,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JOZLITS,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
JOZLIST,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOZLSTI,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JOZLSIT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOZSTIL,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JOZSTLI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JOZSITL,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O
JOZSILT,O,X,X,X,O,X,X,O,X,X,X,X,O,X,O
JOZSLTI,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X
JOZSLIT,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X
STILJZO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
STILJOZ,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
STILZJO,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
STILZOJ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
STILOJZ,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X
STILOZJ,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X
STIJLZO,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
STIJLOZ,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X
STIJZLO,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
STIJZOL,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
STIJOLZ,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X
STIJOZL,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
STIZLJO,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
STIZLOJ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
STIZJLO,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
STIZJOL,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
STIZOLJ,X,X,O,O,X,O,X,X,X,X,X,O,O,X,X
