sequence,v115@IhA8GeD8FeD8DeC8Jei/IvhF3gBcmBxiBdsBznBWwB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBxhBOoBTnBXrB0rB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBxhBOoBTnB0rBXrB,v115@IhA8GeD8FeD8DeC8Jei/IvhFThBXjBUrBRsB9qBOsB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBxiBmmBznBXrB0rB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBTiBOoBxrBXrB0rB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBxiBmmBznB0rBXrB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9mBxiB0lBmnBXsBzqB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBOoBxmBTnBXrB0rB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBOoBxmBTnB0rBXrB
ILOJSZT,X,X,X,X,X,X,X,O,X,X
ILOJZTS,O,X,O,X,X,O,O,X,X,X
ILOJZST,O,X,X,X,X,X,X,O,X,X
ILOSTJZ,O,O,X,X,O,O,X,X,X,X
ILOSTZJ,O,O,X,X,O,X,O,X,X,X
ILOSJTZ,O,O,X,X,O,O,X,O,X,X
ILOSJZT,X,X,X,X,X,X,X,O,X,X
ILOSZTJ,X,X,X,O,O,X,O,X,X,X
ILOSZJT,X,X,X,O,X,X,X,O,X,X
ILOZTJS,O,X,O,O,X,O,O,X,X,X
ILOZTSJ,O,X,O,O,O,X,O,X,X,X
ILOZJTS,O,X,O,O,X,O,O,X,X,X
ILOZJST,X,X,X,O,X,X,X,O,X,X
ILOZSTJ,X,X,X,O,O,X,O,X,X,X
ILOZSJT,X,X,X,O,X,X,X,O,X,X
IJTLSZO,O,X,X,X,X,O,X,O,O,X
IJTLSOZ,X,O,X,X,X,O,X,O,O,X
IJTLZSO,O,X,X,X,X,O,X,O,X,O
IJTLZOS,O,X,O,X,X,O,X,X,X,O
IJTLOSZ,O,O,O,X,O,O,X,X,X,X
IJTLOZS,O,O,O,X,X,O,O,X,X,X
IJTSLZO,O,X,X,X,X,O,X,O,O,X
IJTSLOZ,X,O,X,X,X,O,X,O,O,X
IJTSZLO,O,X,X,X,X,O,X,O,O,X
IJTSZOL,O,X,X,X,X,O,X,O,X,X
IJTSOLZ,X,O,X,X,X,O,X,O,O,X
IJTSOZL,X,O,X,X,X,O,X,O,X,X
IJTZLSO,O,X,X,X,X,O,X,O,X,O
IJTZLOS,O,X,O,X,X,O,X,X,X,O
IJTZSLO,O,X,X,X,X,O,X,O,X,O
IJTZSOL,O,X,X,X,X,O,X,O,X,X
IJTZOLS,O,X,O,X,X,O,X,X,X,O
IJTZOSL,O,X,O,X,X,O,X,X,X,X
IJTOLSZ,O,O,O,X,O,O,X,X,X,X
IJTOLZS,O,O,O,X,X,O,O,X,X,X
IJTOSLZ,O,O,O,X,O,O,X,X,X,X
IJTOSZL,O,O,X,X,O,O,X,X,X,X
IJTOZLS,O,O,O,X,X,O,O,X,X,X
IJTOZSL,O,X,O,X,X,O,O,X,X,X
IJLTSZO,O,X,X,X,X,O,X,O,O,X
IJLTSOZ,X,O,X,X,X,O,X,O,O,X
IJLTZSO,O,X,X,X,X,O,X,O,X,O
IJLTZOS,O,X,O,X,X,O,X,X,X,O
IJLTOSZ,O,O,O,X,O,O,X,X,X,X
IJLTOZS,O,O,O,X,X,O,O,X,X,X
IJLSTZO,O,X,X,X,X,O,X,O,O,X
IJLSTOZ,X,O,X,X,X,O,X,O,O,X
IJLSZTO,O,X,X,O,X,X,X,O,X,X
IJLSZOT,O,X,X,O,X,X,X,O,X,X
IJLSOTZ,O,O,X,X,X,O,X,O,X,X
IJLSOZT,X,X,X,X,X,X,X,O,X,X
IJLZTSO,O,X,X,O,X,O,X,O,X,O
IJLZTOS,O,X,O,O,X,O,X,X,X,O
IJLZSTO,O,X,X,O,X,X,X,O,X,X
IJLZSOT,O,X,X,O,X,X,X,O,X,X
IJLZOTS,O,X,O,O,X,O,X,X,X,X
IJLZOST,O,X,X,O,X,X,X,O,X,X
IJLOTSZ,O,O,O,X,O,O,X,X,X,X
IJLOTZS,O,O,O,X,X,O,O,X,X,X
IJLOSTZ,O,O,X,X,O,O,X,O,X,X
IJLOSZT,X,X,X,X,X,X,X,O,X,X
IJLOZTS,O,X,O,X,X,O,O,X,X,X
IJLOZST,O,X,X,X,X,X,X,O,X,X
IJSTLZO,O,X,X,X,X,O,X,O,O,X
IJSTLOZ,X,O,X,X,X,O,X,O,O,X
IJSTZLO,O,X,X,X,X,O,X,O,O,X
IJSTZOL,O,X,X,X,X,O,X,O,X,X
IJSTOLZ,X,O,X,X,X,O,X,O,O,X
IJSTOZL,X,O,X,X,X,O,X,O,X,X
IJSLTZO,O,X,X,X,X,O,X,O,O,X
IJSLTOZ,X,O,X,X,X,O,X,O,O,X
IJSLZTO,O,X,X,O,X,X,X,O,X,X
IJSLZOT,O,X,X,O,X,X,X,O,X,X
IJSLOTZ,O,O,X,X,X,O,X,O,X,X
IJSLOZT,X,X,X,X,X,X,X,O,X,X
IJSZTLO,O,X,X,O,X,X,X,O,O,X
IJSZTOL,O,X,X,O,X,X,X,O,X,X
IJSZLTO,O,X,X,O,X,X,X,O,X,X
IJSZLOT,O,X,X,O,X,X,X,O,X,X
IJSZOTL,X,X,X,O,X,X,X,O,X,X
IJSZOLT,O,X,X,O,X,X,X,O,X,X
IJSOTLZ,O,O,X,X,X,O,X,O,O,X
IJSOTZL,O,O,X,X,X,O,X,O,X,X
IJSOLTZ,O,O,X,X,X,O,X,O,X,X
IJSOLZT,X,X,X,X,X,X,X,O,X,X
IJSOZTL,X,O,X,X,X,X,X,O,X,X
IJSOZLT,X,X,X,X,X,X,X,O,X,X
IJZTLSO,O,X,X,O,X,O,X,O,X,O
IJZTLOS,O,X,O,O,X,O,X,X,X,O
IJZTSLO,O,X,X,O,X,O,X,O,X,O
IJZTSOL,O,X,X,O,X,O,X,O,X,X
IJZTOLS,O,X,O,O,X,O,X,X,X,O
IJZTOSL,O,X,O,O,X,O,X,X,X,X
IJZLTSO,O,X,X,O,X,O,X,O,X,O
IJZLTOS,O,X,O,O,X,O,X,X,X,O
IJZLSTO,O,X,X,O,X,X,X,O,X,X
IJZLSOT,O,X,X,O,X,X,X,O,X,X
IJZLOTS,O,X,O,O,X,O,X,X,X,X
IJZLOST,O,X,X,O,X,X,X,O,X,X
IJZSTLO,O,X,X,O,X,X,X,O,X,O
IJZSTOL,O,X,X,O,X,X,X,O,X,X
IJZSLTO,O,X,X,O,X,X,X,O,X,X
IJZSLOT,O,X,X,O,X,X,X,O,X,X
IJZSOTL,X,X,X,O,X,X,X,O,X,X
IJZSOLT,O,X,X,O,X,X,X,O,X,X
IJZOTLS,O,X,O,O,X,O,X,X,X,O
IJZOTSL,O,X,O,O,X,O,X,X,X,X
IJZOLTS,O,X,O,O,X,O,X,X,X,X
IJZOLST,O,X,X,O,X,X,X,O,X,X
IJZOSTL,X,X,O,O,X,X,X,O,X,X
IJZOSLT,O,X,X,O,X,X,X,O,X,X
IJOTLSZ,O,O,O,X,O,O,X,X,X,X
IJOTLZS,O,O,O,X,X,O,O,X,X,X
IJOTSLZ,O,O,O,X,O,O,X,X,X,X
IJOTSZL,O,O,X,X,O,O,X,X,X,X
IJOTZLS,O,O,O,X,X,O,O,X,X,X
IJOTZSL,O,X,O,X,X,O,O,X,X,X
IJOLTSZ,O,O,O,X,O,O,X,X,X,X
IJOLTZS,O,O,O,X,X,O,O,X,X,X
IJOLSTZ,O,O,X,X,O,O,X,O,X,X
IJOLSZT,X,X,X,X,X,X,X,O,X,X
IJOLZTS,O,X,O,X,X,O,O,X,X,X
IJOLZST,O,X,X,X,X,X,X,O,X,X
IJOSTLZ,O,O,O,X,O,O,X,O,X,X
IJOSTZL,O,O,X,X,O,O,X,O,X,X
IJOSLTZ,O,O,X,X,O,O,X,O,X,X
IJOSLZT,X,X,X,X,X,X,X,O,X,X
IJOSZTL,X,O,O,X,O,X,X,O,X,X
IJOSZLT,X,X,X,X,X,X,X,O,X,X
IJOZTLS,O,O,O,X,X,O,O,X,X,X
IJOZTSL,O,X,O,X,X,O,O,X,X,X
IJOZLTS,O,X,O,X,X,O,O,X,X,X
IJOZLST,O,X,X,X,X,X,X,O,X,X
IJOZSTL,X,O,O,X,X,X,O,O,X,X
IJOZSLT,O,X,X,X,X,X,X,O,X,X
ISTLJZO,O,X,X,X,X,O,X,O,O,X
ISTLJOZ,X,O,X,X,O,O,X,O,O,X
ISTLZJO,O,X,X,O,X,X,X,O,O,X
ISTLZOJ,O,X,X,O,X,X,X,X,X,X
ISTLOJZ,X,O,X,X,O,O,X,X,O,X
ISTLOZJ,X,O,X,X,O,X,O,X,X,X
ISTJLZO,O,X,X,X,X,O,X,O,O,X
ISTJLOZ,X,O,X,X,O,O,X,O,O,X
ISTJZLO,O,X,X,X,X,O,X,O,O,X
ISTJZOL,O,X,X,X,X,O,X,O,X,X
ISTJOLZ,X,O,X,X,O,O,X,O,O,X
ISTJOZL,X,O,X,X,O,O,X,O,X,X
ISTZLJO,O,X,X,O,X,X,X,O,O,X
ISTZLOJ,O,X,X,O,X,X,X,X,X,X
ISTZJLO,O,X,X,O,X,X,X,O,O,X
ISTZJOL,X,X,X,O,X,X,X,O,X,X
ISTZOLJ,O,X,X,O,X,X,X,X,X,X
ISTZOJL,X,X,X,O,X,X,X,X,X,X
ISTOLJZ,X,O,X,X,O,O,X,X,O,X
ISTOLZJ,X,O,X,X,O,X,O,X,X,X
ISTOJLZ,X,O,X,X,O,O,X,X,O,X
ISTOJZL,X,O,X,X,O,O,X,X,X,X
ISTOZLJ,X,O,X,X,O,X,O,X,X,X
ISTOZJL,X,O,X,X,O,X,O,X,X,X
ISLTJZO,O,X,X,X,X,O,X,O,O,X
ISLTJOZ,X,O,X,X,O,O,X,O,O,X
ISLTZJO,O,X,X,O,X,X,X,O,O,X
ISLTZOJ,O,X,X,O,X,X,X,X,X,X
ISLTOJZ,X,O,X,X,O,O,X,X,O,X
ISLTOZJ,X,O,X,X,O,X,O,X,X,X
ISLJTZO,O,X,X,X,X,O,X,O,O,X
ISLJTOZ,X,O,X,X,X,O,X,O,O,X
ISLJZTO,O,X,X,O,X,X,X,O,X,X
ISLJZOT,O,X,X,O,X,X,X,O,X,X
ISLJOTZ,O,O,X,X,X,O,X,O,X,X
ISLJOZT,X,X,X,X,X,X,X,O,X,X
ISLZTJO,X,X,X,O,X,X,X,O,X,X
ISLZTOJ,X,X,X,O,X,X,X,X,X,X
ISLZJTO,X,X,X,O,X,X,X,O,X,X
ISLZJOT,X,X,X,O,X,X,X,O,X,X
ISLZOTJ,X,X,X,O,X,X,X,X,X,X
ISLZOJT,X,X,X,O,X,X,X,O,X,X
ISLOTJZ,O,O,X,X,O,O,X,X,X,X
ISLOTZJ,O,O,X,X,O,X,O,X,X,X
ISLOJTZ,O,O,X,X,O,O,X,O,X,X
ISLOJZT,X,X,X,X,X,X,X,O,X,X
ISLOZTJ,X,X,X,O,O,X,O,X,X,X
ISLOZJT,X,X,X,O,X,X,X,O,X,X
ISJTLZO,O,X,X,X,X,O,X,O,O,X
ISJTLOZ,X,O,X,X,O,O,X,O,O,X
ISJTZLO,O,X,X,X,X,O,X,O,O,X
ISJTZOL,O,X,X,X,X,O,X,O,X,X
ISJTOLZ,X,O,X,X,O,O,X,O,O,X
ISJTOZL,X,O,X,X,O,O,X,O,X,X
ISJLTZO,O,X,X,X,X,O,X,O,O,X
ISJLTOZ,X,O,X,X,X,O,X,O,O,X
ISJLZTO,O,X,X,O,X,X,X,O,X,X
ISJLZOT,O,X,X,O,X,X,X,O,X,X
ISJLOTZ,O,O,X,X,X,O,X,O,X,X
ISJLOZT,X,X,X,X,X,X,X,O,X,X
ISJZTLO,O,X,X,O,X,X,X,O,O,X
ISJZTOL,O,X,X,O,X,X,X,O,X,X
ISJZLTO,O,X,X,O,X,X,X,O,X,X
ISJZLOT,O,X,X,O,X,X,X,O,X,X
ISJZOTL,X,X,X,O,X,X,X,O,X,X
ISJZOLT,O,X,X,O,X,X,X,O,X,X
ISJOTLZ,O,O,X,X,O,O,X,O,O,X
ISJOTZL,O,O,X,X,O,O,X,O,X,X
ISJOLTZ,O,O,X,X,O,O,X,O,X,X
ISJOLZT,X,X,X,X,X,X,X,O,X,X
ISJOZTL,X,O,X,X,O,X,X,O,X,X
ISJOZLT,X,X,X,X,X,X,X,O,X,X
ISZTLJO,X,X,X,O,X,X,X,O,O,X
ISZTLOJ,X,X,X,O,X,X,X,X,X,X
ISZTJLO,X,X,X,O,X,X,X,O,O,X
ISZTJOL,X,X,X,O,X,X,X,O,X,X
ISZTOLJ,X,X,X,O,X,X,X,X,X,X
ISZTOJL,X,X,X,O,X,X,X,X,X,X
ISZLTJO,X,X,X,O,X,X,X,O,X,X
ISZLTOJ,X,X,X,O,X,X,X,X,X,X
ISZLJTO,X,X,X,O,X,X,X,O,X,X
ISZLJOT,X,X,X,O,X,X,X,O,X,X
ISZLOTJ,X,X,X,O,X,X,X,X,X,X
ISZLOJT,X,X,X,O,X,X,X,O,X,X
ISZJTLO,X,X,X,O,X,X,X,O,O,X
ISZJTOL,X,X,X,O,X,X,X,O,X,X
ISZJLTO,X,X,X,O,X,X,X,O,X,X
ISZJLOT,X,X,X,O,X,X,X,O,X,X
ISZJOTL,X,X,X,O,X,X,X,O,X,X
ISZJOLT,X,X,X,O,X,X,X,O,X,X
ISZOTLJ,X,X,X,O,X,X,X,X,X,X
ISZOTJL,X,X,X,O,X,X,X,X,X,X
ISZOLTJ,X,X,X,O,X,X,X,X,X,X
ISZOLJT,X,X,X,O,X,X,X,O,X,X
ISZOJTL,X,X,X,O,X,X,X,O,X,X
ISZOJLT,X,X,X,O,X,X,X,O,X,X
ISOTLJZ,O,O,X,X,O,O,X,X,O,X
ISOTLZJ,O,O,X,X,O,X,O,X,X,X
ISOTJLZ,O,O,X,X,O,O,X,X,O,X
ISOTJZL,O,O,X,X,O,O,X,X,X,X
ISOTZLJ,O,O,X,X,O,X,O,X,X,X
ISOTZJL,O,O,X,X,O,X,O,X,X,X
ISOLTJZ,O,O,X,X,O,O,X,X,X,X
ISOLTZJ,O,O,X,X,O,X,O,X,X,X
ISOLJTZ,O,O,X,X,O,O,X,O,X,X
ISOLJZT,X,X,X,X,X,X,X,O,X,X
ISOLZTJ,X,X,X,O,O,X,O,X,X,X
ISOLZJT,X,X,X,O,X,X,X,O,X,X
ISOJTLZ,O,O,X,X,O,O,X,O,O,X
ISOJTZL,O,O,X,X,O,O,X,O,X,X
ISOJLTZ,O,O,X,X,O,O,X,O,X,X
ISOJLZT,X,X,X,X,X,X,X,O,X,X
ISOJZTL,X,O,X,X,O,X,X,O,X,X
ISOJZLT,X,X,X,X,X,X,X,O,X,X
ISOZTLJ,X,O,X,O,O,X,O,X,X,X
ISOZTJL,X,O,X,O,O,X,O,X,X,X
ISOZLTJ,X,X,X,O,O,X,O,X,X,X
ISOZLJT,X,X,X,O,X,X,X,O,X,X
ISOZJTL,X,O,X,O,O,X,O,O,X,X
ISOZJLT,X,X,X,O,X,X,X,O,X,X
IZTLJSO,O,X,X,O,X,O,X,O,X,O
IZTLJOS,O,X,O,O,X,O,O,X,X,O
IZTLSJO,O,X,X,O,X,X,X,O,X,O
IZTLSOJ,O,X,X,O,X,X,X,X,X,X
IZTLOJS,X,X,O,O,X,O,O,X,X,O
IZTLOSJ,O,X,O,O,O,X,O,X,X,X
IZTJLSO,O,X,X,O,X,O,X,O,X,O
IZTJLOS,O,X,O,O,X,O,O,X,X,O
IZTJSLO,O,X,X,O,X,O,X,O,X,O
IZTJSOL,O,X,X,O,X,O,X,O,X,X
IZTJOLS,O,X,O,O,X,O,O,X,X,O
IZTJOSL,O,X,O,O,X,O,O,X,X,X
IZTSLJO,O,X,X,O,X,X,X,O,X,O
IZTSLOJ,O,X,X,O,X,X,X,X,X,X
IZTSJLO,O,X,X,O,X,X,X,O,X,O
IZTSJOL,X,X,X,O,X,X,X,O,X,X
IZTSOLJ,O,X,X,O,X,X,X,X,X,X
IZTSOJL,X,X,X,O,X,X,X,X,X,X
IZTOLJS,X,X,O,O,X,O,O,X,X,O
IZTOLSJ,O,X,O,O,O,X,O,X,X,X
IZTOJLS,X,X,O,O,X,O,O,X,X,O
IZTOJSL,X,X,O,O,X,O,O,X,X,X
IZTOSLJ,O,X,O,O,O,X,O,X,X,X
IZTOSJL,X,X,O,O,O,X,O,X,X,X
IZLTJSO,O,X,X,O,X,O,X,O,X,O
IZLTJOS,O,X,O,O,X,O,O,X,X,O
IZLTSJO,O,X,X,O,X,X,X,O,X,O
IZLTSOJ,O,X,X,O,X,X,X,X,X,X
IZLTOJS,X,X,O,O,X,O,O,X,X,O
IZLTOSJ,O,X,O,O,O,X,O,X,X,X
IZLJTSO,O,X,X,O,X,O,X,O,X,O
IZLJTOS,O,X,O,O,X,O,X,X,X,O
IZLJSTO,O,X,X,O,X,X,X,O,X,X
IZLJSOT,O,X,X,O,X,X,X,O,X,X
IZLJOTS,O,X,O,O,X,O,X,X,X,X
IZLJOST,O,X,X,O,X,X,X,O,X,X
IZLSTJO,X,X,X,O,X,X,X,O,X,X
IZLSTOJ,X,X,X,O,X,X,X,X,X,X
IZLSJTO,X,X,X,O,X,X,X,O,X,X
IZLSJOT,X,X,X,O,X,X,X,O,X,X
IZLSOTJ,X,X,X,O,X,X,X,X,X,X
IZLSOJT,X,X,X,O,X,X,X,O,X,X
IZLOTJS,O,X,O,O,X,O,O,X,X,X
IZLOTSJ,O,X,O,O,O,X,O,X,X,X
IZLOJTS,O,X,O,O,X,O,O,X,X,X
IZLOJST,X,X,X,O,X,X,X,O,X,X
IZLOSTJ,X,X,X,O,O,X,O,X,X,X
IZLOSJT,X,X,X,O,X,X,X,O,X,X
IZJTLSO,O,X,X,O,X,O,X,O,X,O
IZJTLOS,O,X,O,O,X,O,O,X,X,O
IZJTSLO,O,X,X,O,X,O,X,O,X,O
IZJTSOL,O,X,X,O,X,O,X,O,X,X
IZJTOLS,O,X,O,O,X,O,O,X,X,O
IZJTOSL,O,X,O,O,X,O,O,X,X,X
IZJLTSO,O,X,X,O,X,O,X,O,X,O
IZJLTOS,O,X,O,O,X,O,X,X,X,O
IZJLSTO,O,X,X,O,X,X,X,O,X,X
IZJLSOT,O,X,X,O,X,X,X,O,X,X
IZJLOTS,O,X,O,O,X,O,X,X,X,X
IZJLOST,O,X,X,O,X,X,X,O,X,X
IZJSTLO,O,X,X,O,X,X,X,O,X,O
IZJSTOL,X,X,X,O,X,X,X,O,X,X
IZJSLTO,O,X,X,O,X,X,X,O,X,X
IZJSLOT,O,X,X,O,X,X,X,O,X,X
IZJSOTL,X,X,X,O,X,X,X,O,X,X
IZJSOLT,O,X,X,O,X,X,X,O,X,X
IZJOTLS,O,X,O,O,X,O,O,X,X,O
IZJOTSL,O,X,O,O,X,O,O,X,X,X
IZJOLTS,O,X,O,O,X,O,O,X,X,X
IZJOLST,O,X,X,O,X,X,X,O,X,X
IZJOSTL,X,X,O,O,X,X,O,O,X,X
IZJOSLT,O,X,X,O,X,X,X,O,X,X
IZSTLJO,X,X,X,O,X,X,X,O,X,O
IZSTLOJ,X,X,X,O,X,X,X,X,X,X
IZSTJLO,X,X,X,O,X,X,X,O,X,O
IZSTJOL,X,X,X,O,X,X,X,O,X,X
IZSTOLJ,X,X,X,O,X,X,X,X,X,X
IZSTOJL,X,X,X,O,X,X,X,X,X,X
IZSLTJO,X,X,X,O,X,X,X,O,X,X
IZSLTOJ,X,X,X,O,X,X,X,X,X,X
IZSLJTO,X,X,X,O,X,X,X,O,X,X
IZSLJOT,X,X,X,O,X,X,X,O,X,X
IZSLOTJ,X,X,X,O,X,X,X,X,X,X
IZSLOJT,X,X,X,O,X,X,X,O,X,X
IZSJTLO,X,X,X,O,X,X,X,O,X,O
IZSJTOL,X,X,X,O,X,X,X,O,X,X
IZSJLTO,X,X,X,O,X,X,X,O,X,X
IZSJLOT,X,X,X,O,X,X,X,O,X,X
IZSJOTL,X,X,X,O,X,X,X,O,X,X
IZSJOLT,X,X,X,O,X,X,X,O,X,X
IZSOTLJ,X,X,X,O,X,X,X,X,X,X
IZSOTJL,X,X,X,O,X,X,X,X,X,X
IZSOLTJ,X,X,X,O,X,X,X,X,X,X
IZSOLJT,X,X,X,O,X,X,X,O,X,X
IZSOJTL,X,X,X,O,X,X,X,O,X,X
IZSOJLT,X,X,X,O,X,X,X,O,X,X
IZOTLJS,O,X,O,O,X,O,O,X,X,O
IZOTLSJ,O,X,O,O,O,X,O,X,X,X
IZOTJLS,O,X,O,O,X,O,O,X,X,O
IZOTJSL,O,X,O,O,X,O,O,X,X,X
IZOTSLJ,O,X,O,O,O,X,O,X,X,X
IZOTSJL,O,X,O,O,O,X,O,X,X,X
IZOLTJS,O,X,O,O,X,O,O,X,X,X
IZOLTSJ,O,X,O,O,O,X,O,X,X,X
IZOLJTS,O,X,O,O,X,O,O,X,X,X
IZOLJST,X,X,X,O,X,X,X,O,X,X
IZOLSTJ,X,X,X,O,O,X,O,X,X,X
IZOLSJT,X,X,X,O,X,X,X,O,X,X
IZOJTLS,O,X,O,O,X,O,O,X,X,O
IZOJTSL,O,X,O,O,X,O,O,X,X,X
IZOJLTS,O,X,O,O,X,O,O,X,X,X
IZOJLST,X,X,X,O,X,X,X,O,X,X
IZOJSTL,X,X,O,O,X,X,O,O,X,X
IZOJSLT,X,X,X,O,X,X,X,O,X,X
IZOSTLJ,X,X,O,O,O,X,O,X,X,X
IZOSTJL,X,X,O,O,O,X,O,X,X,X
IZOSLTJ,X,X,X,O,O,X,O,X,X,X
IZOSLJT,X,X,X,O,X,X,X,O,X,X
IZOSJTL,X,X,O,O,O,X,O,O,X,X
IZOSJLT,X,X,X,O,X,X,X,O,X,X
IOTLJSZ,O,O,O,X,O,O,X,X,X,X
IOTLJZS,O,O,O,X,X,O,O,X,X,X
IOTLSJZ,O,O,O,X,O,O,X,X,X,X
IOTLSZJ,O,O,X,X,O,X,O,X,X,X
IOTLZJS,O,O,O,X,X,O,O,X,X,X
IOTLZSJ,O,X,O,X,O,X,O,X,X,X
IOTJLSZ,O,O,O,X,O,O,X,X,X,X
IOTJLZS,O,O,O,X,X,O,O,X,X,X
IOTJSLZ,O,O,O,X,O,O,X,X,X,X
IOTJSZL,O,O,X,X,O,O,X,X,X,X
IOTJZLS,O,O,O,X,X,O,O,X,X,X
IOTJZSL,O,X,O,X,X,O,O,X,X,X
IOTSLJZ,O,O,O,X,O,O,X,X,X,X
IOTSLZJ,O,O,X,X,O,X,O,X,X,X
IOTSJLZ,O,O,O,X,O,O,X,X,X,X
IOTSJZL,O,O,X,X,O,O,X,X,X,X
IOTSZLJ,O,O,X,X,O,X,O,X,X,X
IOTSZJL,O,O,X,X,O,X,O,X,X,X
IOTZLJS,O,O,O,X,X,O,O,X,X,X
IOTZLSJ,O,X,O,X,O,X,O,X,X,X
IOTZJLS,O,O,O,X,X,O,O,X,X,X
IOTZJSL,O,X,O,X,X,O,O,X,X,X
IOTZSLJ,O,X,O,X,O,X,O,X,X,X
IOTZSJL,O,X,O,X,O,X,O,X,X,X
IOLTJSZ,O,O,O,X,O,O,X,X,X,X
IOLTJZS,O,O,O,X,X,O,O,X,X,X
IOLTSJZ,O,O,O,X,O,O,X,X,X,X
IOLTSZJ,O,O,X,X,O,X,O,X,X,X
IOLTZJS,O,O,O,X,X,O,O,X,X,X
IOLTZSJ,O,X,O,X,O,X,O,X,X,X
IOLJTSZ,O,O,O,X,O,O,X,X,X,X
IOLJTZS,O,O,O,X,X,O,O,X,X,X
IOLJSTZ,O,O,X,X,O,O,X,O,X,X
IOLJSZT,X,X,X,X,X,X,X,O,X,X
IOLJZTS,O,X,O,X,X,O,O,X,X,X
IOLJZST,O,X,X,X,X,X,X,O,X,X
IOLSTJZ,O,O,X,X,O,O,X,X,X,X
IOLSTZJ,O,O,X,X,O,X,O,X,X,X
IOLSJTZ,O,O,X,X,O,O,X,O,X,X
IOLSJZT,X,X,X,X,X,X,X,O,X,X
IOLSZTJ,X,X,X,O,O,X,O,X,X,X
IOLSZJT,X,X,X,O,X,X,X,O,X,X
IOLZTJS,O,X,O,O,X,O,O,X,X,X
IOLZTSJ,O,X,O,O,O,X,O,X,X,X
IOLZJTS,O,X,O,O,X,O,O,X,X,X
IOLZJST,X,X,X,O,X,X,X,O,X,X
IOLZSTJ,X,X,X,O,O,X,O,X,X,X
IOLZSJT,X,X,X,O,X,X,X,O,X,X
IOJTLSZ,O,O,O,X,O,O,X,X,X,X
IOJTLZS,O,O,O,X,X,O,O,X,X,X
IOJTSLZ,O,O,O,X,O,O,X,X,X,X
IOJTSZL,O,O,X,X,O,O,X,X,X,X
IOJTZLS,O,O,O,X,X,O,O,X,X,X
IOJTZSL,O,X,O,X,X,O,O,X,X,X
IOJLTSZ,O,O,O,X,O,O,X,X,X,X
IOJLTZS,O,O,O,X,X,O,O,X,X,X
IOJLSTZ,O,O,X,X,O,O,X,O,X,X
IOJLSZT,X,X,X,X,X,X,X,O,X,X
IOJLZTS,O,X,O,X,X,O,O,X,X,X
IOJLZST,O,X,X,X,X,X,X,O,X,X
IOJSTLZ,O,O,O,X,O,O,X,O,X,X
IOJSTZL,O,O,X,X,O,O,X,O,X,X
IOJSLTZ,O,O,X,X,O,O,X,O,X,X
IOJSLZT,X,X,X,X,X,X,X,O,X,X
IOJSZTL,X,O,O,X,O,X,X,O,X,X
IOJSZLT,X,X,X,X,X,X,X,O,X,X
IOJZTLS,O,O,O,X,X,O,O,X,X,X
IOJZTSL,O,X,O,X,X,O,O,X,X,X
IOJZLTS,O,X,O,X,X,O,O,X,X,X
IOJZLST,O,X,X,X,X,X,X,O,X,X
IOJZSTL,X,O,O,X,X,X,O,O,X,X
IOJZSLT,O,X,X,X,X,X,X,O,X,X
IOSTLJZ,O,O,O,X,O,O,X,X,X,X
IOSTLZJ,O,O,X,X,O,X,O,X,X,X
IOSTJLZ,O,O,O,X,O,O,X,X,X,X
IOSTJZL,O,O,X,X,O,O,X,X,X,X
IOSTZLJ,O,O,X,X,O,X,O,X,X,X
IOSTZJL,O,O,X,X,O,X,O,X,X,X
IOSLTJZ,O,O,X,X,O,O,X,X,X,X
IOSLTZJ,O,O,X,X,O,X,O,X,X,X
IOSLJTZ,O,O,X,X,O,O,X,O,X,X
IOSLJZT,X,X,X,X,X,X,X,O,X,X
IOSLZTJ,X,X,X,O,O,X,O,X,X,X
IOSLZJT,X,X,X,O,X,X,X,O,X,X
IOSJTLZ,O,O,O,X,O,O,X,O,X,X
IOSJTZL,O,O,X,X,O,O,X,O,X,X
IOSJLTZ,O,O,X,X,O,O,X,O,X,X
IOSJLZT,X,X,X,X,X,X,X,O,X,X
IOSJZTL,X,O,O,X,O,X,X,O,X,X
IOSJZLT,X,X,X,X,X,X,X,O,X,X
IOSZTLJ,X,O,O,O,O,X,O,X,X,X
IOSZTJL,X,O,O,O,O,X,O,X,X,X
IOSZLTJ,X,X,X,O,O,X,O,X,X,X
IOSZLJT,X,X,X,O,X,X,X,O,X,X
IOSZJTL,X,O,O,O,O,X,O,O,X,X
IOSZJLT,X,X,X,O,X,X,X,O,X,X
IOZTLJS,O,O,O,O,X,O,O,X,X,X
IOZTLSJ,O,X,O,O,O,X,O,X,X,X
IOZTJLS,O,O,O,O,X,O,O,X,X,X
IOZTJSL,O,X,O,O,X,O,O,X,X,X
IOZTSLJ,O,X,O,O,O,X,O,X,X,X
IOZTSJL,O,X,O,O,O,X,O,X,X,X
IOZLTJS,O,X,O,O,X,O,O,X,X,X
