sequence,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex6IvhF0cBTeB6kBl?gB/qBOrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex6IvhF0cBTeB6kBl?gB2qBXrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex6IvhFTeB6kB0gBl?hB/qBOrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Je//IvhFUbBTeBlhBR?qBmqBCrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex6IvhFTeB6kB0gBl?hB2qBXrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jem6IvhFTeB0fBlhBR?qBfrBCrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Je//IvhF0cBTeBigBR?qBFrBGqB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jem6IvhF0cBTeB6kBx?lBlqBfrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex7IvhFTeBmfBfmBl?hB6kB0qB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex6IvhF0cBTeB6kB/?qBFmBmqB,v115@5gB8IeA8BeA8EeE8DeH8BeE8JeU7IvhFTeBlhBRlB/?kBmqBCrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Je//IvhFUbB1hBTeBx?lBarBGqB
ITZOLJS,X,X,X,X,X,X,O,O,X,X,X,X
ITZOLSJ,X,X,X,X,X,X,O,O,X,X,X,X
ITZOJLS,X,X,X,X,X,X,O,X,X,X,X,X
ITZOJSL,X,X,X,O,X,O,O,X,X,X,X,O
ITZOSLJ,X,X,X,O,X,O,O,X,X,X,X,O
ITZOSJL,X,X,X,O,X,O,O,X,X,X,X,O
ITOLJSZ,X,X,X,O,X,X,O,O,X,X,X,O
ITOLJZS,X,X,X,X,O,X,O,O,X,X,X,X
ITOLSJZ,X,X,X,O,X,X,O,O,X,X,X,O
ITOLSZJ,X,X,O,O,X,O,O,O,X,X,X,O
ITOLZJS,X,X,X,X,X,X,O,O,X,X,X,X
ITOLZSJ,X,X,X,X,X,X,O,O,X,X,X,X
ITOJLSZ,X,X,X,O,X,X,O,O,X,X,O,O
ITOJLZS,X,X,X,X,O,X,O,O,X,X,X,X
ITOJSLZ,X,X,X,O,X,X,O,X,X,X,O,O
ITOJSZL,X,X,X,O,X,O,O,X,X,X,O,O
ITOJZLS,X,X,X,X,O,X,O,X,X,X,X,X
ITOJZSL,X,X,X,O,X,X,O,X,X,X,O,O
ITOSLJZ,X,X,X,O,X,X,O,O,X,X,X,O
ITOSLZJ,X,X,O,O,X,O,O,O,X,X,X,O
ITOSJLZ,X,X,X,O,X,X,O,X,X,X,X,O
ITOSJZL,X,X,X,O,X,O,O,X,X,X,X,O
ITOSZLJ,X,X,O,O,X,O,O,X,X,X,X,O
ITOSZJL,X,X,X,O,X,O,O,X,X,X,X,O
ITOZLJS,X,X,X,X,X,X,O,O,X,X,X,X
ITOZLSJ,X,X,X,X,X,X,O,O,X,X,X,X
ITOZJLS,X,X,X,X,X,X,O,X,X,X,X,X
ITOZJSL,X,X,X,O,X,O,O,X,X,X,X,O
ITOZSLJ,X,X,X,O,X,O,O,X,X,X,X,O
ITOZSJL,X,X,X,O,X,O,O,X,X,X,X,O
ILTJSZO,X,O,X,O,X,X,O,O,X,X,X,O
ILTJSOZ,X,O,X,O,X,X,O,O,X,X,X,O
ILTJZSO,X,O,X,X,O,X,O,O,X,X,X,X
ILTJZOS,O,O,X,X,O,X,O,O,X,X,X,X
ILTJOSZ,X,O,X,O,X,X,O,O,X,X,X,O
ILTJOZS,O,O,X,X,O,X,O,O,X,X,X,X
ILTSJZO,O,X,X,O,X,X,O,O,X,O,X,O
ILTSJOZ,O,X,X,O,X,X,O,O,X,O,X,O
ILTSZJO,O,X,O,X,X,O,O,O,X,O,X,X
ILTSZOJ,O,X,O,O,X,O,O,O,X,O,X,O
ILTSOJZ,O,X,X,O,X,X,O,O,X,O,X,O
ILTSOZJ,O,X,O,O,X,O,O,O,X,O,X,O
ILTZJSO,X,X,X,X,X,X,O,O,X,X,X,X
ILTZJOS,X,X,X,X,X,X,O,O,X,X,X,X
ILTZSJO,X,X,X,X,X,X,O,O,X,X,X,X
ILTZSOJ,X,X,X,X,X,X,O,O,X,X,X,X
ILTZOJS,O,O,X,X,X,X,O,O,X,X,X,X
ILTZOSJ,O,X,X,X,X,X,O,O,X,O,X,X
ILTOJSZ,X,O,X,O,X,X,O,O,X,X,X,O
ILTOJZS,O,O,X,X,O,X,O,O,X,X,X,X
ILTOSJZ,O,X,X,O,X,X,O,O,X,O,X,O
ILTOSZJ,O,X,O,O,X,O,O,O,X,O,X,O
ILTOZJS,O,O,X,X,X,X,O,O,X,X,X,X
ILTOZSJ,O,X,X,X,X,X,O,O,X,O,X,X
ILJTSZO,X,O,X,O,X,X,X,O,X,X,X,O
ILJTSOZ,X,O,X,O,X,X,X,O,X,X,X,O
ILJTZSO,X,O,X,X,O,X,X,O,X,X,X,X
ILJTZOS,O,O,X,X,O,X,X,O,X,X,X,X
ILJTOSZ,X,O,X,O,X,X,X,O,X,X,X,O
ILJTOZS,O,O,X,X,O,X,X,O,X,X,X,X
ILJSTZO,O,O,X,O,X,X,X,O,X,O,X,O
ILJSTOZ,O,O,X,O,X,X,X,O,X,O,X,O
ILJSZTO,O,O,O,O,O,X,X,X,X,X,X,O
ILJSZOT,O,O,O,O,O,X,X,X,X,O,X,O
ILJSOTZ,O,O,X,O,X,X,X,O,X,O,X,O
ILJSOZT,O,O,O,O,O,X,X,X,X,O,X,O
ILJZTSO,X,O,X,X,O,X,X,O,X,X,X,X
ILJZTOS,O,O,X,X,O,X,X,O,X,X,X,X
ILJZSTO,O,O,X,X,O,X,X,X,X,X,X,X
ILJZSOT,O,O,X,X,O,X,X,X,X,X,X,X
ILJZOTS,O,O,X,X,O,X,X,O,X,X,X,X
ILJZOST,O,O,X,X,O,X,X,X,X,O,X,X
ILJOTSZ,X,O,X,O,X,X,X,O,X,X,X,O
ILJOTZS,O,O,X,X,O,X,X,O,X,X,X,X
ILJOSTZ,O,O,X,O,X,X,X,O,X,O,X,O
ILJOSZT,O,O,O,O,O,X,X,X,X,O,X,O
ILJOZTS,O,O,X,X,O,X,X,O,X,X,X,X
ILJOZST,O,O,X,X,O,X,X,X,X,O,X,X
ILSTJZO,O,X,X,O,X,X,O,O,X,O,X,O
ILSTJOZ,O,X,X,O,X,X,O,O,X,O,X,O
ILSTZJO,O,X,O,X,X,O,O,O,X,O,X,X
ILSTZOJ,O,X,O,O,X,O,O,O,X,O,X,O
ILSTOJZ,O,X,X,O,X,X,O,O,X,O,X,O
ILSTOZJ,O,X,O,O,X,O,O,O,X,O,X,O
ILSJTZO,O,O,X,O,X,X,X,O,X,O,X,O
ILSJTOZ,O,O,X,O,X,X,X,O,X,O,X,O
ILSJZTO,O,O,O,O,O,X,X,X,X,X,X,O
ILSJZOT,O,O,O,O,O,X,X,X,X,O,X,O
ILSJOTZ,O,O,X,O,X,X,X,O,X,O,X,O
ILSJOZT,O,O,O,O,O,X,X,X,X,O,X,O
ILSZTJO,O,X,O,X,X,O,O,X,X,O,X,X
ILSZTOJ,O,X,O,O,X,O,O,X,X,O,X,O
ILSZJTO,O,X,O,O,X,O,X,X,X,X,X,O
ILSZJOT,O,X,O,O,X,O,X,X,X,O,X,O
ILSZOTJ,O,X,O,O,X,O,O,X,X,O,X,O
ILSZOJT,O,O,O,O,X,O,X,X,X,O,X,O
ILSOTJZ,O,X,X,O,X,X,O,O,X,O,X,O
ILSOTZJ,O,X,O,O,X,O,O,O,X,O,X,O
ILSOJTZ,O,O,X,O,X,X,X,O,X,O,X,O
ILSOJZT,O,O,O,O,O,X,X,X,X,O,X,O
ILSOZTJ,O,X,O,O,X,O,O,X,X,O,X,O
ILSOZJT,O,O,O,O,X,O,X,X,X,O,X,O
ILZTJSO,X,X,X,X,X,X,O,O,X,X,X,X
ILZTJOS,X,X,X,X,X,X,O,O,X,X,X,X
ILZTSJO,X,X,X,X,X,X,O,O,X,X,X,X
ILZTSOJ,X,X,X,X,X,X,O,O,X,X,X,X
ILZTOJS,O,O,X,X,X,X,O,O,X,X,X,X
ILZTOSJ,O,X,X,X,X,X,O,O,X,O,X,X
ILZJTSO,X,O,X,X,O,X,X,O,X,X,X,X
ILZJTOS,O,O,X,X,O,X,X,O,X,X,X,X
ILZJSTO,O,O,X,X,O,O,X,X,X,X,X,X
ILZJSOT,O,O,X,X,O,O,X,X,X,X,X,X
ILZJOTS,O,O,X,X,O,X,X,O,X,X,X,X
ILZJOST,O,O,X,X,O,O,X,X,X,O,X,X
ILZSTJO,O,X,O,X,X,O,O,X,X,O,X,X
ILZSTOJ,O,X,O,X,X,O,O,X,X,O,X,X
ILZSJTO,O,X,O,X,X,O,X,X,X,X,X,X
ILZSJOT,O,X,O,X,X,O,X,X,X,O,X,X
ILZSOTJ,O,X,O,X,X,O,O,X,X,O,X,X
ILZSOJT,O,O,O,X,X,O,X,X,X,O,X,X
ILZOTJS,O,O,X,X,X,X,O,O,X,X,X,X
ILZOTSJ,O,X,X,X,X,X,O,O,X,O,X,X
ILZOJTS,O,O,X,X,O,X,X,O,X,X,X,X
ILZOJST,O,O,X,X,O,O,X,X,X,O,X,X
ILZOSTJ,O,X,O,X,X,O,O,X,X,O,X,X
ILZOSJT,O,O,O,X,X,O,X,X,X,O,X,X
ILOTJSZ,X,O,X,O,X,X,O,O,X,X,X,O
ILOTJZS,O,O,X,X,O,X,O,O,X,X,X,X
ILOTSJZ,O,X,X,O,X,X,O,O,X,O,X,O
ILOTSZJ,O,X,O,O,X,O,O,O,X,O,X,O
ILOTZJS,O,O,X,X,X,X,O,O,X,X,X,X
ILOTZSJ,O,X,X,X,X,X,O,O,X,O,X,X
ILOJTSZ,X,O,X,O,X,X,X,O,X,X,X,O
ILOJTZS,O,O,X,X,O,X,X,O,X,X,X,X
ILOJSTZ,O,O,X,O,X,X,X,O,X,O,X,O
ILOJSZT,O,O,O,O,O,X,X,X,X,O,X,O
ILOJZTS,O,O,X,X,O,X,X,O,X,X,X,X
ILOJZST,O,O,X,X,O,X,X,X,X,O,X,X
ILOSTJZ,O,X,X,O,X,X,O,O,X,O,X,O
ILOSTZJ,O,X,O,O,X,O,O,O,X,O,X,O
ILOSJTZ,O,O,X,O,X,X,X,O,X,O,X,O
ILOSJZT,O,O,O,O,O,X,X,X,X,O,X,O
ILOSZTJ,O,X,O,O,X,O,O,X,X,O,X,O
ILOSZJT,O,O,O,O,X,O,X,X,X,O,X,O
ILOZTJS,O,O,X,X,X,X,O,O,X,X,X,X
ILOZTSJ,O,X,X,X,X,X,O,O,X,O,X,X
ILOZJTS,O,O,X,X,O,X,X,O,X,X,X,X
ILOZJST,O,O,X,X,O,O,X,X,X,O,X,X
ILOZSTJ,O,X,O,X,X,O,O,X,X,O,X,X
ILOZSJT,O,O,O,X,X,O,X,X,X,O,X,X
IJTLSZO,X,O,X,O,X,X,O,X,X,X,O,O
IJTLSOZ,X,O,X,O,X,X,O,X,X,X,O,O
IJTLZSO,X,O,X,X,O,X,O,X,X,X,X,X
IJTLZOS,O,O,X,X,O,X,O,X,X,X,X,X
IJTLOSZ,X,O,X,O,X,X,O,X,X,X,O,O
IJTLOZS,O,O,X,X,O,X,O,X,X,X,X,X
IJTSLZO,X,X,X,O,X,X,O,X,X,X,O,O
IJTSLOZ,X,X,X,O,X,X,O,X,X,X,O,O
IJTSZLO,X,X,X,O,X,O,O,X,X,X,O,O
IJTSZOL,X,O,X,O,X,O,O,X,X,X,O,O
IJTSOLZ,X,X,X,O,X,X,O,X,X,X,O,O
IJTSOZL,X,O,X,O,X,O,O,X,X,X,O,O
IJTZLSO,X,O,X,X,O,X,O,X,X,X,X,X
IJTZLOS,O,O,X,X,O,X,O,X,X,X,X,X
IJTZSLO,X,X,X,O,X,X,O,X,X,X,O,O
IJTZSOL,X,O,X,O,X,X,O,X,X,X,O,O
IJTZOLS,O,O,X,X,O,X,O,X,X,X,X,X
IJTZOSL,X,O,X,O,X,X,O,X,X,X,O,O
IJTOLSZ,X,O,X,O,X,X,O,X,X,X,O,O
IJTOLZS,O,O,X,X,O,X,O,X,X,X,X,X
IJTOSLZ,X,X,X,O,X,X,O,X,X,X,O,O
IJTOSZL,X,O,X,O,X,O,O,X,X,X,O,O
IJTOZLS,O,O,X,X,O,X,O,X,X,X,X,X
IJTOZSL,X,O,X,O,X,X,O,X,X,X,O,O
IJLTSZO,X,O,X,O,X,X,X,O,X,X,O,O
IJLTSOZ,X,O,X,O,X,X,X,O,X,X,O,O
IJLTZSO,X,O,X,X,O,X,X,O,X,X,X,X
IJLTZOS,O,O,X,X,O,X,X,O,X,X,X,X
IJLTOSZ,X,O,X,O,X,X,X,O,X,X,O,O
IJLTOZS,O,O,X,X,O,X,X,O,X,X,X,X
IJLSTZO,O,O,X,O,X,X,X,O,X,X,X,O
IJLSTOZ,O,O,X,O,X,X,X,O,X,X,X,O
IJLSZTO,O,O,X,O,O,X,X,X,X,X,X,O
IJLSZOT,O,O,X,O,O,X,X,X,X,X,X,O
IJLSOTZ,O,O,X,O,X,X,X,O,X,X,X,O
IJLSOZT,O,O,X,O,O,X,X,X,X,X,X,O
IJLZTSO,X,O,X,X,O,X,X,O,X,X,X,X
IJLZTOS,O,O,X,X,O,X,X,O,X,X,X,X
IJLZSTO,O,O,X,X,O,X,X,X,X,X,X,X
IJLZSOT,O,O,X,X,O,X,X,X,X,X,X,X
IJLZOTS,O,O,X,X,O,X,X,O,X,X,X,X
IJLZOST,O,O,X,X,O,X,X,X,X,X,X,X
IJLOTSZ,X,O,X,O,X,X,X,O,X,X,O,O
IJLOTZS,O,O,X,X,O,X,X,O,X,X,X,X
IJLOSTZ,O,O,X,O,X,X,X,O,X,X,X,O
IJLOSZT,O,O,X,O,O,X,X,X,X,X,X,O
IJLOZTS,O,O,X,X,O,X,X,O,X,X,X,X
IJLOZST,O,O,X,X,O,X,X,X,X,X,X,X
IJSTLZO,O,X,X,O,X,X,O,X,X,X,O,O
IJSTLOZ,O,X,X,O,X,X,O,X,X,X,O,O
IJSTZLO,O,X,X,O,X,O,O,X,X,X,O,O
IJSTZOL,O,X,X,O,X,O,O,X,X,X,O,O
IJSTOLZ,O,X,X,O,X,X,O,X,X,X,O,O
IJSTOZL,O,X,X,O,X,O,O,X,X,X,O,O
IJSLTZO,O,X,X,O,X,X,X,X,X,X,X,O
IJSLTOZ,O,X,X,O,X,X,X,X,X,X,X,O
IJSLZTO,O,X,X,O,X,X,X,X,X,X,X,O
IJSLZOT,O,X,X,O,X,X,X,X,X,X,X,O
IJSLOTZ,O,X,X,O,X,X,X,X,X,X,X,O
IJSLOZT,O,X,X,O,X,X,X,X,X,X,X,O
IJSZTLO,O,X,X,O,X,O,O,X,X,X,X,O
IJSZTOL,O,X,X,O,X,O,O,X,X,X,X,O
IJSZLTO,O,X,X,O,X,O,X,X,X,X,X,O
IJSZLOT,O,X,X,O,X,O,X,X,X,X,X,O
IJSZOTL,O,X,X,O,X,O,O,X,X,X,X,O
IJSZOLT,O,X,X,O,X,O,X,X,X,X,X,O
IJSOTLZ,O,X,X,O,X,X,O,X,X,X,O,O
IJSOTZL,O,X,X,O,X,O,O,X,X,X,O,O
IJSOLTZ,O,X,X,O,X,X,X,X,X,X,X,O
IJSOLZT,O,X,X,O,X,X,X,X,X,X,X,O
IJSOZTL,O,X,X,O,X,O,O,X,X,X,X,O
IJSOZLT,O,X,X,O,X,O,X,X,X,X,X,O
IJZTLSO,X,O,X,X,O,X,O,X,X,X,X,X
IJZTLOS,O,O,X,X,O,X,O,X,X,X,X,X
IJZTSLO,X,X,X,O,X,O,O,X,X,X,O,O
IJZTSOL,X,O,X,O,X,O,O,X,X,X,O,O
IJZTOLS,O,O,X,X,O,X,O,X,X,X,X,X
IJZTOSL,X,O,X,O,X,O,O,X,X,X,O,O
IJZLTSO,X,O,X,X,O,X,X,X,X,X,X,X
IJZLTOS,O,O,X,X,O,X,X,X,X,X,X,X
IJZLSTO,O,O,X,X,O,O,X,X,X,X,X,X
IJZLSOT,O,O,X,X,O,O,X,X,X,X,X,X
IJZLOTS,O,O,X,X,O,X,X,X,X,X,X,X
IJZLOST,O,O,X,X,O,O,X,X,X,X,X,X
IJZSTLO,O,X,X,O,X,O,O,X,O,X,X,O
IJZSTOL,O,X,X,O,X,O,O,X,O,X,X,O
IJZSLTO,O,X,X,O,X,O,X,X,X,X,X,O
IJZSLOT,O,X,X,O,X,O,X,X,X,X,X,O
IJZSOTL,O,X,X,O,X,O,O,X,O,X,X,O
IJZSOLT,O,X,X,O,X,O,X,X,X,X,X,O
IJZOTLS,O,O,X,X,O,X,O,X,X,X,X,X
IJZOTSL,X,O,X,O,X,O,O,X,X,X,O,O
IJZOLTS,O,O,X,X,O,X,X,X,X,X,X,X
IJZOLST,O,O,X,X,O,O,X,X,X,X,X,X
IJZOSTL,O,X,X,O,X,O,O,X,O,X,X,O
IJZOSLT,O,X,X,O,X,O,X,X,X,X,X,O
IJOTLSZ,X,O,X,O,X,X,O,X,X,X,O,O
IJOTLZS,O,O,X,X,O,X,O,X,X,X,X,X
IJOTSLZ,X,X,X,O,X,X,O,X,X,X,O,O
IJOTSZL,X,O,X,O,X,O,O,X,X,X,O,O
IJOTZLS,O,O,X,X,O,X,O,X,X,X,X,X
IJOTZSL,X,O,X,O,X,X,O,X,X,X,O,O
IJOLTSZ,X,O,X,O,X,X,X,O,X,X,O,O
IJOLTZS,O,O,X,X,O,X,X,O,X,X,X,X
IJOLSTZ,O,O,X,O,X,X,X,O,X,X,X,O
IJOLSZT,O,O,X,O,O,X,X,X,X,X,X,O
IJOLZTS,O,O,X,X,O,X,X,O,X,X,X,X
IJOLZST,O,O,X,X,O,X,X,X,X,X,X,X
IJOSTLZ,O,X,X,O,X,X,O,X,X,X,O,O
IJOSTZL,O,X,X,O,X,O,O,X,X,X,O,O
IJOSLTZ,O,X,X,O,X,X,X,X,X,X,X,O
IJOSLZT,O,X,X,O,X,X,X,X,X,X,X,O
IJOSZTL,O,X,X,O,X,O,O,X,X,X,X,O
IJOSZLT,O,X,X,O,X,O,X,X,X,X,X,O
IJOZTLS,O,O,X,X,O,X,O,X,X,X,X,X
IJOZTSL,X,O,X,O,X,O,O,X,X,X,O,O
IJOZLTS,O,O,X,X,O,X,X,X,X,X,X,X
IJOZLST,O,O,X,X,O,O,X,X,X,X,X,X
IJOZSTL,O,X,X,O,X,O,O,X,O,X,X,O
IJOZSLT,O,X,X,O,X,O,X,X,X,X,X,O
ISTLJZO,O,X,X,O,X,X,O,X,X,O,X,O
ISTLJOZ,O,X,X,O,X,X,O,X,X,O,X,O
ISTLZJO,O,X,O,X,X,O,O,X,X,O,X,X
ISTLZOJ,O,X,O,O,X,O,O,X,X,O,X,O
ISTLOJZ,O,X,X,O,X,X,O,X,X,O,X,O
ISTLOZJ,O,X,O,O,X,O,O,X,X,O,X,O
ISTJLZO,X,X,X,O,X,X,O,X,X,X,X,O
ISTJLOZ,X,X,X,O,X,X,O,X,X,X,X,O
ISTJZLO,X,X,X,O,X,O,O,X,X,X,X,O
ISTJZOL,O,X,X,O,X,O,O,X,X,X,X,O
ISTJOLZ,X,X,X,O,X,X,O,X,X,X,X,O
ISTJOZL,O,X,X,O,X,O,O,X,X,X,X,O
ISTZLJO,O,X,O,X,X,O,O,X,X,O,X,X
ISTZLOJ,O,X,O,O,X,O,O,X,X,O,X,O
ISTZJLO,X,X,X,O,X,O,O,X,X,X,X,O
ISTZJOL,O,X,X,O,X,O,O,X,X,X,X,O
ISTZOLJ,O,X,O,O,X,O,O,X,X,O,X,O
ISTZOJL,O,X,X,O,X,O,O,X,X,X,X,O
ISTOLJZ,O,X,X,O,X,X,O,X,X,O,X,O
ISTOLZJ,O,X,O,O,X,O,O,X,X,O,X,O
ISTOJLZ,X,X,X,O,X,X,O,X,X,X,X,O
ISTOJZL,O,X,X,O,X,O,O,X,X,X,X,O
ISTOZLJ,O,X,O,O,X,O,O,X,X,O,X,O
ISTOZJL,O,X,X,O,X,O,O,X,X,X,X,O
ISLTJZO,O,X,X,O,X,X,O,O,X,O,X,O
ISLTJOZ,O,X,X,O,X,X,O,O,X,O,X,O
ISLTZJO,O,X,O,X,X,O,O,O,X,O,X,X
ISLTZOJ,O,X,O,O,X,O,O,O,X,O,X,O
ISLTOJZ,O,X,X,O,X,X,O,O,X,O,X,O
ISLTOZJ,O,X,O,O,X,O,O,O,X,O,X,O
ISLJTZO,O,X,X,O,X,X,X,O,X,O,X,O
ISLJTOZ,O,X,X,O,X,X,X,O,X,O,X,O
ISLJZTO,O,X,O,O,X,X,X,X,X,X,X,O
ISLJZOT,O,X,O,O,X,X,X,X,X,O,X,O
ISLJOTZ,O,X,X,O,X,X,X,O,X,O,X,O
ISLJOZT,O,X,O,O,X,X,X,X,X,O,X,O
ISLZTJO,O,X,O,X,X,O,O,X,X,O,X,X
ISLZTOJ,O,X,O,O,X,O,O,X,X,O,X,O
ISLZJTO,O,X,O,O,X,O,X,X,X,X,X,O
ISLZJOT,O,X,O,O,X,O,X,X,X,O,X,O
ISLZOTJ,O,X,O,O,X,O,O,X,X,O,X,O
ISLZOJT,O,X,O,O,X,O,X,X,X,O,X,O
ISLOTJZ,O,X,X,O,X,X,O,O,X,O,X,O
ISLOTZJ,O,X,O,O,X,O,O,O,X,O,X,O
ISLOJTZ,O,X,X,O,X,X,X,O,X,O,X,O
ISLOJZT,O,X,O,O,X,X,X,X,X,O,X,O
ISLOZTJ,O,X,O,O,X,O,O,X,X,O,X,O
ISLOZJT,O,X,O,O,X,O,X,X,X,O,X,O
ISJTLZO,O,X,X,O,X,X,O,X,X,X,X,O
ISJTLOZ,O,X,X,O,X,X,O,X,X,X,X,O
ISJTZLO,O,X,X,O,X,O,O,X,X,X,X,O
ISJTZOL,O,X,X,O,X,O,O,X,X,X,X,O
ISJTOLZ,O,X,X,O,X,X,O,X,X,X,X,O
ISJTOZL,O,X,X,O,X,O,O,X,X,X,X,O
ISJLTZO,O,X,X,O,X,X,X,X,X,X,X,O
ISJLTOZ,O,X,X,O,X,X,X,X,X,X,X,O
ISJLZTO,O,X,X,O,X,X,X,X,X,X,X,O
ISJLZOT,O,X,X,O,X,X,X,X,X,X,X,O
ISJLOTZ,O,X,X,O,X,X,X,X,X,X,X,O
ISJLOZT,O,X,X,O,X,X,X,X,X,X,X,O
ISJZTLO,O,X,X,O,X,O,O,X,X,X,X,O
ISJZTOL,O,X,X,O,X,O,O,X,X,X,X,O
ISJZLTO,O,X,X,O,X,O,X,X,X,X,X,O
ISJZLOT,O,X,X,O,X,O,X,X,X,X,X,O
ISJZOTL,O,X,X,O,X,O,O,X,X,X,X,O
ISJZOLT,O,X,X,O,X,O,X,X,X,X,X,O
ISJOTLZ,O,X,X,O,X,X,O,X,X,X,X,O
ISJOTZL,O,X,X,O,X,O,O,X,X,X,X,O
ISJOLTZ,O,X,X,O,X,X,X,X,X,X,X,O
ISJOLZT,O,X,X,O,X,X,X,X,X,X,X,O
ISJOZTL,O,X,X,O,X,O,O,X,X,X,X,O
ISJOZLT,O,X,X,O,X,O,X,X,X,X,X,O
ISZTLJO,O,X,O,X,X,O,O,X,X,X,X,X
ISZTLOJ,O,X,O,O,X,O,O,X,X,X,X,O
ISZTJLO,X,X,X,O,X,O,O,X,X,X,X,O
ISZTJOL,O,X,X,O,X,O,O,X,X,X,X,O
ISZTOLJ,O,X,O,O,X,O,O,X,X,X,X,O
ISZTOJL,O,X,X,O,X,O,O,X,X,X,X,O
ISZLTJO,O,X,O,X,X,O,O,X,X,X,X,X
ISZLTOJ,O,X,O,O,X,O,O,X,X,O,X,O
ISZLJTO,X,X,O,O,X,O,X,X,X,X,X,O
ISZLJOT,O,X,O,O,X,O,X,X,X,O,X,O
ISZLOTJ,O,X,O,O,X,O,O,X,X,O,X,O
ISZLOJT,O,X,O,O,X,O,X,X,X,O,X,O
ISZJTLO,X,X,X,O,X,O,O,X,X,X,X,O
ISZJTOL,X,X,X,O,X,O,O,X,X,X,X,O
ISZJLTO,X,X,X,O,X,O,X,X,X,X,X,O
ISZJLOT,X,X,X,O,X,O,X,X,X,X,X,O
ISZJOTL,X,X,X,O,X,O,O,X,X,X,X,O
ISZJOLT,X,X,X,O,X,O,X,X,X,X,X,O
ISZOTLJ,O,X,O,O,X,O,O,X,X,X,X,O
ISZOTJL,O,X,X,O,X,O,O,X,X,X,X,O
ISZOLTJ,O,X,O,O,X,O,O,X,X,O,X,O
ISZOLJT,O,X,O,O,X,O,X,X,X,O,X,O
ISZOJTL,X,X,X,O,X,O,O,X,X,X,X,O
ISZOJLT,X,X,X,O,X,O,X,X,X,X,X,O
ISOTLJZ,O,X,X,O,X,X,O,X,X,O,X,O
ISOTLZJ,O,X,O,O,X,O,O,X,X,O,X,O
ISOTJLZ,X,X,X,O,X,X,O,X,X,X,X,O
ISOTJZL,O,X,X,O,X,O,O,X,X,X,X,O
ISOTZLJ,O,X,O,O,X,O,O,X,X,O,X,O
ISOTZJL,O,X,X,O,X,O,O,X,X,X,X,O
ISOLTJZ,O,X,X,O,X,X,O,O,X,O,X,O
ISOLTZJ,O,X,O,O,X,O,O,O,X,O,X,O
ISOLJTZ,O,X,X,O,X,X,X,O,X,O,X,O
ISOLJZT,O,X,O,O,X,X,X,X,X,O,X,O
ISOLZTJ,O,X,O,O,X,O,O,X,X,O,X,O
ISOLZJT,O,X,O,O,X,O,X,X,X,O,X,O
ISOJTLZ,O,X,X,O,X,X,O,X,X,X,X,O
ISOJTZL,O,X,X,O,X,O,O,X,X,X,X,O
ISOJLTZ,O,X,X,O,X,X,X,X,X,X,X,O
ISOJLZT,O,X,X,O,X,X,X,X,X,X,X,O
ISOJZTL,O,X,X,O,X,O,O,X,X,X,X,O
ISOJZLT,O,X,X,O,X,O,X,X,X,X,X,O
ISOZTLJ,O,X,O,O,X,O,O,X,X,X,X,O
ISOZTJL,O,X,X,O,X,O,O,X,X,X,X,O
ISOZLTJ,O,X,O,O,X,O,O,X,X,O,X,O
ISOZLJT,O,X,O,O,X,O,X,X,X,O,X,O
ISOZJTL,X,X,X,O,X,O,O,X,X,X,X,O
ISOZJLT,X,X,X,O,X,O,X,X,X,X,X,O
IZTLJSO,X,X,X,X,X,X,O,X,X,X,X,X
IZTLJOS,X,X,X,X,X,X,O,X,X,X,X,X
IZTLSJO,X,X,X,X,X,X,O,X,X,X,X,X
IZTLSOJ,X,X,X,X,X,X,O,X,X,X,X,X
IZTLOJS,X,X,X,X,X,X,O,X,X,X,X,X
IZTLOSJ,X,X,X,X,X,X,O,X,X,X,X,X
IZTJLSO,X,X,X,X,X,X,O,X,X,X,X,X
IZTJLOS,X,X,X,X,X,X,O,X,X,X,X,X
IZTJSLO,X,X,X,O,X,O,O,X,X,X,X,O
IZTJSOL,X,X,X,O,X,O,O,X,X,X,X,O
IZTJOLS,X,X,X,X,X,X,O,X,X,X,X,X
IZTJOSL,X,X,X,O,X,O,O,X,X,X,X,O
IZTSLJO,X,X,X,X,X,O,O,X,X,X,X,X
IZTSLOJ,X,X,X,O,X,O,O,X,X,X,X,O
IZTSJLO,X,X,X,O,X,O,O,X,X,X,X,O
IZTSJOL,X,X,X,O,X,O,O,X,X,X,X,O
IZTSOLJ,X,X,X,O,X,O,O,X,X,X,X,O
IZTSOJL,X,X,X,O,X,O,O,X,X,X,X,O
IZTOLJS,X,X,X,X,X,X,O,X,X,X,X,X
IZTOLSJ,X,X,X,X,X,X,O,X,X,X,X,X
IZTOJLS,X,X,X,X,X,X,O,X,X,X,X,X
IZTOJSL,X,X,X,O,X,O,O,X,X,X,X,O
