sequence,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBGeBU?jB6rBzqB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBCeBT?jB8qB+rB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdiBzdB+jBU?hBXmBSwB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBzcBGeBU?jBCrB3rB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBfjB6jB8?mBzqBurB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBGeBU?jBCrBTrB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBzcBSjBU?jB3mBWwB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBGeBzhBU?jBCrB3rB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFzcBfjB6jB8?qBurBdrB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBSjBU?jBTmBWwB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdiBfjB6jBU?hBTmBWwB
ILJTOSZ,X,X,O,X,X,X,O,X,X,O,X
ILJTOZS,X,X,O,X,X,X,X,O,X,O,X
ILJSTZO,O,X,O,O,X,O,O,X,X,O,O
ILJSTOZ,X,X,O,O,X,X,O,X,X,O,O
ILJSZTO,X,X,O,O,X,X,O,X,X,X,O
ILJSZOT,X,X,O,O,X,X,X,X,X,X,O
ILJSOTZ,X,X,O,X,X,X,O,X,X,O,O
ILJSOZT,X,X,O,X,X,X,X,X,X,X,O
ILJZTSO,O,O,O,O,X,O,O,O,X,O,O
ILJZTOS,O,O,O,O,X,O,X,O,X,X,X
ILJZSTO,O,O,O,O,X,O,O,O,X,X,O
ILJZSOT,X,X,O,O,X,O,X,X,X,X,O
ILJZOTS,O,O,O,O,X,O,X,O,X,O,X
ILJZOST,X,X,O,O,X,O,X,X,X,X,X
ILJOTSZ,X,X,O,X,X,O,O,X,X,O,X
ILJOTZS,X,X,O,X,X,O,X,X,X,O,X
ILJOSTZ,X,X,O,X,X,O,O,X,X,O,X
ILJOSZT,X,X,O,X,X,X,X,X,X,X,X
ILJOZTS,X,X,O,X,X,O,X,X,X,O,X
ILJOZST,X,X,O,X,X,O,X,X,X,X,X
ILSTJZO,O,X,O,O,X,O,O,X,X,O,O
ILSTJOZ,X,X,O,O,X,X,O,X,X,X,O
ILSTZJO,O,X,O,O,X,O,X,O,O,O,O
ILSTZOJ,O,X,X,O,X,O,O,O,X,O,O
ILSTOJZ,X,X,X,O,O,X,O,X,X,X,X
ILSTOZJ,O,X,X,O,O,O,O,O,X,O,O
ILSJTZO,O,X,O,O,X,O,O,X,X,O,O
ILSJTOZ,X,X,O,O,X,X,O,X,X,O,O
ILSJZTO,X,X,O,O,X,X,O,X,O,X,O
ILSJZOT,X,X,O,O,X,X,X,X,O,X,O
ILSJOTZ,X,X,O,X,O,X,O,X,X,O,O
ILSJOZT,X,X,O,X,O,X,X,X,X,X,O
ILSZTJO,O,X,O,O,X,O,X,O,O,X,O
ILSZTOJ,O,X,X,O,X,O,O,O,X,X,O
ILSZJTO,O,O,O,O,X,O,X,O,O,X,O
ILSZJOT,X,X,O,O,X,O,X,X,O,X,O
ILSZOTJ,X,X,X,O,O,O,X,X,X,X,O
ILSZOJT,X,X,X,O,O,O,X,X,O,X,X
ILSOTJZ,X,X,X,O,O,O,O,X,X,X,X
ILSOTZJ,O,X,X,O,O,O,O,X,X,X,O
ILSOJTZ,X,X,X,X,O,O,X,X,X,X,O
ILSOJZT,X,X,X,X,O,X,X,X,X,X,O
ILSOZTJ,X,X,X,O,O,O,X,X,X,X,O
ILSOZJT,X,X,X,O,O,O,X,X,O,X,X
ILZTJSO,O,O,O,O,X,O,O,O,X,X,X
ILZTJOS,O,O,O,O,X,O,X,O,X,X,X
ILZTSJO,O,X,O,O,X,O,X,O,X,O,O
ILZTSOJ,O,X,X,O,X,O,O,O,X,O,O
ILZTOJS,O,X,O,O,X,O,X,O,X,X,X
ILZTOSJ,O,X,X,O,X,O,X,O,X,X,X
ILZJTSO,O,O,O,O,X,O,O,O,X,O,X
ILZJTOS,O,O,O,O,X,O,X,O,X,X,X
ILZJSTO,O,O,O,O,X,O,O,O,O,X,X
ILZJSOT,X,O,O,O,X,O,X,X,O,X,X
ILZJOTS,O,O,O,O,X,O,X,O,X,O,X
ILZJOST,O,O,O,O,X,O,X,X,X,X,X
ILZSTJO,O,X,O,O,X,O,X,O,O,X,O
ILZSTOJ,O,X,X,O,X,O,O,O,X,X,O
ILZSJTO,O,O,O,O,X,O,X,O,O,X,O
ILZSJOT,X,X,O,O,X,O,X,X,O,X,X
ILZSOTJ,X,X,X,O,X,O,X,X,X,X,O
ILZSOJT,X,X,X,O,X,O,X,X,O,X,X
ILZOTJS,O,O,O,O,X,O,X,O,X,X,X
ILZOTSJ,O,X,X,O,X,O,X,O,X,X,X
ILZOJTS,O,O,O,O,X,O,X,O,X,X,X
ILZOJST,O,O,O,O,X,O,X,X,X,X,X
ILZOSTJ,O,X,X,O,X,O,X,X,X,X,X
ILZOSJT,O,O,X,O,X,O,X,X,X,X,X
ILOTJSZ,O,X,O,X,X,O,O,X,X,X,X
ILOTJZS,O,X,O,X,X,O,X,O,X,X,X
ILOTSJZ,O,X,X,X,O,O,O,X,X,X,X
ILOTSZJ,O,X,X,X,O,O,O,O,X,O,X
ILOTZJS,O,O,O,O,X,O,X,O,X,X,X
ILOTZSJ,O,X,X,O,O,O,X,O,X,X,X
ILOJTSZ,O,X,O,X,X,O,O,X,X,O,X
ILOJTZS,O,X,O,X,X,O,X,X,X,O,X
ILOJSTZ,O,X,O,X,X,O,O,X,X,O,X
ILOJSZT,X,X,O,X,X,X,X,X,X,X,X
ILOJZTS,O,O,O,X,X,O,X,X,X,O,X
ILOJZST,O,O,O,X,X,O,X,X,X,X,X
ILOSTJZ,O,X,X,O,O,O,O,X,X,X,X
ILOSTZJ,O,X,X,O,O,O,O,X,X,X,X
ILOSJTZ,O,X,X,X,O,O,X,X,X,X,X
ILOSJZT,X,X,X,X,O,X,X,X,X,X,X
ILOSZTJ,O,X,X,O,O,O,X,X,X,X,X
ILOSZJT,O,O,X,O,O,O,X,X,X,X,X
ILOZTJS,O,O,O,O,X,O,X,O,X,X,X
ILOZTSJ,O,X,X,O,O,O,X,O,X,X,X
ILOZJTS,O,O,O,O,X,O,X,O,X,X,X
ILOZJST,O,O,O,O,X,O,X,X,X,X,X
ILOZSTJ,O,X,X,O,O,O,X,X,X,X,X
ILOZSJT,O,O,X,O,O,O,X,X,X,X,X
IJTLSZO,X,X,O,X,X,X,O,X,X,O,O
IJTLSOZ,X,X,O,X,X,X,O,X,X,O,O
IJTLZSO,X,O,O,X,X,X,O,X,X,O,O
IJTLZOS,X,O,O,X,X,X,X,X,X,X,X
IJTLOSZ,X,X,O,X,X,X,O,X,X,O,X
IJTLOZS,X,X,O,X,X,X,X,X,X,O,X
IJTSLZO,X,X,X,X,X,X,O,X,X,O,O
IJTSLOZ,X,X,X,X,X,X,O,X,X,O,O
IJTSZLO,O,X,X,X,X,O,O,X,X,O,O
IJTSZOL,O,X,O,X,X,O,O,X,X,X,O
IJTSOLZ,X,X,X,X,X,X,O,X,X,O,O
IJTSOZL,X,X,O,X,X,X,O,X,X,X,O
IJTZLSO,O,O,X,X,X,O,O,X,X,O,O
IJTZLOS,X,O,O,X,X,X,X,O,X,X,X
IJTZSLO,O,O,X,X,X,O,X,X,X,O,O
IJTZSOL,O,O,O,X,X,O,X,O,X,X,O
IJTZOLS,X,O,O,X,X,X,X,O,X,X,X
IJTZOSL,O,O,O,X,X,O,X,O,X,X,O
IJTOLSZ,X,X,O,X,X,X,O,X,X,O,X
IJTOLZS,X,O,O,X,X,X,X,X,X,O,X
IJTOSLZ,X,X,X,X,X,X,X,X,X,O,O
IJTOSZL,X,X,O,X,X,X,X,X,X,O,O
IJTOZLS,X,O,O,X,X,X,X,O,X,O,X
IJTOZSL,X,O,O,X,X,X,X,O,X,O,O
IJLTSZO,O,X,O,X,X,O,O,X,X,O,O
IJLTSOZ,X,X,O,X,X,X,O,X,X,O,O
IJLTZSO,O,O,O,O,X,O,O,O,X,O,O
IJLTZOS,O,O,O,O,X,O,X,O,X,X,X
IJLTOSZ,X,X,O,X,X,X,O,X,X,O,X
IJLTOZS,X,X,O,X,X,X,X,O,X,O,X
IJLSTZO,O,X,O,O,X,O,O,X,X,O,O
IJLSTOZ,X,X,O,O,X,X,O,X,X,O,O
IJLSZTO,X,X,O,O,X,X,O,X,X,X,O
IJLSZOT,X,X,O,O,X,X,X,X,X,X,O
IJLSOTZ,X,X,O,X,X,X,O,X,X,O,O
IJLSOZT,X,X,O,X,X,X,X,X,X,X,O
IJLZTSO,O,O,O,O,X,O,O,O,X,O,O
IJLZTOS,O,O,O,O,X,O,X,O,X,X,X
IJLZSTO,O,O,O,O,X,O,O,O,X,X,O
IJLZSOT,X,X,O,O,X,O,X,X,X,X,O
IJLZOTS,O,O,O,O,X,O,X,O,X,O,X
IJLZOST,X,X,O,O,X,O,X,X,X,X,X
IJLOTSZ,X,X,O,X,X,O,O,X,X,O,X
IJLOTZS,X,X,O,X,X,O,X,X,X,O,X
IJLOSTZ,X,X,O,X,X,O,O,X,X,O,X
IJLOSZT,X,X,O,X,X,X,X,X,X,X,X
IJLOZTS,X,X,O,X,X,O,X,X,X,O,X
IJLOZST,X,X,O,X,X,O,X,X,X,X,X
IJSTLZO,X,X,X,X,X,X,O,X,X,O,O
IJSTLOZ,X,X,X,X,X,X,O,X,X,O,O
IJSTZLO,O,X,X,X,X,O,O,X,X,O,O
IJSTZOL,O,X,O,X,X,O,O,X,X,X,O
IJSTOLZ,X,X,X,X,X,X,O,X,X,O,O
IJSTOZL,X,X,O,X,X,X,O,X,X,X,O
IJSLTZO,X,X,O,X,X,X,O,X,X,O,O
IJSLTOZ,X,X,O,X,X,X,O,X,X,O,O
IJSLZTO,X,X,O,X,X,X,O,X,O,X,O
IJSLZOT,X,X,O,X,X,X,X,X,O,X,O
IJSLOTZ,X,X,O,X,O,X,O,X,X,O,O
IJSLOZT,X,X,O,X,O,X,X,X,O,X,O
IJSZTLO,X,X,X,X,X,X,O,X,O,O,O
IJSZTOL,X,X,O,X,X,X,O,X,X,X,O
IJSZLTO,X,X,X,X,X,X,O,X,O,X,O
IJSZLOT,X,X,X,X,X,X,X,X,O,X,O
IJSZOTL,X,X,O,X,X,X,X,X,X,X,O
IJSZOLT,X,X,X,X,X,X,X,X,O,X,O
IJSOTLZ,X,X,X,X,O,X,O,X,X,O,O
IJSOTZL,X,X,O,X,O,X,O,X,X,O,O
IJSOLTZ,X,X,O,X,O,X,O,X,X,O,O
IJSOLZT,X,X,O,X,O,X,X,X,O,X,O
IJSOZTL,X,X,O,X,O,X,X,X,X,O,O
IJSOZLT,X,X,X,X,O,X,X,X,O,X,O
IJZTLSO,O,O,X,O,X,O,O,O,X,O,O
IJZTLOS,O,O,O,O,X,O,X,O,X,X,X
IJZTSLO,O,O,X,X,X,O,X,X,O,O,O
IJZTSOL,O,O,O,X,X,O,X,O,X,X,O
IJZTOLS,O,O,O,X,X,X,X,O,X,X,X
IJZTOSL,O,O,O,X,X,O,X,O,X,X,O
IJZLTSO,O,O,O,O,X,O,O,O,X,O,O
IJZLTOS,O,O,O,O,X,O,X,O,X,X,X
IJZLSTO,O,O,O,O,X,O,O,O,O,X,O
IJZLSOT,X,O,O,O,X,O,X,X,O,X,O
IJZLOTS,O,O,O,O,X,O,X,O,X,O,X
IJZLOST,O,O,O,O,X,O,X,X,X,X,X
IJZSTLO,O,O,X,X,X,O,O,X,O,O,O
IJZSTOL,O,O,O,X,X,O,O,O,X,X,O
IJZSLTO,O,O,X,O,X,O,O,O,O,X,O
IJZSLOT,X,O,X,O,X,O,X,X,O,X,O
IJZSOTL,O,O,O,X,X,X,X,X,X,X,O
IJZSOLT,O,O,X,X,X,X,X,X,O,X,O
IJZOTLS,O,O,O,X,X,X,X,O,X,O,X
IJZOTSL,O,O,O,X,X,O,X,O,X,O,O
IJZOLTS,O,O,O,O,X,O,X,O,X,O,X
IJZOLST,O,O,O,O,X,O,X,X,X,X,X
IJZOSTL,O,O,O,X,X,X,X,X,X,O,O
IJZOSLT,O,O,X,X,X,X,X,X,O,X,O
IJOTLSZ,X,X,O,X,X,X,O,X,X,O,X
IJOTLZS,X,O,O,X,X,X,X,X,X,O,X
IJOTSLZ,X,X,X,X,O,X,X,X,X,O,O
IJOTSZL,O,X,O,X,O,X,X,X,X,O,O
IJOTZLS,O,O,O,X,X,X,X,X,X,O,X
IJOTZSL,O,O,O,X,O,X,X,X,X,O,O
IJOLTSZ,O,X,O,X,X,X,O,X,X,O,X
IJOLTZS,O,O,O,X,X,X,X,X,X,O,X
IJOLSTZ,O,X,O,X,X,X,O,X,X,O,X
IJOLSZT,X,X,O,X,X,X,X,X,X,X,X
IJOLZTS,O,O,O,X,X,X,X,X,X,O,X
IJOLZST,O,O,O,X,X,X,X,X,X,X,X
IJOSTLZ,X,X,X,X,O,X,O,X,X,O,O
IJOSTZL,O,X,O,X,O,X,O,X,X,O,O
IJOSLTZ,X,X,O,X,O,X,O,X,X,O,O
IJOSLZT,X,X,O,X,O,X,X,X,O,X,O
IJOSZTL,X,X,O,X,O,X,X,X,X,O,O
IJOSZLT,X,X,X,X,O,X,X,X,O,X,O
IJOZTLS,O,O,O,X,X,X,X,X,X,O,X
IJOZTSL,O,O,O,X,O,X,X,X,X,O,O
IJOZLTS,O,O,O,X,X,X,X,X,X,O,X
IJOZLST,O,O,O,X,X,X,X,X,X,X,X
IJOZSTL,O,O,O,X,O,X,X,X,X,O,O
IJOZSLT,O,O,X,X,O,X,X,X,O,X,O
ISTLJZO,X,X,X,X,X,X,O,X,X,O,O
ISTLJOZ,X,X,X,X,X,X,O,X,X,X,O
ISTLZJO,O,X,X,X,X,O,X,X,O,O,O
ISTLZOJ,X,X,X,X,X,X,O,X,X,O,O
ISTLOJZ,X,X,X,X,O,X,O,X,X,X,X
ISTLOZJ,X,X,X,X,O,X,O,X,X,O,O
ISTJLZO,X,X,X,X,X,X,O,X,X,O,O
ISTJLOZ,X,X,X,X,X,X,O,X,X,X,O
ISTJZLO,O,X,X,X,X,O,X,X,X,X,O
ISTJZOL,O,X,O,X,X,O,X,X,X,X,O
ISTJOLZ,X,X,X,X,X,X,O,X,X,X,O
ISTJOZL,X,X,O,X,X,X,X,X,X,X,O
ISTZLJO,O,X,X,X,X,O,X,X,O,O,O
ISTZLOJ,X,X,X,X,X,X,O,X,X,O,O
ISTZJLO,O,X,X,X,X,O,X,X,O,X,O
ISTZJOL,O,X,O,X,X,O,X,O,X,X,X
ISTZOLJ,X,X,X,X,X,X,O,X,X,X,O
ISTZOJL,O,X,X,X,X,O,X,O,X,X,X
ISTOLJZ,X,X,X,X,O,X,O,X,X,X,X
ISTOLZJ,X,X,X,X,O,X,O,X,X,O,O
ISTOJLZ,X,X,X,X,O,X,O,X,X,X,X
ISTOJZL,X,X,X,X,O,X,X,X,X,X,X
ISTOZLJ,X,X,X,X,O,X,O,X,X,X,O
ISTOZJL,O,X,X,X,O,O,X,O,X,X,X
ISLTJZO,O,X,O,O,X,O,O,X,X,O,O
ISLTJOZ,X,X,O,O,X,X,O,X,X,X,O
ISLTZJO,O,X,O,O,X,O,X,O,O,O,O
ISLTZOJ,O,X,X,O,X,O,O,O,X,O,O
ISLTOJZ,X,X,X,O,O,X,O,X,X,X,X
ISLTOZJ,O,X,X,O,O,O,O,O,X,O,O
ISLJTZO,O,X,O,O,X,O,O,X,X,O,O
ISLJTOZ,X,X,O,O,X,X,O,X,X,O,O
ISLJZTO,X,X,O,O,X,X,O,X,O,X,O
ISLJZOT,X,X,O,O,X,X,X,X,O,X,O
ISLJOTZ,X,X,O,X,O,X,O,X,X,O,O
ISLJOZT,X,X,O,X,O,X,X,X,O,X,O
ISLZTJO,O,X,O,O,X,O,X,O,O,X,O
ISLZTOJ,O,X,X,O,X,O,O,O,X,X,O
ISLZJTO,O,O,O,O,X,O,X,O,O,X,O
ISLZJOT,X,X,O,O,X,O,X,X,O,X,O
ISLZOTJ,X,X,X,O,O,O,X,X,X,X,O
ISLZOJT,X,X,X,O,O,O,X,X,O,X,X
ISLOTJZ,X,X,X,O,O,O,O,X,X,X,X
ISLOTZJ,O,X,X,O,O,O,O,X,X,X,O
ISLOJTZ,X,X,X,X,O,O,X,X,X,X,O
ISLOJZT,X,X,X,X,O,X,X,X,X,X,O
ISLOZTJ,X,X,X,O,O,O,X,X,X,X,O
ISLOZJT,X,X,X,O,O,O,X,X,O,X,X
ISJTLZO,X,X,X,X,X,X,O,X,X,O,O
ISJTLOZ,X,X,X,X,X,X,O,X,X,O,O
ISJTZLO,O,X,X,X,X,O,O,X,X,O,O
ISJTZOL,O,X,O,X,X,O,O,X,X,X,O
ISJTOLZ,X,X,X,X,X,X,O,X,X,O,O
ISJTOZL,X,X,O,X,X,X,O,X,X,X,O
ISJLTZO,X,X,O,X,X,X,O,X,X,O,O
ISJLTOZ,X,X,O,X,X,X,O,X,X,O,O
ISJLZTO,X,X,O,X,X,X,O,X,O,X,O
ISJLZOT,X,X,O,X,X,X,X,X,O,X,O
ISJLOTZ,X,X,O,X,O,X,O,X,X,O,O
ISJLOZT,X,X,O,X,O,X,X,X,O,X,O
ISJZTLO,X,X,X,X,X,X,O,X,O,O,O
ISJZTOL,X,X,O,X,X,X,O,X,X,X,O
ISJZLTO,X,X,X,X,X,X,O,X,O,X,O
ISJZLOT,X,X,X,X,X,X,X,X,O,X,O
ISJZOTL,X,X,O,X,X,X,X,X,X,X,O
ISJZOLT,X,X,X,X,X,X,X,X,O,X,O
ISJOTLZ,X,X,X,X,O,X,O,X,X,O,O
ISJOTZL,X,X,O,X,O,X,O,X,X,O,O
ISJOLTZ,X,X,O,X,O,X,O,X,X,O,O
ISJOLZT,X,X,O,X,O,X,X,X,O,X,O
ISJOZTL,X,X,O,X,O,X,X,X,X,O,O
ISJOZLT,X,X,X,X,O,X,X,X,O,X,O
ISZTLJO,O,X,X,X,X,O,X,X,O,O,O
ISZTLOJ,X,X,X,X,X,X,O,X,X,O,O
ISZTJLO,O,X,X,X,X,O,X,X,O,X,O
ISZTJOL,O,X,O,X,X,O,X,O,X,X,X
ISZTOLJ,X,X,X,X,X,X,O,X,X,X,O
ISZTOJL,O,X,X,X,X,O,X,O,X,X,X
ISZLTJO,O,X,X,O,X,O,X,O,O,X,O
ISZLTOJ,O,X,X,O,X,O,O,O,X,X,O
ISZLJTO,O,O,X,O,X,O,X,O,O,X,O
ISZLJOT,X,X,X,O,X,O,X,X,O,X,O
ISZLOTJ,X,X,X,O,O,O,X,X,X,X,O
ISZLOJT,X,X,X,O,O,O,X,X,O,X,X
ISZJTLO,O,O,X,X,X,O,X,X,O,X,O
ISZJTOL,O,O,O,X,X,O,X,O,X,X,O
ISZJLTO,O,O,X,O,X,O,X,O,O,X,O
ISZJLOT,X,O,X,O,X,O,X,X,O,X,O
ISZJOTL,O,O,O,X,X,X,X,X,X,X,O
ISZJOLT,O,O,X,X,X,X,X,X,O,X,O
ISZOTLJ,O,X,X,X,O,X,X,X,X,X,O
ISZOTJL,O,X,X,X,O,X,X,X,X,X,X
ISZOLTJ,O,X,X,X,O,X,X,X,X,X,O
ISZOLJT,O,O,X,X,O,X,X,X,O,X,X
ISZOJTL,O,O,X,X,O,X,X,X,X,X,X
ISZOJLT,O,O,X,X,O,X,X,X,O,X,X
ISOTLJZ,X,X,X,X,O,X,O,X,X,X,X
ISOTLZJ,O,X,X,X,O,X,O,X,X,O,O
ISOTJLZ,X,X,X,X,O,X,O,X,X,X,X
ISOTJZL,O,X,X,X,O,X,X,X,X,X,X
ISOTZLJ,O,X,X,X,O,X,O,X,X,X,O
ISOTZJL,O,X,X,X,O,O,X,X,X,X,X
ISOLTJZ,O,X,X,X,O,X,O,X,X,X,X
ISOLTZJ,O,X,X,X,O,X,O,X,X,X,O
ISOLJTZ,O,X,X,X,O,X,X,X,X,X,O
ISOLJZT,X,X,X,X,O,X,X,X,X,X,O
ISOLZTJ,O,X,X,X,O,X,X,X,X,X,O
ISOLZJT,O,O,X,X,O,X,X,X,O,X,X
ISOJTLZ,X,X,X,X,O,X,X,X,X,X,O
ISOJTZL,O,X,X,X,O,X,X,X,X,X,O
ISOJLTZ,X,X,X,X,O,X,X,X,X,X,O
ISOJLZT,X,X,X,X,O,X,X,X,X,X,O
ISOJZTL,X,X,X,X,O,X,X,X,X,X,O
ISOJZLT,X,X,X,X,O,X,X,X,X,X,O
ISOZTLJ,O,X,X,X,O,X,X,X,X,X,O
ISOZTJL,O,X,X,X,O,X,X,X,X,X,X
ISOZLTJ,O,X,X,X,O,X,X,X,X,X,O
ISOZLJT,O,O,X,X,O,X,X,X,O,X,X
ISOZJTL,O,O,X,X,O,X,X,X,X,X,X
ISOZJLT,O,O,X,X,O,X,X,X,O,X,X
IZTLJSO,O,O,X,O,X,O,O,O,X,X,X
IZTLJOS,O,O,O,O,X,O,X,O,X,X,X
IZTLSJO,O,X,X,O,X,O,X,O,X,O,O
IZTLSOJ,O,X,X,O,X,O,O,O,X,O,O
IZTLOJS,O,X,X,O,X,O,X,O,X,X,X
IZTLOSJ,O,X,X,O,X,O,X,O,X,X,X
IZTJLSO,O,O,X,O,X,O,O,O,X,X,X
IZTJLOS,O,O,O,O,X,O,X,O,X,X,X
IZTJSLO,O,O,X,X,X,O,X,X,O,X,O
IZTJSOL,O,O,O,X,X,O,X,O,X,X,X
IZTJOLS,O,O,O,X,X,X,X,O,X,X,X
IZTJOSL,O,O,O,X,X,O,X,O,X,X,X
IZTSLJO,O,X,X,X,X,O,X,X,O,O,O
IZTSLOJ,X,X,X,X,X,X,X,X,X,O,O
IZTSJLO,O,X,X,X,X,O,X,X,O,X,O
IZTSJOL,O,X,O,X,X,O,X,O,X,X,X
IZTSOLJ,X,X,X,X,X,X,X,X,X,X,O
IZTSOJL,O,X,X,X,X,O,X,O,X,X,X
IZTOLJS,O,O,X,X,X,X,X,O,X,X,X
IZTOLSJ,O,X,X,X,X,X,X,X,X,X,X
IZTOJLS,O,O,O,X,X,X,X,O,X,X,X
IZTOJSL,O,O,O,X,X,O,X,O,X,X,X
IZTOSLJ,O,X,X,X,X,X,X,X,X,X,O
IZTOSJL,O,X,X,X,X,O,X,O,X,X,X
IZLTJSO,O,O,O,O,X,O,O,O,X,X,X
IZLTJOS,O,O,O,O,X,O,X,O,X,X,X
IZLTSJO,O,X,O,O,X,O,X,O,X,O,O
IZLTSOJ,O,X,X,O,X,O,O,O,X,O,O
IZLTOJS,O,X,O,O,X,O,X,O,X,X,X
IZLTOSJ,O,X,X,O,X,O,X,O,X,X,X
IZLJTSO,O,O,O,O,X,O,O,O,X,O,X
IZLJTOS,O,O,O,O,X,O,X,O,X,X,X
IZLJSTO,O,O,O,O,X,O,O,O,O,X,X
IZLJSOT,X,O,O,O,X,O,X,X,O,X,X
IZLJOTS,O,O,O,O,X,O,X,O,X,O,X
IZLJOST,O,O,O,O,X,O,X,X,X,X,X
IZLSTJO,O,X,O,O,X,O,X,O,O,X,O
IZLSTOJ,O,X,X,O,X,O,O,O,X,X,O
IZLSJTO,O,O,O,O,X,O,X,O,O,X,O
IZLSJOT,X,X,O,O,X,O,X,X,O,X,X
IZLSOTJ,X,X,X,O,X,O,X,X,X,X,O
IZLSOJT,X,X,X,O,X,O,X,X,O,X,X
IZLOTJS,O,O,O,O,X,O,X,O,X,X,X
IZLOTSJ,O,X,X,O,X,O,X,O,X,X,X
IZLOJTS,O,O,O,O,X,O,X,O,X,X,X
IZLOJST,O,O,O,O,X,O,X,X,X,X,X
IZLOSTJ,O,X,X,O,X,O,X,X,X,X,X
IZLOSJT,O,O,X,O,X,O,X,X,X,X,X
IZJTLSO,O,O,X,O,X,O,O,O,X,O,O
IZJTLOS,O,O,O,O,X,O,X,O,X,X,X
IZJTSLO,O,O,X,X,X,O,X,X,O,O,O
IZJTSOL,O,O,O,X,X,O,X,O,X,X,O
IZJTOLS,O,O,O,X,X,X,X,O,X,X,X
IZJTOSL,O,O,O,X,X,O,X,O,X,X,O
IZJLTSO,O,O,O,O,X,O,O,O,X,O,O
IZJLTOS,O,O,O,O,X,O,X,O,X,X,X
IZJLSTO,O,O,O,O,X,O,O,O,O,X,O
IZJLSOT,X,O,O,O,X,O,X,X,O,X,O
IZJLOTS,O,O,O,O,X,O,X,O,X,O,X
IZJLOST,O,O,O,O,X,O,X,X,X,X,X
IZJSTLO,O,O,X,X,X,O,O,X,O,O,O
IZJSTOL,O,O,O,X,X,O,O,O,X,X,O
IZJSLTO,O,O,X,O,X,O,O,O,O,X,O
IZJSLOT,X,O,X,O,X,O,X,X,O,X,O
IZJSOTL,O,O,O,X,X,X,X,X,X,X,O
IZJSOLT,O,O,X,X,X,X,X,X,O,X,O
IZJOTLS,O,O,O,X,X,X,X,O,X,O,X
IZJOTSL,O,O,O,X,X,O,X,O,X,O,O
IZJOLTS,O,O,O,O,X,O,X,O,X,O,X
IZJOLST,O,O,O,O,X,O,X,X,X,X,X
IZJOSTL,O,O,O,X,X,X,X,X,X,O,O
IZJOSLT,O,O,X,X,X,X,X,X,O,X,O
IZSTLJO,O,X,X,X,X,O,X,X,O,O,O
IZSTLOJ,X,X,X,X,X,X,O,X,X,O,O
IZSTJLO,O,X,X,X,X,O,X,X,O,X,O
IZSTJOL,O,X,O,X,X,O,X,O,X,X,X
IZSTOLJ,X,X,X,X,X,X,O,X,X,X,O
IZSTOJL,O,X,X,X,X,O,X,O,X,X,X
IZSLTJO,O,X,X,O,X,O,X,O,O,X,O
IZSLTOJ,O,X,X,O,X,O,O,O,X,X,O
IZSLJTO,O,O,X,O,X,O,X,O,O,X,O
IZSLJOT,X,X,X,O,X,O,X,X,O,X,O
IZSLOTJ,X,X,X,O,O,O,X,X,X,X,O
IZSLOJT,X,X,X,O,O,O,X,X,O,X,X
IZSJTLO,O,O,X,X,X,O,X,X,O,X,O
IZSJTOL,O,O,O,X,X,O,X,O,X,X,O
IZSJLTO,O,O,X,O,X,O,X,O,O,X,O
IZSJLOT,X,O,X,O,X,O,X,X,O,X,O
IZSJOTL,O,O,O,X,X,X,X,X,X,X,O
IZSJOLT,O,O,X,X,X,X,X,X,O,X,O
IZSOTLJ,O,X,X,X,O,X,X,X,X,X,O
IZSOTJL,O,X,X,X,O,X,X,X,X,X,X
IZSOLTJ,O,X,X,X,O,X,X,X,X,X,O
IZSOLJT,O,O,X,X,O,X,X,X,O,X,X
IZSOJTL,O,O,X,X,O,X,X,X,X,X,X
IZSOJLT,O,O,X,X,O,X,X,X,O,X,X
IZOTLJS,O,O,X,X,X,X,X,O,X,X,X
IZOTLSJ,O,X,X,X,O,X,X,X,X,X,X
IZOTJLS,O,O,O,X,X,X,X,O,X,X,X
IZOTJSL,O,O,O,X,O,O,X,O,X,X,X
IZOTSLJ,O,X,X,X,O,X,X,X,X,X,O
IZOTSJL,O,X,X,X,O,O,X,O,X,X,X
IZOLTJS,O,O,X,O,X,O,X,O,X,X,X
IZOLTSJ,O,X,X,O,O,O,X,O,X,X,X
IZOLJTS,O,O,X,O,X,O,X,O,X,X,X
IZOLJST,O,O,X,O,X,O,X,X,X,X,X
IZOLSTJ,O,X,X,O,O,O,X,X,X,X,X
IZOLSJT,O,O,X,O,O,O,X,X,X,X,X
IZOJTLS,O,O,O,X,X,X,X,O,X,X,X
IZOJTSL,O,O,O,X,O,O,X,O,X,X,X
