sequence,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFTeBUhBFiBu?sBirBXsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jel7IvhFSiBTeBZmBu?rB3nBUsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFTeBUhBlnBm?rB6sB3rB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Je07IvhFxcBTeBKrBf?sBlnBGsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFTeBUhBlnBi?rBGsBXsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhF8hBGeBamBz?iB/sB1wB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jel7IvhFuhB3dBcjBZ?mBCsBTsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFTeB3hBlnBm?rB6sBUrB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFViBcjBamB3?iB+rBTsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhF8hBTeBamBl?nB3rB+sB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Je07IvhFxdB3hBlnBm?rBCtBTrB,v115@zgB8HeC8GeD8EeE8DeF8DeB8JeU9IvhFFhBXjBzmBm?lBCoBxwB
ITZOLJS,X,X,O,X,O,X,O,X,O,X,X,X
ITZOLSJ,X,X,X,X,O,X,O,X,X,X,X,O
ITZOJLS,O,X,O,X,X,O,X,X,X,X,X,X
ITZOJSL,O,O,O,X,X,O,X,X,X,X,X,O
ITZOSLJ,X,O,X,X,X,O,X,X,X,X,X,O
ITZOSJL,X,O,O,X,X,O,O,X,X,X,X,O
ITOLJSZ,X,O,X,X,X,X,O,X,O,X,X,X
ITOLJZS,X,X,X,X,X,X,O,X,O,X,X,X
ITOLSJZ,X,O,X,X,X,X,O,X,X,X,X,X
ITOLSZJ,X,O,X,X,X,X,O,X,X,X,X,O
ITOLZJS,X,X,X,X,O,X,O,X,O,X,X,X
ITOLZSJ,X,X,X,X,O,X,O,X,X,X,X,O
ITOJLSZ,X,O,X,X,X,X,X,X,X,X,X,X
ITOJLZS,O,X,X,X,X,X,X,X,X,X,X,X
ITOJSLZ,X,O,X,X,X,X,X,O,X,X,X,X
ITOJSZL,X,O,X,X,X,X,X,O,X,X,X,O
ITOJZLS,O,X,O,X,X,X,X,X,X,X,X,X
ITOJZSL,O,O,O,X,X,X,X,X,X,X,X,O
ITOSLJZ,X,O,X,X,X,X,X,X,X,X,X,X
ITOSLZJ,X,O,X,X,X,X,X,X,X,X,X,O
ITOSJLZ,X,O,X,X,X,X,X,O,X,X,X,X
ITOSJZL,X,O,X,X,X,X,X,O,X,X,X,O
ITOSZLJ,X,O,X,X,X,X,X,X,X,X,X,O
ITOSZJL,X,O,X,X,X,X,X,X,X,X,X,O
ITOZLJS,X,X,O,X,O,X,O,X,O,X,X,X
ITOZLSJ,X,X,X,X,O,X,O,X,X,X,X,O
ITOZJLS,O,X,O,X,X,O,X,X,X,X,X,X
ITOZJSL,O,O,O,X,X,O,X,X,X,X,X,O
ITOZSLJ,X,O,X,X,X,O,X,X,X,X,X,O
ITOZSJL,X,O,O,X,X,O,O,X,X,X,X,O
ILTJSZO,X,O,X,X,X,O,O,X,O,X,X,X
ILTJSOZ,X,O,X,X,X,X,O,X,X,X,X,X
ILTJZSO,O,X,X,X,X,O,O,X,O,X,X,X
ILTJZOS,O,X,X,X,X,O,O,X,O,X,X,X
ILTJOSZ,X,O,X,X,X,X,O,X,O,X,X,X
ILTJOZS,O,X,X,X,X,X,O,X,O,X,X,X
ILTSJZO,X,O,X,X,X,O,O,X,X,X,X,X
ILTSJOZ,X,O,X,X,X,X,O,X,X,X,X,X
ILTSZJO,X,X,X,X,X,O,O,X,X,O,X,X
ILTSZOJ,X,O,X,X,X,O,O,X,X,O,X,X
ILTSOJZ,X,O,X,X,X,O,O,X,X,X,X,X
ILTSOZJ,X,O,X,X,X,O,O,X,X,X,X,X
ILTZJSO,O,X,X,X,O,O,O,X,O,X,X,X
ILTZJOS,O,X,X,X,O,O,O,X,O,X,X,X
ILTZSJO,X,X,X,X,O,O,O,X,X,X,X,X
ILTZSOJ,X,X,X,X,O,O,O,X,X,X,X,X
ILTZOJS,X,X,X,X,O,O,O,X,O,X,X,X
ILTZOSJ,X,X,X,X,O,O,O,X,X,X,X,X
ILTOJSZ,X,O,X,X,X,X,O,X,O,X,X,X
ILTOJZS,X,X,X,X,X,X,O,X,O,X,X,X
ILTOSJZ,X,O,X,X,X,X,O,X,X,X,X,X
ILTOSZJ,X,O,X,X,X,X,O,X,X,X,X,O
ILTOZJS,X,X,X,X,O,O,O,X,O,X,X,X
ILTOZSJ,X,X,X,X,O,O,O,X,X,X,X,O
ILJTSZO,X,O,X,X,X,O,O,X,O,X,X,X
ILJTSOZ,X,O,X,X,X,X,O,X,X,X,X,X
ILJTZSO,O,X,X,X,X,O,O,X,O,X,X,X
ILJTZOS,O,X,X,X,X,O,O,X,O,X,X,X
ILJTOSZ,X,O,X,X,X,X,O,X,O,X,X,X
ILJTOZS,O,X,X,X,X,X,O,X,O,X,X,X
ILJSTZO,X,O,X,X,X,X,O,O,O,X,X,X
ILJSTOZ,X,O,X,X,X,X,O,O,X,X,X,X
ILJSZTO,O,O,X,X,X,X,O,X,O,O,X,X
ILJSZOT,O,O,X,X,X,X,O,X,O,X,X,X
ILJSOTZ,X,O,X,X,X,X,O,X,O,X,X,X
ILJSOZT,O,O,X,X,X,X,O,X,O,X,X,X
ILJZTSO,O,X,O,X,O,X,O,X,O,X,X,X
ILJZTOS,O,X,O,X,O,X,O,X,O,X,X,X
ILJZSTO,O,X,X,X,X,X,O,X,O,X,X,X
ILJZSOT,O,X,X,X,X,X,O,X,O,X,X,X
ILJZOTS,O,X,O,X,O,X,O,X,O,X,X,X
ILJZOST,O,X,X,X,X,X,O,X,O,X,X,X
ILJOTSZ,X,O,X,X,X,X,O,X,O,X,X,X
ILJOTZS,O,X,X,X,X,X,O,X,O,X,X,X
ILJOSTZ,X,O,X,X,X,X,O,X,O,X,X,X
ILJOSZT,O,O,X,X,X,X,O,X,O,X,X,X
ILJOZTS,O,X,O,X,O,X,O,X,O,X,X,X
ILJOZST,O,X,X,X,X,X,O,X,O,X,X,X
ILSTJZO,X,O,X,O,X,X,O,X,X,X,X,X
ILSTJOZ,X,O,X,O,X,X,O,X,X,X,X,X
ILSTZJO,X,X,X,O,X,O,O,X,X,O,X,X
ILSTZOJ,X,O,X,O,X,O,O,X,X,O,X,X
ILSTOJZ,X,O,X,O,X,X,O,X,X,X,X,X
ILSTOZJ,X,O,X,O,X,X,O,X,X,X,X,X
ILSJTZO,X,O,X,X,X,X,O,X,O,X,X,X
ILSJTOZ,X,O,X,X,X,X,O,X,X,X,X,X
ILSJZTO,O,O,X,X,X,X,O,X,O,O,X,X
ILSJZOT,O,O,X,X,X,X,O,X,O,X,X,X
ILSJOTZ,X,O,X,X,X,X,O,X,O,X,X,X
ILSJOZT,O,O,X,X,X,X,O,X,O,X,X,X
ILSZTJO,X,X,X,O,O,X,O,X,X,O,X,X
ILSZTOJ,X,O,X,O,O,X,O,X,X,O,X,X
ILSZJTO,O,X,X,O,X,X,O,X,O,O,X,X
ILSZJOT,O,X,X,O,X,X,O,X,O,X,X,X
ILSZOTJ,X,O,X,O,O,X,O,X,X,O,X,X
ILSZOJT,X,X,X,O,X,X,O,X,O,X,X,X
ILSOTJZ,X,O,X,O,X,X,O,X,X,X,X,X
ILSOTZJ,X,O,X,O,X,X,O,X,X,X,X,O
ILSOJTZ,X,O,X,X,X,X,O,X,O,X,X,X
ILSOJZT,X,O,X,X,X,X,O,X,O,X,X,X
ILSOZTJ,X,O,X,O,O,X,O,X,X,O,X,O
ILSOZJT,X,X,X,O,X,X,O,X,O,X,X,X
ILZTJSO,O,X,O,X,O,O,O,X,O,X,X,X
ILZTJOS,O,X,O,X,O,O,O,X,O,X,X,X
ILZTSJO,X,X,X,O,O,O,O,X,X,X,X,X
ILZTSOJ,X,X,X,O,O,O,O,X,X,X,X,X
ILZTOJS,X,X,O,X,O,O,O,X,O,X,X,X
ILZTOSJ,X,X,X,O,O,O,O,X,X,X,X,X
ILZJTSO,O,X,O,X,O,X,O,X,O,X,X,X
ILZJTOS,O,X,O,X,O,X,O,X,O,X,X,X
ILZJSTO,O,X,X,O,X,X,O,X,O,X,X,X
ILZJSOT,O,X,X,O,X,X,O,X,O,X,X,X
ILZJOTS,O,X,O,X,O,X,O,X,O,X,X,X
ILZJOST,O,X,X,O,X,X,O,X,O,X,X,X
ILZSTJO,X,X,X,O,O,X,O,X,X,O,X,X
ILZSTOJ,X,X,X,O,O,X,O,X,X,O,X,X
ILZSJTO,O,X,X,O,X,X,O,X,O,O,X,X
ILZSJOT,O,X,X,O,X,X,O,X,O,X,X,X
ILZSOTJ,X,X,X,O,O,X,O,X,X,O,X,X
ILZSOJT,X,X,X,O,X,X,O,X,O,X,X,X
ILZOTJS,X,X,O,X,O,X,O,X,O,X,X,X
ILZOTSJ,X,X,X,O,O,X,O,X,X,X,X,X
ILZOJTS,O,X,O,X,O,X,O,X,O,X,X,X
ILZOJST,O,X,X,O,X,X,O,X,O,X,X,X
ILZOSTJ,X,X,X,O,O,X,O,X,X,X,X,X
ILZOSJT,X,X,X,O,X,X,O,X,O,X,X,X
ILOTJSZ,X,O,X,X,X,X,O,X,O,X,X,X
ILOTJZS,X,X,X,X,X,X,O,X,O,X,X,X
ILOTSJZ,X,O,X,X,X,X,O,X,X,X,X,X
ILOTSZJ,X,O,X,X,X,X,O,X,X,X,X,O
ILOTZJS,X,X,X,X,O,O,O,X,O,X,X,X
ILOTZSJ,X,X,X,X,O,O,O,X,X,X,X,O
ILOJTSZ,X,O,X,X,X,X,O,X,O,X,X,X
ILOJTZS,O,X,X,X,X,X,O,X,O,X,X,X
ILOJSTZ,X,O,X,X,X,X,O,X,O,X,X,X
ILOJSZT,O,O,X,X,X,X,O,X,O,X,X,X
ILOJZTS,O,X,O,X,O,X,O,X,O,X,X,X
ILOJZST,O,X,X,X,X,X,O,X,O,X,X,X
ILOSTJZ,X,O,X,O,X,X,O,X,X,X,X,X
ILOSTZJ,X,O,X,O,X,X,O,X,X,X,X,O
ILOSJTZ,X,O,X,X,X,X,O,X,O,X,X,X
ILOSJZT,X,O,X,X,X,X,O,X,O,X,X,X
ILOSZTJ,X,O,X,O,O,X,O,X,X,O,X,O
ILOSZJT,X,X,X,O,X,X,O,X,O,X,X,X
ILOZTJS,X,X,O,X,O,X,O,X,O,X,X,X
ILOZTSJ,X,X,X,O,O,X,O,X,X,X,X,O
ILOZJTS,O,X,O,X,O,X,O,X,O,X,X,X
ILOZJST,O,X,X,O,X,X,O,X,O,X,X,X
ILOZSTJ,X,X,X,O,O,X,O,X,X,X,X,O
ILOZSJT,X,X,X,O,X,X,O,X,O,X,X,X
IJTLSZO,X,O,X,X,X,O,O,X,O,X,X,X
IJTLSOZ,X,O,X,X,X,X,O,X,X,X,X,X
IJTLZSO,O,X,X,X,X,O,O,X,O,X,X,X
IJTLZOS,O,X,X,X,X,O,O,X,O,X,X,X
IJTLOSZ,X,O,X,X,X,X,O,X,X,X,X,X
IJTLOZS,O,X,X,X,X,X,O,X,O,X,X,X
IJTSLZO,X,O,X,X,X,O,X,O,X,X,O,X
IJTSLOZ,X,O,X,X,X,X,X,O,X,X,O,X
IJTSZLO,X,O,X,X,X,O,X,O,X,X,O,X
IJTSZOL,X,O,X,X,X,O,X,O,X,X,X,X
IJTSOLZ,X,O,X,X,X,X,X,O,X,X,X,X
IJTSOZL,X,O,X,X,X,X,X,O,X,X,X,X
IJTZLSO,X,X,O,X,X,O,O,X,O,X,X,X
IJTZLOS,O,X,O,X,X,O,O,X,O,X,X,X
IJTZSLO,X,O,O,X,X,O,O,X,X,X,O,X
IJTZSOL,O,O,O,X,X,O,O,X,X,X,X,X
IJTZOLS,O,X,O,X,X,O,X,X,X,X,X,X
IJTZOSL,O,O,O,X,X,O,X,X,X,X,X,X
IJTOLSZ,X,O,X,X,X,X,X,X,X,X,X,X
IJTOLZS,O,X,X,X,X,X,X,X,X,X,X,X
IJTOSLZ,X,O,X,X,X,X,X,O,X,X,X,X
IJTOSZL,X,O,X,X,X,X,X,O,X,X,X,O
IJTOZLS,O,X,O,X,X,X,X,X,X,X,X,X
IJTOZSL,O,O,O,X,X,X,X,X,X,X,X,O
IJLTSZO,X,O,X,X,X,O,O,X,O,X,X,X
IJLTSOZ,X,O,X,X,X,X,O,X,X,X,X,X
IJLTZSO,O,X,X,X,X,O,O,X,O,X,X,X
IJLTZOS,O,X,X,X,X,O,O,X,O,X,X,X
IJLTOSZ,X,O,X,X,X,X,O,X,O,X,X,X
IJLTOZS,O,X,X,X,X,X,O,X,O,X,X,X
IJLSTZO,X,O,X,X,X,X,O,O,O,X,X,X
IJLSTOZ,X,O,X,X,X,X,O,O,X,X,X,X
IJLSZTO,O,O,X,X,X,X,O,X,O,O,X,X
IJLSZOT,O,O,X,X,X,X,O,X,O,X,X,X
IJLSOTZ,X,O,X,X,X,X,O,X,O,X,X,X
IJLSOZT,O,O,X,X,X,X,O,X,O,X,X,X
IJLZTSO,O,X,O,X,O,X,O,X,O,X,X,X
IJLZTOS,O,X,O,X,O,X,O,X,O,X,X,X
IJLZSTO,O,X,X,X,X,X,O,X,O,X,X,X
IJLZSOT,O,X,X,X,X,X,O,X,O,X,X,X
IJLZOTS,O,X,O,X,O,X,O,X,O,X,X,X
IJLZOST,O,X,X,X,X,X,O,X,O,X,X,X
IJLOTSZ,X,O,X,X,X,X,O,X,O,X,X,X
IJLOTZS,O,X,X,X,X,X,O,X,O,X,X,X
IJLOSTZ,X,O,X,X,X,X,O,X,O,X,X,X
IJLOSZT,O,O,X,X,X,X,O,X,O,X,X,X
IJLOZTS,O,X,O,X,O,X,O,X,O,X,X,X
IJLOZST,O,X,X,X,X,X,O,X,O,X,X,X
IJSTLZO,X,O,X,X,X,O,X,O,X,X,O,X
IJSTLOZ,X,O,X,X,X,X,X,O,X,X,O,X
IJSTZLO,X,O,X,X,X,O,X,O,X,X,O,X
IJSTZOL,X,O,X,X,X,O,X,O,X,X,X,X
IJSTOLZ,X,O,X,X,X,X,X,O,X,X,X,X
IJSTOZL,X,O,X,X,X,X,X,O,X,X,X,X
IJSLTZO,X,O,X,X,X,X,X,O,X,X,X,X
IJSLTOZ,X,O,X,X,X,X,X,O,X,X,X,X
IJSLZTO,O,O,X,X,X,X,X,X,X,X,X,X
IJSLZOT,O,O,X,X,X,X,X,X,X,X,X,X
IJSLOTZ,X,O,X,X,X,X,X,X,X,X,X,X
IJSLOZT,O,O,X,X,X,X,X,X,X,X,X,X
IJSZTLO,X,O,O,X,X,X,X,O,X,X,O,X
IJSZTOL,O,O,O,X,X,X,X,O,X,X,X,X
IJSZLTO,X,O,X,X,X,X,X,X,X,X,X,X
IJSZLOT,X,O,X,X,X,X,X,X,X,X,X,X
IJSZOTL,O,O,O,X,X,X,X,X,X,X,X,X
IJSZOLT,X,O,X,X,X,X,X,X,X,X,X,X
IJSOTLZ,X,O,X,X,X,X,X,O,X,X,X,X
IJSOTZL,X,O,X,X,X,X,X,O,X,X,X,O
IJSOLTZ,X,O,X,X,X,X,X,X,X,X,X,X
IJSOLZT,O,O,X,X,X,X,X,X,X,X,X,X
IJSOZTL,O,O,O,X,X,X,X,X,X,X,X,O
IJSOZLT,X,O,X,X,X,X,X,X,X,X,X,X
IJZTLSO,X,X,O,X,X,X,O,X,O,X,X,X
IJZTLOS,O,X,O,X,X,X,O,X,O,X,X,X
IJZTSLO,X,O,O,X,X,X,O,X,X,X,O,X
IJZTSOL,O,O,O,X,X,X,O,X,X,X,X,X
IJZTOLS,O,X,O,X,X,X,X,X,X,X,X,X
IJZTOSL,O,O,O,X,X,X,X,X,X,X,X,X
IJZLTSO,O,X,O,X,O,X,O,X,O,X,X,X
IJZLTOS,O,X,O,X,O,X,O,X,O,X,X,X
IJZLSTO,O,X,X,X,X,X,O,X,O,X,X,X
IJZLSOT,O,X,X,X,X,X,O,X,O,X,X,X
IJZLOTS,O,X,O,X,O,X,O,X,O,X,X,X
IJZLOST,O,X,X,X,X,X,O,X,O,X,X,X
IJZSTLO,X,O,O,X,X,X,O,O,X,X,O,X
IJZSTOL,O,O,O,X,X,X,O,O,X,X,X,X
IJZSLTO,X,O,X,X,X,X,O,X,X,X,X,X
IJZSLOT,X,O,X,X,X,X,O,X,X,X,X,X
IJZSOTL,O,O,O,X,X,X,O,X,X,X,X,X
IJZSOLT,X,O,X,X,X,X,X,X,X,X,X,X
IJZOTLS,O,X,O,X,X,X,X,X,O,X,X,X
IJZOTSL,O,O,O,X,X,X,X,X,X,X,X,X
IJZOLTS,O,X,O,X,O,X,X,X,O,X,X,X
IJZOLST,O,X,X,X,X,X,X,X,O,X,X,X
IJZOSTL,O,O,O,X,X,X,X,X,X,X,X,X
IJZOSLT,X,O,X,X,X,X,X,X,X,X,X,X
IJOTLSZ,X,O,X,X,X,X,X,X,O,X,X,X
IJOTLZS,O,X,X,X,X,X,X,X,O,X,X,X
IJOTSLZ,X,O,X,X,X,X,X,O,X,X,X,X
IJOTSZL,X,O,X,X,X,X,X,O,X,X,X,O
IJOTZLS,O,X,O,X,X,X,X,X,O,X,X,X
IJOTZSL,O,O,O,X,X,X,X,X,X,X,X,O
IJOLTSZ,X,O,X,X,X,X,X,X,O,X,X,X
IJOLTZS,O,X,X,X,X,X,X,X,O,X,X,X
IJOLSTZ,X,O,X,X,X,X,X,X,O,X,X,X
IJOLSZT,O,O,X,X,X,X,X,X,O,X,X,X
IJOLZTS,O,X,O,X,O,X,X,X,O,X,X,X
IJOLZST,O,X,X,X,X,X,X,X,O,X,X,X
IJOSTLZ,X,O,X,X,X,O,X,O,X,X,X,X
IJOSTZL,X,O,X,X,X,O,X,O,X,X,X,O
IJOSLTZ,X,O,X,X,X,X,X,X,X,X,X,X
IJOSLZT,O,O,X,X,X,X,X,X,X,X,X,X
IJOSZTL,O,O,O,X,X,X,X,X,X,X,X,O
IJOSZLT,X,O,X,X,X,X,X,X,X,X,X,X
IJOZTLS,O,X,O,X,X,X,X,X,O,X,X,X
IJOZTSL,O,O,O,X,X,X,X,X,X,X,X,O
IJOZLTS,O,X,O,X,O,X,X,X,O,X,X,X
IJOZLST,O,X,X,X,X,X,X,X,O,X,X,X
IJOZSTL,O,O,O,X,X,X,X,X,X,X,X,O
IJOZSLT,X,O,X,X,X,X,X,X,X,X,X,X
ISTLJZO,X,O,X,X,X,O,O,X,X,X,X,X
ISTLJOZ,X,O,X,X,X,X,O,X,X,X,X,X
ISTLZJO,X,X,X,X,X,O,O,X,X,O,X,X
ISTLZOJ,X,O,X,X,X,O,O,X,X,O,X,X
ISTLOJZ,X,O,X,X,X,O,O,X,X,X,X,X
ISTLOZJ,X,O,X,X,X,O,O,X,X,X,X,X
ISTJLZO,X,O,X,X,X,O,X,X,X,X,X,X
ISTJLOZ,X,O,X,X,X,X,X,X,X,X,X,X
ISTJZLO,X,O,X,X,X,O,X,X,X,X,X,X
ISTJZOL,X,O,X,X,X,O,X,X,X,X,X,X
ISTJOLZ,X,O,X,X,X,X,X,X,X,X,X,X
ISTJOZL,X,O,X,X,X,X,X,X,X,X,X,X
ISTZLJO,X,X,X,X,X,O,O,X,X,O,X,X
ISTZLOJ,X,O,X,X,X,O,O,X,X,O,X,X
ISTZJLO,X,O,X,X,X,O,O,X,X,X,X,X
ISTZJOL,X,O,X,X,X,O,O,X,X,X,X,X
ISTZOLJ,X,O,X,X,X,O,X,X,X,X,X,X
ISTZOJL,X,O,X,X,X,O,O,X,X,X,X,X
ISTOLJZ,X,O,X,X,X,O,X,X,X,X,X,X
ISTOLZJ,X,O,X,X,X,O,X,X,X,X,X,O
ISTOJLZ,X,O,X,X,X,O,X,X,X,X,X,X
ISTOJZL,X,O,X,X,X,O,X,X,X,X,X,O
ISTOZLJ,X,O,X,X,X,O,X,X,X,X,X,O
ISTOZJL,X,O,X,X,X,O,X,X,X,X,X,O
ISLTJZO,X,O,X,X,X,X,O,X,X,X,X,X
ISLTJOZ,X,O,X,X,X,X,O,X,X,X,X,X
ISLTZJO,X,X,X,X,X,O,O,X,X,O,X,X
ISLTZOJ,X,O,X,X,X,O,O,X,X,O,X,X
ISLTOJZ,X,O,X,X,X,X,O,X,X,X,X,X
ISLTOZJ,X,O,X,X,X,X,O,X,X,X,X,X
ISLJTZO,X,O,X,X,X,X,O,X,O,X,X,X
ISLJTOZ,X,O,X,X,X,X,O,X,X,X,X,X
ISLJZTO,O,O,X,X,X,X,O,X,O,O,X,X
ISLJZOT,O,O,X,X,X,X,O,X,O,X,X,X
ISLJOTZ,X,O,X,X,X,X,O,X,O,X,X,X
ISLJOZT,O,O,X,X,X,X,O,X,O,X,X,X
ISLZTJO,X,X,X,X,O,X,O,X,X,O,X,X
ISLZTOJ,X,O,X,X,O,X,O,X,X,O,X,X
ISLZJTO,O,X,X,X,X,X,O,X,O,O,X,X
ISLZJOT,O,X,X,X,X,X,O,X,O,X,X,X
ISLZOTJ,X,O,X,X,O,X,O,X,X,O,X,X
ISLZOJT,X,X,X,X,X,X,O,X,O,X,X,X
ISLOTJZ,X,O,X,X,X,X,O,X,X,X,X,X
ISLOTZJ,X,O,X,X,X,X,O,X,X,X,X,O
ISLOJTZ,X,O,X,X,X,X,O,X,O,X,X,X
ISLOJZT,X,O,X,X,X,X,O,X,O,X,X,X
ISLOZTJ,X,O,X,X,O,X,O,X,X,O,X,O
ISLOZJT,X,X,X,X,X,X,O,X,O,X,X,X
ISJTLZO,X,O,X,X,X,O,X,O,X,X,X,X
ISJTLOZ,X,O,X,X,X,X,X,O,X,X,X,X
ISJTZLO,X,O,X,X,X,O,X,O,X,X,X,X
ISJTZOL,X,O,X,X,X,O,X,O,X,X,X,X
ISJTOLZ,X,O,X,X,X,X,X,O,X,X,X,X
ISJTOZL,X,O,X,X,X,X,X,O,X,X,X,X
ISJLTZO,X,O,X,X,X,X,X,O,X,X,X,X
ISJLTOZ,X,O,X,X,X,X,X,O,X,X,X,X
ISJLZTO,O,O,X,X,X,X,X,X,X,X,X,X
ISJLZOT,O,O,X,X,X,X,X,X,X,X,X,X
ISJLOTZ,X,O,X,X,X,X,X,X,X,X,X,X
ISJLOZT,O,O,X,X,X,X,X,X,X,X,X,X
ISJZTLO,X,O,O,X,X,X,X,O,X,X,X,X
ISJZTOL,O,O,O,X,X,X,X,O,X,X,X,X
ISJZLTO,X,O,X,X,X,X,X,X,X,X,X,X
ISJZLOT,X,O,X,X,X,X,X,X,X,X,X,X
ISJZOTL,O,O,O,X,X,X,X,X,X,X,X,X
ISJZOLT,X,O,X,X,X,X,X,X,X,X,X,X
ISJOTLZ,X,O,X,X,X,X,X,O,X,X,X,X
ISJOTZL,X,O,X,X,X,X,X,O,X,X,X,O
ISJOLTZ,X,O,X,X,X,X,X,X,X,X,X,X
ISJOLZT,O,O,X,X,X,X,X,X,X,X,X,X
ISJOZTL,O,O,O,X,X,X,X,X,X,X,X,O
ISJOZLT,X,O,X,X,X,X,X,X,X,X,X,X
ISZTLJO,X,X,X,X,X,X,O,X,X,O,X,X
ISZTLOJ,X,O,X,X,X,X,O,X,X,O,X,X
ISZTJLO,X,O,O,X,X,X,O,X,X,X,X,X
ISZTJOL,X,O,O,X,X,X,O,X,X,X,X,X
ISZTOLJ,X,O,X,X,X,X,X,X,X,X,X,X
ISZTOJL,X,O,O,X,X,X,O,X,X,X,X,X
ISZLTJO,X,X,X,X,O,X,O,X,X,O,X,X
ISZLTOJ,X,O,X,X,O,X,O,X,X,O,X,X
ISZLJTO,O,X,X,X,X,X,O,X,O,O,X,X
ISZLJOT,O,X,X,X,X,X,O,X,O,X,X,X
ISZLOTJ,X,O,X,X,O,X,O,X,X,O,X,X
ISZLOJT,X,X,X,X,X,X,O,X,O,X,X,X
ISZJTLO,X,O,O,X,X,X,O,X,X,X,X,X
ISZJTOL,O,O,O,X,X,X,O,X,X,X,X,X
ISZJLTO,X,O,X,X,X,X,O,X,X,X,X,X
ISZJLOT,X,O,X,X,X,X,O,X,X,X,X,X
ISZJOTL,O,O,O,X,X,X,O,X,X,X,X,X
ISZJOLT,X,O,X,X,X,X,X,X,X,X,X,X
ISZOTLJ,X,O,X,X,X,X,X,X,X,X,X,O
ISZOTJL,X,O,O,X,X,X,O,X,X,X,X,O
ISZOLTJ,X,O,X,X,O,X,O,X,X,X,X,O
ISZOLJT,X,X,X,X,X,X,O,X,O,X,X,X
ISZOJTL,O,O,O,X,X,X,O,X,X,X,X,O
ISZOJLT,X,O,X,X,X,X,X,X,X,X,X,X
ISOTLJZ,X,O,X,X,X,O,X,X,X,X,X,X
ISOTLZJ,X,O,X,X,X,O,X,X,X,X,X,O
ISOTJLZ,X,O,X,X,X,O,X,X,X,X,X,X
ISOTJZL,X,O,X,X,X,O,X,X,X,X,X,O
ISOTZLJ,X,O,X,X,X,O,X,X,X,X,X,O
ISOTZJL,X,O,X,X,X,O,X,X,X,X,X,O
ISOLTJZ,X,O,X,X,X,X,X,X,X,X,X,X
ISOLTZJ,X,O,X,X,X,X,X,X,X,X,X,O
ISOLJTZ,X,O,X,X,X,X,X,X,O,X,X,X
ISOLJZT,X,O,X,X,X,X,X,X,O,X,X,X
ISOLZTJ,X,O,X,X,O,X,X,X,X,X,X,O
ISOLZJT,X,X,X,X,X,X,X,X,O,X,X,X
ISOJTLZ,X,O,X,X,X,O,X,X,X,X,X,X
ISOJTZL,X,O,X,X,X,O,X,X,X,X,X,O
ISOJLTZ,X,O,X,X,X,X,X,X,X,X,X,X
ISOJLZT,O,O,X,X,X,X,X,X,X,X,X,X
ISOJZTL,O,O,O,X,X,X,X,X,X,X,X,O
ISOJZLT,X,O,X,X,X,X,X,X,X,X,X,X
ISOZTLJ,X,O,X,X,X,X,X,X,X,X,X,O
ISOZTJL,X,O,O,X,X,X,X,X,X,X,X,O
ISOZLTJ,X,O,X,X,O,X,X,X,X,X,X,O
ISOZLJT,X,X,X,X,X,X,X,X,O,X,X,X
ISOZJTL,O,O,O,X,X,X,X,X,X,X,X,O
ISOZJLT,X,O,X,X,X,X,X,X,X,X,X,X
IZTLJSO,O,X,O,X,O,O,O,X,O,X,X,X
IZTLJOS,O,X,O,X,O,O,O,X,O,X,X,X
IZTLSJO,X,X,X,O,O,O,O,X,X,X,X,X
IZTLSOJ,X,X,X,O,O,O,O,X,X,X,X,X
IZTLOJS,X,X,O,X,O,X,O,X,O,X,X,X
IZTLOSJ,X,X,X,O,O,X,O,X,X,X,X,X
IZTJLSO,X,X,O,X,X,O,O,X,X,X,X,X
IZTJLOS,O,X,O,X,X,O,O,X,X,X,X,X
IZTJSLO,X,O,O,X,X,O,O,X,X,X,O,X
IZTJSOL,O,O,O,X,X,O,O,X,X,X,X,X
IZTJOLS,O,X,O,X,X,O,X,X,X,X,X,X
IZTJOSL,O,O,O,X,X,O,X,X,X,X,X,X
IZTSLJO,X,X,X,X,X,O,O,X,X,X,X,X
IZTSLOJ,X,O,X,X,X,O,O,X,X,X,X,X
IZTSJLO,X,O,O,X,X,O,O,X,X,X,X,X
IZTSJOL,X,O,O,X,X,O,O,X,X,X,X,X
IZTSOLJ,X,O,X,X,X,O,X,X,X,X,X,X
IZTSOJL,X,O,O,X,X,O,O,X,X,X,X,X
IZTOLJS,X,X,O,X,O,X,O,X,O,X,X,X
IZTOLSJ,X,X,X,O,O,X,O,X,X,X,X,O
IZTOJLS,O,X,O,X,X,O,X,X,X,X,X,X
IZTOJSL,O,O,O,X,X,O,X,X,X,X,X,O
