sequence,v115@IhA8IeA8EeB8AeB8AeA8AeE8JeOEJvhFZlBzgBfnB0?iB6oBFrB,v115@IhA8IeA8EeB8AeB8AeA8AeE8JeOEJvhFZlBFhB0iB6?oBfrBzrB
IJLZTSO,X,X
IJLZTOS,X,X
IJLZSTO,O,O
IJLZSOT,X,X
IJLZOTS,X,X
IJLZOST,X,O
IJLOTSZ,X,X
IJLOTZS,X,X
IJLOSTZ,X,O
IJLOSZT,X,O
IJLOZTS,X,X
IJLOZST,X,O
IJSTLZO,O,O
IJSTLOZ,O,X
IJSTZLO,O,O
IJSTZOL,O,X
IJSTOLZ,O,X
IJSTOZL,O,X
IJSLTZO,O,O
IJSLTOZ,O,X
IJSLZTO,O,O
IJSLZOT,X,X
IJSLOTZ,X,O
IJSLOZT,X,O
IJSZTLO,O,O
IJSZTOL,O,X
IJSZLTO,O,O
IJSZLOT,X,X
IJSZOTL,X,X
IJSZOLT,X,X
IJSOTLZ,X,O
IJSOTZL,X,O
IJSOLTZ,X,O
IJSOLZT,X,O
IJSOZTL,X,O
IJSOZLT,X,O
IJZTLSO,X,X
IJZTLOS,X,X
IJZTSLO,X,X
IJZTSOL,X,X
IJZTOLS,X,X
IJZTOSL,X,X
IJZLTSO,X,X
IJZLTOS,X,X
IJZLSTO,O,O
IJZLSOT,X,X
IJZLOTS,X,X
IJZLOST,X,O
IJZSTLO,O,O
IJZSTOL,O,X
IJZSLTO,O,O
IJZSLOT,X,X
IJZSOTL,X,X
IJZSOLT,X,X
IJZOTLS,X,X
IJZOTSL,X,X
IJZOLTS,X,X
IJZOLST,X,O
IJZOSTL,X,O
IJZOSLT,X,O
IJOTLSZ,X,X
IJOTLZS,X,X
IJOTSLZ,X,X
IJOTSZL,X,X
IJOTZLS,X,X
IJOTZSL,X,X
IJOLTSZ,X,X
IJOLTZS,X,X
IJOLSTZ,X,O
IJOLSZT,X,O
IJOLZTS,X,X
IJOLZST,X,O
IJOSTLZ,X,O
IJOSTZL,X,O
IJOSLTZ,X,O
IJOSLZT,X,O
IJOSZTL,X,O
IJOSZLT,X,O
