sequence,v115@zgB8HeC8GeB8FeD8FeH8AeC8Jex7IvhF6iBTeBclBm?hBXmBFsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Jex7IvhF8hBGeBamB3?iBTlBFsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Je07IvhFxdBzhBCjBX?hB2qBFsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Je38IvhF5iBTeBclBy?mBllBmrB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Jex7IvhFTeBclBXmBO?sB6sBlrB,v115@zgB8HeC8GeB8FeD8FeH8AeC8JeVBJvhFaiB5iBTeB0?gB2qBfsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8JefCJvhFxdBUhBCjBT?lBmlBFsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Je3AJvhFcmBxiBmhBC?jBTlBFsB
ISLTJZO,X,X,X,X,X,O,X,X
ISLTJOZ,X,X,X,X,X,O,X,X
ISLTZJO,X,O,X,X,X,X,X,X
ISLTZOJ,X,X,X,X,X,O,X,X
ISLTOJZ,X,X,X,X,X,O,X,X
ISLTOZJ,X,X,X,X,X,O,X,X
ISLJTZO,X,X,X,X,X,O,X,X
ISLJTOZ,X,X,X,X,X,O,X,X
ISLJZTO,X,O,X,X,X,O,X,X
ISLJZOT,X,O,X,X,X,O,X,X
ISLJOTZ,X,X,X,X,X,O,X,X
ISLJOZT,X,X,X,X,X,O,X,X
ISLZTJO,X,O,X,X,X,X,X,X
ISLZTOJ,X,X,X,X,X,O,X,X
ISLZJTO,X,O,X,X,X,O,X,X
ISLZJOT,X,O,X,X,X,O,X,X
ISLZOTJ,X,X,X,X,X,O,X,X
ISLZOJT,X,O,X,X,X,O,X,X
ISLOTJZ,X,X,X,X,X,O,X,X
ISLOTZJ,X,X,X,X,X,O,X,X
ISLOJTZ,X,X,X,X,X,O,X,X
ISLOJZT,X,X,X,X,X,O,X,X
ISLOZTJ,X,X,X,X,X,O,X,X
ISLOZJT,X,X,X,X,X,O,X,X
ISJTLZO,X,X,X,X,X,O,X,X
ISJTLOZ,X,X,X,X,X,O,X,X
ISJTZLO,X,X,X,X,X,O,X,X
ISJTZOL,X,X,X,X,X,O,X,X
ISJTOLZ,X,X,X,X,X,O,X,X
ISJTOZL,X,X,X,X,X,O,X,X
ISJLTZO,X,X,X,O,X,O,X,X
ISJLTOZ,X,X,X,O,X,O,X,X
ISJLZTO,O,O,X,O,X,O,X,X
ISJLZOT,O,O,X,O,X,O,X,X
ISJLOTZ,X,X,X,O,X,O,X,X
ISJLOZT,O,X,X,O,X,O,X,X
ISJZTLO,O,O,X,X,O,O,X,X
ISJZTOL,O,O,X,X,O,O,X,X
ISJZLTO,O,O,X,O,O,O,X,X
ISJZLOT,O,O,X,O,O,O,X,X
ISJZOTL,O,O,X,X,O,O,X,X
ISJZOLT,O,O,X,O,O,O,X,X
ISJOTLZ,X,O,X,X,X,O,X,X
ISJOTZL,X,O,X,X,X,O,X,X
ISJOLTZ,X,X,X,O,X,O,X,X
ISJOLZT,O,O,X,O,X,O,X,X
ISJOZTL,O,O,X,X,O,O,X,X
ISJOZLT,O,O,X,O,O,O,X,X
ISZTLJO,O,X,X,X,X,X,X,O
ISZTLOJ,O,X,X,X,X,O,X,O
ISZTJLO,O,O,X,X,O,X,X,O
ISZTJOL,O,O,X,X,O,X,X,O
ISZTOLJ,O,X,X,X,X,O,X,O
ISZTOJL,O,X,X,X,O,X,X,O
ISZLTJO,O,O,X,X,X,X,X,O
ISZLTOJ,O,X,X,X,X,O,X,O
ISZLJTO,O,O,X,X,O,O,X,O
ISZLJOT,O,O,X,X,O,O,X,O
ISZLOTJ,O,X,X,X,X,O,X,X
ISZLOJT,O,O,X,X,O,O,X,O
ISZJTLO,O,O,X,X,O,O,X,O
ISZJTOL,O,O,X,X,O,O,X,O
ISZJLTO,O,O,X,O,O,O,X,O
ISZJLOT,O,O,X,O,O,O,X,O
ISZJOTL,O,O,X,X,O,O,X,X
ISZJOLT,O,O,X,O,O,O,X,O
ISZOTLJ,O,X,X,X,X,O,X,O
ISZOTJL,O,O,X,X,O,X,X,O
ISZOLTJ,O,O,X,X,X,O,X,X
ISZOLJT,O,O,X,X,O,O,X,O
ISZOJTL,O,O,X,X,O,O,X,X
ISZOJLT,O,O,X,O,O,O,X,O
ISOTLJZ,O,O,X,X,X,O,X,X
ISOTLZJ,O,O,X,X,X,O,X,X
ISOTJLZ,O,O,X,X,X,O,X,X
ISOTJZL,O,O,X,X,X,O,X,X
ISOTZLJ,O,O,X,X,X,O,X,X
ISOTZJL,O,O,X,X,X,X,X,X
ISOLTJZ,X,X,X,X,X,O,X,X
ISOLTZJ,X,O,X,X,X,O,X,X
ISOLJTZ,X,X,X,X,X,O,X,X
ISOLJZT,X,O,X,X,X,O,X,X
ISOLZTJ,X,O,X,X,X,O,X,X
ISOLZJT,X,O,X,X,X,O,X,X
ISOJTLZ,X,O,X,X,X,O,X,X
ISOJTZL,X,O,X,X,X,O,X,X
ISOJLTZ,X,X,X,O,X,O,X,X
ISOJLZT,O,O,X,O,X,O,X,X
ISOJZTL,O,O,X,X,O,O,X,X
ISOJZLT,O,O,X,O,O,O,X,X
ISOZTLJ,O,X,X,X,X,O,X,X
ISOZTJL,O,O,X,X,O,X,X,X
ISOZLTJ,O,O,X,X,X,O,X,X
ISOZLJT,O,O,X,X,O,O,X,X
ISOZJTL,O,O,X,X,O,O,X,X
ISOZJLT,O,O,X,O,O,O,X,X
IZTLJSO,O,O,X,X,X,X,X,X
IZTLJOS,O,O,X,X,X,X,X,X
IZTLSJO,X,O,X,X,X,X,X,O
IZTLSOJ,O,X,X,X,X,X,X,O
IZTLOJS,O,O,O,X,X,X,X,X
IZTLOSJ,O,X,O,X,X,X,X,X
IZTJLSO,O,O,X,O,X,X,X,X
IZTJLOS,O,O,X,O,X,X,X,X
IZTJSLO,O,O,X,X,X,X,X,O
IZTJSOL,O,O,X,X,X,X,X,O
IZTJOLS,O,O,X,O,X,X,X,X
IZTJOSL,O,O,X,X,X,X,X,X
IZTSLJO,O,X,X,X,X,X,X,O
IZTSLOJ,O,X,X,X,X,X,X,O
IZTSJLO,O,O,X,X,O,X,X,O
IZTSJOL,O,O,X,X,O,X,X,O
IZTSOLJ,O,X,X,X,X,X,X,O
IZTSOJL,O,X,X,X,O,X,X,O
IZTOLJS,O,O,O,X,X,X,X,X
IZTOLSJ,O,X,O,X,X,X,X,X
IZTOJLS,O,O,X,O,X,X,X,X
IZTOJSL,O,O,X,X,X,X,X,X
IZTOSLJ,O,X,X,X,X,X,X,O
IZTOSJL,O,O,X,X,O,X,X,O
IZLTJSO,O,O,X,X,X,X,X,X
IZLTJOS,O,O,X,X,X,X,X,X
IZLTSJO,X,O,X,X,X,X,X,X
IZLTSOJ,O,X,X,X,X,X,X,X
IZLTOJS,O,O,O,X,X,X,X,X
IZLTOSJ,O,X,O,X,X,X,X,X
IZLJTSO,X,X,X,O,X,X,X,X
IZLJTOS,X,X,O,O,X,X,X,X
IZLJSTO,X,X,X,O,X,X,X,X
IZLJSOT,X,X,X,O,X,X,X,X
IZLJOTS,X,X,X,O,X,X,X,X
IZLJOST,X,X,X,O,X,X,X,X
IZLSTJO,O,X,X,X,X,X,X,O
IZLSTOJ,O,X,X,X,X,X,X,O
IZLSJTO,O,X,X,X,O,X,X,O
IZLSJOT,O,X,X,X,O,X,X,O
IZLSOTJ,O,X,X,X,X,X,X,X
IZLSOJT,O,X,X,X,O,X,X,O
IZLOTJS,O,X,X,X,X,X,X,X
IZLOTSJ,O,X,X,X,X,X,X,X
IZLOJTS,X,X,X,O,X,X,X,X
IZLOJST,X,X,X,O,X,X,X,X
IZLOSTJ,O,X,X,X,X,X,X,X
IZLOSJT,O,X,X,X,O,X,X,X
IZJTLSO,O,X,X,O,X,X,X,X
IZJTLOS,O,X,O,O,X,X,X,X
IZJTSLO,O,X,X,X,X,X,X,X
IZJTSOL,O,X,X,X,X,X,X,X
IZJTOLS,O,X,O,O,X,X,X,X
IZJTOSL,O,X,X,X,X,X,X,X
IZJLTSO,X,X,X,O,X,X,X,X
IZJLTOS,X,X,O,O,X,X,X,X
IZJLSTO,X,X,X,O,X,X,X,X
IZJLSOT,X,X,X,O,X,X,X,X
IZJLOTS,X,X,X,O,X,X,X,X
IZJLOST,X,X,X,O,X,X,X,X
IZJSTLO,O,X,X,X,O,O,X,O
IZJSTOL,O,X,X,X,O,O,X,O
IZJSLTO,O,X,X,O,O,O,X,O
IZJSLOT,O,X,X,O,O,O,X,O
IZJSOTL,O,X,X,X,O,O,X,X
IZJSOLT,O,X,X,O,O,O,X,O
IZJOTLS,O,X,X,O,X,X,X,X
IZJOTSL,O,X,X,X,X,X,X,X
IZJOLTS,X,X,X,O,X,X,X,X
IZJOLST,X,X,X,O,X,X,X,X
IZJOSTL,O,X,X,X,O,O,X,X
IZJOSLT,O,X,X,O,O,O,X,X
IZSTLJO,O,X,X,X,X,X,X,O
IZSTLOJ,O,X,X,X,X,O,X,O
IZSTJLO,O,X,X,X,O,X,X,O
IZSTJOL,O,X,X,X,O,X,X,O
IZSTOLJ,O,X,X,X,X,O,X,O
IZSTOJL,O,X,X,X,O,X,X,O
IZSLTJO,O,X,X,X,X,X,X,O
IZSLTOJ,O,X,X,X,X,O,X,O
IZSLJTO,O,X,X,X,O,O,X,O
IZSLJOT,O,X,X,X,O,O,X,O
IZSLOTJ,O,X,X,X,X,O,X,X
IZSLOJT,O,X,X,X,O,O,X,O
IZSJTLO,O,X,X,X,O,O,X,O
IZSJTOL,O,X,X,X,O,O,X,O
IZSJLTO,O,X,X,O,O,O,X,O
IZSJLOT,O,X,X,O,O,O,X,O
IZSJOTL,O,X,X,X,O,O,X,X
IZSJOLT,O,X,X,O,O,O,X,O
IZSOTLJ,O,X,X,X,X,O,X,O
IZSOTJL,O,X,X,X,O,X,X,O
IZSOLTJ,O,X,X,X,X,O,X,X
IZSOLJT,O,X,X,X,O,O,X,O
IZSOJTL,O,X,X,X,O,O,X,X
IZSOJLT,O,X,X,O,O,O,X,O
IZOTLJS,O,O,X,X,X,X,X,X
IZOTLSJ,O,X,X,X,X,X,X,X
IZOTJLS,O,O,X,O,X,X,X,X
IZOTJSL,O,O,X,X,X,X,X,X
IZOTSLJ,O,X,X,X,X,X,X,X
IZOTSJL,O,O,X,X,O,X,X,X
IZOLTJS,O,O,X,X,X,X,X,X
IZOLTSJ,O,O,X,X,X,X,X,X
IZOLJTS,X,X,X,O,X,X,X,X
IZOLJST,X,X,X,O,X,X,X,X
IZOLSTJ,O,X,X,X,X,X,X,X
IZOLSJT,O,X,X,X,O,X,X,X
IZOJTLS,O,X,X,O,X,X,X,X
IZOJTSL,O,X,X,X,X,X,X,X
IZOJLTS,X,X,X,O,X,X,X,X
IZOJLST,X,X,X,O,X,X,X,X
IZOJSTL,O,X,X,X,O,O,X,X
IZOJSLT,O,X,X,O,O,O,X,X
IZOSTLJ,O,X,X,X,X,O,X,O
IZOSTJL,O,X,X,X,O,X,X,O
IZOSLTJ,O,X,X,X,X,O,X,X
IZOSLJT,O,X,X,X,O,O,X,O
IZOSJTL,O,X,X,X,O,O,X,X
IZOSJLT,O,X,X,O,O,O,X,O
IOTLJSZ,X,O,X,X,X,X,X,X
IOTLJZS,O,O,X,X,X,X,X,X
IOTLSJZ,O,O,X,X,X,X,X,X
IOTLSZJ,O,O,X,X,X,X,X,X
IOTLZJS,O,O,X,X,X,X,X,X
IOTLZSJ,O,O,X,X,X,X,O,X
IOTJLSZ,X,O,X,O,X,X,X,X
IOTJLZS,O,O,X,O,X,X,X,X
IOTJSLZ,X,O,X,X,X,O,X,X
IOTJSZL,X,O,X,X,X,O,X,X
IOTJZLS,O,O,X,O,X,X,X,X
IOTJZSL,O,O,X,X,X,X,X,X
IOTSLJZ,O,O,X,X,X,O,X,X
IOTSLZJ,O,O,X,X,X,O,X,X
IOTSJLZ,O,O,X,X,X,O,X,X
IOTSJZL,O,O,X,X,X,O,X,X
IOTSZLJ,O,O,X,X,X,O,X,X
IOTSZJL,O,O,X,X,X,X,X,X
IOTZLJS,O,O,X,X,X,X,X,X
IOTZLSJ,O,O,X,X,X,X,O,X
IOTZJLS,O,O,X,O,X,X,X,X
IOTZJSL,O,O,X,X,X,X,X,X
IOTZSLJ,O,X,X,X,X,X,O,O
IOTZSJL,O,O,X,X,O,X,X,O
IOLTJSZ,X,O,X,X,X,X,X,X
IOLTJZS,O,O,X,X,X,X,X,X
IOLTSJZ,X,O,X,X,X,X,X,X
IOLTSZJ,O,O,X,X,X,X,X,X
IOLTZJS,O,O,X,X,X,X,X,X
IOLTZSJ,O,O,X,X,X,X,O,X
IOLJTSZ,X,O,X,O,X,X,X,X
IOLJTZS,X,O,X,O,X,X,X,X
IOLJSTZ,X,X,X,O,X,O,X,X
IOLJSZT,X,O,X,O,X,O,X,X
IOLJZTS,X,X,X,O,X,X,X,X
IOLJZST,X,X,X,O,X,X,X,X
IOLSTJZ,X,X,X,X,X,O,X,X
IOLSTZJ,X,O,X,X,X,O,X,X
IOLSJTZ,X,X,X,X,X,O,X,X
IOLSJZT,X,O,X,X,X,O,X,X
IOLSZTJ,X,O,X,X,X,O,X,X
IOLSZJT,X,O,X,X,X,O,X,X
IOLZTJS,O,O,X,X,X,X,X,X
IOLZTSJ,O,O,X,X,X,X,X,X
IOLZJTS,X,X,X,O,X,X,X,X
IOLZJST,X,X,X,O,X,X,X,X
IOLZSTJ,O,X,X,X,X,X,O,X
IOLZSJT,O,X,X,X,O,X,O,X
IOJTLSZ,X,O,X,O,X,X,X,X
IOJTLZS,O,O,X,O,X,X,X,X
IOJTSLZ,X,O,X,X,X,O,X,X
IOJTSZL,X,O,X,X,X,O,X,X
IOJTZLS,O,O,X,O,X,X,X,X
IOJTZSL,O,O,X,X,X,X,X,X
IOJLTSZ,X,O,X,O,X,X,X,X
IOJLTZS,X,O,X,O,X,X,X,X
IOJLSTZ,X,X,X,O,X,O,X,X
IOJLSZT,X,O,X,O,X,O,X,X
IOJLZTS,X,X,X,O,X,X,X,X
IOJLZST,X,X,X,O,X,X,X,X
IOJSTLZ,X,O,X,X,X,O,X,X
IOJSTZL,X,O,X,X,X,O,X,X
IOJSLTZ,X,X,X,O,X,O,X,X
IOJSLZT,X,O,X,O,X,O,X,X
IOJSZTL,X,O,X,X,O,O,X,X
IOJSZLT,X,O,X,O,O,O,X,X
IOJZTLS,O,X,X,O,X,X,X,X
IOJZTSL,O,X,X,X,X,X,X,X
IOJZLTS,X,X,X,O,X,X,X,X
IOJZLST,X,X,X,O,X,X,X,X
IOJZSTL,O,X,X,X,O,O,X,X
IOJZSLT,O,X,X,O,O,O,X,X
IOSTLJZ,O,O,X,X,X,O,X,X
IOSTLZJ,O,O,X,X,X,O,X,X
IOSTJLZ,O,O,X,X,X,O,X,X
IOSTJZL,O,O,X,X,X,O,X,X
IOSTZLJ,O,O,X,X,X,O,X,X
IOSTZJL,O,O,X,X,X,X,X,X
IOSLTJZ,X,X,X,X,X,O,X,X
IOSLTZJ,X,O,X,X,X,O,X,X
IOSLJTZ,X,X,X,X,X,O,X,X
IOSLJZT,X,O,X,X,X,O,X,X
IOSLZTJ,X,O,X,X,X,O,X,X
IOSLZJT,X,O,X,X,X,O,X,X
IOSJTLZ,X,O,X,X,X,O,X,X
IOSJTZL,X,O,X,X,X,O,X,X
IOSJLTZ,X,X,X,O,X,O,X,X
IOSJLZT,O,O,X,O,X,O,X,X
IOSJZTL,O,O,X,X,O,O,X,X
IOSJZLT,O,O,X,O,O,O,X,X
IOSZTLJ,O,X,X,X,X,O,X,X
IOSZTJL,O,O,X,X,O,X,X,X
IOSZLTJ,O,O,X,X,X,O,X,X
IOSZLJT,O,O,X,X,O,O,X,X
IOSZJTL,O,O,X,X,O,O,X,X
IOSZJLT,O,O,X,O,O,O,X,X
IOZTLJS,O,O,X,X,X,X,X,X
IOZTLSJ,O,X,X,X,X,X,O,X
IOZTJLS,O,O,X,O,X,X,X,X
IOZTJSL,O,O,X,X,X,X,X,X
IOZTSLJ,O,X,X,X,X,X,O,X
IOZTSJL,O,O,X,X,O,X,X,X
IOZLTJS,O,O,X,X,X,X,X,X
IOZLTSJ,O,O,X,X,X,X,X,X
IOZLJTS,X,X,X,O,X,X,X,X
IOZLJST,X,X,X,O,X,X,X,X
IOZLSTJ,O,X,X,X,X,X,O,X
IOZLSJT,O,X,X,X,O,X,O,X
IOZJTLS,O,X,X,O,X,X,X,X
IOZJTSL,O,X,X,X,X,X,X,X
IOZJLTS,X,X,X,O,X,X,X,X
IOZJLST,X,X,X,O,X,X,X,X
IOZJSTL,O,X,X,X,O,O,X,X
IOZJSLT,O,X,X,O,O,O,X,X
IOZSTLJ,O,X,X,X,X,O,X,O
IOZSTJL,O,X,X,X,O,X,X,O
IOZSLTJ,O,X,X,X,X,O,O,X
IOZSLJT,O,X,X,X,O,O,O,O
IOZSJTL,O,X,X,X,O,O,X,X
IOZSJLT,O,X,X,O,O,O,X,O
LTIJSZO,X,O,X,X,X,X,O,X
LTIJSOZ,X,X,O,X,X,X,X,X
LTIJZSO,O,O,X,X,X,X,X,X
LTIJZOS,O,O,O,X,X,X,X,X
LTIJOSZ,X,X,O,X,X,X,X,X
LTIJOZS,O,X,O,X,X,X,X,X
LTISJZO,O,O,X,X,X,X,O,X
LTISJOZ,O,X,O,X,X,X,X,X
LTISZJO,O,O,X,X,X,X,O,X
LTISZOJ,O,O,X,X,X,X,O,X
LTISOJZ,O,X,O,X,X,X,X,X
LTISOZJ,O,X,O,X,X,X,O,X
LTIZJSO,O,O,X,X,X,X,X,X
LTIZJOS,O,O,O,X,X,X,X,X
LTIZSJO,X,O,X,X,X,X,O,O
LTIZSOJ,O,X,X,X,X,X,O,O
LTIZOJS,O,O,O,X,X,X,X,X
LTIZOSJ,O,X,O,X,X,X,X,X
LTIOJSZ,X,X,O,X,X,X,X,X
LTIOJZS,O,X,O,X,X,X,X,X
LTIOSJZ,O,X,O,X,X,X,X,X
LTIOSZJ,O,X,O,X,X,X,O,X
LTIOZJS,O,O,O,X,X,X,X,X
LTIOZSJ,O,X,O,X,X,X,O,X
LTJISZO,X,O,X,X,X,X,O,X
LTJISOZ,X,X,O,X,X,X,X,X
LTJIZSO,O,O,X,X,X,X,X,X
LTJIZOS,O,O,O,X,X,X,X,X
LTJIOSZ,X,X,O,X,X,X,X,X
LTJIOZS,O,X,O,X,X,X,X,X
LTJSIZO,O,O,X,X,X,X,O,X
LTJSIOZ,O,X,O,X,X,X,X,X
LTJSZIO,O,O,X,X,X,X,O,X
LTJSZOI,O,O,O,X,X,X,O,X
LTJSOIZ,O,O,O,X,X,X,X,X
LTJSOZI,O,O,O,X,X,X,X,X
LTJZISO,O,O,X,X,X,X,X,X
LTJZIOS,O,O,O,X,X,X,X,X
LTJZSIO,O,O,X,X,X,X,O,X
LTJZSOI,O,O,O,X,X,X,O,X
LTJZOIS,O,O,O,X,X,X,X,X
LTJZOSI,O,O,O,X,X,X,X,X
LTJOISZ,X,O,O,X,X,X,X,X
LTJOIZS,O,O,O,X,X,X,X,X
LTJOSIZ,O,O,O,X,X,X,X,X
LTJOSZI,O,O,O,X,X,X,X,X
LTJOZIS,O,O,O,X,X,X,X,X
LTJOZSI,O,O,O,X,X,X,O,X
LTSIJZO,O,O,X,X,X,X,O,X
LTSIJOZ,O,X,O,X,X,X,X,X
LTSIZJO,O,O,X,X,X,X,O,X
LTSIZOJ,O,O,X,X,X,X,O,X
LTSIOJZ,O,X,O,X,X,X,X,X
LTSIOZJ,O,X,O,X,X,X,O,X
LTSJIZO,O,O,X,X,X,X,O,X
LTSJIOZ,O,X,O,X,X,X,X,X
LTSJZIO,O,O,X,X,X,X,O,X
LTSJZOI,O,O,O,X,X,X,O,X
LTSJOIZ,O,O,O,X,X,X,X,X
LTSJOZI,O,O,O,X,X,X,X,X
LTSZIJO,O,O,X,X,X,X,O,X
LTSZIOJ,O,O,X,X,X,X,O,X
LTSZJIO,O,O,X,X,X,X,O,X
LTSZJOI,O,O,X,X,X,X,O,X
LTSZOIJ,O,O,O,X,X,X,O,X
LTSZOJI,O,O,O,X,X,X,O,X
LTSOIJZ,O,O,O,X,X,X,X,X
LTSOIZJ,O,O,O,X,X,X,O,X
LTSOJIZ,O,O,O,X,X,X,X,X
LTSOJZI,O,O,O,X,X,X,X,X
LTSOZIJ,O,O,O,X,X,X,O,X
LTSOZJI,O,O,O,X,X,X,O,X
LTZIJSO,O,O,X,X,X,X,X,X
LTZIJOS,O,O,O,X,X,X,X,X
LTZISJO,X,O,X,X,X,X,O,O
LTZISOJ,O,X,X,X,X,X,O,O
LTZIOJS,O,O,O,X,X,X,X,X
LTZIOSJ,O,X,O,X,X,X,X,X
LTZJISO,O,O,X,X,X,X,X,X
LTZJIOS,O,O,O,X,X,X,X,X
LTZJSIO,O,O,X,X,X,X,O,X
LTZJSOI,O,O,O,X,X,X,O,X
LTZJOIS,O,O,O,X,X,X,X,X
LTZJOSI,O,O,O,X,X,X,X,X
LTZSIJO,O,O,X,X,X,X,O,O
LTZSIOJ,O,O,X,X,X,X,O,O
LTZSJIO,O,O,X,X,X,X,O,X
LTZSJOI,O,O,X,X,X,X,O,X
LTZSOIJ,O,O,O,X,X,X,O,X
LTZSOJI,O,O,O,X,X,X,O,X
LTZOIJS,O,O,O,X,X,X,X,X
LTZOISJ,O,O,O,X,X,X,O,X
LTZOJIS,O,O,O,X,X,X,X,X
LTZOJSI,O,O,O,X,X,X,O,X
LTZOSIJ,O,O,O,X,X,X,O,X
LTZOSJI,O,O,O,X,X,X,O,X
LTOIJSZ,X,O,O,X,X,X,X,X
LTOIJZS,O,O,O,X,X,X,X,X
LTOISJZ,O,O,O,X,X,X,X,X
LTOISZJ,O,O,O,X,X,X,O,X
LTOIZJS,O,O,O,X,X,X,X,X
LTOIZSJ,O,O,O,X,X,X,O,X
LTOJISZ,X,O,O,X,X,X,X,X
LTOJIZS,O,O,O,X,X,X,X,X
LTOJSIZ,O,O,O,X,X,X,X,X
LTOJSZI,O,O,O,X,X,X,X,X
LTOJZIS,O,O,O,X,X,X,X,X
LTOJZSI,O,O,O,X,X,X,O,X
LTOSIJZ,O,O,O,X,X,X,X,X
LTOSIZJ,O,O,O,X,X,X,O,X
LTOSJIZ,O,O,O,X,X,X,X,X
LTOSJZI,O,O,O,X,X,X,X,X
LTOSZIJ,O,O,O,X,X,X,O,X
LTOSZJI,O,O,O,X,X,X,O,X
LTOZIJS,O,O,O,X,X,X,X,X
LTOZISJ,O,O,O,X,X,X,O,X
LTOZJIS,O,O,O,X,X,X,X,X
LTOZJSI,O,O,O,X,X,X,O,X
LTOZSIJ,O,O,O,X,X,X,O,X
LTOZSJI,O,O,O,X,X,X,O,X
LITJSZO,X,O,X,X,X,X,O,X
LITJSOZ,X,X,O,X,X,X,X,X
LITJZSO,X,O,X,X,X,X,X,X
LITJZOS,X,O,O,X,X,X,X,X
LITJOSZ,X,X,O,X,X,X,X,X
LITJOZS,O,X,O,X,X,X,X,X
LITSJZO,X,O,X,X,X,X,O,X
LITSJOZ,X,X,O,X,X,X,X,X
LITSZJO,X,O,X,X,X,X,O,X
LITSZOJ,X,O,X,X,X,X,O,X
LITSOJZ,X,X,O,X,X,X,X,X
LITSOZJ,O,X,O,X,X,X,O,X
LITZJSO,O,O,X,X,X,X,X,X
LITZJOS,O,O,O,X,X,X,X,X
LITZSJO,X,O,X,X,X,X,O,O
LITZSOJ,O,X,X,X,X,X,O,O
LITZOJS,O,O,O,X,X,X,X,X
LITZOSJ,O,X,O,X,X,X,X,X
LITOJSZ,X,X,O,X,X,X,X,X
LITOJZS,O,X,O,X,X,X,X,X
LITOSJZ,X,X,O,X,X,X,X,X
LITOSZJ,O,X,O,X,X,X,O,X
LITOZJS,O,O,O,X,X,X,X,X
LITOZSJ,O,X,O,X,X,X,O,X
LIJTSZO,X,O,X,O,X,X,O,X
LIJTSOZ,X,X,O,O,X,X,X,X
LIJTZSO,X,O,X,O,X,X,X,X
LIJTZOS,X,O,O,O,X,X,X,X
LIJTOSZ,X,X,O,O,X,X,X,X
LIJTOZS,X,X,O,O,X,X,X,X
LIJSTZO,X,X,X,O,X,O,X,X
LIJSTOZ,X,X,O,O,X,O,X,X
LIJSZTO,X,O,X,O,X,O,X,X
LIJSZOT,X,O,X,O,X,O,X,X
LIJSOTZ,X,X,X,O,X,O,X,X
LIJSOZT,X,X,X,O,X,O,X,X
LIJZTSO,X,X,X,O,X,X,X,X
LIJZTOS,X,X,O,O,X,X,X,X
LIJZSTO,X,X,X,O,X,X,X,X
LIJZSOT,X,X,X,O,X,X,X,X
LIJZOTS,X,X,X,O,X,X,X,X
LIJZOST,X,X,X,O,X,X,X,X
LIJOTSZ,X,X,O,O,X,X,X,X
LIJOTZS,X,X,O,O,X,X,X,X
LIJOSTZ,X,X,X,O,X,O,X,X
LIJOSZT,X,X,X,O,X,O,X,X
LIJOZTS,X,X,X,O,X,X,X,X
LIJOZST,X,X,X,O,X,X,X,X
LISTJZO,X,X,X,X,X,O,O,X
LISTJOZ,X,X,O,X,X,O,X,X
LISTZJO,X,O,X,X,X,X,O,X
LISTZOJ,X,X,X,X,X,O,O,X
LISTOJZ,X,X,O,X,X,O,X,X
LISTOZJ,X,X,O,X,X,O,O,X
LISJTZO,X,X,X,X,X,O,X,X
LISJTOZ,X,X,O,X,X,O,X,X
LISJZTO,X,O,X,X,X,O,X,X
LISJZOT,X,O,X,X,X,O,X,X
LISJOTZ,X,X,X,X,X,O,X,X
LISJOZT,X,X,X,X,X,O,X,X
LISZTJO,X,O,X,X,X,X,X,X
LISZTOJ,X,X,X,X,X,O,X,X
LISZJTO,X,O,X,X,X,O,X,X
LISZJOT,X,O,X,X,X,O,X,X
LISZOTJ,X,X,X,X,X,O,X,X
LISZOJT,X,O,X,X,X,O,X,X
LISOTJZ,X,X,X,X,X,O,X,X
LISOTZJ,X,X,X,X,X,O,X,X
LISOJTZ,X,X,X,X,X,O,X,X
LISOJZT,X,X,X,X,X,O,X,X
LISOZTJ,X,X,X,X,X,O,X,X
LISOZJT,X,X,X,X,X,O,X,X
LIZTJSO,O,O,X,X,X,X,X,X
LIZTJOS,O,O,O,X,X,X,X,X
LIZTSJO,X,O,X,X,X,X,O,X
LIZTSOJ,O,X,X,X,X,X,O,X
LIZTOJS,O,O,O,X,X,X,X,X
LIZTOSJ,O,X,O,X,X,X,X,X
LIZJTSO,X,X,X,O,X,X,X,X
LIZJTOS,X,X,O,O,X,X,X,X
LIZJSTO,X,X,X,O,X,X,X,X
LIZJSOT,X,X,X,O,X,X,X,X
LIZJOTS,X,X,X,O,X,X,X,X
LIZJOST,X,X,X,O,X,X,X,X
LIZSTJO,O,X,X,X,X,X,X,O
LIZSTOJ,O,X,X,X,X,X,X,O
LIZSJTO,O,X,X,X,O,X,X,O
LIZSJOT,O,X,X,X,O,X,X,O
LIZSOTJ,O,X,X,X,X,X,X,X
LIZSOJT,O,X,X,X,O,X,X,O
LIZOTJS,O,X,X,X,X,X,X,X
LIZOTSJ,O,X,X,X,X,X,X,X
LIZOJTS,X,X,X,O,X,X,X,X
LIZOJST,X,X,X,O,X,X,X,X
LIZOSTJ,O,X,X,X,X,X,X,X
LIZOSJT,O,X,X,X,O,X,X,X
LIOTJSZ,X,X,O,X,X,X,X,X
LIOTJZS,O,O,O,X,X,X,X,X
LIOTSJZ,X,X,O,X,X,X,X,X
LIOTSZJ,O,O,O,X,X,X,O,X
LIOTZJS,O,O,O,X,X,X,X,X
LIOTZSJ,O,O,O,X,X,X,O,X
LIOJTSZ,X,X,O,O,X,X,X,X
LIOJTZS,X,O,O,O,X,X,X,X
