sequence,v115@5gB8GeC8HeD8FeE8AeH8JeO/IvhFxbBTeBCgB/mB0l?BlpB,v115@5gB8GeC8HeD8FeE8AeH8JeU7IvhFFcBTeBikBGmBRq?B/pB,v115@5gB8GeC8HeD8FeE8AeH8Jex6IvhFOhBTeBlfBclB/p?BSwB,v115@5gB8GeC8HeD8FeE8AeH8Jey/IvhFFcBTeBWmB0fB/p?BxvB,v115@5gB8GeC8HeD8FeE8AeH8JeZ/IvhFufB1gBTeBXhB8p?BSwB,v115@5gB8GeC8HeD8FeE8AeH8Jex7IvhFTeB/mB6pB0qBOp?BFqB
IOTZSLJ,O,X,X,X,X,X
IOTZSJL,O,X,X,O,O,X
IOLTJSZ,O,O,X,O,X,X
IOLTJZS,X,O,X,X,X,X
IOLTSJZ,O,X,X,O,X,X
IOLTSZJ,O,X,X,X,X,X
IOLTZJS,X,X,X,X,O,X
IOLTZSJ,X,X,X,X,O,X
IOLJTSZ,X,O,X,O,X,X
IOLJTZS,X,O,X,X,X,X
IOLJSTZ,X,O,X,O,X,X
IOLJSZT,X,O,O,O,X,X
IOLJZTS,X,O,O,X,O,X
IOLJZST,X,O,O,X,O,X
IOLSTJZ,O,X,X,O,X,X
IOLSTZJ,O,X,X,X,X,X
IOLSJTZ,X,X,X,O,X,X
IOLSJZT,X,X,O,O,X,X
IOLSZTJ,O,X,O,X,O,O
IOLSZJT,O,X,O,O,O,O
IOLZTJS,X,X,O,X,O,X
IOLZTSJ,X,X,X,X,O,X
IOLZJTS,X,X,O,X,O,X
IOLZJST,X,X,O,X,O,X
IOLZSTJ,X,X,O,X,O,O
IOLZSJT,X,X,O,X,O,O
IOJTLSZ,O,O,X,O,X,X
IOJTLZS,X,O,X,X,X,X
IOJTSLZ,O,O,X,O,X,X
IOJTSZL,O,X,X,O,X,X
IOJTZLS,X,O,X,X,X,X
IOJTZSL,O,X,X,O,X,X
IOJLTSZ,X,O,X,O,X,X
IOJLTZS,X,O,X,X,X,X
IOJLSTZ,X,O,X,O,X,X
IOJLSZT,X,O,O,O,X,X
IOJLZTS,X,O,O,X,O,X
IOJLZST,X,O,O,X,O,X
IOJSTLZ,O,O,X,O,X,X
IOJSTZL,O,X,X,O,X,X
IOJSLTZ,X,O,X,O,X,X
IOJSLZT,X,O,O,O,X,X
IOJSZTL,O,X,O,O,X,X
IOJSZLT,O,X,O,O,X,O
IOJZTLS,X,O,X,X,O,X
IOJZTSL,X,X,O,O,O,X
IOJZLTS,X,O,X,X,O,X
IOJZLST,X,O,O,X,O,X
IOJZSTL,X,X,O,O,O,X
IOJZSLT,X,X,O,O,O,X
IOSTLJZ,O,X,X,O,X,X
IOSTLZJ,O,X,O,X,X,X
IOSTJLZ,O,O,X,O,X,X
IOSTJZL,O,X,O,O,X,X
IOSTZLJ,O,X,O,X,X,O
IOSTZJL,O,X,O,O,X,X
IOSLTJZ,O,X,X,O,X,X
IOSLTZJ,O,X,X,X,X,X
IOSLJTZ,X,X,X,O,X,X
IOSLJZT,X,X,O,O,X,X
IOSLZTJ,O,X,O,X,O,O
IOSLZJT,O,X,O,O,O,O
IOSJTLZ,O,O,X,O,X,X
IOSJTZL,O,X,X,O,X,X
IOSJLTZ,X,O,X,O,X,X
IOSJLZT,X,O,O,O,X,X
IOSJZTL,O,X,O,O,X,X
IOSJZLT,O,X,O,O,X,O
IOSZTLJ,O,X,O,X,X,O
IOSZTJL,O,X,O,O,O,X
IOSZLTJ,O,X,X,X,O,O
IOSZLJT,O,X,O,O,O,O
IOSZJTL,O,X,O,O,O,X
IOSZJLT,O,X,O,O,O,O
IOZTLJS,O,X,X,X,O,X
IOZTLSJ,O,X,X,X,O,X
IOZTJLS,O,O,X,X,O,X
IOZTJSL,O,X,O,O,O,X
IOZTSLJ,O,X,X,X,X,X
IOZTSJL,O,X,X,O,O,X
IOZLTJS,X,X,X,X,O,X
IOZLTSJ,X,X,X,X,O,X
IOZLJTS,X,X,X,X,O,X
IOZLJST,O,X,O,X,O,X
IOZLSTJ,O,X,X,X,O,O
IOZLSJT,O,X,X,X,O,O
IOZJTLS,X,O,X,X,O,X
IOZJTSL,X,X,O,O,O,X
IOZJLTS,X,O,X,X,O,X
IOZJLST,X,O,O,X,O,X
IOZJSTL,X,X,O,O,O,X
IOZJSLT,X,X,O,O,O,X
IOZSTLJ,O,X,O,X,X,O
IOZSTJL,O,X,O,O,O,X
IOZSLTJ,O,X,X,X,O,O
IOZSLJT,O,X,O,O,O,O
IOZSJTL,O,X,O,O,O,X
IOZSJLT,O,X,O,O,O,O
LTIJSZO,O,O,X,O,X,X
LTIJSOZ,O,O,X,O,X,X
LTIJZSO,X,O,X,X,X,X
LTIJZOS,X,O,X,X,X,X
LTIJOSZ,O,O,X,O,X,X
LTIJOZS,X,O,X,X,X,X
LTISJZO,O,X,X,O,X,X
LTISJOZ,O,X,X,O,X,X
LTISZJO,O,X,X,X,X,X
LTISZOJ,O,X,X,X,X,X
LTISOJZ,O,X,X,O,X,X
LTISOZJ,O,X,X,X,X,X
LTIZJSO,X,X,X,X,O,X
LTIZJOS,X,X,X,X,O,X
LTIZSJO,X,X,X,X,O,X
LTIZSOJ,X,X,X,X,O,X
LTIZOJS,X,X,X,X,O,X
LTIZOSJ,X,X,X,X,O,X
LTIOJSZ,O,O,X,O,X,X
LTIOJZS,X,O,X,X,X,X
LTIOSJZ,O,X,X,O,X,X
LTIOSZJ,O,X,X,X,X,X
LTIOZJS,X,X,X,X,O,X
LTIOZSJ,X,X,X,X,O,X
LTJISZO,O,O,X,X,X,X
LTJISOZ,O,O,X,X,X,X
LTJIZSO,X,O,X,X,X,X
LTJIZOS,X,O,X,X,X,X
LTJIOSZ,O,O,X,X,X,X
LTJIOZS,X,O,X,X,X,X
LTJSIZO,O,O,X,X,X,X
LTJSIOZ,O,O,X,X,X,X
LTJSZIO,O,X,O,X,X,X
LTJSZOI,O,X,O,X,X,X
LTJSOIZ,O,O,X,X,X,X
LTJSOZI,O,X,O,X,X,X
LTJZISO,O,O,X,X,X,X
LTJZIOS,O,O,O,X,X,X
LTJZSIO,O,X,O,X,X,X
LTJZSOI,O,X,O,X,X,X
LTJZOIS,O,O,O,X,X,X
LTJZOSI,O,X,O,X,X,X
LTJOISZ,O,O,X,X,X,X
LTJOIZS,X,O,X,X,X,X
LTJOSIZ,O,O,X,X,X,X
LTJOSZI,O,X,O,X,X,X
LTJOZIS,O,O,O,X,X,X
LTJOZSI,O,X,O,X,X,X
LTSIJZO,O,X,X,O,X,X
LTSIJOZ,O,X,X,O,X,X
LTSIZJO,O,X,X,X,X,X
LTSIZOJ,O,X,X,X,X,X
LTSIOJZ,O,X,X,O,X,X
LTSIOZJ,O,X,X,X,X,X
LTSJIZO,O,X,X,X,X,X
LTSJIOZ,O,X,X,X,X,X
LTSJZIO,O,X,O,X,X,X
LTSJZOI,O,X,O,X,X,X
LTSJOIZ,O,X,X,X,X,X
LTSJOZI,O,X,O,X,X,X
LTSZIJO,O,X,O,X,X,O
LTSZIOJ,O,X,O,X,X,O
LTSZJIO,O,X,O,X,X,O
LTSZJOI,O,X,O,X,X,O
LTSZOIJ,O,X,O,X,X,O
LTSZOJI,O,X,O,X,X,O
LTSOIJZ,O,X,X,O,X,X
LTSOIZJ,O,X,X,X,X,X
LTSOJIZ,O,X,X,X,X,X
LTSOJZI,O,X,O,X,X,X
LTSOZIJ,O,X,O,X,X,O
LTSOZJI,O,X,O,X,X,O
LTZIJSO,O,X,X,X,O,X
LTZIJOS,O,X,O,X,O,X
LTZISJO,O,X,X,X,O,X
LTZISOJ,O,X,X,X,O,X
LTZIOJS,O,X,O,X,O,X
LTZIOSJ,O,X,X,X,O,X
LTZJISO,O,X,X,X,O,X
LTZJIOS,O,X,O,X,O,X
LTZJSIO,O,X,O,X,O,X
LTZJSOI,O,X,O,X,O,X
LTZJOIS,O,X,O,X,O,X
LTZJOSI,O,X,O,X,O,X
LTZSIJO,O,X,O,X,O,O
LTZSIOJ,O,X,O,X,O,O
LTZSJIO,O,X,O,X,O,O
LTZSJOI,O,X,O,X,O,O
LTZSOIJ,O,X,O,X,O,O
LTZSOJI,O,X,O,X,O,O
LTZOIJS,O,X,O,X,O,X
LTZOISJ,O,X,X,X,O,X
LTZOJIS,O,X,O,X,O,X
LTZOJSI,O,X,O,X,O,X
LTZOSIJ,O,X,O,X,O,O
LTZOSJI,O,X,O,X,O,O
LTOIJSZ,O,O,X,O,X,X
LTOIJZS,X,O,X,X,X,X
LTOISJZ,O,X,X,O,X,X
LTOISZJ,O,X,X,X,X,X
LTOIZJS,X,X,X,X,O,X
LTOIZSJ,X,X,X,X,O,X
LTOJISZ,O,O,X,X,X,X
LTOJIZS,X,O,X,X,X,X
LTOJSIZ,O,O,X,X,X,X
LTOJSZI,O,X,O,X,X,X
LTOJZIS,O,O,O,X,X,X
LTOJZSI,O,X,O,X,X,X
LTOSIJZ,O,X,X,O,X,X
LTOSIZJ,O,X,X,X,X,X
LTOSJIZ,O,X,X,X,X,X
LTOSJZI,O,X,O,X,X,X
LTOSZIJ,O,X,O,X,X,O
LTOSZJI,O,X,O,X,X,O
LTOZIJS,O,X,O,X,O,X
LTOZISJ,O,X,X,X,O,X
LTOZJIS,O,X,O,X,O,X
LTOZJSI,O,X,O,X,O,X
LTOZSIJ,O,X,O,X,O,O
LTOZSJI,O,X,O,X,O,O
LITJSZO,X,O,X,O,X,X
LITJSOZ,X,O,X,O,X,X
LITJZSO,X,O,X,X,X,X
LITJZOS,X,O,X,X,X,X
LITJOSZ,O,O,X,O,X,X
LITJOZS,X,O,X,X,X,X
LITSJZO,O,X,X,O,X,X
LITSJOZ,O,X,X,O,X,X
LITSZJO,O,X,X,X,X,X
LITSZOJ,O,X,X,X,X,X
LITSOJZ,O,X,X,O,X,X
LITSOZJ,O,X,X,X,X,X
LITZJSO,X,X,X,X,O,X
LITZJOS,X,X,X,X,O,X
LITZSJO,X,X,X,X,O,X
LITZSOJ,X,X,X,X,O,X
LITZOJS,X,X,X,X,O,X
LITZOSJ,X,X,X,X,O,X
LITOJSZ,O,O,X,O,X,X
LITOJZS,X,O,X,X,X,X
LITOSJZ,O,X,X,O,X,X
LITOSZJ,O,X,X,X,X,X
LITOZJS,X,X,X,X,O,X
LITOZSJ,X,X,X,X,O,X
LIJTSZO,X,O,X,O,X,X
LIJTSOZ,X,O,X,O,X,X
LIJTZSO,X,O,X,X,X,X
LIJTZOS,X,O,X,X,X,X
LIJTOSZ,X,O,X,O,X,X
LIJTOZS,X,O,X,X,X,X
LIJSTZO,X,O,X,O,X,X
LIJSTOZ,X,O,X,O,X,X
LIJSZTO,X,O,O,O,X,X
LIJSZOT,X,O,O,O,X,X
LIJSOTZ,X,O,X,O,X,X
LIJSOZT,X,O,O,O,X,X
LIJZTSO,X,O,X,X,O,X
LIJZTOS,X,O,O,X,O,X
LIJZSTO,X,O,O,X,O,X
LIJZSOT,X,O,O,X,O,X
LIJZOTS,X,O,O,X,O,X
LIJZOST,X,O,O,X,O,X
LIJOTSZ,X,O,X,O,X,X
LIJOTZS,X,O,X,X,X,X
LIJOSTZ,X,O,X,O,X,X
LIJOSZT,X,O,O,O,X,X
LIJOZTS,X,O,O,X,O,X
LIJOZST,X,O,O,X,O,X
LISTJZO,O,X,X,O,X,X
LISTJOZ,O,X,X,O,X,X
LISTZJO,O,X,X,X,X,X
LISTZOJ,O,X,X,X,X,X
LISTOJZ,O,X,X,O,X,X
LISTOZJ,O,X,X,X,X,X
LISJTZO,X,X,X,O,X,X
LISJTOZ,X,X,X,O,X,X
LISJZTO,X,X,O,O,X,X
LISJZOT,X,X,O,O,X,X
LISJOTZ,X,X,X,O,X,X
LISJOZT,X,X,O,O,X,X
LISZTJO,O,X,O,X,O,O
LISZTOJ,O,X,O,X,O,O
LISZJTO,O,X,O,O,O,O
LISZJOT,O,X,O,O,O,O
LISZOTJ,O,X,O,X,O,O
LISZOJT,O,X,O,O,O,O
LISOTJZ,O,X,X,O,X,X
LISOTZJ,O,X,X,X,X,X
LISOJTZ,X,X,X,O,X,X
LISOJZT,X,X,O,O,X,X
LISOZTJ,O,X,O,X,O,O
LISOZJT,O,X,O,O,O,O
LIZTJSO,X,X,X,X,O,X
LIZTJOS,X,X,O,X,O,X
LIZTSJO,X,X,X,X,O,X
LIZTSOJ,X,X,X,X,O,X
LIZTOJS,X,X,O,X,O,X
LIZTOSJ,X,X,X,X,O,X
LIZJTSO,X,X,X,X,O,X
LIZJTOS,X,X,O,X,O,X
LIZJSTO,X,X,O,X,O,X
LIZJSOT,X,X,O,X,O,X
LIZJOTS,X,X,O,X,O,X
LIZJOST,X,X,O,X,O,X
LIZSTJO,X,X,O,X,O,O
LIZSTOJ,X,X,O,X,O,O
LIZSJTO,X,X,O,X,O,O
LIZSJOT,X,X,O,X,O,O
LIZSOTJ,X,X,O,X,O,O
LIZSOJT,X,X,O,X,O,O
LIZOTJS,X,X,O,X,O,X
LIZOTSJ,X,X,X,X,O,X
LIZOJTS,X,X,O,X,O,X
LIZOJST,X,X,O,X,O,X
LIZOSTJ,X,X,O,X,O,O
LIZOSJT,X,X,O,X,O,O
LIOTJSZ,O,O,X,O,X,X
LIOTJZS,X,O,X,X,X,X
LIOTSJZ,O,X,X,O,X,X
LIOTSZJ,O,X,X,X,X,X
LIOTZJS,X,X,X,X,O,X
LIOTZSJ,X,X,X,X,O,X
LIOJTSZ,X,O,X,O,X,X
LIOJTZS,X,O,X,X,X,X
LIOJSTZ,X,O,X,O,X,X
LIOJSZT,X,O,O,O,X,X
LIOJZTS,X,O,O,X,O,X
LIOJZST,X,O,O,X,O,X
LIOSTJZ,O,X,X,O,X,X
LIOSTZJ,O,X,X,X,X,X
LIOSJTZ,X,X,X,O,X,X
LIOSJZT,X,X,O,O,X,X
LIOSZTJ,O,X,O,X,O,O
LIOSZJT,O,X,O,O,O,O
LIOZTJS,X,X,O,X,O,X
LIOZTSJ,X,X,X,X,O,X
LIOZJTS,X,X,O,X,O,X
LIOZJST,X,X,O,X,O,X
LIOZSTJ,X,X,O,X,O,O
LIOZSJT,X,X,O,X,O,O
LJTISZO,X,O,X,X,X,X
LJTISOZ,X,O,X,X,X,X
LJTIZSO,X,O,X,X,X,X
LJTIZOS,X,O,X,X,X,X
LJTIOSZ,X,O,X,X,X,X
LJTIOZS,X,O,X,X,X,X
LJTSIZO,X,O,X,X,X,X
LJTSIOZ,X,O,X,X,X,X
LJTSZIO,X,X,O,X,X,X
LJTSZOI,X,X,O,X,X,X
LJTSOIZ,X,O,X,X,X,X
LJTSOZI,X,X,O,X,X,X
LJTZISO,X,O,X,X,X,X
LJTZIOS,X,O,O,X,X,X
LJTZSIO,X,X,O,X,X,X
LJTZSOI,X,X,O,X,X,X
LJTZOIS,X,O,O,X,X,X
LJTZOSI,X,X,O,X,X,X
LJTOISZ,X,O,X,X,X,X
LJTOIZS,X,O,X,X,X,X
LJTOSIZ,X,O,X,X,X,X
LJTOSZI,X,X,O,X,X,X
LJTOZIS,X,O,O,X,X,X
LJTOZSI,X,X,O,X,X,X
LJITSZO,X,O,X,X,X,X
LJITSOZ,X,O,X,X,X,X
LJITZSO,X,O,X,X,X,X
LJITZOS,X,O,X,X,X,X
LJITOSZ,X,O,X,X,X,X
LJITOZS,X,O,X,X,X,X
LJISTZO,X,O,X,X,X,X
LJISTOZ,X,O,X,X,X,X
LJISZTO,X,O,O,X,X,X
LJISZOT,X,O,O,X,X,X
LJISOTZ,X,O,X,X,X,X
LJISOZT,X,O,O,X,X,X
LJIZTSO,X,O,X,X,O,X
LJIZTOS,X,O,O,X,O,X
LJIZSTO,X,O,O,X,O,X
LJIZSOT,X,O,O,X,O,X
LJIZOTS,X,O,O,X,O,X
LJIZOST,X,O,O,X,O,X
LJIOTSZ,X,O,X,X,X,X
LJIOTZS,X,O,X,X,X,X
LJIOSTZ,X,O,X,X,X,X
LJIOSZT,X,O,O,X,X,X
LJIOZTS,X,O,O,X,O,X
LJIOZST,X,O,O,X,O,X
LJSTIZO,X,O,X,X,X,X
LJSTIOZ,X,O,X,X,X,X
LJSTZIO,X,X,O,X,X,X
LJSTZOI,X,X,O,X,X,X
LJSTOIZ,X,O,X,X,X,X
LJSTOZI,X,X,O,X,X,X
LJSITZO,X,O,X,X,X,X
LJSITOZ,X,O,X,X,X,X
LJSIZTO,X,O,O,X,X,X
LJSIZOT,X,O,O,X,X,X
LJSIOTZ,X,O,X,X,X,X
LJSIOZT,X,O,O,X,X,X
LJSZTIO,X,X,O,X,X,O
LJSZTOI,X,X,O,X,X,O
LJSZITO,X,X,O,X,X,O
LJSZIOT,X,X,O,X,X,O
LJSZOTI,X,X,O,X,X,O
LJSZOIT,X,X,O,X,X,O
LJSOTIZ,X,O,X,X,X,X
LJSOTZI,X,X,O,X,X,X
LJSOITZ,X,O,X,X,X,X
LJSOIZT,X,O,O,X,X,X
LJSOZTI,X,X,O,X,X,O
LJSOZIT,X,X,O,X,X,O
LJZTISO,X,O,X,X,O,X
LJZTIOS,X,O,O,X,O,X
LJZTSIO,X,X,O,X,O,X
LJZTSOI,X,X,O,X,O,X
LJZTOIS,X,O,O,X,O,X
LJZTOSI,X,X,O,X,O,X
LJZITSO,X,O,X,X,O,X
LJZITOS,X,O,O,X,O,X
LJZISTO,X,O,O,X,O,X
LJZISOT,X,O,O,X,O,X
LJZIOTS,X,O,O,X,O,X
LJZIOST,X,O,O,X,O,X
LJZSTIO,X,X,O,X,O,O
LJZSTOI,X,X,O,X,O,O
LJZSITO,X,X,O,X,O,O
LJZSIOT,X,X,O,X,O,O
LJZSOTI,X,X,O,X,O,O
LJZSOIT,X,X,O,X,O,O
LJZOTIS,X,O,O,X,O,X
LJZOTSI,X,X,O,X,O,X
LJZOITS,X,O,O,X,O,X
LJZOIST,X,O,O,X,O,X
LJZOSTI,X,X,O,X,O,O
LJZOSIT,X,X,O,X,O,O
LJOTISZ,X,O,X,X,X,X
LJOTIZS,X,O,X,X,X,X
LJOTSIZ,X,O,X,X,X,X
LJOTSZI,X,X,O,X,X,X
LJOTZIS,X,O,O,X,X,X
LJOTZSI,X,X,O,X,X,X
LJOITSZ,X,O,X,X,X,X
LJOITZS,X,O,X,X,X,X
LJOISTZ,X,O,X,X,X,X
LJOISZT,X,O,O,X,X,X
LJOIZTS,X,O,O,X,O,X
LJOIZST,X,O,O,X,O,X
LJOSTIZ,X,O,X,X,X,X
LJOSTZI,X,X,O,X,X,X
LJOSITZ,X,O,X,X,X,X
LJOSIZT,X,O,O,X,X,X
LJOSZTI,X,X,O,X,X,O
LJOSZIT,X,X,O,X,X,O
LJOZTIS,X,O,O,X,O,X
LJOZTSI,X,X,O,X,O,X
LJOZITS,X,O,O,X,O,X
LJOZIST,X,O,O,X,O,X
LJOZSTI,X,X,O,X,O,O
LJOZSIT,X,X,O,X,O,O
LSTIJZO,O,X,X,O,X,X
LSTIJOZ,O,X,X,O,X,X
LSTIZJO,O,X,O,X,X,X
LSTIZOJ,O,X,O,X,X,X
LSTIOJZ,O,X,X,O,X,X
LSTIOZJ,O,X,O,X,X,X
LSTJIZO,O,X,X,X,X,X
LSTJIOZ,O,X,X,X,X,X
LSTJZIO,O,X,O,X,X,X
LSTJZOI,O,X,O,X,X,X
LSTJOIZ,O,X,X,X,X,X
LSTJOZI,O,X,O,X,X,X
LSTZIJO,O,X,O,X,X,O
LSTZIOJ,O,X,O,X,X,O
LSTZJIO,O,X,O,X,X,O
LSTZJOI,O,X,O,X,X,O
LSTZOIJ,O,X,O,X,X,O
LSTZOJI,O,X,O,X,X,O
LSTOIJZ,O,X,X,O,X,X
LSTOIZJ,O,X,O,X,X,X
LSTOJIZ,O,X,X,X,X,X
LSTOJZI,O,X,O,X,X,X
LSTOZIJ,O,X,O,X,X,O
LSTOZJI,O,X,O,X,X,O
LSITJZO,O,X,X,O,X,X
LSITJOZ,O,X,X,O,X,X
LSITZJO,O,X,X,X,X,X
LSITZOJ,O,X,X,X,X,X
LSITOJZ,O,X,X,O,X,X
LSITOZJ,O,X,X,X,X,X
LSIJTZO,X,X,X,O,X,X
LSIJTOZ,X,X,X,O,X,X
LSIJZTO,X,X,O,O,X,X
LSIJZOT,X,X,O,O,X,X
LSIJOTZ,X,X,X,O,X,X
LSIJOZT,X,X,O,O,X,X
LSIZTJO,O,X,O,X,O,O
LSIZTOJ,O,X,O,X,O,O
LSIZJTO,O,X,O,O,O,O
LSIZJOT,O,X,O,O,O,O
LSIZOTJ,O,X,O,X,O,O
LSIZOJT,O,X,O,O,O,O
LSIOTJZ,O,X,X,O,X,X
LSIOTZJ,O,X,X,X,X,X
LSIOJTZ,X,X,X,O,X,X
LSIOJZT,X,X,O,O,X,X
LSIOZTJ,O,X,O,X,O,O
LSIOZJT,O,X,O,O,O,O
LSJTIZO,X,O,X,X,X,X
LSJTIOZ,X,O,X,X,X,X
LSJTZIO,X,X,O,X,X,X
LSJTZOI,X,X,O,X,X,X
LSJTOIZ,X,O,X,X,X,X
LSJTOZI,X,X,O,X,X,X
LSJITZO,X,O,X,O,X,X
LSJITOZ,X,O,X,O,X,X
LSJIZTO,X,O,O,O,X,X
LSJIZOT,X,O,O,O,X,X
LSJIOTZ,X,O,X,O,X,X
LSJIOZT,X,O,O,O,X,X
LSJZTIO,X,X,O,X,X,O
LSJZTOI,X,X,O,X,X,O
LSJZITO,X,X,O,X,X,O
LSJZIOT,X,X,O,X,X,O
LSJZOTI,X,X,O,X,X,O
LSJZOIT,X,X,O,X,X,O
LSJOTIZ,X,O,X,X,X,X
LSJOTZI,X,X,O,X,X,X
LSJOITZ,X,O,X,O,X,X
LSJOIZT,X,O,O,O,X,X
LSJOZTI,X,X,O,X,X,O
LSJOZIT,X,X,O,X,X,O
LSZTIJO,O,X,O,X,O,O
LSZTIOJ,O,X,O,X,O,O
LSZTJIO,O,X,O,X,O,O
LSZTJOI,O,X,O,X,O,O
LSZTOIJ,O,X,O,X,O,O
LSZTOJI,O,X,O,X,O,O
LSZITJO,O,X,O,X,O,O
LSZITOJ,O,X,O,X,O,O
LSZIJTO,O,X,O,O,O,O
LSZIJOT,O,X,O,O,O,O
LSZIOTJ,O,X,O,X,O,O
LSZIOJT,O,X,O,O,O,O
LSZJTIO,O,X,O,X,O,O
LSZJTOI,O,X,O,X,O,O
LSZJITO,O,X,O,X,O,O
LSZJIOT,O,X,O,X,O,O
LSZJOTI,O,X,O,X,O,O
LSZJOIT,O,X,O,X,O,O
LSZOTIJ,O,X,O,X,O,O
LSZOTJI,O,X,O,X,O,O
LSZOITJ,O,X,O,X,O,O
LSZOIJT,O,X,O,O,O,O
LSZOJTI,O,X,O,X,O,O
LSZOJIT,O,X,O,X,O,O
LSOTIJZ,O,X,X,O,X,X
LSOTIZJ,O,X,O,X,X,X
LSOTJIZ,O,X,X,X,X,X
LSOTJZI,O,X,O,X,X,X
LSOTZIJ,O,X,O,X,X,O
LSOTZJI,O,X,O,X,X,O
LSOITJZ,O,X,X,O,X,X
LSOITZJ,O,X,X,X,X,X
LSOIJTZ,X,X,X,O,X,X
LSOIJZT,X,X,O,O,X,X
LSOIZTJ,O,X,O,X,O,O
LSOIZJT,O,X,O,O,O,O
LSOJTIZ,X,O,X,X,X,X
LSOJTZI,X,X,O,X,X,X
LSOJITZ,X,O,X,O,X,X
LSOJIZT,X,O,O,O,X,X
LSOJZTI,X,X,O,X,X,O
LSOJZIT,X,X,O,X,X,O
LSOZTIJ,O,X,O,X,O,O
LSOZTJI,O,X,O,X,O,O
LSOZITJ,O,X,O,X,O,O
LSOZIJT,O,X,O,O,O,O
LSOZJTI,O,X,O,X,O,O
LSOZJIT,O,X,O,X,O,O
LZTIJSO,O,X,X,X,O,X
LZTIJOS,O,X,O,X,O,X
LZTISJO,O,X,X,X,O,X
LZTISOJ,O,X,X,X,O,X
LZTIOJS,O,X,O,X,O,X
LZTIOSJ,O,X,X,X,O,X
LZTJISO,O,X,X,X,O,X
LZTJIOS,O,X,O,X,O,X
LZTJSIO,O,X,O,X,O,X
LZTJSOI,O,X,O,X,O,X
LZTJOIS,O,X,O,X,O,X
LZTJOSI,O,X,O,X,O,X
LZTSIJO,O,X,O,X,O,O
LZTSIOJ,O,X,O,X,O,O
LZTSJIO,O,X,O,X,O,O
LZTSJOI,O,X,O,X,O,O
LZTSOIJ,O,X,O,X,O,O
LZTSOJI,O,X,O,X,O,O
LZTOIJS,O,X,O,X,O,X
LZTOISJ,O,X,X,X,O,X
LZTOJIS,O,X,O,X,O,X
LZTOJSI,O,X,O,X,O,X
LZTOSIJ,O,X,O,X,O,O
LZTOSJI,O,X,O,X,O,O
LZITJSO,X,X,X,X,O,X
LZITJOS,X,X,O,X,O,X
LZITSJO,X,X,X,X,O,X
LZITSOJ,X,X,X,X,O,X
LZITOJS,X,X,O,X,O,X
LZITOSJ,X,X,X,X,O,X
LZIJTSO,X,X,X,X,O,X
LZIJTOS,X,X,O,X,O,X
LZIJSTO,O,X,O,X,O,X
LZIJSOT,O,X,O,X,O,X
LZIJOTS,X,X,O,X,O,X
LZIJOST,O,X,O,X,O,X
LZISTJO,O,X,O,X,O,O
LZISTOJ,O,X,O,X,O,O
LZISJTO,O,X,O,X,O,O
LZISJOT,O,X,O,X,O,O
LZISOTJ,O,X,O,X,O,O
LZISOJT,O,X,O,X,O,O
LZIOTJS,X,X,O,X,O,X
LZIOTSJ,X,X,X,X,O,X
LZIOJTS,X,X,O,X,O,X
LZIOJST,O,X,O,X,O,X
LZIOSTJ,O,X,O,X,O,O
LZIOSJT,O,X,O,X,O,O
LZJTISO,X,O,X,X,O,X
LZJTIOS,X,O,O,X,O,X
LZJTSIO,O,X,O,X,O,X
LZJTSOI,O,X,O,X,O,X
LZJTOIS,X,O,O,X,O,X
LZJTOSI,O,X,O,X,O,X
LZJITSO,X,O,X,X,O,X
LZJITOS,X,O,O,X,O,X
LZJISTO,O,O,O,X,O,X
LZJISOT,O,O,O,X,O,X
LZJIOTS,X,O,O,X,O,X
LZJIOST,O,O,O,X,O,X
LZJSTIO,O,X,O,X,O,O
LZJSTOI,O,X,O,X,O,O
LZJSITO,O,X,O,X,O,O
LZJSIOT,O,X,O,X,O,O
LZJSOTI,O,X,O,X,O,O
LZJSOIT,O,X,O,X,O,O
LZJOTIS,X,O,O,X,O,X
LZJOTSI,O,X,O,X,O,X
LZJOITS,X,O,O,X,O,X
LZJOIST,O,O,O,X,O,X
LZJOSTI,O,X,O,X,O,O
LZJOSIT,O,X,O,X,O,O
LZSTIJO,O,X,O,X,O,O
LZSTIOJ,O,X,O,X,O,O
LZSTJIO,O,X,O,X,O,O
LZSTJOI,O,X,O,X,O,O
LZSTOIJ,O,X,O,X,O,O
LZSTOJI,O,X,O,X,O,O
LZSITJO,O,X,O,X,O,O
LZSITOJ,O,X,O,X,O,O
LZSIJTO,O,X,O,X,O,O
LZSIJOT,O,X,O,X,O,O
LZSIOTJ,O,X,O,X,O,O
LZSIOJT,O,X,O,X,O,O
LZSJTIO,O,X,O,X,O,O
LZSJTOI,O,X,O,X,O,O
LZSJITO,O,X,O,X,O,O
LZSJIOT,O,X,O,X,O,O
LZSJOTI,O,X,O,X,O,O
LZSJOIT,O,X,O,X,O,O
LZSOTIJ,O,X,O,X,O,O
LZSOTJI,O,X,O,X,O,O
LZSOITJ,O,X,O,X,O,O
LZSOIJT,O,X,O,X,O,O
LZSOJTI,O,X,O,X,O,O
LZSOJIT,O,X,O,X,O,O
LZOTIJS,O,X,O,X,O,X
LZOTISJ,O,X,X,X,O,X
LZOTJIS,O,X,O,X,O,X
LZOTJSI,O,X,O,X,O,X
LZOTSIJ,O,X,O,X,O,O
LZOTSJI,O,X,O,X,O,O
LZOITJS,X,X,O,X,O,X
