sequence,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBXhBF?nB8sBmsB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBXhBl?iBUnBetB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBVmBU?iBetB3sB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFehBCdBxiBU?nBFoBXtB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFehBRdBCiB/?sBFoBctB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBVmB3?iBetBUsB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhF0cBxdBVmBG?jB/sBatB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFicBWjBRmBF?oBUnBXtB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhF2hBXeBcoBR?mBqsBFsB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB+jBVmBa?nBftB8sB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhF0hBxiBXhBS?oBmsBlsB
ILJTOZS,X,O,O,X,X,O,X,O,O,X,X
ILJSTZO,X,O,X,X,O,X,X,X,X,X,X
ILJSTOZ,X,O,X,X,O,X,X,X,X,X,X
ILJSZTO,X,O,X,X,X,X,X,X,O,X,X
ILJSZOT,X,O,X,X,X,X,X,X,O,X,X
ILJSOTZ,X,O,X,X,O,X,X,X,X,X,X
ILJSOZT,X,O,X,X,X,X,X,X,O,X,X
ILJZTSO,X,O,X,X,X,X,X,X,O,X,X
ILJZTOS,X,O,X,X,X,X,X,X,O,X,X
ILJZSTO,X,X,X,X,X,X,X,X,O,X,X
ILJZSOT,X,X,X,X,X,X,X,X,O,X,X
ILJZOTS,X,O,X,X,X,X,X,X,O,X,X
ILJZOST,X,X,X,X,X,X,X,X,O,X,X
ILJOTSZ,X,O,O,X,X,O,X,X,X,X,X
ILJOTZS,X,O,O,X,X,O,X,O,O,X,X
ILJOSTZ,X,O,X,X,O,X,X,X,X,X,X
ILJOSZT,X,O,X,X,X,X,X,X,O,X,X
ILJOZTS,X,O,X,X,X,X,X,X,O,X,X
ILJOZST,X,X,X,X,X,X,X,X,O,X,X
ILSTJZO,X,X,X,X,O,X,X,X,X,X,X
ILSTJOZ,X,X,X,X,O,X,X,X,X,X,X
ILSTZJO,O,X,X,X,X,X,X,O,X,X,X
ILSTZOJ,O,X,X,X,X,X,X,O,X,X,X
ILSTOJZ,X,O,X,X,O,X,X,X,X,X,X
ILSTOZJ,O,X,X,X,X,X,X,O,X,X,X
ILSJTZO,X,O,X,X,O,X,X,X,X,X,X
ILSJTOZ,X,O,X,X,O,X,X,X,X,X,X
ILSJZTO,X,O,X,X,X,X,X,X,O,X,X
ILSJZOT,X,O,X,X,X,X,X,X,O,X,X
ILSJOTZ,X,O,X,X,O,X,X,X,X,X,X
ILSJOZT,O,O,X,X,X,X,X,X,O,X,X
ILSZTJO,O,X,X,X,X,X,X,X,O,X,X
ILSZTOJ,O,X,X,X,X,X,X,X,O,X,X
ILSZJTO,X,X,X,X,X,X,X,X,O,X,X
ILSZJOT,O,X,X,X,X,X,X,X,O,X,X
ILSZOTJ,O,X,X,X,X,X,X,X,O,X,X
ILSZOJT,O,O,X,X,X,X,X,X,O,X,X
ILSOTJZ,X,O,X,X,O,X,X,X,X,X,X
ILSOTZJ,O,X,X,X,X,X,X,O,X,X,X
ILSOJTZ,X,O,X,X,O,X,X,X,X,X,X
ILSOJZT,O,O,X,X,X,X,X,X,O,X,X
ILSOZTJ,O,X,X,X,X,X,X,X,O,X,X
ILSOZJT,O,O,X,X,X,X,X,X,O,X,X
ILZTJSO,X,X,X,X,X,X,X,O,O,X,X
ILZTJOS,X,X,X,X,X,X,X,O,O,X,X
ILZTSJO,X,X,X,X,X,X,X,O,O,X,X
ILZTSOJ,X,X,X,X,X,X,X,O,O,X,X
ILZTOJS,X,X,X,X,X,X,X,O,O,X,X
ILZTOSJ,X,X,X,X,X,X,X,O,O,X,X
ILZJTSO,X,O,X,X,X,X,X,X,O,X,X
ILZJTOS,X,O,X,X,X,X,X,X,O,X,X
ILZJSTO,X,X,X,X,X,X,X,X,O,X,X
ILZJSOT,X,X,X,X,X,X,X,X,O,X,X
ILZJOTS,X,O,X,X,X,X,X,X,O,X,X
ILZJOST,X,X,X,X,X,X,X,X,O,X,X
ILZSTJO,O,X,X,X,X,X,X,X,O,X,X
ILZSTOJ,O,X,X,X,X,X,X,X,O,X,X
ILZSJTO,X,X,X,X,X,X,X,X,O,X,X
ILZSJOT,O,X,X,X,X,X,X,X,O,X,X
ILZSOTJ,O,X,X,X,X,X,X,X,O,X,X
ILZSOJT,O,X,X,X,X,X,X,X,O,X,X
ILZOTJS,X,X,X,X,X,X,X,O,O,X,X
ILZOTSJ,X,X,X,X,X,X,X,O,O,X,X
ILZOJTS,X,O,X,X,X,X,X,X,O,X,X
ILZOJST,X,X,X,X,X,X,X,X,O,X,X
ILZOSTJ,O,X,X,X,X,X,X,X,O,X,X
ILZOSJT,O,X,X,X,X,X,X,X,O,X,X
ILOTJSZ,X,X,O,X,X,O,X,X,X,X,X
ILOTJZS,X,X,O,X,X,O,X,O,O,X,X
ILOTSJZ,X,X,O,X,X,O,X,X,X,X,X
ILOTSZJ,X,X,X,X,X,X,X,O,X,X,X
ILOTZJS,X,X,O,X,X,O,X,O,O,X,X
ILOTZSJ,X,X,X,X,X,X,X,O,O,X,X
ILOJTSZ,X,O,O,X,X,O,X,X,X,X,X
ILOJTZS,X,O,O,X,X,O,X,O,O,X,X
ILOJSTZ,X,O,X,X,O,X,X,X,X,X,X
ILOJSZT,X,O,X,X,X,X,X,X,O,X,X
ILOJZTS,X,O,X,X,X,X,X,X,O,X,X
ILOJZST,X,X,X,X,X,X,X,X,O,X,X
ILOSTJZ,X,O,X,X,O,X,X,X,X,X,X
ILOSTZJ,O,X,X,X,X,X,X,O,X,X,X
ILOSJTZ,X,O,X,X,O,X,X,X,X,X,X
ILOSJZT,O,O,X,X,X,X,X,X,O,X,X
ILOSZTJ,O,X,X,X,X,X,X,X,O,X,X
ILOSZJT,O,O,X,X,X,X,X,X,O,X,X
ILOZTJS,X,X,X,X,X,X,X,O,O,X,X
ILOZTSJ,X,X,X,X,X,X,X,O,O,X,X
ILOZJTS,X,O,X,X,X,X,X,X,O,X,X
ILOZJST,X,X,X,X,X,X,X,X,O,X,X
ILOZSTJ,O,X,X,X,X,X,X,X,O,X,X
ILOZSJT,O,X,X,X,X,X,X,X,O,X,X
IJTLSZO,X,O,X,X,X,O,X,X,X,X,X
IJTLSOZ,X,O,O,X,X,O,X,X,X,X,X
IJTLZSO,X,X,O,X,X,X,X,O,O,X,X
IJTLZOS,X,O,O,X,X,O,O,O,O,X,X
IJTLOSZ,X,O,O,X,X,O,X,X,X,X,X
IJTLOZS,X,O,O,X,X,O,O,O,O,X,X
IJTSLZO,X,O,X,X,X,O,X,X,X,O,X
IJTSLOZ,X,O,O,X,X,O,X,X,X,O,X
IJTSZLO,X,O,X,X,X,O,X,X,X,X,X
IJTSZOL,X,O,X,X,X,O,O,X,X,X,X
IJTSOLZ,X,O,O,X,X,O,X,X,X,O,X
IJTSOZL,X,O,X,X,X,O,O,X,X,X,X
IJTZLSO,X,X,O,O,X,X,X,O,X,X,X
IJTZLOS,X,O,O,O,X,O,O,O,X,X,X
IJTZSLO,X,X,O,O,X,X,X,O,X,X,X
IJTZSOL,X,X,O,O,X,X,O,O,X,X,X
IJTZOLS,X,O,O,O,X,O,O,O,X,X,X
IJTZOSL,X,X,O,O,X,X,O,O,X,X,X
IJTOLSZ,X,O,O,X,X,O,X,X,X,X,X
IJTOLZS,X,O,O,X,X,O,O,O,O,X,X
IJTOSLZ,X,O,O,X,X,O,X,X,X,O,X
IJTOSZL,X,O,X,X,X,O,O,X,X,X,X
IJTOZLS,X,O,O,O,X,O,O,O,X,X,X
IJTOZSL,X,X,O,O,X,X,O,O,X,X,X
IJLTSZO,X,O,X,X,X,O,X,X,X,X,X
IJLTSOZ,X,O,O,X,X,O,X,X,X,X,X
IJLTZSO,X,X,O,X,X,X,X,O,O,X,X
IJLTZOS,X,O,O,X,X,O,O,O,O,X,X
IJLTOSZ,X,O,O,X,X,O,X,X,X,X,X
IJLTOZS,X,O,O,X,X,O,O,O,O,X,X
IJLSTZO,X,O,X,X,O,X,X,X,X,X,X
IJLSTOZ,X,O,X,X,O,X,X,X,X,X,X
IJLSZTO,X,O,X,X,X,X,X,X,O,X,X
IJLSZOT,X,O,X,X,X,X,X,X,O,X,X
IJLSOTZ,X,O,X,X,O,X,X,X,X,X,X
IJLSOZT,X,O,X,X,X,X,X,X,O,X,X
IJLZTSO,X,O,X,X,X,X,X,X,O,X,X
IJLZTOS,X,O,X,X,X,X,X,X,O,X,X
IJLZSTO,X,X,X,X,X,X,X,X,O,X,X
IJLZSOT,X,X,X,X,X,X,X,X,O,X,X
IJLZOTS,X,O,X,X,X,X,X,X,O,X,X
IJLZOST,X,X,X,X,X,X,X,X,O,X,X
IJLOTSZ,X,O,O,X,X,O,X,X,X,X,X
IJLOTZS,X,O,O,X,X,O,O,O,O,X,X
IJLOSTZ,X,O,X,X,O,X,X,X,X,X,X
IJLOSZT,X,O,X,X,X,X,X,X,O,X,X
IJLOZTS,X,O,X,X,X,X,X,X,O,X,X
IJLOZST,X,X,X,X,X,X,X,X,O,X,X
IJSTLZO,X,O,X,X,O,X,X,X,X,O,X
IJSTLOZ,X,O,X,X,O,X,X,X,X,O,X
IJSTZLO,X,O,X,X,X,X,X,X,X,X,X
IJSTZOL,X,O,X,X,X,X,O,X,X,X,X
IJSTOLZ,X,O,X,X,O,X,X,X,X,O,X
IJSTOZL,X,O,X,X,X,X,O,X,X,X,X
IJSLTZO,X,O,X,X,O,X,X,X,X,X,X
IJSLTOZ,X,O,X,X,O,X,X,X,X,X,X
IJSLZTO,X,O,X,X,X,X,X,X,O,X,X
IJSLZOT,X,O,X,X,X,X,X,X,O,X,X
IJSLOTZ,X,O,X,X,O,X,X,X,X,X,X
IJSLOZT,X,O,X,X,X,X,X,X,O,X,X
IJSZTLO,X,O,X,X,X,X,X,X,X,X,X
IJSZTOL,X,O,X,X,X,X,X,X,X,X,X
IJSZLTO,X,O,X,X,X,X,X,X,X,X,X
IJSZLOT,X,O,X,X,X,X,X,X,X,X,X
IJSZOTL,X,O,X,X,X,X,X,X,X,X,X
IJSZOLT,X,O,X,X,X,X,X,X,X,X,X
IJSOTLZ,X,O,X,X,O,X,X,X,X,O,X
IJSOTZL,X,O,X,X,X,X,O,X,X,X,X
IJSOLTZ,X,O,X,X,O,X,X,X,X,X,X
IJSOLZT,X,O,X,X,X,X,X,X,O,X,X
IJSOZTL,X,O,X,X,X,X,X,X,X,X,X
IJSOZLT,X,O,X,X,X,X,X,X,X,X,X
IJZTLSO,X,O,X,O,X,X,X,X,X,X,X
IJZTLOS,X,O,X,O,X,X,O,X,X,X,X
IJZTSLO,X,O,X,O,X,X,X,X,X,X,X
IJZTSOL,X,O,X,O,X,X,O,X,X,X,X
IJZTOLS,X,O,X,O,X,X,O,X,X,X,O
IJZTOSL,X,O,X,O,X,X,O,X,X,X,O
IJZLTSO,X,O,X,O,X,X,X,X,O,X,X
IJZLTOS,X,O,X,O,X,X,X,X,O,X,X
IJZLSTO,X,X,X,X,X,X,X,X,O,X,X
IJZLSOT,X,X,X,O,X,X,X,X,O,X,X
IJZLOTS,X,O,X,O,X,X,X,X,O,X,O
IJZLOST,X,X,X,O,X,X,X,X,O,X,O
IJZSTLO,X,X,X,X,X,X,X,X,X,X,X
IJZSTOL,X,X,X,X,X,X,X,X,X,X,X
IJZSLTO,X,X,X,X,X,X,X,X,X,X,X
IJZSLOT,X,X,X,O,X,X,X,X,X,X,X
IJZSOTL,X,X,X,X,X,X,X,X,X,X,O
IJZSOLT,X,X,X,O,X,X,X,X,X,X,O
IJZOTLS,X,O,X,O,X,X,O,X,X,X,O
IJZOTSL,X,O,X,O,X,X,O,X,X,X,O
IJZOLTS,X,O,X,O,X,X,X,X,O,X,O
IJZOLST,X,X,X,O,X,X,X,X,O,X,O
IJZOSTL,X,X,X,X,X,X,X,X,X,X,O
IJZOSLT,X,X,X,O,X,X,X,X,X,X,O
IJOTLSZ,X,O,O,X,X,O,X,X,X,X,X
IJOTLZS,X,O,O,X,X,O,O,O,O,X,X
IJOTSLZ,X,O,O,X,X,O,X,X,X,O,X
IJOTSZL,X,O,X,X,X,O,O,X,X,X,X
IJOTZLS,X,O,O,O,X,O,O,O,X,X,X
IJOTZSL,X,X,O,O,X,X,O,O,X,X,X
IJOLTSZ,X,O,O,X,X,O,X,X,X,X,X
IJOLTZS,X,O,O,X,X,O,O,O,O,X,X
IJOLSTZ,X,O,X,X,O,X,X,X,X,X,X
IJOLSZT,X,O,X,X,X,X,X,X,O,X,X
IJOLZTS,X,O,X,X,X,X,X,X,O,X,X
IJOLZST,X,X,X,X,X,X,X,X,O,X,X
IJOSTLZ,X,O,X,X,O,X,X,X,X,O,X
IJOSTZL,X,O,X,X,X,X,O,X,X,X,X
IJOSLTZ,X,O,X,X,O,X,X,X,X,X,X
IJOSLZT,X,O,X,X,X,X,X,X,O,X,X
IJOSZTL,X,O,X,X,X,X,X,X,X,X,X
IJOSZLT,X,O,X,X,X,X,X,X,X,X,X
IJOZTLS,X,O,X,O,X,X,O,X,X,X,O
IJOZTSL,X,O,X,O,X,X,O,X,X,X,O
IJOZLTS,X,O,X,O,X,X,X,X,O,X,O
IJOZLST,X,X,X,O,X,X,X,X,O,X,O
IJOZSTL,X,X,X,X,X,X,X,X,X,X,O
IJOZSLT,X,X,X,O,X,X,X,X,X,X,O
ISTLJZO,X,X,X,X,O,X,X,X,X,O,X
ISTLJOZ,X,X,X,X,O,X,X,X,X,O,X
ISTLZJO,O,X,X,X,X,X,X,O,X,X,X
ISTLZOJ,O,X,X,X,X,X,X,O,X,X,X
ISTLOJZ,X,O,X,X,O,X,X,X,X,O,X
ISTLOZJ,O,X,X,X,X,X,X,O,X,X,X
ISTJLZO,X,O,X,X,O,X,X,X,X,O,X
ISTJLOZ,X,O,X,X,O,X,X,X,X,O,X
ISTJZLO,X,O,X,X,X,X,X,X,X,X,X
ISTJZOL,X,O,X,X,X,X,X,X,X,X,X
ISTJOLZ,X,O,X,X,O,X,X,X,X,O,X
ISTJOZL,X,O,X,X,X,X,X,X,X,X,X
ISTZLJO,O,X,X,X,X,X,X,O,X,X,X
ISTZLOJ,O,X,X,X,X,X,X,O,X,X,X
ISTZJLO,O,O,X,X,X,X,X,O,X,X,X
ISTZJOL,O,O,X,X,X,X,X,O,X,X,X
ISTZOLJ,O,X,X,X,X,X,X,O,X,X,X
ISTZOJL,O,O,X,X,X,X,X,O,X,X,X
ISTOLJZ,X,O,X,X,O,X,X,X,X,O,X
ISTOLZJ,O,X,X,X,X,X,X,O,X,X,X
ISTOJLZ,X,O,X,X,O,X,X,X,X,O,X
ISTOJZL,X,O,X,X,X,X,X,X,X,X,X
ISTOZLJ,O,X,X,X,X,X,X,O,X,X,X
ISTOZJL,O,O,X,X,X,X,X,O,X,X,X
ISLTJZO,X,X,X,X,O,X,X,X,X,X,X
ISLTJOZ,X,X,X,X,O,X,X,X,X,X,X
ISLTZJO,O,X,X,X,X,X,X,O,X,X,X
ISLTZOJ,O,X,X,X,X,X,X,O,X,X,X
ISLTOJZ,X,O,X,X,O,X,X,X,X,X,X
ISLTOZJ,O,X,X,X,X,X,X,O,X,X,X
ISLJTZO,X,O,X,X,O,X,X,X,X,X,X
ISLJTOZ,X,O,X,X,O,X,X,X,X,X,X
ISLJZTO,X,O,X,X,X,X,X,X,O,X,X
ISLJZOT,X,O,X,X,X,X,X,X,O,X,X
ISLJOTZ,X,O,X,X,O,X,X,X,X,X,X
ISLJOZT,O,O,X,X,X,X,X,X,O,X,X
ISLZTJO,O,X,X,X,X,X,X,X,O,X,X
ISLZTOJ,O,X,X,X,X,X,X,X,O,X,X
ISLZJTO,X,O,X,X,X,X,X,X,O,X,X
ISLZJOT,O,O,X,X,X,X,X,X,O,X,X
ISLZOTJ,O,X,X,X,X,X,X,X,O,X,X
ISLZOJT,O,O,X,X,X,X,X,X,O,X,X
ISLOTJZ,X,O,X,X,O,X,X,X,X,X,X
ISLOTZJ,O,X,X,X,X,X,X,O,X,X,X
ISLOJTZ,X,O,X,X,O,X,X,X,X,X,X
ISLOJZT,O,O,X,X,X,X,X,X,O,X,X
ISLOZTJ,O,X,X,X,X,X,X,X,O,X,X
ISLOZJT,O,O,X,X,X,X,X,X,O,X,X
ISJTLZO,X,O,X,X,O,X,X,X,X,O,X
ISJTLOZ,X,O,X,X,O,X,X,X,X,O,X
ISJTZLO,X,O,X,X,X,X,X,X,X,X,X
ISJTZOL,X,O,X,X,X,X,X,X,X,X,X
ISJTOLZ,X,O,X,X,O,X,X,X,X,O,X
ISJTOZL,X,O,X,X,X,X,X,X,X,X,X
ISJLTZO,X,O,X,X,O,X,X,X,X,X,X
ISJLTOZ,X,O,X,X,O,X,X,X,X,X,X
ISJLZTO,X,O,X,X,X,X,X,X,O,X,X
ISJLZOT,X,O,X,X,X,X,X,X,O,X,X
ISJLOTZ,X,O,X,X,O,X,X,X,X,X,X
ISJLOZT,O,O,X,X,X,X,X,X,O,X,X
ISJZTLO,O,O,X,X,X,X,X,X,X,X,X
ISJZTOL,O,O,X,X,X,X,X,X,X,X,X
ISJZLTO,X,O,X,X,X,X,X,X,X,X,X
ISJZLOT,O,O,X,X,X,X,X,X,X,X,X
ISJZOTL,O,O,X,X,X,X,X,X,X,X,X
ISJZOLT,O,O,X,X,X,X,X,X,X,X,X
ISJOTLZ,X,O,X,X,O,X,X,X,X,O,X
ISJOTZL,X,O,X,X,X,X,X,X,X,X,X
ISJOLTZ,X,O,X,X,O,X,X,X,X,X,X
ISJOLZT,O,O,X,X,X,X,X,X,O,X,X
ISJOZTL,O,O,X,X,X,X,X,X,X,X,X
ISJOZLT,O,O,X,X,X,X,X,X,X,X,X
ISZTLJO,O,X,X,X,X,X,X,X,X,X,X
ISZTLOJ,O,X,X,X,X,X,X,X,X,X,X
ISZTJLO,O,O,X,X,X,X,X,X,X,X,X
ISZTJOL,O,O,X,X,X,X,X,X,X,X,X
ISZTOLJ,O,X,X,X,X,X,X,X,X,X,X
ISZTOJL,O,O,X,X,X,X,X,X,X,X,X
ISZLTJO,O,X,X,X,X,X,X,X,X,X,X
ISZLTOJ,O,X,X,X,X,X,X,X,X,X,X
ISZLJTO,X,O,X,X,X,X,X,X,X,X,X
ISZLJOT,O,O,X,X,X,X,X,X,X,X,X
ISZLOTJ,O,X,X,X,X,X,X,X,X,X,X
ISZLOJT,O,O,X,X,X,X,X,X,X,X,X
ISZJTLO,O,O,X,X,X,X,X,X,X,X,X
ISZJTOL,O,O,X,X,X,X,X,X,X,X,X
ISZJLTO,X,O,X,X,X,X,X,X,X,X,X
ISZJLOT,O,O,X,X,X,X,X,X,X,X,X
ISZJOTL,O,O,X,X,X,X,X,X,X,X,X
ISZJOLT,O,O,X,X,X,X,X,X,X,X,X
ISZOTLJ,O,X,X,X,X,X,X,X,X,X,X
ISZOTJL,O,O,X,X,X,X,X,X,X,X,X
ISZOLTJ,O,X,X,X,X,X,X,X,X,X,X
ISZOLJT,O,O,X,X,X,X,X,X,X,X,X
ISZOJTL,O,O,X,X,X,X,X,X,X,X,X
ISZOJLT,O,O,X,X,X,X,X,X,X,X,X
ISOTLJZ,X,O,X,X,O,X,X,X,X,O,X
ISOTLZJ,O,X,X,X,X,X,X,O,X,X,X
ISOTJLZ,X,O,X,X,O,X,X,X,X,O,X
ISOTJZL,X,O,X,X,X,X,X,X,X,X,X
ISOTZLJ,O,X,X,X,X,X,X,O,X,X,X
ISOTZJL,O,O,X,X,X,X,X,O,X,X,X
ISOLTJZ,X,O,X,X,O,X,X,X,X,X,X
ISOLTZJ,O,X,X,X,X,X,X,O,X,X,X
ISOLJTZ,X,O,X,X,O,X,X,X,X,X,X
ISOLJZT,O,O,X,X,X,X,X,X,O,X,X
ISOLZTJ,O,X,X,X,X,X,X,X,O,X,X
ISOLZJT,O,O,X,X,X,X,X,X,O,X,X
ISOJTLZ,X,O,X,X,O,X,X,X,X,O,X
ISOJTZL,X,O,X,X,X,X,X,X,X,X,X
ISOJLTZ,X,O,X,X,O,X,X,X,X,X,X
ISOJLZT,O,O,X,X,X,X,X,X,O,X,X
ISOJZTL,O,O,X,X,X,X,X,X,X,X,X
ISOJZLT,O,O,X,X,X,X,X,X,X,X,X
ISOZTLJ,O,X,X,X,X,X,X,X,X,X,X
ISOZTJL,O,O,X,X,X,X,X,X,X,X,X
ISOZLTJ,O,X,X,X,X,X,X,X,X,X,X
ISOZLJT,O,O,X,X,X,X,X,X,X,X,X
ISOZJTL,O,O,X,X,X,X,X,X,X,X,X
ISOZJLT,O,O,X,X,X,X,X,X,X,X,X
IZTLJSO,X,X,X,O,X,X,X,O,X,X,X
IZTLJOS,X,X,X,O,X,X,X,O,X,X,X
IZTLSJO,X,X,X,X,X,X,X,O,X,X,X
IZTLSOJ,X,X,X,X,X,X,X,O,X,X,X
IZTLOJS,X,X,X,O,X,X,X,O,X,X,X
IZTLOSJ,X,X,X,X,X,X,X,O,X,X,X
IZTJLSO,X,X,X,O,X,X,X,O,X,X,X
IZTJLOS,X,X,X,O,X,X,X,O,X,X,X
IZTJSLO,X,X,X,O,X,X,X,O,X,X,X
IZTJSOL,X,X,X,O,X,X,X,O,X,X,X
IZTJOLS,X,X,X,O,X,X,X,O,X,X,X
IZTJOSL,X,X,X,O,X,X,X,O,X,X,X
IZTSLJO,X,X,X,X,X,X,X,O,X,X,X
IZTSLOJ,X,X,X,X,X,X,X,O,X,X,X
IZTSJLO,X,X,X,O,X,X,X,O,X,X,X
IZTSJOL,X,X,X,O,X,X,X,O,X,X,X
IZTSOLJ,X,X,X,X,X,X,X,O,X,X,X
IZTSOJL,X,X,X,O,X,X,X,O,X,X,X
IZTOLJS,X,X,X,O,X,X,X,O,X,X,X
IZTOLSJ,X,X,X,X,X,X,X,O,X,X,O
IZTOJLS,X,X,X,O,X,X,X,O,X,X,O
IZTOJSL,X,X,X,O,X,X,X,O,X,X,O
IZTOSLJ,X,X,X,X,X,X,X,O,X,X,O
IZTOSJL,X,X,X,O,X,X,X,O,X,X,O
IZLTJSO,X,X,X,X,X,X,X,O,O,X,X
IZLTJOS,X,X,X,X,X,X,X,O,O,X,X
IZLTSJO,X,X,X,X,X,X,X,O,O,X,X
IZLTSOJ,X,X,X,X,X,X,X,O,O,X,X
IZLTOJS,X,X,X,X,X,X,X,O,O,X,X
IZLTOSJ,X,X,X,X,X,X,X,O,O,X,X
IZLJTSO,X,O,X,X,X,X,X,X,O,X,X
IZLJTOS,X,O,X,O,X,X,X,X,O,X,X
IZLJSTO,X,X,X,X,X,X,X,X,O,X,X
IZLJSOT,X,X,X,O,X,X,X,X,O,X,X
IZLJOTS,X,O,X,O,X,X,X,X,O,X,X
IZLJOST,X,X,X,O,X,X,X,X,O,X,X
IZLSTJO,O,X,X,X,X,X,X,X,O,X,X
IZLSTOJ,O,X,X,X,X,X,X,X,O,X,X
IZLSJTO,X,X,X,X,X,X,X,X,O,X,X
IZLSJOT,O,X,X,X,X,X,X,X,O,X,X
IZLSOTJ,O,X,X,X,X,X,X,X,O,X,X
IZLSOJT,O,X,X,X,X,X,X,X,O,X,X
IZLOTJS,X,X,X,X,X,X,X,O,O,X,X
IZLOTSJ,X,X,X,X,X,X,X,O,O,X,O
IZLOJTS,X,O,X,O,X,X,X,X,O,X,O
IZLOJST,X,X,X,O,X,X,X,X,O,X,O
IZLOSTJ,O,X,X,X,X,X,X,X,O,X,O
IZLOSJT,O,X,X,X,X,X,X,X,O,X,O
IZJTLSO,X,O,X,O,X,X,X,X,X,X,X
IZJTLOS,X,O,X,O,X,X,X,X,X,X,X
IZJTSLO,X,O,X,O,X,X,X,X,X,X,X
IZJTSOL,X,O,X,O,X,X,X,X,X,X,X
IZJTOLS,X,O,X,O,X,X,X,X,X,X,O
IZJTOSL,X,O,X,O,X,X,X,X,X,X,O
IZJLTSO,X,O,X,O,X,X,X,X,O,X,X
IZJLTOS,X,O,X,O,X,X,X,X,O,X,X
IZJLSTO,X,X,X,X,X,X,X,X,O,X,X
IZJLSOT,X,X,X,O,X,X,X,X,O,X,X
IZJLOTS,X,O,X,O,X,X,X,X,O,X,O
IZJLOST,X,X,X,O,X,X,X,X,O,X,O
IZJSTLO,X,X,X,X,X,X,X,X,X,X,X
IZJSTOL,X,X,X,X,X,X,X,X,X,X,X
IZJSLTO,X,X,X,X,X,X,X,X,X,X,X
IZJSLOT,X,X,X,O,X,X,X,X,X,X,X
IZJSOTL,X,X,X,X,X,X,X,X,X,X,O
IZJSOLT,X,X,X,O,X,X,X,X,X,X,O
IZJOTLS,X,O,X,O,X,X,X,X,X,X,O
IZJOTSL,X,O,X,O,X,X,X,X,X,X,O
IZJOLTS,X,O,X,O,X,X,X,X,O,X,O
IZJOLST,X,X,X,O,X,X,X,X,O,X,O
IZJOSTL,X,X,X,X,X,X,X,X,X,X,O
IZJOSLT,X,X,X,O,X,X,X,X,X,X,O
IZSTLJO,O,X,X,X,X,X,X,X,X,X,X
IZSTLOJ,O,X,X,X,X,X,X,X,X,X,X
IZSTJLO,O,X,X,X,X,X,X,X,X,X,X
IZSTJOL,O,X,X,X,X,X,X,X,X,X,X
IZSTOLJ,O,X,X,X,X,X,X,X,X,X,X
IZSTOJL,O,X,X,X,X,X,X,X,X,X,X
IZSLTJO,O,X,X,X,X,X,X,X,X,X,X
IZSLTOJ,O,X,X,X,X,X,X,X,X,X,X
IZSLJTO,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,O,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,O,X,X,X,X,X,X,X,X,X,X
IZSLOJT,O,X,X,X,X,X,X,X,X,X,X
IZSJTLO,O,X,X,X,X,X,X,X,X,X,X
IZSJTOL,O,X,X,X,X,X,X,X,X,X,X
IZSJLTO,X,X,X,X,X,X,X,X,X,X,X
IZSJLOT,O,X,X,O,X,X,X,X,X,X,X
IZSJOTL,O,X,X,X,X,X,X,X,X,X,X
IZSJOLT,O,X,X,O,X,X,X,X,X,X,X
IZSOTLJ,O,X,X,X,X,X,X,X,X,X,O
IZSOTJL,O,X,X,X,X,X,X,X,X,X,O
IZSOLTJ,O,X,X,X,X,X,X,X,X,X,O
IZSOLJT,O,X,X,X,X,X,X,X,X,X,O
IZSOJTL,O,X,X,X,X,X,X,X,X,X,O
IZSOJLT,O,X,X,O,X,X,X,X,X,X,O
IZOTLJS,X,X,X,O,X,X,X,O,X,X,X
IZOTLSJ,X,X,X,X,X,X,X,O,X,X,O
IZOTJLS,X,X,X,O,X,X,X,O,X,X,O
IZOTJSL,X,X,X,O,X,X,X,O,X,X,O
IZOTSLJ,X,X,X,X,X,X,X,O,X,X,O
IZOTSJL,X,X,X,O,X,X,X,O,X,X,O
IZOLTJS,X,X,X,X,X,X,X,O,O,X,X
IZOLTSJ,X,X,X,X,X,X,X,O,O,X,O
IZOLJTS,X,O,X,O,X,X,X,X,O,X,O
IZOLJST,X,X,X,O,X,X,X,X,O,X,O
IZOLSTJ,O,X,X,X,X,X,X,X,O,X,O
IZOLSJT,O,X,X,X,X,X,X,X,O,X,O
IZOJTLS,X,O,X,O,X,X,X,X,X,X,O
IZOJTSL,X,O,X,O,X,X,X,X,X,X,O
IZOJLTS,X,O,X,O,X,X,X,X,O,X,O
IZOJLST,X,X,X,O,X,X,X,X,O,X,O
