sequence,v115@EhD8EeF8DeG8BeE8Jei6IvhF3bB1hBxdBWlBTmB0qB,v115@EhD8EeF8DeG8BeE8Je//IvhFUbBxdBlhBilBGmBzqB,v115@EhD8EeF8DeG8BeE8Jei6IvhFxdBflB0gBlhBGmBzqB,v115@EhD8EeF8DeG8BeE8Jei6IvhFFcBxdBflB0gBumBzqB,v115@EhD8EeF8DeG8BeE8JeT6IvhF/gBxdBUlBOrBlmBCrB,v115@EhD8EeF8DeG8BeE8Jei6IvhFxdBzfBfmBlhBGmB0qB,v115@EhD8EeF8DeG8BeE8Je//IvhFUbBxdBTlBOrBlmBCrB,v115@EhD8EeF8DeG8BeE8JeT6IvhFxdBXgBlhBuqBilBcrB,v115@EhD8EeF8DeG8BeE8Jei6IvhFxdBzfBlhBUmB+lBXrB
IJSZLOT,O,X,X,O,O,X,X,X,X
IJSZOTL,O,X,X,O,O,X,O,O,X
IJSZOLT,O,O,X,O,O,X,O,X,X
IJSOTLZ,O,O,O,O,X,X,O,O,X
IJSOTZL,O,X,O,O,X,X,O,O,X
IJSOLTZ,O,O,O,O,X,X,O,O,X
IJSOLZT,O,O,O,O,X,X,O,X,X
IJSOZTL,O,X,O,O,O,X,O,O,X
IJSOZLT,O,O,O,O,O,X,O,X,X
IJZTLSO,O,X,X,O,X,X,X,X,X
IJZTLOS,O,X,X,O,X,X,X,X,X
IJZTSLO,O,X,X,O,O,X,X,X,X
IJZTSOL,O,X,X,X,O,X,X,O,X
IJZTOLS,O,X,X,O,X,X,X,X,O
IJZTOSL,O,X,X,O,O,X,X,X,O
IJZLTSO,O,X,X,O,X,X,X,X,X
IJZLTOS,O,X,X,O,X,X,X,X,X
IJZLSTO,O,X,X,O,O,X,X,X,X
IJZLSOT,O,X,X,O,O,X,X,X,X
IJZLOTS,O,X,X,O,X,X,X,X,X
IJZLOST,O,X,X,O,O,O,X,X,X
IJZSTLO,O,X,X,O,O,X,X,X,X
IJZSTOL,O,X,X,O,O,O,X,O,X
IJZSLTO,O,X,X,O,O,X,X,X,X
IJZSLOT,O,X,X,O,O,X,X,X,X
IJZSOTL,O,X,X,O,O,O,O,O,X
IJZSOLT,O,X,X,O,O,O,O,X,X
IJZOTLS,O,X,X,O,X,X,X,X,O
IJZOTSL,O,X,X,O,O,X,X,X,O
IJZOLTS,O,X,X,O,X,X,X,X,O
IJZOLST,O,X,X,O,O,O,X,X,X
IJZOSTL,O,X,X,O,O,O,O,X,X
IJZOSLT,O,X,X,O,O,O,O,X,X
IJOTLSZ,O,X,X,O,X,X,X,X,X
IJOTLZS,O,X,X,O,X,X,X,X,X
IJOTSLZ,O,O,O,O,X,X,O,O,X
IJOTSZL,O,X,O,O,X,X,O,O,X
IJOTZLS,O,X,X,O,X,X,X,X,X
IJOTZSL,O,X,X,O,O,X,X,X,X
IJOLTSZ,O,O,X,O,X,X,X,X,X
IJOLTZS,O,X,X,O,X,X,X,X,X
IJOLSTZ,O,O,O,O,X,X,O,X,X
IJOLSZT,O,O,O,O,X,X,O,X,X
IJOLZTS,O,X,X,O,X,X,X,X,O
IJOLZST,O,X,X,O,O,O,X,X,X
IJOSTLZ,O,O,O,O,X,X,O,O,X
IJOSTZL,O,X,O,O,X,X,O,O,X
IJOSLTZ,O,O,O,O,X,X,O,O,X
IJOSLZT,O,O,O,O,X,X,O,X,X
IJOSZTL,O,X,O,O,O,X,O,O,X
IJOSZLT,O,O,O,O,O,X,O,X,X
IJOZTLS,O,X,X,O,X,X,X,X,O
IJOZTSL,O,X,X,O,O,X,X,X,O
IJOZLTS,O,X,X,O,X,X,X,X,O
IJOZLST,O,X,X,O,O,O,X,X,X
IJOZSTL,O,X,X,O,O,O,O,X,X
IJOZSLT,O,X,X,O,O,O,O,X,X
ISTLJZO,O,O,O,O,X,X,X,X,X
ISTLJOZ,O,X,X,O,X,X,X,X,X
ISTLZJO,O,O,O,O,X,X,X,X,X
ISTLZOJ,O,O,O,O,X,X,X,X,X
ISTLOJZ,O,O,O,X,X,X,X,O,X
ISTLOZJ,X,O,O,O,X,X,X,X,X
ISTJLZO,O,O,O,O,X,X,X,X,X
ISTJLOZ,O,X,X,O,X,X,X,O,X
ISTJZLO,O,O,O,O,X,X,X,X,X
ISTJZOL,X,X,X,O,X,X,X,O,X
ISTJOLZ,O,O,X,O,X,X,O,O,X
ISTJOZL,X,X,X,O,X,X,O,O,X
ISTZLJO,O,O,O,O,X,X,X,X,X
ISTZLOJ,O,O,O,O,X,X,X,X,X
ISTZJLO,O,O,O,O,X,X,X,X,X
ISTZJOL,O,X,X,X,X,X,X,X,X
ISTZOLJ,O,O,O,O,X,X,X,X,O
ISTZOJL,O,X,X,X,X,X,O,O,O
ISTOLJZ,O,O,O,X,X,X,X,O,X
ISTOLZJ,O,O,O,O,X,X,X,X,X
ISTOJLZ,O,O,O,X,X,X,O,O,X
ISTOJZL,O,X,O,X,X,X,O,O,X
ISTOZLJ,O,O,O,O,X,X,X,X,X
ISTOZJL,O,X,O,O,X,X,O,O,X
ISLTJZO,O,O,O,O,X,X,X,X,X
ISLTJOZ,O,X,X,O,X,X,X,X,X
ISLTZJO,O,O,O,O,X,X,X,X,X
ISLTZOJ,O,O,O,O,X,X,X,X,X
ISLTOJZ,O,O,O,X,X,X,X,O,X
ISLTOZJ,X,O,O,O,X,X,X,X,X
ISLJTZO,O,O,O,O,X,X,X,X,X
ISLJTOZ,O,X,X,O,X,X,X,O,X
ISLJZTO,O,O,O,O,X,X,X,X,X
ISLJZOT,O,X,X,O,X,X,X,X,X
ISLJOTZ,O,X,O,O,X,X,O,O,X
ISLJOZT,O,X,O,O,X,X,O,X,X
ISLZTJO,O,O,O,O,X,X,X,X,X
ISLZTOJ,O,O,O,O,X,X,X,X,X
ISLZJTO,O,O,O,O,X,X,X,X,X
ISLZJOT,O,X,X,O,X,X,X,X,X
ISLZOTJ,O,O,O,O,X,O,X,X,X
ISLZOJT,O,O,O,O,X,O,O,X,X
ISLOTJZ,O,O,O,X,X,X,X,O,X
ISLOTZJ,O,O,O,O,X,X,X,X,X
ISLOJTZ,O,O,O,O,X,X,O,O,X
ISLOJZT,O,O,O,O,X,X,O,X,X
ISLOZTJ,X,O,O,O,X,O,X,X,O
ISLOZJT,X,O,O,O,X,O,O,X,X
ISJTLZO,O,O,O,O,X,X,X,X,X
ISJTLOZ,O,X,X,O,X,X,X,O,X
ISJTZLO,O,O,O,O,X,X,X,X,X
ISJTZOL,X,X,X,O,X,X,X,O,X
ISJTOLZ,O,O,X,O,X,X,O,O,X
ISJTOZL,X,X,X,O,X,X,O,O,X
ISJLTZO,O,O,O,O,X,X,X,X,X
ISJLTOZ,O,X,X,O,X,X,X,O,X
ISJLZTO,O,O,O,O,X,X,X,X,X
ISJLZOT,O,X,X,O,X,X,X,X,X
ISJLOTZ,O,X,O,O,X,X,O,O,X
ISJLOZT,O,X,O,O,X,X,O,X,X
ISJZTLO,O,O,O,O,O,X,X,X,X
ISJZTOL,O,X,X,O,O,X,X,O,X
ISJZLTO,O,O,O,O,O,X,X,X,X
ISJZLOT,O,X,X,O,O,X,X,X,X
ISJZOTL,O,X,X,O,O,X,O,O,X
ISJZOLT,O,O,X,O,O,X,O,X,X
ISJOTLZ,O,O,O,O,X,X,O,O,X
ISJOTZL,O,X,O,O,X,X,O,O,X
ISJOLTZ,O,O,O,O,X,X,O,O,X
ISJOLZT,O,O,O,O,X,X,O,X,X
ISJOZTL,O,X,O,O,O,X,O,O,X
ISJOZLT,O,O,O,O,O,X,O,X,X
ISZTLJO,O,O,O,O,X,X,X,X,X
ISZTLOJ,O,O,O,O,X,O,X,X,X
ISZTJLO,O,O,O,O,O,X,X,X,X
ISZTJOL,O,X,X,X,O,O,X,X,X
ISZTOLJ,O,O,O,O,X,O,X,X,O
ISZTOJL,O,X,X,X,O,O,O,O,O
ISZLTJO,O,O,O,O,X,X,X,X,X
ISZLTOJ,O,O,O,O,X,O,X,X,X
ISZLJTO,O,O,O,O,O,X,X,X,X
ISZLJOT,O,X,X,O,O,X,X,X,X
ISZLOTJ,O,O,O,O,X,O,X,X,X
ISZLOJT,O,O,O,O,O,O,O,X,X
ISZJTLO,O,O,O,O,O,X,X,X,X
ISZJTOL,O,X,X,O,O,O,X,O,X
ISZJLTO,O,O,O,O,O,X,X,X,X
ISZJLOT,O,X,X,O,O,X,X,X,X
ISZJOTL,O,X,X,O,O,O,O,O,X
ISZJOLT,O,O,X,O,O,O,O,X,X
ISZOTLJ,O,O,O,O,X,O,X,X,O
ISZOTJL,O,X,O,O,O,O,O,O,O
ISZOLTJ,O,O,O,O,X,O,X,X,O
ISZOLJT,O,O,O,O,O,O,O,X,X
ISZOJTL,O,X,O,O,O,O,O,O,X
ISZOJLT,O,O,O,O,O,O,O,X,X
ISOTLJZ,O,O,O,X,X,X,X,O,X
ISOTLZJ,O,O,O,O,X,X,X,X,X
ISOTJLZ,O,O,O,X,X,X,O,O,X
ISOTJZL,O,X,O,X,X,X,O,O,X
ISOTZLJ,O,O,O,O,X,X,X,X,X
ISOTZJL,O,X,O,O,X,X,O,O,X
ISOLTJZ,O,O,O,X,X,X,X,O,X
ISOLTZJ,O,O,O,O,X,X,X,X,X
ISOLJTZ,O,O,O,O,X,X,O,O,X
ISOLJZT,O,O,O,O,X,X,O,X,X
ISOLZTJ,X,O,O,O,X,O,X,X,O
ISOLZJT,X,O,O,O,X,O,O,X,X
ISOJTLZ,O,O,O,O,X,X,O,O,X
ISOJTZL,O,X,O,O,X,X,O,O,X
ISOJLTZ,O,O,O,O,X,X,O,O,X
ISOJLZT,O,O,O,O,X,X,O,X,X
ISOJZTL,O,X,O,O,O,X,O,O,X
ISOJZLT,O,O,O,O,O,X,O,X,X
ISOZTLJ,X,O,O,O,X,O,X,X,O
ISOZTJL,X,X,O,O,O,O,O,O,O
ISOZLTJ,X,O,O,O,X,O,X,X,O
ISOZLJT,X,O,O,O,O,O,O,X,X
ISOZJTL,X,X,O,O,O,O,O,O,X
ISOZJLT,X,O,O,O,O,O,O,X,X
IZTLJSO,O,X,X,X,X,X,X,X,X
IZTLJOS,O,X,X,X,X,X,X,X,X
IZTLSJO,O,O,O,X,X,X,X,X,X
IZTLSOJ,O,O,O,X,X,X,X,X,X
IZTLOJS,O,X,X,X,X,X,X,X,O
IZTLOSJ,O,X,X,X,X,O,X,X,O
IZTJLSO,O,X,X,X,X,X,X,X,X
IZTJLOS,O,X,X,X,X,X,X,X,X
IZTJSLO,O,X,X,X,O,X,X,X,X
IZTJSOL,O,X,X,X,O,X,X,O,X
IZTJOLS,O,X,X,X,X,X,X,X,O
IZTJOSL,O,X,X,X,O,X,X,X,O
IZTSLJO,O,O,O,X,X,X,X,X,X
IZTSLOJ,O,O,O,X,X,O,X,X,X
IZTSJLO,O,O,O,X,O,X,X,X,X
IZTSJOL,O,X,X,X,O,O,X,X,X
IZTSOLJ,O,O,O,X,X,O,X,X,O
IZTSOJL,O,X,X,X,O,O,X,O,O
IZTOLJS,O,X,X,X,X,X,X,X,O
IZTOLSJ,O,X,X,X,X,O,X,X,O
IZTOJLS,O,X,X,X,X,X,X,X,O
IZTOJSL,O,X,X,X,O,X,X,X,O
IZTOSLJ,O,O,O,X,X,O,X,X,O
IZTOSJL,O,X,O,X,O,O,X,O,O
IZLTJSO,O,X,X,X,X,X,X,X,X
IZLTJOS,O,X,X,X,X,X,X,X,X
IZLTSJO,O,O,O,X,X,X,X,X,X
IZLTSOJ,O,O,O,X,X,X,X,X,X
IZLTOJS,O,X,X,X,X,X,X,X,O
IZLTOSJ,O,X,X,X,X,O,X,X,O
IZLJTSO,O,X,X,O,X,X,X,X,X
IZLJTOS,O,X,X,O,X,X,X,X,X
IZLJSTO,O,X,X,O,O,X,X,X,X
IZLJSOT,O,X,X,O,O,X,X,X,X
IZLJOTS,O,X,X,O,X,X,X,X,X
IZLJOST,O,X,X,O,O,O,X,X,X
IZLSTJO,O,O,O,O,X,X,X,X,X
IZLSTOJ,O,O,O,O,X,O,X,X,X
IZLSJTO,O,O,O,O,O,X,X,X,X
IZLSJOT,O,X,X,O,O,X,X,X,X
IZLSOTJ,O,O,O,O,X,O,X,X,X
IZLSOJT,O,X,O,O,O,O,X,X,X
IZLOTJS,O,X,X,X,X,X,X,X,O
IZLOTSJ,O,X,X,X,X,O,X,X,O
IZLOJTS,O,X,X,X,X,X,X,X,O
IZLOJST,O,X,X,X,O,O,X,X,X
IZLOSTJ,O,X,O,O,X,O,X,X,O
IZLOSJT,O,X,O,O,O,O,X,X,X
IZJTLSO,O,X,X,O,X,X,X,X,X
IZJTLOS,O,X,X,O,X,X,X,X,X
IZJTSLO,O,X,X,O,O,X,X,X,X
IZJTSOL,O,X,X,X,O,X,X,O,X
IZJTOLS,O,X,X,O,X,X,X,X,O
IZJTOSL,O,X,X,O,O,X,X,X,O
IZJLTSO,O,X,X,O,X,X,X,X,X
IZJLTOS,O,X,X,O,X,X,X,X,X
IZJLSTO,O,X,X,O,O,X,X,X,X
IZJLSOT,O,X,X,O,O,X,X,X,X
IZJLOTS,O,X,X,O,X,X,X,X,X
IZJLOST,O,X,X,O,O,O,X,X,X
IZJSTLO,O,X,X,O,O,X,X,X,X
IZJSTOL,O,X,X,O,O,O,X,O,X
IZJSLTO,O,X,X,O,O,X,X,X,X
IZJSLOT,O,X,X,O,O,X,X,X,X
IZJSOTL,O,X,X,O,O,O,O,O,X
IZJSOLT,O,X,X,O,O,O,O,X,X
IZJOTLS,O,X,X,O,X,X,X,X,O
IZJOTSL,O,X,X,O,O,X,X,X,O
IZJOLTS,O,X,X,O,X,X,X,X,O
IZJOLST,O,X,X,O,O,O,X,X,X
IZJOSTL,O,X,X,O,O,O,O,X,X
IZJOSLT,O,X,X,O,O,O,O,X,X
IZSTLJO,O,O,O,O,X,X,X,X,X
IZSTLOJ,O,O,O,O,X,O,X,X,X
IZSTJLO,O,O,O,O,O,X,X,X,X
IZSTJOL,O,X,X,X,O,O,X,X,X
IZSTOLJ,O,O,O,O,X,O,X,X,O
IZSTOJL,O,X,X,X,O,O,O,O,O
IZSLTJO,O,O,O,O,X,X,X,X,X
IZSLTOJ,O,O,O,O,X,O,X,X,X
IZSLJTO,O,O,O,O,O,X,X,X,X
IZSLJOT,O,X,X,O,O,X,X,X,X
IZSLOTJ,O,O,O,O,X,O,X,X,X
IZSLOJT,O,O,O,O,O,O,O,X,X
IZSJTLO,O,O,O,O,O,X,X,X,X
IZSJTOL,O,X,X,O,O,O,X,O,X
IZSJLTO,O,O,O,O,O,X,X,X,X
IZSJLOT,O,X,X,O,O,X,X,X,X
IZSJOTL,O,X,X,O,O,O,O,O,X
IZSJOLT,O,O,X,O,O,O,O,X,X
IZSOTLJ,O,O,O,O,X,O,X,X,O
IZSOTJL,O,X,O,O,O,O,O,O,O
IZSOLTJ,O,O,O,O,X,O,X,X,O
IZSOLJT,O,O,O,O,O,O,O,X,X
IZSOJTL,O,X,O,O,O,O,O,O,X
IZSOJLT,O,O,O,O,O,O,O,X,X
IZOTLJS,O,X,X,X,X,X,X,X,O
IZOTLSJ,O,X,X,O,X,O,X,X,O
IZOTJLS,O,X,X,X,X,X,X,X,O
IZOTJSL,O,X,X,O,O,X,X,X,O
IZOTSLJ,O,O,O,O,X,O,X,X,O
IZOTSJL,O,X,O,O,O,O,X,O,O
IZOLTJS,O,X,X,X,X,X,X,X,O
IZOLTSJ,O,O,X,O,X,O,X,X,O
IZOLJTS,O,X,X,X,X,X,X,X,O
IZOLJST,O,X,X,X,O,O,X,X,X
IZOLSTJ,O,O,O,O,X,O,X,X,O
IZOLSJT,O,O,O,O,O,O,X,X,X
IZOJTLS,O,X,X,X,X,X,X,X,O
IZOJTSL,O,X,X,O,O,X,X,X,O
IZOJLTS,O,X,X,X,X,X,X,X,O
IZOJLST,O,X,X,X,O,O,X,X,X
IZOJSTL,O,X,X,X,O,O,O,X,X
IZOJSLT,O,X,X,X,O,O,O,X,X
IZOSTLJ,O,O,O,O,X,O,X,X,O
IZOSTJL,O,X,O,O,O,O,O,O,O
IZOSLTJ,O,O,O,O,X,O,X,X,O
IZOSLJT,O,O,O,O,O,O,O,X,X
IZOSJTL,O,X,O,O,O,O,O,O,X
IZOSJLT,O,O,O,O,O,O,O,X,X
IOTLJSZ,O,O,X,X,X,X,X,X,X
IOTLJZS,O,X,X,X,X,X,X,X,X
IOTLSJZ,O,O,O,X,X,X,X,O,X
IOTLSZJ,O,O,O,O,X,X,X,X,X
IOTLZJS,O,X,X,X,X,X,X,X,O
IOTLZSJ,O,O,X,X,X,O,X,X,O
IOTJLSZ,O,X,X,X,X,X,X,X,X
IOTJLZS,O,X,X,X,X,X,X,X,X
IOTJSLZ,O,O,O,X,X,X,O,O,X
IOTJSZL,O,X,O,X,X,X,O,O,X
IOTJZLS,O,X,X,X,X,X,X,X,X
IOTJZSL,O,X,X,X,O,X,X,X,X
IOTSLJZ,O,O,O,X,X,X,X,O,X
IOTSLZJ,O,O,O,O,X,X,X,X,X
IOTSJLZ,O,O,O,X,X,X,O,O,X
IOTSJZL,O,X,O,X,X,X,O,O,X
IOTSZLJ,O,O,O,O,X,X,X,X,X
IOTSZJL,O,X,O,O,X,X,O,O,X
IOTZLJS,O,X,X,X,X,X,X,X,O
IOTZLSJ,O,X,X,O,X,O,X,X,O
IOTZJLS,O,X,X,X,X,X,X,X,O
IOTZJSL,O,X,X,O,O,X,X,X,O
IOTZSLJ,O,O,O,O,X,O,X,X,O
IOTZSJL,O,X,O,O,O,O,X,O,O
IOLTJSZ,O,O,X,X,X,X,X,X,X
IOLTJZS,O,X,X,X,X,X,X,X,X
IOLTSJZ,O,O,O,X,X,X,X,O,X
IOLTSZJ,O,O,O,O,X,X,X,X,X
IOLTZJS,O,X,X,X,X,X,X,X,O
IOLTZSJ,O,O,X,X,X,O,X,X,O
IOLJTSZ,O,O,X,O,X,X,X,X,X
IOLJTZS,O,X,X,O,X,X,X,X,X
IOLJSTZ,O,O,O,O,X,X,O,X,X
IOLJSZT,O,O,O,O,X,X,O,X,X
IOLJZTS,O,X,X,O,X,X,X,X,O
IOLJZST,O,X,X,O,O,O,X,X,X
IOLSTJZ,O,O,O,X,X,X,X,O,X
IOLSTZJ,O,O,O,O,X,X,X,X,X
IOLSJTZ,O,O,O,O,X,X,O,O,X
IOLSJZT,O,O,O,O,X,X,O,X,X
IOLSZTJ,X,O,O,O,X,O,X,X,O
IOLSZJT,X,O,O,O,X,O,O,X,X
IOLZTJS,O,X,X,X,X,X,X,X,O
IOLZTSJ,O,O,X,O,X,O,X,X,O
IOLZJTS,O,X,X,X,X,X,X,X,O
IOLZJST,O,X,X,X,O,O,X,X,X
IOLZSTJ,O,O,O,O,X,O,X,X,O
IOLZSJT,O,O,O,O,O,O,X,X,X
IOJTLSZ,O,X,X,O,X,X,X,X,X
IOJTLZS,O,X,X,O,X,X,X,X,X
IOJTSLZ,O,O,O,O,X,X,O,O,X
IOJTSZL,O,X,O,O,X,X,O,O,X
IOJTZLS,O,X,X,O,X,X,X,X,X
IOJTZSL,O,X,X,O,O,X,X,X,X
IOJLTSZ,O,O,X,O,X,X,X,X,X
IOJLTZS,O,X,X,O,X,X,X,X,X
IOJLSTZ,O,O,O,O,X,X,O,X,X
IOJLSZT,O,O,O,O,X,X,O,X,X
IOJLZTS,O,X,X,O,X,X,X,X,O
IOJLZST,O,X,X,O,O,O,X,X,X
IOJSTLZ,O,O,O,O,X,X,O,O,X
IOJSTZL,O,X,O,O,X,X,O,O,X
IOJSLTZ,O,O,O,O,X,X,O,O,X
IOJSLZT,O,O,O,O,X,X,O,X,X
IOJSZTL,O,X,O,O,O,X,O,O,X
IOJSZLT,O,O,O,O,O,X,O,X,X
IOJZTLS,O,X,X,O,X,X,X,X,O
IOJZTSL,O,X,X,O,O,X,X,X,O
IOJZLTS,O,X,X,O,X,X,X,X,O
IOJZLST,O,X,X,O,O,O,X,X,X
IOJZSTL,O,X,X,O,O,O,O,X,X
IOJZSLT,O,X,X,O,O,O,O,X,X
IOSTLJZ,O,O,O,X,X,X,X,O,X
IOSTLZJ,O,O,O,O,X,X,X,X,X
IOSTJLZ,O,O,O,X,X,X,O,O,X
IOSTJZL,O,X,O,X,X,X,O,O,X
IOSTZLJ,O,O,O,O,X,X,X,X,X
IOSTZJL,O,X,O,O,X,X,O,O,X
IOSLTJZ,O,O,O,X,X,X,X,O,X
IOSLTZJ,O,O,O,O,X,X,X,X,X
IOSLJTZ,O,O,O,O,X,X,O,O,X
IOSLJZT,O,O,O,O,X,X,O,X,X
IOSLZTJ,X,O,O,O,X,O,X,X,O
IOSLZJT,X,O,O,O,X,O,O,X,X
IOSJTLZ,O,O,O,O,X,X,O,O,X
IOSJTZL,O,X,O,O,X,X,O,O,X
IOSJLTZ,O,O,O,O,X,X,O,O,X
IOSJLZT,O,O,O,O,X,X,O,X,X
IOSJZTL,O,X,O,O,O,X,O,O,X
IOSJZLT,O,O,O,O,O,X,O,X,X
IOSZTLJ,X,O,O,O,X,O,X,X,O
IOSZTJL,X,X,O,O,O,O,O,O,O
IOSZLTJ,X,O,O,O,X,O,X,X,O
IOSZLJT,X,O,O,O,O,O,O,X,X
IOSZJTL,X,X,O,O,O,O,O,O,X
IOSZJLT,X,O,O,O,O,O,O,X,X
IOZTLJS,O,X,X,X,X,X,X,X,O
IOZTLSJ,O,X,X,O,X,O,X,X,O
IOZTJLS,O,X,X,X,X,X,X,X,O
IOZTJSL,O,X,X,O,O,X,X,X,O
IOZTSLJ,O,O,O,O,X,O,X,X,O
IOZTSJL,O,X,O,O,O,O,X,O,O
IOZLTJS,O,X,X,X,X,X,X,X,O
IOZLTSJ,O,O,X,O,X,O,X,X,O
IOZLJTS,O,X,X,X,X,X,X,X,O
IOZLJST,O,X,X,X,O,O,X,X,X
IOZLSTJ,O,O,O,O,X,O,X,X,O
IOZLSJT,O,O,O,O,O,O,X,X,X
IOZJTLS,O,X,X,O,X,X,X,X,O
IOZJTSL,O,X,X,O,O,X,X,X,O
IOZJLTS,O,X,X,O,X,X,X,X,O
IOZJLST,O,X,X,X,O,O,X,X,X
IOZJSTL,O,X,X,O,O,O,O,X,X
IOZJSLT,O,X,X,X,O,O,O,X,X
IOZSTLJ,O,O,O,O,X,O,X,X,O
IOZSTJL,O,X,O,O,O,O,O,O,O
IOZSLTJ,O,O,O,O,X,O,X,X,O
IOZSLJT,O,O,O,O,O,O,O,X,X
IOZSJTL,O,X,O,O,O,O,O,O,X
IOZSJLT,O,O,O,O,O,O,O,X,X
LTIJSZO,O,O,O,O,X,X,X,X,X
LTIJSOZ,O,X,X,O,X,X,X,O,X
LTIJZSO,O,X,X,O,X,X,X,X,X
LTIJZOS,O,X,X,O,X,X,X,X,X
LTIJOSZ,O,X,X,O,X,X,X,X,X
LTIJOZS,O,X,X,O,X,X,X,X,X
LTISJZO,O,O,O,O,X,X,X,X,X
LTISJOZ,O,X,X,O,X,X,X,X,X
LTISZJO,O,O,O,O,X,X,X,X,X
LTISZOJ,O,O,O,O,X,X,X,X,X
LTISOJZ,O,O,O,X,X,X,X,O,X
LTISOZJ,X,O,O,O,X,X,X,X,X
LTIZJSO,O,X,X,X,X,X,X,X,X
LTIZJOS,O,X,X,X,X,X,X,X,X
LTIZSJO,O,O,O,X,X,X,X,X,X
LTIZSOJ,O,O,O,X,X,X,X,X,X
LTIZOJS,O,X,X,X,X,X,X,X,O
LTIZOSJ,O,X,X,X,X,O,X,X,O
LTIOJSZ,O,X,X,X,X,X,X,X,X
LTIOJZS,O,X,X,X,X,X,X,X,X
LTIOSJZ,O,O,O,X,X,X,X,O,X
LTIOSZJ,O,O,O,O,X,X,X,X,X
LTIOZJS,O,X,X,X,X,X,X,X,O
LTIOZSJ,O,X,X,X,X,O,X,X,O
LTJISZO,O,O,O,O,X,X,X,X,X
LTJISOZ,O,X,X,O,X,X,X,O,X
LTJIZSO,O,X,X,O,X,X,X,X,X
LTJIZOS,O,X,X,O,X,X,X,X,X
LTJIOSZ,O,X,X,O,X,X,X,X,X
LTJIOZS,O,X,X,O,X,X,X,X,X
LTJSIZO,O,O,O,O,X,X,X,X,X
LTJSIOZ,O,X,X,O,X,X,X,O,X
LTJSZIO,O,O,O,O,X,X,X,X,X
LTJSZOI,O,O,O,O,X,X,X,X,X
LTJSOIZ,O,X,X,O,X,X,X,O,X
LTJSOZI,X,X,X,O,X,X,X,O,X
LTJZISO,O,X,X,O,X,X,X,X,X
LTJZIOS,O,X,X,O,X,X,X,X,X
LTJZSIO,O,X,X,X,X,X,X,X,X
LTJZSOI,O,X,X,X,X,X,X,X,X
LTJZOIS,O,X,X,X,X,X,X,X,X
LTJZOSI,O,X,X,X,X,X,X,X,X
LTJOISZ,O,X,X,O,X,X,X,X,X
LTJOIZS,O,X,X,O,X,X,X,X,X
LTJOSIZ,O,X,X,O,X,X,X,X,X
LTJOSZI,O,X,X,O,X,X,X,X,X
LTJOZIS,O,X,X,O,X,X,X,X,X
LTJOZSI,O,X,X,X,X,X,X,X,X
LTSIJZO,O,O,O,O,X,X,X,X,X
LTSIJOZ,O,X,X,O,X,X,X,X,X
LTSIZJO,O,O,O,O,X,X,X,X,X
LTSIZOJ,O,O,O,O,X,X,X,X,X
LTSIOJZ,O,O,O,X,X,X,X,O,X
LTSIOZJ,X,O,O,O,X,X,X,X,X
LTSJIZO,O,O,O,O,X,X,X,X,X
LTSJIOZ,O,X,X,O,X,X,X,X,X
LTSJZIO,O,O,O,O,X,X,X,X,X
LTSJZOI,X,O,O,O,X,X,X,X,X
LTSJOIZ,O,X,X,O,X,X,X,X,X
LTSJOZI,X,X,X,O,X,X,X,X,X
LTSZIJO,O,O,O,O,X,X,X,X,X
LTSZIOJ,O,O,O,O,X,X,X,X,X
LTSZJIO,O,O,O,O,X,X,X,X,X
LTSZJOI,O,O,O,O,X,X,X,X,X
LTSZOIJ,O,O,O,O,X,X,X,X,X
LTSZOJI,X,O,O,X,X,X,X,X,X
LTSOIJZ,O,O,O,X,X,X,X,O,X
LTSOIZJ,X,O,O,O,X,X,X,X,X
LTSOJIZ,X,O,O,O,X,X,X,O,X
LTSOJZI,X,O,O,O,X,X,X,O,X
LTSOZIJ,X,O,O,O,X,X,X,X,X
LTSOZJI,X,O,O,O,X,X,X,X,X
LTZIJSO,O,X,X,X,X,X,X,X,X
LTZIJOS,O,X,X,X,X,X,X,X,X
LTZISJO,O,O,O,X,X,X,X,X,X
LTZISOJ,O,O,O,X,X,X,X,X,X
LTZIOJS,O,X,X,X,X,X,X,X,O
LTZIOSJ,O,X,X,X,X,O,X,X,O
LTZJISO,O,X,X,X,X,X,X,X,X
LTZJIOS,O,X,X,X,X,X,X,X,X
LTZJSIO,O,X,X,X,X,X,X,X,X
LTZJSOI,O,X,X,X,X,X,X,X,X
LTZJOIS,O,X,X,X,X,X,X,X,X
LTZJOSI,O,X,X,X,X,X,X,X,X
LTZSIJO,O,O,O,X,X,X,X,X,X
LTZSIOJ,O,O,O,X,X,X,X,X,X
LTZSJIO,O,O,O,X,X,X,X,X,X
LTZSJOI,O,O,O,X,X,X,X,X,X
LTZSOIJ,O,O,O,X,X,X,X,X,X
LTZSOJI,X,O,O,X,X,X,X,X,X
LTZOIJS,O,X,X,X,X,X,X,X,O
LTZOISJ,O,X,X,X,X,O,X,X,O
LTZOJIS,O,X,X,X,X,X,X,X,O
LTZOJSI,O,X,X,X,X,X,X,X,O
LTZOSIJ,O,X,X,X,X,O,X,X,O
LTZOSJI,O,X,X,X,X,O,X,X,O
LTOIJSZ,O,X,X,X,X,X,X,X,X
LTOIJZS,O,X,X,X,X,X,X,X,X
LTOISJZ,O,O,O,X,X,X,X,O,X
LTOISZJ,O,O,O,O,X,X,X,X,X
