sequence,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFqfBmbBzcBF?mBXqB0qB,v115@6gC8GeC8FeD8AeA8CeF8DeE8Jei6IvhFRcBckBlgB3?hBeqBzqB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFqfBmbBzcBF?mB0qBXqB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFFbB8gBzcBf?lBOrBSvB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFXcB8hBzfBa?rBGlBVvB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhF3bBzcBUlBF?mBupByvB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFmcBflBlgBc?mBqqBzpB,v115@6gC8GeC8FeD8AeA8CeF8DeE8Jei7IvhFOkBRhB3hBF?lBzqB0pB
ISTOZJL,O,X,X,X,X,O,X,X
ISLTJZO,O,X,X,O,X,X,X,X
ISLTJOZ,O,X,O,O,X,X,X,X
ISLTZJO,O,X,O,O,X,X,X,X
ISLTZOJ,O,X,O,O,X,X,X,X
ISLTOJZ,O,X,O,X,X,X,X,X
ISLTOZJ,O,X,O,O,X,X,X,X
ISLJTZO,O,X,X,O,X,X,X,X
ISLJTOZ,O,X,X,O,X,X,X,X
ISLJZTO,X,O,X,O,X,X,O,X
ISLJZOT,X,O,X,O,X,X,X,X
ISLJOTZ,O,X,X,O,X,X,X,X
ISLJOZT,X,X,X,O,X,X,X,X
ISLZTJO,O,O,O,O,X,X,O,X
ISLZTOJ,O,O,O,O,O,X,X,X
ISLZJTO,X,O,X,O,X,X,O,X
ISLZJOT,X,O,X,O,O,X,X,X
ISLZOTJ,O,O,O,O,O,X,X,X
ISLZOJT,X,O,X,O,O,X,X,X
ISLOTJZ,O,X,O,X,X,X,X,X
ISLOTZJ,O,X,O,O,X,X,X,X
ISLOJTZ,O,X,X,O,X,X,X,X
ISLOJZT,X,O,X,O,X,X,X,X
ISLOZTJ,O,O,O,O,O,X,X,X
ISLOZJT,X,O,X,O,O,X,X,X
ISJTLZO,O,O,X,O,X,X,X,X
ISJTLOZ,O,X,X,X,X,X,X,X
ISJTZLO,O,O,X,O,X,X,O,X
ISJTZOL,O,O,X,O,X,X,O,X
ISJTOLZ,O,X,X,X,X,X,X,X
ISJTOZL,O,O,X,O,X,X,X,X
ISJLTZO,O,X,X,O,X,X,X,X
ISJLTOZ,O,X,X,O,X,X,X,X
ISJLZTO,X,O,X,O,X,X,O,X
ISJLZOT,X,O,X,O,X,X,X,X
ISJLOTZ,O,X,X,O,X,X,X,X
ISJLOZT,X,X,X,O,X,X,X,X
ISJZTLO,X,O,X,O,X,X,O,X
ISJZTOL,X,O,X,O,X,X,O,X
ISJZLTO,X,O,X,O,X,X,O,X
ISJZLOT,X,O,X,O,X,X,X,X
ISJZOTL,X,X,X,O,X,X,O,X
ISJZOLT,X,O,X,O,X,X,X,X
ISJOTLZ,O,X,X,X,X,X,X,X
ISJOTZL,O,O,X,O,X,X,X,X
ISJOLTZ,O,X,X,O,X,X,X,X
ISJOLZT,X,O,X,O,X,X,X,X
ISJOZTL,X,O,X,O,X,X,O,X
ISJOZLT,X,O,X,O,X,X,X,X
ISZTLJO,O,O,X,O,O,O,O,X
ISZTLOJ,O,O,X,O,O,O,X,X
ISZTJLO,O,O,X,X,X,O,O,X
ISZTJOL,O,X,X,X,X,O,O,X
ISZTOLJ,O,X,X,X,O,O,X,X
ISZTOJL,O,X,X,X,X,O,O,X
ISZLTJO,O,O,O,O,X,X,O,X
ISZLTOJ,O,O,O,O,O,X,X,X
ISZLJTO,X,O,X,O,X,X,O,X
ISZLJOT,X,O,X,O,O,X,X,X
ISZLOTJ,O,O,O,O,O,X,X,X
ISZLOJT,X,O,X,O,O,X,X,X
ISZJTLO,X,O,X,O,X,X,O,X
ISZJTOL,X,O,X,O,X,X,O,X
ISZJLTO,X,O,X,O,X,X,O,X
ISZJLOT,X,O,X,O,O,X,X,X
ISZJOTL,X,X,X,O,X,X,O,X
ISZJOLT,X,O,X,O,O,X,X,X
ISZOTLJ,O,O,X,X,O,O,X,X
ISZOTJL,O,X,X,X,X,O,O,X
ISZOLTJ,O,O,O,O,O,X,X,X
ISZOLJT,X,O,X,O,O,X,X,X
ISZOJTL,X,O,X,O,X,X,O,X
ISZOJLT,X,O,X,O,O,X,X,X
ISOTLJZ,O,X,O,X,X,X,X,X
ISOTLZJ,O,X,O,O,O,X,X,X
ISOTJLZ,O,X,O,X,X,X,X,X
ISOTJZL,O,O,X,O,X,X,X,X
ISOTZLJ,O,O,X,X,O,O,X,X
ISOTZJL,O,X,X,X,X,O,X,X
ISOLTJZ,O,X,O,X,X,X,X,X
ISOLTZJ,O,X,O,O,X,X,X,X
ISOLJTZ,O,X,X,O,X,X,X,X
ISOLJZT,X,O,X,O,X,X,X,X
ISOLZTJ,O,O,O,O,O,X,X,X
ISOLZJT,X,O,X,O,O,X,X,X
ISOJTLZ,O,O,X,X,X,X,X,X
ISOJTZL,O,O,X,O,X,X,X,X
ISOJLTZ,O,X,X,O,X,X,X,X
ISOJLZT,X,O,X,O,X,X,X,X
ISOJZTL,X,O,X,O,X,X,O,X
ISOJZLT,X,O,X,O,X,X,X,X
ISOZTLJ,O,O,X,X,O,O,X,X
ISOZTJL,O,X,X,X,X,O,O,X
ISOZLTJ,O,O,O,O,O,X,X,X
ISOZLJT,X,O,X,O,O,X,X,X
ISOZJTL,X,O,X,O,X,X,O,X
ISOZJLT,X,O,X,O,O,X,X,X
IZTLJSO,X,X,O,X,O,O,X,X
IZTLJOS,O,X,O,X,O,O,X,X
IZTLSJO,O,X,O,X,O,O,X,X
IZTLSOJ,O,X,O,X,O,O,X,X
IZTLOJS,O,X,O,X,O,O,X,X
IZTLOSJ,O,X,O,X,O,O,X,X
IZTJLSO,X,X,O,X,O,O,X,X
IZTJLOS,O,X,O,X,O,O,X,X
IZTJSLO,X,X,X,X,X,O,O,X
IZTJSOL,X,X,X,X,X,O,O,X
IZTJOLS,O,X,O,X,O,O,X,X
IZTJOSL,X,X,X,X,X,O,X,X
IZTSLJO,O,X,X,X,O,O,O,X
IZTSLOJ,O,X,X,X,O,O,X,X
IZTSJLO,O,X,X,X,X,O,O,X
IZTSJOL,O,X,X,X,X,O,O,X
IZTSOLJ,O,X,X,X,O,O,X,X
IZTSOJL,O,X,X,X,X,O,O,X
IZTOLJS,O,X,O,X,O,O,X,X
IZTOLSJ,O,X,O,X,O,O,X,X
IZTOJLS,O,X,O,X,O,O,X,X
IZTOJSL,X,X,X,X,X,O,X,X
IZTOSLJ,O,X,X,X,O,O,X,X
IZTOSJL,O,X,X,X,X,O,X,X
IZLTJSO,X,X,O,X,O,O,X,X
IZLTJOS,O,X,O,X,O,O,X,X
IZLTSJO,O,X,O,O,O,O,X,X
IZLTSOJ,O,X,O,O,O,O,X,X
IZLTOJS,O,X,O,X,O,O,X,X
IZLTOSJ,O,X,O,O,O,O,X,X
IZLJTSO,X,O,O,O,X,X,X,X
IZLJTOS,X,O,O,O,X,X,X,X
IZLJSTO,X,O,X,O,X,X,O,X
IZLJSOT,X,O,X,O,O,X,X,X
IZLJOTS,X,O,O,O,X,X,X,X
IZLJOST,X,O,X,O,O,X,X,X
IZLSTJO,O,O,O,O,X,X,O,X
IZLSTOJ,O,O,O,O,O,X,X,X
IZLSJTO,X,O,X,O,X,X,O,X
IZLSJOT,X,O,X,O,O,X,X,X
IZLSOTJ,O,O,O,O,O,X,X,X
IZLSOJT,X,O,X,O,O,X,X,X
IZLOTJS,O,X,O,X,O,O,X,X
IZLOTSJ,O,X,O,O,O,O,X,X
IZLOJTS,X,O,O,X,X,X,X,X
IZLOJST,X,O,X,O,O,X,X,X
IZLOSTJ,O,O,O,O,O,X,X,X
IZLOSJT,X,O,X,O,O,X,X,X
IZJTLSO,X,O,X,X,O,O,X,X
IZJTLOS,X,O,X,X,O,O,X,X
IZJTSLO,X,O,X,O,X,O,O,X
IZJTSOL,X,O,X,O,X,O,O,X
IZJTOLS,X,O,X,X,O,O,X,X
IZJTOSL,X,X,X,O,X,O,X,X
IZJLTSO,X,O,O,O,X,X,X,X
IZJLTOS,X,O,O,O,X,X,X,X
IZJLSTO,X,O,X,O,X,X,O,X
IZJLSOT,X,O,X,O,O,X,X,X
IZJLOTS,X,O,O,O,X,X,X,X
IZJLOST,X,O,X,O,O,X,X,X
IZJSTLO,X,O,X,O,X,X,O,X
IZJSTOL,X,O,X,O,X,X,O,X
IZJSLTO,X,O,X,O,X,X,O,X
IZJSLOT,X,O,X,O,O,X,X,X
IZJSOTL,X,X,X,O,X,X,O,X
IZJSOLT,X,O,X,O,O,X,X,X
IZJOTLS,X,O,X,X,O,O,X,X
IZJOTSL,X,O,X,O,X,O,X,X
IZJOLTS,X,O,O,O,X,X,X,X
IZJOLST,X,O,X,O,O,X,X,X
IZJOSTL,X,O,X,O,X,X,O,X
IZJOSLT,X,O,X,O,O,X,X,X
IZSTLJO,O,O,X,O,O,O,O,X
IZSTLOJ,O,O,X,O,O,O,X,X
IZSTJLO,O,O,X,X,X,O,O,X
IZSTJOL,O,X,X,X,X,O,O,X
IZSTOLJ,O,X,X,X,O,O,X,X
IZSTOJL,O,X,X,X,X,O,O,X
IZSLTJO,O,O,O,O,X,X,O,X
IZSLTOJ,O,O,O,O,O,X,X,X
IZSLJTO,X,O,X,O,X,X,O,X
IZSLJOT,X,O,X,O,O,X,X,X
IZSLOTJ,O,O,O,O,O,X,X,X
IZSLOJT,X,O,X,O,O,X,X,X
IZSJTLO,X,O,X,O,X,X,O,X
IZSJTOL,X,O,X,O,X,X,O,X
IZSJLTO,X,O,X,O,X,X,O,X
IZSJLOT,X,O,X,O,O,X,X,X
IZSJOTL,X,X,X,O,X,X,O,X
IZSJOLT,X,O,X,O,O,X,X,X
IZSOTLJ,O,O,X,X,O,O,X,X
IZSOTJL,O,X,X,X,X,O,O,X
IZSOLTJ,O,O,O,O,O,X,X,X
IZSOLJT,X,O,X,O,O,X,X,X
IZSOJTL,X,O,X,O,X,X,O,X
IZSOJLT,X,O,X,O,O,X,X,X
IZOTLJS,O,X,O,X,O,O,X,X
IZOTLSJ,O,X,O,X,O,O,X,X
IZOTJLS,O,X,O,X,O,O,X,X
IZOTJSL,X,X,X,X,X,O,X,X
IZOTSLJ,O,X,X,X,O,O,X,X
IZOTSJL,O,X,X,X,X,O,X,X
IZOLTJS,O,X,O,X,O,O,X,X
IZOLTSJ,O,X,O,O,O,O,X,X
IZOLJTS,X,O,O,X,X,X,X,X
IZOLJST,X,O,X,O,O,X,X,X
IZOLSTJ,O,O,O,O,O,X,X,X
IZOLSJT,X,O,X,O,O,X,X,X
IZOJTLS,X,O,X,X,O,O,X,X
IZOJTSL,X,O,X,O,X,O,X,X
IZOJLTS,X,O,O,O,X,X,X,X
IZOJLST,X,O,X,O,O,X,X,X
IZOJSTL,X,O,X,O,X,X,O,X
IZOJSLT,X,O,X,O,O,X,X,X
IZOSTLJ,O,O,X,X,O,O,X,X
IZOSTJL,O,X,X,X,X,O,O,X
IZOSLTJ,O,O,O,O,O,X,X,X
IZOSLJT,X,O,X,O,O,X,X,X
IZOSJTL,X,O,X,O,X,X,O,X
IZOSJLT,X,O,X,O,O,X,X,X
IOTLJSZ,O,X,O,X,X,X,X,O
IOTLJZS,O,X,O,X,O,X,X,O
IOTLSJZ,O,X,O,X,X,X,X,O
IOTLSZJ,O,X,O,O,O,X,X,X
IOTLZJS,O,X,O,X,O,O,X,O
IOTLZSJ,O,X,O,O,O,O,X,X
IOTJLSZ,O,X,O,O,X,X,X,O
IOTJLZS,O,X,O,O,O,X,X,O
IOTJSLZ,O,X,O,X,X,X,X,O
IOTJSZL,O,X,X,O,X,X,X,X
IOTJZLS,O,X,O,X,O,O,X,O
IOTJZSL,X,X,X,O,X,O,X,X
IOTSLJZ,O,X,O,X,X,X,X,O
IOTSLZJ,O,X,O,O,O,X,X,X
IOTSJLZ,O,X,O,X,X,X,X,O
IOTSJZL,O,X,X,O,X,X,X,X
IOTSZLJ,O,X,X,X,O,O,X,X
IOTSZJL,O,X,X,X,X,O,X,X
IOTZLJS,O,X,O,X,O,O,X,O
IOTZLSJ,O,X,O,X,O,O,X,X
IOTZJLS,O,X,O,X,O,O,X,O
IOTZJSL,X,X,X,X,X,O,X,X
IOTZSLJ,O,X,X,X,O,O,X,X
IOTZSJL,O,X,X,X,X,O,X,X
IOLTJSZ,O,X,O,X,X,X,X,O
IOLTJZS,O,X,O,X,O,X,X,O
IOLTSJZ,O,X,O,X,X,X,X,O
IOLTSZJ,O,X,O,O,O,X,X,X
IOLTZJS,O,X,O,X,O,O,X,O
IOLTZSJ,O,X,O,O,O,O,X,X
IOLJTSZ,O,X,O,O,X,X,X,O
IOLJTZS,O,X,O,O,X,X,X,O
IOLJSTZ,O,X,X,O,X,X,X,X
IOLJSZT,X,X,X,O,X,X,X,X
IOLJZTS,X,X,O,O,X,X,X,X
IOLJZST,X,X,X,O,O,X,X,X
IOLSTJZ,O,X,O,X,X,X,X,O
IOLSTZJ,O,X,O,O,X,X,X,X
IOLSJTZ,O,X,X,O,X,X,X,X
IOLSJZT,X,X,X,O,X,X,X,X
IOLSZTJ,O,X,O,O,O,X,X,X
IOLSZJT,X,X,X,O,O,X,X,X
IOLZTJS,O,X,O,X,O,O,X,O
IOLZTSJ,O,X,O,O,O,O,X,X
IOLZJTS,X,X,O,X,X,X,X,X
IOLZJST,X,X,X,O,O,X,X,X
IOLZSTJ,O,X,O,O,O,X,X,X
IOLZSJT,X,X,X,O,O,X,X,X
IOJTLSZ,O,X,O,O,X,X,X,O
IOJTLZS,O,O,O,O,O,X,X,O
IOJTSLZ,O,O,O,X,X,X,X,O
IOJTSZL,O,O,X,O,X,X,X,X
IOJTZLS,O,O,O,X,O,O,X,O
IOJTZSL,X,O,X,O,X,O,X,X
IOJLTSZ,O,X,O,O,X,X,X,O
IOJLTZS,O,X,O,O,X,X,X,O
IOJLSTZ,O,X,X,O,X,X,X,X
IOJLSZT,X,X,X,O,X,X,X,X
IOJLZTS,X,X,O,O,X,X,X,X
IOJLZST,X,X,X,O,O,X,X,X
IOJSTLZ,O,O,X,X,X,X,X,X
IOJSTZL,O,O,X,O,X,X,X,X
IOJSLTZ,O,X,X,O,X,X,X,X
IOJSLZT,X,O,X,O,X,X,X,X
IOJSZTL,X,O,X,O,X,X,O,X
IOJSZLT,X,O,X,O,X,X,X,X
IOJZTLS,X,O,X,X,O,O,X,X
IOJZTSL,X,O,X,O,X,O,X,X
IOJZLTS,X,O,O,O,X,X,X,X
IOJZLST,X,O,X,O,O,X,X,X
IOJZSTL,X,O,X,O,X,X,O,X
IOJZSLT,X,O,X,O,O,X,X,X
IOSTLJZ,O,X,O,X,X,X,X,O
IOSTLZJ,O,X,O,O,O,X,X,X
IOSTJLZ,O,X,O,X,X,X,X,O
IOSTJZL,O,O,X,O,X,X,X,X
IOSTZLJ,O,O,X,X,O,O,X,X
IOSTZJL,O,X,X,X,X,O,X,X
IOSLTJZ,O,X,O,X,X,X,X,O
IOSLTZJ,O,X,O,O,X,X,X,X
IOSLJTZ,O,X,X,O,X,X,X,X
IOSLJZT,X,O,X,O,X,X,X,X
IOSLZTJ,O,O,O,O,O,X,X,X
IOSLZJT,X,O,X,O,O,X,X,X
IOSJTLZ,O,O,X,X,X,X,X,X
IOSJTZL,O,O,X,O,X,X,X,X
IOSJLTZ,O,X,X,O,X,X,X,X
IOSJLZT,X,O,X,O,X,X,X,X
IOSJZTL,X,O,X,O,X,X,O,X
IOSJZLT,X,O,X,O,X,X,X,X
IOSZTLJ,O,O,X,X,O,O,X,X
IOSZTJL,O,X,X,X,X,O,O,X
IOSZLTJ,O,O,O,O,O,X,X,X
IOSZLJT,X,O,X,O,O,X,X,X
IOSZJTL,X,O,X,O,X,X,O,X
IOSZJLT,X,O,X,O,O,X,X,X
IOZTLJS,O,X,O,X,O,O,X,O
IOZTLSJ,O,X,O,X,O,O,X,X
IOZTJLS,O,X,O,X,O,O,X,O
IOZTJSL,X,X,X,X,X,O,X,X
IOZTSLJ,O,X,X,X,O,O,X,X
IOZTSJL,O,X,X,X,X,O,X,X
IOZLTJS,O,X,O,X,O,O,X,O
IOZLTSJ,O,X,O,O,O,O,X,X
IOZLJTS,X,O,O,X,X,X,X,X
IOZLJST,X,O,X,O,O,X,X,X
IOZLSTJ,O,O,O,O,O,X,X,X
IOZLSJT,X,O,X,O,O,X,X,X
IOZJTLS,X,O,X,X,O,O,X,X
IOZJTSL,X,O,X,O,X,O,X,X
IOZJLTS,X,O,O,O,X,X,X,X
IOZJLST,X,O,X,O,O,X,X,X
IOZJSTL,X,O,X,O,X,X,O,X
IOZJSLT,X,O,X,O,O,X,X,X
IOZSTLJ,O,O,X,X,O,O,X,X
IOZSTJL,O,X,X,X,X,O,O,X
IOZSLTJ,O,O,O,O,O,X,X,X
IOZSLJT,X,O,X,O,O,X,X,X
IOZSJTL,X,O,X,O,X,X,O,X
IOZSJLT,X,O,X,O,O,X,X,X
LTIJSZO,O,X,X,O,X,X,X,X
LTIJSOZ,O,X,O,O,X,X,X,X
LTIJZSO,X,X,O,O,O,X,X,X
LTIJZOS,O,X,O,O,O,X,X,X
LTIJOSZ,O,X,O,O,X,X,X,X
LTIJOZS,O,X,O,O,O,X,X,X
LTISJZO,O,X,X,O,X,X,X,X
LTISJOZ,O,X,O,O,X,X,X,X
LTISZJO,O,X,O,O,O,X,X,X
LTISZOJ,O,X,O,O,O,X,X,X
LTISOJZ,O,X,O,X,X,X,X,X
LTISOZJ,O,X,O,O,O,X,X,X
LTIZJSO,X,X,O,X,O,O,X,X
LTIZJOS,O,X,O,X,O,O,X,X
LTIZSJO,O,X,O,O,O,O,X,X
LTIZSOJ,O,X,O,O,O,O,X,X
LTIZOJS,O,X,O,X,O,O,X,X
LTIZOSJ,O,X,O,O,O,O,X,X
LTIOJSZ,O,X,O,X,X,X,X,X
LTIOJZS,O,X,O,X,O,X,X,X
LTIOSJZ,O,X,O,X,X,X,X,X
LTIOSZJ,O,X,O,O,O,X,X,X
LTIOZJS,O,X,O,X,O,O,X,X
LTIOZSJ,O,X,O,O,O,O,X,X
LTJISZO,O,X,X,O,X,X,X,X
LTJISOZ,O,X,O,O,X,X,X,X
LTJIZSO,X,X,O,O,O,X,X,X
LTJIZOS,O,X,O,O,O,X,X,X
LTJIOSZ,O,X,O,O,X,X,X,X
LTJIOZS,O,X,O,O,O,X,X,X
LTJSIZO,O,X,X,O,X,X,X,X
LTJSIOZ,O,X,O,O,X,X,X,X
LTJSZIO,O,X,X,O,X,X,X,X
LTJSZOI,O,X,X,O,X,X,X,X
LTJSOIZ,O,X,O,O,X,X,X,X
LTJSOZI,O,X,X,O,X,X,X,X
LTJZISO,X,X,X,O,O,X,X,X
LTJZIOS,O,X,O,O,O,X,X,X
LTJZSIO,X,X,X,O,O,X,X,X
LTJZSOI,X,X,X,O,O,X,X,X
LTJZOIS,O,X,O,O,O,X,X,X
LTJZOSI,X,X,X,O,O,X,X,X
LTJOISZ,O,X,O,O,X,X,X,X
LTJOIZS,O,X,O,O,O,X,X,X
LTJOSIZ,O,X,O,O,X,X,X,X
LTJOSZI,O,X,X,O,X,X,X,X
LTJOZIS,O,X,O,O,O,X,X,X
LTJOZSI,X,X,X,O,O,X,X,X
LTSIJZO,O,X,X,O,X,X,X,X
LTSIJOZ,O,X,O,O,X,X,X,X
LTSIZJO,O,X,O,O,O,X,X,X
LTSIZOJ,O,X,O,O,O,X,X,X
LTSIOJZ,O,X,O,X,X,X,X,X
LTSIOZJ,O,X,O,O,O,X,X,X
LTSJIZO,O,X,X,O,X,X,X,X
LTSJIOZ,O,X,O,O,X,X,X,X
LTSJZIO,O,X,X,O,X,X,X,X
LTSJZOI,O,X,X,O,X,X,X,X
LTSJOIZ,O,X,O,O,X,X,X,X
LTSJOZI,O,X,X,O,X,X,X,X
LTSZIJO,O,X,X,O,O,X,X,X
LTSZIOJ,O,X,X,O,O,X,X,X
LTSZJIO,O,X,X,O,O,X,X,X
LTSZJOI,O,X,X,O,O,X,X,X
LTSZOIJ,O,X,X,O,O,X,X,X
LTSZOJI,O,X,X,O,O,X,X,X
LTSOIJZ,O,X,O,X,X,X,X,X
LTSOIZJ,O,X,O,O,O,X,X,X
LTSOJIZ,O,X,O,X,X,X,X,X
LTSOJZI,O,X,X,X,X,X,X,X
LTSOZIJ,O,X,X,O,O,X,X,X
LTSOZJI,O,X,X,O,O,X,X,X
LTZIJSO,X,X,O,X,O,O,X,X
LTZIJOS,O,X,O,X,O,O,X,X
LTZISJO,O,X,O,O,O,O,X,X
LTZISOJ,O,X,O,O,O,O,X,X
LTZIOJS,O,X,O,X,O,O,X,X
LTZIOSJ,O,X,O,O,O,O,X,X
LTZJISO,X,X,O,X,O,X,X,X
LTZJIOS,O,X,O,X,O,X,X,X
LTZJSIO,X,X,O,X,O,X,X,X
LTZJSOI,X,X,O,X,O,X,X,X
LTZJOIS,O,X,O,X,O,X,X,X
LTZJOSI,X,X,O,X,O,X,X,X
LTZSIJO,X,X,O,O,O,O,X,X
LTZSIOJ,X,X,O,O,O,O,X,X
LTZSJIO,X,X,O,O,O,X,X,X
LTZSJOI,X,X,O,O,O,X,X,X
LTZSOIJ,X,X,O,O,O,O,X,X
LTZSOJI,X,X,O,O,O,X,X,X
LTZOIJS,O,X,O,X,O,O,X,X
LTZOISJ,O,X,O,O,O,O,X,X
LTZOJIS,O,X,O,X,O,X,X,X
LTZOJSI,X,X,O,X,O,X,X,X
LTZOSIJ,X,X,O,O,O,O,X,X
LTZOSJI,X,X,O,O,O,X,X,X
LTOIJSZ,O,X,O,X,X,X,X,X
LTOIJZS,O,X,O,X,O,X,X,X
LTOISJZ,O,X,O,X,X,X,X,X
LTOISZJ,O,X,O,O,O,X,X,X
LTOIZJS,O,X,O,X,O,O,X,X
LTOIZSJ,O,X,O,O,O,O,X,X
LTOJISZ,O,X,O,X,X,X,X,X
LTOJIZS,O,X,O,X,O,X,X,X
LTOJSIZ,O,X,O,X,X,X,X,X
LTOJSZI,O,X,X,X,X,X,X,X
LTOJZIS,O,X,O,X,O,X,X,X
LTOJZSI,X,X,X,X,O,X,X,X
LTOSIJZ,O,X,O,X,X,X,X,X
LTOSIZJ,O,X,O,O,O,X,X,X
LTOSJIZ,O,X,O,X,X,X,X,X
LTOSJZI,O,X,X,X,X,X,X,X
LTOSZIJ,O,X,X,O,O,X,X,X
LTOSZJI,O,X,X,O,O,X,X,X
LTOZIJS,O,X,O,X,O,O,X,X
LTOZISJ,O,X,O,O,O,O,X,X
LTOZJIS,O,X,O,X,O,X,X,X
LTOZJSI,X,X,O,X,O,X,X,X
LTOZSIJ,X,X,O,O,O,O,X,X
LTOZSJI,X,X,O,O,O,X,X,X
LITJSZO,O,X,X,O,X,X,X,X
LITJSOZ,O,X,O,O,X,X,X,X
LITJZSO,X,X,O,O,O,X,X,X
LITJZOS,O,X,O,O,O,X,X,X
LITJOSZ,O,X,O,O,X,X,X,X
LITJOZS,O,X,O,O,O,X,X,X
LITSJZO,O,X,X,O,X,X,X,X
LITSJOZ,O,X,O,O,X,X,X,X
LITSZJO,O,X,O,O,O,X,X,X
LITSZOJ,O,X,O,O,O,X,X,X
LITSOJZ,O,X,O,X,X,X,X,X
LITSOZJ,O,X,O,O,O,X,X,X
LITZJSO,X,X,O,X,O,O,X,X
LITZJOS,O,X,O,X,O,O,X,X
LITZSJO,O,X,O,O,O,O,X,X
LITZSOJ,O,X,O,O,O,O,X,X
LITZOJS,O,X,O,X,O,O,X,X
LITZOSJ,O,X,O,O,O,O,X,X
LITOJSZ,O,X,O,X,X,X,X,X
LITOJZS,O,X,O,X,O,X,X,X
LITOSJZ,O,X,O,X,X,X,X,X
LITOSZJ,O,X,O,O,O,X,X,X
LITOZJS,O,X,O,X,O,O,X,X
LITOZSJ,O,X,O,O,O,O,X,X
LIJTSZO,O,X,X,O,X,X,X,X
LIJTSOZ,O,X,O,O,X,X,X,X
LIJTZSO,X,X,O,O,X,X,X,X
LIJTZOS,O,X,O,O,X,X,X,X
LIJTOSZ,O,X,O,O,X,X,X,X
LIJTOZS,O,X,O,O,X,X,X,X
LIJSTZO,O,X,X,O,X,X,X,X
LIJSTOZ,O,X,X,O,X,X,X,X
LIJSZTO,X,X,X,O,X,X,O,X
LIJSZOT,X,X,X,O,X,X,X,X
LIJSOTZ,O,X,X,O,X,X,X,X
LIJSOZT,X,X,X,O,X,X,X,X
LIJZTSO,X,X,O,O,X,X,X,X
LIJZTOS,X,X,O,O,X,X,X,X
LIJZSTO,X,X,X,O,X,X,O,X
LIJZSOT,X,X,X,O,O,X,X,X
LIJZOTS,X,X,O,O,X,X,X,X
LIJZOST,X,X,X,O,O,X,X,X
LIJOTSZ,O,X,O,O,X,X,X,X
LIJOTZS,O,X,O,O,X,X,X,X
LIJOSTZ,O,X,X,O,X,X,X,X
LIJOSZT,X,X,X,O,X,X,X,X
LIJOZTS,X,X,O,O,X,X,X,X
LIJOZST,X,X,X,O,O,X,X,X
LISTJZO,O,X,X,O,X,X,X,X
LISTJOZ,O,X,O,O,X,X,X,X
LISTZJO,O,X,O,O,X,X,X,X
LISTZOJ,O,X,O,O,X,X,X,X
LISTOJZ,O,X,O,X,X,X,X,X
LISTOZJ,O,X,O,O,X,X,X,X
LISJTZO,O,X,X,O,X,X,X,X
LISJTOZ,O,X,X,O,X,X,X,X
LISJZTO,X,X,X,O,X,X,O,X
LISJZOT,X,X,X,O,X,X,X,X
LISJOTZ,O,X,X,O,X,X,X,X
LISJOZT,X,X,X,O,X,X,X,X
LISZTJO,O,X,O,O,X,X,O,X
LISZTOJ,O,X,O,O,O,X,X,X
LISZJTO,X,X,X,O,X,X,O,X
LISZJOT,X,X,X,O,O,X,X,X
LISZOTJ,O,X,O,O,O,X,X,X
LISZOJT,X,X,X,O,O,X,X,X
LISOTJZ,O,X,O,X,X,X,X,X
LISOTZJ,O,X,O,O,X,X,X,X
LISOJTZ,O,X,X,O,X,X,X,X
LISOJZT,X,X,X,O,X,X,X,X
LISOZTJ,O,X,O,O,O,X,X,X
LISOZJT,X,X,X,O,O,X,X,X
LIZTJSO,X,X,O,X,O,O,X,X
LIZTJOS,O,X,O,X,O,O,X,X
LIZTSJO,O,X,O,O,O,O,X,X
LIZTSOJ,O,X,O,O,O,O,X,X
LIZTOJS,O,X,O,X,O,O,X,X
LIZTOSJ,O,X,O,O,O,O,X,X
LIZJTSO,X,X,O,O,X,X,X,X
LIZJTOS,X,X,O,O,X,X,X,X
LIZJSTO,X,X,X,O,X,X,O,X
LIZJSOT,X,X,X,O,O,X,X,X
LIZJOTS,X,X,O,O,X,X,X,X
LIZJOST,X,X,X,O,O,X,X,X
LIZSTJO,O,X,O,O,X,X,O,X
LIZSTOJ,O,X,O,O,O,X,X,X
LIZSJTO,X,X,X,O,X,X,O,X
LIZSJOT,X,X,X,O,O,X,X,X
LIZSOTJ,O,X,O,O,O,X,X,X
LIZSOJT,X,X,X,O,O,X,X,X
LIZOTJS,O,X,O,X,O,O,X,X
LIZOTSJ,O,X,O,O,O,O,X,X
LIZOJTS,X,X,O,X,X,X,X,X
LIZOJST,X,X,X,O,O,X,X,X
LIZOSTJ,O,X,O,O,O,X,X,X
LIZOSJT,X,X,X,O,O,X,X,X
LIOTJSZ,O,X,O,X,X,X,X,X
LIOTJZS,O,X,O,X,O,X,X,X
LIOTSJZ,O,X,O,X,X,X,X,X
LIOTSZJ,O,X,O,O,O,X,X,X
LIOTZJS,O,X,O,X,O,O,X,X
LIOTZSJ,O,X,O,O,O,O,X,X
