sequence,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhF3gBzhBGjByqBUo?BFsB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFclBemBzhBfoB6o?BFsB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFamBUiBGjBTlBfs?BVyB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFzgBUiBFjB2qBfs?BSyB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFclBmhBCjBXmBTo?BFsB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFUhBFiBXjBTlBSt?BmrB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFclBymBziB+oBXm?BFsB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFamBFiB8nB+oBTl?BfsB
ISLTOJZ,O,X,O,O,X,O,X,X
ISLTOZJ,O,O,O,O,X,O,X,X
ISLJTZO,O,O,O,O,X,O,X,O
ISLJTOZ,O,X,O,O,X,O,X,X
ISLJZTO,O,O,O,O,X,O,X,O
ISLJZOT,O,O,X,O,X,O,X,O
ISLJOTZ,X,X,X,O,X,O,X,O
ISLJOZT,X,X,X,O,X,O,X,O
ISLZTJO,O,O,O,O,X,O,X,X
ISLZTOJ,O,O,O,O,X,O,X,X
ISLZJTO,O,O,O,O,X,O,X,O
ISLZJOT,O,O,X,O,X,O,X,O
ISLZOTJ,O,O,O,O,X,O,X,X
ISLZOJT,O,O,O,O,X,O,X,X
ISLOTJZ,O,X,O,O,X,O,X,O
ISLOTZJ,O,O,O,O,X,O,X,X
ISLOJTZ,X,X,O,O,X,O,X,O
ISLOJZT,X,X,O,O,X,O,X,O
ISLOZTJ,O,O,O,O,X,O,X,X
ISLOZJT,O,O,O,O,X,O,X,O
ISJTLZO,X,O,O,O,X,O,O,O
ISJTLOZ,X,X,O,O,X,O,O,X
ISJTZLO,X,O,O,O,X,O,O,O
ISJTZOL,X,O,O,O,X,X,O,O
ISJTOLZ,X,X,O,O,X,X,O,O
ISJTOZL,X,X,O,O,X,X,O,O
ISJLTZO,X,O,O,O,X,O,X,O
ISJLTOZ,X,X,O,O,X,O,X,X
ISJLZTO,X,O,O,O,X,O,X,O
ISJLZOT,X,O,X,O,X,O,X,O
ISJLOTZ,X,X,X,O,X,O,X,O
ISJLOZT,X,X,X,O,X,O,X,O
ISJZTLO,X,O,O,O,X,O,O,O
ISJZTOL,X,O,O,O,X,X,O,O
ISJZLTO,X,O,O,O,X,O,X,O
ISJZLOT,X,O,X,O,X,O,X,O
ISJZOTL,X,O,O,O,X,X,O,O
ISJZOLT,X,O,O,O,X,X,X,O
ISJOTLZ,X,X,O,O,X,X,O,O
ISJOTZL,X,X,O,O,X,X,O,O
ISJOLTZ,X,X,O,O,X,X,X,O
ISJOLZT,X,X,O,O,X,X,X,O
ISJOZTL,X,X,O,O,X,X,O,O
ISJOZLT,X,X,O,O,X,X,X,O
ISZTLJO,O,O,O,O,O,X,O,X
ISZTLOJ,O,O,O,O,O,X,X,X
ISZTJLO,O,O,O,O,O,X,O,X
ISZTJOL,O,O,O,O,O,X,O,X
ISZTOLJ,O,O,O,X,O,X,X,X
ISZTOJL,O,O,O,O,O,X,X,X
ISZLTJO,O,O,O,O,O,X,X,X
ISZLTOJ,O,O,O,O,O,X,X,X
ISZLJTO,O,O,O,O,X,X,X,O
ISZLJOT,O,O,X,O,O,X,X,O
ISZLOTJ,O,O,O,O,O,X,X,X
ISZLOJT,O,O,O,O,O,X,X,X
ISZJTLO,O,O,O,O,O,X,O,O
ISZJTOL,O,O,O,O,O,X,O,O
ISZJLTO,O,O,O,O,X,X,X,O
ISZJLOT,O,O,X,O,O,X,X,O
ISZJOTL,X,O,O,O,O,X,O,O
ISZJOLT,X,O,O,O,O,X,X,O
ISZOTLJ,X,O,O,X,O,X,X,X
ISZOTJL,X,O,O,O,O,X,X,X
ISZOLTJ,X,O,O,O,O,X,X,X
ISZOLJT,X,O,O,O,O,X,X,O
ISZOJTL,X,O,O,O,O,X,X,O
ISZOJLT,X,O,O,O,O,X,X,O
ISOTLJZ,X,X,O,X,X,X,X,O
ISOTLZJ,X,O,O,X,O,X,X,X
ISOTJLZ,X,X,O,X,X,X,X,O
ISOTJZL,X,X,O,X,X,X,X,O
ISOTZLJ,X,O,O,X,O,X,X,X
ISOTZJL,X,O,O,X,O,X,X,X
ISOLTJZ,X,X,O,O,X,O,X,O
ISOLTZJ,X,O,O,O,O,O,X,X
ISOLJTZ,X,X,O,O,X,O,X,O
ISOLJZT,X,X,O,O,X,O,X,O
ISOLZTJ,X,O,O,O,O,O,X,X
ISOLZJT,X,O,O,O,O,O,X,O
ISOJTLZ,X,X,O,O,X,O,X,O
ISOJTZL,X,X,O,O,X,O,X,O
ISOJLTZ,X,X,O,O,X,O,X,O
ISOJLZT,X,X,O,O,X,O,X,O
ISOJZTL,X,X,O,O,X,O,X,O
ISOJZLT,X,X,O,O,X,O,X,O
ISOZTLJ,X,O,O,X,O,O,X,X
ISOZTJL,X,O,O,O,O,X,X,X
ISOZLTJ,X,O,O,O,O,O,X,X
ISOZLJT,X,O,O,O,O,O,X,O
ISOZJTL,X,O,O,O,O,O,X,O
ISOZJLT,X,O,O,O,O,O,X,O
IZTLJSO,O,O,O,X,O,X,O,X
IZTLJOS,O,O,X,X,O,X,O,X
IZTLSJO,O,O,O,X,O,X,O,X
IZTLSOJ,O,O,O,X,X,X,X,X
IZTLOJS,O,X,X,X,O,X,O,X
IZTLOSJ,O,X,X,X,O,X,X,X
IZTJLSO,O,O,O,X,O,X,O,X
IZTJLOS,O,O,X,X,O,X,O,X
IZTJSLO,O,O,O,X,O,X,O,X
IZTJSOL,O,O,O,X,O,X,O,X
IZTJOLS,O,O,O,X,O,X,O,X
IZTJOSL,O,O,O,X,O,X,O,X
IZTSLJO,O,O,O,X,O,X,O,X
IZTSLOJ,O,O,O,X,O,X,X,X
IZTSJLO,O,O,O,X,O,X,O,X
IZTSJOL,O,O,O,X,O,X,O,X
IZTSOLJ,O,O,O,X,O,X,X,X
IZTSOJL,O,O,O,X,O,X,X,X
IZTOLJS,O,X,O,X,O,X,O,X
IZTOLSJ,O,X,O,X,O,X,X,X
IZTOJLS,O,O,O,X,O,X,O,X
IZTOJSL,O,O,O,X,O,X,O,X
IZTOSLJ,O,O,O,X,O,X,X,X
IZTOSJL,O,O,O,X,O,X,X,X
IZLTJSO,O,O,O,O,O,X,O,X
IZLTJOS,O,O,X,O,O,X,O,X
IZLTSJO,O,O,O,O,O,X,O,X
IZLTSOJ,O,O,O,O,X,X,X,X
IZLTOJS,O,X,X,X,O,X,O,X
IZLTOSJ,O,X,X,X,O,X,X,X
IZLJTSO,O,O,X,O,X,O,O,O
IZLJTOS,O,O,X,O,X,O,O,X
IZLJSTO,O,O,X,O,X,O,X,O
IZLJSOT,O,O,X,O,X,O,X,O
IZLJOTS,O,X,X,O,X,O,O,X
IZLJOST,O,O,X,O,X,O,X,O
IZLSTJO,O,O,O,O,O,O,X,X
IZLSTOJ,O,O,O,O,O,O,X,X
IZLSJTO,O,O,O,O,X,O,X,O
IZLSJOT,O,O,X,O,O,O,X,O
IZLSOTJ,O,O,O,O,O,O,X,X
IZLSOJT,O,O,X,O,O,O,X,X
IZLOTJS,O,X,X,X,O,O,X,X
IZLOTSJ,O,X,X,X,O,O,X,X
IZLOJTS,O,X,X,X,O,O,X,X
IZLOJST,O,O,X,X,O,O,X,X
IZLOSTJ,O,O,X,X,O,O,X,X
IZLOSJT,O,O,X,X,O,O,X,X
IZJTLSO,O,O,X,X,O,O,O,O
IZJTLOS,O,O,X,X,O,O,O,X
IZJTSLO,O,O,X,X,O,O,O,O
IZJTSOL,O,O,X,X,O,X,O,O
IZJTOLS,O,O,X,X,O,O,O,O
IZJTOSL,O,O,X,X,O,X,O,O
IZJLTSO,O,O,X,O,X,O,O,O
IZJLTOS,O,O,X,O,X,O,O,X
IZJLSTO,O,O,X,O,X,O,X,O
IZJLSOT,O,O,X,O,X,O,X,O
IZJLOTS,O,X,X,O,X,O,O,O
IZJLOST,O,O,X,O,X,O,X,O
IZJSTLO,O,O,X,O,O,O,O,O
IZJSTOL,O,O,X,O,O,X,O,O
IZJSLTO,O,O,X,O,X,O,X,O
IZJSLOT,O,O,X,O,O,O,X,O
IZJSOTL,X,O,X,O,O,X,O,O
IZJSOLT,X,O,X,O,O,X,X,O
IZJOTLS,O,O,X,X,O,O,O,O
IZJOTSL,O,O,X,X,O,X,O,O
IZJOLTS,O,X,X,O,O,O,O,O
IZJOLST,O,O,X,O,O,O,X,O
IZJOSTL,X,O,X,O,O,X,O,O
IZJOSLT,X,O,X,O,O,X,X,O
IZSTLJO,O,O,O,O,O,X,O,X
IZSTLOJ,O,O,O,O,O,X,X,X
IZSTJLO,O,O,O,O,O,X,O,X
IZSTJOL,O,O,O,O,O,X,O,X
IZSTOLJ,O,O,O,X,O,X,X,X
IZSTOJL,O,O,O,O,O,X,X,X
IZSLTJO,O,O,O,O,O,X,X,X
IZSLTOJ,O,O,O,O,O,X,X,X
IZSLJTO,O,O,O,O,X,X,X,O
IZSLJOT,O,O,X,O,O,X,X,O
IZSLOTJ,O,O,O,O,O,X,X,X
IZSLOJT,O,O,O,O,O,X,X,X
IZSJTLO,O,O,O,O,O,X,O,O
IZSJTOL,O,O,O,O,O,X,O,O
IZSJLTO,O,O,O,O,X,X,X,O
IZSJLOT,O,O,X,O,O,X,X,O
IZSJOTL,X,O,O,O,O,X,O,O
IZSJOLT,X,O,O,O,O,X,X,O
IZSOTLJ,X,O,O,X,O,X,X,X
IZSOTJL,X,O,O,O,O,X,X,X
IZSOLTJ,X,O,O,O,O,X,X,X
IZSOLJT,X,O,O,O,O,X,X,O
IZSOJTL,X,O,O,O,O,X,X,O
IZSOJLT,X,O,O,O,O,X,X,O
IZOTLJS,O,X,O,X,O,O,O,X
IZOTLSJ,O,X,O,X,O,O,X,X
IZOTJLS,O,O,O,X,O,O,O,X
IZOTJSL,O,O,O,X,O,O,O,X
IZOTSLJ,O,O,O,X,O,O,X,X
IZOTSJL,O,O,O,X,O,X,X,X
IZOLTJS,O,X,O,X,O,O,X,X
IZOLTSJ,O,X,O,X,O,O,X,X
IZOLJTS,O,X,X,X,O,O,X,O
IZOLJST,O,O,X,X,O,O,X,O
IZOLSTJ,O,O,O,X,O,O,X,X
IZOLSJT,O,O,O,X,O,O,X,O
IZOJTLS,O,O,X,X,O,O,O,O
IZOJTSL,O,O,X,X,O,O,O,O
IZOJLTS,O,X,X,X,O,O,O,O
IZOJLST,O,O,X,X,O,O,X,O
IZOJSTL,X,O,X,X,O,O,O,O
IZOJSLT,X,O,X,X,O,O,X,O
IZOSTLJ,X,O,O,X,O,O,X,X
IZOSTJL,X,O,O,X,O,X,X,X
IZOSLTJ,X,O,O,X,O,O,X,X
IZOSLJT,X,O,O,X,O,O,X,O
IZOSJTL,X,O,O,X,O,O,X,O
IZOSJLT,X,O,O,X,O,O,X,O
IOTLJSZ,O,X,O,X,X,O,O,O
IOTLJZS,O,X,O,X,O,O,O,O
IOTLSJZ,O,X,O,X,X,O,X,O
IOTLSZJ,O,X,O,X,O,O,X,X
IOTLZJS,O,X,O,X,O,O,O,X
IOTLZSJ,O,X,O,X,O,O,X,X
IOTJLSZ,O,X,O,X,X,O,O,O
IOTJLZS,O,X,O,X,O,O,O,O
IOTJSLZ,X,X,O,X,X,O,O,O
IOTJSZL,X,X,O,X,X,O,O,O
IOTJZLS,O,X,O,X,O,O,O,O
IOTJZSL,O,X,O,X,O,O,O,O
IOTSLJZ,O,X,O,X,X,X,X,O
IOTSLZJ,O,O,O,X,O,X,X,X
IOTSJLZ,X,X,O,X,X,X,X,O
IOTSJZL,X,X,O,X,X,X,X,O
IOTSZLJ,O,O,O,X,O,X,X,X
IOTSZJL,O,O,O,X,O,X,X,X
IOTZLJS,O,X,O,X,O,O,O,X
IOTZLSJ,O,X,O,X,O,O,X,X
IOTZJLS,O,O,O,X,O,O,O,X
IOTZJSL,O,O,O,X,O,O,O,X
IOTZSLJ,O,O,O,X,O,O,X,X
IOTZSJL,O,O,O,X,O,X,X,X
IOLTJSZ,O,X,O,O,X,O,X,O
IOLTJZS,O,X,O,O,O,O,X,O
IOLTSJZ,O,X,O,O,X,O,X,O
IOLTSZJ,O,X,O,O,O,O,X,X
IOLTZJS,O,X,O,X,O,O,X,X
IOLTZSJ,O,X,O,X,O,O,X,X
IOLJTSZ,X,X,O,O,X,O,X,O
IOLJTZS,X,X,O,O,O,O,X,O
IOLJSTZ,X,X,O,O,X,O,X,O
IOLJSZT,X,X,O,O,X,O,X,O
IOLJZTS,X,X,X,O,O,O,X,O
IOLJZST,X,X,X,O,O,O,X,O
IOLSTJZ,O,X,O,O,X,O,X,O
IOLSTZJ,O,O,O,O,O,O,X,X
IOLSJTZ,X,X,O,O,X,O,X,O
IOLSJZT,X,X,O,O,X,O,X,O
IOLSZTJ,O,O,O,O,O,O,X,X
IOLSZJT,O,O,O,O,O,O,X,O
IOLZTJS,O,X,O,X,O,O,X,X
IOLZTSJ,O,X,O,X,O,O,X,X
IOLZJTS,O,X,X,X,O,O,X,O
IOLZJST,O,O,X,X,O,O,X,O
IOLZSTJ,O,O,O,X,O,O,X,X
IOLZSJT,O,O,O,X,O,O,X,O
IOJTLSZ,X,X,O,O,X,O,O,O
IOJTLZS,X,X,O,O,O,O,O,O
IOJTSLZ,X,X,O,O,X,O,O,O
IOJTSZL,X,X,O,O,X,O,O,O
IOJTZLS,X,X,O,X,O,O,O,O
IOJTZSL,X,X,O,X,O,O,O,O
IOJLTSZ,X,X,O,O,X,O,O,O
IOJLTZS,X,X,O,O,O,O,O,O
IOJLSTZ,X,X,O,O,X,O,X,O
IOJLSZT,X,X,O,O,X,O,X,O
IOJLZTS,X,X,X,O,O,O,O,O
IOJLZST,X,X,X,O,O,O,X,O
IOJSTLZ,X,X,O,O,X,O,O,O
IOJSTZL,X,X,O,O,X,O,O,O
IOJSLTZ,X,X,O,O,X,O,X,O
IOJSLZT,X,X,O,O,X,O,X,O
IOJSZTL,X,X,O,O,X,O,O,O
IOJSZLT,X,X,O,O,X,O,X,O
IOJZTLS,X,X,X,X,O,O,O,O
IOJZTSL,X,X,X,X,O,O,O,O
IOJZLTS,X,X,X,O,O,O,O,O
IOJZLST,X,X,X,O,O,O,X,O
IOJZSTL,X,X,X,O,O,O,O,O
IOJZSLT,X,X,X,O,O,O,X,O
IOSTLJZ,X,X,O,X,X,X,X,O
IOSTLZJ,X,O,O,X,O,X,X,X
IOSTJLZ,X,X,O,X,X,X,X,O
IOSTJZL,X,X,O,X,X,X,X,O
IOSTZLJ,X,O,O,X,O,X,X,X
IOSTZJL,X,O,O,X,O,X,X,X
IOSLTJZ,X,X,O,O,X,O,X,O
IOSLTZJ,X,O,O,O,O,O,X,X
IOSLJTZ,X,X,O,O,X,O,X,O
IOSLJZT,X,X,O,O,X,O,X,O
IOSLZTJ,X,O,O,O,O,O,X,X
IOSLZJT,X,O,O,O,O,O,X,O
IOSJTLZ,X,X,O,O,X,O,X,O
IOSJTZL,X,X,O,O,X,O,X,O
IOSJLTZ,X,X,O,O,X,O,X,O
IOSJLZT,X,X,O,O,X,O,X,O
IOSJZTL,X,X,O,O,X,O,X,O
IOSJZLT,X,X,O,O,X,O,X,O
IOSZTLJ,X,O,O,X,O,O,X,X
IOSZTJL,X,O,O,O,O,X,X,X
IOSZLTJ,X,O,O,O,O,O,X,X
IOSZLJT,X,O,O,O,O,O,X,O
IOSZJTL,X,O,O,O,O,O,X,O
IOSZJLT,X,O,O,O,O,O,X,O
IOZTLJS,O,X,O,X,O,O,O,X
IOZTLSJ,O,X,O,X,O,O,X,X
IOZTJLS,O,O,O,X,O,O,O,X
IOZTJSL,O,O,O,X,O,O,O,X
IOZTSLJ,O,O,O,X,O,O,X,X
IOZTSJL,O,O,O,X,O,X,X,X
IOZLTJS,O,X,O,X,O,O,X,X
IOZLTSJ,O,X,O,X,O,O,X,X
IOZLJTS,O,X,X,X,O,O,X,O
IOZLJST,O,O,X,X,O,O,X,O
IOZLSTJ,O,O,O,X,O,O,X,X
IOZLSJT,O,O,O,X,O,O,X,O
IOZJTLS,O,O,X,X,O,O,O,O
IOZJTSL,O,O,X,X,O,O,O,O
IOZJLTS,O,X,X,X,O,O,O,O
IOZJLST,O,O,X,X,O,O,X,O
IOZJSTL,X,O,X,X,O,O,O,O
IOZJSLT,X,O,X,X,O,O,X,O
IOZSTLJ,X,O,O,X,O,O,X,X
IOZSTJL,X,O,O,X,O,X,X,X
IOZSLTJ,X,O,O,X,O,O,X,X
IOZSLJT,X,O,O,X,O,O,X,O
IOZSJTL,X,O,O,X,O,O,X,O
IOZSJLT,X,O,O,X,O,O,X,O
LTIJSZO,O,X,O,O,X,O,O,O
LTIJSOZ,O,X,O,O,X,O,O,X
LTIJZSO,O,X,O,O,O,O,O,O
LTIJZOS,O,X,X,O,O,O,O,X
LTIJOSZ,O,X,O,O,X,O,O,X
LTIJOZS,O,X,O,O,X,O,O,X
LTISJZO,O,O,O,O,X,O,O,O
LTISJOZ,O,X,O,O,X,O,O,X
LTISZJO,O,O,O,O,O,O,O,X
LTISZOJ,O,O,O,O,X,O,X,X
LTISOJZ,O,X,O,O,X,O,X,X
LTISOZJ,O,O,O,O,X,O,X,X
LTIZJSO,O,O,O,O,O,X,O,X
LTIZJOS,O,O,X,O,O,X,O,X
LTIZSJO,O,O,O,O,O,X,O,X
LTIZSOJ,O,O,O,O,X,X,X,X
LTIZOJS,O,X,X,X,O,X,O,X
LTIZOSJ,O,X,X,X,O,X,X,X
LTIOJSZ,O,X,O,O,X,O,O,X
LTIOJZS,O,X,O,O,O,O,O,X
LTIOSJZ,O,X,O,O,X,O,X,X
LTIOSZJ,O,X,O,O,O,O,X,X
LTIOZJS,O,X,O,X,O,O,O,X
LTIOZSJ,O,X,O,X,O,O,X,X
LTJISZO,O,X,O,O,X,O,O,O
LTJISOZ,O,X,O,O,X,O,O,X
LTJIZSO,O,X,O,O,O,O,O,O
LTJIZOS,O,X,X,O,O,O,O,X
LTJIOSZ,O,X,O,O,X,O,O,X
LTJIOZS,O,X,O,O,X,O,O,X
LTJSIZO,O,X,O,O,X,O,O,O
LTJSIOZ,O,X,O,O,X,O,O,X
LTJSZIO,O,X,O,O,X,O,O,O
LTJSZOI,O,X,O,O,X,O,O,O
LTJSOIZ,O,X,O,O,X,O,O,X
LTJSOZI,O,X,O,O,X,O,O,X
LTJZISO,O,X,O,O,O,O,O,O
LTJZIOS,O,X,X,O,O,O,O,X
LTJZSIO,O,X,O,O,O,O,O,O
LTJZSOI,O,X,O,O,X,O,O,O
LTJZOIS,O,X,X,O,O,O,O,X
LTJZOSI,O,X,X,O,X,O,O,X
LTJOISZ,O,X,O,O,X,O,O,X
LTJOIZS,O,X,O,O,X,O,O,X
LTJOSIZ,O,X,O,O,X,O,O,X
LTJOSZI,O,X,O,O,X,O,O,X
LTJOZIS,O,X,O,O,X,O,O,X
LTJOZSI,O,X,O,O,X,O,O,X
LTSIJZO,O,O,O,O,X,O,O,O
LTSIJOZ,O,X,O,O,X,O,O,X
LTSIZJO,O,O,O,O,O,O,O,X
LTSIZOJ,O,O,O,O,X,O,X,X
LTSIOJZ,O,X,O,O,X,O,X,X
LTSIOZJ,O,O,O,O,X,O,X,X
LTSJIZO,O,O,O,O,X,O,O,O
LTSJIOZ,O,X,O,O,X,O,O,X
LTSJZIO,O,O,O,O,X,O,O,O
LTSJZOI,O,O,O,O,X,O,O,O
LTSJOIZ,O,X,O,O,X,O,O,X
LTSJOZI,O,X,O,O,X,O,O,X
LTSZIJO,O,O,O,O,O,O,O,X
LTSZIOJ,O,O,O,O,X,O,X,X
LTSZJIO,O,O,O,O,O,O,O,X
LTSZJOI,O,O,O,O,X,O,O,X
LTSZOIJ,O,O,O,O,X,O,X,X
LTSZOJI,O,O,O,O,X,O,X,X
LTSOIJZ,O,X,O,O,X,O,X,X
LTSOIZJ,O,O,O,O,X,O,X,X
LTSOJIZ,O,X,O,O,X,O,X,X
LTSOJZI,O,X,O,O,X,O,X,X
LTSOZIJ,O,O,O,O,X,O,X,X
LTSOZJI,O,O,O,O,X,O,X,X
LTZIJSO,O,O,O,O,O,X,O,X
LTZIJOS,O,O,X,O,O,X,O,X
LTZISJO,O,O,O,O,O,X,O,X
LTZISOJ,O,O,O,O,X,X,X,X
LTZIOJS,O,X,X,X,O,X,O,X
LTZIOSJ,O,X,X,X,O,X,X,X
LTZJISO,O,O,O,O,O,X,O,X
LTZJIOS,O,O,X,O,O,X,O,X
LTZJSIO,O,O,O,O,O,X,O,X
LTZJSOI,O,O,O,O,X,X,O,X
LTZJOIS,O,O,X,O,O,X,O,X
LTZJOSI,O,O,X,O,O,X,O,X
LTZSIJO,O,O,O,O,O,X,O,X
LTZSIOJ,O,O,O,O,X,X,X,X
LTZSJIO,O,O,O,O,O,X,O,X
LTZSJOI,O,O,O,O,X,X,O,X
LTZSOIJ,O,O,O,O,X,X,X,X
LTZSOJI,O,O,O,O,X,X,X,X
LTZOIJS,O,X,X,X,O,X,O,X
LTZOISJ,O,X,X,X,O,X,X,X
LTZOJIS,O,X,X,X,O,X,O,X
LTZOJSI,O,X,X,X,O,X,O,X
LTZOSIJ,O,X,X,X,O,X,X,X
LTZOSJI,O,X,X,X,O,X,X,X
LTOIJSZ,O,X,O,O,X,O,O,X
LTOIJZS,O,X,O,O,O,O,O,X
LTOISJZ,O,X,O,O,X,O,X,X
LTOISZJ,O,X,O,O,O,O,X,X
LTOIZJS,O,X,O,X,O,O,O,X
LTOIZSJ,O,X,O,X,O,O,X,X
LTOJISZ,O,X,O,O,X,O,O,X
LTOJIZS,O,X,O,O,O,O,O,X
LTOJSIZ,O,X,O,O,X,O,O,X
LTOJSZI,O,X,O,O,X,O,O,X
LTOJZIS,O,X,O,O,O,O,O,X
LTOJZSI,O,X,O,O,O,O,O,X
LTOSIJZ,O,X,O,O,X,O,X,X
LTOSIZJ,O,X,O,O,O,O,X,X
LTOSJIZ,O,X,O,O,X,O,X,X
LTOSJZI,O,X,O,O,X,O,X,X
LTOSZIJ,O,X,O,O,O,O,X,X
LTOSZJI,O,X,O,O,O,O,X,X
LTOZIJS,O,X,O,X,O,O,O,X
LTOZISJ,O,X,O,X,O,O,X,X
LTOZJIS,O,X,O,X,O,O,O,X
LTOZJSI,O,X,O,X,O,O,O,X
LTOZSIJ,O,X,O,X,O,O,X,X
LTOZSJI,O,X,O,X,O,O,X,X
LITJSZO,O,X,O,O,X,O,O,O
LITJSOZ,O,X,O,O,X,O,O,X
LITJZSO,O,X,O,O,O,O,O,O
LITJZOS,O,X,X,O,O,O,O,X
LITJOSZ,O,X,O,O,X,O,O,X
LITJOZS,O,X,O,O,X,O,O,X
LITSJZO,O,O,O,O,X,O,O,O
LITSJOZ,O,X,O,O,X,O,O,X
LITSZJO,O,O,O,O,O,O,O,X
LITSZOJ,O,O,O,O,X,O,X,X
LITSOJZ,O,X,O,O,X,O,X,X
LITSOZJ,O,O,O,O,X,O,X,X
LITZJSO,O,O,O,O,O,X,O,X
LITZJOS,O,O,X,O,O,X,O,X
LITZSJO,O,O,O,O,O,X,O,X
LITZSOJ,O,O,O,O,X,X,X,X
LITZOJS,O,X,X,X,O,X,O,X
LITZOSJ,O,X,X,X,O,X,X,X
LITOJSZ,O,X,O,O,X,O,O,X
LITOJZS,O,X,O,O,O,O,O,X
LITOSJZ,O,X,O,O,X,O,X,X
LITOSZJ,O,X,O,O,O,O,X,X
LITOZJS,O,X,O,X,O,O,O,X
LITOZSJ,O,X,O,X,O,O,X,X
LIJTSZO,O,X,O,O,X,O,O,O
LIJTSOZ,O,X,O,O,X,O,O,X
LIJTZSO,O,X,O,O,X,O,O,O
LIJTZOS,O,X,X,O,X,O,O,X
LIJTOSZ,O,X,O,O,X,O,O,X
LIJTOZS,O,X,X,O,X,O,O,X
LIJSTZO,O,O,O,O,X,O,X,O
LIJSTOZ,O,X,O,O,X,O,X,X
LIJSZTO,O,O,O,O,X,O,X,O
LIJSZOT,O,O,X,O,X,O,X,O
LIJSOTZ,X,X,X,O,X,O,X,O
LIJSOZT,X,X,X,O,X,O,X,O
LIJZTSO,O,O,X,O,X,O,O,O
LIJZTOS,O,X,X,O,X,O,O,X
LIJZSTO,O,O,X,O,X,O,X,O
LIJZSOT,O,O,X,O,X,O,X,O
LIJZOTS,O,X,X,O,X,O,O,O
LIJZOST,O,O,X,O,X,O,X,O
LIJOTSZ,X,X,X,O,X,O,O,O
LIJOTZS,X,X,X,O,X,O,O,O
LIJOSTZ,X,X,X,O,X,O,X,O
LIJOSZT,X,X,X,O,X,O,X,O
LIJOZTS,X,X,X,O,X,O,O,O
LIJOZST,X,X,X,O,X,O,X,O
LISTJZO,O,O,O,O,X,O,X,O
LISTJOZ,O,X,O,O,X,O,X,X
LISTZJO,O,O,O,O,X,O,X,X
LISTZOJ,O,O,O,O,X,O,X,X
LISTOJZ,O,X,O,O,X,O,X,X
LISTOZJ,O,O,O,O,X,O,X,X
LISJTZO,O,O,O,O,X,O,X,O
LISJTOZ,O,X,O,O,X,O,X,X
LISJZTO,O,O,O,O,X,O,X,O
LISJZOT,O,O,X,O,X,O,X,O
LISJOTZ,X,X,X,O,X,O,X,O
LISJOZT,X,X,X,O,X,O,X,O
LISZTJO,O,O,O,O,X,O,X,X
LISZTOJ,O,O,O,O,X,O,X,X
LISZJTO,O,O,O,O,X,O,X,O
LISZJOT,O,O,X,O,X,O,X,O
LISZOTJ,O,O,O,O,X,O,X,X
LISZOJT,O,O,O,O,X,O,X,X
LISOTJZ,O,X,O,O,X,O,X,O
LISOTZJ,O,O,O,O,X,O,X,X
LISOJTZ,X,X,O,O,X,O,X,O
LISOJZT,X,X,O,O,X,O,X,O
LISOZTJ,O,O,O,O,X,O,X,X
LISOZJT,O,O,O,O,X,O,X,O
LIZTJSO,O,O,O,O,O,X,O,X
LIZTJOS,O,O,X,O,O,X,O,X
LIZTSJO,O,O,O,O,O,X,O,X
LIZTSOJ,O,O,O,O,X,X,X,X
LIZTOJS,O,X,X,X,O,X,O,X
LIZTOSJ,O,X,X,X,O,X,X,X
LIZJTSO,O,O,X,O,X,O,O,O
LIZJTOS,O,O,X,O,X,O,O,X
LIZJSTO,O,O,X,O,X,O,X,O
LIZJSOT,O,O,X,O,X,O,X,O
LIZJOTS,O,X,X,O,X,O,O,X
LIZJOST,O,O,X,O,X,O,X,O
LIZSTJO,O,O,O,O,O,O,X,X
LIZSTOJ,O,O,O,O,O,O,X,X
LIZSJTO,O,O,O,O,X,O,X,O
LIZSJOT,O,O,X,O,O,O,X,O
LIZSOTJ,O,O,O,O,O,O,X,X
LIZSOJT,O,O,X,O,O,O,X,X
LIZOTJS,O,X,X,X,O,O,X,X
LIZOTSJ,O,X,X,X,O,O,X,X
LIZOJTS,O,X,X,X,O,O,X,X
LIZOJST,O,O,X,X,O,O,X,X
LIZOSTJ,O,O,X,X,O,O,X,X
LIZOSJT,O,O,X,X,O,O,X,X
LIOTJSZ,O,X,O,O,X,O,X,O
LIOTJZS,O,X,O,O,O,O,X,O
LIOTSJZ,O,X,O,O,X,O,X,O
LIOTSZJ,O,X,O,O,O,O,X,X
LIOTZJS,O,X,O,X,O,O,X,X
LIOTZSJ,O,X,O,X,O,O,X,X
LIOJTSZ,X,X,O,O,X,O,X,O
LIOJTZS,X,X,O,O,O,O,X,O
LIOJSTZ,X,X,O,O,X,O,X,O
LIOJSZT,X,X,O,O,X,O,X,O
LIOJZTS,X,X,X,O,O,O,X,O
LIOJZST,X,X,X,O,O,O,X,O
LIOSTJZ,O,X,O,O,X,O,X,O
