sequence,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFOhB8hBCjBXoBlr?BxxB,v115@zgB8HeB8HeD8BeH8EeF8Oei7IvhFzcBWjBUhBXoBlr?BxxB,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFicB3hBunBcoBlr?BxxB,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFldB3hBOmBcoBCs?BxxB,v115@zgB8HeB8HeD8BeH8EeF8Oei7IvhFWiBxdBUhBlrB3s?BTtB,v115@zgB8HeB8HeD8BeH8EeF8Oex7IvhFXdBTeBmgB1rBUt?BSxB,v115@zgB8HeB8HeD8BeH8EeF8Oex7IvhFXdBTeB6rBmlBcs?BVyB,v115@zgB8HeB8HeD8BeH8EeF8Oe2AJvhFTeB3hBqnBFmB8r?BxxB,v115@zgB8HeB8HeD8BeH8EeF8Oex7IvhF8hBCeBmgBlrB3s?BTtB,v115@zgB8HeB8HeD8BeH8EeF8Oei7IvhFXdBUhBFoBxrBWx?BTtB,v115@zgB8HeB8HeD8BeH8EeF8Oe2AJvhFSjB3hBFmB8rBzn?BxxB,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFZhBldBqrBfnBco?BWyB,v115@zgB8HeB8HeD8BeH8EeF8Oei7IvhFWiBTeBUhBxrBVy?BXsB,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFxdB3hB2rBCoBVy?B0rB,v115@zgB8HeB8HeD8BeH8EeF8Oe2AJvhFCdBxiBUhBlrB3s?BTtB,v115@zgB8HeB8HeD8BeH8EeF8Oex7IvhFXdB0mBmlBFoBSx?BTtB,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFOhBCeB1rBXoB8r?BxxB
JSTOLIZ,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JSTOLZI,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JSTOZIL,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTOZLI,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JSITLZO,X,O,X,O,X,O,X,X,X,X,O,X,X,O,O,X,X
JSITLOZ,X,X,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X
JSITZLO,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JSITZOL,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSITOLZ,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
JSITOZL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSILTZO,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSILTOZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JSILZTO,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSILZOT,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JSILOTZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JSILOZT,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JSIZTLO,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JSIZTOL,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZLTO,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JSIZLOT,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JSIZOTL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZOLT,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSIOTLZ,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JSIOTZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOLTZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JSIOLZT,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JSIOZTL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOZLT,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLTIZO,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X
JSLTIOZ,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
JSLTZIO,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JSLTZOI,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JSLTOIZ,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JSLTOZI,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JSLITZO,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JSLITOZ,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JSLIZTO,X,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JSLIZOT,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JSLIOTZ,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JSLIOZT,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JSLZTIO,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLZTOI,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLZITO,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSLZIOT,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSLZOTI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZOIT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOTIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSLOTZI,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSLOITZ,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JSLOIZT,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JSLOZTI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOZIT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTILO,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSZTIOL,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JSZTLIO,X,X,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
JSZTLOI,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JSZTOIL,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JSZTOLI,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JSZITLO,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
JSZITOL,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZILTO,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JSZILOT,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JSZIOTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZIOLT,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZLTIO,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JSZLTOI,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZLITO,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JSZLIOT,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSZLOTI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLOIT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTIL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTLI,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSZOITL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOILT,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZOLTI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLIT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTILZ,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JSOTIZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTLIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOTLZI,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOTZIL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTZLI,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOITLZ,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JSOITZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOILTZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JSOILZT,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JSOIZTL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOIZLT,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOLTIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOLTZI,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOLITZ,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JSOLIZT,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JSOLZTI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLZIT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZTIL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZTLI,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOZITL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZILT,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOZLTI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLIT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTILSO,X,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X
JZTILOS,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZTISLO,O,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X
JZTISOL,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JZTIOLS,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZTIOSL,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JZTLISO,X,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X
JZTLIOS,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZTLSIO,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
JZTLSOI,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JZTLOIS,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZTLOSI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTSILO,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JZTSIOL,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JZTSLIO,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
JZTSLOI,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JZTSOIL,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JZTSOLI,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JZTOILS,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZTOISL,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JZTOLIS,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZTOLSI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTOSIL,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZTOSLI,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZITLSO,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZITLOS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZITSLO,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZITSOL,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZITOLS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZITOSL,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZILTSO,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZILTOS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZILSTO,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JZILSOT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZILOTS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZILOST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISTLO,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZISTOL,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZISLTO,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JZISLOT,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZISOTL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISOLT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZIOTLS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOTSL,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZIOLTS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOLST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSTL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOSLT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLTISO,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
JZLTIOS,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLTSIO,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JZLTSOI,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZLTOIS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLTOSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLITSO,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
JZLITOS,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZLISTO,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
JZLISOT,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JZLIOTS,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZLIOST,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZLSTIO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTOI,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLSITO,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZLSIOT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZLSOTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSOIT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOTIS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLOTSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOITS,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZLOIST,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZLOSTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOSIT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTILO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSTIOL,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSTLIO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSTLOI,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSTOIL,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSTOLI,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSITLO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZSITOL,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZSILTO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSILOT,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZSIOTL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSIOLT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSLTIO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTOI,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSLITO,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSLIOT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSLOTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLOIT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOTIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOTLI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOITL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSOILT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSOLTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLIT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTILS,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZOTISL,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JZOTLIS,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZOTLSI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOTSIL,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZOTSLI,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZOITLS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOITSL,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZOILTS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOILST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOISTL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOISLT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOLTIS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOLTSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLITS,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZOLIST,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOLSTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLSIT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSTIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSTLI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSITL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOSILT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOSLTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLIT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTILSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTILZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTISLZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTISZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOTIZLS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTIZSL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTLISZ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOTLIZS,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
JOTLSIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTLSZI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JOTLZIS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOTLZSI,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTSILZ,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOTSIZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOTSLIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTSLZI,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JOTSZIL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOTSZLI,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JOTZILS,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTZISL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTZLIS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTZLSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTZSIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOTZSLI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOITLSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITLZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITSLZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOITSZL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOITZLS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOITZSL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOILTSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOILTZS,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOILSTZ,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JOILSZT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JOILZTS,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOILZST,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOISTLZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOISTZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISLTZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JOISLZT,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JOISZTL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISZLT,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOIZTLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZTSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZLTS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZLST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZSTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZSLT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOLTISZ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOLTIZS,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
JOLTSIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLTSZI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLTZIS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOLTZSI,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLITSZ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOLITZS,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOLISTZ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X
JOLISZT,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
JOLIZTS,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOLIZST,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLSTIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLSTZI,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLSITZ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X
JOLSIZT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JOLSZTI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSZIT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZTIS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOLZTSI,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLZITS,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOLZIST,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLZSTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZSIT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTILZ,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JOSTIZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTLIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSTLZI,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSTZIL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTZLI,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSITLZ,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JOSITZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSILTZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JOSILZT,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JOSIZTL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSIZLT,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOSLTIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSLTZI,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSLITZ,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JOSLIZT,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
JOSLZTI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLZIT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZTIL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZTLI,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSZITL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZILT,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
