sequence,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFicB9iBTeBfnB8s?B+tB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcBeiBtiB6jB/t?B0sB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhF/hBaiBGeBUjB9s?BTtB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcB0dBdnBSoBGt?BXtB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFicBTeBfnBGoBUt?B9sB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcB/iBGeBNoBUn?BSyB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFmcB6jB0hB3nBTt?BtsB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcBXeBdnBCtB+t?B0sB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcBcjBXiBtsB+t?BisB
IJSLZTO,O,X,X,X,O,X,X,X,X
IJSLZOT,O,X,X,X,O,X,X,X,X
IJSLOTZ,X,O,X,X,X,X,X,X,X
IJSLOZT,O,X,X,X,X,X,X,X,X
IJSZTLO,O,O,X,X,O,X,X,X,O
IJSZTOL,O,O,X,X,O,X,X,X,O
IJSZLTO,O,O,X,X,O,X,X,X,X
IJSZLOT,O,O,X,X,O,X,X,X,X
IJSZOTL,O,O,X,X,O,X,X,X,X
IJSZOLT,O,O,X,X,O,X,X,X,X
IJSOTLZ,X,O,O,O,X,X,X,X,X
IJSOTZL,X,O,O,O,X,X,X,X,X
IJSOLTZ,X,O,X,X,X,X,X,X,X
IJSOLZT,O,X,X,X,X,X,X,X,X
IJSOZTL,O,O,X,X,X,X,X,X,X
IJSOZLT,O,O,X,X,X,X,X,X,X
IJZTLSO,O,X,X,O,X,X,X,X,O
IJZTLOS,O,X,X,O,X,X,X,X,X
IJZTSLO,O,O,X,O,O,X,X,X,O
IJZTSOL,O,O,X,O,O,X,X,X,O
IJZTOLS,O,X,X,O,X,X,X,X,X
IJZTOSL,O,O,X,O,O,X,X,X,O
IJZLTSO,O,X,X,O,X,O,X,X,O
IJZLTOS,O,X,X,O,X,O,X,X,X
IJZLSTO,O,O,X,X,O,O,X,X,X
IJZLSOT,O,O,X,X,O,O,X,X,X
IJZLOTS,O,X,X,X,X,O,X,X,X
IJZLOST,O,O,X,X,O,O,X,X,X
IJZSTLO,O,O,X,X,O,X,X,X,O
IJZSTOL,O,O,X,X,O,X,X,X,O
IJZSLTO,O,O,X,X,O,O,X,X,X
IJZSLOT,O,O,X,X,O,O,X,X,X
IJZSOTL,O,O,X,X,O,X,X,X,X
IJZSOLT,O,O,X,X,O,O,X,X,X
IJZOTLS,O,X,X,O,X,X,X,X,X
IJZOTSL,O,O,X,O,O,X,X,X,O
IJZOLTS,O,X,X,X,X,O,X,X,X
IJZOLST,O,O,X,X,O,O,O,X,X
IJZOSTL,O,O,X,X,O,X,X,X,X
IJZOSLT,O,O,X,X,O,O,O,X,X
IJOTLSZ,X,X,X,O,X,X,X,O,X
IJOTLZS,X,X,X,O,X,X,X,O,X
IJOTSLZ,X,O,O,O,X,X,X,X,O
IJOTSZL,X,O,O,O,X,X,X,X,O
IJOTZLS,O,X,O,O,X,X,X,X,X
IJOTZSL,O,O,O,O,X,X,X,X,O
IJOLTSZ,X,X,X,O,X,X,X,O,X
IJOLTZS,X,X,X,O,X,O,X,O,X
IJOLSTZ,X,O,X,X,X,X,X,X,X
IJOLSZT,O,X,X,X,X,X,O,X,X
IJOLZTS,O,X,X,X,X,O,X,X,X
IJOLZST,O,O,X,X,X,O,O,X,X
IJOSTLZ,X,O,O,O,X,X,X,X,X
IJOSTZL,X,O,O,O,X,X,X,X,X
IJOSLTZ,X,O,X,X,X,X,X,X,X
IJOSLZT,O,X,X,X,X,X,O,X,X
IJOSZTL,O,O,X,X,X,X,X,X,X
IJOSZLT,O,O,X,X,X,X,O,X,X
IJOZTLS,O,X,X,O,X,X,X,X,X
IJOZTSL,O,O,X,O,X,X,X,X,O
IJOZLTS,O,X,X,X,X,O,X,X,X
IJOZLST,O,O,X,X,X,O,O,X,X
IJOZSTL,O,O,X,X,X,X,X,X,X
IJOZSLT,O,O,X,X,X,O,O,X,X
ISTLJZO,O,O,O,X,X,X,X,O,X
ISTLJOZ,X,O,O,X,X,X,X,O,X
ISTLZJO,X,O,O,X,O,X,X,X,X
ISTLZOJ,X,X,O,X,X,X,X,X,X
ISTLOJZ,X,O,O,X,X,X,X,O,X
ISTLOZJ,X,X,O,X,X,X,X,X,X
ISTJLZO,O,O,O,O,X,X,X,X,X
ISTJLOZ,X,O,O,O,X,X,X,X,X
ISTJZLO,O,O,O,O,X,X,X,X,X
ISTJZOL,O,O,O,O,X,X,X,X,X
ISTJOLZ,X,O,O,O,X,X,X,X,X
ISTJOZL,X,O,O,O,X,X,X,X,X
ISTZLJO,X,O,O,X,O,X,X,X,X
ISTZLOJ,X,X,O,X,X,X,X,X,X
ISTZJLO,X,O,O,X,O,X,X,X,X
ISTZJOL,X,O,O,X,O,X,X,X,X
ISTZOLJ,X,X,O,X,X,X,X,X,X
ISTZOJL,X,X,O,X,X,X,X,X,X
ISTOLJZ,X,O,O,X,X,X,X,O,X
ISTOLZJ,X,X,O,X,X,X,X,X,X
ISTOJLZ,X,O,O,O,X,X,X,X,X
ISTOJZL,X,O,O,O,X,X,X,X,X
ISTOZLJ,X,X,O,X,X,X,X,X,X
ISTOZJL,X,X,O,X,X,X,X,X,X
ISLTJZO,O,O,O,X,X,X,X,O,X
ISLTJOZ,X,O,O,X,X,X,X,O,X
ISLTZJO,X,O,O,X,O,O,X,X,X
ISLTZOJ,X,X,O,X,X,O,X,X,X
ISLTOJZ,X,O,O,X,X,X,X,O,X
ISLTOZJ,X,X,O,X,X,O,X,X,X
ISLJTZO,O,O,O,X,X,X,X,X,X
ISLJTOZ,X,O,O,X,X,X,X,X,X
ISLJZTO,O,X,X,X,O,X,X,X,X
ISLJZOT,O,X,X,X,O,X,X,X,X
ISLJOTZ,X,O,X,X,X,X,X,X,X
ISLJOZT,O,X,X,X,X,X,X,X,X
ISLZTJO,X,O,O,X,O,O,X,X,X
ISLZTOJ,X,X,O,X,X,O,X,X,X
ISLZJTO,O,X,X,X,O,O,X,X,X
ISLZJOT,O,X,X,X,O,O,X,X,X
ISLZOTJ,X,X,X,X,X,O,X,X,X
ISLZOJT,X,X,X,X,O,O,X,X,X
ISLOTJZ,X,O,O,X,X,X,X,O,X
ISLOTZJ,X,X,O,X,X,O,X,X,X
ISLOJTZ,X,O,X,X,X,X,X,X,X
ISLOJZT,O,X,X,X,X,X,X,X,X
ISLOZTJ,X,X,X,X,X,O,X,X,X
ISLOZJT,X,X,X,X,O,O,X,X,X
ISJTLZO,O,O,O,O,X,X,X,X,O
ISJTLOZ,X,O,O,O,X,X,X,X,O
ISJTZLO,O,O,O,O,X,X,X,X,O
ISJTZOL,O,O,O,O,X,X,X,X,O
ISJTOLZ,X,O,O,O,X,X,X,X,O
ISJTOZL,X,O,O,O,X,X,X,X,O
ISJLTZO,O,O,O,O,X,X,X,X,X
ISJLTOZ,X,O,O,O,X,X,X,X,X
ISJLZTO,O,X,X,X,O,X,X,X,X
ISJLZOT,O,X,X,X,O,X,X,X,X
ISJLOTZ,X,O,X,X,X,X,X,X,X
ISJLOZT,O,X,X,X,X,X,X,X,X
ISJZTLO,O,O,X,X,O,X,X,X,O
ISJZTOL,O,O,X,X,O,X,X,X,O
ISJZLTO,O,O,X,X,O,X,X,X,X
ISJZLOT,O,O,X,X,O,X,X,X,X
ISJZOTL,O,O,X,X,O,X,X,X,X
ISJZOLT,O,O,X,X,O,X,X,X,X
ISJOTLZ,X,O,O,O,X,X,X,X,X
ISJOTZL,X,O,O,O,X,X,X,X,X
ISJOLTZ,X,O,X,X,X,X,X,X,X
ISJOLZT,O,X,X,X,X,X,X,X,X
ISJOZTL,O,O,X,X,X,X,X,X,X
ISJOZLT,O,O,X,X,X,X,X,X,X
ISZTLJO,X,O,O,X,O,O,X,X,X
ISZTLOJ,X,O,O,X,X,O,X,X,X
ISZTJLO,X,O,O,X,O,X,X,X,X
ISZTJOL,X,O,O,X,O,X,X,X,X
ISZTOLJ,X,O,O,X,X,O,X,X,X
ISZTOJL,X,O,O,X,X,X,X,X,X
ISZLTJO,X,O,O,X,O,O,X,X,X
ISZLTOJ,X,O,O,X,X,O,X,X,X
ISZLJTO,O,O,X,X,O,O,X,X,X
ISZLJOT,O,O,X,X,O,O,X,X,X
ISZLOTJ,X,O,X,X,X,O,X,X,X
ISZLOJT,X,O,X,X,O,O,X,X,X
ISZJTLO,O,O,X,X,O,X,X,X,X
ISZJTOL,O,O,X,X,O,X,X,X,X
ISZJLTO,O,O,X,X,O,O,X,X,X
ISZJLOT,O,O,X,X,O,O,X,X,X
ISZJOTL,O,O,X,X,O,X,X,X,X
ISZJOLT,O,O,X,X,O,O,X,X,X
ISZOTLJ,X,O,O,X,X,O,O,X,X
ISZOTJL,X,O,O,X,X,X,X,X,X
ISZOLTJ,X,O,X,X,X,O,O,X,X
ISZOLJT,X,O,X,X,O,O,O,X,X
ISZOJTL,X,O,X,X,O,X,X,X,X
ISZOJLT,X,O,X,X,O,O,O,X,X
ISOTLJZ,X,O,O,X,X,X,X,O,X
ISOTLZJ,X,X,O,X,X,X,O,X,X
ISOTJLZ,X,O,O,O,X,X,X,X,X
ISOTJZL,X,O,O,O,X,X,X,X,X
ISOTZLJ,X,X,O,X,X,X,O,X,X
ISOTZJL,X,X,O,X,X,X,X,X,X
ISOLTJZ,X,O,O,X,X,X,X,O,X
ISOLTZJ,X,X,O,X,X,O,O,X,X
ISOLJTZ,X,O,X,X,X,X,X,X,X
ISOLJZT,O,X,X,X,X,X,O,X,X
ISOLZTJ,X,X,X,X,X,O,O,X,X
ISOLZJT,X,X,X,X,O,O,O,X,X
ISOJTLZ,X,O,O,O,X,X,X,X,X
ISOJTZL,X,O,O,O,X,X,X,X,X
ISOJLTZ,X,O,X,X,X,X,X,X,X
ISOJLZT,O,X,X,X,X,X,O,X,X
ISOJZTL,O,O,X,X,X,X,X,X,X
ISOJZLT,O,O,X,X,X,X,O,X,X
ISOZTLJ,X,X,O,X,X,O,O,X,X
ISOZTJL,X,O,O,X,X,X,X,X,X
ISOZLTJ,X,X,X,X,X,O,O,X,X
ISOZLJT,X,O,X,X,O,O,O,X,X
ISOZJTL,X,O,X,X,O,X,X,X,X
ISOZJLT,X,O,X,X,O,O,O,X,X
IZTLJSO,X,X,O,X,X,O,X,O,X
IZTLJOS,X,X,X,X,X,O,X,O,X
IZTLSJO,X,X,O,X,O,O,X,X,X
IZTLSOJ,X,X,O,X,X,O,X,X,X
IZTLOJS,X,X,X,X,X,O,X,O,X
IZTLOSJ,X,X,X,X,X,O,X,X,X
IZTJLSO,X,X,O,O,X,X,X,X,X
IZTJLOS,X,X,X,O,X,X,X,X,X
IZTJSLO,X,O,O,O,O,X,X,X,X
IZTJSOL,X,O,O,O,O,X,X,X,X
IZTJOLS,X,X,X,O,X,X,X,X,X
IZTJOSL,X,O,O,O,O,X,X,X,X
IZTSLJO,X,O,O,X,O,O,X,X,X
IZTSLOJ,X,O,O,X,X,O,X,X,X
IZTSJLO,X,O,O,X,O,X,X,X,X
IZTSJOL,X,O,O,X,O,X,X,X,X
IZTSOLJ,X,O,O,X,X,O,X,X,X
IZTSOJL,X,O,O,X,X,X,X,X,X
IZTOLJS,X,X,O,X,X,O,X,O,X
IZTOLSJ,X,X,O,X,X,O,O,X,X
IZTOJLS,X,X,O,O,X,X,X,X,X
IZTOJSL,X,O,O,O,X,X,X,X,X
IZTOSLJ,X,X,O,X,X,O,O,X,X
IZTOSJL,X,O,O,X,X,X,X,X,X
IZLTJSO,X,X,X,X,X,O,X,O,X
IZLTJOS,X,X,X,X,X,O,X,O,X
IZLTSJO,X,X,X,X,O,O,X,X,X
IZLTSOJ,X,X,X,X,X,O,X,X,X
IZLTOJS,X,X,X,X,X,O,X,O,X
IZLTOSJ,X,X,X,X,X,O,X,X,X
IZLJTSO,O,X,X,X,X,O,X,X,X
IZLJTOS,X,X,X,X,X,O,X,X,X
IZLJSTO,O,O,X,X,O,O,X,X,X
IZLJSOT,O,O,X,X,O,O,X,X,X
IZLJOTS,X,X,X,X,X,O,X,X,X
IZLJOST,O,O,X,X,O,O,X,X,X
IZLSTJO,X,O,X,X,O,O,X,X,X
IZLSTOJ,X,O,X,X,X,O,X,X,X
IZLSJTO,O,O,X,X,O,O,X,X,X
IZLSJOT,O,O,X,X,O,O,X,X,X
IZLSOTJ,X,O,X,X,X,O,X,X,X
IZLSOJT,X,O,X,X,O,O,X,X,X
IZLOTJS,X,X,X,X,X,O,X,O,X
IZLOTSJ,X,X,X,X,X,O,O,X,X
IZLOJTS,X,X,X,X,X,O,X,X,X
IZLOJST,X,O,X,X,X,O,O,X,X
IZLOSTJ,X,X,X,X,X,O,O,X,X
IZLOSJT,X,O,X,X,O,O,O,X,X
IZJTLSO,O,X,X,O,X,X,X,X,O
IZJTLOS,O,X,X,O,X,X,X,X,X
IZJTSLO,O,O,X,O,O,X,X,X,O
IZJTSOL,O,O,X,O,O,X,X,X,O
IZJTOLS,O,X,X,O,X,X,X,X,X
IZJTOSL,O,O,X,O,O,X,X,X,O
IZJLTSO,O,X,X,O,X,O,X,X,O
IZJLTOS,O,X,X,O,X,O,X,X,X
IZJLSTO,O,O,X,X,O,O,X,X,X
IZJLSOT,O,O,X,X,O,O,X,X,X
IZJLOTS,O,X,X,X,X,O,X,X,X
IZJLOST,O,O,X,X,O,O,X,X,X
IZJSTLO,O,O,X,X,O,X,X,X,O
IZJSTOL,O,O,X,X,O,X,X,X,O
IZJSLTO,O,O,X,X,O,O,X,X,X
IZJSLOT,O,O,X,X,O,O,X,X,X
IZJSOTL,O,O,X,X,O,X,X,X,X
IZJSOLT,O,O,X,X,O,O,X,X,X
IZJOTLS,O,X,X,O,X,X,X,X,X
IZJOTSL,O,O,X,O,O,X,X,X,O
IZJOLTS,O,X,X,X,X,O,X,X,X
IZJOLST,O,O,X,X,O,O,O,X,X
IZJOSTL,O,O,X,X,O,X,X,X,X
IZJOSLT,O,O,X,X,O,O,O,X,X
IZSTLJO,X,O,O,X,O,O,X,X,X
IZSTLOJ,X,O,O,X,X,O,X,X,X
IZSTJLO,X,O,O,X,O,X,X,X,X
IZSTJOL,X,O,O,X,O,X,X,X,X
IZSTOLJ,X,O,O,X,X,O,X,X,X
IZSTOJL,X,O,O,X,X,X,X,X,X
IZSLTJO,X,O,O,X,O,O,X,X,X
IZSLTOJ,X,O,O,X,X,O,X,X,X
IZSLJTO,O,O,X,X,O,O,X,X,X
IZSLJOT,O,O,X,X,O,O,X,X,X
IZSLOTJ,X,O,X,X,X,O,X,X,X
IZSLOJT,X,O,X,X,O,O,X,X,X
IZSJTLO,O,O,X,X,O,X,X,X,X
IZSJTOL,O,O,X,X,O,X,X,X,X
IZSJLTO,O,O,X,X,O,O,X,X,X
IZSJLOT,O,O,X,X,O,O,X,X,X
IZSJOTL,O,O,X,X,O,X,X,X,X
IZSJOLT,O,O,X,X,O,O,X,X,X
IZSOTLJ,X,O,O,X,X,O,O,X,X
IZSOTJL,X,O,O,X,X,X,X,X,X
IZSOLTJ,X,O,X,X,X,O,O,X,X
IZSOLJT,X,O,X,X,O,O,O,X,X
IZSOJTL,X,O,X,X,O,X,X,X,X
IZSOJLT,X,O,X,X,O,O,O,X,X
IZOTLJS,X,X,O,X,X,O,X,O,X
IZOTLSJ,X,X,O,X,X,O,O,X,X
IZOTJLS,X,X,O,O,X,X,X,X,X
IZOTJSL,X,O,O,O,X,X,X,X,X
IZOTSLJ,X,X,O,X,X,O,O,X,X
IZOTSJL,X,O,O,X,X,X,X,X,X
IZOLTJS,X,X,X,X,X,O,X,O,X
IZOLTSJ,X,X,X,X,X,O,O,X,X
IZOLJTS,X,X,X,X,X,O,X,X,X
IZOLJST,X,O,X,X,X,O,O,X,X
IZOLSTJ,X,X,X,X,X,O,O,X,X
IZOLSJT,X,O,X,X,O,O,O,X,X
IZOJTLS,X,X,X,O,X,X,X,X,X
IZOJTSL,X,O,X,O,O,X,X,X,X
IZOJLTS,X,X,X,X,X,O,X,X,X
IZOJLST,X,O,X,X,O,O,O,X,X
IZOJSTL,X,O,X,X,O,X,X,X,X
IZOJSLT,X,O,X,X,O,O,O,X,X
IZOSTLJ,X,O,O,X,X,O,O,X,X
IZOSTJL,X,O,O,X,X,X,X,X,X
IZOSLTJ,X,O,X,X,X,O,O,X,X
IZOSLJT,X,O,X,X,O,O,O,X,X
IZOSJTL,X,O,X,X,O,X,X,X,X
IZOSJLT,X,O,X,X,O,O,O,X,X
IOTLJSZ,X,X,X,O,X,X,X,O,X
IOTLJZS,X,X,X,O,X,O,X,O,X
IOTLSJZ,X,X,O,X,X,X,X,O,X
IOTLSZJ,X,X,O,X,X,O,O,X,X
IOTLZJS,X,X,O,X,X,O,X,O,X
IOTLZSJ,X,X,O,X,X,O,O,X,X
IOTJLSZ,X,X,X,O,X,X,X,O,X
IOTJLZS,X,X,X,O,X,X,X,O,X
IOTJSLZ,X,O,O,O,X,X,X,X,X
IOTJSZL,X,O,O,O,X,X,X,X,X
IOTJZLS,X,X,O,O,X,X,X,X,X
IOTJZSL,X,O,O,O,X,X,X,X,X
IOTSLJZ,X,X,O,X,X,X,X,O,X
IOTSLZJ,X,X,O,X,X,X,O,X,X
IOTSJLZ,X,O,O,O,X,X,X,X,X
IOTSJZL,X,O,O,O,X,X,X,X,X
IOTSZLJ,X,X,O,X,X,X,O,X,X
IOTSZJL,X,X,O,X,X,X,X,X,X
IOTZLJS,X,X,O,X,X,O,X,O,X
IOTZLSJ,X,X,O,X,X,O,O,X,X
IOTZJLS,X,X,O,O,X,X,X,X,X
IOTZJSL,X,O,O,O,X,X,X,X,X
IOTZSLJ,X,X,O,X,X,O,O,X,X
IOTZSJL,X,O,O,X,X,X,X,X,X
IOLTJSZ,X,X,X,O,X,X,X,O,X
IOLTJZS,X,X,X,O,X,O,X,O,X
IOLTSJZ,X,X,O,X,X,X,X,O,X
IOLTSZJ,X,X,O,X,X,O,O,X,X
IOLTZJS,X,X,O,X,X,O,X,O,X
IOLTZSJ,X,X,O,X,X,O,O,X,X
IOLJTSZ,X,X,X,O,X,X,X,O,X
IOLJTZS,X,X,X,O,X,O,X,O,X
IOLJSTZ,X,O,X,X,X,X,X,X,X
IOLJSZT,O,X,X,X,X,X,O,X,X
IOLJZTS,X,X,X,X,X,O,X,X,X
IOLJZST,O,O,X,X,X,O,O,X,X
IOLSTJZ,X,X,O,X,X,X,X,O,X
IOLSTZJ,X,X,O,X,X,O,O,X,X
IOLSJTZ,X,O,X,X,X,X,X,X,X
IOLSJZT,O,X,X,X,X,X,O,X,X
IOLSZTJ,X,X,X,X,X,O,O,X,X
IOLSZJT,X,X,X,X,O,O,O,X,X
IOLZTJS,X,X,X,X,X,O,X,O,X
IOLZTSJ,X,X,X,X,X,O,O,X,X
IOLZJTS,X,X,X,X,X,O,X,X,X
IOLZJST,X,O,X,X,X,O,O,X,X
IOLZSTJ,X,X,X,X,X,O,O,X,X
IOLZSJT,X,O,X,X,O,O,O,X,X
IOJTLSZ,X,X,X,O,X,X,X,O,X
IOJTLZS,X,X,X,O,X,X,X,O,X
IOJTSLZ,X,O,O,O,X,X,X,X,O
IOJTSZL,X,O,O,O,X,X,X,X,O
IOJTZLS,O,X,O,O,X,X,X,X,X
IOJTZSL,O,O,O,O,X,X,X,X,O
IOJLTSZ,X,X,X,O,X,X,X,O,X
IOJLTZS,X,X,X,O,X,O,X,O,X
IOJLSTZ,X,O,X,X,X,X,X,X,X
IOJLSZT,O,X,X,X,X,X,O,X,X
IOJLZTS,O,X,X,X,X,O,X,X,X
IOJLZST,O,O,X,X,X,O,O,X,X
IOJSTLZ,X,O,O,O,X,X,X,X,X
IOJSTZL,X,O,O,O,X,X,X,X,X
IOJSLTZ,X,O,X,X,X,X,X,X,X
IOJSLZT,O,X,X,X,X,X,O,X,X
IOJSZTL,O,O,X,X,X,X,X,X,X
IOJSZLT,O,O,X,X,X,X,O,X,X
IOJZTLS,O,X,X,O,X,X,X,X,X
IOJZTSL,O,O,X,O,X,X,X,X,O
IOJZLTS,O,X,X,X,X,O,X,X,X
IOJZLST,O,O,X,X,X,O,O,X,X
IOJZSTL,O,O,X,X,X,X,X,X,X
IOJZSLT,O,O,X,X,X,O,O,X,X
IOSTLJZ,X,O,O,X,X,X,X,O,X
IOSTLZJ,X,X,O,X,X,X,O,X,X
IOSTJLZ,X,O,O,O,X,X,X,X,X
IOSTJZL,X,O,O,O,X,X,X,X,X
IOSTZLJ,X,X,O,X,X,X,O,X,X
IOSTZJL,X,X,O,X,X,X,X,X,X
IOSLTJZ,X,O,O,X,X,X,X,O,X
IOSLTZJ,X,X,O,X,X,O,O,X,X
IOSLJTZ,X,O,X,X,X,X,X,X,X
IOSLJZT,O,X,X,X,X,X,O,X,X
IOSLZTJ,X,X,X,X,X,O,O,X,X
IOSLZJT,X,X,X,X,O,O,O,X,X
IOSJTLZ,X,O,O,O,X,X,X,X,X
IOSJTZL,X,O,O,O,X,X,X,X,X
IOSJLTZ,X,O,X,X,X,X,X,X,X
IOSJLZT,O,X,X,X,X,X,O,X,X
IOSJZTL,O,O,X,X,X,X,X,X,X
IOSJZLT,O,O,X,X,X,X,O,X,X
IOSZTLJ,X,X,O,X,X,O,O,X,X
IOSZTJL,X,O,O,X,X,X,X,X,X
IOSZLTJ,X,X,X,X,X,O,O,X,X
IOSZLJT,X,O,X,X,O,O,O,X,X
IOSZJTL,X,O,X,X,O,X,X,X,X
IOSZJLT,X,O,X,X,O,O,O,X,X
IOZTLJS,X,X,O,X,X,O,X,O,X
IOZTLSJ,X,X,O,X,X,O,O,X,X
IOZTJLS,X,X,O,O,X,X,X,X,X
IOZTJSL,X,O,O,O,X,X,X,X,X
IOZTSLJ,X,X,O,X,X,O,O,X,X
IOZTSJL,X,O,O,X,X,X,X,X,X
IOZLTJS,X,X,X,X,X,O,X,O,X
IOZLTSJ,X,X,X,X,X,O,O,X,X
IOZLJTS,X,X,X,X,X,O,X,X,X
IOZLJST,X,O,X,X,X,O,O,X,X
IOZLSTJ,X,X,X,X,X,O,O,X,X
IOZLSJT,X,O,X,X,O,O,O,X,X
IOZJTLS,X,X,X,O,X,X,X,X,X
IOZJTSL,X,O,X,O,O,X,X,X,X
IOZJLTS,X,X,X,X,X,O,X,X,X
IOZJLST,X,O,X,X,O,O,O,X,X
IOZJSTL,X,O,X,X,O,X,X,X,X
IOZJSLT,X,O,X,X,O,O,O,X,X
IOZSTLJ,X,O,O,X,X,O,O,X,X
IOZSTJL,X,O,O,X,X,X,X,X,X
IOZSLTJ,X,O,X,X,X,O,O,X,X
IOZSLJT,X,O,X,X,O,O,O,X,X
IOZSJTL,X,O,X,X,O,X,X,X,X
IOZSJLT,X,O,X,X,O,O,O,X,X
LTIJSZO,O,X,X,O,X,X,X,O,X
LTIJSOZ,X,X,X,O,X,X,X,O,X
LTIJZSO,O,X,X,O,X,O,X,O,X
LTIJZOS,X,X,X,O,X,O,X,O,X
LTIJOSZ,X,X,X,O,X,X,X,O,X
LTIJOZS,X,X,X,O,X,O,X,O,X
LTISJZO,O,X,O,X,X,X,X,O,X
LTISJOZ,X,X,O,X,X,X,X,O,X
LTISZJO,X,X,O,X,O,O,X,X,X
LTISZOJ,X,X,O,X,X,O,X,X,X
LTISOJZ,X,X,O,X,X,X,X,O,X
LTISOZJ,X,X,O,X,X,O,X,X,X
LTIZJSO,X,X,O,X,X,O,X,O,X
LTIZJOS,X,X,X,X,X,O,X,O,X
LTIZSJO,X,X,O,X,O,O,X,X,X
LTIZSOJ,X,X,O,X,X,O,X,X,X
LTIZOJS,X,X,X,X,X,O,X,O,X
LTIZOSJ,X,X,X,X,X,O,X,X,X
LTIOJSZ,X,X,X,O,X,X,X,O,X
LTIOJZS,X,X,X,O,X,O,X,O,X
LTIOSJZ,X,X,O,X,X,X,X,O,X
LTIOSZJ,X,X,O,X,X,O,X,X,X
LTIOZJS,X,X,O,X,X,O,X,O,X
LTIOZSJ,X,X,O,X,X,O,X,X,X
LTJISZO,O,X,X,O,X,X,X,O,X
LTJISOZ,X,X,X,O,X,X,X,O,X
LTJIZSO,O,X,X,O,X,O,X,O,X
LTJIZOS,X,X,X,O,X,O,X,O,X
LTJIOSZ,X,X,X,O,X,X,X,O,X
LTJIOZS,X,X,X,O,X,O,X,O,X
LTJSIZO,O,X,X,O,X,X,X,X,X
LTJSIOZ,X,X,X,O,X,X,X,X,X
LTJSZIO,O,X,X,O,X,X,X,X,X
LTJSZOI,O,X,X,O,X,X,X,X,X
LTJSOIZ,X,X,X,O,X,X,X,X,X
LTJSOZI,X,X,X,O,X,X,X,X,X
LTJZISO,O,X,X,O,X,O,X,X,X
LTJZIOS,X,X,X,O,X,O,X,X,X
LTJZSIO,O,X,X,O,X,O,X,X,X
LTJZSOI,O,X,X,O,X,O,X,X,X
LTJZOIS,X,X,X,O,X,O,X,X,X
LTJZOSI,X,X,X,O,X,O,X,X,X
LTJOISZ,X,X,X,O,X,X,X,O,X
LTJOIZS,X,X,X,O,X,O,X,O,X
LTJOSIZ,X,X,X,O,X,X,X,X,X
LTJOSZI,X,X,X,O,X,X,X,X,X
LTJOZIS,X,X,X,O,X,O,X,X,X
LTJOZSI,X,X,X,O,X,O,X,X,X
LTSIJZO,O,X,O,X,X,X,X,O,X
LTSIJOZ,X,X,O,X,X,X,X,O,X
LTSIZJO,X,X,O,X,O,O,X,X,X
LTSIZOJ,X,X,O,X,X,O,X,X,X
LTSIOJZ,X,X,O,X,X,X,X,O,X
LTSIOZJ,X,X,O,X,X,O,X,X,X
LTSJIZO,O,X,O,X,X,X,X,X,X
LTSJIOZ,X,X,O,X,X,X,X,X,X
LTSJZIO,O,X,O,X,X,X,X,X,X
LTSJZOI,O,X,O,X,X,X,X,X,X
LTSJOIZ,X,X,O,X,X,X,X,X,X
LTSJOZI,X,X,O,X,X,X,X,X,X
LTSZIJO,X,X,O,X,O,O,X,X,X
LTSZIOJ,X,X,O,X,X,O,X,X,X
LTSZJIO,X,X,O,X,O,O,X,X,X
LTSZJOI,X,X,O,X,X,O,X,X,X
LTSZOIJ,X,X,O,X,X,O,X,X,X
LTSZOJI,X,X,O,X,X,O,X,X,X
LTSOIJZ,X,X,O,X,X,X,X,O,X
LTSOIZJ,X,X,O,X,X,O,X,X,X
LTSOJIZ,X,X,O,X,X,X,X,X,X
LTSOJZI,X,X,O,X,X,X,X,X,X
LTSOZIJ,X,X,O,X,X,O,X,X,X
LTSOZJI,X,X,O,X,X,O,X,X,X
LTZIJSO,X,X,O,X,X,O,X,O,X
LTZIJOS,X,X,X,X,X,O,X,O,X
LTZISJO,X,X,O,X,O,O,X,X,X
LTZISOJ,X,X,O,X,X,O,X,X,X
LTZIOJS,X,X,X,X,X,O,X,O,X
LTZIOSJ,X,X,X,X,X,O,X,X,X
LTZJISO,X,X,O,X,X,O,X,X,X
LTZJIOS,X,X,X,X,X,O,X,X,X
LTZJSIO,X,X,O,X,X,O,X,X,X
LTZJSOI,X,X,O,X,X,O,X,X,X
LTZJOIS,X,X,X,X,X,O,X,X,X
LTZJOSI,X,X,X,X,X,O,X,X,X
LTZSIJO,X,X,O,X,O,O,X,X,X
LTZSIOJ,X,X,O,X,X,O,X,X,X
LTZSJIO,X,X,O,X,O,O,X,X,X
LTZSJOI,X,X,O,X,X,O,X,X,X
LTZSOIJ,X,X,O,X,X,O,X,X,X
LTZSOJI,X,X,O,X,X,O,X,X,X
LTZOIJS,X,X,X,X,X,O,X,O,X
