sequence,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXcBOiB6jBcmBzi?BFsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXcB6jBcmBmiBTi?BFsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXcBKiBzdB+jBcm?BFsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXcB6jBFiB8nBTm?BOsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXdBTeBamBWoB0h?BFsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFTeBFhB3mBCoBcn?BmrB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFmcBCeBFhBTjB3m?BcsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFCeB/nBTjB0mBFm?BmrB
TJZSLIO,O,O,O,X,X,X,X,X
TJZSLOI,X,O,O,X,X,X,X,X
TJZSOIL,O,X,X,X,X,X,X,X
TJZSOLI,O,X,X,X,X,X,X,X
TJZOILS,O,X,O,X,X,X,O,X
TJZOISL,O,X,X,X,X,X,X,X
TJZOLIS,O,X,O,X,X,X,O,X
TJZOLSI,O,X,O,X,X,X,X,X
TJZOSIL,O,X,X,X,X,X,X,X
TJZOSLI,O,X,X,X,X,X,X,X
TJOILSZ,X,X,X,X,X,X,X,X
TJOILZS,O,X,O,X,X,X,O,X
TJOISLZ,X,X,X,X,X,X,X,X
TJOISZL,X,X,X,X,X,X,X,X
TJOIZLS,O,X,O,X,X,X,X,X
TJOIZSL,O,X,X,X,X,X,X,X
TJOLISZ,X,X,X,X,O,X,X,X
TJOLIZS,O,X,O,X,X,X,O,X
TJOLSIZ,X,X,X,X,O,X,X,X
TJOLSZI,X,X,X,X,O,X,X,X
TJOLZIS,O,X,O,X,X,X,X,X
TJOLZSI,O,X,O,X,X,X,X,X
TJOSILZ,X,X,X,X,X,X,X,X
TJOSIZL,X,X,X,X,X,X,X,X
TJOSLIZ,X,X,X,X,O,X,X,X
TJOSLZI,X,X,X,X,O,X,X,X
TJOSZIL,X,X,X,X,X,X,X,X
TJOSZLI,X,X,X,X,X,X,X,X
TJOZILS,O,X,O,X,X,X,X,X
TJOZISL,O,X,X,X,X,X,X,X
TJOZLIS,O,X,O,X,X,X,X,X
TJOZLSI,O,X,O,X,X,X,X,X
TJOZSIL,O,X,X,X,X,X,X,X
TJOZSLI,O,X,X,X,X,X,X,X
TSILJZO,X,X,X,X,X,X,X,X
TSILJOZ,X,X,X,X,X,X,X,X
TSILZJO,X,X,X,X,X,X,X,X
TSILZOJ,X,X,X,X,X,O,X,X
TSILOJZ,X,X,X,X,X,X,X,X
TSILOZJ,X,X,X,X,X,O,X,X
TSIJLZO,X,X,X,X,X,X,X,X
TSIJLOZ,X,X,X,X,X,X,X,X
TSIJZLO,X,X,X,X,X,X,X,X
TSIJZOL,X,X,X,X,X,X,X,X
TSIJOLZ,X,X,X,X,X,X,X,X
TSIJOZL,X,X,X,X,X,X,X,X
TSIZLJO,X,X,X,X,X,X,O,X
TSIZLOJ,X,X,X,X,X,X,X,X
TSIZJLO,X,X,X,X,X,X,O,X
TSIZJOL,X,X,X,X,X,X,O,X
TSIZOLJ,X,X,X,X,X,X,O,X
TSIZOJL,X,X,X,X,X,X,O,X
TSIOLJZ,X,X,X,X,X,X,X,X
TSIOLZJ,X,X,X,X,X,X,X,X
TSIOJLZ,X,X,X,X,X,X,X,X
TSIOJZL,X,X,X,X,X,X,X,X
TSIOZLJ,X,X,X,X,X,X,O,X
TSIOZJL,X,X,X,X,X,X,O,X
TSLIJZO,X,X,X,X,X,X,X,X
TSLIJOZ,X,X,X,X,X,X,X,X
TSLIZJO,X,X,X,X,X,X,X,X
TSLIZOJ,X,X,X,X,X,O,X,X
TSLIOJZ,X,X,X,X,X,X,X,X
TSLIOZJ,X,X,X,X,X,O,X,X
TSLJIZO,X,X,X,X,X,X,X,X
TSLJIOZ,X,X,X,X,X,X,X,X
TSLJZIO,X,X,X,X,X,X,X,X
