sequence,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8JeT6IvhFegBUdB?ajB5jBFnB3sB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jei6IvhF3dB5jB?zfBeoBFnBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jei6IvhFUdB5jB?zfBeoBFnB3sB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Je//IvhFagBUdB?FeB+oBRnBTsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Je//IvhFagBFdB?TeBWoBxsBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jem6IvhFTeB0fB?XiBxsBCtBFsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jei6IvhFFdBzfB?GjBXjBxsBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8JeT6IvhFegBajB?5jBXiB1sBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jei6IvhFzfBxiB?FnBXoBGoBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jei6IvhFGeBzfB?XiBVoBxsBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Je39IvhF5jBlfB?isB8sBmpBzrB
ILJTSZO,X,X,X,X,O,X,X,O,X,X,X
ILJTSOZ,X,O,X,X,O,X,X,O,X,X,X
ILJTZSO,O,X,X,X,X,X,X,O,X,X,O
ILJTZOS,O,X,O,X,X,X,X,O,X,X,X
ILJTOSZ,X,O,O,X,O,X,O,O,X,X,X
ILJTOZS,O,O,O,X,X,X,O,O,X,X,X
ILJSTZO,O,X,X,X,O,X,X,X,X,X,X
ILJSTOZ,O,X,X,X,O,X,X,X,X,X,X
ILJSZTO,O,X,X,X,O,O,X,X,X,X,X
ILJSZOT,O,X,X,X,O,O,X,X,X,X,X
ILJSOTZ,O,O,X,X,O,X,X,X,X,X,X
ILJSOZT,O,O,X,X,O,O,X,X,X,X,X
ILJZTSO,X,X,X,X,X,O,X,X,X,X,O
ILJZTOS,O,X,X,X,X,O,X,X,X,X,X
ILJZSTO,X,X,X,X,X,O,X,X,X,X,O
ILJZSOT,O,X,X,X,X,O,X,X,X,X,X
ILJZOTS,O,X,X,X,X,O,X,X,X,X,X
ILJZOST,O,X,X,X,X,O,X,X,X,X,X
ILJOTSZ,X,O,O,X,O,X,O,O,X,X,X
ILJOTZS,O,O,O,X,X,X,O,O,X,X,X
ILJOSTZ,O,O,O,X,O,X,O,X,X,X,X
ILJOSZT,O,O,X,X,O,O,X,X,X,X,X
ILJOZTS,O,O,O,X,X,O,O,X,X,X,X
ILJOZST,O,O,X,X,X,O,X,X,X,X,X
ILSTJZO,O,X,X,X,O,X,X,X,X,X,X
ILSTJOZ,O,X,X,X,O,X,X,X,X,O,X
ILSTZJO,O,X,X,X,O,O,X,X,X,X,O
ILSTZOJ,O,X,X,X,O,O,X,X,X,X,O
ILSTOJZ,O,X,X,X,O,X,X,X,X,O,X
ILSTOZJ,O,X,X,X,O,O,X,X,X,O,X
ILSJTZO,O,X,X,X,O,X,X,X,X,X,X
ILSJTOZ,O,X,X,X,O,X,X,X,X,X,X
ILSJZTO,O,X,X,X,O,O,X,X,X,X,X
ILSJZOT,O,X,X,X,O,O,X,X,X,X,X
ILSJOTZ,O,X,X,X,O,X,X,X,X,X,X
ILSJOZT,O,X,X,X,O,O,X,X,X,X,X
ILSZTJO,O,X,X,X,O,O,X,X,X,X,O
ILSZTOJ,X,X,X,X,O,O,X,X,X,X,O
ILSZJTO,O,X,X,X,O,O,X,X,X,X,O
ILSZJOT,O,X,X,X,O,O,X,X,X,X,X
ILSZOTJ,X,X,X,X,O,O,X,X,X,X,O
ILSZOJT,O,X,X,X,O,O,X,X,X,X,X
ILSOTJZ,X,X,X,X,O,X,X,X,X,O,X
ILSOTZJ,X,X,X,X,O,O,X,X,X,O,X
ILSOJTZ,O,X,X,X,O,X,X,X,X,O,X
ILSOJZT,O,X,X,X,O,O,X,X,X,X,X
ILSOZTJ,X,X,X,X,O,O,X,X,X,O,X
ILSOZJT,O,X,X,X,O,O,X,X,X,X,X
ILZTJSO,X,X,X,X,O,O,X,X,X,X,O
ILZTJOS,O,X,X,X,O,O,O,X,X,X,X
ILZTSJO,X,X,X,X,O,O,X,X,X,X,O
ILZTSOJ,X,X,X,X,O,O,X,X,X,X,O
ILZTOJS,X,X,X,X,X,O,O,X,X,X,X
ILZTOSJ,X,X,X,X,X,O,O,X,X,X,O
ILZJTSO,X,X,X,X,O,O,X,X,X,X,O
ILZJTOS,O,X,X,X,O,O,O,X,X,X,X
ILZJSTO,X,X,X,X,O,O,X,X,X,X,O
ILZJSOT,O,X,X,X,O,O,X,X,X,X,X
ILZJOTS,O,X,X,X,O,O,O,X,X,X,X
ILZJOST,O,X,X,X,O,O,O,X,X,X,X
ILZSTJO,X,X,X,X,O,O,X,X,X,X,O
ILZSTOJ,X,X,X,X,O,O,X,X,X,X,O
ILZSJTO,X,X,X,X,O,O,X,X,X,X,O
ILZSJOT,O,X,X,X,O,O,X,X,X,X,X
ILZSOTJ,X,X,X,X,O,O,X,X,X,X,O
ILZSOJT,X,X,X,X,O,O,X,X,X,X,X
ILZOTJS,X,X,X,X,X,O,O,X,X,X,X
ILZOTSJ,X,X,X,X,X,O,O,X,X,X,O
ILZOJTS,O,X,X,X,X,O,O,X,X,X,X
ILZOJST,O,X,X,X,X,O,O,X,X,X,X
ILZOSTJ,X,X,X,X,X,O,O,X,X,X,O
ILZOSJT,X,X,X,X,X,O,O,X,X,X,X
ILOTJSZ,X,O,O,X,X,X,O,X,X,O,X
ILOTJZS,X,O,O,X,X,X,O,X,X,O,X
ILOTSJZ,X,X,X,X,X,X,O,X,X,O,X
ILOTSZJ,X,X,X,X,X,O,O,X,X,O,X
ILOTZJS,X,X,X,X,X,O,O,X,X,O,X
ILOTZSJ,X,X,X,X,X,O,O,X,X,O,O
ILOJTSZ,X,O,O,X,X,X,O,X,X,O,X
ILOJTZS,X,O,O,X,X,X,O,X,X,O,X
ILOJSTZ,X,O,O,X,X,X,O,X,X,O,X
ILOJSZT,X,O,X,X,X,O,X,X,X,X,X
ILOJZTS,X,O,O,X,X,O,O,X,X,X,X
ILOJZST,X,O,X,X,X,O,O,X,X,X,X
ILOSTJZ,X,X,X,X,X,X,O,X,X,O,X
ILOSTZJ,X,X,X,X,X,O,O,X,X,O,X
ILOSJTZ,X,O,O,X,X,X,O,X,X,O,X
ILOSJZT,X,O,X,X,X,O,X,X,X,X,X
ILOSZTJ,X,X,X,X,X,O,O,X,X,O,X
ILOSZJT,X,X,X,X,X,O,O,X,X,X,X
ILOZTJS,X,X,X,X,X,O,O,X,X,O,X
ILOZTSJ,X,X,X,X,X,O,O,X,X,O,O
ILOZJTS,X,O,O,X,X,O,O,X,X,X,X
ILOZJST,X,O,X,X,X,O,O,X,X,X,X
ILOZSTJ,X,X,X,X,X,O,O,X,X,O,O
ILOZSJT,X,X,X,X,X,O,O,X,X,X,X
IJTLSZO,X,X,X,O,O,X,X,O,X,X,X
IJTLSOZ,X,O,X,O,O,X,X,O,X,O,X
IJTLZSO,O,X,X,O,X,X,X,O,X,X,O
IJTLZOS,O,X,O,X,X,X,X,O,X,X,X
IJTLOSZ,X,O,O,X,O,X,O,O,X,O,X
IJTLOZS,O,O,O,X,X,X,O,O,X,O,X
IJTSLZO,O,X,X,O,O,X,X,O,X,X,X
IJTSLOZ,O,O,X,O,O,X,X,O,X,O,X
IJTSZLO,O,X,X,O,O,X,X,O,X,X,X
IJTSZOL,O,O,O,O,O,X,X,O,X,O,X
IJTSOLZ,O,O,O,O,O,X,O,O,X,O,X
IJTSOZL,O,O,O,O,O,X,X,O,X,O,X
IJTZLSO,O,X,X,O,O,X,X,O,X,X,X
IJTZLOS,O,X,O,X,O,X,O,O,X,X,X
IJTZSLO,O,X,X,O,O,X,X,O,X,X,X
IJTZSOL,O,O,O,O,O,X,O,O,X,O,X
IJTZOLS,O,O,O,X,O,X,O,O,X,O,X
IJTZOSL,O,O,O,O,O,X,O,O,X,O,X
IJTOLSZ,X,O,O,X,O,X,O,O,X,O,X
IJTOLZS,O,O,O,X,X,X,O,O,X,O,X
IJTOSLZ,O,O,O,O,O,X,O,O,X,O,X
IJTOSZL,O,O,O,O,O,X,X,O,X,O,X
IJTOZLS,O,O,O,X,X,X,O,O,X,O,X
IJTOZSL,O,O,O,O,O,X,O,O,X,O,X
IJLTSZO,X,X,X,O,O,X,X,O,X,X,X
IJLTSOZ,X,O,X,O,O,X,X,O,X,X,X
IJLTZSO,O,X,X,O,X,X,X,O,X,X,O
IJLTZOS,O,X,O,X,X,X,X,O,X,X,X
IJLTOSZ,X,O,O,X,O,X,O,O,X,X,X
IJLTOZS,O,O,O,X,X,X,O,O,X,X,X
IJLSTZO,O,X,X,O,O,X,X,X,X,X,X
IJLSTOZ,O,X,X,O,O,X,X,X,X,X,X
IJLSZTO,O,X,X,O,O,O,X,X,X,X,X
IJLSZOT,O,X,X,O,O,O,X,X,X,X,X
IJLSOTZ,O,O,X,O,O,X,X,X,X,X,X
IJLSOZT,O,O,X,O,O,O,X,X,X,X,X
IJLZTSO,X,X,X,O,X,O,X,X,X,X,O
IJLZTOS,O,X,X,X,X,O,X,X,X,X,X
IJLZSTO,X,X,X,O,X,O,X,X,X,X,O
IJLZSOT,O,X,X,O,X,O,X,X,X,X,X
IJLZOTS,O,X,X,X,X,O,X,X,X,X,X
IJLZOST,O,X,X,X,X,O,X,X,X,X,X
IJLOTSZ,X,O,O,X,O,X,O,O,X,X,X
IJLOTZS,O,O,O,X,X,X,O,O,X,X,X
IJLOSTZ,O,O,O,X,O,X,O,X,X,X,X
IJLOSZT,O,O,X,X,O,O,X,X,X,X,X
IJLOZTS,O,O,O,X,X,O,O,X,X,X,X
IJLOZST,O,O,X,X,X,O,X,X,X,X,X
IJSTLZO,O,X,X,O,O,X,X,O,X,X,X
IJSTLOZ,O,O,X,O,O,X,X,O,X,O,X
IJSTZLO,O,X,X,O,O,X,X,O,X,X,X
IJSTZOL,O,O,O,O,O,X,X,O,X,O,X
IJSTOLZ,O,O,O,O,O,X,O,O,X,O,X
IJSTOZL,O,O,O,O,O,X,X,O,X,O,X
IJSLTZO,O,X,X,O,O,X,X,X,X,X,X
IJSLTOZ,O,X,X,O,O,X,X,X,X,X,X
IJSLZTO,O,X,X,O,O,O,X,X,X,X,X
IJSLZOT,O,X,X,O,O,O,X,X,X,X,X
IJSLOTZ,O,O,X,O,O,X,X,X,X,X,X
IJSLOZT,O,O,X,O,O,O,X,X,X,X,X
IJSZTLO,O,X,X,O,O,O,X,X,X,X,X
IJSZTOL,O,X,X,O,O,X,X,X,X,X,X
IJSZLTO,O,X,X,O,O,O,X,X,X,X,X
IJSZLOT,O,X,X,O,O,O,X,X,X,X,X
IJSZOTL,O,X,X,O,O,X,X,X,X,X,X
IJSZOLT,O,O,X,O,O,O,X,X,X,X,X
IJSOTLZ,O,O,O,O,O,X,O,O,X,O,X
IJSOTZL,O,O,O,O,O,X,X,O,X,O,X
IJSOLTZ,O,O,O,O,O,X,O,X,X,O,X
IJSOLZT,O,O,X,O,O,X,X,X,X,X,X
IJSOZTL,O,X,X,O,O,X,X,X,X,X,X
IJSOZLT,O,O,X,O,O,X,X,X,X,X,X
IJZTLSO,O,X,X,O,O,O,X,O,X,X,X
IJZTLOS,O,X,O,X,O,O,O,O,X,X,X
IJZTSLO,O,X,X,O,O,O,X,O,X,X,X
IJZTSOL,O,O,O,O,O,X,O,O,X,X,X
IJZTOLS,O,O,O,X,O,X,O,O,X,X,X
IJZTOSL,O,O,O,O,O,X,O,O,X,X,X
IJZLTSO,X,X,X,O,O,O,X,X,X,X,X
IJZLTOS,O,X,X,X,O,O,O,X,X,X,X
IJZLSTO,X,X,X,O,O,O,X,X,X,X,X
IJZLSOT,O,X,X,O,O,O,X,X,X,X,X
IJZLOTS,O,X,X,X,O,O,O,X,X,X,X
IJZLOST,O,X,X,X,O,O,O,X,X,X,X
IJZSTLO,O,X,X,O,O,O,X,X,X,X,X
IJZSTOL,O,X,X,O,O,X,O,X,X,X,X
IJZSLTO,O,X,X,O,O,O,X,X,X,X,X
IJZSLOT,O,X,X,O,O,O,X,X,X,X,X
IJZSOTL,O,X,X,O,O,X,O,X,X,X,X
IJZSOLT,O,O,X,O,O,O,O,X,X,X,X
IJZOTLS,O,O,O,X,O,X,O,O,X,X,X
IJZOTSL,O,O,O,O,O,X,O,O,X,X,X
IJZOLTS,O,O,O,X,O,O,O,X,X,X,X
IJZOLST,O,O,X,X,O,O,O,X,X,X,X
IJZOSTL,O,X,X,O,O,X,O,X,X,X,X
IJZOSLT,O,O,X,O,O,O,O,X,X,X,X
IJOTLSZ,X,O,O,O,O,X,O,O,X,O,X
IJOTLZS,O,O,O,O,X,X,O,O,X,O,X
IJOTSLZ,O,O,O,O,O,X,O,O,X,O,X
IJOTSZL,O,O,O,O,O,X,X,O,X,O,X
IJOTZLS,O,O,O,O,X,X,O,O,X,O,X
IJOTZSL,O,O,O,O,O,X,O,O,X,O,X
IJOLTSZ,X,O,O,O,O,X,O,O,X,O,X
IJOLTZS,O,O,O,O,X,X,O,O,X,O,X
IJOLSTZ,O,O,O,O,O,X,O,X,X,O,X
IJOLSZT,O,O,X,O,O,X,X,X,X,X,X
IJOLZTS,O,O,O,O,X,X,O,X,X,X,X
IJOLZST,O,O,X,O,X,X,O,X,X,X,X
IJOSTLZ,O,O,O,O,O,X,O,O,X,O,X
IJOSTZL,O,O,O,O,O,X,X,O,X,O,X
IJOSLTZ,O,O,O,O,O,X,O,X,X,O,X
IJOSLZT,O,O,X,O,O,X,X,X,X,X,X
IJOSZTL,O,X,X,O,O,X,X,X,X,X,X
IJOSZLT,O,O,X,O,O,X,X,X,X,X,X
IJOZTLS,O,O,O,O,X,X,O,O,X,X,X
IJOZTSL,O,O,O,O,O,X,O,O,X,X,X
IJOZLTS,O,O,O,O,X,X,O,X,X,X,X
IJOZLST,O,O,X,O,X,X,O,X,X,X,X
IJOZSTL,O,X,X,O,O,X,O,X,X,X,X
IJOZSLT,O,O,X,O,O,X,O,X,X,X,X
ISTLJZO,O,X,X,X,O,X,X,O,X,X,X
ISTLJOZ,O,X,X,X,O,X,X,O,X,O,X
ISTLZJO,O,X,X,X,O,O,X,O,X,X,O
ISTLZOJ,O,X,X,X,O,O,X,X,X,X,O
ISTLOJZ,O,X,X,X,O,X,X,O,O,O,X
ISTLOZJ,O,X,X,X,O,O,X,X,O,O,X
ISTJLZO,O,X,X,X,O,X,X,O,X,X,X
ISTJLOZ,O,X,X,X,O,X,X,O,X,O,X
ISTJZLO,O,X,X,X,O,X,X,O,X,X,X
ISTJZOL,O,X,X,X,O,X,X,O,X,O,X
ISTJOLZ,O,X,X,X,O,X,O,O,O,O,X
ISTJOZL,O,X,X,X,O,X,X,O,X,O,X
ISTZLJO,O,X,X,X,O,O,X,O,X,X,X
ISTZLOJ,O,X,X,X,O,O,X,X,X,X,X
ISTZJLO,O,X,X,X,O,O,X,O,X,X,X
ISTZJOL,O,X,X,X,O,X,O,O,X,O,X
ISTZOLJ,O,X,X,X,O,X,O,X,O,O,X
ISTZOJL,O,X,X,X,O,X,O,X,X,O,X
ISTOLJZ,O,X,X,X,O,X,O,O,O,O,X
ISTOLZJ,O,X,X,X,O,X,O,X,O,O,X
ISTOJLZ,O,X,X,X,O,X,O,O,O,O,X
ISTOJZL,O,X,X,X,O,X,X,O,X,O,X
ISTOZLJ,O,X,X,X,O,X,O,X,O,O,X
ISTOZJL,O,X,X,X,O,X,O,X,X,O,X
ISLTJZO,O,X,X,X,O,X,X,X,X,X,X
ISLTJOZ,O,X,X,X,O,X,X,X,X,O,X
ISLTZJO,O,X,X,X,O,O,X,X,X,X,O
ISLTZOJ,O,X,X,X,O,O,X,X,X,X,O
ISLTOJZ,O,X,X,X,O,X,X,X,X,O,X
ISLTOZJ,O,X,X,X,O,O,X,X,X,O,X
ISLJTZO,O,X,X,O,O,X,X,X,X,X,X
ISLJTOZ,O,X,X,O,O,X,X,X,X,X,X
ISLJZTO,O,X,X,O,O,O,X,X,X,X,X
ISLJZOT,O,X,X,O,O,O,X,X,X,X,X
ISLJOTZ,O,X,X,O,O,X,X,X,X,X,X
ISLJOZT,O,X,X,O,O,O,X,X,X,X,X
ISLZTJO,O,X,X,X,O,O,X,X,X,X,O
ISLZTOJ,X,X,X,X,O,O,X,X,X,X,O
ISLZJTO,O,X,X,O,O,O,X,X,X,X,O
ISLZJOT,O,X,X,O,O,O,X,X,X,X,X
ISLZOTJ,X,X,X,X,O,O,X,X,X,X,O
ISLZOJT,O,X,X,O,O,O,X,X,X,X,X
ISLOTJZ,X,X,X,X,O,X,X,X,O,O,X
ISLOTZJ,X,X,X,X,O,O,X,X,O,O,X
ISLOJTZ,O,X,X,O,O,X,X,X,O,O,X
ISLOJZT,O,X,X,O,O,O,X,X,X,X,X
ISLOZTJ,X,X,X,X,O,O,X,X,O,O,X
ISLOZJT,O,X,X,O,O,O,X,X,X,X,X
ISJTLZO,O,X,X,O,O,X,X,O,X,X,X
ISJTLOZ,O,O,X,O,O,X,X,O,X,O,X
ISJTZLO,O,X,X,O,O,X,X,O,X,X,X
ISJTZOL,O,O,O,O,O,X,X,O,X,O,X
ISJTOLZ,O,O,O,O,O,X,O,O,X,O,X
ISJTOZL,O,O,O,O,O,X,X,O,X,O,X
ISJLTZO,O,X,X,O,O,X,X,X,X,X,X
ISJLTOZ,O,X,X,O,O,X,X,X,X,X,X
ISJLZTO,O,X,X,O,O,O,X,X,X,X,X
ISJLZOT,O,X,X,O,O,O,X,X,X,X,X
ISJLOTZ,O,O,X,O,O,X,X,X,X,X,X
ISJLOZT,O,O,X,O,O,O,X,X,X,X,X
ISJZTLO,O,X,X,O,O,O,X,X,X,X,X
ISJZTOL,O,X,X,O,O,X,X,X,X,X,X
ISJZLTO,O,X,X,O,O,O,X,X,X,X,X
ISJZLOT,O,X,X,O,O,O,X,X,X,X,X
ISJZOTL,O,X,X,O,O,X,X,X,X,X,X
ISJZOLT,O,O,X,O,O,O,X,X,X,X,X
ISJOTLZ,O,O,O,O,O,X,O,O,X,O,X
ISJOTZL,O,O,O,O,O,X,X,O,X,O,X
ISJOLTZ,O,O,O,O,O,X,O,X,O,O,X
ISJOLZT,O,O,X,O,O,X,X,X,X,X,X
ISJOZTL,O,X,X,O,O,X,X,X,X,X,X
ISJOZLT,O,O,X,O,O,X,X,X,X,X,X
ISZTLJO,O,X,X,X,O,O,X,X,X,X,X
ISZTLOJ,O,X,X,X,O,O,X,X,X,X,X
ISZTJLO,O,X,X,X,O,O,X,X,X,X,X
ISZTJOL,O,X,X,X,O,X,O,X,X,O,X
ISZTOLJ,O,X,X,X,O,X,O,X,X,O,X
ISZTOJL,O,X,X,X,O,X,O,X,X,O,X
ISZLTJO,O,X,X,X,O,O,X,X,X,X,X
ISZLTOJ,X,X,X,X,O,O,X,X,X,X,X
ISZLJTO,O,X,X,O,O,O,X,X,X,X,X
ISZLJOT,O,X,X,O,O,O,X,X,X,X,X
ISZLOTJ,X,X,X,X,O,O,X,X,X,X,X
ISZLOJT,O,X,X,O,O,O,X,X,X,X,X
ISZJTLO,O,X,X,O,O,O,X,X,X,X,X
ISZJTOL,O,X,X,O,O,X,O,X,X,X,X
ISZJLTO,O,X,X,O,O,O,X,X,X,X,X
ISZJLOT,O,X,X,O,O,O,X,X,X,X,X
ISZJOTL,O,X,X,O,O,X,O,X,X,X,X
ISZJOLT,O,X,X,O,O,O,O,X,X,X,X
ISZOTLJ,X,X,X,X,O,X,O,X,X,O,X
ISZOTJL,X,X,X,X,O,X,O,X,X,O,X
ISZOLTJ,X,X,X,X,O,O,O,X,O,O,X
ISZOLJT,O,X,X,O,O,O,O,X,X,X,X
ISZOJTL,O,X,X,O,O,X,O,X,X,X,X
ISZOJLT,O,X,X,O,O,O,O,X,X,X,X
ISOTLJZ,O,X,X,X,O,X,O,X,O,O,X
ISOTLZJ,O,X,X,X,O,X,O,X,O,O,X
ISOTJLZ,O,X,X,X,O,X,O,X,O,O,X
ISOTJZL,O,X,X,X,O,X,X,X,X,O,X
ISOTZLJ,O,X,X,X,O,X,O,X,O,O,X
ISOTZJL,O,X,X,X,O,X,O,X,X,O,X
ISOLTJZ,X,X,X,X,O,X,O,X,O,O,X
ISOLTZJ,X,X,X,X,O,O,O,X,O,O,X
ISOLJTZ,O,O,O,O,O,X,O,X,O,O,X
ISOLJZT,O,O,X,O,O,O,X,X,X,X,X
ISOLZTJ,X,X,X,X,O,O,O,X,O,O,X
ISOLZJT,O,X,X,O,O,O,O,X,X,X,X
ISOJTLZ,O,O,O,O,O,X,O,X,X,O,X
ISOJTZL,O,O,O,O,O,X,X,X,X,O,X
ISOJLTZ,O,O,O,O,O,X,O,X,O,O,X
ISOJLZT,O,O,X,O,O,X,X,X,X,X,X
ISOJZTL,O,X,X,O,O,X,X,X,X,X,X
ISOJZLT,O,O,X,O,O,X,X,X,X,X,X
ISOZTLJ,X,X,X,X,O,X,O,X,X,O,X
ISOZTJL,X,X,X,X,O,X,O,X,X,O,X
ISOZLTJ,X,X,X,X,O,O,O,X,O,O,X
ISOZLJT,O,X,X,O,O,O,O,X,X,X,X
ISOZJTL,O,X,X,O,O,X,O,X,X,X,X
ISOZJLT,O,X,X,O,O,O,O,X,X,X,X
IZTLJSO,O,X,X,X,O,O,X,O,X,X,O
IZTLJOS,O,X,X,X,O,O,O,O,X,X,X
IZTLSJO,O,X,X,X,O,O,X,O,X,X,O
IZTLSOJ,X,X,X,X,O,O,X,X,X,X,O
IZTLOJS,O,X,X,X,X,O,O,X,X,X,X
IZTLOSJ,X,X,X,X,X,O,O,X,X,X,O
IZTJLSO,O,X,X,X,O,O,X,O,X,X,X
IZTJLOS,O,X,O,X,O,O,O,O,X,X,X
IZTJSLO,O,X,X,X,O,O,X,O,X,X,X
IZTJSOL,O,X,O,X,O,X,O,O,X,O,X
IZTJOLS,O,X,O,X,O,X,O,O,X,O,X
IZTJOSL,O,X,O,X,O,X,O,O,X,O,X
IZTSLJO,O,X,X,X,O,O,X,O,X,X,X
IZTSLOJ,X,X,X,X,O,O,X,X,X,X,X
IZTSJLO,O,X,X,X,O,O,X,O,X,X,X
IZTSJOL,O,X,X,X,O,X,O,O,X,O,X
IZTSOLJ,X,X,X,X,O,X,O,X,X,O,X
IZTSOJL,X,X,X,X,O,X,O,X,X,O,X
IZTOLJS,O,X,O,X,X,X,O,X,X,O,X
IZTOLSJ,X,X,X,X,X,X,O,X,X,O,X
IZTOJLS,O,X,O,X,O,X,O,X,X,O,X
IZTOJSL,O,X,O,X,O,X,O,X,X,O,X
IZTOSLJ,X,X,X,X,O,X,O,X,X,O,X
IZTOSJL,X,X,X,X,O,X,O,X,X,O,X
IZLTJSO,X,X,X,X,O,O,X,X,X,X,O
IZLTJOS,O,X,X,X,O,O,O,X,X,X,X
IZLTSJO,X,X,X,X,O,O,X,X,X,X,O
IZLTSOJ,X,X,X,X,O,O,X,X,X,X,O
IZLTOJS,X,X,X,X,X,O,O,X,X,X,X
IZLTOSJ,X,X,X,X,X,O,O,X,X,X,O
IZLJTSO,X,X,X,X,O,O,X,X,X,X,O
IZLJTOS,O,X,X,X,O,O,O,X,X,X,X
IZLJSTO,X,X,X,X,O,O,X,X,X,X,O
IZLJSOT,O,X,X,X,O,O,X,X,X,X,X
IZLJOTS,O,X,X,X,O,O,O,X,X,X,X
IZLJOST,O,X,X,X,O,O,O,X,X,X,X
IZLSTJO,X,X,X,X,O,O,X,X,X,X,O
IZLSTOJ,X,X,X,X,O,O,X,X,X,X,O
IZLSJTO,X,X,X,X,O,O,X,X,X,X,O
IZLSJOT,O,X,X,X,O,O,X,X,X,X,X
IZLSOTJ,X,X,X,X,O,O,X,X,X,X,O
IZLSOJT,X,X,X,X,O,O,X,X,X,X,X
IZLOTJS,X,X,X,X,X,O,O,X,X,X,X
IZLOTSJ,X,X,X,X,X,O,O,X,X,X,O
IZLOJTS,O,X,X,X,X,O,O,X,X,X,X
IZLOJST,O,X,X,X,X,O,O,X,X,X,X
IZLOSTJ,X,X,X,X,X,O,O,X,X,X,O
IZLOSJT,X,X,X,X,X,O,O,X,X,X,X
IZJTLSO,O,X,X,O,O,O,X,O,X,X,X
IZJTLOS,O,X,O,X,O,O,O,O,X,X,X
IZJTSLO,O,X,X,O,O,O,X,O,X,X,X
IZJTSOL,O,O,O,O,O,X,O,O,X,X,X
IZJTOLS,O,O,O,X,O,X,O,O,X,X,X
IZJTOSL,O,O,O,O,O,X,O,O,X,X,X
IZJLTSO,X,X,X,O,O,O,X,X,X,X,X
IZJLTOS,O,X,X,X,O,O,O,X,X,X,X
IZJLSTO,X,X,X,O,O,O,X,X,X,X,X
IZJLSOT,O,X,X,O,O,O,X,X,X,X,X
IZJLOTS,O,X,X,X,O,O,O,X,X,X,X
IZJLOST,O,X,X,X,O,O,O,X,X,X,X
IZJSTLO,O,X,X,O,O,O,X,X,X,X,X
IZJSTOL,O,X,X,O,O,X,O,X,X,X,X
IZJSLTO,O,X,X,O,O,O,X,X,X,X,X
IZJSLOT,O,X,X,O,O,O,X,X,X,X,X
IZJSOTL,O,X,X,O,O,X,O,X,X,X,X
IZJSOLT,O,O,X,O,O,O,O,X,X,X,X
IZJOTLS,O,O,O,X,O,X,O,O,X,X,X
IZJOTSL,O,O,O,O,O,X,O,O,X,X,X
IZJOLTS,O,O,O,X,O,O,O,X,X,X,X
IZJOLST,O,O,X,X,O,O,O,X,X,X,X
IZJOSTL,O,X,X,O,O,X,O,X,X,X,X
IZJOSLT,O,O,X,O,O,O,O,X,X,X,X
IZSTLJO,O,X,X,X,O,O,X,X,X,X,X
IZSTLOJ,O,X,X,X,O,O,X,X,X,X,X
IZSTJLO,O,X,X,X,O,O,X,X,X,X,X
IZSTJOL,O,X,X,X,O,X,O,X,X,O,X
IZSTOLJ,O,X,X,X,O,X,O,X,X,O,X
IZSTOJL,O,X,X,X,O,X,O,X,X,O,X
IZSLTJO,O,X,X,X,O,O,X,X,X,X,X
IZSLTOJ,X,X,X,X,O,O,X,X,X,X,X
IZSLJTO,O,X,X,O,O,O,X,X,X,X,X
IZSLJOT,O,X,X,O,O,O,X,X,X,X,X
IZSLOTJ,X,X,X,X,O,O,X,X,X,X,X
IZSLOJT,O,X,X,O,O,O,X,X,X,X,X
IZSJTLO,O,X,X,O,O,O,X,X,X,X,X
IZSJTOL,O,X,X,O,O,X,O,X,X,X,X
IZSJLTO,O,X,X,O,O,O,X,X,X,X,X
IZSJLOT,O,X,X,O,O,O,X,X,X,X,X
IZSJOTL,O,X,X,O,O,X,O,X,X,X,X
IZSJOLT,O,X,X,O,O,O,O,X,X,X,X
IZSOTLJ,X,X,X,X,O,X,O,X,X,O,X
IZSOTJL,X,X,X,X,O,X,O,X,X,O,X
IZSOLTJ,X,X,X,X,O,O,O,X,X,O,X
IZSOLJT,O,X,X,O,O,O,O,X,X,X,X
IZSOJTL,O,X,X,O,O,X,O,X,X,X,X
IZSOJLT,O,X,X,O,O,O,O,X,X,X,X
IZOTLJS,X,X,O,X,X,X,O,X,X,O,X
IZOTLSJ,X,X,X,X,X,X,O,X,X,O,X
IZOTJLS,X,X,O,X,O,X,O,X,X,O,X
IZOTJSL,X,X,O,X,O,X,O,X,X,O,X
IZOTSLJ,X,X,X,X,O,X,O,X,X,O,X
IZOTSJL,X,X,X,X,O,X,O,X,X,O,X
IZOLTJS,X,X,O,X,X,O,O,X,X,O,X
IZOLTSJ,X,X,X,X,X,O,O,X,X,O,X
IZOLJTS,O,O,O,X,X,O,O,X,X,X,X
