sequence,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je08IvhFxdBlgBOrBX?lBSvBzrB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je08IvhFxdBlgBKrBf?sBTlBWvB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je/AJvhFxdBlhB8qBG?mBzpBywB,v115@zgB8HeB8EeF8CeE8FeD8FeC8JeT7IvhFxdBlhB3lBW?vBirB0rB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Jex9IvhF0gBlhBXlBO?rBSvBzrB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Jex9IvhF0gBlhBXlBS?vBmrBTrB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je08IvhFxdBlgBTmBG?qBywBXqB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Jex9IvhFlgB3hB6qB0?mBzpB2wB,v115@zgB8HeB8EeF8CeE8FeD8FeC8JeT7IvhF0cBxdB/mB1?qBWvBywB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Jex9IvhF0gBlhBTlBK?rBfsBWvB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je/AJvhFFcBxdBumB8?qBzpBywB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je1BJvhFxdB0gBfsBT?lBKrBWvB
ITZOLJS,X,X,X,X,O,O,X,X,X,X,X,X
ITZOLSJ,X,X,X,X,O,O,X,X,X,X,X,X
ITZOJLS,X,X,X,X,O,O,X,X,X,X,X,X
ITZOJSL,X,X,X,O,O,X,X,X,X,O,X,X
ITZOSLJ,X,X,X,X,O,X,X,X,X,O,X,X
ITZOSJL,X,X,O,X,O,X,X,X,X,O,X,X
ITOLJSZ,O,X,O,O,X,X,X,X,O,X,X,X
ITOLJZS,O,X,X,X,O,X,X,X,O,X,O,X
ITOLSJZ,X,X,O,X,X,X,X,O,O,X,X,X
ITOLSZJ,X,X,O,X,O,X,X,O,O,X,X,X
ITOLZJS,X,X,O,X,O,O,X,X,X,X,X,X
ITOLZSJ,X,X,O,X,O,O,X,X,O,X,O,X
ITOJLSZ,O,X,O,O,X,X,X,O,O,X,X,X
ITOJLZS,O,X,X,X,O,X,X,X,O,X,O,X
ITOJSLZ,X,X,O,O,X,X,X,O,O,X,X,X
ITOJSZL,O,X,O,O,X,X,X,O,O,X,X,O
ITOJZLS,O,X,X,X,O,X,X,X,X,X,X,X
ITOJZSL,O,X,X,O,O,X,X,O,O,X,O,X
ITOSLJZ,X,X,O,X,X,X,X,O,X,X,X,X
ITOSLZJ,X,X,O,X,O,X,X,O,X,X,O,X
ITOSJLZ,X,X,O,O,X,X,X,O,X,X,X,X
ITOSJZL,X,X,O,O,X,X,X,O,X,X,O,X
ITOSZLJ,X,X,O,X,O,X,X,O,X,X,O,O
ITOSZJL,X,X,O,X,O,X,X,O,X,X,O,O
ITOZLJS,X,X,X,X,O,O,X,X,X,X,X,X
ITOZLSJ,X,X,O,X,O,O,X,X,X,X,X,X
ITOZJLS,O,X,X,X,O,O,X,X,X,X,X,X
ITOZJSL,O,X,O,O,O,X,X,X,X,O,O,X
ITOZSLJ,X,X,O,X,O,X,X,O,X,O,O,X
ITOZSJL,X,X,O,X,O,X,X,O,X,O,O,X
ILTJSZO,O,X,O,O,X,O,X,X,O,X,X,O
ILTJSOZ,X,X,X,O,X,X,X,X,O,X,X,X
ILTJZSO,O,X,X,O,O,O,X,X,O,X,O,X
ILTJZOS,O,X,X,X,O,O,X,X,O,X,X,X
ILTJOSZ,O,X,X,O,X,X,O,X,O,X,X,X
ILTJOZS,O,X,X,X,X,O,O,X,O,X,X,X
ILTSJZO,X,O,O,X,X,X,X,O,O,X,X,X
ILTSJOZ,X,X,X,X,X,X,X,O,O,X,X,X
ILTSZJO,X,O,O,X,O,O,X,O,O,X,X,O
ILTSZOJ,X,O,O,X,O,O,X,X,O,X,X,O
ILTSOJZ,X,X,X,X,X,X,X,O,O,X,X,X
ILTSOZJ,X,O,O,X,X,X,X,O,O,X,X,X
ILTZJSO,X,X,O,X,O,O,X,X,X,O,X,X
ILTZJOS,X,X,X,X,O,O,X,X,X,X,X,X
ILTZSJO,X,X,O,X,O,O,X,X,O,O,O,X
ILTZSOJ,X,X,O,X,O,O,X,X,O,O,O,X
ILTZOJS,X,X,X,X,O,O,X,X,X,X,X,X
ILTZOSJ,X,X,O,X,O,O,X,X,O,X,X,X
ILTOJSZ,O,X,X,O,X,X,O,X,O,X,X,X
ILTOJZS,O,X,X,X,O,X,O,X,O,X,X,X
ILTOSJZ,X,X,X,X,X,X,X,X,O,X,X,X
ILTOSZJ,X,X,O,X,O,X,O,X,O,X,X,X
ILTOZJS,X,X,X,X,O,O,O,X,X,X,X,X
ILTOZSJ,X,X,X,X,O,O,O,X,O,X,X,X
ILJTSZO,O,O,O,O,X,O,X,O,O,X,X,O
ILJTSOZ,X,O,X,O,X,X,X,O,O,X,X,X
ILJTZSO,O,X,X,O,O,O,X,X,O,O,O,X
ILJTZOS,O,X,X,X,O,O,X,X,O,X,X,X
ILJTOSZ,O,X,X,O,X,X,O,X,O,X,X,X
ILJTOZS,O,X,X,X,X,O,O,X,O,X,X,X
ILJSTZO,O,O,O,O,X,O,X,O,O,X,X,O
ILJSTOZ,X,O,X,O,X,X,X,O,O,X,X,X
ILJSZTO,O,O,X,O,X,O,X,X,X,X,O,O
ILJSZOT,X,O,X,O,X,X,X,X,X,X,O,X
ILJSOTZ,X,O,X,O,X,X,O,X,O,X,X,X
ILJSOZT,X,O,X,O,X,X,O,X,X,X,X,X
ILJZTSO,O,X,O,O,O,O,X,X,O,O,O,X
ILJZTOS,O,X,X,X,O,O,X,X,O,X,X,X
ILJZSTO,O,O,O,O,X,O,X,X,X,X,O,X
ILJZSOT,X,O,X,O,X,X,X,X,X,X,O,X
ILJZOTS,O,X,X,X,X,O,O,X,O,X,X,X
ILJZOST,X,X,X,X,X,X,O,X,X,X,O,X
ILJOTSZ,O,X,X,O,X,X,O,X,O,X,X,X
ILJOTZS,O,X,X,X,O,O,O,X,O,X,O,X
ILJOSTZ,O,X,X,O,X,X,O,X,O,X,X,X
ILJOSZT,O,X,X,O,X,X,O,X,X,X,O,X
ILJOZTS,O,X,X,X,O,O,O,X,O,X,O,X
ILJOZST,O,X,X,X,X,X,O,X,X,X,O,X
ILSTJZO,X,O,O,X,X,X,X,O,O,X,X,X
ILSTJOZ,X,O,X,X,X,X,X,O,O,X,X,X
ILSTZJO,X,O,O,X,O,O,X,O,O,X,O,O
ILSTZOJ,X,O,O,X,O,O,X,X,O,X,X,O
ILSTOJZ,X,X,X,X,X,X,X,O,O,X,X,X
ILSTOZJ,X,O,O,X,X,X,X,O,O,X,X,X
ILSJTZO,O,O,O,O,X,O,X,O,O,X,X,O
ILSJTOZ,X,O,X,O,X,X,X,O,O,X,X,X
ILSJZTO,O,O,X,O,X,O,X,X,X,X,O,O
ILSJZOT,X,O,X,O,X,X,X,X,X,X,O,X
ILSJOTZ,X,O,X,O,X,X,O,X,O,X,X,X
ILSJOZT,X,O,X,O,X,X,O,X,X,X,X,X
ILSZTJO,X,O,O,X,O,O,X,X,X,X,O,O
ILSZTOJ,X,O,O,X,O,O,X,X,X,X,O,O
ILSZJTO,X,O,O,X,X,X,X,X,X,X,O,O
ILSZJOT,X,O,X,X,X,X,X,X,X,X,X,X
ILSZOTJ,X,O,O,X,X,X,X,X,X,X,O,X
ILSZOJT,X,O,X,X,X,X,X,X,X,X,X,X
ILSOTJZ,X,X,O,X,X,X,X,X,O,X,X,X
ILSOTZJ,X,O,O,X,O,X,O,X,O,X,O,X
ILSOJTZ,O,O,O,X,X,X,O,X,O,X,X,X
ILSOJZT,O,O,X,X,X,X,O,X,X,X,X,X
ILSOZTJ,X,O,O,X,O,X,O,X,X,X,O,X
ILSOZJT,X,O,X,X,X,X,O,X,X,X,X,X
ILZTJSO,X,X,O,X,O,O,X,X,X,O,X,X
ILZTJOS,X,X,X,X,O,O,X,X,X,X,X,X
ILZTSJO,X,X,O,X,O,O,X,X,O,O,O,X
ILZTSOJ,X,X,O,X,O,O,X,X,O,O,O,X
ILZTOJS,X,X,X,X,O,O,X,X,X,X,X,X
ILZTOSJ,X,X,O,X,O,O,X,X,O,X,X,X
ILZJTSO,O,X,O,O,O,O,X,X,O,X,O,X
ILZJTOS,O,X,X,X,O,O,X,X,O,X,X,X
ILZJSTO,O,O,O,O,X,O,X,X,X,X,O,X
ILZJSOT,X,O,X,O,X,X,X,X,X,X,O,X
ILZJOTS,O,X,X,X,X,O,O,X,O,X,X,X
ILZJOST,X,X,X,X,X,X,O,X,X,X,O,X
ILZSTJO,X,O,O,X,O,O,X,X,X,X,O,X
ILZSTOJ,X,O,O,X,O,O,X,X,X,X,O,X
ILZSJTO,X,O,O,X,X,X,X,X,X,X,O,X
ILZSJOT,X,O,X,X,X,X,X,X,X,X,O,X
ILZSOTJ,X,O,O,X,X,X,X,X,X,X,O,X
ILZSOJT,X,O,X,X,X,X,X,X,X,X,X,X
ILZOTJS,X,X,X,X,O,O,O,X,X,X,X,X
ILZOTSJ,X,X,O,X,O,O,O,X,O,X,X,X
ILZOJTS,O,X,X,X,O,X,O,X,O,X,X,X
ILZOJST,O,X,X,X,X,X,O,X,X,X,X,X
ILZOSTJ,X,X,O,X,O,X,O,X,X,X,O,X
ILZOSJT,X,X,X,X,X,X,O,X,X,X,X,X
ILOTJSZ,O,X,O,O,X,X,O,X,O,X,X,X
ILOTJZS,O,X,X,X,O,X,O,X,O,X,O,X
ILOTSJZ,X,X,O,X,X,X,X,O,O,X,X,X
ILOTSZJ,X,X,O,X,O,X,O,O,O,X,X,X
ILOTZJS,X,X,O,X,O,O,O,X,X,X,X,X
ILOTZSJ,X,X,O,X,O,O,O,X,O,X,O,X
ILOJTSZ,O,X,O,O,X,X,O,O,O,X,X,X
ILOJTZS,O,X,X,X,O,O,O,X,O,X,O,X
ILOJSTZ,O,X,O,O,X,X,O,O,O,X,X,X
ILOJSZT,O,X,X,O,X,X,O,X,X,X,O,X
ILOJZTS,O,X,O,X,O,O,O,X,O,X,O,X
ILOJZST,O,X,O,X,X,X,O,X,X,X,O,X
ILOSTJZ,X,X,O,X,X,X,X,O,O,X,X,X
ILOSTZJ,X,X,O,X,O,X,O,O,O,X,O,X
ILOSJTZ,O,X,O,X,X,X,O,O,O,X,X,X
ILOSJZT,O,X,X,X,X,X,O,X,X,X,O,X
ILOSZTJ,X,X,O,X,O,X,O,X,X,X,O,X
ILOSZJT,X,X,O,X,X,X,O,X,X,X,O,X
ILOZTJS,X,X,O,X,O,O,O,X,X,X,X,X
ILOZTSJ,X,X,O,X,O,O,O,X,O,X,O,X
ILOZJTS,O,X,O,X,O,X,O,X,O,X,O,X
ILOZJST,O,X,O,X,X,X,O,X,X,X,O,X
ILOZSTJ,X,X,O,X,O,X,O,X,X,X,O,X
ILOZSJT,X,X,O,X,X,X,O,X,X,X,O,X
IJTLSZO,O,X,O,O,X,O,X,O,O,X,X,O
IJTLSOZ,X,X,X,O,X,X,X,O,O,X,X,X
IJTLZSO,O,X,X,O,O,O,X,X,O,O,O,X
IJTLZOS,O,X,X,X,O,O,X,X,O,X,X,X
IJTLOSZ,X,X,X,O,X,X,O,X,O,X,X,X
IJTLOZS,O,X,X,X,X,O,O,X,O,X,X,X
IJTSLZO,X,O,O,O,X,O,X,O,O,X,X,O
IJTSLOZ,X,O,X,O,X,X,X,O,O,X,X,X
IJTSZLO,O,O,O,X,X,O,X,O,O,O,X,O
IJTSZOL,X,X,O,O,X,X,X,O,O,O,X,O
IJTSOLZ,X,X,X,O,X,X,X,O,O,X,X,X
IJTSOZL,X,X,X,O,X,X,X,O,O,X,X,O
IJTZLSO,O,X,X,X,O,O,X,X,X,O,X,X
IJTZLOS,O,X,X,X,O,O,X,X,X,O,X,X
IJTZSLO,O,O,X,X,O,O,X,O,O,O,O,O
IJTZSOL,X,X,X,O,X,X,X,O,O,O,O,O
IJTZOLS,O,X,X,X,O,O,X,X,X,O,X,X
IJTZOSL,X,X,X,O,O,X,X,X,O,O,X,X
IJTOLSZ,X,X,X,O,X,X,X,X,O,X,X,X
IJTOLZS,O,X,X,X,X,O,X,X,O,X,O,X
IJTOSLZ,X,X,X,O,X,X,X,O,O,X,X,X
IJTOSZL,O,X,X,O,X,X,X,O,O,X,X,O
IJTOZLS,O,X,X,X,X,O,X,X,X,X,X,X
IJTOZSL,O,X,X,O,X,X,X,X,O,O,O,X
IJLTSZO,O,O,O,O,X,O,X,O,O,X,X,O
IJLTSOZ,X,O,X,O,X,X,X,O,O,X,X,X
IJLTZSO,O,X,X,O,O,O,X,X,O,O,O,X
IJLTZOS,O,X,X,X,O,O,X,X,O,X,X,X
IJLTOSZ,O,X,X,O,X,X,O,X,O,X,X,X
IJLTOZS,O,X,X,X,X,O,O,X,O,X,X,X
IJLSTZO,O,O,O,O,X,O,X,O,O,X,X,O
IJLSTOZ,X,O,X,O,X,X,X,O,O,X,X,X
IJLSZTO,O,O,X,O,X,O,X,X,X,X,O,O
IJLSZOT,X,O,X,O,X,X,X,X,X,X,O,X
IJLSOTZ,X,O,X,O,X,X,O,X,O,X,X,X
IJLSOZT,X,O,X,O,X,X,O,X,X,X,X,X
IJLZTSO,O,X,O,O,O,O,X,X,O,O,O,X
IJLZTOS,O,X,X,X,O,O,X,X,O,X,X,X
IJLZSTO,O,O,O,O,X,O,X,X,X,X,O,X
IJLZSOT,X,O,X,O,X,X,X,X,X,X,O,X
IJLZOTS,O,X,X,X,X,O,O,X,O,X,X,X
IJLZOST,X,X,X,X,X,X,O,X,X,X,O,X
IJLOTSZ,O,X,X,O,X,X,O,X,O,X,X,X
IJLOTZS,O,X,X,X,O,O,O,X,O,X,O,X
IJLOSTZ,O,X,X,O,X,X,O,X,O,X,X,X
IJLOSZT,O,X,X,O,X,X,O,X,X,X,O,X
IJLOZTS,O,X,X,X,O,O,O,X,O,X,O,X
IJLOZST,O,X,X,X,X,X,O,X,X,X,O,X
IJSTLZO,X,O,O,O,X,O,X,O,O,X,X,O
IJSTLOZ,X,O,X,O,X,X,X,O,O,X,X,X
IJSTZLO,O,O,O,X,X,O,X,O,O,O,O,O
IJSTZOL,X,X,O,O,X,X,X,O,O,O,O,O
IJSTOLZ,X,X,X,O,X,X,X,O,O,X,X,X
IJSTOZL,X,X,X,O,X,X,X,O,O,X,X,O
IJSLTZO,O,O,O,O,X,O,X,O,O,X,X,O
IJSLTOZ,X,O,X,O,X,X,X,O,O,X,X,X
IJSLZTO,O,O,X,O,X,O,X,X,X,X,O,O
IJSLZOT,X,O,X,O,X,X,X,X,X,X,O,X
IJSLOTZ,X,O,X,O,X,X,O,X,O,X,X,X
IJSLOZT,X,O,X,O,X,X,O,X,X,X,X,X
IJSZTLO,O,O,O,X,X,O,X,O,X,O,O,O
IJSZTOL,X,X,O,O,X,X,X,O,X,O,O,O
IJSZLTO,O,O,X,O,X,X,X,X,X,X,O,O
IJSZLOT,X,O,X,O,X,X,X,X,X,X,X,X
IJSZOTL,X,X,X,O,X,X,X,X,X,X,O,O
IJSZOLT,X,O,X,O,X,X,X,X,X,X,X,X
IJSOTLZ,X,X,O,O,X,X,X,O,O,X,X,X
IJSOTZL,X,X,O,O,X,X,X,O,O,X,O,O
IJSOLTZ,X,O,O,O,X,X,X,X,O,X,X,X
IJSOLZT,X,O,X,O,X,X,X,X,X,X,O,X
IJSOZTL,X,X,O,O,X,X,X,X,X,X,O,O
IJSOZLT,X,O,X,O,X,X,X,X,X,X,O,X
IJZTLSO,O,X,X,X,O,O,X,X,X,O,X,X
IJZTLOS,O,X,X,X,O,O,X,X,X,O,X,X
IJZTSLO,O,O,O,X,O,O,X,O,O,O,O,O
IJZTSOL,X,X,O,O,X,X,X,O,O,O,O,O
IJZTOLS,O,X,X,X,O,O,X,X,X,O,X,X
IJZTOSL,X,X,X,O,O,X,X,X,O,O,X,X
IJZLTSO,O,X,X,O,O,O,X,X,O,O,O,X
IJZLTOS,O,X,X,X,O,O,X,X,O,X,X,X
IJZLSTO,O,O,X,O,X,O,X,X,X,X,O,X
IJZLSOT,X,O,X,O,X,X,X,X,X,X,O,X
IJZLOTS,O,X,X,X,X,O,O,X,O,X,X,X
IJZLOST,X,X,X,X,X,X,O,X,X,X,O,X
IJZSTLO,O,O,O,X,X,O,X,O,X,O,O,O
IJZSTOL,X,X,O,O,X,X,X,O,X,O,O,O
IJZSLTO,O,O,X,O,X,X,X,X,X,X,O,O
IJZSLOT,X,O,X,O,X,X,X,X,X,X,X,X
IJZSOTL,X,X,X,O,X,X,X,X,X,X,O,O
IJZSOLT,X,O,X,O,X,X,X,X,X,X,X,X
IJZOTLS,O,X,X,X,X,O,X,X,X,X,X,X
IJZOTSL,X,X,X,O,X,X,X,X,O,O,O,X
IJZOLTS,O,X,X,X,X,X,X,X,O,X,O,X
IJZOLST,X,X,X,X,X,X,X,X,X,X,O,X
IJZOSTL,X,X,X,O,X,X,X,X,X,X,O,X
IJZOSLT,X,O,X,O,X,X,X,X,X,X,O,X
IJOTLSZ,O,X,O,O,X,X,X,O,O,X,X,X
IJOTLZS,O,X,X,X,O,O,X,X,O,X,O,X
IJOTSLZ,X,X,O,O,X,X,X,O,O,X,X,X
IJOTSZL,O,X,O,O,X,X,X,O,O,X,X,O
IJOTZLS,O,X,X,X,O,O,X,X,X,X,X,X
IJOTZSL,O,X,X,O,O,X,X,O,O,O,O,X
IJOLTSZ,O,X,O,O,X,X,O,O,O,X,X,X
IJOLTZS,O,X,X,X,O,O,O,X,O,X,O,X
IJOLSTZ,O,X,O,O,X,X,O,O,O,X,X,X
IJOLSZT,O,X,X,O,X,X,O,X,X,X,O,X
IJOLZTS,O,X,O,X,O,O,O,X,O,X,O,X
IJOLZST,O,X,O,X,X,X,O,X,X,X,O,X
IJOSTLZ,X,X,O,O,X,X,X,O,O,X,X,X
IJOSTZL,O,X,O,O,X,X,X,O,O,X,O,O
IJOSLTZ,O,O,O,O,X,X,X,O,O,X,X,X
IJOSLZT,O,O,X,O,X,X,X,X,X,X,O,X
IJOSZTL,O,X,O,O,X,X,X,O,X,X,O,O
IJOSZLT,O,O,X,O,X,X,X,X,X,X,O,X
IJOZTLS,O,X,X,X,O,O,X,X,X,X,X,X
IJOZTSL,O,X,O,O,O,X,X,O,O,O,O,X
IJOZLTS,O,X,X,X,X,X,X,X,O,X,O,X
IJOZLST,O,X,X,X,X,X,X,X,X,X,O,X
IJOZSTL,O,X,O,O,X,X,X,O,X,X,O,X
IJOZSLT,O,O,X,O,X,X,X,X,X,X,O,X
ISTLJZO,X,O,O,X,X,X,X,O,X,X,X,X
ISTLJOZ,X,O,X,X,X,X,X,O,X,X,X,X
ISTLZJO,X,O,O,X,O,O,X,O,X,X,O,O
ISTLZOJ,X,O,O,X,O,O,X,X,X,X,X,O
ISTLOJZ,X,X,X,X,X,X,X,O,X,X,X,X
ISTLOZJ,X,O,O,X,X,X,X,O,X,X,X,X
ISTJLZO,X,O,O,X,X,X,X,O,X,X,X,O
ISTJLOZ,X,O,X,X,X,X,X,O,X,X,X,X
ISTJZLO,X,O,O,X,X,X,X,O,X,X,O,O
ISTJZOL,X,X,O,X,X,X,X,O,X,X,O,O
ISTJOLZ,X,X,X,X,X,X,X,O,X,X,X,X
ISTJOZL,X,X,X,X,X,X,X,O,X,X,X,O
ISTZLJO,X,O,O,X,O,O,X,O,X,O,O,O
ISTZLOJ,X,O,O,X,O,O,X,X,X,O,X,O
ISTZJLO,X,O,O,X,O,O,X,O,X,O,O,O
ISTZJOL,X,X,O,X,X,X,X,O,X,O,O,O
ISTZOLJ,X,X,X,X,O,X,X,O,X,O,X,O
ISTZOJL,X,X,O,X,O,X,X,O,X,O,O,O
ISTOLJZ,X,X,O,X,X,X,X,O,X,X,X,X
ISTOLZJ,X,X,O,X,X,X,X,O,X,X,O,X
ISTOJLZ,X,X,O,O,X,X,X,O,X,X,X,X
ISTOJZL,X,X,O,O,X,X,X,O,X,X,O,X
ISTOZLJ,X,X,O,X,X,X,X,O,X,X,O,O
ISTOZJL,X,X,O,X,X,X,X,O,X,X,O,O
ISLTJZO,X,O,O,X,X,X,X,O,O,X,X,X
ISLTJOZ,X,O,X,X,X,X,X,O,O,X,X,X
ISLTZJO,X,O,O,X,O,O,X,O,O,X,O,O
ISLTZOJ,X,O,O,X,O,O,X,X,O,X,X,O
ISLTOJZ,X,X,X,X,X,X,X,O,O,X,X,X
ISLTOZJ,X,O,O,X,X,X,X,O,O,X,X,X
ISLJTZO,O,O,O,O,X,O,X,O,O,X,X,O
ISLJTOZ,X,O,X,O,X,X,X,O,O,X,X,X
ISLJZTO,O,O,X,O,X,O,X,X,X,X,O,O
ISLJZOT,X,O,X,O,X,X,X,X,X,X,O,X
ISLJOTZ,X,O,X,O,X,X,O,X,O,X,X,X
ISLJOZT,X,O,X,O,X,X,O,X,X,X,X,X
ISLZTJO,X,O,O,X,O,O,X,X,X,X,O,O
ISLZTOJ,X,O,O,X,O,O,X,X,X,X,O,O
ISLZJTO,X,O,O,X,X,X,X,X,X,X,O,O
ISLZJOT,X,O,X,X,X,X,X,X,X,X,X,X
ISLZOTJ,X,O,O,X,X,X,X,X,X,X,O,X
ISLZOJT,X,O,X,X,X,X,X,X,X,X,X,X
ISLOTJZ,X,X,O,X,X,X,X,X,O,X,X,X
ISLOTZJ,X,O,O,X,O,X,O,X,O,X,O,X
ISLOJTZ,O,O,O,X,X,X,O,X,O,X,X,X
ISLOJZT,O,O,X,X,X,X,O,X,X,X,X,X
ISLOZTJ,X,O,O,X,O,X,O,X,X,X,O,X
ISLOZJT,X,O,X,X,X,X,O,X,X,X,X,X
ISJTLZO,X,O,O,O,X,O,X,O,O,X,X,O
ISJTLOZ,X,O,X,O,X,X,X,O,O,X,X,X
ISJTZLO,O,O,O,X,X,O,X,O,O,O,O,O
ISJTZOL,X,X,O,O,X,X,X,O,O,O,O,O
ISJTOLZ,X,X,X,O,X,X,X,O,O,X,X,X
ISJTOZL,X,X,X,O,X,X,X,O,O,X,X,O
ISJLTZO,O,O,O,O,X,O,X,O,O,X,X,O
ISJLTOZ,X,O,X,O,X,X,X,O,O,X,X,X
ISJLZTO,O,O,X,O,X,O,X,X,X,X,O,O
ISJLZOT,X,O,X,O,X,X,X,X,X,X,O,X
ISJLOTZ,X,O,X,O,X,X,O,X,O,X,X,X
ISJLOZT,X,O,X,O,X,X,O,X,X,X,X,X
ISJZTLO,O,O,O,X,X,O,X,O,X,O,O,O
ISJZTOL,X,X,O,O,X,X,X,O,X,O,O,O
ISJZLTO,O,O,X,O,X,X,X,X,X,X,O,O
ISJZLOT,X,O,X,O,X,X,X,X,X,X,X,X
ISJZOTL,X,X,X,O,X,X,X,X,X,X,O,O
ISJZOLT,X,O,X,O,X,X,X,X,X,X,X,X
ISJOTLZ,X,X,O,O,X,X,X,O,O,X,X,X
ISJOTZL,X,X,O,O,X,X,X,O,O,X,O,O
ISJOLTZ,X,O,O,O,X,X,X,X,O,X,X,X
ISJOLZT,X,O,X,O,X,X,X,X,X,X,O,X
ISJOZTL,X,X,O,O,X,X,X,X,X,X,O,O
ISJOZLT,X,O,X,O,X,X,X,X,X,X,O,X
ISZTLJO,X,O,O,X,O,O,X,O,X,O,O,O
ISZTLOJ,X,O,O,X,O,O,X,X,X,O,X,O
ISZTJLO,X,O,O,X,O,O,X,O,X,O,O,O
ISZTJOL,X,X,O,X,X,X,X,O,X,O,O,O
ISZTOLJ,X,X,X,X,O,X,X,O,X,O,X,O
ISZTOJL,X,X,O,X,O,X,X,O,X,O,O,O
ISZLTJO,X,O,O,X,O,O,X,X,X,X,O,O
ISZLTOJ,X,O,O,X,O,O,X,X,X,X,X,O
ISZLJTO,X,O,X,X,X,X,X,X,X,X,X,O
ISZLJOT,X,O,X,X,X,X,X,X,X,X,X,X
ISZLOTJ,X,O,X,X,X,X,X,X,X,X,X,X
ISZLOJT,X,O,X,X,X,X,X,X,X,X,X,X
ISZJTLO,O,O,O,X,X,X,X,O,X,X,O,O
ISZJTOL,X,X,O,X,X,X,X,O,X,X,O,O
ISZJLTO,O,O,X,X,X,X,X,X,X,X,O,O
ISZJLOT,X,O,X,X,X,X,X,X,X,X,X,X
ISZJOTL,X,X,X,X,X,X,X,X,X,X,O,O
ISZJOLT,X,O,X,X,X,X,X,X,X,X,X,X
ISZOTLJ,X,X,O,X,X,X,X,X,X,X,O,O
ISZOTJL,X,X,O,X,X,X,X,X,X,X,O,O
ISZOLTJ,X,O,O,X,X,X,X,X,X,X,O,X
ISZOLJT,X,O,X,X,X,X,X,X,X,X,X,X
ISZOJTL,X,X,O,X,X,X,X,X,X,X,O,O
ISZOJLT,X,O,X,X,X,X,X,X,X,X,X,X
ISOTLJZ,X,X,O,X,X,X,X,O,X,X,X,X
ISOTLZJ,X,X,O,X,O,X,X,O,X,X,O,X
ISOTJLZ,X,X,O,O,X,X,X,O,X,X,X,X
ISOTJZL,X,X,O,O,X,X,X,O,X,X,O,X
ISOTZLJ,X,X,O,X,O,X,X,O,X,X,O,O
ISOTZJL,X,X,O,X,O,X,X,O,X,X,O,O
ISOLTJZ,X,X,O,X,X,X,X,O,O,X,X,X
ISOLTZJ,X,O,O,X,O,X,X,O,O,X,O,X
ISOLJTZ,O,O,O,X,X,X,X,O,O,X,X,X
ISOLJZT,O,O,X,X,X,X,X,X,X,X,O,X
ISOLZTJ,X,O,O,X,O,X,X,X,X,X,O,X
ISOLZJT,X,O,O,X,X,X,X,X,X,X,O,X
ISOJTLZ,X,X,O,O,X,X,X,O,O,X,X,X
ISOJTZL,O,X,O,O,X,X,X,O,O,X,O,O
ISOJLTZ,O,O,O,O,X,X,X,O,O,X,X,X
ISOJLZT,O,O,X,O,X,X,X,X,X,X,O,X
ISOJZTL,O,X,O,O,X,X,X,O,X,X,O,O
ISOJZLT,O,O,X,O,X,X,X,X,X,X,O,X
ISOZTLJ,X,X,O,X,O,X,X,O,X,X,O,O
ISOZTJL,X,X,O,X,O,X,X,O,X,X,O,O
ISOZLTJ,X,O,O,X,X,X,X,X,X,X,O,X
ISOZLJT,X,O,X,X,X,X,X,X,X,X,X,X
ISOZJTL,O,X,O,X,X,X,X,O,X,X,O,O
ISOZJLT,O,O,X,X,X,X,X,X,X,X,O,X
IZTLJSO,X,X,X,X,O,O,X,X,X,O,X,X
IZTLJOS,X,X,X,X,O,O,X,X,X,O,X,X
IZTLSJO,X,X,O,X,O,O,X,X,X,O,X,X
IZTLSOJ,X,X,O,X,O,O,X,X,X,O,X,X
IZTLOJS,X,X,X,X,O,O,X,X,X,X,X,X
IZTLOSJ,X,X,X,X,O,O,X,X,X,X,X,X
IZTJLSO,O,X,X,X,O,O,X,X,X,O,X,X
IZTJLOS,O,X,X,X,O,O,X,X,X,O,X,X
IZTJSLO,O,O,O,X,O,O,X,X,X,O,O,O
IZTJSOL,X,X,O,X,X,X,X,X,X,O,O,O
IZTJOLS,O,X,X,X,O,O,X,X,X,O,X,X
IZTJOSL,X,X,X,X,O,X,X,X,X,O,X,X
IZTSLJO,X,O,O,X,O,O,X,O,X,O,O,O
IZTSLOJ,X,O,O,X,O,O,X,X,X,O,X,O
IZTSJLO,X,O,O,X,O,O,X,O,X,O,O,O
IZTSJOL,X,X,O,X,X,X,X,O,X,O,O,O
IZTSOLJ,X,X,X,X,O,X,X,O,X,O,X,O
IZTSOJL,X,X,O,X,O,X,X,O,X,O,O,O
IZTOLJS,X,X,X,X,O,O,X,X,X,X,X,X
IZTOLSJ,X,X,X,X,O,O,X,X,X,X,X,X
IZTOJLS,X,X,X,X,O,O,X,X,X,X,X,X
IZTOJSL,X,X,X,O,O,X,X,X,X,O,X,X
IZTOSLJ,X,X,X,X,O,X,X,X,X,O,X,X
