sequence,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcBTeB?lmBatBXsBGsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcBTeB?lmBmsB3sBCsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcB3hB?FjB6sBOtBzrB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxdBXjB?lmBmsB6rBTsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcBTeB?1mBatBGsBXsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFXdBFjB?xmB6rBOtBTsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFmcBTeB?1mBfoBSsBRxB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcBTeB?1mBSsBetBXsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFViBGeB?ZoBThBXnBSxB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhF/iBGeB?ZoBlmBTsB6rB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFqiBTeB?3hB2sBlmBRxB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFSiBTeB?xmBetBlmBXsB
ITZSJOL,X,O,X,O,X,O,O,O,X,X,O,X
ITZSOLJ,O,X,O,X,O,O,O,X,X,X,X,X
ITZSOJL,X,X,X,X,X,O,O,X,X,X,X,X
ITZOLJS,O,X,X,X,O,X,X,X,X,X,X,X
ITZOLSJ,O,X,X,X,O,O,O,X,X,O,X,X
ITZOJLS,O,O,X,X,O,X,X,O,X,X,O,X
ITZOJSL,X,O,X,X,X,O,O,O,X,O,O,X
ITZOSLJ,O,X,O,X,O,O,O,X,X,O,X,X
ITZOSJL,X,X,X,X,X,O,O,X,X,O,X,X
ITOLJSZ,X,X,X,X,O,X,X,X,X,X,X,X
ITOLJZS,O,X,X,X,O,X,X,X,X,X,X,X
ITOLSJZ,O,X,X,X,X,X,O,X,X,O,X,X
ITOLSZJ,O,X,X,X,O,O,O,X,X,O,X,X
ITOLZJS,O,X,X,X,O,X,X,X,X,X,X,X
ITOLZSJ,O,X,X,X,O,O,O,X,X,O,X,X
ITOJLSZ,X,X,X,X,X,X,X,X,X,X,O,X
ITOJLZS,X,O,X,X,X,X,X,O,X,X,O,X
ITOJSLZ,X,X,X,X,X,X,O,X,X,O,O,X
ITOJSZL,X,O,X,X,X,O,O,O,X,O,O,X
ITOJZLS,O,O,X,X,O,X,X,O,X,X,O,X
ITOJZSL,X,O,X,X,X,O,O,O,X,O,O,X
ITOSLJZ,X,X,X,X,X,X,O,X,X,O,X,X
ITOSLZJ,X,X,X,X,X,O,O,X,X,O,X,X
ITOSJLZ,X,X,X,X,X,X,O,X,X,O,X,X
ITOSJZL,X,X,X,X,X,O,O,X,X,O,X,X
ITOSZLJ,O,X,O,X,O,O,O,X,X,O,X,X
ITOSZJL,X,X,X,X,X,O,O,X,X,O,X,X
ITOZLJS,O,X,X,X,O,X,X,X,X,X,X,X
ITOZLSJ,O,X,X,X,O,O,O,X,X,O,X,X
ITOZJLS,O,O,X,X,O,X,X,O,X,X,O,X
ITOZJSL,X,O,X,X,X,O,O,O,X,O,O,X
ITOZSLJ,O,X,O,X,O,O,O,X,X,O,X,X
ITOZSJL,X,X,X,X,X,O,O,X,X,O,X,X
ILTJSZO,X,X,X,X,O,X,O,X,O,X,X,X
ILTJSOZ,X,X,X,X,O,X,O,X,O,X,X,X
ILTJZSO,X,X,X,X,O,X,O,X,O,X,X,X
ILTJZOS,O,O,X,X,O,X,X,O,X,X,X,O
ILTJOSZ,X,X,X,X,O,X,X,X,X,X,X,X
ILTJOZS,O,O,X,X,O,X,X,O,X,X,X,O
ILTSJZO,O,X,O,X,X,X,O,X,O,X,X,X
ILTSJOZ,O,X,X,X,X,X,O,X,O,X,X,X
ILTSZJO,O,X,O,X,X,O,O,X,O,X,X,X
ILTSZOJ,O,X,O,X,O,O,O,X,O,X,X,X
ILTSOJZ,O,X,X,X,X,X,O,X,O,X,X,X
ILTSOZJ,O,X,O,X,O,X,O,X,O,X,X,X
ILTZJSO,X,X,X,X,O,X,O,X,O,X,X,X
ILTZJOS,O,O,X,X,O,X,X,O,X,X,X,O
ILTZSJO,O,X,O,X,X,O,O,X,O,X,X,X
ILTZSOJ,O,X,O,X,O,O,O,X,O,X,X,X
ILTZOJS,O,X,X,X,O,X,X,X,X,X,X,X
ILTZOSJ,O,X,X,X,O,O,O,X,X,X,X,X
ILTOJSZ,X,X,X,X,O,X,X,X,X,X,X,X
ILTOJZS,O,X,X,X,O,X,X,X,X,X,X,X
ILTOSJZ,O,X,X,X,X,X,O,X,X,X,X,X
ILTOSZJ,O,X,X,X,O,O,O,X,X,X,X,X
ILTOZJS,O,X,X,X,O,X,X,X,X,X,X,X
ILTOZSJ,O,X,X,X,O,O,O,X,X,X,X,X
ILJTSZO,X,X,X,X,O,X,O,X,O,X,O,X
ILJTSOZ,X,X,X,X,O,X,O,X,O,X,O,X
ILJTZSO,X,X,X,X,O,X,O,X,O,X,O,X
ILJTZOS,X,O,X,X,O,X,X,O,X,X,O,O
ILJTOSZ,X,X,X,X,O,X,X,X,X,X,O,X
ILJTOZS,X,O,X,X,O,X,X,O,X,X,O,O
ILJSTZO,X,X,X,X,X,X,X,X,O,X,O,O
ILJSTOZ,X,X,X,X,X,X,X,X,O,X,O,O
ILJSZTO,X,X,X,X,X,X,X,X,O,X,O,O
ILJSZOT,X,X,X,X,O,X,X,O,O,X,O,O
ILJSOTZ,X,X,X,X,X,X,X,X,O,X,O,O
ILJSOZT,X,X,X,X,O,X,X,O,O,X,O,O
ILJZTSO,X,X,X,X,O,X,O,X,O,X,O,X
ILJZTOS,X,O,X,X,O,X,X,O,X,X,O,O
ILJZSTO,X,X,X,X,X,X,X,X,O,X,O,O
ILJZSOT,X,X,X,X,O,X,X,O,O,X,O,O
ILJZOTS,O,O,X,X,O,X,X,O,X,X,O,O
ILJZOST,O,X,X,X,O,X,X,O,O,X,O,O
ILJOTSZ,X,X,X,X,O,X,X,X,X,X,O,X
ILJOTZS,X,X,X,X,O,X,X,O,X,X,O,O
ILJOSTZ,X,X,X,X,X,X,X,X,O,X,O,O
ILJOSZT,X,X,X,X,O,X,X,O,O,X,O,O
ILJOZTS,O,O,X,X,O,X,X,O,X,X,O,O
ILJOZST,O,X,X,X,O,X,X,O,O,X,O,O
ILSTJZO,O,X,O,X,X,X,O,X,O,X,X,X
ILSTJOZ,O,X,X,X,X,X,O,X,O,X,X,X
ILSTZJO,O,X,O,X,X,O,O,X,O,X,X,X
ILSTZOJ,O,X,O,X,X,O,O,X,O,X,X,X
ILSTOJZ,O,X,X,X,X,X,O,X,O,X,X,X
ILSTOZJ,O,X,O,X,X,X,O,X,O,X,X,X
ILSJTZO,X,X,O,X,X,X,X,X,O,X,O,X
ILSJTOZ,X,X,X,X,X,X,X,X,O,X,O,X
ILSJZTO,X,X,O,X,X,X,X,X,O,X,O,X
ILSJZOT,O,X,X,X,X,X,X,X,O,X,O,O
ILSJOTZ,X,X,X,X,X,X,X,X,O,X,O,X
ILSJOZT,O,X,X,X,X,X,X,X,O,X,O,O
ILSZTJO,O,X,O,X,X,O,O,X,O,X,X,X
ILSZTOJ,O,X,O,X,X,O,O,X,O,X,X,X
ILSZJTO,X,X,O,X,X,X,X,X,O,X,O,X
ILSZJOT,O,X,X,X,X,X,X,X,O,X,O,O
ILSZOTJ,O,X,O,X,O,X,O,X,O,X,X,X
ILSZOJT,O,X,X,X,O,X,X,X,O,X,X,X
ILSOTJZ,O,X,X,X,X,X,O,X,O,X,X,X
ILSOTZJ,O,X,O,X,X,X,O,X,O,X,X,X
ILSOJTZ,X,X,X,X,X,X,X,X,O,X,X,X
ILSOJZT,O,X,X,X,X,X,X,X,O,X,X,X
ILSOZTJ,O,X,O,X,O,X,O,X,O,X,X,X
ILSOZJT,O,X,X,X,O,X,X,X,O,X,X,X
ILZTJSO,X,X,X,X,O,X,O,X,O,X,X,X
ILZTJOS,O,O,X,X,O,X,X,O,X,X,X,O
ILZTSJO,O,X,O,X,X,O,O,X,O,X,X,X
ILZTSOJ,O,X,O,X,O,O,O,X,O,X,X,X
ILZTOJS,O,X,X,X,O,X,X,X,X,X,X,X
ILZTOSJ,O,X,X,X,O,O,O,X,X,X,X,X
ILZJTSO,X,X,X,X,O,X,O,X,O,X,O,X
ILZJTOS,X,O,X,X,O,X,X,O,X,X,O,O
ILZJSTO,X,X,X,X,X,X,X,X,O,X,O,O
ILZJSOT,X,X,X,X,O,X,X,O,O,X,O,O
ILZJOTS,O,O,X,X,O,X,X,O,X,X,O,O
ILZJOST,O,X,X,X,O,X,X,O,O,X,O,O
ILZSTJO,O,X,O,X,X,O,O,X,O,X,X,X
ILZSTOJ,O,X,O,X,X,O,O,X,O,X,X,X
ILZSJTO,X,X,O,X,X,X,X,X,O,X,O,X
ILZSJOT,O,X,X,X,X,X,X,X,O,X,O,O
ILZSOTJ,O,X,O,X,O,X,O,X,O,X,X,X
ILZSOJT,O,X,X,X,O,X,X,X,O,X,X,X
ILZOTJS,O,X,X,X,O,X,X,X,X,X,X,X
ILZOTSJ,O,X,X,X,O,X,O,X,X,O,X,X
ILZOJTS,O,O,X,X,O,X,X,O,X,X,O,O
ILZOJST,O,X,X,X,O,X,X,O,O,X,O,O
ILZOSTJ,O,X,X,X,O,X,O,X,O,X,X,X
ILZOSJT,O,X,X,X,O,X,X,X,O,X,X,X
ILOTJSZ,X,X,X,X,O,X,X,X,X,X,X,X
ILOTJZS,O,X,X,X,O,X,X,X,X,X,X,X
ILOTSJZ,O,X,X,X,X,X,O,X,X,O,X,X
ILOTSZJ,O,X,X,X,O,X,O,X,X,O,X,X
ILOTZJS,O,X,X,X,O,X,X,X,X,X,X,X
ILOTZSJ,O,X,X,X,O,X,O,X,X,O,X,X
ILOJTSZ,X,X,X,X,O,X,X,X,X,X,O,X
ILOJTZS,X,X,X,X,O,X,X,X,X,X,O,O
ILOJSTZ,X,X,X,X,X,X,X,X,O,X,O,X
ILOJSZT,X,X,X,X,O,X,X,X,O,X,O,O
ILOJZTS,O,X,X,X,O,X,X,X,X,X,O,O
ILOJZST,O,X,X,X,O,X,X,X,O,X,O,O
ILOSTJZ,O,X,X,X,X,X,O,X,O,X,X,X
ILOSTZJ,O,X,X,X,X,X,O,X,O,X,X,X
ILOSJTZ,X,X,X,X,X,X,X,X,O,X,X,X
ILOSJZT,O,X,X,X,X,X,X,X,O,X,X,X
ILOSZTJ,O,X,X,X,O,X,O,X,O,X,X,X
ILOSZJT,O,X,X,X,O,X,X,X,O,X,X,X
ILOZTJS,O,X,X,X,O,X,X,X,X,X,X,X
ILOZTSJ,O,X,X,X,O,X,O,X,X,O,X,X
ILOZJTS,O,O,X,X,O,X,X,O,X,X,O,O
ILOZJST,O,X,X,X,O,X,X,O,O,X,O,O
ILOZSTJ,O,X,X,X,O,X,O,X,O,X,X,X
ILOZSJT,O,X,X,X,O,X,X,X,O,X,X,X
IJTLSZO,X,X,X,X,O,X,O,O,O,X,O,X
IJTLSOZ,X,X,X,X,O,X,O,O,O,X,O,X
IJTLZSO,X,X,X,X,O,X,O,O,O,X,O,X
IJTLZOS,O,O,X,X,O,X,X,O,X,X,O,X
IJTLOSZ,X,X,X,X,O,X,X,O,X,X,O,X
IJTLOZS,O,O,X,X,O,X,X,O,X,X,O,X
IJTSLZO,X,O,X,O,X,X,O,X,X,X,O,O
IJTSLOZ,X,O,X,O,X,X,O,X,X,X,O,O
IJTSZLO,X,O,X,O,X,O,O,X,X,X,O,O
IJTSZOL,X,O,X,O,X,O,O,O,X,X,O,O
IJTSOLZ,X,O,X,O,X,X,O,X,X,X,O,O
IJTSOZL,X,O,X,O,X,X,O,O,X,X,O,O
IJTZLSO,X,X,X,X,O,X,O,O,O,X,O,X
IJTZLOS,O,O,X,X,O,X,X,O,X,X,O,X
IJTZSLO,X,O,X,O,X,O,O,X,X,X,O,O
IJTZSOL,X,O,X,O,X,O,O,O,X,X,O,O
IJTZOLS,O,O,X,X,O,X,X,O,X,X,O,X
IJTZOSL,X,O,X,X,X,O,O,O,X,X,O,O
IJTOLSZ,X,X,X,X,X,X,X,O,X,X,O,X
IJTOLZS,X,O,X,X,X,X,X,O,X,X,O,X
IJTOSLZ,X,O,X,X,X,X,O,X,X,X,O,O
IJTOSZL,X,O,X,X,X,O,O,O,X,X,O,O
IJTOZLS,O,O,X,X,O,X,X,O,X,X,O,X
IJTOZSL,X,O,X,X,X,O,O,O,X,X,O,O
IJLTSZO,X,X,X,X,O,X,O,O,O,X,O,X
IJLTSOZ,X,X,X,X,O,X,O,O,O,X,O,X
IJLTZSO,X,X,X,X,O,X,O,O,O,X,O,X
IJLTZOS,X,O,X,X,O,X,X,O,X,X,O,O
IJLTOSZ,X,X,X,X,O,X,X,O,X,X,O,X
IJLTOZS,X,O,X,X,O,X,X,O,X,X,O,O
IJLSTZO,X,X,X,X,X,X,X,X,O,X,O,O
IJLSTOZ,X,X,X,X,X,X,X,X,O,X,O,O
IJLSZTO,X,X,X,X,X,X,X,X,O,X,O,O
IJLSZOT,X,X,X,X,O,X,X,O,O,X,O,O
IJLSOTZ,X,X,X,X,X,X,X,X,O,X,O,O
IJLSOZT,X,X,X,X,O,X,X,O,O,X,O,O
IJLZTSO,X,X,X,X,O,X,O,O,O,X,O,X
IJLZTOS,X,O,X,X,O,X,X,O,X,X,O,O
IJLZSTO,X,X,X,X,X,X,X,X,O,X,O,O
IJLZSOT,X,X,X,X,O,X,X,O,O,X,O,O
IJLZOTS,O,O,X,X,O,X,X,O,X,X,O,O
IJLZOST,O,X,X,X,O,X,X,O,O,X,O,O
IJLOTSZ,X,X,X,X,O,X,X,O,X,X,O,X
IJLOTZS,X,X,X,X,O,X,X,O,X,X,O,O
IJLOSTZ,X,X,X,X,X,X,X,X,O,X,O,O
IJLOSZT,X,X,X,X,O,X,X,O,O,X,O,O
IJLOZTS,O,O,X,X,O,X,X,O,X,X,O,O
IJLOZST,O,X,X,X,O,X,X,O,O,X,O,O
IJSTLZO,X,X,X,O,X,X,O,X,X,X,O,O
IJSTLOZ,X,X,X,O,X,X,O,X,X,X,O,O
IJSTZLO,X,X,X,O,X,O,O,X,X,X,O,O
IJSTZOL,X,O,X,O,X,O,O,O,X,X,O,O
IJSTOLZ,X,X,X,O,X,X,O,X,X,X,O,O
IJSTOZL,X,O,X,O,X,X,O,O,X,X,O,O
IJSLTZO,X,X,O,X,X,X,X,X,O,X,O,O
IJSLTOZ,X,X,X,X,X,X,X,X,O,X,O,O
IJSLZTO,X,X,O,X,X,X,X,X,O,X,O,O
IJSLZOT,O,X,X,X,O,X,X,O,O,X,O,O
IJSLOTZ,X,X,X,X,X,X,X,X,O,X,O,O
IJSLOZT,O,X,X,X,O,X,X,O,O,X,O,O
IJSZTLO,X,X,X,O,X,O,O,X,X,X,O,O
IJSZTOL,X,O,X,O,X,O,O,O,X,X,O,O
IJSZLTO,X,X,O,X,X,X,X,X,O,X,O,O
IJSZLOT,O,X,X,X,O,X,X,O,O,X,O,O
IJSZOTL,X,O,X,X,X,X,O,O,X,X,O,O
IJSZOLT,X,X,X,X,X,X,X,O,X,X,O,O
IJSOTLZ,X,X,X,X,X,X,O,X,X,X,O,O
IJSOTZL,X,X,X,X,X,X,O,X,X,X,O,O
IJSOLTZ,X,X,X,X,X,X,X,X,X,X,O,O
IJSOLZT,X,X,X,X,X,X,X,X,X,X,O,O
IJSOZTL,X,O,X,X,X,X,O,O,X,X,O,O
IJSOZLT,X,X,X,X,X,X,X,O,X,X,O,O
IJZTLSO,X,X,X,X,O,X,O,O,O,X,O,X
IJZTLOS,O,O,X,X,O,X,X,O,X,X,O,X
IJZTSLO,X,O,X,O,X,O,O,X,X,X,O,O
IJZTSOL,X,O,X,O,X,O,O,O,X,X,O,O
IJZTOLS,O,O,X,X,O,X,X,O,X,X,O,X
IJZTOSL,X,O,X,X,X,O,O,O,X,X,O,O
IJZLTSO,X,X,X,X,O,X,O,O,O,X,O,X
IJZLTOS,X,O,X,X,O,X,X,O,X,X,O,O
IJZLSTO,X,X,X,X,X,X,X,X,O,X,O,O
IJZLSOT,X,X,X,X,O,X,X,O,O,X,O,O
IJZLOTS,O,O,X,X,O,X,X,O,X,X,O,O
IJZLOST,O,X,X,X,O,X,X,O,O,X,O,O
IJZSTLO,X,X,X,O,X,O,O,X,X,X,O,O
IJZSTOL,X,O,X,O,X,O,O,O,X,X,O,O
IJZSLTO,X,X,O,X,X,X,X,X,O,X,O,O
IJZSLOT,O,X,X,X,O,X,X,O,O,X,O,O
IJZSOTL,X,O,X,X,X,X,O,O,X,X,O,O
IJZSOLT,X,X,X,X,X,X,X,O,X,X,O,O
IJZOTLS,O,O,X,X,O,X,X,O,X,X,O,X
IJZOTSL,X,O,X,X,X,X,O,O,X,O,O,O
IJZOLTS,O,O,X,X,O,X,X,O,X,X,O,X
IJZOLST,O,X,X,X,O,X,X,O,O,X,O,O
IJZOSTL,X,O,X,X,X,X,O,O,X,X,O,O
IJZOSLT,X,X,X,X,X,X,X,O,X,X,O,O
IJOTLSZ,X,X,X,X,X,X,X,O,X,X,O,X
IJOTLZS,X,O,X,X,X,X,X,O,X,X,O,X
IJOTSLZ,X,O,X,X,X,X,O,X,X,O,O,O
IJOTSZL,X,O,X,X,X,X,O,O,X,O,O,O
IJOTZLS,X,O,X,X,X,X,X,O,X,X,O,X
IJOTZSL,X,O,X,X,X,X,O,O,X,O,O,O
IJOLTSZ,X,X,X,X,X,X,X,O,X,X,O,X
IJOLTZS,X,X,X,X,O,X,X,O,X,X,O,X
IJOLSTZ,X,X,X,X,X,X,X,X,O,X,O,O
IJOLSZT,X,X,X,X,O,X,X,O,O,X,O,O
IJOLZTS,X,O,X,X,O,X,X,O,X,X,O,X
IJOLZST,X,X,X,X,O,X,X,O,O,X,O,O
IJOSTLZ,X,X,X,X,X,X,O,X,X,X,O,O
IJOSTZL,X,X,X,X,X,X,O,X,X,X,O,O
IJOSLTZ,X,X,X,X,X,X,X,X,X,X,O,O
IJOSLZT,X,X,X,X,X,X,X,X,X,X,O,O
IJOSZTL,X,O,X,X,X,X,O,O,X,X,O,O
IJOSZLT,X,X,X,X,X,X,X,O,X,X,O,O
IJOZTLS,O,O,X,X,O,X,X,O,X,X,O,X
IJOZTSL,X,O,X,X,X,X,O,O,X,O,O,O
IJOZLTS,O,O,X,X,O,X,X,O,X,X,O,X
IJOZLST,O,X,X,X,O,X,X,O,O,X,O,O
IJOZSTL,X,O,X,X,X,X,O,O,X,X,O,O
IJOZSLT,X,X,X,X,X,X,X,O,X,X,O,O
ISTLJZO,O,X,O,X,X,X,O,X,X,X,X,X
ISTLJOZ,O,X,X,X,X,X,O,X,X,X,X,X
ISTLZJO,O,X,O,X,X,O,O,X,X,X,X,X
ISTLZOJ,O,X,O,X,O,O,O,X,X,X,X,X
ISTLOJZ,O,X,X,X,X,X,O,X,X,X,X,X
ISTLOZJ,O,X,O,X,O,X,O,X,X,X,X,X
ISTJLZO,X,X,X,O,X,X,O,X,X,X,O,X
ISTJLOZ,X,X,X,O,X,X,O,X,X,X,O,X
ISTJZLO,X,X,X,O,X,O,O,X,X,X,O,X
ISTJZOL,X,O,X,O,X,O,O,O,X,X,O,X
ISTJOLZ,X,X,X,O,X,X,O,X,X,X,O,X
ISTJOZL,X,O,X,O,X,X,O,O,X,X,O,X
ISTZLJO,O,X,O,X,X,O,O,X,X,X,X,X
ISTZLOJ,O,X,O,X,O,O,O,X,X,X,X,X
ISTZJLO,X,X,X,O,X,O,O,X,X,X,O,X
ISTZJOL,X,O,X,O,X,O,O,O,X,X,O,X
ISTZOLJ,O,X,O,X,O,O,O,X,X,X,X,X
ISTZOJL,X,X,X,X,X,O,O,X,X,X,X,X
ISTOLJZ,X,X,X,X,X,X,O,X,X,X,X,X
ISTOLZJ,X,X,X,X,X,O,O,X,X,X,X,X
ISTOJLZ,X,X,X,X,X,X,O,X,X,X,X,X
ISTOJZL,X,X,X,X,X,O,O,X,X,X,X,X
ISTOZLJ,O,X,X,X,O,O,O,X,X,X,X,X
ISTOZJL,X,X,X,X,X,O,O,X,X,X,X,X
ISLTJZO,O,X,O,X,X,X,O,X,O,X,X,X
ISLTJOZ,O,X,X,X,X,X,O,X,O,X,X,X
ISLTZJO,O,X,O,X,X,O,O,X,O,X,X,X
ISLTZOJ,O,X,O,X,X,O,O,X,O,X,X,X
ISLTOJZ,O,X,X,X,X,X,O,X,O,X,X,X
ISLTOZJ,O,X,O,X,X,X,O,X,O,X,X,X
ISLJTZO,X,X,O,X,X,X,X,X,O,X,O,X
ISLJTOZ,X,X,X,X,X,X,X,X,O,X,O,X
ISLJZTO,X,X,O,X,X,X,X,X,O,X,O,X
ISLJZOT,O,X,X,X,X,X,X,X,O,X,O,O
ISLJOTZ,X,X,X,X,X,X,X,X,O,X,O,X
ISLJOZT,O,X,X,X,X,X,X,X,O,X,O,O
ISLZTJO,O,X,O,X,X,O,O,X,O,X,X,X
ISLZTOJ,O,X,O,X,X,O,O,X,O,X,X,X
ISLZJTO,X,X,O,X,X,X,X,X,O,X,O,X
ISLZJOT,O,X,X,X,X,X,X,X,O,X,O,O
ISLZOTJ,O,X,O,X,O,X,O,X,O,X,X,X
ISLZOJT,O,X,X,X,O,X,X,X,O,X,X,X
ISLOTJZ,O,X,X,X,X,X,O,X,O,X,X,X
ISLOTZJ,O,X,O,X,X,X,O,X,O,X,X,X
ISLOJTZ,X,X,X,X,X,X,X,X,O,X,X,X
ISLOJZT,O,X,X,X,X,X,X,X,O,X,X,X
ISLOZTJ,O,X,O,X,O,X,O,X,O,X,X,X
ISLOZJT,O,X,X,X,O,X,X,X,O,X,X,X
ISJTLZO,X,X,X,O,X,X,O,X,X,X,O,O
ISJTLOZ,X,X,X,O,X,X,O,X,X,X,O,O
ISJTZLO,X,X,X,O,X,O,O,X,X,X,O,O
ISJTZOL,X,O,X,O,X,O,O,O,X,X,O,O
ISJTOLZ,X,X,X,O,X,X,O,X,X,X,O,O
ISJTOZL,X,O,X,O,X,X,O,O,X,X,O,O
ISJLTZO,X,X,O,X,X,X,X,X,O,X,O,O
ISJLTOZ,X,X,X,X,X,X,X,X,O,X,O,O
ISJLZTO,X,X,O,X,X,X,X,X,O,X,O,O
ISJLZOT,O,X,X,X,O,X,X,O,O,X,O,O
ISJLOTZ,X,X,X,X,X,X,X,X,O,X,O,O
ISJLOZT,O,X,X,X,O,X,X,O,O,X,O,O
ISJZTLO,X,X,X,O,X,O,O,X,X,X,O,O
ISJZTOL,X,O,X,O,X,O,O,O,X,X,O,O
ISJZLTO,X,X,O,X,X,X,X,X,O,X,O,O
ISJZLOT,O,X,X,X,O,X,X,O,O,X,O,O
ISJZOTL,X,O,X,X,X,X,O,O,X,X,O,O
ISJZOLT,X,X,X,X,X,X,X,O,X,X,O,O
ISJOTLZ,X,X,X,X,X,X,O,X,X,X,O,O
ISJOTZL,X,X,X,X,X,X,O,X,X,X,O,O
ISJOLTZ,X,X,X,X,X,X,X,X,X,X,O,O
ISJOLZT,X,X,X,X,X,X,X,X,X,X,O,O
ISJOZTL,X,O,X,X,X,X,O,O,X,X,O,O
ISJOZLT,X,X,X,X,X,X,X,O,X,X,O,O
ISZTLJO,O,X,O,X,X,O,O,X,X,X,X,X
ISZTLOJ,O,X,O,X,O,O,O,X,X,X,X,X
ISZTJLO,X,X,X,O,X,O,O,X,X,X,O,X
ISZTJOL,X,O,X,O,X,O,O,O,X,X,O,X
ISZTOLJ,O,X,O,X,O,O,O,X,X,X,X,X
ISZTOJL,X,X,X,X,X,O,O,X,X,X,X,X
ISZLTJO,O,X,O,X,X,O,O,X,O,X,X,X
ISZLTOJ,O,X,O,X,X,O,O,X,O,X,X,X
ISZLJTO,X,X,O,X,X,X,X,X,O,X,O,X
ISZLJOT,O,X,X,X,X,X,X,X,O,X,O,O
ISZLOTJ,O,X,O,X,O,X,O,X,O,X,X,X
ISZLOJT,O,X,X,X,O,X,X,X,O,X,X,X
ISZJTLO,X,X,X,O,X,O,O,X,X,X,O,O
ISZJTOL,X,O,X,O,X,O,O,O,X,X,O,O
ISZJLTO,X,X,O,X,X,X,X,X,O,X,O,O
ISZJLOT,O,X,X,X,O,X,X,O,O,X,O,O
ISZJOTL,X,O,X,X,X,X,O,O,X,X,O,O
ISZJOLT,X,X,X,X,X,X,X,O,X,X,O,O
ISZOTLJ,O,X,O,X,O,O,O,X,X,O,X,X
ISZOTJL,X,X,X,X,X,O,O,X,X,O,X,X
ISZOLTJ,O,X,O,X,O,X,O,X,X,X,X,X
ISZOLJT,O,X,O,X,O,X,X,X,X,X,X,X
ISZOJTL,X,O,X,X,X,X,O,O,X,X,O,X
ISZOJLT,X,X,O,X,X,X,X,O,X,X,O,X
ISOTLJZ,X,X,O,X,X,X,O,X,X,O,X,X
ISOTLZJ,X,X,O,X,X,X,O,X,X,O,X,X
ISOTJLZ,X,X,X,X,X,X,O,X,X,O,X,X
ISOTJZL,X,X,X,X,X,X,O,X,X,O,X,X
ISOTZLJ,X,X,O,X,X,O,O,X,X,O,X,X
ISOTZJL,X,X,X,X,X,O,O,X,X,O,X,X
ISOLTJZ,X,X,O,X,X,X,O,X,X,X,X,X
ISOLTZJ,O,X,O,X,X,X,O,X,X,X,X,X
ISOLJTZ,X,X,O,X,X,X,X,X,X,X,X,X
ISOLJZT,O,X,O,X,X,X,X,X,X,X,X,X
ISOLZTJ,O,X,O,X,X,X,O,X,X,X,X,X
ISOLZJT,O,X,O,X,X,X,X,X,X,X,X,X
ISOJTLZ,X,X,X,X,X,X,O,X,X,X,O,X
ISOJTZL,X,X,X,X,X,X,O,X,X,X,O,X
ISOJLTZ,X,X,O,X,X,X,X,X,X,X,O,X
ISOJLZT,X,X,O,X,X,X,X,X,X,X,O,X
ISOJZTL,X,X,X,X,X,X,O,X,X,X,O,X
ISOJZLT,X,X,O,X,X,X,X,X,X,X,O,X
ISOZTLJ,O,X,O,X,O,O,O,X,X,O,X,X
ISOZTJL,X,X,X,X,X,O,O,X,X,O,X,X
ISOZLTJ,O,X,O,X,O,X,O,X,X,X,X,X
ISOZLJT,O,X,O,X,O,X,X,X,X,X,X,X
ISOZJTL,X,O,X,X,X,X,O,O,X,X,O,X
ISOZJLT,X,X,O,X,X,X,X,O,X,X,O,X
IZTLJSO,X,X,X,X,O,X,O,X,O,X,X,X
IZTLJOS,O,O,X,X,O,X,X,O,X,X,X,O
IZTLSJO,O,X,O,X,X,O,O,X,O,X,X,X
IZTLSOJ,O,X,O,X,O,O,O,X,O,X,X,X
IZTLOJS,O,X,X,X,O,X,X,X,X,X,X,X
IZTLOSJ,O,X,X,X,O,O,O,X,X,X,X,X
IZTJLSO,X,X,X,X,O,X,O,O,O,X,O,X
IZTJLOS,O,O,X,X,O,X,X,O,X,X,O,X
IZTJSLO,X,O,X,O,X,O,O,X,X,X,O,O
IZTJSOL,X,O,X,O,X,O,O,O,X,X,O,O
IZTJOLS,O,O,X,X,O,X,X,O,X,X,O,X
IZTJOSL,X,O,X,X,X,O,O,O,X,X,O,O
IZTSLJO,O,X,O,X,X,O,O,X,X,X,X,X
IZTSLOJ,O,X,O,X,O,O,O,X,X,X,X,X
IZTSJLO,X,X,X,O,X,O,O,X,X,X,O,X
IZTSJOL,X,O,X,O,X,O,O,O,X,X,O,X
IZTSOLJ,O,X,O,X,O,O,O,X,X,X,X,X
IZTSOJL,X,X,X,X,X,O,O,X,X,X,X,X
