sequence,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhFxbBflB0gBlhBzq?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhF0cBTfBlgB/qBOr?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhFTfB0gBlhB/qBOr?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhFTfB0gBlhB2qBCs?BXrB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhF0cBTfBlgB2qBCs?BXrB,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhFxbBzfBfmBlhB0q?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhF0cBTfBlgB/qBKr?BWxB,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhF8fBqgBlhB/qBxr?BTrB,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhFflB0gBlhB6qBxr?BTrB,v115@5gD8GeC8FeF8FeE8CeD8Jem6IvhFCcBTfBlhB/qBxr?BUrB,v115@5gD8GeC8FeF8FeE8CeD8JeT6IvhFxbBykBfmBWsB0q?BlrB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhF0cBTfB/qBFmBCs?BmqB,v115@5gD8GeC8FeF8FeE8CeD8JeT6IvhF1hBmkBCmBxrB/q?BUrB,v115@5gD8GeC8FeF8FeE8CeD8JeT6IvhF2gB3hBxkBFmB0q?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Je06IvhF2kBlhB3lBxrB6q?BTrB,v115@5gD8GeC8FeF8FeE8CeD8JeK/IvhFfgBxbBzgB+rBUn?BlqB,v115@5gD8GeC8FeF8FeE8CeD8JeT/IvhF0gBlhBmfB3lBxr?BSwB,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhF8fBCcBTlBxrBXr?BlrB,v115@5gD8GeC8FeF8FeE8CeD8Jex7IvhFmfBfmBlhBTfB0q?BCsB
JZTIOLS,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZTIOSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLIOS,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZTLSIO,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,O
JZTLSOI,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,O
JZTLOIS,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZTLOSI,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JZTSILO,O,O,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,O
JZTSIOL,O,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,O
JZTSLIO,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O
JZTSLOI,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O
JZTSOIL,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O
JZTSOLI,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JZTOILS,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
JZTOISL,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JZTOLIS,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JZTOLSI,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
JZTOSIL,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTOSLI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITLSO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZITLOS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZITSLO,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JZITSOL,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X
JZITOLS,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZITOSL,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZILTSO,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JZILTOS,X,X,X,O,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X
JZILSTO,X,X,X,X,X,O,O,O,X,X,O,X,O,O,X,X,X,X,O
JZILSOT,X,X,X,X,X,O,O,O,X,X,O,X,O,O,X,X,X,X,X
JZILOTS,X,X,X,O,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X
JZILOST,X,X,X,O,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X
JZISTLO,X,O,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,O
JZISTOL,X,O,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,O
JZISLTO,X,X,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,O
JZISLOT,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X
JZISOTL,X,O,X,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X
JZISOLT,X,O,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
JZIOTLS,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
JZIOTSL,X,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,O,X
JZIOLTS,X,X,X,O,O,O,O,X,X,X,X,X,O,O,X,X,X,O,X
JZIOLST,X,O,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X
JZIOSTL,X,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,O,X
JZIOSLT,X,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X
JZLTISO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTIOS,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZLTSIO,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,O
JZLTSOI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,O
JZLTOIS,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZLTOSI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JZLITSO,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZLITOS,X,O,X,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JZLISTO,X,O,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,O
JZLISOT,X,O,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X
JZLIOTS,X,O,X,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
JZLIOST,X,O,X,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
JZLSTIO,O,O,X,X,O,O,O,O,X,X,O,X,X,O,X,O,X,X,O
JZLSTOI,O,O,X,O,O,O,O,O,X,X,O,X,X,X,X,O,X,X,O
JZLSITO,O,O,X,X,O,O,O,O,X,X,O,X,X,O,O,O,X,X,O
JZLSIOT,O,O,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X
JZLSOTI,O,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O
JZLSOIT,O,O,X,O,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X
JZLOTIS,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
JZLOTSI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZLOITS,X,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
JZLOIST,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
JZLOSTI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
JZLOSIT,O,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
JZSTILO,O,O,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,O
JZSTIOL,O,O,X,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X,O
JZSTLIO,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O
JZSTLOI,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O
JZSTOIL,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O
JZSTOLI,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
JZSITLO,O,O,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,O
JZSITOL,O,O,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,O
JZSILTO,O,X,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,O
JZSILOT,O,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X
JZSIOTL,O,O,X,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X
JZSIOLT,O,O,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
JZSLTIO,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O
JZSLTOI,O,O,X,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O
JZSLITO,O,X,X,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X,O
JZSLIOT,O,X,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
JZSLOTI,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O
JZSLOIT,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSOTIL,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O
JZSOTLI,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
JZSOITL,O,O,X,O,O,O,O,X,O,X,X,X,X,O,O,X,X,O,X
JZSOILT,O,O,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,O,X
JZSOLTI,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O
JZSOLIT,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X
JZOTILS,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
JZOTISL,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JZOTLIS,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JZOTLSI,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOTSIL,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOTSLI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOITLS,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
JZOITSL,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JZOILTS,X,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
JZOILST,X,O,X,O,O,O,O,X,X,X,X,O,O,X,X,X,X,O,X
JZOISTL,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JZOISLT,X,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X
JZOLTIS,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
JZOLTSI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZOLITS,X,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
JZOLIST,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
JZOLSTI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
JZOLSIT,O,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
JZOSTIL,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JZOSTLI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZOSITL,O,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X
JZOSILT,O,O,X,O,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X
JZOSLTI,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O
JZOSLIT,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X
JOTILSZ,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X
JOTILZS,O,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
JOTISLZ,O,X,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X
JOTISZL,O,X,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X
JOTIZLS,X,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,O,X,X
JOTIZSL,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JOTLISZ,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X
JOTLIZS,O,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
JOTLSIZ,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
JOTLSZI,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
JOTLZIS,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOTLZSI,O,O,X,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X
JOTSILZ,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
JOTSIZL,O,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOTSLIZ,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
JOTSLZI,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
JOTSZIL,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTSZLI,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOTZILS,X,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
JOTZISL,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTZLIS,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOTZLSI,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
JOTZSIL,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTZSLI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITLSZ,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JOITLZS,X,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
JOITSLZ,O,X,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X
JOITSZL,O,X,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X
JOITZLS,X,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,O,X,X
JOITZSL,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JOILTSZ,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JOILTZS,O,O,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
JOILSTZ,O,O,X,X,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X
JOILSZT,O,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X
JOILZTS,X,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
JOILZST,X,O,X,O,O,O,O,X,X,X,X,O,O,X,X,X,X,O,X
JOISTLZ,O,O,X,X,X,X,O,X,X,O,X,O,O,X,O,X,X,X,X
JOISTZL,O,O,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X
JOISLTZ,O,O,X,X,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X
JOISLZT,O,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X
JOISZTL,O,O,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,O,X
JOISZLT,O,O,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
JOIZTLS,X,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,O,O,X
JOIZTSL,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X
JOIZLTS,X,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
JOIZLST,X,O,X,O,O,O,O,X,X,X,X,O,O,X,X,X,X,O,X
JOIZSTL,X,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X
JOIZSLT,X,O,X,O,X,O,O,O,X,O,X,O,X,X,X,X,X,O,X
JOLTISZ,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X
JOLTIZS,O,O,X,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X
JOLTSIZ,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
JOLTSZI,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
JOLTZIS,O,O,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
JOLTZSI,O,O,X,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JOLITSZ,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JOLITZS,O,O,X,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X
JOLISTZ,O,O,X,X,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X
JOLISZT,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X
JOLIZTS,X,O,X,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
JOLIZST,X,O,X,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
JOLSTIZ,O,O,X,X,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X
JOLSTZI,O,O,O,O,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X
JOLSITZ,O,O,X,X,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X
JOLSIZT,O,O,O,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X
JOLSZTI,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JOLSZIT,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JOLZTIS,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
JOLZTSI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JOLZITS,X,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
JOLZIST,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
JOLZSTI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JOLZSIT,O,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
JOSTILZ,O,O,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X
JOSTIZL,O,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JOSTLIZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JOSTLZI,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JOSTZIL,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOSTZLI,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOSITLZ,O,O,X,X,X,X,O,X,X,O,X,O,O,X,O,X,X,X,X
JOSITZL,O,O,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X
JOSILTZ,O,O,X,X,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X
JOSILZT,O,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X
JOSIZTL,O,O,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X
JOSIZLT,O,O,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JOSLTIZ,O,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JOSLTZI,O,O,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JOSLITZ,O,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
JOSLIZT,O,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JOSLZTI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSLZIT,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JOSZTIL,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOSZTLI,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JOSZITL,O,O,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X
JOSZILT,O,O,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JOSZLTI,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSZLIT,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZTILS,X,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,O,X
JOZTISL,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JOZTLIS,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X
JOZTLSI,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOZTSIL,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZTSLI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZITLS,X,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,O,X
JOZITSL,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JOZILTS,X,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
JOZILST,X,O,X,O,O,O,O,X,X,X,X,O,O,X,X,X,X,O,X
JOZISTL,X,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X
JOZISLT,X,O,X,O,X,O,O,O,X,O,X,O,X,X,X,X,X,O,X
JOZLTIS,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
JOZLTSI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JOZLITS,X,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
JOZLIST,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
JOZLSTI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JOZLSIT,O,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
JOZSTIL,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZSTLI,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOZSITL,O,O,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X
JOZSILT,O,O,X,O,X,O,O,O,X,O,O,O,X,X,X,X,X,O,X
JOZSLTI,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JOZSLIT,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X
STILJZO,O,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X
STILJOZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
STILZJO,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
STILZOJ,O,O,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
STILOJZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
STILOZJ,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
STIJLZO,O,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X
STIJLOZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
STIJZLO,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
STIJZOL,O,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X
STIJOLZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
STIJOZL,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
STIZLJO,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
STIZLOJ,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
STIZJLO,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
STIZJOL,O,O,X,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X
STIZOLJ,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
STIZOJL,O,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,O,X,X
STIOLJZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
STIOLZJ,X,O,X,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
STIOJLZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
STIOJZL,O,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X
STIOZLJ,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
STIOZJL,O,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,O,X,X
STLIJZO,O,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
STLIJOZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
STLIZJO,O,O,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
STLIZOJ,O,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
STLIOJZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
STLIOZJ,O,O,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
STLJIZO,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
STLJIOZ,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
STLJZIO,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
STLJZOI,O,O,O,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
STLJOIZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
STLJOZI,O,O,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
STLZIJO,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
STLZIOJ,O,O,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
STLZJIO,O,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
STLZJOI,O,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
STLZOIJ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
STLZOJI,O,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
STLOIJZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
STLOIZJ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
STLOJIZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
STLOJZI,O,O,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
STLOZIJ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
STLOZJI,O,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
STJILZO,O,O,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X
