sequence,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeR8IvhFGeBTgBihBU?jBFnB3sB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeC8IvhFxdB2lBlhB3?iBcoBTsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8Je37IvhF1hB0dB6jBx?lBmnBTsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeG8IvhF/iBFeBigBc?oBRmBTsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeC8IvhFxdB2lBlhBc?nBTjB3sB,v115@zgC8GeB8HeB8HeF8CeG8BeB8Jez7IvhFRdBSjB2lBF?nBXoBUsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeaBJvhFGeBTgBRiBF?nBXoBUsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JecAJvhFxcB6jBXhBe?oBFnBTsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeaBJvhFxdBTgBGjBF?nB8sBfsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeG+IvhFigBRiBzgBF?nBXoBUsB
ILOTJSZ,X,X,O,O,X,X,X,X,X,X
ILOTJZS,X,X,O,O,X,X,X,X,X,X
ILOTSJZ,X,X,O,O,X,X,X,X,X,X
ILOTSZJ,X,X,O,O,X,X,X,X,X,X
ILOTZJS,O,X,O,O,X,X,X,X,X,X
ILOTZSJ,X,X,O,O,X,X,X,X,X,X
ILOJTSZ,X,X,O,O,X,X,X,X,X,X
ILOJTZS,X,X,O,O,X,X,X,X,X,X
ILOJSTZ,X,X,O,O,X,X,X,X,X,X
ILOJSZT,X,X,O,O,X,X,X,X,X,X
ILOJZTS,X,X,O,O,X,X,X,X,X,X
ILOJZST,X,X,O,O,X,X,X,X,X,X
ILOSTJZ,X,X,O,O,X,X,X,X,X,X
ILOSTZJ,X,X,O,O,X,X,X,X,X,X
ILOSJTZ,X,X,O,O,X,X,X,X,X,X
ILOSJZT,X,X,O,O,X,X,X,X,X,X
ILOSZTJ,X,X,O,O,X,X,X,X,X,X
ILOSZJT,O,X,O,O,X,X,X,X,X,X
ILOZTJS,X,X,O,O,X,X,X,X,X,X
ILOZTSJ,X,X,O,O,X,X,X,X,X,X
ILOZJTS,O,X,O,O,X,X,X,X,X,X
ILOZJST,O,X,O,O,X,X,X,X,X,X
ILOZSTJ,X,X,O,O,X,X,X,X,X,X
ILOZSJT,X,X,O,O,X,X,X,X,X,X
IJTLSZO,X,O,O,X,O,X,X,X,X,X
IJTLSOZ,X,O,O,X,O,X,X,X,X,X
IJTLZSO,X,O,O,X,X,X,X,X,X,X
IJTLZOS,X,O,O,X,X,X,X,X,X,X
IJTLOSZ,X,O,O,X,X,X,X,X,X,X
IJTLOZS,X,O,O,X,X,X,X,X,X,X
IJTSLZO,X,O,O,X,O,O,X,X,X,X
IJTSLOZ,X,O,O,X,O,O,X,X,X,X
IJTSZLO,X,X,O,O,X,O,X,X,X,X
IJTSZOL,X,X,O,O,X,O,X,X,X,X
IJTSOLZ,X,X,O,X,O,O,X,X,X,X
IJTSOZL,X,X,O,X,X,O,X,X,X,X
IJTZLSO,X,O,O,X,X,X,X,X,X,X
IJTZLOS,X,O,O,X,X,X,X,X,X,X
IJTZSLO,X,O,O,O,X,X,X,X,X,X
IJTZSOL,X,O,O,O,X,X,X,X,X,X
IJTZOLS,X,O,O,X,X,X,X,X,X,X
IJTZOSL,X,X,O,X,X,X,X,X,X,X
IJTOLSZ,X,O,O,X,X,X,X,X,X,X
IJTOLZS,X,O,O,X,X,X,X,X,X,X
IJTOSLZ,X,O,O,X,X,O,X,X,X,X
IJTOSZL,X,X,O,X,X,O,X,X,X,X
IJTOZLS,X,O,O,X,X,X,X,X,X,X
IJTOZSL,X,O,O,X,X,X,X,X,X,X
IJLTSZO,X,O,O,O,O,X,X,X,X,X
IJLTSOZ,X,O,O,X,O,X,X,X,X,X
IJLTZSO,X,O,O,O,X,X,X,X,X,X
IJLTZOS,X,O,O,X,X,X,X,X,X,X
IJLTOSZ,X,O,O,X,X,X,X,X,X,X
IJLTOZS,X,O,O,X,X,X,X,X,X,X
IJLSTZO,X,X,O,O,O,X,X,X,X,X
IJLSTOZ,X,X,O,X,O,X,X,X,X,X
IJLSZTO,X,X,O,O,O,X,X,X,X,X
IJLSZOT,X,X,O,O,O,X,X,X,X,X
IJLSOTZ,X,X,O,X,O,X,X,X,X,X
IJLSOZT,X,X,O,O,O,X,X,X,X,X
IJLZTSO,X,O,O,O,X,X,X,X,X,X
IJLZTOS,X,O,O,X,X,X,X,X,X,X
IJLZSTO,X,O,O,O,X,X,X,O,X,X
IJLZSOT,X,O,O,O,X,X,X,O,X,X
IJLZOTS,X,O,O,X,X,X,X,X,X,X
IJLZOST,X,O,O,O,X,X,X,X,X,X
IJLOTSZ,X,O,O,X,O,X,X,X,X,X
IJLOTZS,X,O,O,X,X,X,X,X,X,X
IJLOSTZ,X,X,O,X,O,X,X,X,X,X
IJLOSZT,X,X,O,O,O,X,X,X,X,X
IJLOZTS,X,O,O,X,X,X,X,X,X,X
IJLOZST,X,O,O,O,O,X,X,X,X,X
IJSTLZO,X,X,O,X,O,O,X,X,X,X
IJSTLOZ,X,X,O,X,O,O,X,X,X,X
IJSTZLO,X,X,O,O,X,O,X,X,X,X
IJSTZOL,X,X,O,O,X,O,X,X,X,X
IJSTOLZ,X,X,O,X,O,O,X,X,X,X
IJSTOZL,X,X,O,X,X,O,X,X,X,X
IJSLTZO,X,X,O,O,O,O,X,X,X,X
IJSLTOZ,X,X,O,X,O,O,X,X,X,X
IJSLZTO,X,X,O,O,O,O,X,X,X,X
IJSLZOT,X,X,O,O,O,O,X,X,X,X
IJSLOTZ,X,X,O,X,O,O,X,X,X,X
IJSLOZT,X,X,O,O,O,O,X,X,X,X
IJSZTLO,X,X,O,O,O,X,X,X,X,X
IJSZTOL,X,X,O,O,O,X,X,X,X,X
IJSZLTO,X,X,O,O,O,X,X,X,X,X
IJSZLOT,X,X,O,O,O,X,X,X,X,X
IJSZOTL,X,X,X,O,O,X,X,X,X,X
IJSZOLT,X,X,X,X,O,X,X,X,X,X
IJSOTLZ,X,X,O,X,O,O,X,X,X,X
IJSOTZL,X,X,O,X,O,O,X,X,X,X
IJSOLTZ,X,X,O,X,O,O,X,X,X,X
IJSOLZT,X,X,O,X,O,O,X,X,X,X
IJSOZTL,X,X,O,O,O,X,X,X,X,X
IJSOZLT,X,X,O,X,O,X,X,X,X,X
IJZTLSO,X,O,O,X,X,X,X,X,X,X
IJZTLOS,X,O,O,X,X,X,X,X,X,X
IJZTSLO,X,O,O,O,X,X,X,X,X,X
IJZTSOL,X,O,O,O,X,X,X,X,X,X
IJZTOLS,X,O,O,X,X,X,X,X,O,X
IJZTOSL,X,X,O,X,X,X,X,X,X,X
IJZLTSO,X,O,O,O,X,X,X,X,X,X
IJZLTOS,X,O,O,X,X,X,X,X,X,X
IJZLSTO,X,O,O,O,X,X,X,O,X,X
IJZLSOT,X,O,O,O,X,X,X,O,X,X
IJZLOTS,X,O,O,X,X,X,X,X,X,X
IJZLOST,X,O,O,O,X,X,X,X,X,X
IJZSTLO,X,O,O,O,X,X,X,O,X,X
IJZSTOL,X,O,O,O,X,X,X,O,X,X
IJZSLTO,X,O,O,O,X,X,X,O,X,X
IJZSLOT,X,O,O,O,X,X,X,O,X,X
IJZSOTL,X,O,X,O,X,X,X,X,X,X
IJZSOLT,X,O,X,X,X,X,X,O,X,X
IJZOTLS,X,O,O,X,X,X,X,X,O,X
IJZOTSL,X,O,O,X,X,X,X,X,X,X
IJZOLTS,X,O,O,X,X,X,X,X,O,X
IJZOLST,X,O,X,X,X,X,X,X,X,X
IJZOSTL,X,O,X,O,X,X,X,X,X,X
IJZOSLT,X,O,X,X,X,X,X,X,X,X
IJOTLSZ,X,O,O,X,O,X,X,X,X,X
IJOTLZS,X,O,O,X,X,X,X,X,X,X
IJOTSLZ,X,O,O,X,O,O,X,X,X,X
IJOTSZL,X,X,O,X,O,O,X,X,X,X
IJOTZLS,X,O,O,X,X,X,X,X,X,X
IJOTZSL,X,O,O,X,X,X,X,X,X,X
IJOLTSZ,X,O,O,X,O,X,X,X,X,X
IJOLTZS,X,O,O,X,X,X,X,X,X,X
IJOLSTZ,X,X,O,X,O,X,X,X,X,X
IJOLSZT,X,X,O,X,O,X,X,X,X,X
IJOLZTS,X,O,O,X,X,X,X,X,O,X
IJOLZST,X,O,O,X,O,X,X,X,X,X
IJOSTLZ,X,X,O,X,O,O,X,X,X,X
IJOSTZL,X,X,O,X,O,O,X,X,X,X
IJOSLTZ,X,X,O,X,O,O,X,X,X,X
IJOSLZT,X,X,O,X,O,O,X,X,X,X
IJOSZTL,X,X,O,O,O,X,X,X,X,X
IJOSZLT,X,X,O,X,O,X,X,X,X,X
IJOZTLS,X,O,O,X,X,X,X,X,O,X
IJOZTSL,X,O,O,X,X,X,X,X,X,X
IJOZLTS,X,O,O,X,X,X,X,X,O,X
IJOZLST,X,O,O,X,O,X,X,X,X,X
IJOZSTL,X,O,O,O,O,X,X,X,X,X
IJOZSLT,X,O,O,X,O,X,X,X,X,X
ISTLJZO,O,X,O,O,X,O,X,X,X,O
ISTLJOZ,X,X,O,X,X,O,O,X,X,O
ISTLZJO,O,X,O,O,O,O,X,X,X,O
ISTLZOJ,O,X,O,O,O,X,X,X,X,X
ISTLOJZ,X,X,O,X,X,O,O,X,X,O
ISTLOZJ,O,X,O,X,O,X,O,X,X,X
ISTJLZO,X,X,O,X,X,O,X,X,X,O
ISTJLOZ,X,X,O,X,X,O,O,X,X,O
ISTJZLO,X,X,O,O,X,O,X,X,X,O
ISTJZOL,X,X,O,O,X,O,O,X,X,X
ISTJOLZ,X,X,O,X,X,O,O,X,X,O
ISTJOZL,X,X,O,X,X,O,O,X,X,X
ISTZLJO,O,X,O,O,X,X,X,X,X,O
ISTZLOJ,O,X,O,O,X,X,X,X,X,X
ISTZJLO,O,X,O,O,X,X,X,X,X,O
ISTZJOL,O,X,O,O,X,X,O,X,X,X
ISTZOLJ,O,X,O,O,X,X,O,X,X,X
ISTZOJL,O,X,O,O,X,X,O,X,X,X
ISTOLJZ,O,X,O,X,X,X,O,X,X,O
ISTOLZJ,O,X,O,X,O,X,O,X,X,X
ISTOJLZ,O,X,O,X,X,X,O,X,X,O
ISTOJZL,O,X,O,X,X,X,O,X,X,X
ISTOZLJ,O,X,O,X,X,X,O,X,X,X
ISTOZJL,O,X,O,X,X,X,O,X,X,X
ISLTJZO,X,X,O,O,X,O,X,X,X,O
ISLTJOZ,X,X,O,X,X,O,X,X,X,O
ISLTZJO,O,X,O,O,X,O,X,X,X,O
ISLTZOJ,X,X,O,O,X,X,X,X,X,X
ISLTOJZ,X,X,O,X,X,O,X,X,X,O
ISLTOZJ,X,X,O,X,X,X,X,X,X,X
ISLJTZO,X,X,O,O,X,O,X,X,X,O
ISLJTOZ,X,X,O,X,X,O,X,X,X,O
ISLJZTO,O,X,O,O,X,O,X,X,X,O
ISLJZOT,O,X,O,O,X,O,X,X,X,O
ISLJOTZ,X,X,O,X,X,O,O,X,X,O
ISLJOZT,X,X,O,O,X,O,O,X,X,O
ISLZTJO,O,X,O,O,X,O,X,X,X,X
ISLZTOJ,X,X,O,O,X,X,X,X,X,X
ISLZJTO,O,X,O,O,X,O,X,X,X,O
ISLZJOT,O,X,O,O,X,O,X,X,X,O
ISLZOTJ,X,X,O,O,X,X,X,X,X,X
ISLZOJT,O,X,O,O,X,X,X,X,X,X
ISLOTJZ,X,X,O,X,X,O,O,X,X,X
ISLOTZJ,X,X,O,X,X,X,X,X,X,X
ISLOJTZ,X,X,O,X,X,O,O,X,X,O
ISLOJZT,X,X,O,O,X,O,O,X,X,O
ISLOZTJ,X,X,O,O,X,X,X,X,X,X
ISLOZJT,O,X,O,O,X,X,O,X,X,X
ISJTLZO,X,X,O,X,O,O,X,X,X,O
ISJTLOZ,X,X,O,X,O,O,O,X,X,O
ISJTZLO,X,X,O,O,X,O,X,X,X,O
ISJTZOL,X,X,O,O,X,O,O,X,X,X
ISJTOLZ,X,X,O,X,O,O,O,X,X,O
ISJTOZL,X,X,O,X,X,O,O,X,X,X
ISJLTZO,X,X,O,O,O,O,X,X,X,O
ISJLTOZ,X,X,O,X,O,O,X,X,X,O
ISJLZTO,X,X,O,O,O,O,X,X,X,O
ISJLZOT,X,X,O,O,O,O,X,X,X,O
ISJLOTZ,X,X,O,X,O,O,O,X,X,O
ISJLOZT,X,X,O,O,O,O,O,X,X,O
ISJZTLO,X,X,O,O,O,X,X,X,X,X
ISJZTOL,X,X,O,O,O,X,X,X,X,X
ISJZLTO,X,X,O,O,O,X,X,X,X,O
ISJZLOT,X,X,O,O,O,X,X,X,X,O
ISJZOTL,X,X,X,O,O,X,X,X,X,X
ISJZOLT,X,X,X,X,O,X,O,X,X,X
ISJOTLZ,X,X,O,X,O,O,O,X,X,X
ISJOTZL,X,X,O,X,O,O,O,X,X,X
ISJOLTZ,X,X,O,X,O,O,O,X,X,O
ISJOLZT,X,X,O,X,O,O,O,X,X,O
ISJOZTL,X,X,O,O,O,X,X,X,X,X
ISJOZLT,X,X,O,X,O,X,O,X,X,X
ISZTLJO,O,X,O,O,O,X,X,X,X,X
ISZTLOJ,O,X,O,O,O,X,X,X,X,X
ISZTJLO,O,X,O,O,O,X,X,X,X,X
ISZTJOL,O,X,O,O,O,X,X,X,X,X
ISZTOLJ,O,X,O,O,O,X,X,X,X,X
ISZTOJL,O,X,O,O,O,X,X,X,X,X
ISZLTJO,O,X,O,O,O,X,X,X,X,X
ISZLTOJ,X,X,O,O,O,X,X,X,X,X
ISZLJTO,O,X,O,O,O,X,X,X,X,O
ISZLJOT,O,X,O,O,O,X,X,X,X,O
ISZLOTJ,X,X,O,O,X,X,X,X,X,X
ISZLOJT,O,X,O,O,X,X,X,X,X,X
ISZJTLO,O,X,O,O,O,X,X,X,X,X
ISZJTOL,O,X,O,O,O,X,X,X,X,X
ISZJLTO,O,X,O,O,O,X,X,X,X,O
ISZJLOT,O,X,O,O,O,X,X,X,X,O
ISZJOTL,O,X,X,O,O,X,X,X,X,X
ISZJOLT,O,X,X,X,O,X,O,X,X,X
ISZOTLJ,O,X,O,O,O,X,X,X,X,X
ISZOTJL,O,X,O,O,O,X,X,X,X,X
ISZOLTJ,O,X,O,O,O,X,X,X,X,X
ISZOLJT,O,X,O,O,O,X,O,X,X,X
ISZOJTL,O,X,O,O,O,X,X,X,X,X
ISZOJLT,O,X,O,X,O,X,O,X,X,X
ISOTLJZ,O,X,O,X,X,X,O,X,X,X
ISOTLZJ,O,X,O,X,O,X,O,X,X,X
ISOTJLZ,O,X,O,X,O,X,O,X,X,X
ISOTJZL,O,X,O,X,O,X,O,X,X,X
ISOTZLJ,O,X,O,X,O,X,O,X,X,X
ISOTZJL,O,X,O,X,O,X,O,X,X,X
ISOLTJZ,O,X,O,X,X,X,O,X,X,X
ISOLTZJ,O,X,O,X,X,X,O,X,X,X
ISOLJTZ,X,X,O,X,O,X,O,X,X,O
ISOLJZT,O,X,O,O,O,X,O,X,X,O
ISOLZTJ,O,X,O,O,O,X,X,X,X,X
ISOLZJT,O,X,O,O,O,X,O,X,X,X
ISOJTLZ,O,X,O,X,O,X,O,X,X,X
ISOJTZL,O,X,O,X,O,X,O,X,X,X
ISOJLTZ,X,X,O,X,O,X,O,X,X,O
ISOJLZT,O,X,O,X,O,X,O,X,X,O
ISOJZTL,O,X,O,O,O,X,X,X,X,X
ISOJZLT,O,X,O,X,O,X,O,X,X,X
ISOZTLJ,O,X,O,O,O,X,X,X,X,X
ISOZTJL,O,X,O,O,O,X,X,X,X,X
ISOZLTJ,O,X,O,O,O,X,X,X,X,X
ISOZLJT,O,X,O,O,O,X,O,X,X,X
ISOZJTL,O,X,O,O,O,X,X,X,X,X
ISOZJLT,O,X,O,X,O,X,O,X,X,X
IZTLJSO,O,O,O,O,X,X,X,X,X,X
IZTLJOS,O,O,X,X,X,X,X,X,X,X
IZTLSJO,O,O,O,O,X,X,X,X,X,X
IZTLSOJ,X,O,O,O,X,X,X,X,X,X
IZTLOJS,O,O,X,X,X,X,X,X,X,X
IZTLOSJ,X,O,O,O,X,X,X,X,X,X
IZTJLSO,O,O,O,X,X,X,X,X,X,X
IZTJLOS,O,O,O,X,X,X,X,X,X,X
IZTJSLO,X,O,O,O,X,X,X,X,X,X
IZTJSOL,X,O,O,O,X,X,X,X,X,X
IZTJOLS,O,O,O,X,X,X,X,X,O,X
IZTJOSL,O,X,O,X,X,X,X,X,X,X
IZTSLJO,X,O,O,O,X,X,X,X,X,X
IZTSLOJ,X,O,O,O,X,X,X,X,X,X
IZTSJLO,X,O,O,O,X,X,X,X,X,X
IZTSJOL,X,O,O,O,X,X,X,X,X,X
IZTSOLJ,X,O,O,O,X,X,X,X,X,X
IZTSOJL,X,X,O,O,X,X,X,X,X,X
IZTOLJS,O,O,O,X,X,X,X,X,O,X
IZTOLSJ,O,O,O,O,X,X,X,X,X,X
IZTOJLS,O,O,O,X,X,X,X,X,O,X
IZTOJSL,O,O,O,X,X,X,X,X,X,X
IZTOSLJ,X,O,O,O,X,X,X,X,X,X
IZTOSJL,O,O,O,O,X,X,X,X,X,X
IZLTJSO,X,O,O,O,X,X,X,X,X,X
IZLTJOS,O,O,X,X,X,X,X,X,X,X
IZLTSJO,X,O,O,O,X,X,X,X,X,X
IZLTSOJ,X,O,O,O,X,X,X,X,X,X
IZLTOJS,X,O,X,X,X,X,X,X,X,X
IZLTOSJ,X,O,O,O,X,X,X,X,X,X
IZLJTSO,X,O,O,O,X,X,X,X,X,X
IZLJTOS,O,O,O,X,X,X,X,X,X,X
IZLJSTO,X,O,O,O,X,X,X,O,X,X
IZLJSOT,O,O,O,O,X,X,X,O,X,X
IZLJOTS,O,O,O,O,X,X,X,X,X,X
IZLJOST,O,O,O,O,X,X,X,X,X,X
IZLSTJO,X,O,O,O,X,X,X,O,X,X
IZLSTOJ,X,O,O,O,X,X,X,X,X,X
IZLSJTO,X,O,O,O,X,X,X,O,X,X
IZLSJOT,O,O,O,O,X,X,X,O,X,X
IZLSOTJ,X,X,O,O,X,X,X,X,X,X
IZLSOJT,X,X,O,O,X,X,X,O,X,X
IZLOTJS,X,O,O,O,X,X,X,X,X,X
IZLOTSJ,X,O,O,O,X,X,X,X,X,X
IZLOJTS,O,O,O,O,X,X,X,X,X,X
IZLOJST,O,O,O,O,X,X,X,X,X,X
IZLOSTJ,X,O,O,O,X,X,X,X,X,X
IZLOSJT,X,O,O,O,X,X,X,X,X,X
IZJTLSO,O,O,O,X,X,X,X,X,X,X
IZJTLOS,O,O,O,X,X,X,X,X,X,X
IZJTSLO,X,O,O,O,X,X,X,X,X,X
IZJTSOL,X,O,O,O,X,X,X,X,X,X
IZJTOLS,O,O,O,X,X,X,X,X,O,X
IZJTOSL,O,X,O,X,X,X,X,X,X,X
IZJLTSO,X,O,O,O,X,X,X,X,X,X
IZJLTOS,O,O,O,X,X,X,X,X,X,X
IZJLSTO,X,O,O,O,X,X,X,O,X,X
IZJLSOT,O,O,O,O,X,X,X,O,X,X
IZJLOTS,O,O,O,X,X,X,X,X,X,X
IZJLOST,O,O,O,O,X,X,X,X,X,X
IZJSTLO,O,O,O,O,X,X,X,O,X,X
IZJSTOL,O,O,O,O,X,X,X,O,X,X
IZJSLTO,O,O,O,O,X,X,X,O,X,X
IZJSLOT,O,O,O,O,X,X,X,O,X,X
IZJSOTL,O,O,X,O,X,X,X,X,X,X
IZJSOLT,O,O,X,X,X,X,X,O,X,X
IZJOTLS,O,O,O,X,X,X,X,X,O,X
IZJOTSL,O,O,O,X,X,X,X,X,X,X
IZJOLTS,O,O,O,X,X,X,X,X,O,X
IZJOLST,O,O,X,X,X,X,X,X,X,X
IZJOSTL,O,O,X,O,X,X,X,X,X,X
IZJOSLT,O,O,X,X,X,X,X,X,X,X
IZSTLJO,O,O,O,O,X,X,X,O,X,X
IZSTLOJ,O,O,O,O,X,X,X,X,X,X
IZSTJLO,O,O,O,O,X,X,X,O,X,X
IZSTJOL,O,O,O,O,X,X,X,O,X,X
IZSTOLJ,O,O,O,O,X,X,X,X,X,X
IZSTOJL,O,X,O,O,X,X,X,O,X,X
IZSLTJO,O,O,O,O,X,X,X,O,X,X
IZSLTOJ,X,O,O,O,X,X,X,X,X,X
IZSLJTO,O,O,O,O,X,X,X,O,X,X
IZSLJOT,O,O,O,O,X,X,X,O,X,X
IZSLOTJ,X,X,O,O,X,X,X,X,X,X
IZSLOJT,O,X,O,O,X,X,X,O,X,X
IZSJTLO,O,O,O,O,X,X,X,O,X,X
IZSJTOL,O,O,O,O,X,X,X,O,X,X
IZSJLTO,O,O,O,O,X,X,X,O,X,X
IZSJLOT,O,O,O,O,X,X,X,O,X,X
IZSJOTL,O,O,X,O,X,X,X,X,X,X
IZSJOLT,O,O,X,X,X,X,X,O,X,X
IZSOTLJ,O,O,O,O,X,X,X,X,X,X
IZSOTJL,O,O,O,O,X,X,X,O,X,X
IZSOLTJ,O,O,O,O,X,X,X,X,X,X
IZSOLJT,O,O,O,O,X,X,X,O,X,X
IZSOJTL,O,O,O,O,X,X,X,X,X,X
IZSOJLT,O,O,O,X,X,X,X,O,X,X
IZOTLJS,O,O,O,O,X,X,X,X,O,X
IZOTLSJ,O,O,O,O,X,X,X,X,X,X
IZOTJLS,O,O,O,X,X,X,X,X,O,X
IZOTJSL,O,O,O,O,X,X,X,X,X,X
IZOTSLJ,X,O,O,O,X,X,X,X,X,X
IZOTSJL,O,O,O,O,X,X,X,X,X,X
IZOLTJS,O,O,O,O,X,X,X,X,O,X
IZOLTSJ,X,O,O,O,X,X,X,X,X,X
IZOLJTS,O,O,O,O,X,X,X,X,O,X
IZOLJST,O,O,O,O,X,X,X,X,X,X
IZOLSTJ,X,O,O,O,X,X,X,X,X,X
IZOLSJT,O,O,O,O,X,X,X,X,X,X
IZOJTLS,O,O,O,X,X,X,X,X,O,X
IZOJTSL,O,O,O,O,X,X,X,X,X,X
IZOJLTS,O,O,O,O,X,X,X,X,O,X
IZOJLST,O,O,O,O,X,X,X,X,X,X
IZOJSTL,O,O,O,O,X,X,X,X,X,X
IZOJSLT,O,O,O,O,X,X,X,X,X,X
IZOSTLJ,O,O,O,O,X,X,X,X,X,X
IZOSTJL,O,O,O,O,X,X,X,X,X,X
IZOSLTJ,O,O,O,O,X,X,X,X,X,X
IZOSLJT,O,O,O,O,X,X,X,X,X,X
IZOSJTL,O,O,O,O,X,X,X,X,X,X
IZOSJLT,O,O,O,O,X,X,X,X,X,X
IOTLJSZ,X,O,O,O,X,X,X,X,X,X
IOTLJZS,O,O,O,O,X,X,X,X,X,X
IOTLSJZ,X,O,O,O,X,X,O,X,X,X
IOTLSZJ,O,O,O,O,X,X,O,X,X,X
IOTLZJS,O,O,O,O,X,X,X,X,X,X
IOTLZSJ,O,O,O,O,X,X,X,X,X,X
IOTJLSZ,X,O,O,X,O,X,X,X,X,X
IOTJLZS,O,O,O,X,X,X,X,X,X,X
IOTJSLZ,X,X,O,X,O,X,X,X,X,X
IOTJSZL,X,X,O,O,O,X,X,X,X,X
IOTJZLS,O,X,O,X,X,X,X,X,X,X
IOTJZSL,O,X,O,O,X,X,X,X,X,X
IOTSLJZ,O,O,O,O,X,X,O,X,X,X
IOTSLZJ,O,O,O,O,X,X,O,X,X,X
IOTSJLZ,O,X,O,X,O,X,O,X,X,X
IOTSJZL,O,X,O,O,O,X,O,X,X,X
IOTSZLJ,O,X,O,O,O,X,O,X,X,X
IOTSZJL,O,X,O,O,O,X,O,X,X,X
IOTZLJS,O,O,O,O,X,X,X,X,X,X
IOTZLSJ,O,O,O,O,X,X,X,X,X,X
IOTZJLS,O,O,O,X,X,X,X,X,X,X
IOTZJSL,O,X,O,O,X,X,X,X,X,X
IOTZSLJ,X,O,O,O,X,X,X,X,X,X
IOTZSJL,O,O,O,O,X,X,X,X,X,X
IOLTJSZ,X,X,O,O,X,X,X,X,X,X
IOLTJZS,O,X,O,O,X,X,X,X,X,X
IOLTSJZ,X,X,O,O,X,X,O,X,X,X
IOLTSZJ,O,X,O,O,X,X,O,X,X,X
IOLTZJS,O,X,O,O,X,X,X,X,X,X
IOLTZSJ,O,X,O,O,X,X,X,X,X,X
IOLJTSZ,X,X,O,O,O,X,X,X,X,X
IOLJTZS,O,X,O,O,X,X,X,X,X,X
IOLJSTZ,X,X,O,O,O,X,X,X,X,X
IOLJSZT,O,X,O,O,O,X,X,X,X,X
IOLJZTS,O,X,O,O,X,X,X,X,O,X
IOLJZST,O,X,O,O,O,X,X,X,X,X
IOLSTJZ,O,X,O,O,X,X,O,X,X,X
IOLSTZJ,O,X,O,O,X,X,O,X,X,X
IOLSJTZ,X,X,O,O,O,X,O,X,X,X
IOLSJZT,O,X,O,O,O,X,O,X,X,X
IOLSZTJ,O,X,O,O,O,X,X,X,X,X
IOLSZJT,O,X,O,O,O,X,O,X,X,X
IOLZTJS,O,X,O,O,X,X,X,X,O,X
IOLZTSJ,O,X,O,O,X,X,X,X,X,X
IOLZJTS,O,X,O,O,X,X,X,X,O,X
IOLZJST,O,X,O,O,X,X,X,X,X,X
IOLZSTJ,O,X,O,O,X,X,X,X,X,X
IOLZSJT,O,X,O,O,X,X,X,X,X,X
IOJTLSZ,X,O,O,X,O,X,X,X,X,X
IOJTLZS,O,O,O,X,X,X,X,X,X,X
IOJTSLZ,X,O,O,X,O,X,X,X,X,X
IOJTSZL,X,X,O,O,O,X,X,X,X,X
IOJTZLS,O,O,O,X,X,X,X,X,X,X
IOJTZSL,O,O,O,O,X,X,X,X,X,X
IOJLTSZ,X,O,O,O,O,X,X,X,X,X
IOJLTZS,O,O,O,O,X,X,X,X,X,X
IOJLSTZ,X,X,O,O,O,X,X,X,X,X
IOJLSZT,O,X,O,O,O,X,X,X,X,X
IOJLZTS,O,O,O,O,X,X,X,X,O,X
IOJLZST,O,O,O,O,O,X,X,X,X,X
IOJSTLZ,O,X,O,X,O,X,X,X,X,X
IOJSTZL,O,X,O,O,O,X,X,X,X,X
IOJSLTZ,X,X,O,O,O,X,X,X,X,X
IOJSLZT,O,X,O,O,O,X,X,X,X,X
IOJSZTL,O,X,O,O,O,X,X,X,X,X
IOJSZLT,O,X,O,O,O,X,X,X,X,X
IOJZTLS,O,O,O,X,X,X,X,X,O,X
IOJZTSL,O,O,O,O,X,X,X,X,X,X
IOJZLTS,O,O,O,O,X,X,X,X,O,X
IOJZLST,O,O,O,O,O,X,X,X,X,X
IOJZSTL,O,O,O,O,O,X,X,X,X,X
IOJZSLT,O,O,O,O,O,X,X,X,X,X
IOSTLJZ,O,X,O,O,X,X,O,X,X,X
IOSTLZJ,O,X,O,O,O,X,O,X,X,X
IOSTJLZ,O,X,O,X,O,X,O,X,X,X
IOSTJZL,O,X,O,O,O,X,O,X,X,X
IOSTZLJ,O,X,O,O,O,X,O,X,X,X
IOSTZJL,O,X,O,O,O,X,O,X,X,X
IOSLTJZ,O,X,O,O,X,X,O,X,X,X
IOSLTZJ,O,X,O,O,X,X,O,X,X,X
IOSLJTZ,X,X,O,O,O,X,O,X,X,X
IOSLJZT,O,X,O,O,O,X,O,X,X,X
IOSLZTJ,O,X,O,O,O,X,X,X,X,X
IOSLZJT,O,X,O,O,O,X,O,X,X,X
IOSJTLZ,O,X,O,X,O,X,O,X,X,X
IOSJTZL,O,X,O,O,O,X,O,X,X,X
IOSJLTZ,X,X,O,O,O,X,O,X,X,X
IOSJLZT,O,X,O,O,O,X,O,X,X,X
IOSJZTL,O,X,O,O,O,X,X,X,X,X
IOSJZLT,O,X,O,O,O,X,O,X,X,X
IOSZTLJ,O,X,O,O,O,X,X,X,X,X
