sequence,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhFxbB0dB6jB/?qBFmBmqB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhF0bBxdBKlBG?jBFmBXrB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhFXcBxdBKlBG?jBFmB0qB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhFxbB0dB6jBl?gB2qBXrB,v115@ChB8CeB8DeC8AeB8CeH8BeE8Je2/IvhFXcB0dB6jBx?lBFlBzqB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhFZgB0dB6jBX?mBuqBFrB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhFFcB0dB6jBx?lBmqB/qB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhF1gB0dB6jBx?lB2qBXrB
ISTOZJL,O,X,X,X,X,O,X,X
ISLTJZO,O,X,X,X,O,O,X,X
ISLTJOZ,O,X,X,X,X,O,X,X
ISLTZJO,O,X,X,X,O,O,X,X
ISLTZOJ,O,X,X,X,X,O,X,X
ISLTOJZ,O,X,X,X,X,O,X,X
ISLTOZJ,O,X,X,X,X,O,X,X
ISLJTZO,X,X,X,X,O,O,O,X
ISLJTOZ,X,X,X,X,X,O,O,X
ISLJZTO,X,X,X,X,O,O,O,X
ISLJZOT,O,X,X,O,O,O,O,X
ISLJOTZ,X,X,X,X,O,O,O,X
ISLJOZT,O,X,X,O,O,O,O,X
ISLZTJO,O,X,X,X,O,O,X,X
ISLZTOJ,O,X,X,X,X,O,X,X
ISLZJTO,X,X,X,X,O,O,O,X
ISLZJOT,O,X,X,O,O,O,O,X
ISLZOTJ,O,X,X,X,O,O,X,X
ISLZOJT,O,X,X,O,O,O,O,X
ISLOTJZ,O,X,X,X,O,O,X,X
ISLOTZJ,O,X,X,X,O,O,X,X
ISLOJTZ,X,X,X,X,O,O,O,X
ISLOJZT,O,X,X,X,O,O,O,X
ISLOZTJ,O,X,X,X,O,O,X,X
ISLOZJT,O,X,X,O,O,O,O,X
ISJTLZO,X,X,X,X,O,O,X,X
ISJTLOZ,X,X,X,X,X,O,X,X
ISJTZLO,X,X,X,X,O,O,X,X
ISJTZOL,X,X,X,X,X,O,X,X
ISJTOLZ,X,X,X,X,X,O,X,X
ISJTOZL,X,X,X,X,X,O,X,X
ISJLTZO,X,X,X,X,O,O,X,X
ISJLTOZ,X,X,X,X,X,O,X,X
ISJLZTO,X,X,X,X,O,O,X,X
ISJLZOT,O,X,X,O,O,O,X,X
ISJLOTZ,X,X,X,X,O,O,X,X
ISJLOZT,O,X,X,O,O,O,X,X
ISJZTLO,X,X,X,X,O,O,X,X
ISJZTOL,X,X,X,X,X,O,X,X
ISJZLTO,X,X,X,X,O,O,X,X
ISJZLOT,O,X,X,O,O,O,X,X
ISJZOTL,X,X,X,X,X,O,X,X
ISJZOLT,O,X,X,O,O,O,X,X
ISJOTLZ,X,X,X,X,X,O,X,X
ISJOTZL,X,X,X,X,X,O,X,X
ISJOLTZ,X,X,X,X,X,O,X,X
ISJOLZT,O,X,X,O,O,O,X,X
ISJOZTL,X,X,X,X,X,O,X,X
ISJOZLT,O,X,X,O,O,O,X,X
ISZTLJO,O,X,X,X,O,O,X,X
ISZTLOJ,O,X,X,X,X,O,X,O
ISZTJLO,O,X,X,X,O,O,X,X
ISZTJOL,O,X,X,X,X,O,X,X
ISZTOLJ,O,X,X,X,X,O,X,O
ISZTOJL,O,X,X,X,X,O,X,X
ISZLTJO,O,X,X,X,O,O,X,X
ISZLTOJ,O,X,X,X,X,O,X,X
ISZLJTO,X,X,X,X,O,O,O,X
ISZLJOT,O,X,X,O,O,O,O,X
ISZLOTJ,O,X,X,X,O,O,X,X
ISZLOJT,O,X,X,O,O,O,O,X
ISZJTLO,X,X,X,X,O,O,X,X
ISZJTOL,X,X,X,X,X,O,X,X
ISZJLTO,X,X,X,X,O,O,X,X
ISZJLOT,O,X,X,O,O,O,X,X
ISZJOTL,X,X,X,X,X,O,X,X
ISZJOLT,O,X,X,O,O,O,X,X
ISZOTLJ,O,X,X,X,X,O,X,O
ISZOTJL,O,X,X,X,X,O,X,X
ISZOLTJ,O,X,X,X,X,O,X,X
ISZOLJT,O,X,X,O,O,O,O,X
ISZOJTL,X,X,X,X,X,O,X,X
ISZOJLT,O,X,X,X,O,O,X,X
ISOTLJZ,O,X,X,X,X,O,X,X
ISOTLZJ,O,X,X,X,X,O,X,O
ISOTJLZ,O,X,X,X,X,O,X,X
ISOTJZL,O,X,X,X,X,O,X,X
ISOTZLJ,O,X,X,X,X,O,X,O
ISOTZJL,O,X,X,X,X,O,X,X
ISOLTJZ,O,X,X,X,X,O,X,X
ISOLTZJ,O,X,X,X,X,O,X,X
ISOLJTZ,X,X,X,X,X,O,O,X
ISOLJZT,O,X,X,X,O,O,O,X
ISOLZTJ,O,X,X,X,X,O,X,X
ISOLZJT,O,X,X,O,O,O,O,X
ISOJTLZ,X,X,X,X,X,O,X,X
ISOJTZL,X,X,X,X,X,O,X,X
ISOJLTZ,X,X,X,X,X,O,X,X
ISOJLZT,O,X,X,X,O,O,X,X
ISOJZTL,X,X,X,X,X,O,X,X
ISOJZLT,O,X,X,X,O,O,X,X
ISOZTLJ,O,X,X,X,X,O,X,O
ISOZTJL,O,X,X,X,X,O,X,X
ISOZLTJ,O,X,X,X,X,O,X,X
ISOZLJT,O,X,X,O,O,O,O,X
ISOZJTL,X,X,X,X,X,O,X,X
ISOZJLT,O,X,X,X,O,O,X,X
IZTLJSO,X,X,X,X,O,X,O,X
IZTLJOS,X,X,X,O,O,X,O,O
IZTLSJO,X,X,X,X,O,O,X,X
IZTLSOJ,X,X,X,X,X,O,X,O
IZTLOJS,X,X,X,O,O,X,O,O
IZTLOSJ,O,X,X,X,O,O,X,O
IZTJLSO,X,X,X,X,O,X,X,X
IZTJLOS,X,X,X,O,O,X,X,O
IZTJSLO,X,X,X,X,O,X,X,X
IZTJSOL,X,X,X,X,X,X,X,X
IZTJOLS,X,X,X,O,X,X,X,O
IZTJOSL,X,X,X,X,X,X,X,X
IZTSLJO,X,X,X,X,O,O,X,X
IZTSLOJ,X,X,X,X,X,O,X,O
IZTSJLO,X,X,X,X,O,O,X,X
IZTSJOL,X,X,X,X,X,O,X,X
IZTSOLJ,X,X,X,X,X,O,X,O
IZTSOJL,X,X,X,X,X,O,X,X
IZTOLJS,X,X,X,O,X,X,O,O
IZTOLSJ,O,X,X,X,X,O,X,O
IZTOJLS,X,X,X,X,X,X,X,O
IZTOJSL,X,X,X,X,X,X,X,X
IZTOSLJ,X,X,X,X,X,O,X,O
IZTOSJL,X,X,X,X,X,O,X,X
IZLTJSO,X,X,X,X,O,X,O,X
IZLTJOS,X,X,X,O,O,X,O,O
IZLTSJO,X,X,X,X,O,O,X,X
IZLTSOJ,X,X,X,X,X,O,X,O
IZLTOJS,X,X,X,O,O,X,O,O
IZLTOSJ,O,X,X,X,O,O,X,O
IZLJTSO,X,X,X,O,O,X,O,X
IZLJTOS,X,X,X,O,O,X,O,X
IZLJSTO,X,X,X,O,O,O,O,X
IZLJSOT,X,X,X,O,O,O,O,X
IZLJOTS,X,X,X,O,O,X,O,X
IZLJOST,O,X,X,O,O,O,O,X
IZLSTJO,O,X,X,X,O,O,X,X
IZLSTOJ,O,X,X,X,X,O,X,X
IZLSJTO,X,X,X,X,O,O,O,X
IZLSJOT,O,X,X,O,O,O,O,X
IZLSOTJ,O,X,X,X,O,O,X,X
IZLSOJT,O,X,X,O,O,O,O,X
IZLOTJS,X,X,X,O,O,X,O,O
IZLOTSJ,O,X,X,X,O,O,X,O
IZLOJTS,X,X,X,O,O,X,O,X
IZLOJST,O,X,X,O,O,O,O,X
IZLOSTJ,O,X,X,X,O,O,X,X
IZLOSJT,O,X,X,O,O,O,O,X
IZJTLSO,X,X,X,O,O,X,O,X
IZJTLOS,X,X,X,O,O,X,O,O
IZJTSLO,X,X,X,O,O,X,X,X
IZJTSOL,X,X,X,O,X,X,X,X
IZJTOLS,X,X,X,O,X,X,O,O
IZJTOSL,X,X,X,O,X,X,X,X
IZJLTSO,X,X,X,O,O,X,O,X
IZJLTOS,X,X,X,O,O,X,O,X
IZJLSTO,X,X,X,O,O,O,O,X
IZJLSOT,X,X,X,O,O,O,O,X
IZJLOTS,X,X,X,O,O,X,O,X
IZJLOST,O,X,X,O,O,O,O,X
IZJSTLO,X,X,X,O,O,O,X,X
IZJSTOL,X,X,X,O,X,O,X,X
IZJSLTO,X,X,X,O,O,O,O,X
IZJSLOT,X,X,X,O,O,O,O,X
IZJSOTL,X,X,X,O,X,O,X,X
IZJSOLT,X,X,X,O,O,O,O,X
IZJOTLS,X,X,X,O,X,X,O,O
IZJOTSL,X,X,X,O,X,X,X,X
IZJOLTS,X,X,X,O,O,X,O,X
IZJOLST,O,X,X,O,O,O,O,X
IZJOSTL,X,X,X,O,X,O,X,X
IZJOSLT,X,X,X,O,O,O,O,X
IZSTLJO,O,X,X,X,O,O,X,X
IZSTLOJ,O,X,X,X,X,O,X,O
IZSTJLO,O,X,X,X,O,O,X,X
IZSTJOL,O,X,X,X,X,O,X,X
IZSTOLJ,O,X,X,X,X,O,X,O
IZSTOJL,O,X,X,X,X,O,X,X
IZSLTJO,O,X,X,X,O,O,X,X
IZSLTOJ,O,X,X,X,X,O,X,X
IZSLJTO,X,X,X,X,O,O,O,X
IZSLJOT,O,X,X,O,O,O,O,X
IZSLOTJ,O,X,X,X,O,O,X,X
IZSLOJT,O,X,X,O,O,O,O,X
IZSJTLO,X,X,X,X,O,O,X,X
IZSJTOL,X,X,X,X,X,O,X,X
IZSJLTO,X,X,X,X,O,O,X,X
IZSJLOT,O,X,X,O,O,O,X,X
IZSJOTL,X,X,X,X,X,O,X,X
IZSJOLT,O,X,X,O,O,O,X,X
IZSOTLJ,O,X,X,X,X,O,X,O
IZSOTJL,O,X,X,X,X,O,X,X
IZSOLTJ,O,X,X,X,X,O,X,X
IZSOLJT,O,X,X,O,O,O,O,X
IZSOJTL,X,X,X,X,X,O,X,X
IZSOJLT,O,X,X,X,O,O,X,X
IZOTLJS,X,X,X,O,O,X,O,O
IZOTLSJ,O,X,X,X,O,O,X,O
IZOTJLS,X,X,X,X,O,X,X,O
IZOTJSL,X,X,X,X,O,X,X,X
IZOTSLJ,X,X,X,X,O,O,X,O
IZOTSJL,X,X,X,X,O,O,X,X
IZOLTJS,X,X,X,O,O,X,O,O
IZOLTSJ,O,X,X,X,O,O,X,O
IZOLJTS,X,X,X,O,O,X,O,X
IZOLJST,O,X,X,O,O,O,O,X
IZOLSTJ,O,X,X,X,O,O,X,X
IZOLSJT,O,X,X,O,O,O,O,X
IZOJTLS,X,X,X,O,O,X,O,O
IZOJTSL,X,X,X,O,O,X,X,X
IZOJLTS,X,X,X,O,O,X,O,X
IZOJLST,O,X,X,O,O,O,O,X
IZOJSTL,X,X,X,O,O,O,X,X
IZOJSLT,X,X,X,O,O,O,O,X
IZOSTLJ,O,X,X,X,O,O,X,O
IZOSTJL,O,X,X,X,O,O,X,X
IZOSLTJ,O,X,X,X,O,O,X,X
IZOSLJT,O,X,X,O,O,O,O,X
IZOSJTL,X,X,X,X,O,O,X,X
IZOSJLT,O,X,X,X,O,O,X,X
IOTLJSZ,X,X,X,X,O,X,O,X
IOTLJZS,X,X,X,X,O,X,O,O
IOTLSJZ,X,X,X,X,O,O,X,X
IOTLSZJ,X,X,X,X,O,O,X,O
IOTLZJS,X,X,X,O,O,X,O,O
IOTLZSJ,O,X,X,X,O,O,X,O
IOTJLSZ,X,X,X,X,O,X,X,X
IOTJLZS,X,X,X,X,O,X,X,O
IOTJSLZ,X,X,X,X,O,X,X,X
IOTJSZL,X,X,X,X,O,X,X,X
IOTJZLS,X,X,X,X,O,X,X,O
IOTJZSL,X,X,X,X,O,X,X,X
IOTSLJZ,X,X,X,X,O,O,X,X
IOTSLZJ,X,X,X,X,O,O,X,O
IOTSJLZ,X,X,X,X,O,O,X,X
IOTSJZL,X,X,X,X,O,O,X,X
IOTSZLJ,X,X,X,X,O,O,X,O
IOTSZJL,X,X,X,X,O,O,X,X
IOTZLJS,X,X,X,O,O,X,O,O
IOTZLSJ,O,X,X,X,O,O,X,O
IOTZJLS,X,X,X,X,O,X,X,O
IOTZJSL,X,X,X,X,O,X,X,X
IOTZSLJ,X,X,X,X,O,O,X,O
IOTZSJL,X,X,X,X,O,O,X,X
IOLTJSZ,X,O,O,X,O,X,O,X
IOLTJZS,X,O,O,X,O,X,O,O
IOLTSJZ,X,X,O,X,O,O,X,X
IOLTSZJ,X,X,X,X,O,O,X,O
IOLTZJS,X,O,X,O,O,X,O,O
IOLTZSJ,O,X,X,X,O,O,X,O
IOLJTSZ,X,O,O,O,O,X,O,X
IOLJTZS,X,O,O,O,O,X,O,X
IOLJSTZ,X,O,O,O,O,O,O,X
IOLJSZT,X,O,X,O,O,O,O,X
IOLJZTS,X,O,O,O,O,X,O,X
IOLJZST,O,O,X,O,O,O,O,X
IOLSTJZ,O,X,X,X,O,O,X,X
IOLSTZJ,O,X,X,X,O,O,X,X
IOLSJTZ,X,X,X,X,O,O,O,X
IOLSJZT,O,X,X,X,O,O,O,X
IOLSZTJ,O,X,X,X,O,O,X,X
IOLSZJT,O,X,X,O,O,O,O,X
IOLZTJS,X,X,X,O,O,X,O,O
IOLZTSJ,O,X,X,X,O,O,X,O
IOLZJTS,X,O,X,O,O,X,O,X
IOLZJST,O,O,X,O,O,O,O,X
IOLZSTJ,O,X,X,X,O,O,X,X
IOLZSJT,O,X,X,O,O,O,O,X
IOJTLSZ,X,O,O,O,O,X,O,X
IOJTLZS,X,O,O,O,O,X,O,O
IOJTSLZ,X,X,X,O,O,X,X,X
IOJTSZL,X,X,X,O,O,X,X,X
IOJTZLS,X,X,X,O,O,X,O,O
IOJTZSL,X,X,X,O,O,X,X,X
IOJLTSZ,X,O,O,O,O,X,O,X
IOJLTZS,X,O,O,O,O,X,O,X
IOJLSTZ,X,O,O,O,O,O,O,X
IOJLSZT,X,O,X,O,O,O,O,X
IOJLZTS,X,O,O,O,O,X,O,X
IOJLZST,O,O,X,O,O,O,O,X
IOJSTLZ,X,X,X,O,O,O,X,X
IOJSTZL,X,X,X,O,O,O,X,X
IOJSLTZ,X,O,O,O,O,O,O,X
IOJSLZT,X,O,X,O,O,O,O,X
IOJSZTL,X,X,X,O,O,O,X,X
IOJSZLT,X,X,X,O,O,O,O,X
IOJZTLS,X,X,X,O,O,X,O,O
IOJZTSL,X,X,X,O,O,X,X,X
IOJZLTS,X,O,O,O,O,X,O,X
IOJZLST,O,O,X,O,O,O,O,X
IOJZSTL,X,X,X,O,O,O,X,X
IOJZSLT,X,X,X,O,O,O,O,X
IOSTLJZ,O,X,X,X,O,O,X,X
IOSTLZJ,O,X,X,X,O,O,X,O
IOSTJLZ,O,X,X,X,O,O,X,X
IOSTJZL,O,X,X,X,O,O,X,X
IOSTZLJ,O,X,X,X,O,O,X,O
IOSTZJL,O,X,X,X,O,O,X,X
IOSLTJZ,O,X,X,X,O,O,X,X
IOSLTZJ,O,X,X,X,O,O,X,X
IOSLJTZ,X,X,X,X,O,O,O,X
IOSLJZT,O,X,X,X,O,O,O,X
IOSLZTJ,O,X,X,X,O,O,X,X
IOSLZJT,O,X,X,O,O,O,O,X
IOSJTLZ,X,X,X,X,O,O,X,X
IOSJTZL,X,X,X,X,O,O,X,X
IOSJLTZ,X,X,X,X,O,O,X,X
IOSJLZT,O,X,X,X,O,O,X,X
IOSJZTL,X,X,X,X,O,O,X,X
IOSJZLT,O,X,X,X,O,O,X,X
IOSZTLJ,O,X,X,X,O,O,X,O
IOSZTJL,O,X,X,X,O,O,X,X
IOSZLTJ,O,X,X,X,O,O,X,X
IOSZLJT,O,X,X,O,O,O,O,X
IOSZJTL,X,X,X,X,O,O,X,X
IOSZJLT,O,X,X,X,O,O,X,X
IOZTLJS,X,X,X,O,O,X,O,O
IOZTLSJ,O,X,X,X,O,O,X,O
IOZTJLS,X,X,X,X,O,X,X,O
IOZTJSL,X,X,X,X,O,X,X,X
IOZTSLJ,X,X,X,X,O,O,X,O
IOZTSJL,X,X,X,X,O,O,X,X
IOZLTJS,X,X,X,O,O,X,O,O
IOZLTSJ,O,X,X,X,O,O,X,O
IOZLJTS,X,X,X,O,O,X,O,X
IOZLJST,O,X,X,O,O,O,O,X
IOZLSTJ,O,X,X,X,O,O,X,X
IOZLSJT,O,X,X,O,O,O,O,X
IOZJTLS,X,X,X,O,O,X,O,O
IOZJTSL,X,X,X,O,O,X,X,X
IOZJLTS,X,X,X,O,O,X,O,X
IOZJLST,O,X,X,O,O,O,O,X
IOZJSTL,X,X,X,O,O,O,X,X
IOZJSLT,X,X,X,O,O,O,O,X
IOZSTLJ,O,X,X,X,O,O,X,O
IOZSTJL,O,X,X,X,O,O,X,X
IOZSLTJ,O,X,X,X,O,O,X,X
IOZSLJT,O,X,X,O,O,O,O,X
IOZSJTL,X,X,X,X,O,O,X,X
IOZSJLT,O,X,X,X,O,O,X,X
LTIJSZO,X,O,O,X,O,X,O,X
LTIJSOZ,X,O,O,X,X,X,O,X
LTIJZSO,X,O,O,X,O,X,O,X
LTIJZOS,X,O,O,O,O,X,O,X
LTIJOSZ,X,O,O,X,O,X,O,X
LTIJOZS,X,O,O,O,O,X,O,X
LTISJZO,X,X,O,X,O,O,X,X
LTISJOZ,X,X,O,X,X,O,X,X
LTISZJO,X,X,X,X,O,O,X,X
LTISZOJ,X,X,X,X,X,O,X,X
LTISOJZ,X,X,O,X,X,O,X,X
LTISOZJ,X,X,X,X,X,O,X,X
LTIZJSO,X,O,X,X,O,X,O,X
LTIZJOS,X,O,X,O,O,X,O,X
LTIZSJO,X,X,X,X,O,O,X,X
LTIZSOJ,X,X,X,X,X,O,X,X
LTIZOJS,X,O,X,O,O,X,O,X
LTIZOSJ,O,X,X,X,O,O,X,X
LTIOJSZ,X,O,O,X,O,X,O,X
LTIOJZS,X,O,O,X,O,X,O,X
LTIOSJZ,X,X,O,X,O,O,X,X
LTIOSZJ,X,X,X,X,O,O,X,X
LTIOZJS,X,O,X,O,O,X,O,X
LTIOZSJ,O,X,X,X,O,O,X,X
LTJISZO,X,O,O,O,O,X,O,X
LTJISOZ,X,O,O,O,X,X,O,X
LTJIZSO,X,O,O,O,O,X,O,X
LTJIZOS,X,O,O,O,O,X,O,X
LTJIOSZ,X,O,O,O,O,X,O,X
LTJIOZS,X,O,O,O,O,X,O,X
LTJSIZO,X,O,O,O,X,X,X,X
LTJSIOZ,X,O,O,O,X,X,X,X
LTJSZIO,X,O,O,O,O,X,X,X
LTJSZOI,X,O,O,O,O,X,X,X
LTJSOIZ,X,O,O,O,X,X,X,X
LTJSOZI,X,O,O,O,X,X,X,X
LTJZISO,X,O,O,O,O,X,O,X
LTJZIOS,X,O,O,O,O,X,O,X
LTJZSIO,X,O,O,O,O,X,X,X
LTJZSOI,X,O,O,O,O,X,X,X
LTJZOIS,X,O,O,O,X,X,O,X
LTJZOSI,X,O,O,O,O,X,X,X
LTJOISZ,X,O,O,O,X,X,O,X
LTJOIZS,X,O,O,O,X,X,O,X
LTJOSIZ,X,O,O,O,X,X,X,X
LTJOSZI,X,O,O,O,O,X,X,X
LTJOZIS,X,O,O,O,X,X,O,X
LTJOZSI,X,O,O,O,O,X,X,X
LTSIJZO,O,X,O,X,O,O,X,X
LTSIJOZ,O,X,O,X,X,O,X,X
LTSIZJO,O,X,X,X,O,O,X,X
LTSIZOJ,O,X,X,X,X,O,X,X
LTSIOJZ,O,X,O,X,X,O,X,X
LTSIOZJ,O,X,X,X,X,O,X,X
LTSJIZO,O,O,O,X,X,X,X,X
LTSJIOZ,O,O,O,X,X,X,X,X
LTSJZIO,O,O,O,X,O,X,X,X
LTSJZOI,O,O,O,X,O,X,X,X
LTSJOIZ,O,O,O,X,X,X,X,X
LTSJOZI,O,O,O,X,X,X,X,X
LTSZIJO,O,X,X,X,O,O,X,X
LTSZIOJ,O,X,X,X,X,O,X,X
LTSZJIO,O,O,O,X,O,X,X,X
LTSZJOI,O,O,O,X,O,X,X,X
LTSZOIJ,O,X,X,X,X,O,X,X
LTSZOJI,O,O,O,X,X,X,X,X
LTSOIJZ,O,X,O,X,X,O,X,X
LTSOIZJ,O,X,X,X,X,O,X,X
LTSOJIZ,O,O,O,X,X,X,X,X
LTSOJZI,O,O,O,X,X,X,X,X
LTSOZIJ,O,X,X,X,X,O,X,X
LTSOZJI,O,O,O,X,X,X,X,X
LTZIJSO,X,O,X,X,O,X,O,X
LTZIJOS,X,O,X,O,O,X,O,X
LTZISJO,X,X,X,X,O,O,X,X
LTZISOJ,X,X,X,X,X,O,X,X
LTZIOJS,X,O,X,O,O,X,O,X
LTZIOSJ,O,X,X,X,O,O,X,X
LTZJISO,X,O,O,O,O,X,O,X
LTZJIOS,X,O,O,O,O,X,O,X
LTZJSIO,X,O,O,O,O,X,X,X
LTZJSOI,X,O,O,O,O,X,X,X
LTZJOIS,X,O,O,O,X,X,O,X
LTZJOSI,X,O,O,O,O,X,X,X
LTZSIJO,O,X,X,X,O,O,X,X
LTZSIOJ,O,X,X,X,X,O,X,X
LTZSJIO,O,O,O,X,O,X,X,X
LTZSJOI,O,O,O,X,O,X,X,X
LTZSOIJ,O,X,X,X,X,O,X,X
LTZSOJI,O,O,O,X,X,X,X,X
LTZOIJS,X,O,X,O,O,X,O,X
LTZOISJ,O,X,X,X,O,O,X,X
LTZOJIS,X,O,O,O,X,X,O,X
LTZOJSI,X,O,O,O,O,X,X,X
LTZOSIJ,O,X,X,X,O,O,X,X
LTZOSJI,O,O,O,X,O,X,X,X
LTOIJSZ,X,O,O,X,O,X,O,X
LTOIJZS,X,O,O,X,O,X,O,X
LTOISJZ,X,X,O,X,O,O,X,X
LTOISZJ,X,X,X,X,O,O,X,X
LTOIZJS,X,O,X,O,O,X,O,X
LTOIZSJ,O,X,X,X,O,O,X,X
LTOJISZ,X,O,O,O,X,X,O,X
LTOJIZS,X,O,O,O,X,X,O,X
LTOJSIZ,X,O,O,O,X,X,X,X
LTOJSZI,X,O,O,O,O,X,X,X
LTOJZIS,X,O,O,O,X,X,O,X
LTOJZSI,X,O,O,O,O,X,X,X
LTOSIJZ,O,X,O,X,O,O,X,X
LTOSIZJ,O,X,X,X,O,O,X,X
LTOSJIZ,O,O,O,X,X,X,X,X
LTOSJZI,O,O,O,X,O,X,X,X
LTOSZIJ,O,X,X,X,O,O,X,X
LTOSZJI,O,O,O,X,O,X,X,X
LTOZIJS,X,O,X,O,O,X,O,X
LTOZISJ,O,X,X,X,O,O,X,X
LTOZJIS,X,O,O,O,X,X,O,X
LTOZJSI,X,O,O,O,O,X,X,X
LTOZSIJ,O,X,X,X,O,O,X,X
LTOZSJI,O,O,O,X,O,X,X,X
LITJSZO,X,O,O,X,O,X,O,X
LITJSOZ,X,O,O,X,X,X,O,X
LITJZSO,X,O,O,X,O,X,O,X
LITJZOS,X,O,O,O,O,X,O,O
LITJOSZ,X,O,O,X,O,X,O,X
LITJOZS,X,O,O,O,O,X,O,O
LITSJZO,X,X,O,X,O,O,X,X
LITSJOZ,X,X,O,X,X,O,X,X
LITSZJO,X,X,X,X,O,O,X,X
LITSZOJ,X,X,X,X,X,O,X,O
LITSOJZ,X,X,O,X,X,O,X,X
LITSOZJ,X,X,X,X,X,O,X,O
LITZJSO,X,O,X,X,O,X,O,X
LITZJOS,X,O,X,O,O,X,O,O
LITZSJO,X,X,X,X,O,O,X,X
LITZSOJ,X,X,X,X,X,O,X,O
LITZOJS,X,O,X,O,O,X,O,O
LITZOSJ,O,X,X,X,O,O,X,O
LITOJSZ,X,O,O,X,O,X,O,X
LITOJZS,X,O,O,X,O,X,O,O
LITOSJZ,X,X,O,X,O,O,X,X
LITOSZJ,X,X,X,X,O,O,X,O
LITOZJS,X,O,X,O,O,X,O,O
LITOZSJ,O,X,X,X,O,O,X,O
LIJTSZO,X,O,O,O,O,X,O,X
LIJTSOZ,X,O,O,O,X,X,O,X
LIJTZSO,X,O,O,O,O,X,O,X
LIJTZOS,X,O,O,O,O,X,O,X
LIJTOSZ,X,O,O,O,O,X,O,X
LIJTOZS,X,O,O,O,O,X,O,X
LIJSTZO,X,O,O,O,O,O,O,X
LIJSTOZ,X,O,O,O,X,O,O,X
LIJSZTO,X,X,X,O,O,O,O,X
LIJSZOT,X,O,X,O,O,O,O,X
LIJSOTZ,X,O,O,O,O,O,O,X
LIJSOZT,X,O,X,O,O,O,O,X
LIJZTSO,X,O,O,O,O,X,O,X
LIJZTOS,X,O,O,O,O,X,O,X
LIJZSTO,X,X,X,O,O,O,O,X
LIJZSOT,X,O,X,O,O,O,O,X
LIJZOTS,X,O,O,O,O,X,O,X
LIJZOST,O,O,X,O,O,O,O,X
LIJOTSZ,X,O,O,O,O,X,O,X
LIJOTZS,X,O,O,O,O,X,O,X
LIJOSTZ,X,O,O,O,O,O,O,X
LIJOSZT,X,O,X,O,O,O,O,X
LIJOZTS,X,O,O,O,O,X,O,X
LIJOZST,O,O,X,O,O,O,O,X
LISTJZO,O,X,X,X,O,O,X,X
LISTJOZ,O,X,X,X,X,O,X,X
LISTZJO,O,X,X,X,O,O,X,X
LISTZOJ,O,X,X,X,X,O,X,X
LISTOJZ,O,X,X,X,X,O,X,X
LISTOZJ,O,X,X,X,X,O,X,X
LISJTZO,X,X,X,X,O,O,O,X
LISJTOZ,X,X,X,X,X,O,O,X
LISJZTO,X,X,X,X,O,O,O,X
LISJZOT,O,X,X,O,O,O,O,X
LISJOTZ,X,X,X,X,O,O,O,X
LISJOZT,O,X,X,O,O,O,O,X
LISZTJO,O,X,X,X,O,O,X,X
LISZTOJ,O,X,X,X,X,O,X,X
LISZJTO,X,X,X,X,O,O,O,X
LISZJOT,O,X,X,O,O,O,O,X
LISZOTJ,O,X,X,X,O,O,X,X
LISZOJT,O,X,X,O,O,O,O,X
LISOTJZ,O,X,X,X,O,O,X,X
LISOTZJ,O,X,X,X,O,O,X,X
LISOJTZ,X,X,X,X,O,O,O,X
LISOJZT,O,X,X,X,O,O,O,X
LISOZTJ,O,X,X,X,O,O,X,X
LISOZJT,O,X,X,O,O,O,O,X
LIZTJSO,X,X,X,X,O,X,O,X
LIZTJOS,X,X,X,O,O,X,O,O
LIZTSJO,X,X,X,X,O,O,X,X
LIZTSOJ,X,X,X,X,X,O,X,O
LIZTOJS,X,X,X,O,O,X,O,O
LIZTOSJ,O,X,X,X,O,O,X,O
LIZJTSO,X,X,X,O,O,X,O,X
LIZJTOS,X,O,X,O,O,X,O,X
LIZJSTO,X,X,X,O,O,O,O,X
LIZJSOT,X,O,X,O,O,O,O,X
LIZJOTS,X,O,X,O,O,X,O,X
LIZJOST,O,O,X,O,O,O,O,X
LIZSTJO,O,X,X,X,O,O,X,X
LIZSTOJ,O,X,X,X,X,O,X,X
LIZSJTO,X,X,X,X,O,O,O,X
LIZSJOT,O,X,X,O,O,O,O,X
LIZSOTJ,O,X,X,X,O,O,X,X
LIZSOJT,O,X,X,O,O,O,O,X
LIZOTJS,X,X,X,O,O,X,O,O
LIZOTSJ,O,X,X,X,O,O,X,O
LIZOJTS,X,O,X,O,O,X,O,X
LIZOJST,O,O,X,O,O,O,O,X
LIZOSTJ,O,X,X,X,O,O,X,X
LIZOSJT,O,X,X,O,O,O,O,X
LIOTJSZ,X,O,O,X,O,X,O,X
LIOTJZS,X,O,O,X,O,X,O,O
LIOTSJZ,X,X,O,X,O,O,X,X
LIOTSZJ,X,X,X,X,O,O,X,O
LIOTZJS,X,O,X,O,O,X,O,O
LIOTZSJ,O,X,X,X,O,O,X,O
LIOJTSZ,X,O,O,O,O,X,O,X
