sequence,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcB0gB/qBF?nBTrBmrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBTgB/rBF?nB0qBmrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBlgBUiB/?qBOrBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8Jez6IvhF+gBxcB/mBU?iBlqBywB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBUiB/qBF?mBzrBmqB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeWAJvhFxcB/mBUiBT?gBlqBywB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBlgBUiB2?qBzrBXrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBTlB/rBF?nB0qBmrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8Jez6IvhFXdBilBFnB5?lB0rBOrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeG7IvhFxcBalB8lBF?nBXrBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBOlB8lBF?nBXrBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFXdB2lBFnBx?qBzqB0rB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeR7IvhFCdBUgBVnBe?rB3lBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcB/qBUmBF?nBmqBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC9IvhFRgBVnB3gBe?rBUlBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhF0cBTgBFnBx?qBerBXsB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeR7IvhFCdB3gBVnBe?rBUlBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeG7IvhFxcBylBFnBU?lBXrBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBTgBlhB2?rB0qBXsB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JefAJvhFzgBFnBxqB6?rBOsB0qB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JefAJvhFTcBFnBxqBU?rB6qBOsB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhF0cBlgB/qBx?mBOsBTrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JefAJvhF8gBCdBVnB2?rBTlBRwB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBlgBUiB/?qBmrBTrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8Jez6IvhFfhBFnBxqB0?qB6rBOsB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JefAJvhF0bBFnBxqBz?qB6rBOsB
JLSITZO,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X
JLSITOZ,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
JLSIZTO,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JLSIZOT,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLSIOTZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JLSIOZT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLSZTIO,O,X,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JLSZTOI,O,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JLSZITO,O,X,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JLSZIOT,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLSZOTI,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLSZOIT,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLSOTIZ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JLSOTZI,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JLSOITZ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JLSOIZT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLSOZTI,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLSOZIT,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLZTISO,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
JLZTIOS,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JLZTSIO,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JLZTSOI,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JLZTOIS,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JLZTOSI,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZITSO,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
JLZITOS,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JLZISTO,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JLZISOT,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JLZIOTS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLZIOST,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JLZSTIO,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JLZSTOI,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JLZSITO,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JLZSIOT,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JLZSOTI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JLZSOIT,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JLZOTIS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLZOTSI,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLZOITS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLZOIST,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JLZOSTI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLZOSIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOTISZ,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOTIZS,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOTSIZ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOTSZI,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOTZIS,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOTZSI,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOITSZ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOITZS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOISTZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLOISZT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLOIZTS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOIZST,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLOSTIZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JLOSTZI,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JLOSITZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JLOSIZT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLOSZTI,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLOSZIT,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLOZTIS,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZTSI,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZITS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZIST,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLOZSTI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZSIT,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTILZO,O,O,O,X,X,X,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X,O,O,O,X,X
JSTILOZ,X,X,O,X,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,O,O,O,X,X
JSTIZLO,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,O,O,O,X,X
JSTIZOL,X,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,O,O,X,X
JSTIOLZ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X,O
JSTIOZL,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,O
JSTLIZO,O,O,O,X,X,O,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X,O,O,O,X,X
JSTLIOZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O,O,X,X
JSTLZIO,O,X,O,X,X,O,X,X,O,O,O,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X
JSTLZOI,O,X,O,X,X,O,X,X,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X
JSTLOIZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JSTLOZI,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JSTZILO,O,O,O,X,X,O,X,X,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X
JSTZIOL,X,O,O,X,X,O,X,X,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X
JSTZLIO,O,O,O,X,X,O,X,X,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,O,X,X
JSTZLOI,O,X,O,X,X,O,X,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X
JSTZOIL,O,O,O,X,X,O,X,X,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X
JSTZOLI,O,O,O,X,X,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X
JSTOILZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JSTOIZL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JSTOLIZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JSTOLZI,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JSTOZIL,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JSTOZLI,X,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JSITLZO,O,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X,O,O,O,X,X
JSITLOZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O,O,X,X
JSITZLO,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,O,O,O,X,X
JSITZOL,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X
JSITOLZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,O
JSITOZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O
JSILTZO,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,O,O,X,X
JSILTOZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X
JSILZTO,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X
JSILZOT,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSILOTZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X
JSILOZT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSIZTLO,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X
JSIZTOL,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JSIZLTO,O,O,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X
JSIZLOT,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSIZOTL,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
JSIZOLT,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSIOTLZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X
JSIOTZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X
JSIOLTZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JSIOLZT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSIOZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
JSIOZLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSLTIZO,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,O,O,O,X,X
JSLTIOZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,O,X,X
JSLTZIO,O,X,O,X,X,O,X,X,X,O,O,X,X,O,X,X,O,O,X,X,X,O,X,O,X,X
JSLTZOI,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X
JSLTOIZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X
JSLTOZI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JSLITZO,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,O,O,X,X
JSLITOZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X
JSLIZTO,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
JSLIZOT,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSLIOTZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X
JSLIOZT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSLZTIO,O,X,O,X,X,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
JSLZTOI,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSLZITO,O,X,O,X,X,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
JSLZIOT,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSLZOTI,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSLZOIT,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSLOTIZ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X
JSLOTZI,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JSLOITZ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X
JSLOIZT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSLOZTI,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSLOZIT,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZTILO,O,O,O,X,X,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X
JSZTIOL,X,O,O,X,X,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X
JSZTLIO,O,O,O,X,X,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X
JSZTLOI,O,X,O,X,X,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X
JSZTOIL,O,O,O,X,X,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X
JSZTOLI,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X
JSZITLO,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
JSZITOL,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZILTO,O,O,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSZILOT,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZIOTL,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JSZIOLT,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZLTIO,O,O,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSZLTOI,O,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSZLITO,O,O,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSZLIOT,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZLOTI,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZLOIT,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZOTIL,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JSZOTLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JSZOITL,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JSZOILT,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZOLTI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZOLIT,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSOTILZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JSOTIZL,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JSOTLIZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JSOTLZI,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JSOTZIL,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JSOTZLI,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JSOITLZ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,O,X,X
JSOITZL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JSOILTZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JSOILZT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSOIZTL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JSOIZLT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSOLTIZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JSOLTZI,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
JSOLITZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JSOLIZT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSOLZTI,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSOLZIT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSOZTIL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JSOZTLI,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JSOZITL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JSOZILT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSOZLTI,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSOZLIT,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZTILSO,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X
JZTILOS,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZTISLO,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
JZTISOL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
JZTIOLS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZTIOSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZTLISO,X,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X
JZTLIOS,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZTLSIO,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JZTLSOI,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JZTLOIS,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZTLOSI,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZTSILO,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X
JZTSIOL,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X
JZTSLIO,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X
JZTSLOI,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X
JZTSOIL,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X
JZTSOLI,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X
JZTOILS,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZTOISL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZTOLIS,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZTOLSI,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZTOSIL,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZTOSLI,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
