sequence,v115@7gB8HeB8FeD8EeH8AeF8Jex6IvhFXcBTdBOkB8kBSm?BlqB,v115@7gB8HeB8FeD8EeH8AeF8Jex6IvhF8gBGdBKkBzfB3h?BlqB,v115@7gB8HeB8FeD8EeH8AeF8JeO/IvhF6hBTdBRgB0gB3k?BlqB,v115@7gB8HeB8FeD8EeH8AeF8Jex6IvhF8gB+hBTdBifB3k?BlqB,v115@7gB8HeB8FeD8EeH8AeF8JeZ/IvhFCbBTdB8kBGhBXh?BlqB,v115@7gB8HeB8FeD8EeH8AeF8JeZ/IvhF8gBGdBzfB3hBCl?BlqB,v115@7gB8HeB8FeD8EeH8AeF8JeZ/IvhFufBTdBcmBXlBll?BCrB,v115@7gB8HeB8FeD8EeH8AeF8Jex6IvhF8gBSiBmfB3hBTk?BlqB,v115@7gB8HeB8FeD8EeH8AeF8JeZ/IvhFlbB+hBTdBClBfl?B8qB,v115@7gB8HeB8FeD8EeH8AeF8JeG8IvhFTdB/kBxlBFlB8q?BipB
ILOTSZJ,X,O,O,X,X,X,X,X,X,X
ILOTZJS,X,O,X,X,O,X,X,O,X,X
ILOTZSJ,X,O,X,X,O,X,X,X,X,X
ILOJTSZ,X,O,X,X,X,X,X,O,O,X
ILOJTZS,X,O,X,X,O,X,X,O,O,X
ILOJSTZ,X,X,X,X,X,X,X,X,O,X
ILOJSZT,X,O,X,X,X,X,X,X,O,O
ILOJZTS,O,X,X,X,O,X,X,X,O,X
ILOJZST,O,X,X,X,O,X,X,X,O,X
ILOSTJZ,X,X,O,X,X,X,X,X,X,X
ILOSTZJ,O,O,O,X,X,X,X,X,X,X
ILOSJTZ,X,X,O,X,X,X,X,X,O,X
ILOSJZT,O,O,O,X,X,X,O,X,O,O
ILOSZTJ,O,O,X,X,X,X,X,X,X,O
ILOSZJT,O,O,O,X,X,X,O,X,X,O
ILOZTJS,X,O,X,X,O,X,X,X,X,X
ILOZTSJ,O,O,X,X,O,X,X,X,X,X
ILOZJTS,O,X,X,X,O,X,X,X,O,X
ILOZJST,O,X,X,X,O,X,X,X,O,X
ILOZSTJ,O,X,X,X,O,X,X,X,X,X
ILOZSJT,O,X,X,X,O,X,O,X,X,X
IJTLSZO,X,O,X,X,X,O,X,X,O,X
IJTLSOZ,X,O,X,X,X,O,X,X,O,X
IJTLZSO,X,O,X,X,O,X,X,X,O,X
IJTLZOS,X,O,X,X,O,X,X,X,O,X
IJTLOSZ,X,O,X,X,X,O,X,X,O,X
IJTLOZS,X,O,X,X,O,X,X,X,O,X
IJTSLZO,X,O,X,O,X,O,X,X,X,X
IJTSLOZ,X,O,X,O,X,O,X,X,X,X
IJTSZLO,X,O,X,O,O,O,X,X,X,O
IJTSZOL,X,O,X,O,O,O,X,X,X,O
IJTSOLZ,X,X,X,O,X,O,X,X,X,X
IJTSOZL,X,X,X,O,O,O,X,X,X,O
IJTZLSO,O,O,X,X,O,X,X,X,X,X
IJTZLOS,O,O,X,O,O,X,X,X,X,X
IJTZSLO,O,O,X,O,O,O,X,X,X,X
IJTZSOL,O,O,X,O,O,O,X,X,X,X
IJTZOLS,O,O,X,O,O,X,X,X,X,X
IJTZOSL,O,O,X,O,O,O,X,X,X,X
IJTOLSZ,X,X,X,X,X,O,X,X,O,X
IJTOLZS,X,X,X,X,O,X,X,X,O,X
IJTOSLZ,X,X,X,O,X,O,X,X,X,X
IJTOSZL,X,X,X,O,O,O,X,X,X,O
IJTOZLS,O,X,X,O,O,X,X,X,X,X
IJTOZSL,O,X,X,O,O,O,X,X,X,X
IJLTSZO,X,O,X,X,X,O,X,X,O,X
IJLTSOZ,X,O,X,X,X,O,X,X,O,X
IJLTZSO,X,O,X,X,O,X,X,X,O,X
IJLTZOS,X,O,X,X,O,X,X,X,O,X
IJLTOSZ,X,O,X,X,X,O,X,X,O,X
IJLTOZS,X,O,X,X,O,X,X,X,O,X
IJLSTZO,X,O,X,X,X,O,X,X,O,X
IJLSTOZ,X,O,X,X,X,O,X,X,O,X
IJLSZTO,X,O,X,X,X,O,X,X,O,O
IJLSZOT,X,O,X,X,X,X,X,X,O,O
IJLSOTZ,X,X,X,X,X,X,X,X,O,X
IJLSOZT,X,O,X,X,X,X,X,X,O,O
IJLZTSO,O,X,X,X,X,X,X,X,O,X
IJLZTOS,O,X,X,X,O,X,X,X,O,X
IJLZSTO,O,X,X,X,X,X,X,X,O,X
IJLZSOT,O,X,X,X,O,X,X,X,O,X
IJLZOTS,O,X,X,X,O,X,X,X,O,X
IJLZOST,O,X,X,X,O,X,X,X,O,X
IJLOTSZ,X,O,X,X,X,X,X,X,O,X
IJLOTZS,X,O,X,X,O,X,X,X,O,X
IJLOSTZ,X,X,X,X,X,X,X,X,O,X
IJLOSZT,X,O,X,X,X,X,X,X,O,O
IJLOZTS,O,X,X,X,O,X,X,X,O,X
IJLOZST,O,X,X,X,O,X,X,X,O,X
IJSTLZO,X,O,X,X,X,O,X,X,X,X
IJSTLOZ,X,O,X,X,X,O,X,X,X,X
IJSTZLO,X,O,X,X,O,O,O,X,X,O
IJSTZOL,X,O,X,X,O,O,O,X,X,O
IJSTOLZ,X,X,X,X,X,O,X,X,X,X
IJSTOZL,X,X,X,X,O,O,O,X,X,O
IJSLTZO,X,O,X,X,X,O,X,X,O,X
IJSLTOZ,X,O,X,X,X,O,X,X,O,X
IJSLZTO,X,O,X,O,X,O,O,X,O,O
IJSLZOT,X,O,X,O,X,X,O,X,O,O
IJSLOTZ,X,X,X,X,X,X,X,X,O,X
IJSLOZT,X,O,X,O,X,X,O,X,O,O
IJSZTLO,O,O,X,X,X,O,O,X,X,O
IJSZTOL,O,X,X,O,X,O,O,X,X,O
IJSZLTO,O,O,X,O,X,O,O,X,X,O
IJSZLOT,O,O,X,O,O,X,O,X,X,O
IJSZOTL,O,X,X,O,X,O,O,X,X,O
IJSZOLT,O,O,X,O,O,X,O,X,X,O
IJSOTLZ,X,X,X,X,X,O,X,X,X,X
IJSOTZL,X,X,X,X,O,O,O,X,X,O
IJSOLTZ,X,X,X,X,X,X,X,X,O,X
IJSOLZT,X,X,X,O,X,X,O,X,O,O
IJSOZTL,O,X,X,O,X,O,O,X,X,O
IJSOZLT,O,X,X,O,O,X,O,X,X,O
IJZTLSO,O,X,X,X,O,X,X,X,X,X
IJZTLOS,O,X,X,X,O,X,X,X,X,X
IJZTSLO,O,X,X,X,O,O,X,X,X,X
IJZTSOL,O,X,X,X,O,O,X,X,X,X
IJZTOLS,O,X,X,X,O,X,X,X,X,X
IJZTOSL,O,X,X,O,O,O,X,X,X,X
IJZLTSO,O,X,X,X,O,X,X,X,O,X
IJZLTOS,O,X,X,X,O,X,X,X,O,X
IJZLSTO,O,X,X,X,X,X,X,X,O,X
IJZLSOT,O,X,X,X,O,X,X,X,O,X
IJZLOTS,O,X,X,X,O,X,X,X,O,X
IJZLOST,O,X,X,O,O,X,X,X,O,X
IJZSTLO,O,X,X,X,X,O,O,X,X,O
IJZSTOL,O,X,X,O,X,O,O,X,X,O
IJZSLTO,O,X,X,O,X,O,O,X,X,O
IJZSLOT,O,X,X,O,O,X,O,X,X,O
IJZSOTL,O,X,X,O,X,O,O,X,X,O
IJZSOLT,O,X,X,O,O,X,O,X,X,O
IJZOTLS,O,X,X,X,O,X,X,X,X,X
IJZOTSL,O,X,X,O,O,X,X,X,X,X
IJZOLTS,O,X,X,X,O,X,X,X,O,X
IJZOLST,O,X,X,O,O,X,X,X,O,X
IJZOSTL,O,X,X,O,X,X,O,X,X,O
IJZOSLT,O,X,X,O,O,X,O,X,X,O
IJOTLSZ,X,X,X,X,X,O,X,X,O,X
IJOTLZS,X,X,X,X,O,X,X,X,O,X
IJOTSLZ,X,X,X,O,X,O,X,X,X,X
IJOTSZL,X,X,X,O,O,O,X,X,X,O
IJOTZLS,O,X,X,O,O,X,X,X,X,X
IJOTZSL,O,X,X,O,O,O,X,X,X,X
IJOLTSZ,X,X,X,X,X,X,X,X,O,X
IJOLTZS,X,X,X,X,O,X,X,X,O,X
IJOLSTZ,X,X,X,X,X,X,X,X,O,X
IJOLSZT,X,X,X,X,X,X,X,X,O,O
IJOLZTS,O,X,X,X,O,X,X,X,O,X
IJOLZST,O,X,X,X,O,X,X,X,O,X
IJOSTLZ,X,X,X,X,X,O,X,X,X,X
IJOSTZL,X,X,X,X,O,O,O,X,X,O
IJOSLTZ,X,X,X,X,X,X,X,X,O,X
IJOSLZT,X,X,X,O,X,X,O,X,O,O
IJOSZTL,O,X,X,O,X,O,O,X,X,O
IJOSZLT,O,X,X,O,O,X,O,X,X,O
IJOZTLS,O,X,X,X,O,X,X,X,X,X
IJOZTSL,O,X,X,O,O,X,X,X,X,X
IJOZLTS,O,X,X,X,O,X,X,X,O,X
IJOZLST,O,X,X,O,O,X,X,X,O,X
IJOZSTL,O,X,X,O,X,X,O,X,X,O
IJOZSLT,O,X,X,O,O,X,O,X,X,O
ISTLJZO,X,O,O,O,X,O,X,X,X,X
ISTLJOZ,X,O,O,O,X,O,X,X,X,X
ISTLZJO,X,O,O,O,X,O,X,X,X,X
ISTLZOJ,X,O,O,O,X,O,X,X,X,X
ISTLOJZ,X,O,O,O,X,O,X,X,X,X
ISTLOZJ,X,O,O,O,X,O,X,X,X,X
ISTJLZO,X,O,O,O,X,O,X,X,X,X
ISTJLOZ,X,O,O,O,X,O,X,X,X,X
ISTJZLO,X,O,O,O,O,O,O,X,X,O
ISTJZOL,X,O,O,O,O,O,O,X,X,O
ISTJOLZ,X,X,O,O,X,O,X,X,X,X
ISTJOZL,X,X,O,O,O,O,O,X,X,O
ISTZLJO,X,O,O,O,O,O,X,X,X,O
ISTZLOJ,X,O,O,O,O,O,X,X,X,O
ISTZJLO,X,O,O,O,O,O,O,X,X,O
ISTZJOL,X,O,O,O,O,O,O,X,X,O
ISTZOLJ,X,X,O,X,O,O,X,X,X,O
ISTZOJL,X,O,O,O,O,O,O,X,X,O
ISTOLJZ,X,X,O,O,X,O,X,X,X,X
ISTOLZJ,X,X,O,X,X,O,X,X,X,X
ISTOJLZ,X,X,O,O,X,O,X,X,X,X
ISTOJZL,X,X,O,O,O,O,O,X,X,O
ISTOZLJ,X,X,O,X,O,O,X,X,X,O
ISTOZJL,X,X,O,X,O,O,O,X,X,O
ISLTJZO,X,O,O,O,X,O,X,X,X,X
ISLTJOZ,X,O,O,O,X,O,X,X,X,X
ISLTZJO,X,O,O,O,X,O,X,X,X,X
ISLTZOJ,X,O,O,O,X,O,X,X,X,X
ISLTOJZ,X,O,O,O,X,O,X,X,X,X
ISLTOZJ,X,O,O,O,X,O,X,X,X,X
ISLJTZO,X,O,O,O,X,O,X,X,O,X
ISLJTOZ,X,O,O,X,X,O,X,X,O,X
ISLJZTO,X,O,X,O,X,O,O,X,O,O
ISLJZOT,X,O,O,O,X,X,O,X,O,O
ISLJOTZ,X,X,O,X,X,X,X,X,O,X
ISLJOZT,X,O,O,O,X,X,O,X,O,O
ISLZTJO,X,O,X,O,X,O,X,X,X,O
ISLZTOJ,X,X,X,O,X,O,X,X,X,O
ISLZJTO,X,O,X,X,X,O,O,X,X,O
ISLZJOT,X,O,O,X,X,X,O,X,X,O
ISLZOTJ,X,O,X,X,X,X,X,X,X,O
ISLZOJT,X,O,O,X,X,X,O,X,X,O
ISLOTJZ,X,X,O,O,X,X,X,X,X,X
ISLOTZJ,X,X,O,O,X,X,X,X,X,X
ISLOJTZ,X,X,O,X,X,X,X,X,O,X
ISLOJZT,X,O,O,O,X,X,O,X,O,O
ISLOZTJ,X,O,X,X,X,X,X,X,X,O
ISLOZJT,X,O,O,X,X,X,O,X,X,O
ISJTLZO,X,O,O,X,X,O,X,X,X,X
ISJTLOZ,X,O,O,X,X,O,X,X,X,X
ISJTZLO,X,O,O,X,O,O,O,X,X,O
ISJTZOL,X,O,O,X,O,O,O,X,X,O
ISJTOLZ,X,X,O,X,X,O,X,X,X,X
ISJTOZL,X,X,O,X,O,O,O,X,X,O
ISJLTZO,X,O,O,X,X,O,X,X,O,X
ISJLTOZ,X,O,O,X,X,O,X,X,O,X
ISJLZTO,X,O,X,O,X,O,O,X,O,O
ISJLZOT,X,O,O,O,X,X,O,X,O,O
ISJLOTZ,X,X,O,X,X,X,X,X,O,X
ISJLOZT,X,O,O,O,X,X,O,X,O,O
ISJZTLO,X,O,X,X,X,O,O,X,X,O
ISJZTOL,X,X,X,O,X,O,O,X,X,O
ISJZLTO,X,O,X,O,X,O,O,X,X,O
ISJZLOT,X,O,O,O,O,X,O,X,X,O
ISJZOTL,X,X,X,O,X,O,O,X,X,O
ISJZOLT,X,O,O,O,O,X,O,X,X,O
ISJOTLZ,X,X,O,X,X,O,X,X,X,X
ISJOTZL,X,X,O,X,O,O,O,X,X,O
ISJOLTZ,X,X,O,X,X,X,X,X,O,X
ISJOLZT,X,X,O,O,X,X,O,X,O,O
ISJOZTL,X,X,X,O,X,O,O,X,X,O
ISJOZLT,X,X,O,O,O,X,O,X,X,O
ISZTLJO,X,X,X,X,O,O,X,X,X,O
ISZTLOJ,X,X,X,X,O,O,X,X,X,O
ISZTJLO,X,O,X,X,O,O,O,X,X,O
ISZTJOL,X,X,X,X,O,O,O,X,X,O
ISZTOLJ,X,X,X,X,O,O,X,X,X,O
ISZTOJL,X,X,X,X,O,O,O,X,X,O
ISZLTJO,X,O,X,X,O,O,X,X,X,O
ISZLTOJ,X,X,X,X,O,O,X,X,X,O
ISZLJTO,X,O,X,X,X,O,O,X,X,O
ISZLJOT,X,O,O,X,O,X,O,X,X,O
ISZLOTJ,X,O,X,X,O,X,X,X,X,O
ISZLOJT,X,O,O,X,O,X,O,X,X,O
ISZJTLO,X,O,X,X,X,O,O,X,X,O
ISZJTOL,X,X,X,X,X,O,O,X,X,O
ISZJLTO,X,O,X,X,X,O,O,X,X,O
ISZJLOT,X,O,O,X,O,X,O,X,X,O
ISZJOTL,X,X,X,X,X,O,O,X,X,O
ISZJOLT,X,O,O,X,O,X,O,X,X,O
ISZOTLJ,X,X,X,X,O,O,X,X,X,O
ISZOTJL,X,X,X,X,O,O,O,X,X,O
ISZOLTJ,X,X,X,X,O,X,X,X,X,O
ISZOLJT,X,X,O,X,O,X,O,X,X,O
ISZOJTL,X,X,X,X,X,O,O,X,X,O
ISZOJLT,X,O,O,X,O,X,O,X,X,O
ISOTLJZ,X,X,O,O,X,O,X,X,X,X
ISOTLZJ,X,X,O,X,X,O,X,X,X,X
ISOTJLZ,X,X,O,O,X,O,X,X,X,X
ISOTJZL,X,X,O,O,O,O,O,X,X,O
ISOTZLJ,X,X,O,X,O,O,X,X,X,O
ISOTZJL,X,X,O,X,O,O,O,X,X,O
ISOLTJZ,X,X,O,O,X,X,X,X,X,X
ISOLTZJ,X,X,O,X,X,X,X,X,X,X
ISOLJTZ,X,X,O,X,X,X,X,X,O,X
ISOLJZT,X,X,O,O,X,X,O,X,O,O
ISOLZTJ,X,X,X,X,X,X,X,X,X,O
ISOLZJT,X,X,O,X,X,X,O,X,X,O
ISOJTLZ,X,X,O,X,X,O,X,X,X,X
ISOJTZL,X,X,O,X,O,O,O,X,X,O
ISOJLTZ,X,X,O,X,X,X,X,X,O,X
ISOJLZT,X,X,O,O,X,X,O,X,O,O
ISOJZTL,X,X,X,O,X,O,O,X,X,O
ISOJZLT,X,X,O,O,O,X,O,X,X,O
ISOZTLJ,X,X,X,X,O,O,X,X,X,O
ISOZTJL,X,X,X,X,O,O,O,X,X,O
ISOZLTJ,X,X,X,X,O,X,X,X,X,O
ISOZLJT,X,X,O,X,O,X,O,X,X,O
ISOZJTL,X,X,X,X,X,O,O,X,X,O
ISOZJLT,X,X,O,X,O,X,O,X,X,O
IZTLJSO,O,X,X,X,O,X,X,X,X,X
IZTLJOS,O,X,X,X,O,X,X,X,X,X
IZTLSJO,O,X,X,X,O,X,X,X,X,X
IZTLSOJ,O,X,X,X,O,X,X,X,X,X
IZTLOJS,O,X,X,X,O,X,X,X,X,X
IZTLOSJ,O,X,X,X,O,X,X,X,X,X
IZTJLSO,O,X,X,X,O,X,X,X,X,X
IZTJLOS,O,X,X,X,O,X,X,X,X,X
IZTJSLO,O,X,X,X,O,O,X,X,X,X
IZTJSOL,O,X,X,X,O,O,X,X,X,X
IZTJOLS,O,X,X,X,O,X,X,X,X,X
IZTJOSL,O,X,X,X,O,O,X,X,X,X
IZTSLJO,O,X,X,X,O,O,X,X,X,X
IZTSLOJ,O,X,X,X,O,O,X,X,X,X
IZTSJLO,X,X,X,X,O,O,O,X,X,X
IZTSJOL,X,X,X,X,O,O,O,X,X,X
IZTSOLJ,O,X,X,X,O,O,X,X,X,X
IZTSOJL,X,X,X,X,O,O,O,X,X,X
IZTOLJS,O,X,X,X,O,X,X,X,X,X
IZTOLSJ,O,X,X,X,O,X,X,X,X,X
IZTOJLS,O,X,X,X,O,X,X,X,X,X
IZTOJSL,O,X,X,X,O,O,X,X,X,X
IZTOSLJ,O,X,X,X,O,O,X,X,X,X
IZTOSJL,X,X,X,X,O,O,O,X,X,X
IZLTJSO,O,X,X,X,O,X,X,X,X,X
IZLTJOS,O,X,X,X,O,X,X,X,X,X
IZLTSJO,O,X,X,X,O,X,X,X,X,X
IZLTSOJ,O,X,X,X,O,X,X,X,X,X
IZLTOJS,O,X,X,X,O,X,X,X,X,X
IZLTOSJ,O,X,X,X,O,X,X,X,X,X
IZLJTSO,O,X,X,X,O,X,X,X,O,X
IZLJTOS,O,X,X,X,O,X,X,X,O,X
IZLJSTO,O,X,X,X,X,X,X,X,O,X
IZLJSOT,O,X,X,X,O,X,X,X,O,X
IZLJOTS,O,X,X,X,O,X,X,X,O,X
IZLJOST,O,X,X,X,O,X,X,X,O,X
IZLSTJO,X,X,X,X,O,X,X,X,X,X
IZLSTOJ,O,X,X,X,O,X,X,X,X,X
IZLSJTO,O,X,X,X,X,X,O,X,X,X
IZLSJOT,O,X,X,X,O,X,O,X,X,X
IZLSOTJ,O,X,X,X,O,X,X,X,X,X
IZLSOJT,O,X,X,X,O,X,O,X,X,X
IZLOTJS,O,X,X,X,O,X,X,X,X,X
IZLOTSJ,O,X,X,X,O,X,X,X,X,X
IZLOJTS,O,X,X,X,O,X,X,X,O,X
IZLOJST,O,X,X,X,O,X,X,X,O,X
IZLOSTJ,O,X,X,X,O,X,X,X,X,X
IZLOSJT,O,X,X,X,O,X,O,X,X,X
IZJTLSO,O,X,X,X,O,X,X,X,X,X
IZJTLOS,O,X,X,X,O,X,X,X,X,X
IZJTSLO,O,X,X,X,O,O,X,X,X,X
IZJTSOL,O,X,X,X,O,O,X,X,X,X
IZJTOLS,O,X,X,X,O,X,X,X,X,X
IZJTOSL,O,X,X,X,O,O,X,X,X,X
IZJLTSO,O,X,X,X,O,X,X,X,O,X
IZJLTOS,O,X,X,X,O,X,X,X,O,X
IZJLSTO,O,X,X,X,X,X,X,X,O,X
IZJLSOT,O,X,X,X,O,X,X,X,O,X
IZJLOTS,O,X,X,X,O,X,X,X,O,X
IZJLOST,O,X,X,X,O,X,X,X,O,X
IZJSTLO,O,X,X,X,X,O,O,X,X,O
IZJSTOL,O,X,X,X,X,O,O,X,X,O
IZJSLTO,O,X,X,X,X,O,O,X,X,O
IZJSLOT,O,X,X,X,O,X,O,X,X,O
IZJSOTL,O,X,X,X,X,O,O,X,X,O
IZJSOLT,O,X,X,X,O,X,O,X,X,O
IZJOTLS,O,X,X,X,O,X,X,X,X,X
IZJOTSL,O,X,X,X,O,X,X,X,X,X
IZJOLTS,O,X,X,X,O,X,X,X,O,X
IZJOLST,O,X,X,X,O,X,X,X,O,X
IZJOSTL,O,X,X,X,X,X,O,X,X,O
IZJOSLT,O,X,X,X,O,X,O,X,X,O
IZSTLJO,O,X,X,X,O,O,X,X,X,O
IZSTLOJ,O,X,X,X,O,O,X,X,X,O
IZSTJLO,X,X,X,X,O,O,O,X,X,O
IZSTJOL,X,X,X,X,O,O,O,X,X,O
IZSTOLJ,O,X,X,X,O,O,X,X,X,O
IZSTOJL,X,X,X,X,O,O,O,X,X,O
IZSLTJO,X,X,X,X,O,O,X,X,X,O
IZSLTOJ,O,X,X,X,O,O,X,X,X,O
IZSLJTO,X,X,X,X,X,O,O,X,X,O
IZSLJOT,O,X,X,X,O,X,O,X,X,O
IZSLOTJ,O,X,X,X,O,X,X,X,X,O
IZSLOJT,O,X,X,X,O,X,O,X,X,O
IZSJTLO,X,X,X,X,X,O,O,X,X,O
IZSJTOL,X,X,X,X,X,O,O,X,X,O
IZSJLTO,X,X,X,X,X,O,O,X,X,O
IZSJLOT,X,X,X,X,O,X,O,X,X,O
IZSJOTL,X,X,X,X,X,O,O,X,X,O
IZSJOLT,X,X,X,X,O,X,O,X,X,O
IZSOTLJ,O,X,X,X,O,O,X,X,X,O
IZSOTJL,X,X,X,X,O,O,O,X,X,O
IZSOLTJ,O,X,X,X,O,X,X,X,X,O
IZSOLJT,O,X,X,X,O,X,O,X,X,O
IZSOJTL,X,X,X,X,X,O,O,X,X,O
IZSOJLT,X,X,X,X,O,X,O,X,X,O
IZOTLJS,O,X,X,X,O,X,X,X,X,X
IZOTLSJ,O,X,X,X,O,X,X,X,X,X
IZOTJLS,O,X,X,X,O,X,X,X,X,X
IZOTJSL,O,X,X,X,O,X,X,X,X,X
IZOTSLJ,O,X,X,X,O,X,X,X,X,X
IZOTSJL,X,X,X,X,O,X,O,X,X,X
IZOLTJS,O,X,X,X,O,X,X,X,X,X
IZOLTSJ,O,X,X,X,O,X,X,X,X,X
IZOLJTS,O,X,X,X,O,X,X,X,O,X
IZOLJST,O,X,X,X,O,X,X,X,O,X
IZOLSTJ,O,X,X,X,O,X,X,X,X,X
IZOLSJT,O,X,X,X,O,X,O,X,X,X
IZOJTLS,O,X,X,X,O,X,X,X,X,X
IZOJTSL,O,X,X,X,O,X,X,X,X,X
IZOJLTS,O,X,X,X,O,X,X,X,O,X
IZOJLST,O,X,X,X,O,X,X,X,O,X
IZOJSTL,O,X,X,X,X,X,O,X,X,O
IZOJSLT,O,X,X,X,O,X,O,X,X,O
IZOSTLJ,O,X,X,X,O,X,X,X,X,O
IZOSTJL,X,X,X,X,O,X,O,X,X,O
IZOSLTJ,O,X,X,X,O,X,X,X,X,O
IZOSLJT,O,X,X,X,O,X,O,X,X,O
IZOSJTL,X,X,X,X,X,X,O,X,X,O
IZOSJLT,X,X,X,X,O,X,O,X,X,O
IOTLJSZ,X,X,X,X,X,O,X,O,O,X
IOTLJZS,X,X,X,X,O,X,X,O,O,X
IOTLSJZ,O,X,O,X,X,O,X,X,X,X
IOTLSZJ,O,X,O,X,X,O,X,X,X,X
IOTLZJS,O,X,X,X,O,X,X,O,X,X
IOTLZSJ,O,X,X,X,O,X,X,X,X,X
IOTJLSZ,X,X,X,X,X,O,X,O,O,X
IOTJLZS,X,X,X,X,O,X,X,O,O,X
IOTJSLZ,X,X,X,O,X,O,X,O,X,X
IOTJSZL,X,X,X,O,O,O,X,O,X,O
IOTJZLS,X,X,X,O,O,X,X,O,X,X
IOTJZSL,X,X,X,O,O,O,X,O,X,X
IOTSLJZ,X,X,O,O,X,O,X,X,X,X
IOTSLZJ,X,X,O,X,X,O,X,X,X,X
IOTSJLZ,X,X,O,O,X,O,X,X,X,X
IOTSJZL,X,X,O,O,O,O,O,X,X,O
IOTSZLJ,X,X,O,X,O,O,X,X,X,O
IOTSZJL,X,X,O,X,O,O,O,X,X,O
IOTZLJS,O,X,X,X,O,X,X,O,X,X
IOTZLSJ,O,X,X,X,O,X,X,X,X,X
IOTZJLS,O,X,X,X,O,X,X,O,X,X
IOTZJSL,O,X,X,X,O,O,X,O,X,X
IOTZSLJ,O,X,X,X,O,O,X,X,X,X
IOTZSJL,X,X,X,X,O,O,O,X,X,X
IOLTJSZ,X,X,X,X,X,X,X,O,O,X
IOLTJZS,X,X,X,X,O,X,X,O,O,X
IOLTSJZ,X,X,O,X,X,X,X,X,X,X
IOLTSZJ,X,X,O,X,X,X,X,X,X,X
IOLTZJS,X,X,X,X,O,X,X,O,X,X
IOLTZSJ,X,X,X,X,O,X,X,X,X,X
IOLJTSZ,X,X,X,X,X,X,X,O,O,X
IOLJTZS,X,X,X,X,O,X,X,O,O,X
IOLJSTZ,X,X,X,X,X,X,X,X,O,X
IOLJSZT,X,X,X,X,X,X,X,X,O,O
IOLJZTS,O,X,X,X,O,X,X,X,O,X
IOLJZST,O,X,X,X,O,X,X,X,O,X
IOLSTJZ,X,X,O,X,X,X,X,X,X,X
IOLSTZJ,O,X,O,X,X,X,X,X,X,X
IOLSJTZ,X,X,O,X,X,X,X,X,O,X
IOLSJZT,O,X,O,X,X,X,O,X,O,O
IOLSZTJ,O,X,X,X,X,X,X,X,X,O
IOLSZJT,O,X,O,X,X,X,O,X,X,O
IOLZTJS,X,X,X,X,O,X,X,X,X,X
IOLZTSJ,O,X,X,X,O,X,X,X,X,X
IOLZJTS,O,X,X,X,O,X,X,X,O,X
IOLZJST,O,X,X,X,O,X,X,X,O,X
IOLZSTJ,O,X,X,X,O,X,X,X,X,X
IOLZSJT,O,X,X,X,O,X,O,X,X,X
IOJTLSZ,X,X,X,X,X,O,X,O,O,X
IOJTLZS,X,X,X,X,O,X,X,O,O,X
IOJTSLZ,X,X,X,O,X,O,X,O,X,X
IOJTSZL,X,X,X,O,O,O,X,O,X,O
IOJTZLS,O,X,X,O,O,X,X,O,X,X
IOJTZSL,O,X,X,O,O,O,X,O,X,X
IOJLTSZ,X,X,X,X,X,X,X,O,O,X
IOJLTZS,X,X,X,X,O,X,X,O,O,X
IOJLSTZ,X,X,X,X,X,X,X,X,O,X
IOJLSZT,X,X,X,X,X,X,X,X,O,O
IOJLZTS,O,X,X,X,O,X,X,X,O,X
IOJLZST,O,X,X,X,O,X,X,X,O,X
IOJSTLZ,X,X,X,X,X,O,X,O,X,X
IOJSTZL,X,X,X,X,O,O,O,O,X,O
IOJSLTZ,X,X,X,X,X,X,X,X,O,X
IOJSLZT,X,X,X,O,X,X,O,X,O,O
IOJSZTL,O,X,X,O,X,O,O,X,X,O
IOJSZLT,O,X,X,O,O,X,O,X,X,O
IOJZTLS,O,X,X,X,O,X,X,O,X,X
IOJZTSL,O,X,X,O,O,X,X,O,X,X
IOJZLTS,O,X,X,X,O,X,X,X,O,X
IOJZLST,O,X,X,O,O,X,X,X,O,X
IOJZSTL,O,X,X,O,X,X,O,X,X,O
IOJZSLT,O,X,X,O,O,X,O,X,X,O
IOSTLJZ,X,X,O,O,X,O,X,X,X,X
IOSTLZJ,X,X,O,X,X,O,X,X,X,X
IOSTJLZ,X,X,O,O,X,O,X,X,X,X
IOSTJZL,X,X,O,O,O,O,O,X,X,O
IOSTZLJ,X,X,O,X,O,O,X,X,X,O
IOSTZJL,X,X,O,X,O,O,O,X,X,O
IOSLTJZ,X,X,O,O,X,X,X,X,X,X
IOSLTZJ,X,X,O,X,X,X,X,X,X,X
IOSLJTZ,X,X,O,X,X,X,X,X,O,X
IOSLJZT,X,X,O,O,X,X,O,X,O,O
IOSLZTJ,X,X,X,X,X,X,X,X,X,O
IOSLZJT,X,X,O,X,X,X,O,X,X,O
IOSJTLZ,X,X,O,X,X,O,X,X,X,X
IOSJTZL,X,X,O,X,O,O,O,X,X,O
IOSJLTZ,X,X,O,X,X,X,X,X,O,X
IOSJLZT,X,X,O,O,X,X,O,X,O,O
IOSJZTL,X,X,X,O,X,O,O,X,X,O
IOSJZLT,X,X,O,O,O,X,O,X,X,O
IOSZTLJ,X,X,X,X,O,O,X,X,X,O
IOSZTJL,X,X,X,X,O,O,O,X,X,O
IOSZLTJ,X,X,X,X,O,X,X,X,X,O
IOSZLJT,X,X,O,X,O,X,O,X,X,O
IOSZJTL,X,X,X,X,X,O,O,X,X,O
IOSZJLT,X,X,O,X,O,X,O,X,X,O
