sequence,v115@7gB8GeD8EeF8DeF8DeD8JeT6IvhFxcBlgB3hBaqBGr?B0qB,v115@7gB8GeD8EeF8DeF8DeD8JeT6IvhF2gBFdB5mBUlBar?B3qB,v115@7gB8GeD8EeF8DeF8DeD8JeT6IvhFxcB3hBFlBCrBOq?BUrB,v115@7gB8GeD8EeF8DeF8DeD8JeT6IvhFxbBXdBFlB8qB+r?BiqB,v115@7gB8GeD8EeF8DeF8DeD8JeT6IvhFxcB3hBFlBGrBiq?B0qB,v115@7gB8GeD8EeF8DeF8DeD8Jei6IvhFfhBxcBzfBumBcq?BVwB,v115@7gB8GeD8EeF8DeF8DeD8Je//IvhFUbBahBFdB5mBmq?BTqB,v115@7gB8GeD8EeF8DeF8DeD8JeT6IvhFxcBUhBFlBCrBOq?B3rB,v115@7gB8GeD8EeF8DeF8DeD8Je//IvhF1gBxcBumBUgBKr?BTqB,v115@7gB8GeD8EeF8DeF8DeD8JeT6IvhFfhBxcBumBFlBUr?BKqB,v115@7gB8GeD8EeF8DeF8DeD8Jex6IvhFXdBUhBFlBCrBmp?BTrB,v115@7gB8GeD8EeF8DeF8DeD8Je37IvhF0fBlhBzlBmkBCn?BxvB
ITZOSLJ,X,O,X,X,X,O,X,X,X,X,X,O
ITZOSJL,X,O,X,X,X,O,X,X,X,X,X,O
ITOLJSZ,O,X,X,X,X,X,X,X,X,X,X,X
ITOLJZS,X,O,X,X,X,X,X,X,X,X,X,X
ITOLSJZ,O,X,O,X,X,X,X,X,X,X,X,X
ITOLSZJ,O,O,O,X,X,X,X,X,X,X,X,O
ITOLZJS,X,O,X,X,X,X,X,O,X,X,X,X
ITOLZSJ,X,O,X,X,X,X,X,O,X,X,X,O
ITOJLSZ,X,X,X,X,X,X,O,X,O,X,X,X
ITOJLZS,X,O,X,X,X,X,O,X,O,X,X,X
ITOJSLZ,X,X,X,X,O,X,O,X,O,X,X,X
ITOJSZL,X,X,X,X,O,X,O,X,X,X,X,O
ITOJZLS,X,O,X,X,X,X,O,X,X,X,X,X
ITOJZSL,X,O,X,X,X,X,O,X,X,X,X,O
ITOSLJZ,O,X,O,X,X,O,X,X,X,X,X,X
ITOSLZJ,O,O,O,X,X,O,X,X,X,X,X,O
ITOSJLZ,X,X,O,X,O,X,O,X,O,X,X,X
ITOSJZL,X,X,X,X,O,X,O,X,X,X,X,O
ITOSZLJ,X,O,O,X,X,O,O,X,X,X,X,O
ITOSZJL,X,O,X,X,X,O,X,X,X,X,X,O
ITOZLJS,X,O,X,X,X,X,X,O,X,X,X,X
ITOZLSJ,X,O,X,X,X,X,X,O,X,X,X,O
ITOZJLS,X,O,X,X,X,X,X,X,X,X,X,X
ITOZJSL,X,O,X,X,X,X,X,X,X,X,X,O
ITOZSLJ,X,O,X,X,X,X,X,X,X,X,X,O
ITOZSJL,X,O,X,X,X,X,X,X,X,X,X,O
ILTJSZO,O,X,X,X,X,O,O,X,O,X,X,X
ILTJSOZ,O,X,X,X,X,O,O,X,O,X,X,X
ILTJZSO,X,O,X,X,X,O,O,X,O,X,X,X
ILTJZOS,X,O,X,X,X,X,O,X,X,X,X,X
ILTJOSZ,O,X,X,X,X,X,O,X,O,X,X,X
ILTJOZS,X,O,X,X,X,X,O,X,X,X,X,X
ILTSJZO,X,X,O,X,X,O,O,X,O,X,X,X
ILTSJOZ,O,X,O,X,X,O,O,X,O,X,X,X
ILTSZJO,X,O,O,X,X,O,O,X,X,X,O,X
ILTSZOJ,O,O,O,X,X,O,O,X,X,X,X,X
ILTSOJZ,O,X,O,X,X,O,X,X,X,X,X,X
ILTSOZJ,O,O,O,X,X,O,X,X,X,X,X,X
ILTZJSO,X,O,X,X,X,O,X,O,X,X,O,X
ILTZJOS,X,O,X,X,X,X,X,O,X,X,O,X
ILTZSJO,X,O,X,X,X,O,X,O,X,X,O,X
ILTZSOJ,X,O,X,X,X,O,X,O,X,X,X,X
ILTZOJS,X,O,X,X,X,X,X,O,X,X,X,X
ILTZOSJ,X,O,X,X,X,X,X,O,X,X,X,X
ILTOJSZ,O,X,X,X,X,X,X,X,X,X,X,X
ILTOJZS,X,O,X,X,X,X,X,X,X,X,X,X
ILTOSJZ,O,X,O,X,X,X,X,X,X,X,X,X
ILTOSZJ,O,O,O,X,X,X,X,X,X,X,X,O
ILTOZJS,X,O,X,X,X,X,X,O,X,X,X,X
ILTOZSJ,X,O,X,X,X,X,X,O,X,X,X,O
ILJTSZO,O,X,X,X,X,O,O,X,O,X,X,X
ILJTSOZ,O,X,X,X,X,O,O,X,O,X,X,X
ILJTZSO,X,O,X,X,X,O,O,X,O,X,X,X
ILJTZOS,X,O,X,X,X,X,O,X,X,X,X,X
ILJTOSZ,O,X,X,X,X,X,O,X,O,X,X,X
ILJTOZS,X,O,X,X,X,X,O,X,O,X,X,X
ILJSTZO,O,X,O,X,O,X,O,X,O,X,X,X
ILJSTOZ,O,X,O,X,O,X,O,X,O,X,X,X
ILJSZTO,O,X,X,X,X,X,O,X,O,X,X,X
ILJSZOT,O,X,X,X,X,X,O,X,O,X,X,X
ILJSOTZ,O,X,O,X,O,X,O,X,O,X,X,X
ILJSOZT,O,X,X,X,X,X,O,X,O,X,X,X
ILJZTSO,X,O,X,X,X,X,O,O,O,X,X,X
ILJZTOS,X,O,X,X,X,X,O,O,X,X,X,X
ILJZSTO,O,O,X,X,X,X,O,X,O,O,X,X
ILJZSOT,O,O,X,X,X,X,O,X,O,X,X,X
ILJZOTS,X,O,X,X,X,X,O,X,O,X,X,X
ILJZOST,O,O,X,X,X,X,O,X,O,X,X,X
ILJOTSZ,O,X,X,X,X,X,O,X,O,X,X,X
ILJOTZS,X,O,X,X,X,X,O,X,O,X,X,X
ILJOSTZ,O,X,O,X,O,X,O,X,O,X,X,X
ILJOSZT,O,X,X,X,X,X,O,X,O,X,X,X
ILJOZTS,X,O,X,X,X,X,O,X,O,X,X,X
ILJOZST,O,O,X,X,X,X,O,X,O,X,X,X
ILSTJZO,X,X,O,X,X,X,O,X,O,X,X,X
ILSTJOZ,O,X,O,X,X,X,O,X,O,X,X,X
ILSTZJO,X,O,O,X,X,X,O,X,X,X,O,X
ILSTZOJ,O,O,O,X,X,X,O,X,X,X,X,X
ILSTOJZ,O,X,O,X,X,X,X,X,X,X,X,X
ILSTOZJ,O,O,O,X,X,X,X,X,X,X,X,X
ILSJTZO,O,X,O,X,O,X,O,X,O,X,X,X
ILSJTOZ,O,X,O,X,O,X,O,X,O,X,X,X
ILSJZTO,O,X,X,X,X,X,O,X,O,X,X,X
ILSJZOT,O,X,X,X,X,X,O,X,O,X,X,X
ILSJOTZ,O,X,O,X,O,X,O,X,O,X,X,X
ILSJOZT,O,X,X,X,X,X,O,X,O,X,X,X
ILSZTJO,X,O,O,X,X,X,O,O,X,X,O,X
ILSZTOJ,O,O,O,X,X,X,O,O,X,X,X,X
ILSZJTO,X,O,X,X,X,X,O,X,X,X,X,X
ILSZJOT,X,O,X,X,X,X,O,X,X,X,X,X
ILSZOTJ,O,O,O,X,X,X,O,X,X,X,X,X
ILSZOJT,X,O,X,X,X,X,X,X,X,X,X,X
ILSOTJZ,O,X,O,X,X,X,X,X,O,X,X,X
ILSOTZJ,O,O,O,X,X,X,X,X,X,X,X,X
ILSOJTZ,O,X,O,X,O,X,X,X,O,X,X,X
ILSOJZT,O,X,X,X,X,X,X,X,O,X,X,X
ILSOZTJ,O,O,O,X,X,X,X,X,X,X,X,X
ILSOZJT,X,O,X,X,X,X,X,X,X,X,X,X
ILZTJSO,X,O,X,X,X,O,X,O,X,X,O,X
ILZTJOS,X,O,X,X,X,X,X,O,X,X,O,X
ILZTSJO,X,O,X,X,X,O,X,O,X,X,O,X
ILZTSOJ,X,O,X,X,X,O,X,O,X,X,X,X
ILZTOJS,X,O,X,X,X,X,X,O,X,X,X,X
ILZTOSJ,X,O,X,X,X,X,X,O,X,X,X,X
ILZJTSO,X,O,X,X,X,X,X,O,X,X,X,X
ILZJTOS,X,O,X,X,X,X,X,O,X,X,X,X
ILZJSTO,O,O,X,X,X,X,X,X,X,X,X,X
ILZJSOT,O,O,X,X,X,X,X,X,X,X,X,X
ILZJOTS,X,O,X,X,X,X,X,X,X,X,X,X
ILZJOST,O,O,X,X,X,X,X,X,X,X,X,X
ILZSTJO,X,O,O,X,X,X,X,O,X,X,O,X
ILZSTOJ,O,O,O,X,X,X,X,O,X,X,X,X
ILZSJTO,X,O,X,X,X,X,X,X,X,X,X,X
ILZSJOT,X,O,X,X,X,X,X,X,X,X,X,X
ILZSOTJ,O,O,O,X,X,X,X,X,X,X,X,X
ILZSOJT,X,O,X,X,X,X,X,X,X,X,X,X
ILZOTJS,X,O,X,X,X,X,X,O,X,X,X,X
ILZOTSJ,X,O,X,X,X,X,X,O,X,X,X,O
ILZOJTS,X,O,X,X,X,X,X,X,X,X,X,X
ILZOJST,O,O,X,X,X,X,X,X,X,X,X,X
ILZOSTJ,O,O,O,X,X,X,X,X,X,X,X,O
ILZOSJT,X,O,X,X,X,X,X,X,X,X,X,X
ILOTJSZ,O,X,X,X,X,X,X,X,O,X,X,X
ILOTJZS,X,O,X,X,X,X,X,X,O,X,X,X
ILOTSJZ,O,X,O,X,X,X,X,X,O,X,X,X
ILOTSZJ,O,O,O,X,X,X,X,X,X,X,X,O
ILOTZJS,X,O,X,X,X,X,X,O,X,X,X,X
ILOTZSJ,X,O,X,X,X,X,X,O,X,X,X,O
ILOJTSZ,O,X,X,X,X,X,X,X,O,X,X,X
ILOJTZS,X,O,X,X,X,X,X,X,O,X,X,X
ILOJSTZ,O,X,O,X,O,X,X,X,O,X,X,X
ILOJSZT,O,X,X,X,X,X,X,X,O,X,X,X
ILOJZTS,X,O,X,X,X,X,X,X,O,X,X,X
ILOJZST,O,O,X,X,X,X,X,X,O,X,X,X
ILOSTJZ,O,X,O,X,X,X,X,X,O,X,X,X
ILOSTZJ,O,O,O,X,X,X,X,X,X,X,X,O
ILOSJTZ,O,X,O,X,O,X,X,X,O,X,X,X
ILOSJZT,O,X,X,X,X,X,X,X,O,X,X,X
ILOSZTJ,O,O,O,X,X,X,X,X,X,X,X,O
ILOSZJT,X,O,X,X,X,X,X,X,X,X,X,X
ILOZTJS,X,O,X,X,X,O,X,O,X,X,X,X
ILOZTSJ,X,O,X,X,X,O,X,O,X,X,X,O
ILOZJTS,X,O,X,X,X,X,X,X,X,X,X,X
ILOZJST,O,O,X,X,X,X,X,X,X,X,X,X
ILOZSTJ,O,O,O,X,X,X,X,X,X,X,X,O
ILOZSJT,X,O,X,X,X,X,X,X,X,X,X,X
IJTLSZO,O,X,X,X,X,O,O,X,O,X,X,X
IJTLSOZ,O,X,X,X,X,O,O,X,O,X,X,X
IJTLZSO,X,O,X,X,X,O,O,X,O,X,X,X
IJTLZOS,X,O,X,X,X,X,O,X,X,X,X,X
IJTLOSZ,O,X,X,X,X,X,O,X,O,X,X,X
IJTLOZS,X,O,X,X,X,X,O,X,O,X,X,X
IJTSLZO,O,X,X,X,O,O,O,X,O,X,X,X
IJTSLOZ,O,X,X,X,O,O,O,X,O,X,X,X
IJTSZLO,X,X,X,X,O,O,O,X,X,X,X,X
IJTSZOL,X,X,X,X,O,O,O,X,X,X,X,X
IJTSOLZ,X,X,X,X,O,O,O,X,O,X,X,X
IJTSOZL,X,X,X,X,O,O,O,X,X,X,X,X
IJTZLSO,X,O,X,X,X,O,O,X,X,X,X,X
IJTZLOS,X,O,X,X,X,X,O,X,X,X,X,X
IJTZSLO,X,X,X,X,X,O,O,X,X,O,X,X
IJTZSOL,X,O,X,X,X,O,O,X,X,O,X,X
IJTZOLS,X,O,X,X,X,O,O,X,X,X,X,X
IJTZOSL,X,O,X,X,X,O,O,X,X,X,X,X
IJTOLSZ,X,X,X,X,X,X,O,X,O,X,X,X
IJTOLZS,X,O,X,X,X,X,O,X,O,X,X,X
IJTOSLZ,X,X,X,X,O,O,O,X,O,X,X,X
IJTOSZL,X,X,X,X,O,O,O,X,X,X,X,O
IJTOZLS,X,O,X,X,X,X,O,X,X,X,X,X
IJTOZSL,X,O,X,X,X,X,O,X,X,X,X,O
IJLTSZO,O,X,X,X,X,O,O,X,O,X,X,X
IJLTSOZ,O,X,X,X,X,O,O,X,O,X,X,X
IJLTZSO,X,O,X,X,X,O,O,X,O,X,X,X
IJLTZOS,X,O,X,X,X,X,O,X,X,X,X,X
IJLTOSZ,O,X,X,X,X,X,O,X,O,X,X,X
IJLTOZS,X,O,X,X,X,X,O,X,O,X,X,X
IJLSTZO,O,X,O,X,O,X,O,X,O,X,X,X
IJLSTOZ,O,X,O,X,O,X,O,X,O,X,X,X
IJLSZTO,O,X,X,X,X,X,O,X,O,X,X,X
IJLSZOT,O,X,X,X,X,X,O,X,O,X,X,X
IJLSOTZ,O,X,O,X,O,X,O,X,O,X,X,X
IJLSOZT,O,X,X,X,X,X,O,X,O,X,X,X
IJLZTSO,X,O,X,X,X,X,O,O,O,X,X,X
IJLZTOS,X,O,X,X,X,X,O,O,X,X,X,X
IJLZSTO,O,O,X,X,X,X,O,X,O,O,X,X
IJLZSOT,O,O,X,X,X,X,O,X,O,X,X,X
IJLZOTS,X,O,X,X,X,X,O,X,O,X,X,X
IJLZOST,O,O,X,X,X,X,O,X,O,X,X,X
IJLOTSZ,O,X,X,X,X,X,O,X,O,X,X,X
IJLOTZS,X,O,X,X,X,X,O,X,O,X,X,X
IJLOSTZ,O,X,O,X,O,X,O,X,O,X,X,X
IJLOSZT,O,X,X,X,X,X,O,X,O,X,X,X
IJLOZTS,X,O,X,X,X,X,O,X,O,X,X,X
IJLOZST,O,O,X,X,X,X,O,X,O,X,X,X
IJSTLZO,O,X,O,X,O,O,O,X,O,X,X,X
IJSTLOZ,O,X,O,X,O,O,O,X,O,X,X,X
IJSTZLO,X,X,X,O,O,O,O,X,X,X,X,X
IJSTZOL,X,X,X,O,O,O,O,X,X,X,X,X
IJSTOLZ,X,X,O,X,O,O,O,X,O,X,X,X
IJSTOZL,X,X,X,O,O,O,O,X,X,X,X,X
IJSLTZO,O,X,O,X,O,X,O,X,O,X,X,X
IJSLTOZ,O,X,O,X,O,X,O,X,O,X,X,X
IJSLZTO,O,X,X,O,X,X,O,X,O,X,X,X
IJSLZOT,O,X,X,O,X,X,O,X,O,X,X,X
IJSLOTZ,O,X,O,X,O,X,O,X,O,X,X,X
IJSLOZT,O,X,X,O,X,X,O,X,O,X,X,X
IJSZTLO,X,X,X,O,O,X,O,X,X,O,X,X
IJSZTOL,X,X,X,O,O,X,O,X,X,O,X,X
IJSZLTO,O,X,X,O,X,X,O,X,O,O,X,X
IJSZLOT,O,X,X,O,X,X,O,X,O,X,X,X
IJSZOTL,X,X,X,O,O,X,O,X,X,O,X,X
IJSZOLT,X,X,X,O,X,X,O,X,O,X,X,X
IJSOTLZ,X,X,O,X,O,X,O,X,O,X,X,X
IJSOTZL,X,X,X,O,O,X,O,X,X,X,X,X
IJSOLTZ,O,X,O,X,O,X,O,X,O,X,X,X
IJSOLZT,O,X,X,O,X,X,O,X,O,X,X,X
IJSOZTL,X,X,X,O,O,X,O,X,X,X,X,X
IJSOZLT,X,X,X,O,X,X,O,X,O,X,X,X
IJZTLSO,X,O,X,O,X,X,O,X,X,X,X,X
IJZTLOS,X,O,X,O,X,X,O,X,X,X,X,X
IJZTSLO,X,X,X,O,X,O,O,X,X,O,X,X
IJZTSOL,X,O,X,O,X,O,O,X,X,O,X,X
IJZTOLS,X,O,X,O,X,X,O,X,X,X,X,X
IJZTOSL,X,O,X,O,X,X,O,X,X,X,X,X
IJZLTSO,X,O,X,X,X,X,O,X,O,X,X,X
IJZLTOS,X,O,X,X,X,X,O,X,X,X,X,X
IJZLSTO,O,O,X,X,X,X,O,X,O,O,X,X
IJZLSOT,O,O,X,X,X,X,O,X,O,X,X,X
IJZLOTS,X,O,X,X,X,X,O,X,O,X,X,X
IJZLOST,O,O,X,X,X,X,O,X,O,X,X,X
IJZSTLO,X,X,X,O,O,X,O,X,X,O,X,X
IJZSTOL,X,O,X,O,O,X,O,X,X,O,X,X
IJZSLTO,O,X,X,O,X,X,O,X,O,O,X,X
IJZSLOT,O,X,X,O,X,X,O,X,O,X,X,X
IJZSOTL,X,O,X,O,O,X,O,X,X,O,X,X
IJZSOLT,X,X,X,O,X,X,O,X,O,X,X,X
IJZOTLS,X,O,X,O,X,X,O,X,X,X,X,X
IJZOTSL,X,O,X,O,X,X,O,X,X,X,X,O
IJZOLTS,X,O,X,X,X,X,O,X,O,X,X,X
IJZOLST,X,O,X,X,X,X,O,X,O,X,X,X
IJZOSTL,X,O,X,O,O,X,O,X,X,O,X,O
IJZOSLT,X,X,X,O,X,X,O,X,O,X,X,X
IJOTLSZ,X,X,X,X,X,X,O,X,O,X,X,X
IJOTLZS,X,O,X,X,X,X,O,X,O,X,X,X
IJOTSLZ,X,X,X,X,O,O,O,X,O,X,X,X
IJOTSZL,X,X,X,X,O,O,O,X,X,X,X,O
IJOTZLS,X,O,X,X,X,X,O,X,X,X,X,X
IJOTZSL,X,O,X,X,X,X,O,X,X,X,X,O
IJOLTSZ,O,X,X,X,X,X,O,X,O,X,X,X
IJOLTZS,X,O,X,X,X,X,O,X,O,X,X,X
IJOLSTZ,O,X,O,X,O,X,O,X,O,X,X,X
IJOLSZT,O,X,X,X,X,X,O,X,O,X,X,X
IJOLZTS,X,O,X,X,X,X,O,X,O,X,X,X
IJOLZST,O,O,X,X,X,X,O,X,O,X,X,X
IJOSTLZ,X,X,O,X,O,X,O,X,O,X,X,X
IJOSTZL,X,X,X,O,O,X,O,X,X,X,X,O
IJOSLTZ,O,X,O,X,O,X,O,X,O,X,X,X
IJOSLZT,O,X,X,O,X,X,O,X,O,X,X,X
IJOSZTL,X,X,X,O,O,X,O,X,X,X,X,O
IJOSZLT,X,X,X,O,X,X,O,X,O,X,X,X
IJOZTLS,X,O,X,O,X,X,O,X,X,X,X,X
IJOZTSL,X,O,X,O,X,X,O,X,X,X,X,O
IJOZLTS,X,O,X,X,X,X,O,X,O,X,X,X
IJOZLST,X,O,X,X,X,X,O,X,O,X,X,X
IJOZSTL,X,O,X,O,O,X,O,X,X,O,X,O
IJOZSLT,X,X,X,O,X,X,O,X,O,X,X,X
ISTLJZO,X,X,O,X,X,O,O,X,X,X,X,X
ISTLJOZ,O,X,O,X,X,O,O,X,X,X,X,X
ISTLZJO,X,O,O,X,X,O,O,X,X,X,O,X
ISTLZOJ,O,O,O,X,X,O,O,X,X,X,X,X
ISTLOJZ,O,X,O,X,X,O,X,X,X,X,X,X
ISTLOZJ,O,O,O,X,X,O,X,X,X,X,X,X
ISTJLZO,O,X,O,X,O,O,O,X,O,X,X,X
ISTJLOZ,O,X,O,X,O,O,O,X,O,X,X,X
ISTJZLO,X,X,X,O,O,O,O,X,X,X,X,X
ISTJZOL,X,X,X,O,O,O,O,X,X,X,X,X
ISTJOLZ,X,X,O,X,O,X,O,X,O,X,X,X
ISTJOZL,X,X,X,O,O,X,O,X,X,X,X,X
ISTZLJO,X,O,O,X,X,O,O,X,X,X,X,X
ISTZLOJ,X,O,O,X,X,O,O,X,X,X,X,X
ISTZJLO,X,X,X,X,X,O,O,X,X,X,X,X
ISTZJOL,X,O,X,X,X,O,O,X,X,X,X,X
ISTZOLJ,X,O,O,X,X,O,O,X,X,X,X,X
ISTZOJL,X,O,X,X,X,O,X,X,X,X,X,X
ISTOLJZ,O,X,O,X,X,O,X,X,X,X,X,X
ISTOLZJ,O,O,O,X,X,O,X,X,X,X,X,O
ISTOJLZ,X,X,O,X,O,X,O,X,O,X,X,X
ISTOJZL,X,X,X,O,O,X,O,X,X,X,X,O
ISTOZLJ,X,O,O,X,X,O,O,X,X,X,X,O
ISTOZJL,X,O,X,X,X,O,X,X,X,X,X,O
ISLTJZO,X,X,O,X,X,X,O,X,O,X,X,X
ISLTJOZ,O,X,O,X,X,X,O,X,O,X,X,X
ISLTZJO,X,O,O,X,X,X,O,X,X,X,O,X
ISLTZOJ,O,O,O,X,X,X,O,X,X,X,X,X
ISLTOJZ,O,X,O,X,X,X,X,X,X,X,X,X
ISLTOZJ,O,O,O,X,X,X,X,X,X,X,X,X
ISLJTZO,O,X,O,X,O,X,O,X,O,X,X,X
ISLJTOZ,O,X,O,X,O,X,O,X,O,X,X,X
ISLJZTO,O,X,X,O,X,X,O,X,O,X,X,X
ISLJZOT,O,X,X,O,X,X,O,X,O,X,X,X
ISLJOTZ,O,X,O,X,O,X,O,X,O,X,X,X
ISLJOZT,O,X,X,O,X,X,O,X,O,X,X,X
ISLZTJO,X,O,O,X,X,X,O,O,X,X,O,X
ISLZTOJ,O,O,O,X,X,X,O,O,X,X,X,X
ISLZJTO,X,O,X,X,X,X,O,X,X,X,X,X
ISLZJOT,X,O,X,X,X,X,O,X,X,X,X,X
ISLZOTJ,O,O,O,X,X,X,O,X,X,X,X,X
ISLZOJT,X,O,X,X,X,X,X,X,X,X,X,X
ISLOTJZ,O,X,O,X,X,X,X,X,O,X,X,X
ISLOTZJ,O,O,O,X,X,X,X,X,X,X,X,X
ISLOJTZ,O,X,O,X,O,X,X,X,O,X,X,X
ISLOJZT,O,X,X,O,X,X,X,X,O,X,X,X
ISLOZTJ,O,O,O,X,X,X,X,X,X,X,X,X
ISLOZJT,X,O,X,X,X,X,X,X,X,X,X,X
ISJTLZO,O,X,O,X,O,O,O,X,O,X,X,X
ISJTLOZ,O,X,O,X,O,O,O,X,O,X,X,X
ISJTZLO,X,X,X,O,O,O,O,X,X,X,X,X
ISJTZOL,X,X,X,O,O,O,O,X,X,X,X,X
ISJTOLZ,X,X,O,X,O,O,O,X,O,X,X,X
ISJTOZL,X,X,X,O,O,O,O,X,X,X,X,X
ISJLTZO,O,X,O,X,O,X,O,X,O,X,X,X
ISJLTOZ,O,X,O,X,O,X,O,X,O,X,X,X
ISJLZTO,O,X,X,O,X,X,O,X,O,X,X,X
ISJLZOT,O,X,X,O,X,X,O,X,O,X,X,X
ISJLOTZ,O,X,O,X,O,X,O,X,O,X,X,X
ISJLOZT,O,X,X,O,X,X,O,X,O,X,X,X
ISJZTLO,X,X,X,O,O,X,O,X,X,O,X,X
ISJZTOL,X,X,X,O,O,X,O,X,X,O,X,X
ISJZLTO,O,X,X,O,X,X,O,X,O,O,X,X
ISJZLOT,O,X,X,O,X,X,O,X,O,X,X,X
ISJZOTL,X,X,X,O,O,X,O,X,X,O,X,X
ISJZOLT,X,X,X,O,X,X,O,X,O,X,X,X
ISJOTLZ,X,X,O,X,O,X,O,X,O,X,X,X
ISJOTZL,X,X,X,O,O,X,O,X,X,X,X,X
ISJOLTZ,O,X,O,X,O,X,O,X,O,X,X,X
ISJOLZT,O,X,X,O,X,X,O,X,O,X,X,X
ISJOZTL,X,X,X,O,O,X,O,X,X,X,X,X
ISJOZLT,X,X,X,O,X,X,O,X,O,X,X,X
ISZTLJO,X,O,O,X,X,X,O,X,X,X,X,X
ISZTLOJ,X,O,O,X,X,X,O,X,X,X,X,X
ISZTJLO,X,X,X,X,X,X,O,X,X,X,X,X
ISZTJOL,X,O,X,X,X,X,O,X,X,X,X,X
ISZTOLJ,X,O,O,X,X,X,O,X,X,X,X,X
ISZTOJL,X,O,X,X,X,X,X,X,X,X,X,X
ISZLTJO,X,O,O,X,X,X,O,X,X,X,X,X
ISZLTOJ,O,O,O,X,X,X,O,X,X,X,X,X
ISZLJTO,X,O,X,X,X,X,O,X,X,X,X,X
ISZLJOT,X,O,X,X,X,X,O,X,X,X,X,X
ISZLOTJ,O,O,O,X,X,X,O,X,X,X,X,X
ISZLOJT,X,O,X,X,X,X,X,X,X,X,X,X
ISZJTLO,X,X,X,O,O,X,O,X,X,X,X,X
ISZJTOL,X,O,X,O,O,X,O,X,X,X,X,X
ISZJLTO,O,X,X,O,X,X,O,X,O,X,X,X
ISZJLOT,O,X,X,O,X,X,O,X,O,X,X,X
ISZJOTL,X,O,X,O,O,X,O,X,X,X,X,X
ISZJOLT,X,X,X,O,X,X,O,X,O,X,X,X
ISZOTLJ,X,O,O,X,X,X,O,X,X,X,X,O
ISZOTJL,X,O,X,X,X,X,X,X,X,X,X,O
ISZOLTJ,O,O,O,X,X,X,O,X,X,X,X,O
ISZOLJT,X,O,X,X,X,X,X,X,X,X,X,X
ISZOJTL,X,O,X,O,O,X,O,X,X,X,X,O
ISZOJLT,X,X,X,O,X,X,O,X,O,X,X,X
ISOTLJZ,O,X,O,X,X,X,X,X,X,X,X,X
ISOTLZJ,O,O,O,X,X,X,X,X,X,X,X,O
ISOTJLZ,X,X,O,X,O,X,O,X,O,X,X,X
ISOTJZL,X,X,X,O,O,X,O,X,X,X,X,O
ISOTZLJ,X,O,O,X,X,X,O,X,X,X,X,O
ISOTZJL,X,O,X,X,X,X,X,X,X,X,X,O
ISOLTJZ,O,X,O,X,X,X,X,X,O,X,X,X
ISOLTZJ,O,O,O,X,X,X,X,X,X,X,X,O
ISOLJTZ,O,X,O,X,O,X,X,X,O,X,X,X
ISOLJZT,O,X,X,O,X,X,X,X,O,X,X,X
ISOLZTJ,O,O,O,X,X,X,X,X,X,X,X,O
ISOLZJT,X,O,X,X,X,X,X,X,X,X,X,X
ISOJTLZ,X,X,O,X,O,X,O,X,O,X,X,X
ISOJTZL,X,X,X,O,O,X,O,X,X,X,X,O
ISOJLTZ,O,X,O,X,O,X,O,X,O,X,X,X
ISOJLZT,O,X,X,O,X,X,O,X,O,X,X,X
ISOJZTL,X,X,X,O,O,X,O,X,X,X,X,O
ISOJZLT,X,X,X,O,X,X,O,X,O,X,X,X
ISOZTLJ,X,O,O,X,X,X,O,X,X,X,X,O
ISOZTJL,X,O,X,X,X,X,X,X,X,X,X,O
ISOZLTJ,O,O,O,X,X,X,O,X,X,X,X,O
ISOZLJT,X,O,X,X,X,X,X,X,X,X,X,X
ISOZJTL,X,O,X,O,O,X,O,X,X,X,X,O
ISOZJLT,X,X,X,O,X,X,O,X,O,X,X,X
IZTLJSO,X,O,X,X,X,O,X,X,X,X,X,X
IZTLJOS,X,O,X,X,X,X,X,X,X,X,X,X
IZTLSJO,X,O,X,X,X,O,X,X,X,X,X,X
IZTLSOJ,X,O,X,X,X,O,X,X,X,X,X,X
IZTLOJS,X,O,X,X,X,X,X,X,X,X,X,X
IZTLOSJ,X,O,X,X,X,X,X,X,X,X,X,X
IZTJLSO,X,O,X,X,X,O,O,X,X,X,X,X
IZTJLOS,X,O,X,X,X,X,O,X,X,X,X,X
IZTJSLO,X,X,X,X,X,O,O,X,X,O,X,X
IZTJSOL,X,O,X,X,X,O,O,X,X,O,X,X
IZTJOLS,X,O,X,X,X,O,O,X,X,X,X,X
IZTJOSL,X,O,X,X,X,O,O,X,X,X,X,X
IZTSLJO,X,O,X,X,X,O,O,X,X,X,X,X
IZTSLOJ,X,O,X,X,X,O,O,X,X,X,X,X
IZTSJLO,X,X,X,X,X,O,O,X,X,O,X,X
IZTSJOL,X,O,X,X,X,O,O,X,X,O,X,X
IZTSOLJ,X,O,X,X,X,O,O,X,X,X,X,X
IZTSOJL,X,O,X,X,X,O,X,X,X,X,X,X
IZTOLJS,X,O,X,X,X,O,X,X,X,X,X,X
IZTOLSJ,X,O,X,X,X,O,X,X,X,X,X,O
IZTOJLS,X,O,X,X,X,O,X,X,X,X,X,X
IZTOJSL,X,O,X,X,X,O,X,X,X,X,X,O
IZTOSLJ,X,O,X,X,X,O,X,X,X,X,X,O
IZTOSJL,X,O,X,X,X,O,X,X,X,X,X,O
IZLTJSO,X,O,X,X,X,O,X,O,X,X,X,X
IZLTJOS,X,O,X,X,X,X,X,O,X,X,X,X
IZLTSJO,X,O,X,X,X,O,X,O,X,X,X,X
IZLTSOJ,X,O,X,X,X,O,X,O,X,X,X,X
