sequence,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhFUhBFiB6qBX?nB2wBzsB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhFxcBCiBllBe?sBXrBzsB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jel7IvhF3cBciB6qBT?mBmsBxwB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jel7IvhFGdB/mBanB0?lBzsBRwB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhFTdBllBUnBX?rByxBGrB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhF3gBFiB6rB0?nBzqB2xB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhF3gBFiB8qB+?rBTnByxB,v115@zgB8FeE8EeD8EeF8FeD8FeA8JeX8IvhFFiBxlB6qB0?nBTrB2xB,v115@zgB8FeE8EeD8EeF8FeD8FeA8JeX8IvhFFiBxlB0lBS?wBmsBTsB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhFxcBXiBllBm?rBzsBSwB,v115@zgB8FeE8EeD8EeF8FeD8FeA8JeX8IvhFFiBxlB0lBO?sBSwBzsB,v115@zgB8FeE8EeD8EeF8FeD8FeA8JeX8IvhFFiBxlBTnBG?rByxB0qB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhF6hBTdBllB2?sBXrBRxB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhFSiBllB3mBm?mBzsBRwB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhFxcBzhBllBX?rBmsBSxB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhF3gBFiBTmBW?wBisB0sB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jem7IvhF1lBXiB5mBz?qBisB0sB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhFxcBllB3mBm?sBSwBTsB,v115@zgB8FeE8EeD8EeF8FeD8FeA8JeG9IvhFZnBllBcrBz?sB6qB/rB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhFOnBllBcrBz?sBCrBXsB
JIOZLST,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JIOZSTL,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JIOZSLT,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLTISZO,X,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
JLTISOZ,X,O,O,O,X,O,X,O,O,X,O,O,X,X,X,O,X,X,X,X
JLTIZSO,O,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JLTIZOS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTIOSZ,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JLTIOZS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTSIZO,X,O,O,X,O,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X
JLTSIOZ,X,O,O,X,X,O,X,O,O,X,O,O,X,X,X,O,X,O,X,X
JLTSZIO,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
JLTSZOI,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JLTSOIZ,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,O,O,X,X
JLTSOZI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X
JLTZISO,O,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JLTZIOS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTZSIO,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JLTZSOI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JLTZOIS,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLTZOSI,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTOISZ,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X
JLTOIZS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTOSIZ,X,O,X,X,X,O,X,O,O,X,X,O,X,X,O,O,O,X,X,X
JLTOSZI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X
JLTOZIS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTOZSI,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
JLITSZO,X,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
JLITSOZ,X,O,O,O,X,O,X,O,O,X,O,O,X,X,X,O,X,X,X,X
JLITZSO,O,O,O,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
JLITZOS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLITOSZ,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JLITOZS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLISTZO,X,O,O,O,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X
JLISTOZ,X,O,O,O,X,O,X,O,O,X,O,O,X,X,X,O,X,X,X,X
JLISZTO,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JLISZOT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLISOTZ,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JLISOZT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIZTSO,O,O,O,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
JLIZTOS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIZSTO,O,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JLIZSOT,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIZOTS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIZOST,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIOTSZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JLIOTZS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIOSTZ,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JLIOSZT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLIOZTS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIOZST,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTIZO,X,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
JLSTIOZ,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,O,X,X
JLSTZIO,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
JLSTZOI,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JLSTOIZ,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,O,O,X,X
JLSTOZI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X
JLSITZO,X,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JLSITOZ,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JLSIZTO,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JLSIZOT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSIOTZ,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JLSIOZT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZTIO,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZTOI,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JLSZITO,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZIOT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZOTI,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZOIT,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOTIZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JLSOTZI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JLSOITZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLSOIZT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLSOZTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLSOZIT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLZTISO,O,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JLZTIOS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTSIO,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JLZTSOI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JLZTOIS,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLZTOSI,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZITSO,O,O,O,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
JLZITOS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZISTO,O,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JLZISOT,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZIOTS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZIOST,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSTIO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSTOI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JLZSITO,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSIOT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSOTI,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSOIT,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZOTIS,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLZOTSI,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JLZOITS,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLZOIST,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZOSTI,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JLZOSIT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JLOTISZ,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X
JLOTIZS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOTSIZ,X,O,X,X,X,O,X,O,O,X,X,O,X,X,O,O,O,X,X,X
JLOTSZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X
JLOTZIS,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOTZSI,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
JLOITSZ,X,O,O,O,X,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X
JLOITZS,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOISTZ,X,O,O,O,X,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X
JLOISZT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLOIZTS,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOIZST,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSTIZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JLOSTZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JLOSITZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLOSIZT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLOSZTI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLOSZIT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLOZTIS,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOZTSI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JLOZITS,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOZIST,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZSTI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JLOZSIT,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSTILZO,X,O,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X
JSTILOZ,X,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X
JSTIZLO,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X
JSTIZOL,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSTIOLZ,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,O,X,O,X,X
JSTIOZL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X
JSTLIZO,X,O,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X
JSTLIOZ,X,O,O,X,X,O,X,O,O,X,X,O,X,X,X,O,X,O,X,X
JSTLZIO,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JSTLZOI,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JSTLOIZ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,O,X,X
JSTLOZI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X
JSTZILO,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X
JSTZIOL,X,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X
JSTZLIO,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JSTZLOI,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JSTZOIL,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X
JSTZOLI,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JSTOILZ,X,X,X,O,X,O,X,O,O,O,X,O,X,X,O,O,O,O,X,X
JSTOIZL,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,O,O,O,X,X
JSTOLIZ,X,O,X,X,X,O,X,O,O,O,X,X,X,X,O,O,O,O,X,X
JSTOLZI,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,O,O,O,X,X
JSTOZIL,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,O,O,O,X,X
JSTOZLI,X,O,X,O,X,O,X,X,X,O,X,X,X,X,O,O,X,O,X,X
JSITLZO,X,O,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X
JSITLOZ,X,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X
JSITZLO,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X
JSITZOL,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSITOLZ,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,O,X,O,X,X
JSITOZL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X
JSILTZO,X,O,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JSILTOZ,X,O,X,O,X,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X
JSILZTO,X,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSILZOT,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILOTZ,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSILOZT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZTLO,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSIZTOL,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIZLTO,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSIZLOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZOTL,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZOLT,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOTLZ,X,X,X,O,X,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X
JSIOTZL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
JSIOLTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JSIOLZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSIOZTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSIOZLT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLTIZO,X,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
JSLTIOZ,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,O,X,X
JSLTZIO,X,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
JSLTZOI,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JSLTOIZ,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,O,O,X,X
JSLTOZI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X
JSLITZO,X,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSLITOZ,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JSLIZTO,X,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JSLIZOT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLIOTZ,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSLIOZT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZTIO,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZTOI,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLZITO,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZIOT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZOTI,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZOIT,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOTIZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JSLOTZI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JSLOITZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLOIZT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLOZTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLOZIT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSZTILO,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZTIOL,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZTLIO,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZTLOI,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZTOIL,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JSZTOLI,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JSZITLO,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZITOL,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZILTO,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZILOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZIOTL,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZIOLT,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLTIO,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLTOI,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSZLITO,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLIOT,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLOTI,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLOIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTIL,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
JSZOTLI,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
JSZOITL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSZOILT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSZOLTI,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSZOLIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOTILZ,X,X,X,O,X,O,X,O,X,O,X,X,X,X,O,O,X,O,X,X
JSOTIZL,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,O,X,O,X,X
JSOTLIZ,X,O,X,X,X,O,X,O,X,O,X,X,X,X,O,O,X,O,X,X
JSOTLZI,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,O,X,X
JSOTZIL,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,O,X,O,X,X
JSOTZLI,X,O,X,O,X,O,X,X,X,O,X,X,X,X,O,O,X,O,X,X
JSOITLZ,X,X,X,O,X,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X
JSOITZL,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X
JSOILTZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSOILZT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOIZTL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSOIZLT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOLTIZ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X
JSOLTZI,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X
JSOLITZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOLIZT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOLZTI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOLZIT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOZTIL,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
JSOZTLI,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X
JSOZITL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOZILT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOZLTI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOZLIT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZTILSO,O,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
JZTILOS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZTISLO,X,O,O,O,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JZTISOL,X,X,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
JZTIOLS,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZTIOSL,X,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JZTLISO,O,O,O,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
JZTLIOS,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZTLSIO,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTLSOI,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLOIS,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JZTLOSI,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSILO,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X
JZTSIOL,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X
JZTSLIO,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JZTSLOI,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JZTSOIL,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X
JZTSOLI,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JZTOILS,X,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JZTOISL,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JZTOLIS,O,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
JZTOLSI,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JZTOSIL,X,O,O,O,X,X,O,O,X,O,X,X,X,X,O,X,O,X,X,X
JZTOSLI,X,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X
JZITLSO,O,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
JZITLOS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
