sequence,v115@7gB8GeD8GeE8DeH8BeC8Jei6IvhF5gBOhBXdBzfBFn?B0rB,v115@7gB8GeD8GeE8DeH8BeC8JeT6IvhFegB5gB0cBKmBFn?BXsB,v115@7gB8GeD8GeE8DeH8BeC8JeT6IvhFegB5gBXdBKmBFn?B0rB,v115@7gB8GeD8GeE8DeH8BeC8JeT6IvhF2gBXdBRlBFnBCm?B0rB,v115@7gB8GeD8GeE8DeH8BeC8Je//IvhFRbBCdBmgBVnB0l?BzrB,v115@7gB8GeD8GeE8DeH8BeC8Jex6IvhFTcB0fB6lB/rBFn?BOsB,v115@7gB8GeD8GeE8DeH8BeC8JeT6IvhFegBFdBChBUhBRr?BXsB,v115@7gB8GeD8GeE8DeH8BeC8JeT6IvhFegBRhBUmBFnBCm?BXsB,v115@7gB8GeD8GeE8DeH8BeC8Je2/IvhF5gB0cBKmBzfBFn?BXsB
IJSLZOT,O,O,X,X,X,X,O,X,O
IJSLOTZ,O,O,O,X,X,X,O,X,X
IJSLOZT,O,O,X,X,X,X,O,X,X
IJSZTLO,X,X,X,O,X,X,O,X,X
IJSZTOL,X,X,X,O,X,X,O,X,X
IJSZLTO,X,X,X,X,X,X,O,X,X
IJSZLOT,O,X,X,X,X,X,O,X,X
IJSZOTL,X,X,X,O,X,X,O,X,X
IJSZOLT,O,X,X,X,X,X,O,X,X
IJSOTLZ,O,X,O,O,X,X,O,X,X
IJSOTZL,X,X,X,O,X,X,O,X,X
IJSOLTZ,O,O,O,X,X,X,O,X,X
IJSOLZT,O,O,X,X,X,X,O,X,X
IJSOZTL,X,X,X,O,X,X,O,X,X
IJSOZLT,O,X,X,X,X,X,O,X,X
IJZTLSO,O,X,X,O,X,X,X,X,X
IJZTLOS,O,X,X,O,X,X,O,O,X
IJZTSLO,O,X,X,O,X,X,O,X,X
IJZTSOL,O,X,X,O,X,X,O,O,X
IJZTOLS,O,X,X,O,X,X,O,O,X
IJZTOSL,O,X,X,O,X,X,O,O,X
IJZLTSO,O,O,O,O,X,X,X,X,O
IJZLTOS,O,O,O,O,X,X,O,X,O
IJZLSTO,O,X,X,X,X,X,X,X,O
IJZLSOT,O,O,X,X,X,X,X,X,O
IJZLOTS,O,O,O,O,X,X,O,O,O
IJZLOST,O,O,X,X,X,X,X,X,O
IJZSTLO,O,X,X,O,X,X,O,X,X
IJZSTOL,O,X,X,O,X,X,O,X,X
IJZSLTO,O,X,X,X,X,X,O,X,X
IJZSLOT,O,X,X,X,X,X,O,X,X
IJZSOTL,O,X,X,O,X,X,O,O,X
IJZSOLT,O,X,X,X,X,X,O,X,X
IJZOTLS,O,X,X,O,X,X,O,O,X
IJZOTSL,O,X,X,O,X,X,O,O,X
IJZOLTS,O,O,O,O,X,X,O,O,X
IJZOLST,O,O,X,X,X,X,X,X,X
IJZOSTL,O,X,X,O,X,X,O,O,X
IJZOSLT,O,X,X,X,X,X,O,X,X
IJOTLSZ,O,O,O,O,X,X,O,X,X
IJOTLZS,X,O,O,O,X,X,O,O,X
IJOTSLZ,O,X,O,O,X,X,O,X,X
IJOTSZL,O,X,X,O,X,X,O,O,X
IJOTZLS,X,O,X,O,X,X,O,O,X
IJOTZSL,X,X,X,O,X,X,O,O,X
IJOLTSZ,O,O,O,O,X,X,O,X,X
IJOLTZS,X,O,O,O,X,X,O,X,O
IJOLSTZ,O,O,O,X,X,X,O,X,X
IJOLSZT,O,O,X,X,X,X,O,X,X
IJOLZTS,O,O,O,O,X,X,O,X,O
IJOLZST,O,O,X,X,X,X,X,X,O
IJOSTLZ,O,X,O,O,X,X,O,X,X
IJOSTZL,X,X,X,O,X,X,O,X,X
IJOSLTZ,O,O,O,X,X,X,O,X,X
IJOSLZT,O,O,X,X,X,X,O,X,X
IJOSZTL,X,X,X,O,X,X,O,X,X
IJOSZLT,O,X,X,X,X,X,O,X,X
IJOZTLS,O,X,X,O,X,X,O,O,X
IJOZTSL,O,X,X,O,X,X,O,O,X
IJOZLTS,O,O,O,O,X,X,O,O,X
IJOZLST,O,O,X,X,X,X,X,X,X
IJOZSTL,O,X,X,O,X,X,O,O,X
IJOZSLT,O,X,X,X,X,X,O,X,X
ISTLJZO,O,X,O,X,O,X,O,X,X
ISTLJOZ,O,X,O,O,X,X,O,X,X
ISTLZJO,O,X,O,X,O,O,O,X,X
ISTLZOJ,X,X,X,X,O,O,O,X,X
ISTLOJZ,O,X,O,O,X,X,O,X,X
ISTLOZJ,O,X,X,X,O,O,O,X,X
ISTJLZO,O,X,O,X,O,X,O,X,X
ISTJLOZ,O,X,O,O,X,X,O,X,X
ISTJZLO,O,X,X,O,X,X,O,X,X
ISTJZOL,O,X,X,O,X,X,O,X,X
ISTJOLZ,O,X,O,O,X,X,O,X,X
ISTJOZL,O,X,X,O,X,X,O,X,X
ISTZLJO,O,X,X,O,O,O,O,X,X
ISTZLOJ,X,X,X,O,O,O,O,X,X
ISTZJLO,O,X,X,O,O,X,O,X,X
ISTZJOL,O,X,X,O,O,X,O,X,X
ISTZOLJ,O,X,X,O,O,O,O,X,X
ISTZOJL,O,X,X,O,O,X,O,X,X
ISTOLJZ,O,X,O,O,O,X,O,X,X
ISTOLZJ,O,X,X,X,O,O,O,X,X
ISTOJLZ,O,X,O,O,O,X,O,X,X
ISTOJZL,O,X,X,O,X,X,O,X,X
ISTOZLJ,O,X,X,O,O,O,O,X,X
ISTOZJL,O,X,X,O,O,X,O,X,X
ISLTJZO,O,O,O,X,O,X,O,X,O
ISLTJOZ,O,O,O,X,X,X,O,X,X
ISLTZJO,O,O,O,X,O,O,O,X,O
ISLTZOJ,X,X,X,X,O,O,O,X,X
ISLTOJZ,O,X,O,X,X,X,O,X,X
ISLTOZJ,O,X,X,X,O,O,O,X,X
ISLJTZO,X,O,O,X,O,X,O,X,O
ISLJTOZ,O,O,O,X,X,X,O,X,X
ISLJZTO,X,X,X,X,X,X,O,X,O
ISLJZOT,O,O,X,X,X,X,O,X,O
ISLJOTZ,O,O,O,X,X,X,O,X,X
ISLJOZT,O,O,X,X,X,X,O,X,X
ISLZTJO,O,X,X,X,O,O,O,X,X
ISLZTOJ,O,X,X,X,O,O,O,X,X
ISLZJTO,O,X,X,X,O,O,O,X,O
ISLZJOT,O,O,X,X,O,X,O,X,O
ISLZOTJ,O,X,X,X,O,O,O,X,X
ISLZOJT,O,X,X,X,O,X,O,X,X
ISLOTJZ,O,X,X,X,O,X,O,X,X
ISLOTZJ,O,X,X,X,O,X,O,X,X
ISLOJTZ,O,X,X,X,X,X,O,X,X
ISLOJZT,O,X,X,X,X,X,O,X,X
ISLOZTJ,O,X,X,X,O,X,O,X,X
ISLOZJT,O,X,X,X,O,X,O,X,X
ISJTLZO,X,X,O,X,O,X,O,X,X
ISJTLOZ,O,X,O,O,X,X,O,X,X
ISJTZLO,X,X,X,O,X,X,O,X,X
ISJTZOL,X,X,X,O,X,X,O,X,X
ISJTOLZ,O,X,O,O,X,X,O,X,X
ISJTOZL,X,X,X,O,X,X,O,X,X
ISJLTZO,X,O,O,X,O,X,O,X,O
ISJLTOZ,O,O,O,X,X,X,O,X,X
ISJLZTO,X,X,X,X,X,X,O,X,O
ISJLZOT,O,O,X,X,X,X,O,X,O
ISJLOTZ,O,O,O,X,X,X,O,X,X
ISJLOZT,O,O,X,X,X,X,O,X,X
ISJZTLO,X,X,X,O,O,X,O,X,X
ISJZTOL,X,X,X,O,O,X,O,X,X
ISJZLTO,X,X,X,X,O,X,O,X,X
ISJZLOT,O,X,X,X,O,X,O,X,X
ISJZOTL,X,X,X,O,O,X,O,X,X
ISJZOLT,O,X,X,X,O,X,O,X,X
ISJOTLZ,O,X,O,O,O,X,O,X,X
ISJOTZL,X,X,X,O,X,X,O,X,X
ISJOLTZ,O,O,O,X,X,X,O,X,X
ISJOLZT,O,O,X,X,X,X,O,X,X
ISJOZTL,X,X,X,O,O,X,O,X,X
ISJOZLT,O,X,X,X,O,X,O,X,X
ISZTLJO,O,X,X,O,O,O,O,X,X
ISZTLOJ,O,X,X,O,O,O,O,X,X
ISZTJLO,O,X,X,O,O,X,O,X,X
ISZTJOL,O,X,X,O,O,X,O,X,X
ISZTOLJ,O,X,X,O,O,O,O,X,X
ISZTOJL,O,X,X,O,O,X,O,X,X
ISZLTJO,O,X,X,X,O,O,O,X,X
ISZLTOJ,O,X,X,X,O,O,O,X,X
ISZLJTO,O,X,X,X,O,O,O,X,X
ISZLJOT,O,X,X,X,O,X,O,X,X
ISZLOTJ,O,X,X,X,O,O,O,X,X
ISZLOJT,O,X,X,X,O,X,O,X,X
ISZJTLO,O,X,X,O,O,X,O,X,X
ISZJTOL,O,X,X,O,O,X,O,X,X
ISZJLTO,O,X,X,X,O,X,O,X,X
ISZJLOT,O,X,X,X,O,X,O,X,X
ISZJOTL,O,X,X,O,O,X,O,X,X
ISZJOLT,O,X,X,X,O,X,O,X,X
ISZOTLJ,O,X,X,O,O,X,O,X,X
ISZOTJL,O,X,X,O,O,X,O,X,X
ISZOLTJ,O,X,X,X,O,X,O,X,X
ISZOLJT,O,X,X,X,O,X,O,X,X
ISZOJTL,O,X,X,O,O,X,O,X,X
ISZOJLT,O,X,X,X,O,X,O,X,X
ISOTLJZ,O,X,O,O,O,X,O,X,X
ISOTLZJ,O,X,X,X,O,X,O,X,X
ISOTJLZ,O,X,O,O,O,X,O,X,X
ISOTJZL,O,X,X,O,X,X,O,X,X
ISOTZLJ,O,X,X,O,O,X,O,X,X
ISOTZJL,O,X,X,O,O,X,O,X,X
ISOLTJZ,O,X,X,X,O,X,O,X,X
ISOLTZJ,O,X,X,X,O,X,O,X,X
ISOLJTZ,O,X,X,X,X,X,O,X,X
ISOLJZT,O,X,X,X,X,X,O,X,X
ISOLZTJ,O,X,X,X,O,X,O,X,X
ISOLZJT,O,X,X,X,O,X,O,X,X
ISOJTLZ,O,X,O,O,O,X,O,X,X
ISOJTZL,X,X,X,O,X,X,O,X,X
ISOJLTZ,O,X,X,X,X,X,O,X,X
ISOJLZT,O,X,X,X,X,X,O,X,X
ISOJZTL,X,X,X,O,O,X,O,X,X
ISOJZLT,O,X,X,X,O,X,O,X,X
ISOZTLJ,O,X,X,O,O,X,O,X,X
ISOZTJL,O,X,X,O,O,X,O,X,X
ISOZLTJ,O,X,X,X,O,X,O,X,X
ISOZLJT,O,X,X,X,O,X,O,X,X
ISOZJTL,O,X,X,O,O,X,O,X,X
ISOZJLT,O,X,X,X,O,X,O,X,X
IZTLJSO,O,X,X,O,O,X,X,X,X
IZTLJOS,O,X,X,O,X,X,O,O,X
IZTLSJO,O,X,X,O,O,O,X,X,X
IZTLSOJ,O,X,X,O,O,O,X,X,X
IZTLOJS,O,X,X,O,X,X,O,O,X
IZTLOSJ,O,X,X,O,X,X,X,X,X
IZTJLSO,O,X,X,O,O,X,X,X,X
IZTJLOS,O,X,X,O,X,X,O,O,X
IZTJSLO,O,X,X,O,O,X,O,X,X
IZTJSOL,O,X,X,O,O,X,O,O,X
IZTJOLS,O,X,X,O,X,X,O,O,X
IZTJOSL,O,X,X,O,X,X,O,O,X
IZTSLJO,O,X,X,O,O,X,O,X,X
IZTSLOJ,O,X,X,O,O,X,O,X,X
IZTSJLO,O,X,X,O,O,X,O,X,X
IZTSJOL,O,X,X,O,O,X,O,O,X
IZTSOLJ,O,X,X,O,O,X,O,X,X
IZTSOJL,O,X,X,O,X,X,O,O,X
IZTOLJS,O,X,X,O,X,X,O,O,X
IZTOLSJ,O,X,X,O,X,X,X,X,X
IZTOJLS,O,X,X,O,X,X,O,O,X
IZTOJSL,O,X,X,O,X,X,O,O,X
IZTOSLJ,O,X,X,O,X,X,O,X,X
IZTOSJL,O,X,X,O,X,X,O,O,X
IZLTJSO,O,O,O,O,X,X,X,X,O
IZLTJOS,O,O,O,O,X,X,O,X,O
IZLTSJO,O,O,O,O,X,O,X,X,O
IZLTSOJ,O,X,X,O,X,O,X,X,X
IZLTOJS,O,O,X,O,X,X,O,X,O
IZLTOSJ,O,X,X,O,X,X,X,X,X
IZLJTSO,O,O,O,O,X,X,X,X,O
IZLJTOS,O,O,O,O,X,X,O,X,O
IZLJSTO,O,X,X,X,X,O,X,X,O
IZLJSOT,O,O,X,X,X,X,X,X,O
IZLJOTS,O,O,O,O,X,X,O,O,O
IZLJOST,O,O,X,X,X,X,X,X,O
IZLSTJO,O,X,X,X,X,O,X,X,X
IZLSTOJ,O,X,X,X,X,O,X,X,X
IZLSJTO,O,X,X,X,X,O,X,X,O
IZLSJOT,O,O,X,X,X,X,X,X,O
IZLSOTJ,O,X,X,X,X,O,X,X,X
IZLSOJT,O,X,X,X,X,X,X,X,X
IZLOTJS,O,X,X,O,X,X,O,X,X
IZLOTSJ,O,X,X,O,X,X,X,X,X
IZLOJTS,O,O,X,O,X,X,O,O,O
IZLOJST,O,O,X,X,X,X,X,X,O
IZLOSTJ,O,X,X,X,X,O,X,X,X
IZLOSJT,O,X,X,X,X,X,X,X,X
IZJTLSO,O,X,X,O,O,X,X,X,X
IZJTLOS,O,X,X,O,X,X,O,O,X
IZJTSLO,O,X,X,O,O,X,O,X,X
IZJTSOL,O,X,X,O,O,X,O,O,X
IZJTOLS,O,X,X,O,X,X,O,O,X
IZJTOSL,O,X,X,O,X,X,O,O,X
IZJLTSO,O,O,O,O,X,X,X,X,O
IZJLTOS,O,O,O,O,X,X,O,X,O
IZJLSTO,O,X,X,X,X,O,X,X,O
IZJLSOT,O,O,X,X,X,X,X,X,O
IZJLOTS,O,O,O,O,X,X,O,O,O
IZJLOST,O,O,X,X,X,X,X,X,O
IZJSTLO,O,X,X,O,O,X,O,X,X
IZJSTOL,O,X,X,O,O,X,O,X,X
IZJSLTO,O,X,X,X,O,X,O,X,X
IZJSLOT,O,X,X,X,O,X,O,X,X
IZJSOTL,O,X,X,O,O,X,O,O,X
IZJSOLT,O,X,X,X,O,X,O,X,X
IZJOTLS,O,X,X,O,O,X,O,O,X
IZJOTSL,O,X,X,O,O,X,O,O,X
IZJOLTS,O,O,O,O,X,X,O,O,X
IZJOLST,O,O,X,X,X,X,X,X,X
IZJOSTL,O,X,X,O,O,X,O,O,X
IZJOSLT,O,X,X,X,O,X,O,X,X
IZSTLJO,O,X,X,O,O,O,O,X,X
IZSTLOJ,O,X,X,O,O,O,O,X,X
IZSTJLO,O,X,X,O,O,X,O,X,X
IZSTJOL,O,X,X,O,O,X,O,X,X
IZSTOLJ,O,X,X,O,O,O,O,X,X
IZSTOJL,O,X,X,O,O,X,O,X,X
IZSLTJO,O,X,X,X,O,O,O,X,X
IZSLTOJ,O,X,X,X,O,O,O,X,X
IZSLJTO,O,X,X,X,O,O,O,X,X
IZSLJOT,O,X,X,X,O,X,O,X,X
IZSLOTJ,O,X,X,X,O,O,O,X,X
IZSLOJT,O,X,X,X,O,X,O,X,X
IZSJTLO,O,X,X,O,O,X,O,X,X
IZSJTOL,O,X,X,O,O,X,O,X,X
IZSJLTO,O,X,X,X,O,X,O,X,X
IZSJLOT,O,X,X,X,O,X,O,X,X
IZSJOTL,O,X,X,O,O,X,O,O,X
IZSJOLT,O,X,X,X,O,X,O,X,X
IZSOTLJ,O,X,X,O,O,X,O,X,X
IZSOTJL,O,X,X,O,O,X,O,X,X
IZSOLTJ,O,X,X,X,O,X,O,X,X
IZSOLJT,O,X,X,X,O,X,O,X,X
IZSOJTL,O,X,X,O,O,X,O,O,X
IZSOJLT,O,X,X,X,O,X,O,X,X
IZOTLJS,O,X,X,O,O,X,O,O,X
IZOTLSJ,O,X,X,O,O,X,X,X,X
IZOTJLS,O,X,X,O,O,X,O,O,X
IZOTJSL,O,X,X,O,O,X,O,O,X
IZOTSLJ,O,X,X,O,O,X,O,X,X
IZOTSJL,O,X,X,O,O,X,O,O,X
IZOLTJS,O,X,X,O,X,X,O,X,X
IZOLTSJ,O,X,X,O,X,X,X,X,X
IZOLJTS,O,X,X,O,X,X,O,O,X
IZOLJST,O,X,X,X,X,X,X,X,X
IZOLSTJ,O,X,X,X,X,O,X,X,X
IZOLSJT,O,X,X,X,X,X,X,X,X
IZOJTLS,O,X,X,O,O,X,O,O,X
IZOJTSL,O,X,X,O,O,X,O,O,X
IZOJLTS,O,X,X,O,X,X,O,O,X
IZOJLST,O,X,X,X,X,X,X,X,X
IZOJSTL,O,X,X,O,O,X,O,O,X
IZOJSLT,O,X,X,X,O,X,O,X,X
IZOSTLJ,O,X,X,O,O,X,O,X,X
IZOSTJL,O,X,X,O,O,X,O,X,X
IZOSLTJ,O,X,X,X,O,X,O,X,X
IZOSLJT,O,X,X,X,O,X,O,X,X
IZOSJTL,O,X,X,O,O,X,O,O,X
IZOSJLT,O,X,X,X,O,X,O,X,X
IOTLJSZ,O,O,O,O,X,X,O,X,X
IOTLJZS,X,O,O,O,X,X,O,O,X
IOTLSJZ,O,X,O,O,O,X,O,X,X
IOTLSZJ,O,X,X,X,O,X,O,X,X
IOTLZJS,O,O,X,O,O,X,O,X,X
IOTLZSJ,O,X,X,O,O,X,X,X,X
IOTJLSZ,O,O,O,O,X,X,O,X,X
IOTJLZS,X,O,O,O,X,X,O,O,X
IOTJSLZ,O,X,O,O,X,X,O,X,X
IOTJSZL,O,X,X,O,X,X,O,O,X
IOTJZLS,X,O,X,O,X,X,O,O,X
IOTJZSL,X,X,X,O,X,X,O,O,X
IOTSLJZ,O,X,O,O,O,X,O,X,X
IOTSLZJ,O,X,X,X,O,X,O,X,X
IOTSJLZ,O,X,O,O,O,X,O,X,X
IOTSJZL,O,X,X,O,X,X,O,O,X
IOTSZLJ,O,X,X,O,O,X,O,X,X
IOTSZJL,O,X,X,O,O,X,O,X,X
IOTZLJS,O,O,X,O,O,X,O,O,X
IOTZLSJ,O,X,X,O,O,X,X,X,X
IOTZJLS,O,O,X,O,O,X,O,O,X
IOTZJSL,O,X,X,O,O,X,O,O,X
IOTZSLJ,O,X,X,O,O,X,O,X,X
IOTZSJL,O,X,X,O,O,X,O,O,X
IOLTJSZ,O,O,O,O,X,X,O,X,X
IOLTJZS,X,O,O,O,X,X,O,X,O
IOLTSJZ,O,X,O,O,X,X,O,X,X
IOLTSZJ,O,X,X,X,X,X,O,X,X
IOLTZJS,O,O,X,O,X,X,O,X,O
IOLTZSJ,O,X,X,O,X,X,X,X,X
IOLJTSZ,O,O,O,O,X,X,O,X,X
IOLJTZS,X,O,O,O,X,X,O,X,O
IOLJSTZ,O,O,O,X,X,X,O,X,X
IOLJSZT,O,O,X,X,X,X,O,X,X
IOLJZTS,O,O,O,O,X,X,O,X,O
IOLJZST,O,O,X,X,X,X,X,X,O
IOLSTJZ,O,X,X,X,X,X,O,X,X
IOLSTZJ,O,X,X,X,X,X,O,X,X
IOLSJTZ,O,X,X,X,X,X,O,X,X
IOLSJZT,O,X,X,X,X,X,O,X,X
IOLSZTJ,O,X,X,X,X,X,O,X,X
IOLSZJT,O,X,X,X,X,X,O,X,X
IOLZTJS,O,X,X,O,X,X,O,X,X
IOLZTSJ,O,X,X,O,X,X,X,X,X
IOLZJTS,O,O,X,O,X,X,O,X,O
IOLZJST,O,O,X,X,X,X,X,X,O
IOLZSTJ,O,X,X,X,X,X,X,X,X
IOLZSJT,O,X,X,X,X,X,X,X,X
IOJTLSZ,O,O,O,O,X,X,O,X,X
IOJTLZS,X,O,O,O,X,X,O,O,X
IOJTSLZ,O,X,O,O,X,X,O,X,X
IOJTSZL,O,X,X,O,X,X,O,O,X
IOJTZLS,X,O,X,O,X,X,O,O,X
IOJTZSL,X,X,X,O,X,X,O,O,X
IOJLTSZ,O,O,O,O,X,X,O,X,X
IOJLTZS,X,O,O,O,X,X,O,X,O
IOJLSTZ,O,O,O,X,X,X,O,X,X
IOJLSZT,O,O,X,X,X,X,O,X,X
IOJLZTS,O,O,O,O,X,X,O,X,O
IOJLZST,O,O,X,X,X,X,X,X,O
IOJSTLZ,O,X,O,O,X,X,O,X,X
IOJSTZL,X,X,X,O,X,X,O,X,X
IOJSLTZ,O,O,O,X,X,X,O,X,X
IOJSLZT,O,O,X,X,X,X,O,X,X
IOJSZTL,X,X,X,O,X,X,O,X,X
IOJSZLT,O,X,X,X,X,X,O,X,X
IOJZTLS,O,X,X,O,X,X,O,O,X
IOJZTSL,O,X,X,O,X,X,O,O,X
IOJZLTS,O,O,O,O,X,X,O,O,X
IOJZLST,O,O,X,X,X,X,X,X,X
IOJZSTL,O,X,X,O,X,X,O,O,X
IOJZSLT,O,X,X,X,X,X,O,X,X
IOSTLJZ,O,X,O,O,O,X,O,X,X
IOSTLZJ,O,X,X,X,O,X,O,X,X
IOSTJLZ,O,X,O,O,O,X,O,X,X
IOSTJZL,O,X,X,O,X,X,O,X,X
IOSTZLJ,O,X,X,O,O,X,O,X,X
IOSTZJL,O,X,X,O,O,X,O,X,X
IOSLTJZ,O,X,X,X,O,X,O,X,X
IOSLTZJ,O,X,X,X,O,X,O,X,X
IOSLJTZ,O,X,X,X,X,X,O,X,X
IOSLJZT,O,X,X,X,X,X,O,X,X
IOSLZTJ,O,X,X,X,O,X,O,X,X
IOSLZJT,O,X,X,X,O,X,O,X,X
IOSJTLZ,O,X,O,O,O,X,O,X,X
IOSJTZL,X,X,X,O,X,X,O,X,X
IOSJLTZ,O,X,X,X,X,X,O,X,X
IOSJLZT,O,X,X,X,X,X,O,X,X
IOSJZTL,X,X,X,O,O,X,O,X,X
IOSJZLT,O,X,X,X,O,X,O,X,X
IOSZTLJ,O,X,X,O,O,X,O,X,X
IOSZTJL,O,X,X,O,O,X,O,X,X
IOSZLTJ,O,X,X,X,O,X,O,X,X
IOSZLJT,O,X,X,X,O,X,O,X,X
IOSZJTL,O,X,X,O,O,X,O,X,X
IOSZJLT,O,X,X,X,O,X,O,X,X
IOZTLJS,O,X,X,O,O,X,O,O,X
IOZTLSJ,O,X,X,O,O,X,X,X,X
IOZTJLS,O,X,X,O,O,X,O,O,X
IOZTJSL,O,X,X,O,O,X,O,O,X
IOZTSLJ,O,X,X,O,O,X,O,X,X
IOZTSJL,O,X,X,O,O,X,O,O,X
IOZLTJS,O,X,X,O,X,X,O,X,X
IOZLTSJ,O,X,X,O,X,X,X,X,X
IOZLJTS,O,X,X,O,X,X,O,O,X
IOZLJST,O,X,X,X,X,X,X,X,X
IOZLSTJ,O,X,X,X,X,X,X,X,X
IOZLSJT,O,X,X,X,X,X,X,X,X
IOZJTLS,O,X,X,O,O,X,O,O,X
IOZJTSL,O,X,X,O,O,X,O,O,X
IOZJLTS,O,X,X,O,X,X,O,O,X
IOZJLST,O,X,X,X,X,X,X,X,X
IOZJSTL,O,X,X,O,O,X,O,O,X
IOZJSLT,O,X,X,X,O,X,O,X,X
IOZSTLJ,O,X,X,O,O,X,O,X,X
IOZSTJL,O,X,X,O,O,X,O,X,X
IOZSLTJ,O,X,X,X,O,X,O,X,X
IOZSLJT,O,X,X,X,O,X,O,X,X
IOZSJTL,O,X,X,O,O,X,O,O,X
IOZSJLT,O,X,X,X,O,X,O,X,X
LTIJSZO,O,O,O,X,X,X,O,X,O
LTIJSOZ,O,O,O,O,X,X,O,X,X
LTIJZSO,X,O,O,O,X,X,X,X,O
LTIJZOS,X,O,O,O,X,X,O,X,O
LTIJOSZ,X,O,O,O,X,X,O,X,X
LTIJOZS,X,O,O,O,X,X,O,O,O
LTISJZO,O,O,O,X,O,X,O,X,O
LTISJOZ,O,O,O,O,X,X,O,X,X
LTISZJO,O,O,O,X,O,X,O,X,O
LTISZOJ,X,X,X,X,O,X,O,X,X
LTISOJZ,O,X,O,O,X,X,O,X,X
LTISOZJ,O,X,X,X,O,X,O,X,X
LTIZJSO,O,O,O,O,O,X,X,X,O
LTIZJOS,O,O,O,O,X,X,O,X,O
LTIZSJO,O,O,O,O,O,X,X,X,O
LTIZSOJ,O,X,X,O,O,X,X,X,X
LTIZOJS,O,O,X,O,X,X,O,X,O
LTIZOSJ,O,X,X,O,X,X,X,X,X
LTIOJSZ,O,O,O,O,X,X,O,X,X
LTIOJZS,X,O,O,O,X,X,O,O,O
LTIOSJZ,O,X,O,O,X,X,O,X,X
LTIOSZJ,O,X,X,X,X,X,O,X,X
LTIOZJS,X,O,X,O,X,X,O,X,O
LTIOZSJ,O,X,X,O,X,X,X,X,X
LTJISZO,O,O,O,X,X,X,O,X,O
LTJISOZ,O,O,O,X,X,X,O,X,X
LTJIZSO,X,O,O,X,X,X,X,X,O
LTJIZOS,X,O,O,X,X,X,O,X,O
LTJIOSZ,X,O,O,X,X,X,O,X,X
LTJIOZS,X,O,O,X,X,X,O,O,O
LTJSIZO,O,O,O,X,O,X,X,X,O
LTJSIOZ,O,O,O,X,X,X,X,X,X
LTJSZIO,O,O,O,X,O,X,X,X,O
LTJSZOI,X,O,O,X,O,X,X,X,X
LTJSOIZ,O,O,O,X,X,X,X,X,X
LTJSOZI,O,O,O,X,X,X,X,X,X
LTJZISO,X,O,O,X,O,X,X,X,O
LTJZIOS,X,O,O,X,X,X,X,O,O
LTJZSIO,X,O,O,X,O,X,X,X,O
LTJZSOI,X,O,O,X,O,X,X,X,X
LTJZOIS,X,O,O,X,X,X,X,O,O
LTJZOSI,X,O,O,X,O,X,X,X,X
LTJOISZ,O,O,O,X,X,X,O,X,X
LTJOIZS,X,O,O,X,X,X,O,O,O
LTJOSIZ,O,O,O,X,X,X,X,X,X
LTJOSZI,O,O,O,X,X,X,X,X,X
LTJOZIS,X,O,O,X,X,X,X,O,O
LTJOZSI,X,O,O,X,X,X,X,X,X
LTSIJZO,O,O,O,X,O,X,X,X,O
LTSIJOZ,O,O,O,O,X,X,X,X,X
LTSIZJO,O,O,O,X,O,O,X,X,O
LTSIZOJ,X,X,X,X,O,O,X,X,X
LTSIOJZ,O,X,O,O,X,X,X,X,X
LTSIOZJ,O,X,X,X,O,O,X,X,X
LTSJIZO,O,O,O,X,O,X,X,X,O
LTSJIOZ,O,O,O,X,X,X,X,X,X
LTSJZIO,O,O,O,X,O,O,X,X,O
LTSJZOI,X,O,O,X,O,O,X,X,X
LTSJOIZ,O,O,O,X,X,X,X,X,X
LTSJOZI,O,O,O,X,X,O,X,X,X
LTSZIJO,O,O,O,X,O,O,X,X,O
LTSZIOJ,X,X,X,X,O,O,X,X,X
LTSZJIO,O,O,O,X,O,O,X,X,O
LTSZJOI,X,O,O,X,O,O,X,X,X
LTSZOIJ,O,X,X,X,O,O,X,X,X
LTSZOJI,O,O,O,X,O,O,X,X,X
LTSOIJZ,O,X,O,O,X,X,X,X,X
LTSOIZJ,O,X,X,X,O,O,X,X,X
LTSOJIZ,O,O,O,X,X,X,X,X,X
LTSOJZI,O,O,O,X,X,O,X,X,X
LTSOZIJ,O,X,X,X,O,O,X,X,X
LTSOZJI,O,O,O,X,O,O,X,X,X
LTZIJSO,O,O,O,X,O,X,X,X,O
LTZIJOS,O,O,O,X,X,X,X,O,O
LTZISJO,O,O,O,X,O,O,X,X,O
LTZISOJ,O,X,X,X,O,O,X,X,X
LTZIOJS,O,O,X,X,X,X,X,O,O
LTZIOSJ,O,X,X,X,X,X,X,X,X
LTZJISO,O,O,O,X,O,X,X,X,O
LTZJIOS,O,O,O,X,X,X,X,O,O
LTZJSIO,O,O,O,X,O,X,X,X,O
LTZJSOI,O,O,O,X,O,X,X,X,X
LTZJOIS,O,O,O,X,X,X,X,O,O
LTZJOSI,O,O,O,X,O,X,X,X,X
LTZSIJO,O,O,O,X,O,O,X,X,O
LTZSIOJ,O,X,X,X,O,O,X,X,X
LTZSJIO,O,O,O,X,O,O,X,X,O
LTZSJOI,O,O,O,X,O,O,X,X,X
LTZSOIJ,O,X,X,X,O,O,X,X,X
LTZSOJI,O,O,O,X,O,O,X,X,X
LTZOIJS,O,O,X,X,X,X,X,O,O
LTZOISJ,O,X,X,X,X,X,X,X,X
