sequence,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeuAJvhFzd?B5jBlhBKrBXnBUsB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8Jez7IvhFuh?B5jBliBarB8rB3sB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeuAJvhF3c?BzdB5jBVnBKrBUsB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeuAJvhFzd?B5jB/rBFnBirBUsB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeWBJvhFid?B5jB3iBFmBUsBTrB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeC8IvhFmd?B5jBXhBTiBcrBVxB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeuAJvhFch?BidB5jBFnBTrB3sB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeuBJvhF5j?BzgBliB8rBarB3sB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeWBJvhFid?B5jBUmBFnB3sBTrB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeC8IvhF5j?BXhBFnBTrBOsB8sB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeF9IvhF8i?B5jBzgBfnBarBWxB
ILTOSJZ,O,X,O,X,X,X,X,X,X,X,X
ILTOSZJ,O,X,O,X,X,X,X,X,X,X,X
ILTOZJS,O,O,O,X,X,O,X,X,X,X,X
ILTOZSJ,X,O,O,X,X,O,X,X,X,X,X
ILJTSZO,O,X,O,O,X,X,X,X,X,X,X
ILJTSOZ,O,X,O,O,X,X,X,X,X,X,X
ILJTZSO,X,X,O,X,X,O,X,X,X,X,X
ILJTZOS,O,X,O,X,X,X,X,X,X,X,X
ILJTOSZ,O,X,O,O,X,X,X,X,X,X,X
ILJTOZS,O,X,O,X,X,O,X,X,X,X,X
ILJSTZO,O,X,O,O,X,X,X,X,X,X,X
ILJSTOZ,O,X,O,O,X,X,X,X,X,X,X
ILJSZTO,O,X,O,X,X,X,X,X,X,X,O
ILJSZOT,O,X,X,X,X,X,X,X,X,X,O
ILJSOTZ,O,X,O,O,X,X,X,X,X,X,X
ILJSOZT,O,X,X,X,X,X,X,X,X,X,O
ILJZTSO,X,O,O,X,X,X,X,X,X,X,X
ILJZTOS,O,O,O,X,X,X,X,X,X,X,X
ILJZSTO,O,O,O,X,X,X,X,X,X,X,O
ILJZSOT,O,O,X,X,X,X,X,X,X,X,O
ILJZOTS,O,O,O,X,X,X,X,X,X,X,X
ILJZOST,O,O,X,X,X,X,X,X,X,X,O
ILJOTSZ,O,X,O,O,X,X,X,X,X,X,X
ILJOTZS,O,X,O,X,X,O,X,X,X,X,X
ILJOSTZ,O,X,O,O,X,X,X,X,X,X,X
ILJOSZT,O,X,X,X,X,X,X,X,X,X,O
ILJOZTS,O,O,O,X,X,X,O,X,X,X,X
ILJOZST,O,O,X,X,X,X,X,X,X,X,O
ILSTJZO,O,X,O,O,X,X,X,X,X,X,X
ILSTJOZ,O,X,O,O,X,X,X,X,X,X,X
ILSTZJO,O,X,O,X,O,X,X,X,X,X,X
ILSTZOJ,O,X,O,X,O,X,X,X,X,X,X
ILSTOJZ,O,X,O,O,X,X,X,X,X,X,X
ILSTOZJ,O,X,O,X,X,X,X,X,X,X,X
ILSJTZO,O,X,O,O,X,X,X,X,X,X,X
ILSJTOZ,O,X,O,O,X,X,X,X,X,X,X
ILSJZTO,O,X,O,X,O,X,X,X,X,X,X
ILSJZOT,O,X,X,X,X,X,X,X,X,X,X
ILSJOTZ,O,X,O,O,X,X,X,X,X,X,X
ILSJOZT,O,X,X,X,X,X,X,X,X,X,X
ILSZTJO,O,O,O,X,O,X,X,X,X,X,X
ILSZTOJ,O,O,O,X,O,X,X,X,X,X,X
ILSZJTO,O,O,O,X,O,X,X,X,X,X,X
ILSZJOT,O,O,X,X,X,X,X,X,X,X,X
ILSZOTJ,O,O,X,X,O,X,X,X,X,X,X
ILSZOJT,O,O,X,X,X,X,X,X,X,X,X
ILSOTJZ,O,X,O,O,X,X,X,X,X,X,X
ILSOTZJ,O,X,O,X,X,X,X,X,X,X,X
ILSOJTZ,O,X,O,O,X,X,X,X,X,X,X
ILSOJZT,O,X,X,X,X,X,X,X,X,X,X
ILSOZTJ,O,O,X,X,O,X,X,X,X,X,X
ILSOZJT,O,O,X,X,X,X,X,X,X,X,X
ILZTJSO,X,O,O,X,O,X,X,X,O,X,X
ILZTJOS,O,O,O,X,X,X,X,O,X,X,X
ILZTSJO,X,O,O,X,O,X,X,X,O,X,X
ILZTSOJ,X,O,O,X,O,X,X,X,O,X,X
ILZTOJS,O,O,O,X,X,X,X,O,X,X,X
ILZTOSJ,X,O,O,X,X,X,X,X,X,X,X
ILZJTSO,X,O,O,X,X,X,X,X,O,X,X
ILZJTOS,O,O,O,X,X,X,X,O,X,X,X
ILZJSTO,O,O,O,X,X,X,X,X,X,X,O
ILZJSOT,O,O,X,X,X,X,X,X,X,X,O
ILZJOTS,O,O,O,X,X,X,X,O,X,X,X
ILZJOST,O,O,X,X,X,X,X,X,X,X,O
ILZSTJO,O,O,O,X,O,X,X,X,X,X,X
ILZSTOJ,O,O,O,X,O,X,X,X,X,X,X
ILZSJTO,O,O,O,X,O,X,X,X,X,X,X
ILZSJOT,O,O,X,X,X,X,X,X,X,X,X
ILZSOTJ,O,O,X,X,O,X,X,X,X,X,X
ILZSOJT,O,O,X,X,X,X,X,X,X,X,X
ILZOTJS,O,O,O,X,X,X,X,O,X,X,X
ILZOTSJ,X,O,O,X,X,X,X,X,X,X,X
ILZOJTS,O,O,O,X,X,X,X,O,X,X,X
ILZOJST,O,O,X,X,X,X,X,X,X,X,O
ILZOSTJ,O,O,X,X,X,X,X,X,X,X,X
ILZOSJT,O,O,X,X,X,X,X,X,X,X,X
ILOTJSZ,O,X,O,O,X,X,X,X,X,X,X
ILOTJZS,O,X,O,X,X,O,O,X,X,X,X
ILOTSJZ,O,X,O,X,X,X,X,X,X,O,X
ILOTSZJ,O,X,O,X,X,X,O,X,X,O,X
ILOTZJS,O,O,O,X,X,O,O,X,X,X,X
ILOTZSJ,X,O,O,X,X,O,O,X,X,X,X
ILOJTSZ,O,X,O,O,X,X,X,X,X,X,X
ILOJTZS,O,X,O,X,X,O,X,X,X,X,X
ILOJSTZ,O,X,O,O,X,X,X,X,X,X,X
ILOJSZT,O,X,X,X,X,X,X,X,X,X,O
ILOJZTS,O,O,O,X,X,X,O,X,X,X,X
ILOJZST,O,O,X,X,X,X,X,X,X,X,O
ILOSTJZ,O,X,O,O,X,X,X,X,X,O,X
ILOSTZJ,O,X,O,X,X,X,X,X,X,O,X
ILOSJTZ,O,X,O,O,X,X,X,X,X,O,X
ILOSJZT,O,X,X,X,X,X,X,X,X,X,X
ILOSZTJ,O,O,X,X,X,X,X,X,X,O,X
ILOSZJT,O,O,X,X,X,X,X,X,X,X,X
ILOZTJS,O,O,O,X,X,X,O,O,X,X,X
ILOZTSJ,X,O,O,X,X,X,O,X,X,X,X
ILOZJTS,O,O,O,X,X,X,O,O,X,X,X
ILOZJST,O,O,X,X,X,X,X,X,X,X,O
ILOZSTJ,O,O,X,X,X,X,X,X,X,X,X
ILOZSJT,O,O,X,X,X,X,X,X,X,X,X
IJTLSZO,O,X,O,O,X,X,X,X,X,X,X
IJTLSOZ,O,X,O,O,X,X,X,X,X,X,X
IJTLZSO,X,X,O,X,O,O,X,X,X,X,X
IJTLZOS,O,X,O,X,X,X,X,X,X,X,X
IJTLOSZ,O,X,O,O,X,X,X,X,X,X,X
IJTLOZS,O,X,O,X,X,O,X,X,X,X,X
IJTSLZO,O,X,X,O,X,X,X,X,X,X,X
IJTSLOZ,O,X,O,O,X,X,X,X,X,X,X
IJTSZLO,X,X,X,O,O,O,X,X,X,X,O
IJTSZOL,X,X,O,O,O,O,X,X,X,X,O
IJTSOLZ,O,X,O,O,X,X,X,X,X,X,X
IJTSOZL,X,X,O,O,X,O,X,X,X,X,O
IJTZLSO,X,O,X,X,O,O,X,X,O,X,X
IJTZLOS,X,O,X,X,X,X,X,O,X,X,X
IJTZSLO,X,O,X,O,O,O,X,X,O,X,O
IJTZSOL,X,X,O,O,O,O,X,O,O,X,O
IJTZOLS,X,O,X,X,X,O,X,O,X,X,X
IJTZOSL,X,X,O,O,O,O,X,O,O,X,O
IJTOLSZ,O,X,O,O,X,X,X,X,X,X,X
IJTOLZS,O,X,O,X,X,O,X,X,X,X,X
IJTOSLZ,O,X,O,O,X,X,X,X,X,X,X
IJTOSZL,X,X,O,O,X,O,X,X,X,X,O
IJTOZLS,X,X,X,X,X,O,O,X,X,X,X
IJTOZSL,X,X,O,O,O,O,O,X,X,X,O
IJLTSZO,O,X,O,O,X,X,X,X,X,X,X
IJLTSOZ,O,X,O,O,X,X,X,X,X,X,X
IJLTZSO,X,X,O,X,X,O,X,X,X,X,X
IJLTZOS,O,X,O,X,X,X,X,X,X,X,X
IJLTOSZ,O,X,O,O,X,X,X,X,X,X,X
IJLTOZS,O,X,O,X,X,O,X,X,X,X,X
IJLSTZO,O,X,O,O,X,X,X,X,X,X,X
IJLSTOZ,O,X,O,O,X,X,X,X,X,X,X
IJLSZTO,O,X,O,X,X,X,X,X,X,X,O
IJLSZOT,O,X,X,X,X,X,X,X,X,X,O
IJLSOTZ,O,X,O,O,X,X,X,X,X,X,X
IJLSOZT,O,X,X,X,X,X,X,X,X,X,O
IJLZTSO,X,O,O,X,X,X,X,X,X,X,X
IJLZTOS,O,O,O,X,X,X,X,X,X,X,X
IJLZSTO,O,O,O,X,X,X,X,X,X,X,O
IJLZSOT,O,O,X,X,X,X,X,X,X,X,O
IJLZOTS,O,O,O,X,X,X,X,X,X,X,X
IJLZOST,O,O,X,X,X,X,X,X,X,X,O
IJLOTSZ,O,X,O,O,X,X,X,X,X,X,X
IJLOTZS,O,X,O,X,X,O,X,X,X,X,X
IJLOSTZ,O,X,O,O,X,X,X,X,X,X,X
IJLOSZT,O,X,X,X,X,X,X,X,X,X,O
IJLOZTS,O,O,O,X,X,X,O,X,X,X,X
IJLOZST,O,O,X,X,X,X,X,X,X,X,O
IJSTLZO,O,X,X,O,X,X,X,X,X,X,X
IJSTLOZ,O,X,O,O,X,X,X,X,X,X,X
IJSTZLO,X,X,X,O,O,O,X,X,X,X,O
IJSTZOL,X,X,O,O,O,O,X,X,X,X,O
IJSTOLZ,O,X,O,O,X,X,X,X,X,X,X
IJSTOZL,X,X,O,O,X,O,X,X,X,X,O
IJSLTZO,O,X,O,O,X,X,X,X,X,X,X
IJSLTOZ,O,X,O,O,X,X,X,X,X,X,X
IJSLZTO,O,X,O,X,O,X,X,X,X,X,O
IJSLZOT,O,X,X,X,X,X,X,X,X,X,O
IJSLOTZ,O,X,O,O,X,X,X,X,X,X,X
IJSLOZT,O,X,X,X,X,X,X,X,X,X,O
IJSZTLO,X,X,X,O,O,X,X,X,X,X,O
IJSZTOL,X,X,X,O,O,X,X,X,X,X,O
IJSZLTO,O,X,X,X,O,X,X,X,X,X,O
IJSZLOT,O,X,X,X,X,X,X,X,X,X,O
IJSZOTL,X,X,X,O,X,X,X,X,X,X,O
IJSZOLT,O,X,X,X,X,X,X,X,X,X,O
IJSOTLZ,O,X,O,O,X,X,X,X,X,X,X
IJSOTZL,X,X,O,O,X,O,X,X,X,X,O
IJSOLTZ,O,X,O,O,X,X,X,X,X,X,X
IJSOLZT,O,X,X,X,X,X,X,X,X,X,O
IJSOZTL,X,X,X,O,X,X,O,X,X,X,O
IJSOZLT,O,X,X,X,X,X,X,X,X,X,O
IJZTLSO,X,O,O,X,O,O,X,X,O,X,X
IJZTLOS,X,O,O,X,X,X,X,O,X,X,X
IJZTSLO,X,O,X,O,O,O,X,X,O,X,O
IJZTSOL,X,X,O,O,O,O,X,O,O,X,O
IJZTOLS,X,O,O,X,X,O,X,O,X,X,X
IJZTOSL,X,X,O,O,O,O,X,O,O,X,O
IJZLTSO,X,O,O,X,X,X,X,X,O,X,X
IJZLTOS,O,O,O,X,X,X,X,O,X,X,X
IJZLSTO,O,O,O,X,X,X,X,X,X,X,O
IJZLSOT,O,O,X,X,X,X,X,X,X,X,O
IJZLOTS,O,O,O,X,X,X,X,O,X,X,X
IJZLOST,O,O,X,X,X,X,X,X,X,X,O
IJZSTLO,X,O,X,O,O,X,X,X,O,X,O
IJZSTOL,X,X,X,O,O,X,X,O,O,X,O
IJZSLTO,O,O,X,X,O,X,X,X,X,X,O
IJZSLOT,O,O,X,X,X,X,X,X,X,X,O
IJZSOTL,X,X,X,O,X,X,X,O,X,X,O
IJZSOLT,O,X,X,X,X,X,X,X,X,X,O
IJZOTLS,X,O,O,X,X,O,O,O,X,X,X
IJZOTSL,X,X,O,O,X,O,O,O,O,X,O
IJZOLTS,O,O,O,X,X,X,O,O,X,X,X
IJZOLST,O,O,X,X,X,X,X,X,X,X,O
IJZOSTL,X,X,X,O,X,X,O,O,X,X,O
IJZOSLT,O,X,X,X,X,X,X,X,X,X,O
IJOTLSZ,O,X,O,O,X,X,X,X,X,X,X
IJOTLZS,O,X,O,X,X,O,O,X,X,X,X
IJOTSLZ,O,X,O,O,X,X,X,X,X,O,X
IJOTSZL,X,X,O,O,X,O,X,X,X,O,O
IJOTZLS,X,X,X,X,X,O,O,X,X,X,X
IJOTZSL,X,X,O,O,X,O,O,X,X,X,O
IJOLTSZ,O,X,O,O,X,X,X,X,X,X,X
IJOLTZS,O,X,O,X,X,O,X,X,X,X,X
IJOLSTZ,O,X,O,O,X,X,X,X,X,X,X
IJOLSZT,O,X,X,X,X,X,X,X,X,X,O
IJOLZTS,O,X,O,X,X,X,O,X,X,X,X
IJOLZST,O,X,X,X,X,X,X,X,X,X,O
IJOSTLZ,O,X,O,O,X,X,X,X,X,O,X
IJOSTZL,X,X,O,O,X,O,X,X,X,O,O
IJOSLTZ,O,X,O,O,X,X,X,X,X,O,X
IJOSLZT,O,X,X,X,X,X,X,X,X,X,O
IJOSZTL,X,X,X,O,X,X,O,X,X,X,O
IJOSZLT,O,X,X,X,X,X,X,X,X,X,O
IJOZTLS,X,X,O,X,X,O,O,O,X,X,X
IJOZTSL,X,X,O,O,X,O,O,O,X,X,O
IJOZLTS,O,X,O,X,X,X,O,O,X,X,X
IJOZLST,O,X,X,X,X,X,X,X,X,X,O
IJOZSTL,X,X,X,O,X,X,O,O,X,X,O
IJOZSLT,O,X,X,X,X,X,X,X,X,X,O
ISTLJZO,O,X,O,O,X,X,X,X,X,X,X
ISTLJOZ,O,X,O,O,X,X,X,X,X,X,X
ISTLZJO,O,X,O,X,O,X,X,X,X,X,X
ISTLZOJ,O,X,O,X,O,X,X,X,X,X,X
ISTLOJZ,O,X,O,O,X,X,X,X,X,X,X
ISTLOZJ,O,X,O,X,X,X,X,X,X,X,X
ISTJLZO,O,X,X,O,X,X,X,X,X,X,X
ISTJLOZ,O,X,O,O,X,X,X,X,X,X,X
ISTJZLO,X,X,X,O,O,O,X,X,X,X,X
ISTJZOL,X,X,O,O,O,O,X,X,X,X,X
ISTJOLZ,O,X,O,O,X,X,X,X,X,X,X
ISTJOZL,X,X,O,O,X,O,X,X,X,X,X
ISTZLJO,X,O,X,X,O,O,X,X,O,X,X
ISTZLOJ,X,O,X,X,O,O,X,X,O,X,X
ISTZJLO,X,O,X,O,O,O,X,X,O,X,X
ISTZJOL,X,X,O,O,O,O,X,O,O,X,X
ISTZOLJ,X,X,X,X,O,O,X,X,O,X,X
ISTZOJL,X,X,O,O,O,O,X,O,O,X,X
ISTOLJZ,O,X,O,O,X,X,X,X,X,X,X
ISTOLZJ,O,X,O,X,X,X,X,X,X,X,X
ISTOJLZ,O,X,O,O,X,X,X,X,X,X,X
ISTOJZL,X,X,O,O,X,O,X,X,X,X,X
ISTOZLJ,X,X,X,X,O,O,X,X,X,X,X
ISTOZJL,X,X,O,O,O,O,X,X,X,X,X
ISLTJZO,O,X,O,O,X,X,X,X,X,X,X
ISLTJOZ,O,X,O,O,X,X,X,X,X,X,X
ISLTZJO,O,X,O,X,O,X,X,X,X,X,X
ISLTZOJ,O,X,O,X,O,X,X,X,X,X,X
ISLTOJZ,O,X,O,O,X,X,X,X,X,X,X
ISLTOZJ,O,X,O,X,X,X,X,X,X,X,X
ISLJTZO,O,X,O,O,X,X,X,X,X,X,X
ISLJTOZ,O,X,O,O,X,X,X,X,X,X,X
ISLJZTO,O,X,O,X,O,X,X,X,X,X,X
ISLJZOT,O,X,X,X,X,X,X,X,X,X,X
ISLJOTZ,O,X,O,O,X,X,X,X,X,X,X
ISLJOZT,O,X,X,X,X,X,X,X,X,X,X
ISLZTJO,O,O,O,X,O,X,X,X,X,X,X
ISLZTOJ,O,O,O,X,O,X,X,X,X,X,X
ISLZJTO,O,O,O,X,O,X,X,X,X,X,X
ISLZJOT,O,O,X,X,X,X,X,X,X,X,X
ISLZOTJ,O,O,X,X,O,X,X,X,X,X,X
ISLZOJT,O,O,X,X,X,X,X,X,X,X,X
ISLOTJZ,O,X,O,O,X,X,X,X,X,X,X
ISLOTZJ,O,X,O,X,X,X,X,X,X,X,X
ISLOJTZ,O,X,O,O,X,X,X,X,X,X,X
ISLOJZT,O,X,X,X,X,X,X,X,X,X,X
ISLOZTJ,O,O,X,X,O,X,X,X,X,X,X
ISLOZJT,O,O,X,X,X,X,X,X,X,X,X
ISJTLZO,O,X,X,O,X,X,X,X,X,X,X
ISJTLOZ,O,X,O,O,X,X,X,X,X,X,X
ISJTZLO,X,X,X,O,O,O,X,X,X,X,O
ISJTZOL,X,X,O,O,O,O,X,X,X,X,O
ISJTOLZ,O,X,O,O,X,X,X,X,X,X,X
ISJTOZL,X,X,O,O,X,O,X,X,X,X,O
ISJLTZO,O,X,O,O,X,X,X,X,X,X,X
ISJLTOZ,O,X,O,O,X,X,X,X,X,X,X
ISJLZTO,O,X,O,X,O,X,X,X,X,X,O
ISJLZOT,O,X,X,X,X,X,X,X,X,X,O
ISJLOTZ,O,X,O,O,X,X,X,X,X,X,X
ISJLOZT,O,X,X,X,X,X,X,X,X,X,O
ISJZTLO,X,X,X,O,O,X,X,X,X,X,O
ISJZTOL,X,X,X,O,O,X,X,X,X,X,O
ISJZLTO,O,X,X,X,O,X,X,X,X,X,O
ISJZLOT,O,X,X,X,X,X,X,X,X,X,O
ISJZOTL,X,X,X,O,X,X,X,X,X,X,O
ISJZOLT,O,X,X,X,X,X,X,X,X,X,O
ISJOTLZ,O,X,O,O,X,X,X,X,X,X,X
ISJOTZL,X,X,O,O,X,O,X,X,X,X,O
ISJOLTZ,O,X,O,O,X,X,X,X,X,X,X
ISJOLZT,O,X,X,X,X,X,X,X,X,X,O
ISJOZTL,X,X,X,O,X,X,O,X,X,X,O
ISJOZLT,O,X,X,X,X,X,X,X,X,X,O
ISZTLJO,X,O,O,X,O,X,X,X,O,X,X
ISZTLOJ,X,O,O,X,O,X,X,X,O,X,X
ISZTJLO,X,O,X,O,O,X,X,X,O,X,X
ISZTJOL,X,X,X,O,O,X,X,O,O,X,X
ISZTOLJ,X,X,O,X,O,X,X,X,O,X,X
ISZTOJL,X,X,X,O,O,X,X,O,O,X,X
ISZLTJO,O,O,O,X,O,X,X,X,X,X,X
ISZLTOJ,O,O,O,X,O,X,X,X,X,X,X
ISZLJTO,O,O,O,X,O,X,X,X,X,X,X
ISZLJOT,O,O,X,X,X,X,X,X,X,X,X
ISZLOTJ,O,O,X,X,O,X,X,X,X,X,X
ISZLOJT,O,O,X,X,X,X,X,X,X,X,X
ISZJTLO,X,O,X,O,O,X,X,X,O,X,O
ISZJTOL,X,X,X,O,O,X,X,O,O,X,O
ISZJLTO,O,O,X,X,O,X,X,X,X,X,O
ISZJLOT,O,O,X,X,X,X,X,X,X,X,O
ISZJOTL,X,X,X,O,X,X,X,O,X,X,O
ISZJOLT,O,X,X,X,X,X,X,X,X,X,O
ISZOTLJ,X,X,O,X,O,X,X,X,X,X,X
ISZOTJL,X,X,X,O,O,X,X,O,X,X,X
ISZOLTJ,O,X,X,X,O,X,X,X,X,X,X
ISZOLJT,O,X,X,X,X,X,X,X,X,X,X
ISZOJTL,X,X,X,O,X,X,X,O,X,X,O
ISZOJLT,O,X,X,X,X,X,X,X,X,X,O
ISOTLJZ,O,X,O,O,X,X,X,X,X,O,X
ISOTLZJ,O,X,O,X,X,X,O,X,X,O,X
ISOTJLZ,O,X,O,O,X,X,X,X,X,O,X
ISOTJZL,X,X,O,O,X,O,X,X,X,O,X
ISOTZLJ,X,X,X,X,O,O,O,X,X,O,X
ISOTZJL,X,X,O,O,O,O,O,X,X,O,X
ISOLTJZ,O,X,O,O,X,X,X,X,X,O,X
ISOLTZJ,O,X,O,X,X,X,X,X,X,O,X
ISOLJTZ,O,X,O,O,X,X,X,X,X,O,X
ISOLJZT,O,X,X,X,X,X,X,X,X,X,X
ISOLZTJ,O,X,X,X,O,X,X,X,X,O,X
ISOLZJT,O,X,X,X,X,X,X,X,X,X,X
ISOJTLZ,O,X,O,O,X,X,X,X,X,O,X
ISOJTZL,X,X,O,O,X,O,X,X,X,O,O
ISOJLTZ,O,X,O,O,X,X,X,X,X,O,X
ISOJLZT,O,X,X,X,X,X,X,X,X,X,O
ISOJZTL,X,X,X,O,X,X,O,X,X,X,O
ISOJZLT,O,X,X,X,X,X,X,X,X,X,O
ISOZTLJ,X,X,O,X,O,X,O,X,X,O,X
ISOZTJL,X,X,X,O,O,X,O,O,X,O,X
ISOZLTJ,O,X,X,X,O,X,X,X,X,O,X
ISOZLJT,O,X,X,X,X,X,X,X,X,X,X
ISOZJTL,X,X,X,O,X,X,O,O,X,X,O
ISOZJLT,O,X,X,X,X,X,X,X,X,X,O
IZTLJSO,X,O,O,X,O,O,X,X,O,X,X
IZTLJOS,X,O,O,X,X,X,X,O,X,X,X
IZTLSJO,X,O,O,X,O,O,X,X,O,X,X
IZTLSOJ,X,O,O,X,O,O,X,X,O,X,X
IZTLOJS,X,O,O,X,X,O,X,O,X,X,X
IZTLOSJ,X,O,O,X,X,O,X,X,X,X,X
IZTJLSO,X,O,O,X,O,O,X,X,O,X,X
IZTJLOS,X,O,O,X,X,X,X,O,X,X,X
IZTJSLO,X,O,X,O,O,O,X,X,O,X,O
IZTJSOL,X,X,O,O,O,O,X,O,O,X,O
IZTJOLS,X,O,O,X,X,O,X,O,X,X,X
IZTJOSL,X,X,O,O,O,O,X,O,O,X,O
IZTSLJO,X,O,O,X,O,O,X,X,O,X,X
IZTSLOJ,X,O,O,X,O,O,X,X,O,X,X
IZTSJLO,X,O,X,X,O,O,X,X,O,X,X
IZTSJOL,X,X,O,X,O,O,X,O,O,X,X
IZTSOLJ,X,X,O,X,O,O,X,X,O,X,X
IZTSOJL,X,X,O,X,O,O,X,O,O,X,X
IZTOLJS,X,O,O,X,X,O,X,O,X,X,X
IZTOLSJ,X,O,O,X,X,O,X,X,X,X,X
IZTOJLS,X,O,O,X,X,O,X,O,X,X,X
IZTOJSL,X,X,O,O,O,O,X,O,O,X,O
IZTOSLJ,X,X,O,X,O,O,X,X,O,X,X
IZTOSJL,X,X,O,X,O,O,X,O,O,X,X
IZLTJSO,X,O,O,X,O,X,X,X,O,X,X
IZLTJOS,O,O,O,X,X,X,X,O,X,X,X
IZLTSJO,X,O,O,X,O,X,X,X,O,X,X
IZLTSOJ,X,O,O,X,O,X,X,X,O,X,X
IZLTOJS,O,O,O,X,X,X,X,O,X,X,X
IZLTOSJ,X,O,O,X,X,X,X,X,X,X,X
IZLJTSO,X,O,O,X,X,X,X,X,O,X,X
IZLJTOS,O,O,O,X,X,X,X,O,X,X,X
IZLJSTO,O,O,O,X,X,X,X,X,X,X,O
IZLJSOT,O,O,X,X,X,X,X,X,X,X,O
IZLJOTS,O,O,O,X,X,X,X,O,X,X,X
IZLJOST,O,O,X,X,X,X,X,X,X,X,O
IZLSTJO,O,O,O,X,O,X,X,X,X,X,X
IZLSTOJ,O,O,O,X,O,X,X,X,X,X,X
IZLSJTO,O,O,O,X,O,X,X,X,X,X,X
IZLSJOT,O,O,X,X,X,X,X,X,X,X,X
IZLSOTJ,O,O,X,X,O,X,X,X,X,X,X
IZLSOJT,O,O,X,X,X,X,X,X,X,X,X
IZLOTJS,O,O,O,X,X,X,X,O,X,X,X
IZLOTSJ,X,O,O,X,X,X,X,X,X,X,X
IZLOJTS,O,O,O,X,X,X,X,O,X,X,X
IZLOJST,O,O,X,X,X,X,X,X,X,X,O
IZLOSTJ,O,O,X,X,X,X,X,X,X,X,X
IZLOSJT,O,O,X,X,X,X,X,X,X,X,X
IZJTLSO,X,O,O,X,O,O,X,X,O,X,X
IZJTLOS,X,O,O,X,X,X,X,O,X,X,X
IZJTSLO,X,O,X,O,O,O,X,X,O,X,O
IZJTSOL,X,X,O,O,O,O,X,O,O,X,O
IZJTOLS,X,O,O,X,X,O,X,O,X,X,X
IZJTOSL,X,X,O,O,O,O,X,O,O,X,O
IZJLTSO,X,O,O,X,X,X,X,X,O,X,X
IZJLTOS,O,O,O,X,X,X,X,O,X,X,X
IZJLSTO,O,O,O,X,X,X,X,X,X,X,O
IZJLSOT,O,O,X,X,X,X,X,X,X,X,O
IZJLOTS,O,O,O,X,X,X,X,O,X,X,X
IZJLOST,O,O,X,X,X,X,X,X,X,X,O
IZJSTLO,X,O,X,O,O,X,X,X,O,X,O
IZJSTOL,X,X,X,O,O,X,X,O,O,X,O
IZJSLTO,O,O,X,X,O,X,X,X,X,X,O
IZJSLOT,O,O,X,X,X,X,X,X,X,X,O
IZJSOTL,X,X,X,O,X,X,X,O,X,X,O
IZJSOLT,O,X,X,X,X,X,X,X,X,X,O
IZJOTLS,X,O,O,X,X,O,O,O,X,X,X
IZJOTSL,X,X,O,O,X,O,O,O,O,X,O
IZJOLTS,O,O,O,X,X,X,O,O,X,X,X
IZJOLST,O,O,X,X,X,X,X,X,X,X,O
IZJOSTL,X,X,X,O,X,X,O,O,X,X,O
IZJOSLT,O,X,X,X,X,X,X,X,X,X,O
IZSTLJO,X,O,O,X,O,X,X,X,O,X,X
IZSTLOJ,X,O,O,X,O,X,X,X,O,X,X
IZSTJLO,X,O,X,O,O,X,X,X,O,X,X
IZSTJOL,X,X,X,O,O,X,X,O,O,X,X
IZSTOLJ,X,X,O,X,O,X,X,X,O,X,X
IZSTOJL,X,X,X,O,O,X,X,O,O,X,X
IZSLTJO,O,O,O,X,O,X,X,X,X,X,X
IZSLTOJ,O,O,O,X,O,X,X,X,X,X,X
IZSLJTO,O,O,O,X,O,X,X,X,X,X,X
IZSLJOT,O,O,X,X,X,X,X,X,X,X,X
IZSLOTJ,O,O,X,X,O,X,X,X,X,X,X
IZSLOJT,O,O,X,X,X,X,X,X,X,X,X
IZSJTLO,X,O,X,O,O,X,X,X,O,X,O
IZSJTOL,X,X,X,O,O,X,X,O,O,X,O
IZSJLTO,O,O,X,X,O,X,X,X,X,X,O
IZSJLOT,O,O,X,X,X,X,X,X,X,X,O
IZSJOTL,X,X,X,O,X,X,X,O,X,X,O
IZSJOLT,O,X,X,X,X,X,X,X,X,X,O
IZSOTLJ,X,X,O,X,O,X,X,X,X,X,X
IZSOTJL,X,X,X,O,O,X,X,O,X,X,X
IZSOLTJ,O,X,X,X,O,X,X,X,X,X,X
IZSOLJT,O,X,X,X,X,X,X,X,X,X,X
IZSOJTL,X,X,X,O,X,X,X,O,X,X,O
IZSOJLT,O,X,X,X,X,X,X,X,X,X,O
IZOTLJS,X,O,O,X,X,O,O,O,X,X,X
IZOTLSJ,X,O,O,X,X,O,O,X,X,X,X
IZOTJLS,X,O,O,X,X,O,O,O,X,X,X
