sequence,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFmgBzhBfoB6oB0l?BFsB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhF/lBamBzhBGjBUo?BFsB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFigBUiBGjBzlBfs?BVyB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFTgBemBUiBFjBfs?BSyB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhF/lBUhBFiB6oBzn?BmrB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFTgBymBGjBUoBXm?BFsB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFigBFiB8nB+oBzl?BfsB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFTgBmhBSoBXmBUo?BFsB
TSOIZLJ,O,O,O,X,X,X,X,X
TSOIZJL,O,O,O,X,X,X,X,X
TSOLIJZ,X,X,O,X,X,X,X,O
TSOLIZJ,O,O,O,X,X,X,X,X
TSOLJIZ,X,X,O,X,X,X,X,O
TSOLJZI,X,X,O,X,X,X,X,X
TSOLZIJ,O,O,O,X,X,X,X,X
TSOLZJI,O,O,O,X,X,X,X,X
TSOJILZ,X,X,O,X,X,X,X,O
TSOJIZL,X,X,O,X,X,X,X,X
TSOJLIZ,X,X,O,X,X,X,X,O
TSOJLZI,X,X,O,X,X,X,X,X
TSOJZIL,X,X,O,X,X,X,X,X
TSOJZLI,X,X,O,X,X,X,X,X
TSOZILJ,O,O,O,X,X,X,X,X
TSOZIJL,O,O,O,X,X,X,X,X
TSOZLIJ,O,O,O,X,X,X,X,X
TSOZLJI,O,O,O,X,X,X,X,X
TSOZJIL,O,O,O,X,X,X,X,X
TSOZJLI,O,O,O,X,X,X,X,X
TZILJSO,X,X,X,X,X,X,X,X
TZILJOS,X,X,X,X,X,O,X,X
TZILSJO,X,X,X,X,X,X,X,X
TZILSOJ,X,X,X,X,X,X,X,X
TZILOJS,X,X,X,X,X,O,X,X
TZILOSJ,X,X,X,X,X,X,X,X
TZIJLSO,X,X,X,X,X,X,X,X
TZIJLOS,X,X,X,X,X,O,X,X
TZIJSLO,O,O,X,X,X,X,X,X
TZIJSOL,O,O,X,X,X,X,X,X
TZIJOLS,X,X,X,X,X,O,X,X
TZIJOSL,O,O,X,X,X,X,X,X
TZISLJO,O,O,X,X,X,X,X,X
TZISLOJ,O,O,X,X,X,X,X,X
TZISJLO,O,O,X,X,X,X,X,X
TZISJOL,O,O,X,X,X,X,X,X
