sequence,v115@zgC8FeC8GeC8GeE8EeE8CeC8Je37IvhFUdBxlBlnBa?oBmrBTrB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeR8IvhFajBTgB/mB0?nBFnB2wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFTcBZjB6nBF?mB3rBOsB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeU8IvhFRdBTgBimB3?nBmnB1wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeF8IvhFXdBZjBTgBO?rBCsBcsB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeyBJvhF+iBZjBTgBF?hBcrBXsB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeU8IvhFRdBTgBliB3?mBysB2wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8Je37IvhFRdBlhBaoBT?nB0rBmqB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhF3cBajBTiBF?mBRsB2wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8Je37IvhFRdB0hBmlBz?nBinB1wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeF8IvhFZjBTgBcmB6?nB3rBOsB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeR9IvhF2lBiiBfsBz?nBFmBUrB,v115@zgC8FeC8GeC8GeE8EeE8CeC8Je37IvhFidBziBxlB2?sBcmB1wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8Jez7IvhFRdB2lBVnBa?oBcrBXsB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhF3dBynBFmBR?sBTrBmrB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFxhBeoBFmBX?nBTrBisB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFxhBeoB3iBF?mBzrBirB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFTcBmiB3iBF?mBRsBywB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFxhBynBFmBz?nB3rBmrB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhF2hBzdBFmBR?sBisB3rB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFRdB2nBFmB/?mBznBywB
JSTOZLI,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSITLZO,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSITLOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSITZLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSITZOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSITOLZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITOZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILTZO,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSILTOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSILZTO,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JSILZOT,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILOTZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSILOZT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSIZTLO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSIZTOL,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSIZLTO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSIZLOT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZOTL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSIZOLT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOTLZ,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSIOTZL,O,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSIOLTZ,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSIOLZT,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JSIOZTL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSIOZLT,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLTIZO,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLTIOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLTZIO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLTZOI,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLTOIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLTOZI,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLITZO,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLITOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLIZTO,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X
JSLIZOT,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLIOTZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLIOZT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLZTIO,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X
JSLZTOI,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSLZITO,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X
JSLZIOT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZOTI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZOIT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOTIZ,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JSLOTZI,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JSLOITZ,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JSLOIZT,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JSLOZTI,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JSLOZIT,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JSZTILO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
JSZTIOL,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JSZTLIO,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X
JSZTLOI,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSZTOIL,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSZTOLI,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZITLO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSZITOL,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSZILTO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSZILOT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZIOTL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSZIOLT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLTIO,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X
JSZLTOI,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSZLITO,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X
JSZLIOT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLOTI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLOIT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTIL,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JSZOTLI,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZOITL,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSZOILT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLTI,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZOLIT,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOTILZ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSOTIZL,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSOTLIZ,X,X,X,O,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JSOTLZI,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JSOTZIL,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOTZLI,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOITLZ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSOITZL,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSOILTZ,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSOILZT,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOIZTL,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSOIZLT,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOLTIZ,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JSOLTZI,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JSOLITZ,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JSOLIZT,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOLZTI,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOLZIT,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOZTIL,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
JSOZTLI,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSOZITL,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JSOZILT,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOZLTI,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOZLIT,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZTILSO,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X,X,O,X
JZTILOS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
JZTISLO,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,O,X
JZTISOL,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,O,O,O,X,X,X
JZTIOLS,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,O,X
JZTIOSL,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X,O,O,O,X,X,X
JZTLISO,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,O,X
JZTLIOS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZTLSIO,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JZTLSOI,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTLOIS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTLOSI,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTSILO,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,O,O,X
JZTSIOL,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X
JZTSLIO,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X
JZTSLOI,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTSOIL,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JZTSOLI,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTOILS,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,O,X
JZTOISL,O,X,O,X,X,X,X,O,X,O,X,X,O,X,X,O,O,O,X,X,X
JZTOLIS,X,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X
JZTOLSI,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTOSIL,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X
JZTOSLI,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZITLSO,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X,X,O,X
JZITLOS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
JZITSLO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X
JZITSOL,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X
JZITOLS,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X
JZITOSL,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X
JZILTSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZILTOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JZILSTO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JZILSOT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILOTS,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZILOST,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISTLO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZISTOL,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
JZISLTO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZISLOT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZISOLT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTLS,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
JZIOTSL,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
JZIOLTS,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZIOLST,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSTL,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOSLT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTISO,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,O
JZLTIOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZLTSIO,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O
JZLTSOI,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
JZLTOIS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JZLTOSI,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JZLITSO,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZLITOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZLISTO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLISOT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLIOTS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLIOST,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTIO,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O
JZLSTOI,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
JZLSITO,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
JZLSIOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSOTI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSOIT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOTIS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JZLOTSI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZLOITS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOIST,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOSTI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOSIT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTILO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
JZSTIOL,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JZSTLIO,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X
JZSTLOI,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZSTOIL,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZSTOLI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSITLO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZSITOL,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZSILTO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZSILOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSIOTL,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZSIOLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTIO,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X
JZSLTOI,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZSLITO,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X
JZSLIOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLOTI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLOIT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOTIL,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JZSOTLI,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSOITL,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZSOILT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLTI,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSOLIT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOTILS,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JZOTISL,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X
JZOTLIS,X,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X
JZOTLSI,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOTSIL,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X
JZOTSLI,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOITLS,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JZOITSL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JZOILTS,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZOILST,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOISTL,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOISLT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLTIS,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JZOLTSI,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLITS,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZOLIST,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLSTI,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLSIT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSTIL,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JZOSTLI,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOSITL,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZOSILT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLTI,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOSLIT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTILSZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOTILZS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOTISLZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOTISZL,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOTIZLS,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOTIZSL,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOTLISZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOTLIZS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOTLSIZ,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOTLSZI,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTLZIS,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOTLZSI,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSILZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOTSIZL,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOTSLIZ,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JOTSLZI,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOTSZIL,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSZLI,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTZILS,O,O,X,O,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JOTZISL,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JOTZLIS,X,O,X,O,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
JOTZLSI,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTZSIL,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOTZSLI,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOITLSZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOITLZS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOITSLZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOITSZL,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOITZLS,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOITZSL,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOILTSZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOILTZS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOILSTZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOILSZT,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOILZTS,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOILZST,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISTLZ,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOISTZL,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOISLTZ,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JOISLZT,X,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOISZTL,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOISZLT,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
