sequence,v115@RhA8GeF8AeE8JeT/IvhFmgBRiBSoBXlBUnBFrB,v115@RhA8GeF8AeE8Jem/IvhFzgBfnBxiB0kBCoBFrB,v115@RhA8GeF8AeE8JemAJvhFfnB6nBTjBxkB0kBFrB,v115@RhA8GeF8AeE8Je/EJvhFRgBGiBTjBilBUnBFrB,v115@RhA8GeF8AeE8Je/EJvhFalBzgBGjBRnBUnBFrB,v115@RhA8GeF8AeE8Jex/IvhFylBzhBGjB0kB3nBFrB,v115@RhA8GeF8AeE8JeT/IvhFylBGjBRnBXlBUnBFrB,v115@RhA8GeF8AeE8Jei/IvhFRhBGjBzkBfrB0rBlsB,v115@RhA8GeF8AeE8JemAJvhFzhBSoBxkB0kB3nBFrB,v115@RhA8GeF8AeE8Je/EJvhFUgBFhBxiBzmBCoBmqB,v115@RhA8GeF8AeE8Je6HJvhFTjBxkBmmBlkB3lBcrB
TLZSJIO,O,O,X,O,X,O,X,X,X,X,X
TLZSJOI,O,O,X,O,X,O,X,X,X,X,X
TLZSOIJ,O,O,X,O,X,O,X,X,X,X,X
TLZSOJI,O,O,X,O,X,O,X,X,X,X,X
TLZOIJS,O,X,X,X,X,O,X,X,X,X,X
TLZOISJ,X,X,X,X,X,X,X,X,X,X,X
TLZOJIS,O,X,X,X,X,O,X,X,X,X,X
TLZOJSI,X,O,X,O,X,X,X,X,X,X,X
TLZOSIJ,X,O,X,O,X,X,X,X,X,X,X
TLZOSJI,X,O,X,O,X,X,X,X,X,X,X
TLOIJSZ,O,X,X,X,X,O,O,O,O,X,X
TLOIJZS,O,X,X,X,X,O,O,X,O,X,X
TLOISJZ,X,X,X,X,X,X,X,X,X,X,X
TLOISZJ,X,X,X,X,X,X,X,X,X,X,X
TLOIZJS,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,X,X,X,X,X,X,X,X,X,X,X
TLOJISZ,O,X,X,X,X,O,O,O,O,X,X
TLOJIZS,O,X,X,X,X,O,O,X,O,X,X
TLOJSIZ,X,X,X,X,X,X,X,O,X,X,X
TLOJSZI,X,X,X,X,X,X,X,O,X,X,X
TLOJZIS,O,X,X,X,X,O,X,X,X,X,X
TLOJZSI,X,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,X,X,X,X,X,X,X,O,X,X,X
