sequence,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BfhB6hBTdBZjBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Jei6IvhFGc?BTdBZjB3fBUhBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BzbBRdB3hBaoBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BzbBSiBZjB3hBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Je2/IvhFSh?BTdBZjB3fBUhBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Jez7IvhFGd?BZjB3hB0kBikBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeSBJvhFTd?BZjBlfBUhB/pBmpB
TLSIZOJ,O,O,O,O,X,X,O
TLSIOJZ,O,O,O,X,O,X,O
TLSIOZJ,O,O,O,O,X,X,O
TLSJIZO,O,O,O,X,X,X,X
TLSJIOZ,O,O,O,X,O,X,O
TLSJZIO,O,O,O,X,X,X,X
TLSJZOI,O,O,O,X,X,X,X
TLSJOIZ,O,O,O,X,O,X,O
TLSJOZI,O,O,O,X,X,X,X
TLSZIJO,O,O,O,O,X,X,X
TLSZIOJ,O,O,O,O,X,X,O
TLSZJIO,O,O,O,O,X,X,X
TLSZJOI,O,O,O,O,X,X,X
TLSZOIJ,O,O,O,O,X,X,O
TLSZOJI,O,O,O,O,X,X,X
TLSOIJZ,O,O,O,X,O,X,O
TLSOIZJ,O,O,O,O,X,X,O
TLSOJIZ,O,O,O,X,O,X,O
TLSOJZI,O,O,O,X,X,X,X
TLSOZIJ,O,O,O,O,X,X,O
TLSOZJI,O,O,O,O,X,X,X
TLZIJSO,O,O,O,O,X,X,X
TLZIJOS,O,O,O,O,O,X,X
TLZISJO,O,O,O,O,X,X,X
TLZISOJ,O,O,O,O,X,X,X
TLZIOJS,O,O,O,O,O,X,X
TLZIOSJ,O,O,O,O,X,X,X
TLZJISO,O,O,O,O,X,X,X
TLZJIOS,O,O,O,O,O,X,X
TLZJSIO,O,O,O,O,X,X,X
TLZJSOI,O,O,O,O,X,X,X
TLZJOIS,O,O,O,O,O,X,X
TLZJOSI,O,O,O,O,X,X,X
TLZSIJO,O,O,O,O,X,X,X
TLZSIOJ,O,O,O,O,X,X,X
TLZSJIO,O,O,O,O,X,X,X
TLZSJOI,O,O,O,O,X,X,X
TLZSOIJ,O,O,O,O,X,X,X
TLZSOJI,O,O,O,O,X,X,X
TLZOIJS,O,O,O,O,O,X,X
TLZOISJ,O,O,O,O,X,X,X
TLZOJIS,O,O,O,O,O,X,X
TLZOJSI,O,O,O,O,X,X,X
