sequence,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFGeBlgB?UiBaoBXmBTsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFCeBlgB?UiBOoBXmBTsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeG8IvhF6iBTeB?lgBZnBXmB8sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je37IvhFRdBSjB?zlBFnB8sBmrB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFSiBTeB?lgBXmBOsB8sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je37IvhFRdBSjB?lhBzlBOsB8sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeWCJvhFcjBlgB?xmBzlBinB3sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeZCJvhFGeBlgB?cmBziBCmB3sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFcjBlgB?GiBXmBKsBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFqiBTeB?lgBXmB2sBUsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhF+iBTeB?lgBXmB8sBasB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR9IvhFSjBlgB?3hBOsB8sBzqB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JelAJvhFcmBxiB?XjB2sBCmBTsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je+BJvhFlgBxiB?XjBKsBzqB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je+BJvhFlgBxiB?0iBKsBzqBXtB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je+BJvhFxdBlgB?XjBKsB0sBzqB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeT+IvhFxgBOnB?0iBCmBFmB3sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhF+iBTeB?lgBXmBysBUsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je+BJvhFxdBlgB?0iBKsBXtBzqB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeT+IvhFxgB0iB?ulBimBFnB3sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeF8IvhFxdB6lB?cmBXjB2sBTsB
JLIZSOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JLIZOTS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLIZOST,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLIOTSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLIOTZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLIOSTZ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
JLIOSZT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLIOZTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLIOZST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLSTIZO,O,O,X,X,X,O,X,X,O,O,X,X,X,O,O,O,X,O,X,X,O
JLSTIOZ,O,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X
JLSTZIO,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,O,O,X,O
JLSTZOI,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,O,O,X,O
JLSTOIZ,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JLSTOZI,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X
JLSITZO,O,O,X,X,X,O,X,X,O,O,X,X,X,O,O,O,X,O,X,X,O
JLSITOZ,O,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X
JLSIZTO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JLSIZOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O
JLSIOTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
JLSIOZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JLSZTIO,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,O,O,X,O
JLSZTOI,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,O,O,X,O
JLSZITO,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
JLSZIOT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
JLSZOTI,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,O
JLSZOIT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
JLSOTIZ,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JLSOTZI,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X
JLSOITZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
JLSOIZT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JLSOZTI,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O
JLSOZIT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JLZTISO,X,X,X,X,X,O,X,X,O,X,X,X,O,O,O,X,X,X,O,X,O
JLZTIOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLZTSIO,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
JLZTSOI,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
JLZTOIS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTOSI,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O
JLZITSO,X,X,X,X,X,O,X,X,O,X,X,X,O,O,O,X,X,X,O,X,O
JLZITOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLZISTO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JLZISOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JLZIOTS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLZIOST,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLZSTIO,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,O,O,X,O
JLZSTOI,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,O,O,X,O
JLZSITO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JLZSIOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JLZSOTI,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O
JLZSOIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JLZOTIS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZOTSI,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O
JLZOITS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLZOIST,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLZOSTI,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O
JLZOSIT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JLOTISZ,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOTIZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOTSIZ,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JLOTSZI,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
JLOTZIS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOTZSI,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JLOITSZ,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOITZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOISTZ,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
JLOISZT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLOIZTS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLOIZST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLOSTIZ,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JLOSTZI,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X
JLOSITZ,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
JLOSIZT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JLOSZTI,O,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O
JLOSZIT,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JLOZTIS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZTSI,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O
JLOZITS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZIST,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZSTI,O,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O
JLOZSIT,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSTILZO,O,O,O,X,X,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,O
JSTILOZ,O,O,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JSTIZLO,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,O
JSTIZOL,O,O,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O
JSTIOLZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSTIOZL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSTLIZO,O,O,O,X,X,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,O
JSTLIOZ,O,O,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JSTLZIO,O,O,O,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X,O,X,O
JSTLZOI,O,O,O,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X,O,X,O
JSTLOIZ,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTLOZI,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JSTZILO,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,O
JSTZIOL,O,O,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O
JSTZLIO,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
JSTZLOI,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JSTZOIL,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O
JSTZOLI,X,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JSTOILZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSTOIZL,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSTOLIZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTOLZI,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTOZIL,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSTOZLI,O,O,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSITLZO,O,O,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,O
JSITLOZ,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSITZLO,O,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
JSITZOL,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JSITOLZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSITOZL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSILTZO,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSILTOZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSILZTO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSILZOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O
JSILOTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSILOZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JSIZTLO,O,O,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O
JSIZTOL,O,O,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O
JSIZLTO,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JSIZLOT,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JSIZOTL,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,O,O
JSIZOLT,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
JSIOTLZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSIOTZL,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSIOLTZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSIOLZT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JSIOZTL,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,O
JSIOZLT,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
JSLTIZO,O,O,X,X,X,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,O
JSLTIOZ,O,O,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JSLTZIO,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X,O,X,O
JSLTZOI,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X,O,X,O
JSLTOIZ,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLTOZI,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JSLITZO,O,O,X,X,X,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,O
JSLITOZ,O,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X
JSLIZTO,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JSLIZOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O
JSLIOTZ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSLIOZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JSLZTIO,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X,O,X,O
JSLZTOI,O,O,O,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X,O,X,O
JSLZITO,O,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
JSLZIOT,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
JSLZOTI,O,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O
JSLZOIT,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
JSLOTIZ,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLOTZI,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JSLOITZ,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSLOIZT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JSLOZTI,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
JSLOZIT,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JSZTILO,O,O,O,X,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O
JSZTIOL,O,O,O,X,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,O
JSZTLIO,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
JSZTLOI,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JSZTOIL,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
JSZTOLI,X,O,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSZITLO,O,O,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O
JSZITOL,O,O,O,X,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,O
JSZILTO,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JSZILOT,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JSZIOTL,O,X,O,X,O,X,O,O,X,X,O,O,X,X,X,X,O,X,X,O,O
JSZIOLT,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
JSZLTIO,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
JSZLTOI,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
JSZLITO,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
JSZLIOT,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
JSZLOTI,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
JSZLOIT,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
JSZOTIL,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
JSZOTLI,X,O,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSZOITL,O,O,O,X,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X,O,O
JSZOILT,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
JSZOLTI,X,O,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSZOLIT,X,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
JSOTILZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSOTIZL,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOTLIZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOTLZI,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOTZIL,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOTZLI,O,O,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSOITLZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSOITZL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOILTZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSOILZT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JSOIZTL,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
JSOIZLT,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
JSOLTIZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOLTZI,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOLITZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSOLIZT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JSOLZTI,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
JSOLZIT,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JSOZTIL,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
JSOZTLI,O,O,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSOZITL,O,O,O,X,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X,O,O
JSOZILT,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
JSOZLTI,O,O,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSOZLIT,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
JZTILSO,X,X,O,X,O,O,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
JZTILOS,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZTISLO,X,X,O,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
JZTISOL,X,X,O,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
JZTIOLS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTIOSL,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZTLISO,X,X,O,X,O,O,X,X,O,X,X,O,O,O,O,X,X,X,O,X,X
JZTLIOS,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZTLSIO,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
JZTLSOI,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X
JZTLOIS,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLOSI,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X
JZTSILO,X,X,O,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O
JZTSIOL,X,X,O,X,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,O
JZTSLIO,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O
JZTSLOI,X,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZTSOIL,X,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
JZTSOLI,X,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZTOILS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOISL,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZTOLIS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOLSI,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTOSIL,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O
JZTOSLI,X,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZITLSO,X,X,O,X,O,O,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
JZITLOS,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZITSLO,X,X,O,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
JZITSOL,X,X,O,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
JZITOLS,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITOSL,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZILTSO,X,X,O,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZILTOS,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILSTO,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZILSOT,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZILOTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILOST,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZISTLO,X,X,O,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O
JZISTOL,X,X,O,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O
JZISLTO,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZISLOT,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZISOTL,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O
JZISOLT,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZIOTLS,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTSL,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZIOLTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOLST,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSTL,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZIOSLT,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTISO,X,X,X,X,O,O,X,X,O,X,X,O,O,O,O,X,X,X,O,X,O
JZLTIOS,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZLTSIO,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
JZLTSOI,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
JZLTOIS,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTOSI,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O
JZLITSO,X,X,O,X,O,O,X,X,O,X,X,O,O,O,O,X,X,X,O,X,O
