sequence,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT6IvhFOgBxcB?FhB8mB6pBfrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT7IvhFxcB/kB?mhBllBcrB6pB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8Je2/IvhFfhBxcB?zhBUgB6pBFrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8Jex6IvhFTcBOiB?/kBllBcrBCqB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeO/IvhFTbBXdB?5kBylB0hBFrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8Je07IvhFxcB/kB?2lBzhBFrB6pB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeK/IvhFfhBxcB?UgBzhBupBFrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeOAJvhFxcBTfB?FhB8mBfrB6pB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT6IvhFxbBXdB?6pB0lBlmBmqB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeR7IvhFOiB6lB?lkBTmB/pBcrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeOAJvhFxcB/kB?8mBzlB6pBFrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT8IvhFOiBxfB?/kBllBcrBCqB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT/IvhF/lBRhB?mgBFiBcrB6pB
ITJSZOL,X,O,X,X,X,O,X,X,X,X,X,O,X
ITJSOLZ,X,X,X,X,O,O,X,X,X,X,X,X,X
ITJSOZL,X,X,X,X,X,O,X,X,X,X,X,X,X
ITJZLSO,X,O,X,X,O,X,X,X,X,X,X,X,X
ITJZLOS,X,O,X,X,O,X,X,X,X,X,X,O,X
ITJZSLO,X,O,X,X,O,X,X,X,X,X,X,X,X
ITJZSOL,X,O,X,X,X,O,X,X,X,X,X,O,X
ITJZOLS,X,O,X,X,X,O,X,X,X,X,X,O,X
ITJZOSL,X,O,X,X,X,O,X,X,X,X,X,O,X
ITJOLSZ,X,X,O,X,O,O,O,X,X,O,X,X,X
ITJOLZS,X,X,O,X,O,O,X,X,X,O,X,X,X
ITJOSLZ,X,X,O,X,O,O,O,X,X,X,X,X,X
ITJOSZL,X,X,X,X,X,O,X,X,X,X,X,X,X
ITJOZLS,X,X,X,X,X,O,X,X,X,X,X,O,X
ITJOZSL,X,X,X,X,X,O,X,X,X,X,X,O,X
ITSLJZO,X,X,X,X,O,X,X,X,X,X,X,X,X
ITSLJOZ,O,X,O,X,O,X,X,X,O,X,X,X,X
ITSLZJO,X,X,X,X,O,X,X,X,O,X,X,X,X
ITSLZOJ,X,X,X,X,O,X,O,X,O,X,X,X,X
ITSLOJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
ITSLOZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
ITSJLZO,X,X,X,X,O,X,X,X,X,X,X,X,X
ITSJLOZ,O,X,X,X,O,X,X,X,O,X,X,X,X
ITSJZLO,X,O,X,X,O,X,X,X,X,X,X,X,X
ITSJZOL,X,O,X,X,X,O,X,X,X,X,X,O,X
ITSJOLZ,X,X,X,X,O,O,X,X,X,X,X,X,X
ITSJOZL,X,X,X,X,X,O,X,X,X,X,X,X,X
ITSZLJO,X,O,X,X,O,X,X,X,O,X,X,X,X
ITSZLOJ,X,X,X,X,O,X,X,X,O,X,X,X,X
ITSZJLO,X,O,X,X,O,X,X,X,O,X,X,X,X
ITSZJOL,X,O,X,X,X,X,X,X,X,X,X,O,X
ITSZOLJ,X,X,X,X,X,X,X,X,O,X,X,X,X
ITSZOJL,X,O,X,X,X,O,X,X,X,X,O,O,X
ITSOLJZ,X,X,O,X,O,O,O,X,O,X,X,X,X
ITSOLZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
ITSOJLZ,X,X,O,X,O,O,O,X,X,X,X,X,X
ITSOJZL,X,X,X,X,X,O,X,X,X,X,X,X,X
ITSOZLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
ITSOZJL,X,X,X,X,X,O,X,X,X,X,X,X,X
ITZLJSO,X,O,X,X,O,X,X,X,O,X,X,X,X
ITZLJOS,O,O,X,X,O,X,X,X,O,X,X,O,X
ITZLSJO,O,O,X,X,O,X,X,X,O,X,X,X,X
ITZLSOJ,O,X,X,X,O,X,X,X,O,X,X,X,X
ITZLOJS,O,X,O,X,O,X,X,X,O,X,X,O,X
ITZLOSJ,O,X,O,X,O,X,O,X,O,X,X,X,X
ITZJLSO,X,O,X,X,O,X,X,X,X,X,X,X,X
ITZJLOS,O,O,X,X,O,X,X,X,X,X,X,O,X
ITZJSLO,X,O,X,X,O,X,X,X,X,X,X,X,X
ITZJSOL,X,O,X,X,X,X,X,X,X,X,X,O,X
ITZJOLS,X,O,X,X,X,X,X,X,X,X,X,O,X
ITZJOSL,X,O,X,X,X,X,X,X,X,X,X,O,X
ITZSLJO,O,O,X,X,O,X,X,X,O,X,X,X,X
ITZSLOJ,O,X,X,X,O,X,X,X,O,X,X,X,X
ITZSJLO,O,O,X,X,O,X,X,X,O,X,X,X,X
ITZSJOL,X,O,X,X,X,X,X,X,X,X,X,O,X
ITZSOLJ,X,X,X,X,X,X,X,X,O,X,X,X,X
ITZSOJL,X,O,X,X,X,O,X,X,X,X,O,O,X
ITZOLJS,X,X,O,X,X,X,X,X,X,X,X,O,X
ITZOLSJ,X,X,O,X,X,X,O,X,X,X,X,X,X
ITZOJLS,X,O,X,X,X,O,X,X,X,X,X,O,X
ITZOJSL,X,O,X,X,X,O,X,X,X,X,O,O,X
ITZOSLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
ITZOSJL,X,O,X,X,X,O,X,X,X,X,O,O,X
ITOLJSZ,X,X,O,X,O,O,O,X,X,O,X,X,X
ITOLJZS,X,X,O,X,O,O,X,X,X,O,X,X,X
ITOLSJZ,X,X,O,X,O,O,O,X,X,X,X,X,X
ITOLSZJ,X,X,O,X,O,X,O,X,X,X,X,X,X
ITOLZJS,X,X,O,X,O,X,X,X,X,X,X,X,X
ITOLZSJ,X,X,O,X,O,X,O,X,X,X,X,X,X
ITOJLSZ,X,X,O,X,O,O,O,X,X,O,X,X,X
ITOJLZS,X,X,O,X,O,O,X,X,X,O,X,X,X
ITOJSLZ,X,X,O,X,O,O,O,X,X,X,X,X,X
ITOJSZL,X,X,X,X,X,O,X,X,X,X,X,X,X
ITOJZLS,X,X,X,X,X,O,X,X,X,X,X,O,X
ITOJZSL,X,X,X,X,X,O,X,X,X,X,X,O,X
ITOSLJZ,X,X,O,X,O,O,O,X,X,X,X,X,X
ITOSLZJ,X,X,O,X,O,X,O,X,X,X,X,X,X
ITOSJLZ,X,X,O,X,O,O,O,X,X,X,X,X,X
ITOSJZL,X,X,X,X,X,O,X,X,X,X,X,X,X
ITOSZLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
ITOSZJL,X,X,X,X,X,O,X,X,X,X,X,X,X
ITOZLJS,X,X,O,X,X,X,X,X,X,X,X,O,X
ITOZLSJ,X,X,O,X,X,X,O,X,X,X,X,X,X
ITOZJLS,X,X,X,X,X,O,X,X,X,X,X,O,X
ITOZJSL,X,X,X,X,X,O,X,X,X,X,X,O,X
ITOZSLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
ITOZSJL,X,X,X,X,X,O,X,X,X,X,X,O,X
ILTJSZO,X,X,X,X,O,X,X,X,X,X,X,X,X
ILTJSOZ,X,X,O,X,O,X,X,X,X,X,X,X,X
ILTJZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
ILTJZOS,X,X,X,X,O,X,X,X,X,X,X,X,X
ILTJOSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
ILTJOZS,O,X,O,X,O,X,X,X,X,O,X,X,X
ILTSJZO,X,X,X,X,O,X,X,X,X,X,X,X,X
ILTSJOZ,O,X,O,X,O,X,X,X,O,X,X,X,X
ILTSZJO,X,X,X,X,O,X,X,X,O,X,X,X,X
ILTSZOJ,X,X,X,X,O,X,O,X,O,X,X,X,X
ILTSOJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
ILTSOZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
ILTZJSO,X,X,X,X,O,X,X,X,O,X,X,X,X
ILTZJOS,O,X,X,X,O,X,X,X,O,X,X,X,X
ILTZSJO,O,X,X,X,O,X,X,X,O,X,X,X,X
ILTZSOJ,O,X,X,X,O,X,O,X,O,X,X,X,X
ILTZOJS,O,X,O,X,O,X,X,X,O,X,X,X,X
ILTZOSJ,O,X,O,X,O,X,O,X,O,X,X,X,X
ILTOJSZ,O,X,O,X,O,O,O,X,X,O,X,X,X
ILTOJZS,O,X,O,X,O,O,X,X,X,O,X,X,X
ILTOSJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
ILTOSZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
ILTOZJS,O,X,O,X,O,X,X,X,O,X,X,X,X
ILTOZSJ,O,X,O,X,O,X,O,X,O,X,X,X,X
ILJTSZO,X,X,X,X,O,X,X,X,X,X,X,X,X
ILJTSOZ,X,X,O,X,O,X,X,X,X,X,X,X,X
ILJTZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
ILJTZOS,X,X,X,X,O,X,X,X,X,X,X,X,X
ILJTOSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
ILJTOZS,O,X,O,X,O,X,X,X,X,O,X,X,X
ILJSTZO,X,X,X,X,O,X,X,X,X,X,X,X,X
ILJSTOZ,O,X,X,X,O,X,X,X,X,X,X,X,X
ILJSZTO,O,O,X,X,X,X,X,X,X,X,X,X,X
ILJSZOT,O,X,X,X,O,X,X,X,X,X,X,X,X
ILJSOTZ,O,X,X,X,O,X,X,X,X,X,X,X,X
ILJSOZT,O,X,X,X,O,X,X,X,X,X,X,X,X
ILJZTSO,X,O,X,X,X,X,X,X,X,X,X,X,X
ILJZTOS,O,O,X,X,X,X,X,X,X,X,X,X,X
ILJZSTO,O,O,X,X,X,X,X,X,X,X,X,X,X
ILJZSOT,O,X,X,X,O,X,X,X,X,X,X,X,X
ILJZOTS,O,X,X,X,X,X,X,X,X,X,X,X,X
ILJZOST,O,X,X,X,O,X,X,X,X,X,X,X,X
ILJOTSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
ILJOTZS,O,X,O,X,X,X,X,X,X,O,X,X,X
ILJOSTZ,O,X,X,X,O,X,X,X,X,X,X,X,X
ILJOSZT,O,X,X,X,O,X,X,X,X,X,X,X,X
ILJOZTS,O,X,X,X,X,X,X,X,X,X,X,X,X
ILJOZST,O,X,X,X,O,X,X,X,X,X,X,X,X
ILSTJZO,X,X,X,X,O,X,X,X,X,X,X,X,X
ILSTJOZ,O,X,X,X,O,X,X,X,O,X,X,X,X
ILSTZJO,X,X,X,X,O,X,X,X,O,X,X,X,X
ILSTZOJ,X,X,X,X,O,X,X,X,O,X,X,X,X
ILSTOJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
ILSTOZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
ILSJTZO,X,X,X,X,O,X,X,X,X,X,X,X,X
ILSJTOZ,O,X,X,X,O,X,X,X,O,X,X,X,X
ILSJZTO,O,O,X,X,X,X,X,X,X,X,X,X,X
ILSJZOT,O,X,X,X,O,X,X,X,X,X,X,X,X
ILSJOTZ,O,X,X,X,O,X,X,X,O,X,X,X,X
ILSJOZT,O,X,X,X,O,X,X,X,X,X,X,X,X
ILSZTJO,O,O,X,X,X,X,X,X,X,X,X,X,X
ILSZTOJ,O,X,X,X,X,X,X,X,O,X,X,X,X
ILSZJTO,O,O,X,X,X,X,X,X,X,X,X,X,X
ILSZJOT,O,X,X,X,O,X,X,X,X,X,X,X,X
ILSZOTJ,O,X,X,X,X,X,X,X,O,X,X,X,X
ILSZOJT,O,X,X,X,O,X,X,X,X,X,O,X,X
ILSOTJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
ILSOTZJ,X,X,O,X,X,X,O,X,O,X,X,X,X
ILSOJTZ,O,X,X,X,O,X,X,X,O,X,X,X,X
ILSOJZT,O,X,X,X,O,X,X,X,X,X,X,X,X
ILSOZTJ,O,X,X,X,X,X,X,X,O,X,X,X,X
ILSOZJT,O,X,X,X,O,X,X,X,X,X,X,X,X
ILZTJSO,X,O,X,X,X,X,X,X,O,X,X,X,X
ILZTJOS,O,O,X,X,X,X,X,X,O,X,X,X,X
ILZTSJO,O,O,X,X,X,X,X,X,O,X,X,X,X
ILZTSOJ,O,X,X,X,X,X,O,X,O,X,X,X,X
ILZTOJS,O,X,O,X,X,X,X,X,O,X,X,X,X
ILZTOSJ,O,X,O,X,X,X,O,X,O,X,X,X,X
ILZJTSO,X,O,X,X,X,X,X,X,X,X,X,X,X
ILZJTOS,O,O,X,X,X,X,X,X,X,X,X,X,X
ILZJSTO,O,O,X,X,X,X,X,X,X,X,X,X,X
ILZJSOT,O,X,X,X,O,X,X,X,X,X,X,X,X
ILZJOTS,O,X,X,X,X,X,X,X,X,X,X,X,X
ILZJOST,O,X,X,X,O,X,X,X,X,X,X,X,X
ILZSTJO,O,O,X,X,X,X,X,X,X,X,X,X,X
ILZSTOJ,O,X,X,X,X,X,X,X,X,X,X,X,X
ILZSJTO,O,O,X,X,X,X,X,X,X,X,X,X,X
ILZSJOT,O,X,X,X,O,X,X,X,X,X,X,X,X
ILZSOTJ,O,X,X,X,X,X,O,X,X,X,X,X,X
ILZSOJT,O,X,X,X,O,X,O,X,X,X,O,X,X
ILZOTJS,O,X,O,X,X,X,X,X,O,X,X,X,X
ILZOTSJ,O,X,O,X,X,X,O,X,O,X,X,X,X
ILZOJTS,O,X,X,X,X,X,X,X,X,X,X,X,X
ILZOJST,O,X,X,X,O,X,X,X,X,X,O,X,X
ILZOSTJ,O,X,X,X,X,X,O,X,X,X,X,X,X
ILZOSJT,O,X,X,X,O,X,O,X,X,X,O,X,X
ILOTJSZ,O,X,O,X,O,O,O,X,X,O,X,X,X
ILOTJZS,O,X,O,X,X,O,X,X,X,O,X,X,X
ILOTSJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
ILOTSZJ,X,X,O,X,X,X,O,X,O,X,X,X,X
ILOTZJS,O,X,O,X,X,X,X,X,O,X,X,X,X
ILOTZSJ,O,X,O,X,X,X,O,X,O,X,X,X,X
ILOJTSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
ILOJTZS,O,X,O,X,X,X,X,X,X,O,X,X,X
ILOJSTZ,O,X,X,X,O,X,X,X,X,X,X,X,X
ILOJSZT,O,X,X,X,O,X,X,X,X,X,X,X,X
ILOJZTS,O,X,X,X,X,X,X,X,X,X,X,X,X
ILOJZST,O,X,X,X,O,X,X,X,X,X,X,X,X
ILOSTJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
ILOSTZJ,X,X,O,X,X,X,O,X,O,X,X,X,X
ILOSJTZ,O,X,X,X,O,X,X,X,O,X,X,X,X
ILOSJZT,O,X,X,X,O,X,X,X,X,X,X,X,X
ILOSZTJ,O,X,X,X,X,X,X,X,O,X,X,X,X
ILOSZJT,O,X,X,X,O,X,X,X,X,X,X,X,X
ILOZTJS,O,X,O,X,X,X,X,X,O,X,X,X,X
ILOZTSJ,O,X,O,X,X,X,O,X,O,X,X,X,X
ILOZJTS,O,X,X,X,X,X,X,X,X,X,X,X,X
ILOZJST,O,X,X,X,O,X,X,X,X,X,X,X,X
ILOZSTJ,O,X,X,X,X,X,O,X,X,X,X,X,X
ILOZSJT,O,X,X,X,O,X,O,X,X,X,X,X,X
IJTLSZO,X,X,X,X,O,X,X,X,X,X,X,X,X
IJTLSOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
IJTLZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
IJTLZOS,X,X,X,X,O,X,X,X,X,X,X,O,X
IJTLOSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
IJTLOZS,O,X,O,X,O,X,X,X,X,O,X,X,X
IJTSLZO,X,X,X,X,O,X,X,X,X,X,X,X,X
IJTSLOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
IJTSZLO,X,O,X,X,O,X,X,X,X,X,X,X,X
IJTSZOL,X,O,X,X,X,X,X,X,X,X,X,O,X
IJTSOLZ,X,X,X,X,O,O,X,X,X,X,X,X,X
IJTSOZL,X,X,X,X,X,O,X,X,X,X,X,X,X
IJTZLSO,X,O,X,X,O,X,X,X,X,X,X,X,X
IJTZLOS,X,O,X,X,O,X,X,X,X,X,X,O,X
IJTZSLO,X,O,X,X,O,X,X,X,X,X,X,X,X
IJTZSOL,X,O,X,X,X,X,X,X,X,X,X,O,X
IJTZOLS,X,O,X,X,X,X,X,X,X,X,X,O,X
IJTZOSL,X,O,X,X,X,X,X,X,X,X,X,O,X
IJTOLSZ,X,X,O,X,O,O,O,X,X,O,X,X,X
IJTOLZS,X,X,O,X,O,O,X,X,X,O,X,X,X
IJTOSLZ,X,X,O,X,O,O,O,X,X,X,X,X,X
IJTOSZL,X,X,X,X,X,O,X,X,X,X,X,X,X
IJTOZLS,X,X,X,X,X,O,X,X,X,X,X,O,X
IJTOZSL,X,X,X,X,X,O,X,X,X,X,X,O,X
IJLTSZO,X,X,X,X,O,X,X,X,X,X,X,X,X
IJLTSOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
IJLTZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
IJLTZOS,X,X,X,X,O,X,X,X,X,X,X,X,X
IJLTOSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
IJLTOZS,O,X,O,X,O,X,X,X,X,O,X,X,X
IJLSTZO,X,X,X,X,O,X,X,X,X,X,X,X,X
IJLSTOZ,O,X,X,X,O,X,X,X,X,X,X,X,X
IJLSZTO,O,O,X,X,X,X,X,X,X,X,X,X,X
IJLSZOT,O,X,X,X,O,X,X,X,X,X,X,X,X
IJLSOTZ,O,X,X,X,O,X,X,X,X,X,X,X,X
IJLSOZT,O,X,X,X,O,X,X,X,X,X,X,X,X
IJLZTSO,X,O,X,X,X,X,X,X,X,X,X,X,X
IJLZTOS,O,O,X,X,X,X,X,X,X,X,X,X,X
IJLZSTO,O,O,X,X,X,X,X,X,X,X,X,X,X
IJLZSOT,O,X,X,X,O,X,X,X,X,X,X,X,X
IJLZOTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IJLZOST,O,X,X,X,O,X,X,X,X,X,X,X,X
IJLOTSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
IJLOTZS,O,X,O,X,X,X,X,X,X,O,X,X,X
IJLOSTZ,O,X,X,X,O,X,X,X,X,X,X,X,X
IJLOSZT,O,X,X,X,O,X,X,X,X,X,X,X,X
IJLOZTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IJLOZST,O,X,X,X,O,X,X,X,X,X,X,X,X
IJSTLZO,X,X,X,X,O,X,X,X,X,X,X,X,X
IJSTLOZ,O,X,X,X,O,X,X,X,X,X,X,X,X
IJSTZLO,X,O,X,O,O,X,X,X,X,X,X,X,X
IJSTZOL,X,O,X,O,X,X,X,X,X,X,X,X,X
IJSTOLZ,X,X,X,X,O,O,X,X,X,X,X,X,X
IJSTOZL,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSLTZO,X,X,X,X,O,X,X,X,X,X,X,X,X
IJSLTOZ,O,X,X,X,O,X,X,X,X,X,X,X,X
IJSLZTO,O,O,X,O,X,X,X,X,X,X,X,X,X
IJSLZOT,O,X,X,O,O,X,X,X,X,X,X,X,X
IJSLOTZ,O,X,X,X,O,X,X,X,X,X,X,X,X
IJSLOZT,O,X,X,X,O,X,X,X,X,X,X,X,X
IJSZTLO,O,O,X,O,O,X,X,O,X,X,X,X,X
IJSZTOL,O,O,X,O,X,X,X,O,X,X,X,X,X
IJSZLTO,O,O,X,O,X,X,X,X,X,X,X,X,X
IJSZLOT,O,X,X,O,O,X,X,X,X,X,X,X,X
IJSZOTL,X,O,X,O,X,X,X,O,X,X,O,X,X
IJSZOLT,O,X,X,O,X,X,X,X,X,X,O,X,X
IJSOTLZ,X,X,X,X,O,O,X,X,X,X,X,X,X
IJSOTZL,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSOLTZ,O,X,X,X,O,X,X,X,X,X,X,X,X
IJSOLZT,O,X,X,X,O,X,X,X,X,X,X,X,X
IJSOZTL,X,O,X,O,X,X,X,O,X,X,O,X,X
IJSOZLT,X,X,X,O,X,X,X,X,X,X,O,X,X
IJZTLSO,X,O,X,X,O,X,X,X,X,X,X,X,X
IJZTLOS,O,O,X,X,O,X,X,X,X,X,X,O,X
IJZTSLO,X,O,X,O,O,X,X,X,X,X,X,X,X
IJZTSOL,X,O,X,O,X,X,X,X,X,X,X,O,X
IJZTOLS,X,O,X,X,X,X,X,X,X,X,X,O,X
IJZTOSL,X,O,X,O,X,X,X,X,X,X,X,O,X
IJZLTSO,X,O,X,X,X,X,X,X,X,X,X,X,X
IJZLTOS,O,O,X,X,X,X,X,X,X,X,X,X,X
IJZLSTO,O,O,X,X,X,X,X,X,X,X,X,X,X
IJZLSOT,O,X,X,X,O,X,X,X,X,X,X,X,X
IJZLOTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IJZLOST,O,X,X,X,O,X,X,X,X,X,X,X,X
IJZSTLO,O,O,X,O,O,X,X,O,X,X,X,X,X
IJZSTOL,O,O,X,O,X,X,X,O,X,X,X,X,X
IJZSLTO,O,O,X,O,X,X,X,X,X,X,X,X,X
IJZSLOT,O,X,X,O,O,X,X,X,X,X,X,X,X
IJZSOTL,X,O,X,O,X,X,X,O,X,X,O,X,X
IJZSOLT,O,X,X,O,X,X,X,X,X,X,O,X,X
IJZOTLS,X,O,X,X,X,X,X,X,X,X,X,O,X
IJZOTSL,X,O,X,O,X,X,X,X,X,X,O,O,X
IJZOLTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IJZOLST,O,X,X,X,X,X,X,X,X,X,O,X,X
IJZOSTL,X,O,X,O,X,X,X,O,X,X,O,X,X
IJZOSLT,X,X,X,O,X,X,X,X,X,X,O,X,X
IJOTLSZ,X,X,O,X,O,O,O,X,X,O,X,X,X
IJOTLZS,X,X,O,X,O,O,X,X,X,O,X,X,X
IJOTSLZ,X,X,O,X,O,O,O,X,X,X,X,X,X
IJOTSZL,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOTZLS,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOTZSL,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOLTSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
IJOLTZS,O,X,O,X,X,X,X,X,X,O,X,X,X
IJOLSTZ,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOLSZT,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOLZTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOLZST,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOSTLZ,X,X,X,X,O,O,X,X,X,X,X,X,X
IJOSTZL,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOSLTZ,X,X,X,X,O,X,X,X,X,X,X,X,X
IJOSLZT,X,X,X,X,O,X,X,X,X,X,X,X,X
IJOSZTL,X,O,X,X,X,X,X,O,X,X,O,X,X
IJOSZLT,X,X,X,X,X,X,X,X,X,X,O,X,X
IJOZTLS,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOZTSL,X,O,X,X,X,X,X,X,X,X,O,X,X
IJOZLTS,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOZLST,X,X,X,X,X,X,X,X,X,X,O,X,X
IJOZSTL,X,O,X,X,X,X,X,O,X,X,O,X,X
IJOZSLT,X,X,X,X,X,X,X,X,X,X,O,X,X
ISTLJZO,X,X,X,X,O,X,X,X,X,X,X,X,X
ISTLJOZ,O,X,X,X,O,X,X,X,O,X,X,X,X
ISTLZJO,X,X,X,X,O,X,X,X,O,X,X,X,X
ISTLZOJ,X,X,X,X,O,X,X,X,O,X,X,X,X
ISTLOJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
ISTLOZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
ISTJLZO,X,X,X,X,O,X,X,X,X,X,X,X,X
ISTJLOZ,O,X,X,X,O,X,X,X,O,X,X,X,X
ISTJZLO,X,O,X,O,O,X,X,X,X,X,X,X,X
ISTJZOL,X,O,X,O,X,O,X,X,X,X,X,X,X
ISTJOLZ,X,X,X,X,O,O,X,X,X,X,X,X,X
ISTJOZL,X,X,X,X,X,O,X,X,X,X,X,X,X
ISTZLJO,X,O,X,O,O,X,X,X,O,X,X,X,X
ISTZLOJ,X,X,X,O,O,X,X,X,O,X,X,X,X
ISTZJLO,X,O,X,O,O,X,X,X,O,X,X,X,X
ISTZJOL,X,O,X,O,X,X,X,X,X,X,X,X,X
ISTZOLJ,X,X,X,O,X,X,X,X,O,X,X,X,X
ISTZOJL,X,O,X,O,X,O,X,X,X,X,O,X,X
ISTOLJZ,X,X,O,X,O,O,O,X,O,X,X,X,X
ISTOLZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
ISTOJLZ,X,X,O,X,O,O,O,X,X,X,X,X,X
ISTOJZL,X,X,X,X,X,O,X,X,X,X,X,X,X
ISTOZLJ,X,X,O,X,X,X,O,X,X,X,X,X,O
ISTOZJL,X,X,X,X,X,O,X,X,X,X,X,X,O
ISLTJZO,X,X,X,X,O,X,X,X,X,X,X,X,X
ISLTJOZ,O,X,X,X,O,X,X,X,O,X,X,X,X
ISLTZJO,X,X,X,X,O,X,X,X,O,X,X,X,X
ISLTZOJ,X,X,X,X,O,X,X,X,O,X,X,X,X
ISLTOJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
ISLTOZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
ISLJTZO,X,X,X,X,O,X,X,X,X,X,X,X,X
ISLJTOZ,O,X,X,X,O,X,X,X,O,X,X,X,X
ISLJZTO,O,O,X,O,X,X,X,X,X,X,X,X,X
ISLJZOT,O,X,X,O,O,X,X,X,X,X,X,X,X
ISLJOTZ,O,X,X,X,O,X,X,X,O,X,X,X,X
ISLJOZT,O,X,X,X,O,X,X,X,X,X,X,X,X
ISLZTJO,O,O,X,O,X,X,X,X,X,X,X,X,X
ISLZTOJ,O,X,X,O,X,X,X,X,O,X,X,X,X
ISLZJTO,O,O,X,O,X,X,X,X,X,X,X,X,X
ISLZJOT,O,X,X,O,O,X,X,X,X,X,X,X,X
ISLZOTJ,O,X,X,X,X,X,X,X,O,X,X,X,X
ISLZOJT,O,X,X,O,O,X,X,X,X,X,O,X,X
ISLOTJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
ISLOTZJ,X,X,O,X,X,X,O,X,O,X,X,X,X
ISLOJTZ,O,X,X,X,O,X,X,X,O,X,X,X,X
ISLOJZT,O,X,X,X,O,X,X,X,X,X,X,X,X
ISLOZTJ,O,X,X,X,X,X,X,X,O,X,X,X,O
ISLOZJT,O,X,X,X,O,X,X,X,X,X,X,X,O
ISJTLZO,X,X,X,X,O,X,X,X,X,X,X,X,X
ISJTLOZ,O,X,X,X,O,X,X,X,O,X,X,X,X
ISJTZLO,X,O,X,O,O,X,X,X,X,X,X,X,X
ISJTZOL,X,O,X,O,X,X,X,X,X,X,X,X,X
ISJTOLZ,X,X,X,X,O,O,X,X,X,X,X,X,X
ISJTOZL,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJLTZO,X,X,X,X,O,X,X,X,X,X,X,X,X
ISJLTOZ,O,X,X,X,O,X,X,X,O,X,X,X,X
ISJLZTO,O,O,X,O,X,X,X,X,X,X,X,X,X
ISJLZOT,O,X,X,O,O,X,X,X,X,X,X,X,X
