sequence,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFxbByhB3iBcoBGo?BFsB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFmbBfiBxdBSoBUo?BFsB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFxbB0dBOsBXtB6t?BlrB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFmbB5jBUiBaoBfs?BlsB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFxbBldBcjBXnBSt?BmrB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFmbBRdBcjBXnBSt?BFsB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFxbB0dB6jBXnBVt?BmrB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFmbBUdB5jBlnBao?BfsB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFmbBxdBSoBVsBUo?BfsB
IJSLZOT,X,X,O,O,O,O,X,X,X
IJSLOTZ,X,X,O,X,X,X,X,X,X
IJSLOZT,X,X,O,O,O,O,X,X,X
IJSZTLO,X,X,O,X,X,X,X,X,X
IJSZTOL,X,X,O,X,X,X,X,X,X
IJSZLTO,X,X,O,X,X,X,X,X,X
IJSZLOT,X,X,O,O,X,X,X,X,X
IJSZOTL,X,X,O,X,X,X,X,X,X
IJSZOLT,X,X,O,O,X,X,X,X,X
IJSOTLZ,X,X,O,X,X,X,O,O,X
IJSOTZL,X,X,O,X,X,X,O,O,X
IJSOLTZ,X,X,O,X,X,X,X,X,X
IJSOLZT,X,X,O,O,O,O,X,X,X
IJSOZTL,X,X,O,X,X,X,X,X,X
IJSOZLT,X,X,O,O,X,X,X,X,X
IJZTLSO,X,X,X,X,X,X,X,O,X
IJZTLOS,X,X,X,O,X,X,X,O,X
IJZTSLO,O,X,X,X,X,X,X,O,X
IJZTSOL,O,X,X,X,X,X,X,O,X
IJZTOLS,X,X,X,O,X,X,X,O,X
IJZTOSL,O,X,X,X,X,X,X,O,X
IJZLTSO,X,X,X,X,X,X,X,X,X
IJZLTOS,X,X,X,O,X,X,X,X,X
IJZLSTO,X,X,X,X,X,X,X,X,X
IJZLSOT,X,X,X,O,X,X,X,X,X
IJZLOTS,X,X,X,O,X,X,X,X,X
IJZLOST,X,X,X,O,X,X,X,X,X
IJZSTLO,X,X,O,X,X,X,X,X,X
IJZSTOL,X,X,O,X,X,X,X,X,X
IJZSLTO,X,X,O,X,X,X,X,X,X
IJZSLOT,O,X,O,O,X,X,X,X,X
IJZSOTL,X,X,O,X,X,X,X,X,X
IJZSOLT,O,X,O,O,X,X,X,X,X
IJZOTLS,X,X,X,O,X,X,X,O,X
IJZOTSL,O,X,X,X,X,X,X,O,X
IJZOLTS,X,X,X,O,X,X,X,X,X
IJZOLST,X,X,X,O,X,X,X,X,X
IJZOSTL,X,X,O,X,X,X,X,X,X
IJZOSLT,O,X,O,O,X,X,X,X,X
IJOTLSZ,X,O,X,X,X,X,X,O,X
IJOTLZS,X,X,X,O,X,X,O,O,O
IJOTSLZ,X,O,O,X,X,X,X,O,X
IJOTSZL,X,O,O,X,X,X,X,O,X
IJOTZLS,X,X,X,O,X,X,O,O,X
IJOTZSL,O,X,X,X,X,X,X,O,X
IJOLTSZ,X,X,X,X,X,X,X,O,X
IJOLTZS,X,X,X,O,X,X,X,O,X
IJOLSTZ,X,X,O,X,X,X,X,X,X
IJOLSZT,X,X,O,O,X,O,X,X,X
IJOLZTS,X,X,X,O,O,O,X,X,X
IJOLZST,X,X,X,O,O,O,X,X,X
IJOSTLZ,X,X,O,X,X,X,O,O,X
IJOSTZL,X,X,O,X,X,X,O,O,X
IJOSLTZ,X,X,O,X,X,X,X,X,X
IJOSLZT,X,X,O,O,O,O,X,X,X
IJOSZTL,X,X,O,X,X,X,X,X,X
IJOSZLT,X,X,O,O,X,X,X,X,X
IJOZTLS,X,X,X,O,X,X,X,O,X
IJOZTSL,O,X,X,X,X,X,X,O,X
IJOZLTS,X,X,X,O,X,X,X,X,X
IJOZLST,X,X,X,O,X,X,X,X,X
IJOZSTL,X,X,O,X,X,X,X,X,X
IJOZSLT,O,X,O,O,X,X,X,X,X
ISTLJZO,X,X,X,X,X,X,O,O,X
ISTLJOZ,X,X,X,X,X,X,O,O,X
ISTLZJO,X,X,X,X,O,X,O,O,X
ISTLZOJ,X,X,X,X,O,X,O,O,X
ISTLOJZ,X,X,X,X,X,X,O,O,X
ISTLOZJ,X,X,X,X,O,X,O,O,X
ISTJLZO,X,X,O,X,X,X,O,O,X
ISTJLOZ,X,X,O,X,X,X,O,O,X
ISTJZLO,X,X,O,X,X,X,O,O,X
ISTJZOL,X,X,O,X,X,X,O,O,X
ISTJOLZ,X,X,O,X,X,X,O,O,X
ISTJOZL,X,X,O,X,X,X,O,O,X
ISTZLJO,O,X,X,X,X,X,O,O,X
ISTZLOJ,O,X,X,X,X,X,O,O,X
ISTZJLO,O,X,X,X,X,X,O,O,X
ISTZJOL,O,X,X,X,X,X,O,O,X
ISTZOLJ,O,X,X,X,X,X,O,O,X
ISTZOJL,O,X,X,X,X,X,O,O,X
ISTOLJZ,X,X,X,X,X,X,O,O,X
ISTOLZJ,X,X,X,X,O,X,O,O,X
ISTOJLZ,X,X,O,X,X,X,O,O,X
ISTOJZL,X,X,O,X,X,X,O,O,X
ISTOZLJ,O,X,X,X,X,X,O,O,X
ISTOZJL,O,X,X,X,X,X,O,O,X
ISLTJZO,X,X,X,X,X,X,O,X,X
ISLTJOZ,X,X,X,X,X,X,O,X,X
ISLTZJO,X,X,X,X,O,X,O,X,X
ISLTZOJ,X,X,X,X,O,X,O,X,X
ISLTOJZ,X,X,X,X,X,X,O,X,X
ISLTOZJ,X,X,X,X,O,X,O,X,X
ISLJTZO,X,X,O,X,X,X,X,X,X
ISLJTOZ,X,X,O,X,X,X,X,X,X
ISLJZTO,X,X,O,X,O,O,X,X,X
ISLJZOT,X,X,O,O,O,O,X,X,X
ISLJOTZ,X,X,O,X,X,X,X,X,X
ISLJOZT,X,X,O,O,O,O,X,X,X
ISLZTJO,X,X,X,X,O,O,X,X,X
ISLZTOJ,X,X,X,X,O,O,X,X,X
ISLZJTO,X,X,X,X,O,O,X,X,X
ISLZJOT,X,X,X,O,O,O,X,X,X
ISLZOTJ,X,X,X,X,O,O,X,X,X
ISLZOJT,X,X,X,O,O,O,X,X,X
ISLOTJZ,X,X,X,X,X,X,O,X,X
ISLOTZJ,X,X,X,X,O,X,O,X,X
ISLOJTZ,X,X,O,X,X,X,X,X,X
ISLOJZT,X,X,O,O,O,O,X,X,X
ISLOZTJ,X,X,X,X,O,O,X,X,X
ISLOZJT,X,X,X,O,O,O,X,X,X
ISJTLZO,X,X,O,X,X,X,O,O,X
ISJTLOZ,X,X,O,X,X,X,O,O,X
ISJTZLO,X,X,O,X,X,X,O,O,X
ISJTZOL,X,X,O,X,X,X,O,O,X
ISJTOLZ,X,X,O,X,X,X,O,O,X
ISJTOZL,X,X,O,X,X,X,O,O,X
ISJLTZO,X,X,O,X,X,X,X,X,X
ISJLTOZ,X,X,O,X,X,X,X,X,X
ISJLZTO,X,X,O,X,O,O,X,X,X
ISJLZOT,X,X,O,O,O,O,X,X,X
ISJLOTZ,X,X,O,X,X,X,X,X,X
ISJLOZT,X,X,O,O,O,O,X,X,X
ISJZTLO,X,X,O,X,X,X,X,X,X
ISJZTOL,X,X,O,X,X,X,X,X,X
ISJZLTO,X,X,O,X,X,X,X,X,X
ISJZLOT,X,X,O,O,X,X,X,X,X
ISJZOTL,X,X,O,X,X,X,X,X,X
ISJZOLT,X,X,O,O,X,X,X,X,X
ISJOTLZ,X,X,O,X,X,X,O,O,X
ISJOTZL,X,X,O,X,X,X,O,O,X
ISJOLTZ,X,X,O,X,X,X,X,X,X
ISJOLZT,X,X,O,O,O,O,X,X,X
ISJOZTL,X,X,O,X,X,X,X,X,X
ISJOZLT,X,X,O,O,X,X,X,X,X
ISZTLJO,O,X,X,X,X,X,O,X,X
ISZTLOJ,O,X,X,X,X,X,O,X,X
ISZTJLO,O,X,X,X,X,X,O,X,X
ISZTJOL,O,X,X,X,X,X,O,X,X
ISZTOLJ,O,X,X,X,X,X,O,X,X
ISZTOJL,O,X,X,X,X,X,O,X,X
ISZLTJO,X,X,X,X,O,X,X,X,X
ISZLTOJ,O,X,X,X,O,X,X,X,X
ISZLJTO,X,X,X,X,O,X,X,X,X
ISZLJOT,O,X,X,O,O,X,X,X,X
ISZLOTJ,O,X,X,X,O,X,X,X,X
ISZLOJT,O,X,X,O,O,X,X,X,X
ISZJTLO,X,X,O,X,X,X,X,X,X
ISZJTOL,X,X,O,X,X,X,X,X,X
ISZJLTO,X,X,O,X,X,X,X,X,X
ISZJLOT,O,X,O,O,X,X,X,X,X
ISZJOTL,X,X,O,X,X,X,X,X,X
ISZJOLT,O,X,O,O,X,X,X,X,X
ISZOTLJ,O,X,X,X,X,X,O,X,X
ISZOTJL,O,X,X,X,X,X,O,X,X
ISZOLTJ,O,X,X,X,O,X,X,X,X
ISZOLJT,O,X,X,O,O,X,X,X,X
ISZOJTL,X,X,O,X,X,X,X,X,X
ISZOJLT,O,X,O,O,X,X,X,X,X
ISOTLJZ,X,X,X,X,X,X,O,O,X
ISOTLZJ,X,X,X,X,O,X,O,O,X
ISOTJLZ,X,X,O,X,X,X,O,O,X
ISOTJZL,X,X,O,X,X,X,O,O,X
ISOTZLJ,O,X,X,X,X,X,O,O,X
ISOTZJL,O,X,X,X,X,X,O,O,X
ISOLTJZ,X,X,X,X,X,X,O,X,X
ISOLTZJ,X,X,X,X,O,X,O,X,X
ISOLJTZ,X,X,O,X,X,X,X,X,X
ISOLJZT,X,X,O,O,O,O,X,X,X
ISOLZTJ,X,X,X,X,O,O,X,X,X
ISOLZJT,X,X,X,O,O,O,X,X,X
ISOJTLZ,X,X,O,X,X,X,O,O,X
ISOJTZL,X,X,O,X,X,X,O,O,X
ISOJLTZ,X,X,O,X,X,X,X,X,X
ISOJLZT,X,X,O,O,O,O,X,X,X
ISOJZTL,X,X,O,X,X,X,X,X,X
ISOJZLT,X,X,O,O,X,X,X,X,X
ISOZTLJ,O,X,X,X,X,X,O,X,X
ISOZTJL,O,X,X,X,X,X,O,X,X
ISOZLTJ,O,X,X,X,O,X,X,X,X
ISOZLJT,O,X,X,O,O,X,X,X,X
ISOZJTL,X,X,O,X,X,X,X,X,X
ISOZJLT,O,X,O,O,X,X,X,X,X
IZTLJSO,X,X,X,X,X,X,X,O,X
IZTLJOS,X,X,X,O,X,X,O,O,X
IZTLSJO,O,X,X,X,X,X,X,O,X
IZTLSOJ,O,X,X,X,X,X,O,O,X
IZTLOJS,X,X,X,O,X,X,O,O,X
IZTLOSJ,O,X,X,X,X,X,O,O,X
IZTJLSO,X,X,X,X,X,X,X,O,X
IZTJLOS,X,X,X,O,X,X,O,O,X
IZTJSLO,O,X,X,X,X,X,X,O,X
IZTJSOL,O,X,X,X,X,X,X,O,X
IZTJOLS,X,X,X,O,X,X,O,O,X
IZTJOSL,O,X,X,X,X,X,X,O,X
IZTSLJO,O,X,X,X,X,X,X,O,X
IZTSLOJ,O,X,X,X,X,X,O,O,X
IZTSJLO,O,X,X,X,X,X,X,O,X
IZTSJOL,O,X,X,X,X,X,X,O,X
IZTSOLJ,O,X,X,X,X,X,O,O,X
IZTSOJL,O,X,X,X,X,X,X,O,X
IZTOLJS,X,X,X,O,X,X,O,O,X
IZTOLSJ,O,X,X,X,X,X,O,O,X
IZTOJLS,X,X,X,O,X,X,O,O,X
IZTOJSL,O,X,X,X,X,X,X,O,X
IZTOSLJ,O,X,X,X,X,X,O,O,X
IZTOSJL,O,X,X,X,X,X,X,O,X
IZLTJSO,X,X,X,X,X,X,X,X,X
IZLTJOS,X,X,X,O,O,X,X,X,X
IZLTSJO,O,X,X,X,O,X,X,X,X
IZLTSOJ,O,X,X,X,O,X,X,X,X
IZLTOJS,X,X,X,O,O,X,X,X,X
IZLTOSJ,O,X,X,X,O,X,X,X,X
IZLJTSO,X,X,X,X,X,X,X,X,X
IZLJTOS,X,X,X,O,O,X,X,X,X
IZLJSTO,X,X,X,X,O,X,X,X,X
IZLJSOT,X,X,X,O,O,X,X,X,X
IZLJOTS,X,X,X,O,O,X,X,X,X
IZLJOST,X,X,X,O,O,X,X,X,X
IZLSTJO,X,X,X,X,O,X,X,X,X
IZLSTOJ,O,X,X,X,O,X,X,X,X
IZLSJTO,X,X,X,X,O,X,X,X,X
IZLSJOT,O,X,X,O,O,X,X,X,X
IZLSOTJ,O,X,X,X,O,X,X,X,X
IZLSOJT,O,X,X,O,O,X,X,X,X
IZLOTJS,X,X,X,O,O,X,X,X,X
IZLOTSJ,O,X,X,X,O,X,X,X,X
IZLOJTS,X,X,X,O,O,X,X,X,X
IZLOJST,X,X,X,O,O,X,X,X,X
IZLOSTJ,O,X,X,X,O,X,X,X,X
IZLOSJT,O,X,X,O,O,X,X,X,X
IZJTLSO,X,X,X,X,X,X,X,O,X
IZJTLOS,X,X,X,O,X,X,X,O,X
IZJTSLO,O,X,X,X,X,X,X,O,X
IZJTSOL,O,X,X,X,X,X,X,O,X
IZJTOLS,X,X,X,O,X,X,X,O,X
IZJTOSL,O,X,X,X,X,X,X,O,X
IZJLTSO,X,X,X,X,X,X,X,X,X
IZJLTOS,X,X,X,O,X,X,X,X,X
IZJLSTO,X,X,X,X,X,X,X,X,X
IZJLSOT,X,X,X,O,X,X,X,X,X
IZJLOTS,X,X,X,O,X,X,X,X,X
IZJLOST,X,X,X,O,X,X,X,X,X
IZJSTLO,X,X,O,X,X,X,X,X,X
IZJSTOL,X,X,O,X,X,X,X,X,X
IZJSLTO,X,X,O,X,X,X,X,X,X
IZJSLOT,O,X,O,O,X,X,X,X,X
IZJSOTL,X,X,O,X,X,X,X,X,X
IZJSOLT,O,X,O,O,X,X,X,X,X
IZJOTLS,X,X,X,O,X,X,X,O,X
IZJOTSL,O,X,X,X,X,X,X,O,X
IZJOLTS,X,X,X,O,X,X,X,X,X
IZJOLST,X,X,X,O,X,X,X,X,X
IZJOSTL,X,X,O,X,X,X,X,X,X
IZJOSLT,O,X,O,O,X,X,X,X,X
IZSTLJO,O,X,X,X,X,X,O,X,X
IZSTLOJ,O,X,X,X,X,X,O,X,X
IZSTJLO,O,X,X,X,X,X,O,X,X
IZSTJOL,O,X,X,X,X,X,O,X,X
IZSTOLJ,O,X,X,X,X,X,O,X,X
IZSTOJL,O,X,X,X,X,X,O,X,X
IZSLTJO,X,X,X,X,O,X,X,X,X
IZSLTOJ,O,X,X,X,O,X,X,X,X
IZSLJTO,X,X,X,X,O,X,X,X,X
IZSLJOT,O,X,X,O,O,X,X,X,X
IZSLOTJ,O,X,X,X,O,X,X,X,X
IZSLOJT,O,X,X,O,O,X,X,X,X
IZSJTLO,X,X,O,X,X,X,X,X,X
IZSJTOL,X,X,O,X,X,X,X,X,X
IZSJLTO,X,X,O,X,X,X,X,X,X
IZSJLOT,O,X,O,O,X,X,X,X,X
IZSJOTL,X,X,O,X,X,X,X,X,X
IZSJOLT,O,X,O,O,X,X,X,X,X
IZSOTLJ,O,X,X,X,X,X,O,X,X
IZSOTJL,O,X,X,X,X,X,O,X,X
IZSOLTJ,O,X,X,X,O,X,X,X,X
IZSOLJT,O,X,X,O,O,X,X,X,X
IZSOJTL,X,X,O,X,X,X,X,X,X
IZSOJLT,O,X,O,O,X,X,X,X,X
IZOTLJS,X,X,X,O,X,X,O,O,X
IZOTLSJ,O,X,X,X,X,X,O,O,X
IZOTJLS,X,X,X,O,X,X,O,O,X
IZOTJSL,O,X,X,X,X,X,X,O,X
IZOTSLJ,O,X,X,X,X,X,O,O,X
IZOTSJL,O,X,X,X,X,X,X,O,X
IZOLTJS,X,X,X,O,O,X,X,X,X
IZOLTSJ,O,X,X,X,O,X,X,X,X
IZOLJTS,X,X,X,O,O,X,X,X,X
IZOLJST,X,X,X,O,O,X,X,X,X
IZOLSTJ,O,X,X,X,O,X,X,X,X
IZOLSJT,O,X,X,O,O,X,X,X,X
IZOJTLS,X,X,X,O,X,X,X,O,X
IZOJTSL,O,X,X,X,X,X,X,O,X
IZOJLTS,X,X,X,O,X,X,X,X,X
IZOJLST,X,X,X,O,X,X,X,X,X
IZOJSTL,X,X,O,X,X,X,X,X,X
IZOJSLT,O,X,O,O,X,X,X,X,X
IZOSTLJ,O,X,X,X,X,X,O,X,X
IZOSTJL,O,X,X,X,X,X,O,X,X
IZOSLTJ,O,X,X,X,O,X,X,X,X
IZOSLJT,O,X,X,O,O,X,X,X,X
IZOSJTL,X,X,O,X,X,X,X,X,X
IZOSJLT,O,X,O,O,X,X,X,X,X
IOTLJSZ,X,O,X,X,X,X,X,O,X
IOTLJZS,X,X,X,O,X,X,O,O,O
IOTLSJZ,X,O,X,X,X,X,O,O,X
IOTLSZJ,X,O,X,X,X,X,O,O,X
IOTLZJS,X,X,X,O,O,X,O,O,O
IOTLZSJ,O,X,X,X,O,X,O,O,O
IOTJLSZ,X,O,X,X,X,X,X,O,X
IOTJLZS,X,X,X,O,X,X,O,O,O
IOTJSLZ,X,O,O,X,X,X,X,O,X
IOTJSZL,X,O,O,X,X,X,X,O,X
IOTJZLS,X,X,X,O,X,X,O,O,X
IOTJZSL,O,X,X,X,X,X,X,O,X
IOTSLJZ,X,O,X,X,X,X,O,O,X
IOTSLZJ,X,O,X,X,O,X,O,O,X
IOTSJLZ,X,O,O,X,X,X,O,O,X
IOTSJZL,X,O,O,X,X,X,O,O,X
IOTSZLJ,O,X,X,X,X,X,O,O,X
IOTSZJL,O,O,X,X,X,X,O,O,X
IOTZLJS,X,X,X,O,X,X,O,O,X
IOTZLSJ,O,X,X,X,X,X,O,O,X
IOTZJLS,X,X,X,O,X,X,O,O,X
IOTZJSL,O,X,X,X,X,X,X,O,X
IOTZSLJ,O,X,X,X,X,X,O,O,X
IOTZSJL,O,X,X,X,X,X,X,O,X
IOLTJSZ,X,X,X,X,X,X,X,O,X
IOLTJZS,X,X,X,O,X,X,O,O,X
IOLTSJZ,X,X,X,X,X,X,X,O,X
IOLTSZJ,X,X,X,X,X,X,O,O,X
IOLTZJS,X,X,X,O,O,X,O,O,X
IOLTZSJ,O,X,X,X,O,X,O,O,X
IOLJTSZ,X,X,X,X,X,X,X,O,X
IOLJTZS,X,X,X,O,X,X,X,O,X
IOLJSTZ,X,X,O,X,X,X,X,X,X
IOLJSZT,X,X,O,O,X,O,X,X,X
IOLJZTS,X,X,X,O,O,O,X,X,X
IOLJZST,X,X,X,O,O,O,X,X,X
IOLSTJZ,X,X,X,X,X,X,O,X,X
IOLSTZJ,X,X,X,X,O,X,O,X,X
IOLSJTZ,X,X,O,X,X,X,X,X,X
IOLSJZT,X,X,O,O,O,O,X,X,X
IOLSZTJ,X,X,X,X,O,O,X,X,X
IOLSZJT,X,X,X,O,O,O,X,X,X
IOLZTJS,X,X,X,O,O,O,X,X,X
IOLZTSJ,O,X,X,X,O,X,X,X,X
IOLZJTS,X,X,X,O,O,O,X,X,X
IOLZJST,X,X,X,O,O,O,X,X,X
IOLZSTJ,O,X,X,X,O,O,X,X,X
IOLZSJT,O,X,X,O,O,O,X,X,X
IOJTLSZ,X,O,X,X,X,X,X,O,X
IOJTLZS,X,X,X,O,X,X,O,O,O
IOJTSLZ,X,O,O,X,X,X,X,O,X
IOJTSZL,X,O,O,X,X,X,X,O,X
IOJTZLS,X,X,X,O,X,X,O,O,X
IOJTZSL,O,X,X,X,X,X,X,O,X
IOJLTSZ,X,X,X,X,X,X,X,O,X
IOJLTZS,X,X,X,O,X,X,X,O,X
IOJLSTZ,X,X,O,X,X,X,X,X,X
IOJLSZT,X,X,O,O,X,O,X,X,X
IOJLZTS,X,X,X,O,O,O,X,X,X
IOJLZST,X,X,X,O,O,O,X,X,X
IOJSTLZ,X,X,O,X,X,X,O,O,X
IOJSTZL,X,X,O,X,X,X,O,O,X
IOJSLTZ,X,X,O,X,X,X,X,X,X
IOJSLZT,X,X,O,O,O,O,X,X,X
IOJSZTL,X,X,O,X,X,X,X,X,X
IOJSZLT,X,X,O,O,X,X,X,X,X
IOJZTLS,X,X,X,O,X,X,X,O,X
IOJZTSL,O,X,X,X,X,X,X,O,X
IOJZLTS,X,X,X,O,X,X,X,X,X
IOJZLST,X,X,X,O,X,X,X,X,X
IOJZSTL,X,X,O,X,X,X,X,X,X
IOJZSLT,O,X,O,O,X,X,X,X,X
IOSTLJZ,X,X,X,X,X,X,O,O,X
IOSTLZJ,X,X,X,X,O,X,O,O,X
IOSTJLZ,X,X,O,X,X,X,O,O,X
IOSTJZL,X,X,O,X,X,X,O,O,X
IOSTZLJ,O,X,X,X,X,X,O,O,X
IOSTZJL,O,X,X,X,X,X,O,O,X
IOSLTJZ,X,X,X,X,X,X,O,X,X
IOSLTZJ,X,X,X,X,O,X,O,X,X
IOSLJTZ,X,X,O,X,X,X,X,X,X
IOSLJZT,X,X,O,O,O,O,X,X,X
IOSLZTJ,X,X,X,X,O,O,X,X,X
IOSLZJT,X,X,X,O,O,O,X,X,X
IOSJTLZ,X,X,O,X,X,X,O,O,X
IOSJTZL,X,X,O,X,X,X,O,O,X
IOSJLTZ,X,X,O,X,X,X,X,X,X
IOSJLZT,X,X,O,O,O,O,X,X,X
IOSJZTL,X,X,O,X,X,X,X,X,X
IOSJZLT,X,X,O,O,X,X,X,X,X
IOSZTLJ,O,X,X,X,X,X,O,X,X
IOSZTJL,O,X,X,X,X,X,O,X,X
IOSZLTJ,O,X,X,X,O,X,X,X,X
IOSZLJT,O,X,X,O,O,X,X,X,X
IOSZJTL,X,X,O,X,X,X,X,X,X
IOSZJLT,O,X,O,O,X,X,X,X,X
IOZTLJS,X,X,X,O,X,X,O,O,X
IOZTLSJ,O,X,X,X,X,X,O,O,X
IOZTJLS,X,X,X,O,X,X,O,O,X
IOZTJSL,O,X,X,X,X,X,X,O,X
IOZTSLJ,O,X,X,X,X,X,O,O,X
IOZTSJL,O,X,X,X,X,X,X,O,X
IOZLTJS,X,X,X,O,O,X,X,X,X
IOZLTSJ,O,X,X,X,O,X,X,X,X
IOZLJTS,X,X,X,O,O,X,X,X,X
IOZLJST,X,X,X,O,O,X,X,X,X
IOZLSTJ,O,X,X,X,O,X,X,X,X
IOZLSJT,O,X,X,O,O,X,X,X,X
IOZJTLS,X,X,X,O,X,X,X,O,X
IOZJTSL,O,X,X,X,X,X,X,O,X
IOZJLTS,X,X,X,O,X,X,X,X,X
IOZJLST,X,X,X,O,X,X,X,X,X
IOZJSTL,X,X,O,X,X,X,X,X,X
IOZJSLT,O,X,O,O,X,X,X,X,X
IOZSTLJ,O,X,X,X,X,X,O,X,X
IOZSTJL,O,X,X,X,X,X,O,X,X
IOZSLTJ,O,X,X,X,O,X,X,X,X
IOZSLJT,O,X,X,O,O,X,X,X,X
IOZSJTL,X,X,O,X,X,X,X,X,X
IOZSJLT,O,X,O,O,X,X,X,X,X
LTIJSZO,X,O,X,X,X,X,X,O,X
LTIJSOZ,X,O,X,X,X,X,X,O,X
LTIJZSO,X,X,X,X,X,X,X,O,O
LTIJZOS,X,X,X,O,X,X,O,O,O
LTIJOSZ,X,O,X,X,X,X,X,O,X
LTIJOZS,X,X,X,O,X,X,O,O,O
LTISJZO,X,O,X,X,X,X,O,O,X
LTISJOZ,X,O,X,X,X,X,O,O,X
LTISZJO,X,O,X,X,X,X,O,O,X
LTISZOJ,X,O,X,X,X,X,O,O,X
LTISOJZ,X,O,X,X,X,X,O,O,X
LTISOZJ,X,O,X,X,X,X,O,O,X
LTIZJSO,X,X,X,X,X,X,X,O,O
LTIZJOS,X,X,X,O,O,X,O,O,O
LTIZSJO,O,X,X,X,O,X,X,O,O
LTIZSOJ,O,X,X,X,O,X,O,O,O
LTIZOJS,X,X,X,O,O,X,O,O,O
LTIZOSJ,O,X,X,X,O,X,O,O,O
LTIOJSZ,X,O,X,X,X,X,X,O,X
LTIOJZS,X,X,X,O,X,X,O,O,O
LTIOSJZ,X,O,X,X,X,X,O,O,X
LTIOSZJ,X,O,X,X,X,X,O,O,X
LTIOZJS,X,X,X,O,O,X,O,O,O
LTIOZSJ,O,X,X,X,O,X,O,O,O
LTJISZO,X,O,X,X,X,X,X,O,X
LTJISOZ,X,O,X,X,X,X,X,O,X
LTJIZSO,X,X,X,X,X,X,X,O,O
LTJIZOS,X,X,X,O,X,X,O,O,O
LTJIOSZ,X,O,X,X,X,X,X,O,X
LTJIOZS,X,X,X,O,X,X,O,O,O
LTJSIZO,X,O,X,X,X,X,O,X,X
LTJSIOZ,X,O,X,X,X,X,O,X,X
LTJSZIO,X,O,X,X,X,O,O,X,O
LTJSZOI,X,O,X,X,X,O,O,X,O
LTJSOIZ,X,O,X,X,X,X,O,X,X
LTJSOZI,X,O,X,X,X,O,O,X,O
LTJZISO,X,X,X,X,X,X,X,X,O
LTJZIOS,X,X,X,O,X,O,O,X,O
LTJZSIO,X,O,X,X,X,O,X,X,O
LTJZSOI,X,O,X,X,X,O,X,X,O
LTJZOIS,X,X,X,O,X,O,O,X,O
LTJZOSI,X,O,X,X,X,O,X,X,O
LTJOISZ,X,O,X,X,X,X,X,O,X
LTJOIZS,X,X,X,O,X,X,O,O,O
LTJOSIZ,X,O,X,X,X,X,O,X,X
LTJOSZI,X,O,X,X,X,O,O,X,O
LTJOZIS,X,X,X,O,X,O,O,X,O
LTJOZSI,X,O,X,X,X,O,X,X,O
LTSIJZO,X,O,X,X,X,X,O,X,X
LTSIJOZ,X,O,X,X,X,X,O,X,X
LTSIZJO,X,O,X,X,O,X,O,X,X
LTSIZOJ,X,O,X,X,O,X,O,X,X
LTSIOJZ,X,O,X,X,X,X,O,X,X
LTSIOZJ,X,O,X,X,O,X,O,X,X
LTSJIZO,X,O,X,X,X,X,O,X,X
LTSJIOZ,X,O,X,X,X,X,O,X,X
LTSJZIO,X,O,X,X,X,O,O,X,O
LTSJZOI,X,O,X,X,X,O,O,X,O
LTSJOIZ,X,O,X,X,X,X,O,X,X
LTSJOZI,X,O,X,X,X,O,O,X,O
LTSZIJO,X,O,X,X,O,O,O,X,O
LTSZIOJ,X,O,X,X,O,O,O,X,O
LTSZJIO,X,O,X,X,O,O,O,X,O
LTSZJOI,X,O,X,X,O,O,O,X,O
LTSZOIJ,X,O,X,X,O,O,O,X,O
LTSZOJI,X,O,X,X,O,O,O,X,O
LTSOIJZ,X,O,X,X,X,X,O,X,X
LTSOIZJ,X,O,X,X,O,X,O,X,X
LTSOJIZ,X,O,X,X,X,X,O,X,X
LTSOJZI,X,O,X,X,X,O,O,X,O
LTSOZIJ,X,O,X,X,O,O,O,X,O
LTSOZJI,X,O,X,X,O,O,O,X,O
LTZIJSO,X,X,X,X,X,X,X,X,O
LTZIJOS,X,X,X,O,O,O,O,X,O
LTZISJO,O,X,X,X,O,X,X,X,O
LTZISOJ,O,X,X,X,O,X,O,X,O
LTZIOJS,X,X,X,O,O,O,O,X,O
LTZIOSJ,O,X,X,X,O,X,O,X,O
LTZJISO,X,X,X,X,X,X,X,X,O
LTZJIOS,X,X,X,O,O,O,O,X,O
LTZJSIO,X,O,X,X,X,O,X,X,O
LTZJSOI,X,O,X,X,X,O,X,X,O
LTZJOIS,X,X,X,O,O,O,O,X,O
LTZJOSI,X,O,X,X,X,O,X,X,O
LTZSIJO,O,O,X,X,O,O,O,X,O
LTZSIOJ,O,O,X,X,O,O,O,X,O
LTZSJIO,O,O,X,X,O,O,O,X,O
LTZSJOI,O,O,X,X,O,O,O,X,O
LTZSOIJ,O,O,X,X,O,O,O,X,O
LTZSOJI,O,O,X,X,O,O,O,X,O
LTZOIJS,X,X,X,O,O,O,O,X,O
LTZOISJ,O,X,X,X,O,X,O,X,O
