sequence,v115@zgA8GeC8FeD8GeC8GeE8AeF8Je5/IvhFmbBCdBTgB/?nB0mBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8Jez6IvhFWhBxcB/nBC?lB0mBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JeR7IvhFFdBzfBfmB0?hBSsBGqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8Je5/IvhF/hBFdBOlB0?gBTnBCrB,v115@zgA8GeC8FeD8GeC8GeE8AeF8Jex8IvhFflBlgBumB8?qBTsBCqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JeC7IvhF8kBRhBXhBT?iBWsBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JeWAJvhFxbB/mBUiBC?lBTnBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8Je5/IvhFOgB8gB3hBT?nBCnBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JeR7IvhFqkBTgBlhB8?qBXsBGsB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JefAJvhFzgBUiBCiBW?qBxrBlqB
ILOTJSZ,X,X,X,O,X,X,X,X,X,X
ILOTJZS,X,X,X,O,X,X,X,X,X,X
ILOTSJZ,X,X,X,O,X,X,X,X,X,X
ILOTSZJ,X,X,X,O,X,X,X,O,X,X
ILOTZJS,X,X,X,O,X,X,X,X,X,X
ILOTZSJ,X,X,X,O,X,X,X,X,X,X
ILOJTSZ,X,X,X,O,X,X,X,X,X,X
ILOJTZS,X,X,X,O,X,X,X,X,X,X
ILOJSTZ,X,O,X,O,X,X,X,X,X,X
ILOJSZT,X,O,X,O,O,X,X,X,X,O
ILOJZTS,X,X,X,O,X,X,X,X,X,X
ILOJZST,X,X,X,O,O,X,X,X,X,O
ILOSTJZ,O,O,X,O,X,X,X,X,X,X
ILOSTZJ,O,O,X,O,X,X,X,O,X,X
ILOSJTZ,X,O,X,O,X,X,X,X,X,X
ILOSJZT,X,O,X,O,O,X,X,X,X,X
ILOSZTJ,O,O,X,O,X,X,X,X,X,X
ILOSZJT,O,O,X,O,X,X,X,O,X,X
ILOZTJS,X,X,X,O,X,X,X,X,X,X
ILOZTSJ,X,X,X,O,X,X,X,X,X,X
ILOZJTS,X,X,X,O,X,X,X,X,X,X
ILOZJST,X,O,X,O,X,X,X,X,X,O
ILOZSTJ,X,O,X,O,X,X,X,X,X,X
ILOZSJT,X,O,X,O,X,X,X,X,X,X
IJTLSZO,X,X,O,O,X,X,X,X,X,X
IJTLSOZ,X,X,O,O,X,X,X,X,X,X
IJTLZSO,X,X,O,O,X,O,X,O,X,X
IJTLZOS,X,X,O,X,X,O,X,X,X,X
IJTLOSZ,X,X,O,O,X,X,X,X,X,X
IJTLOZS,X,X,O,X,X,X,X,X,X,X
IJTSLZO,X,O,O,O,X,X,X,X,X,X
IJTSLOZ,O,O,O,O,X,X,X,X,X,X
IJTSZLO,X,X,O,X,X,O,X,O,X,X
IJTSZOL,X,X,O,X,X,X,X,O,X,O
IJTSOLZ,O,X,O,X,X,X,X,X,X,X
IJTSOZL,O,X,O,X,X,X,X,X,X,O
IJTZLSO,O,X,X,O,X,O,X,O,X,X
IJTZLOS,X,X,X,X,X,O,X,X,X,X
IJTZSLO,O,X,X,X,X,O,X,O,X,X
IJTZSOL,O,X,X,X,X,X,X,O,X,O
IJTZOLS,O,X,X,X,X,O,X,X,X,X
IJTZOSL,O,X,X,X,X,X,X,O,X,O
IJTOLSZ,O,X,O,O,X,X,X,X,X,X
IJTOLZS,O,X,O,O,X,X,X,X,X,X
IJTOSLZ,O,X,O,O,X,X,X,X,X,X
IJTOSZL,O,X,O,X,X,X,X,O,X,O
IJTOZLS,O,X,O,O,X,O,X,X,X,X
IJTOZSL,O,X,O,X,X,X,X,O,X,O
IJLTSZO,X,X,O,O,X,X,X,X,X,X
IJLTSOZ,X,X,O,O,X,X,X,X,X,X
IJLTZSO,X,X,O,O,X,O,X,X,X,X
IJLTZOS,X,X,O,X,X,O,X,X,X,X
IJLTOSZ,X,X,O,O,X,X,X,X,X,X
IJLTOZS,X,X,O,X,X,X,X,X,X,X
IJLSTZO,X,X,O,O,X,X,X,X,X,X
IJLSTOZ,O,X,O,O,X,X,X,X,X,X
IJLSZTO,O,X,O,O,X,X,X,X,X,X
IJLSZOT,O,X,O,X,X,X,X,X,X,O
IJLSOTZ,X,X,O,O,X,X,X,X,X,X
IJLSOZT,X,X,O,X,X,X,X,X,X,O
IJLZTSO,X,X,O,O,X,O,X,X,X,X
IJLZTOS,X,X,O,X,X,O,X,X,X,X
IJLZSTO,X,X,X,O,X,O,X,X,X,X
IJLZSOT,X,X,X,X,X,O,X,X,X,O
IJLZOTS,X,X,O,X,X,O,X,X,X,X
IJLZOST,X,X,X,X,X,O,X,X,X,O
IJLOTSZ,X,X,O,O,X,X,X,X,X,X
IJLOTZS,X,X,O,O,X,X,X,X,X,X
IJLOSTZ,X,X,O,O,X,X,X,X,X,X
IJLOSZT,X,X,O,O,X,X,X,X,X,O
IJLOZTS,X,X,O,O,X,X,X,X,X,X
IJLOZST,X,X,O,O,X,X,X,X,X,O
IJSTLZO,X,O,O,O,X,X,X,X,X,X
IJSTLOZ,O,O,O,O,X,X,X,X,X,X
IJSTZLO,X,X,O,X,X,O,X,X,X,X
IJSTZOL,X,X,O,X,X,X,X,X,X,O
IJSTOLZ,O,X,O,X,X,X,X,X,X,X
IJSTOZL,O,X,O,X,X,X,X,X,X,O
IJSLTZO,X,X,O,O,X,X,X,X,X,X
IJSLTOZ,O,O,O,O,X,X,X,X,X,X
IJSLZTO,O,O,O,O,X,X,X,X,X,X
IJSLZOT,O,O,O,X,X,X,X,X,X,O
IJSLOTZ,X,O,O,O,X,X,X,X,X,X
IJSLOZT,X,O,O,X,X,X,X,X,X,O
IJSZTLO,O,O,O,X,X,X,X,X,X,X
IJSZTOL,O,O,O,X,O,X,X,X,X,O
IJSZLTO,O,O,O,X,X,O,X,X,X,X
IJSZLOT,O,O,O,X,X,O,X,X,X,O
IJSZOTL,X,O,O,X,X,X,X,X,X,O
IJSZOLT,O,O,O,X,X,X,X,X,X,O
IJSOTLZ,X,X,O,O,X,X,X,X,X,X
IJSOTZL,X,X,O,X,X,X,X,X,X,O
IJSOLTZ,X,X,O,O,X,X,X,X,X,X
IJSOLZT,X,X,O,O,X,X,X,X,X,O
IJSOZTL,X,X,O,X,X,X,X,X,X,O
IJSOZLT,X,X,O,X,X,X,X,X,X,O
IJZTLSO,O,X,X,O,X,O,X,X,X,X
IJZTLOS,X,X,X,X,X,O,X,X,X,X
IJZTSLO,O,X,X,X,X,O,X,X,X,X
IJZTSOL,O,X,X,X,X,X,X,X,X,O
IJZTOLS,O,X,X,X,X,O,X,X,X,X
IJZTOSL,O,X,X,X,X,X,X,X,X,O
IJZLTSO,X,X,X,O,X,O,X,X,X,X
IJZLTOS,X,X,X,X,X,O,X,X,X,X
IJZLSTO,O,X,X,O,X,O,X,X,X,X
IJZLSOT,O,X,X,X,X,O,X,X,X,O
IJZLOTS,X,X,X,X,X,O,X,X,X,X
IJZLOST,X,X,X,X,X,O,X,X,X,O
IJZSTLO,O,X,X,X,X,X,X,X,X,X
IJZSTOL,O,X,X,X,O,X,X,X,X,O
IJZSLTO,O,X,X,X,X,O,X,X,X,X
IJZSLOT,O,X,X,X,X,O,X,X,X,O
IJZSOTL,X,X,X,X,X,X,X,X,X,O
IJZSOLT,O,X,X,X,X,X,X,X,X,O
IJZOTLS,X,X,X,O,X,X,X,X,X,X
IJZOTSL,X,X,X,X,X,X,X,X,X,O
IJZOLTS,X,X,X,O,X,O,X,X,X,X
IJZOLST,X,X,X,O,X,O,X,X,X,O
IJZOSTL,X,X,X,X,X,X,X,X,X,O
IJZOSLT,O,X,X,X,X,X,X,X,X,O
IJOTLSZ,X,X,O,O,X,X,X,X,X,X
IJOTLZS,X,X,O,O,X,X,X,X,X,X
IJOTSLZ,X,X,O,O,X,X,X,X,X,X
IJOTSZL,X,X,O,X,O,X,X,O,X,O
IJOTZLS,X,X,O,O,X,O,X,X,X,X
IJOTZSL,X,X,O,X,O,X,X,X,X,O
IJOLTSZ,X,X,O,O,X,X,X,X,X,X
IJOLTZS,X,X,O,O,X,X,X,X,X,X
IJOLSTZ,X,X,O,O,X,X,X,X,X,X
IJOLSZT,X,X,O,O,O,X,X,X,X,O
IJOLZTS,X,X,O,O,X,X,X,X,X,X
IJOLZST,X,X,O,O,O,X,X,X,X,O
IJOSTLZ,X,X,O,O,X,X,X,X,X,X
IJOSTZL,X,X,O,X,O,X,X,O,X,O
IJOSLTZ,X,X,O,O,X,X,X,X,X,X
IJOSLZT,X,X,O,O,O,X,X,X,X,O
IJOSZTL,X,X,O,X,O,X,X,O,X,O
IJOSZLT,X,X,O,X,O,X,X,O,X,O
IJOZTLS,X,X,O,O,X,X,X,X,X,X
IJOZTSL,X,X,O,X,O,X,X,X,X,O
IJOZLTS,X,X,O,O,X,O,X,X,X,X
IJOZLST,X,X,O,O,O,O,X,X,X,O
IJOZSTL,X,X,O,X,O,X,X,X,X,O
IJOZSLT,X,X,O,X,O,X,X,X,X,O
ISTLJZO,X,O,O,O,X,X,O,X,X,X
ISTLJOZ,O,O,O,O,X,X,O,X,X,X
ISTLZJO,O,O,O,O,X,X,O,O,X,X
ISTLZOJ,O,O,O,X,X,X,O,X,O,X
ISTLOJZ,O,O,O,O,X,X,O,X,X,X
ISTLOZJ,O,O,O,X,X,X,O,X,X,X
ISTJLZO,X,O,O,O,X,X,O,X,X,X
ISTJLOZ,O,O,O,O,X,X,O,X,X,X
ISTJZLO,X,X,O,X,X,X,O,O,X,X
ISTJZOL,X,X,O,X,X,X,X,O,X,X
ISTJOLZ,O,X,O,X,X,X,X,X,X,X
ISTJOZL,O,X,O,X,X,X,X,X,X,X
ISTZLJO,O,O,O,X,X,X,O,O,X,X
ISTZLOJ,O,O,O,X,X,X,O,X,O,X
ISTZJLO,O,O,O,X,X,X,O,O,X,X
ISTZJOL,O,O,O,X,X,X,X,O,X,X
ISTZOLJ,O,O,X,X,X,X,O,X,X,X
ISTZOJL,O,O,O,X,X,X,X,O,X,X
ISTOLJZ,O,O,O,O,X,X,O,X,X,X
ISTOLZJ,O,O,O,O,X,X,O,O,X,X
ISTOJLZ,O,X,O,O,X,X,X,X,X,X
ISTOJZL,O,X,O,X,X,X,X,O,X,X
ISTOZLJ,O,X,X,X,X,X,O,O,X,X
ISTOZJL,O,X,O,X,X,X,X,O,X,X
ISLTJZO,X,O,O,O,X,X,O,X,X,X
ISLTJOZ,O,O,O,O,X,X,X,X,X,X
ISLTZJO,O,O,O,O,X,X,O,X,X,X
ISLTZOJ,O,O,O,X,X,X,X,X,O,X
ISLTOJZ,O,O,O,O,X,X,X,X,X,X
ISLTOZJ,O,O,O,X,X,X,X,X,X,X
ISLJTZO,X,X,O,O,X,X,O,X,X,X
ISLJTOZ,O,O,O,O,X,X,X,X,X,X
ISLJZTO,O,O,O,O,X,X,O,X,X,X
ISLJZOT,O,O,O,X,X,X,O,X,X,X
ISLJOTZ,X,O,O,O,X,X,X,X,X,X
ISLJOZT,X,O,O,X,X,X,O,X,X,X
ISLZTJO,O,O,O,O,X,X,O,X,X,X
ISLZTOJ,O,O,O,X,X,X,O,X,O,X
ISLZJTO,O,O,O,O,X,X,O,X,X,X
ISLZJOT,O,O,O,X,X,X,O,X,X,X
ISLZOTJ,O,O,O,X,X,X,X,X,O,X
ISLZOJT,O,O,X,X,X,X,O,X,O,X
ISLOTJZ,O,O,O,O,X,X,X,X,X,X
ISLOTZJ,O,O,O,X,X,X,X,X,X,X
ISLOJTZ,X,O,X,O,X,X,X,X,X,X
ISLOJZT,X,O,X,X,X,X,O,X,X,X
ISLOZTJ,O,O,O,X,X,X,X,X,X,X
ISLOZJT,O,O,X,X,X,X,O,X,X,X
ISJTLZO,X,O,O,O,X,X,X,X,X,X
ISJTLOZ,O,O,O,O,X,X,X,X,X,X
ISJTZLO,X,X,O,X,X,X,X,X,X,X
ISJTZOL,X,X,O,X,X,X,X,X,X,O
ISJTOLZ,O,X,O,X,X,X,X,X,X,X
ISJTOZL,O,X,O,X,X,X,X,X,X,O
ISJLTZO,X,X,O,O,X,X,O,X,X,X
ISJLTOZ,O,O,O,O,X,X,X,X,X,X
ISJLZTO,O,O,O,O,X,X,O,X,X,X
ISJLZOT,O,O,O,X,X,X,O,X,X,O
ISJLOTZ,X,O,O,O,X,X,X,X,X,X
ISJLOZT,X,O,O,X,X,X,O,X,X,O
ISJZTLO,O,O,O,X,X,X,X,X,X,X
ISJZTOL,O,O,O,X,O,X,X,X,X,O
ISJZLTO,O,O,O,X,X,X,O,X,X,X
ISJZLOT,O,O,O,X,X,X,O,X,X,O
ISJZOTL,X,O,O,X,X,X,X,X,X,O
ISJZOLT,O,O,O,X,X,X,X,X,X,O
ISJOTLZ,X,X,O,O,X,X,X,X,X,X
ISJOTZL,X,X,O,X,X,X,X,X,X,O
ISJOLTZ,X,X,O,O,X,X,X,X,X,X
ISJOLZT,X,X,O,O,X,X,X,X,X,O
ISJOZTL,X,X,O,X,X,X,X,X,X,O
ISJOZLT,X,X,O,X,X,X,X,X,X,O
ISZTLJO,O,O,O,X,X,X,O,X,X,X
ISZTLOJ,O,O,O,X,X,X,O,X,O,X
ISZTJLO,O,O,O,X,X,X,O,X,X,X
ISZTJOL,O,O,O,X,O,X,X,X,X,X
ISZTOLJ,O,O,X,X,X,X,O,X,X,X
ISZTOJL,O,O,O,X,O,X,X,X,X,X
ISZLTJO,O,O,O,X,X,X,O,X,X,X
ISZLTOJ,O,O,O,X,X,X,O,X,O,X
ISZLJTO,O,O,O,X,X,X,O,X,X,X
ISZLJOT,O,O,X,X,X,X,O,X,X,X
ISZLOTJ,O,O,O,X,X,X,X,X,O,X
ISZLOJT,O,O,X,X,X,X,O,X,O,X
ISZJTLO,O,O,O,X,X,X,X,X,X,X
ISZJTOL,O,O,O,X,O,X,X,X,X,O
ISZJLTO,O,O,O,X,X,X,O,X,X,X
ISZJLOT,O,O,X,X,X,X,O,X,X,O
ISZJOTL,X,O,O,X,X,X,X,X,X,O
ISZJOLT,O,O,O,X,X,X,X,X,X,O
ISZOTLJ,O,O,X,X,X,X,X,X,X,X
ISZOTJL,O,O,O,X,O,X,X,X,X,X
ISZOLTJ,O,O,X,X,X,X,X,X,X,X
ISZOLJT,O,O,X,X,X,X,O,X,X,X
ISZOJTL,X,O,X,X,O,X,X,X,X,O
ISZOJLT,O,O,X,X,O,X,X,X,X,O
ISOTLJZ,O,O,O,O,X,X,X,X,X,X
ISOTLZJ,O,O,O,O,X,X,X,O,X,X
ISOTJLZ,O,X,O,O,X,X,X,X,X,X
ISOTJZL,O,X,O,X,O,X,X,O,X,X
ISOTZLJ,O,X,X,X,X,X,X,O,X,X
ISOTZJL,O,X,O,X,X,X,X,O,X,X
ISOLTJZ,O,O,O,O,X,X,X,X,X,X
ISOLTZJ,O,X,O,O,X,X,X,O,X,X
ISOLJTZ,X,O,X,O,X,X,X,X,X,X
ISOLJZT,X,O,X,O,O,X,O,X,X,X
ISOLZTJ,O,O,O,O,X,X,X,X,X,X
ISOLZJT,O,O,X,O,X,X,O,O,X,X
ISOJTLZ,X,X,X,O,X,X,X,X,X,X
ISOJTZL,X,X,X,X,O,X,X,O,X,O
ISOJLTZ,X,X,X,O,X,X,X,X,X,X
ISOJLZT,X,X,X,O,O,X,X,X,X,O
ISOJZTL,X,X,X,X,O,X,X,O,X,O
ISOJZLT,X,X,X,X,O,X,X,O,X,O
ISOZTLJ,O,O,X,X,X,X,X,O,X,X
ISOZTJL,O,O,O,X,O,X,X,O,X,X
ISOZLTJ,O,O,X,X,X,X,X,X,X,X
ISOZLJT,O,O,X,X,X,X,O,O,X,X
ISOZJTL,X,O,X,X,O,X,X,O,X,O
ISOZJLT,O,O,X,X,O,X,X,O,X,O
IZTLJSO,O,O,X,O,X,O,X,O,X,X
IZTLJOS,X,O,X,X,X,O,X,X,X,X
IZTLSJO,O,O,X,O,X,X,X,O,X,X
IZTLSOJ,O,O,X,X,X,X,X,X,X,X
IZTLOJS,O,O,X,X,X,X,X,X,O,X
IZTLOSJ,O,O,X,X,X,X,X,X,O,X
IZTJLSO,O,O,X,O,X,O,X,O,X,X
IZTJLOS,X,O,X,X,X,O,X,X,X,X
IZTJSLO,O,O,X,X,X,O,X,O,X,X
IZTJSOL,O,O,X,X,X,X,X,O,X,O
IZTJOLS,O,X,X,X,X,O,X,X,X,X
IZTJOSL,O,X,X,X,X,X,X,O,X,O
IZTSLJO,O,O,X,X,X,X,X,O,X,X
IZTSLOJ,O,O,X,X,X,X,X,X,X,X
IZTSJLO,O,O,X,X,X,X,X,O,X,X
IZTSJOL,O,O,X,X,X,X,X,O,X,X
IZTSOLJ,O,O,X,X,X,X,X,X,X,X
IZTSOJL,O,O,X,X,X,X,X,O,X,X
IZTOLJS,O,X,X,O,X,X,X,X,X,X
IZTOLSJ,O,X,X,O,X,X,X,X,X,X
IZTOJLS,O,X,X,O,X,X,X,X,X,X
IZTOJSL,O,X,X,X,X,X,X,O,X,O
IZTOSLJ,O,X,X,X,X,X,X,O,X,X
IZTOSJL,O,X,X,X,X,X,X,O,X,X
IZLTJSO,O,X,X,O,X,O,X,X,X,X
IZLTJOS,X,X,X,X,X,O,X,X,X,X
IZLTSJO,O,X,X,O,X,X,X,X,X,X
IZLTSOJ,O,X,X,X,X,X,X,X,X,X
IZLTOJS,O,X,X,X,X,X,X,X,O,X
IZLTOSJ,O,X,X,X,X,X,X,X,O,X
IZLJTSO,X,X,X,O,X,O,X,X,X,X
IZLJTOS,X,X,X,X,X,O,X,X,X,X
IZLJSTO,O,O,X,O,X,O,X,X,X,X
IZLJSOT,O,O,X,X,X,O,X,X,X,O
IZLJOTS,X,X,X,X,X,O,X,X,X,X
IZLJOST,X,O,X,X,X,O,X,X,X,O
IZLSTJO,O,O,X,O,X,X,X,X,X,X
IZLSTOJ,O,O,X,X,X,X,X,X,O,X
IZLSJTO,O,O,X,O,X,X,X,X,X,X
IZLSJOT,O,O,X,X,X,X,X,X,X,X
IZLSOTJ,O,O,X,X,X,X,X,X,O,X
IZLSOJT,O,O,X,X,X,X,X,X,O,X
IZLOTJS,X,X,X,X,X,X,X,X,O,X
IZLOTSJ,X,X,X,X,X,X,X,X,O,X
IZLOJTS,X,X,X,X,X,X,X,X,O,X
IZLOJST,X,O,X,X,X,X,X,X,O,O
IZLOSTJ,X,O,X,X,X,X,X,X,O,X
IZLOSJT,X,O,X,X,X,X,X,X,O,X
IZJTLSO,O,O,X,O,X,O,X,X,X,X
IZJTLOS,X,O,X,X,X,O,X,X,X,X
IZJTSLO,O,O,X,X,X,O,X,X,X,X
IZJTSOL,O,O,X,X,X,X,X,X,X,O
IZJTOLS,O,X,X,X,X,O,X,X,X,X
IZJTOSL,O,X,X,X,X,X,X,X,X,O
IZJLTSO,X,X,X,O,X,O,X,X,X,X
IZJLTOS,X,X,X,X,X,O,X,X,X,X
IZJLSTO,O,O,X,O,X,O,X,X,X,X
IZJLSOT,O,O,X,X,X,O,X,X,X,O
IZJLOTS,X,X,X,X,X,O,X,X,X,X
IZJLOST,X,O,X,X,X,O,X,X,X,O
IZJSTLO,O,O,X,X,X,X,X,X,X,X
IZJSTOL,O,O,X,X,O,X,X,X,X,O
IZJSLTO,O,O,X,X,X,O,X,X,X,X
IZJSLOT,O,O,X,X,X,O,X,X,X,O
IZJSOTL,X,O,X,X,X,X,X,X,X,O
IZJSOLT,O,O,X,X,X,X,X,X,X,O
IZJOTLS,X,X,X,O,X,X,X,X,X,X
IZJOTSL,X,X,X,X,X,X,X,X,X,O
IZJOLTS,X,X,X,O,X,O,X,X,X,X
IZJOLST,X,X,X,O,X,O,X,X,X,O
IZJOSTL,X,X,X,X,X,X,X,X,X,O
IZJOSLT,O,X,X,X,X,X,X,X,X,O
IZSTLJO,O,O,X,X,X,X,X,X,X,X
IZSTLOJ,O,O,X,X,X,X,X,X,O,X
IZSTJLO,O,O,X,X,X,X,X,X,X,X
IZSTJOL,O,O,X,X,O,X,X,X,X,X
IZSTOLJ,O,O,X,X,X,X,X,X,X,X
IZSTOJL,O,O,X,X,O,X,X,X,X,X
IZSLTJO,O,O,X,X,X,X,X,X,X,X
IZSLTOJ,O,O,X,X,X,X,X,X,O,X
IZSLJTO,O,O,X,X,X,X,X,X,X,X
IZSLJOT,O,O,X,X,X,X,X,X,X,X
IZSLOTJ,O,O,X,X,X,X,X,X,O,X
IZSLOJT,O,O,X,X,X,X,X,X,O,X
IZSJTLO,O,O,X,X,X,X,X,X,X,X
IZSJTOL,O,O,X,X,O,X,X,X,X,O
IZSJLTO,O,O,X,X,X,X,X,X,X,X
IZSJLOT,O,O,X,X,X,X,X,X,X,O
IZSJOTL,X,O,X,X,X,X,X,X,X,O
IZSJOLT,O,O,X,X,X,X,X,X,X,O
IZSOTLJ,O,O,X,X,X,X,X,X,X,X
IZSOTJL,O,O,X,X,O,X,X,X,X,X
IZSOLTJ,O,O,X,X,X,X,X,X,X,X
IZSOLJT,O,O,X,X,X,X,X,X,X,X
IZSOJTL,X,O,X,X,O,X,X,X,X,O
IZSOJLT,O,O,X,X,O,X,X,X,X,O
IZOTLJS,O,X,X,O,X,X,X,X,X,X
IZOTLSJ,O,X,X,O,X,X,X,X,X,X
IZOTJLS,O,X,X,O,X,X,X,X,X,X
IZOTJSL,O,X,X,X,X,X,X,X,X,O
IZOTSLJ,O,X,X,X,X,X,X,O,X,X
IZOTSJL,O,X,X,X,X,X,X,O,X,X
IZOLTJS,X,X,X,O,X,X,X,X,X,X
IZOLTSJ,X,X,X,O,X,X,X,X,X,X
IZOLJTS,X,X,X,O,X,X,X,X,X,X
IZOLJST,X,X,X,O,X,X,X,X,X,O
IZOLSTJ,X,X,X,O,X,X,X,X,X,X
IZOLSJT,X,X,X,O,X,X,X,X,X,X
IZOJTLS,X,X,X,O,X,X,X,X,X,X
IZOJTSL,X,X,X,X,O,X,X,X,X,O
IZOJLTS,X,X,X,O,X,X,X,X,X,X
IZOJLST,X,X,X,O,O,X,X,X,X,O
IZOJSTL,X,X,X,X,O,X,X,X,X,O
IZOJSLT,O,X,X,X,O,X,X,X,X,O
IZOSTLJ,O,X,X,X,X,X,X,O,X,X
IZOSTJL,O,X,X,X,O,X,X,O,X,X
IZOSLTJ,O,X,X,X,X,X,X,X,X,X
IZOSLJT,O,X,X,X,X,X,X,O,X,X
IZOSJTL,X,X,X,X,O,X,X,O,X,O
IZOSJLT,O,X,X,X,O,X,X,O,X,O
IOTLJSZ,O,X,X,O,X,X,X,X,X,X
IOTLJZS,O,X,X,O,X,X,X,X,X,X
IOTLSJZ,O,X,X,O,X,X,X,X,X,X
IOTLSZJ,O,X,X,O,X,X,X,O,X,X
IOTLZJS,O,X,X,O,X,X,X,X,X,X
IOTLZSJ,O,X,X,O,X,X,X,X,X,X
IOTJLSZ,O,X,X,O,X,X,X,X,X,X
IOTJLZS,O,X,X,O,X,X,X,X,X,X
IOTJSLZ,O,X,X,O,X,X,X,X,X,X
IOTJSZL,O,X,X,X,O,X,X,O,X,O
IOTJZLS,O,X,X,O,X,X,X,X,X,X
IOTJZSL,O,X,X,X,O,X,X,O,X,O
IOTSLJZ,O,O,X,O,X,X,X,X,X,X
IOTSLZJ,O,O,X,O,X,X,X,O,X,X
IOTSJLZ,O,X,X,O,X,X,X,X,X,X
IOTSJZL,O,X,X,X,O,X,X,O,X,X
IOTSZLJ,O,X,X,X,X,X,X,O,X,X
IOTSZJL,O,X,X,X,X,X,X,O,X,X
IOTZLJS,O,X,X,O,X,X,X,X,X,X
IOTZLSJ,O,X,X,O,X,X,X,X,X,X
IOTZJLS,O,X,X,O,X,X,X,X,X,X
IOTZJSL,O,X,X,X,X,X,X,O,X,O
IOTZSLJ,O,X,X,X,X,X,X,O,X,X
IOTZSJL,O,X,X,X,X,X,X,O,X,X
IOLTJSZ,X,X,X,O,X,X,X,X,X,X
IOLTJZS,X,X,X,O,X,X,X,X,X,X
IOLTSJZ,X,X,X,O,X,X,X,X,X,X
IOLTSZJ,X,X,X,O,X,X,X,O,X,X
IOLTZJS,X,X,X,O,X,X,X,X,X,X
IOLTZSJ,X,X,X,O,X,X,X,X,X,X
IOLJTSZ,X,X,X,O,X,X,X,X,X,X
IOLJTZS,X,X,X,O,X,X,X,X,X,X
IOLJSTZ,X,X,X,O,X,X,X,X,X,X
IOLJSZT,X,X,X,O,O,X,X,X,X,O
IOLJZTS,X,X,X,O,X,X,X,X,X,X
IOLJZST,X,X,X,O,O,X,X,X,X,O
IOLSTJZ,O,X,X,O,X,X,X,X,X,X
IOLSTZJ,O,X,X,O,X,X,X,O,X,X
IOLSJTZ,X,X,X,O,X,X,X,X,X,X
IOLSJZT,X,X,X,O,O,X,X,X,X,X
IOLSZTJ,O,X,X,O,X,X,X,X,X,X
IOLSZJT,O,X,X,O,X,X,X,O,X,X
IOLZTJS,X,X,X,O,X,X,X,X,X,X
IOLZTSJ,X,X,X,O,X,X,X,X,X,X
IOLZJTS,X,X,X,O,X,X,X,X,X,X
IOLZJST,X,X,X,O,X,X,X,X,X,O
IOLZSTJ,X,X,X,O,X,X,X,X,X,X
IOLZSJT,X,X,X,O,X,X,X,X,X,X
IOJTLSZ,X,X,X,O,X,X,X,X,X,X
IOJTLZS,X,X,X,O,X,X,X,X,X,X
IOJTSLZ,X,X,X,O,X,X,X,X,X,X
IOJTSZL,X,X,X,X,O,X,X,O,X,O
IOJTZLS,X,X,X,O,X,X,X,X,X,X
IOJTZSL,X,X,X,X,O,X,X,X,X,O
IOJLTSZ,X,X,X,O,X,X,X,X,X,X
IOJLTZS,X,X,X,O,X,X,X,X,X,X
IOJLSTZ,X,X,X,O,X,X,X,X,X,X
IOJLSZT,X,X,X,O,O,X,X,X,X,O
IOJLZTS,X,X,X,O,X,X,X,X,X,X
IOJLZST,X,X,X,O,O,X,X,X,X,O
IOJSTLZ,X,X,X,O,X,X,X,X,X,X
IOJSTZL,X,X,X,X,O,X,X,O,X,O
IOJSLTZ,X,X,X,O,X,X,X,X,X,X
IOJSLZT,X,X,X,O,O,X,X,X,X,O
IOJSZTL,X,X,X,X,O,X,X,O,X,O
IOJSZLT,X,X,X,X,O,X,X,O,X,O
IOJZTLS,X,X,X,O,X,X,X,X,X,X
IOJZTSL,X,X,X,X,O,X,X,X,X,O
IOJZLTS,X,X,X,O,X,X,X,X,X,X
IOJZLST,X,X,X,O,O,X,X,X,X,O
IOJZSTL,X,X,X,X,O,X,X,X,X,O
IOJZSLT,X,X,X,X,O,X,X,X,X,O
IOSTLJZ,O,O,X,O,X,X,X,X,X,X
IOSTLZJ,O,O,X,O,X,X,X,O,X,X
IOSTJLZ,O,X,X,O,X,X,X,X,X,X
IOSTJZL,O,X,X,X,O,X,X,O,X,X
IOSTZLJ,O,X,X,X,X,X,X,O,X,X
IOSTZJL,O,X,X,X,X,X,X,O,X,X
IOSLTJZ,O,O,X,O,X,X,X,X,X,X
IOSLTZJ,O,X,X,O,X,X,X,O,X,X
IOSLJTZ,X,O,X,O,X,X,X,X,X,X
IOSLJZT,X,O,X,O,O,X,X,X,X,X
IOSLZTJ,O,O,X,O,X,X,X,X,X,X
IOSLZJT,O,O,X,O,X,X,X,O,X,X
IOSJTLZ,X,X,X,O,X,X,X,X,X,X
IOSJTZL,X,X,X,X,O,X,X,O,X,O
IOSJLTZ,X,X,X,O,X,X,X,X,X,X
IOSJLZT,X,X,X,O,O,X,X,X,X,O
IOSJZTL,X,X,X,X,O,X,X,O,X,O
IOSJZLT,X,X,X,X,O,X,X,O,X,O
IOSZTLJ,O,O,X,X,X,X,X,O,X,X
