sequence,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhFlcBCeBUhBenBXj?BzsB,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhFVhBciBTeB3hBat?BGsB,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhFXcBTeBGiBlmBys?B0sB,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhF3dBcjBFhBCnBmm?BzsB,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhFCeBFhB8mBXjBmm?BzsB,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhFWjBUhBanBXjBlm?BzsB
TZJLSIO,O,O,X,O,X,O
TZJLSOI,O,O,X,O,X,O
TZJLOIS,O,O,X,X,X,X
TZJLOSI,O,O,X,X,X,X
TZJSILO,O,X,X,O,O,X
TZJSIOL,O,O,X,X,X,X
TZJSLIO,O,X,X,O,O,X
TZJSLOI,O,X,X,O,O,X
TZJSOIL,O,O,X,X,X,X
TZJSOLI,O,O,X,X,X,X
TZJOILS,O,O,X,X,X,X
TZJOISL,O,O,X,X,O,X
TZJOLIS,O,O,X,X,X,X
TZJOLSI,O,O,X,X,X,X
TZJOSIL,O,O,X,X,O,X
TZJOSLI,O,O,X,X,O,X
TZSILJO,X,X,X,O,O,X
TZSILOJ,X,X,O,O,O,X
TZSIJLO,O,X,X,O,O,X
TZSIJOL,O,X,X,X,X,X
TZSIOLJ,X,X,O,O,O,X
TZSIOJL,O,X,X,X,O,X
TZSLIJO,X,X,X,O,O,X
TZSLIOJ,X,X,O,O,O,X
TZSLJIO,X,X,X,O,O,X
TZSLJOI,X,X,X,O,O,X
TZSLOIJ,X,X,O,O,O,X
TZSLOJI,X,X,O,O,O,X
TZSJILO,O,X,X,O,O,X
TZSJIOL,O,X,X,X,X,X
TZSJLIO,O,X,X,O,O,X
TZSJLOI,O,X,X,O,O,X
TZSJOIL,O,X,X,X,X,X
TZSJOLI,O,X,X,X,X,X
TZSOILJ,X,X,O,O,O,X
TZSOIJL,O,X,X,X,O,X
TZSOLIJ,X,X,O,O,O,X
TZSOLJI,X,X,O,O,O,X
TZSOJIL,O,X,X,X,O,X
TZSOJLI,O,X,X,X,O,X
TZOILJS,O,O,O,O,X,O
TZOILSJ,X,O,O,O,O,X
TZOIJLS,O,O,X,O,X,O
TZOIJSL,O,O,X,O,O,X
TZOISLJ,X,X,O,O,O,X
TZOISJL,O,X,X,O,O,X
TZOLIJS,O,O,O,O,X,O
TZOLISJ,X,O,O,O,O,X
TZOLJIS,O,O,O,O,X,O
TZOLJSI,O,O,O,O,X,O
TZOLSIJ,X,O,O,O,O,X
TZOLSJI,X,O,O,O,O,X
TZOJILS,O,O,X,O,X,O
TZOJISL,O,O,X,O,O,X
TZOJLIS,O,O,X,O,X,O
TZOJLSI,O,O,X,O,X,O
TZOJSIL,O,O,X,O,O,X
TZOJSLI,O,O,X,O,O,X
TZOSILJ,X,X,O,O,O,X
TZOSIJL,O,X,X,O,O,X
TZOSLIJ,X,X,O,O,O,X
TZOSLJI,X,X,O,O,O,X
TZOSJIL,O,X,X,O,O,X
TZOSJLI,O,X,X,O,O,X
TOILJSZ,X,O,O,X,X,X
TOILJZS,X,O,O,O,X,O
TOILSJZ,X,O,O,X,X,X
TOILSZJ,X,O,O,O,X,X
