sequence,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeT6IvhFxbBXdBigB0?kBFmB2uB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Je2/IvhFzbBFdBcmBx?kB3kByuB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeT6IvhFxbBXdBOpB8?pBFmBiqB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeT6IvhFygBFdBcmBx?kBXlB2uB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jei6IvhFzbBFdBcmBx?kBmpB3pB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jex7IvhFXdBckBigBF?mBzpBOpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jei6IvhFFdBRgBcmB3?gBOpBzpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jex7IvhFXdBTfBigBF?mB0kB2uB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeX9IvhFZkBUgBamBl?fBGhBzpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jez6IvhFXdBamBFlB0?pBZkBGrB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Je+/IvhFKgBXdBUhBZ?kBFmBzpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Je2AJvhFXdBTfBxlBF?mBipB0pB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Je2/IvhFXdBUhBxkBa?qBFmBTpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeX9IvhFTfBxlBclBO?mBikB1uB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeO/IvhFXdBRgBlgBc?mBaqBTpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeX9IvhFTfBxlBOmBi?pBcqBlpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeO/IvhFXdBRgBcmBF?lBTpBiqB
JLOTZSI,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JLOITSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JLOITZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLOISTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JLOISZT,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
JLOIZTS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JLOIZST,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
JLOSTIZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLOSTZI,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JLOSITZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JLOSIZT,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
JLOSZTI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOSZIT,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JLOZTIS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JLOZTSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOZITS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JLOZIST,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JLOZSTI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOZSIT,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSTILZO,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JSTILOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSTIZLO,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSTIZOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSTIOLZ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JSTIOZL,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSTLIZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSTLIOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSTLZIO,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JSTLZOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSTLOIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSTLOZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSTZILO,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JSTZIOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSTZLIO,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSTZLOI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSTZOIL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSTZOLI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSTOILZ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JSTOIZL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSTOLIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSTOLZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSTOZIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOZLI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSITLZO,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JSITLOZ,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JSITZLO,O,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JSITZOL,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JSITOLZ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JSITOZL,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSILTZO,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JSILTOZ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JSILZTO,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
JSILZOT,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X
JSILOTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JSILOZT,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
JSIZTLO,O,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JSIZTOL,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JSIZLTO,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X
JSIZLOT,O,X,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X
JSIZOTL,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JSIZOLT,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JSIOTLZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSIOTZL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOLTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSIOLZT,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JSIOZTL,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSIOZLT,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JSLTIZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLTIOZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLTZIO,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JSLTZOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLTOIZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLTOZI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLITZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JSLITOZ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JSLIZTO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JSLIZOT,O,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X
JSLIOTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JSLIOZT,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X
JSLZTIO,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSLZTOI,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLZITO,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSLZIOT,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLZOTI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSLZOIT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSLOTIZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLOTZI,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JSLOITZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JSLOIZT,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
JSLOZTI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSLOZIT,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSZTILO,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JSZTIOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZTLIO,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
JSZTLOI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JSZTOIL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZTOLI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JSZITLO,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JSZITOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZILTO,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JSZILOT,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JSZIOTL,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JSZIOLT,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JSZLTIO,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JSZLTOI,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSZLITO,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JSZLIOT,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZLOTI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSZLOIT,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSZOTIL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTLI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZOITL,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSZOILT,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSZOLTI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSZOLIT,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOTILZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JSOTIZL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSOTLIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O
JSOTLZI,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JSOTZIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSOTZLI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOITLZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JSOITZL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JSOILTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSOILZT,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X
JSOIZTL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOIZLT,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JSOLTIZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O
JSOLTZI,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JSOLITZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSOLIZT,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
JSOLZTI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOLZIT,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
JSOZTIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSOZTLI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOZITL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOZILT,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JSOZLTI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOZLIT,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
JZTILSO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTILOS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTISLO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTISOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTIOLS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTIOSL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTLISO,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X
JZTLIOS,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X
JZTLSIO,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
JZTLSOI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZTLOIS,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X
JZTLOSI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZTSILO,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JZTSIOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTSLIO,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
JZTSLOI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZTSOIL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTSOLI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZTOILS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTOISL,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTOLIS,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X
JZTOLSI,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
JZTOSIL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTOSLI,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
JZITLSO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZITLOS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZITSLO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZITSOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZITOLS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZITOSL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZILTSO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZILTOS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZILSTO,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JZILSOT,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZILOTS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZILOST,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZISTLO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZISTOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZISLTO,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JZISLOT,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZISOTL,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JZISOLT,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JZIOTLS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZIOTSL,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JZIOLTS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZIOLST,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JZIOSTL,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JZIOSLT,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JZLTISO,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JZLTIOS,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JZLTSIO,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLTSOI,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZLTOIS,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JZLTOSI,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZLITSO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLITOS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLISTO,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JZLISOT,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZLIOTS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLIOST,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTIO,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLSTOI,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZLSITO,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JZLSIOT,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLSOTI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZLSOIT,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZLOTIS,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZLOTSI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZLOITS,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZLOIST,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZLOSTI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZLOSIT,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSTILO,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JZSTIOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLIO,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
JZSTLOI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZSTOIL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSTOLI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZSITLO,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JZSITOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSILTO,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JZSILOT,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSIOTL,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JZSIOLT,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JZSLTIO,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JZSLTOI,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZSLITO,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JZSLIOT,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSLOTI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSLOIT,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSOTIL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSOTLI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSOITL,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZSOILT,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZSOLTI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSOLIT,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOTILS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZOTISL,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZOTLIS,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JZOTLSI,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZOTSIL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZOTSLI,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZOITLS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZOITSL,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JZOILTS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZOILST,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JZOISTL,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JZOISLT,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JZOLTIS,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZOLTSI,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZOLITS,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZOLIST,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZOLSTI,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZOLSIT,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZOSTIL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZOSTLI,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZOSITL,O,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZOSILT,O,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZOSLTI,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZOSLIT,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JOTILSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JOTILZS,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JOTISLZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JOTISZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JOTIZLS,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTIZSL,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O
JOTLISZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O
JOTLIZS,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JOTLSIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O
JOTLSZI,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
JOTLZIS,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
JOTLZSI,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
JOTSILZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JOTSIZL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOTSLIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O
JOTSLZI,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
JOTSZIL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JOTSZLI,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JOTZILS,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTZISL,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O
JOTZLIS,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOTZLSI,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JOTZSIL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
JOTZSLI,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JOITLSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JOITLZS,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JOITSLZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JOITSZL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JOITZLS,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOITZSL,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,O
JOILTSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOILTZS,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOILSTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOILSZT,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X
JOILZTS,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JOILZST,X,X,X,O,O,X,O,X,O,X,O,X,O,X,O,X,X
JOISTLZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JOISTZL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JOISLTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOISLZT,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X
JOISZTL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOISZLT,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JOIZTLS,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOIZTSL,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JOIZLTS,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOIZLST,X,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X
JOIZSTL,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JOIZSLT,X,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X
JOLTISZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O
JOLTIZS,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOLTSIZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O
JOLTSZI,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
JOLTZIS,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
JOLTZSI,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
