sequence,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je6AJvhFZhBfiB8iB+?jBtrBTsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jem7IvhFxdBfmBSnBT?jBUsBtrB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jem7IvhFCeBfmB5mBN?nBToBUsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jex7IvhFyhBGeBfmBU?jBtrBTsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je6AJvhF0cBxdBTjBm?rB/rB9sB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jex7IvhF8iB+jBChBd?nB/rBTsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jex7IvhF9jBzgBfnB0?rB6sBmsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je07IvhFxdBGiBTjBX?hB9rBKsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je07IvhFxdBTjBmrBt?rB6sBXrB,v115@zgB8HeC8GeC8GeD8CeH8CeB8JeU9IvhF9jBzgB5mBi?nBmlB3sB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je07IvhFXdBTeBWoBd?mB5mBKsB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Je6AJvhFxdBNmBTjBX?nBGsB0rB,v115@zgB8HeC8GeC8GeD8CeH8CeB8Jem7IvhFUdB9jBfmB5?mBziBKsB
ITJZSLO,O,X,X,X,X,X,X,X,X,X,X,X,X
ITJZSOL,O,X,X,X,X,X,X,X,X,X,X,X,X
ITJZOLS,O,X,X,X,X,X,X,X,X,O,X,X,X
ITJZOSL,O,X,X,X,X,X,O,X,X,X,X,X,X
ITJOLSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITJOLZS,O,X,X,X,X,X,X,X,X,O,X,X,X
ITJOSLZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITJOSZL,O,X,O,X,X,X,X,X,X,X,X,X,X
ITJOZLS,O,X,X,X,X,X,X,X,X,O,X,X,X
ITJOZSL,O,X,X,X,X,X,O,X,X,X,X,X,X
ITSLJZO,O,X,X,O,X,X,X,X,X,X,X,X,O
ITSLJOZ,O,X,O,X,X,X,X,X,X,X,X,X,O
ITSLZJO,O,X,X,O,X,X,X,X,X,X,X,X,O
ITSLZOJ,X,X,X,O,X,X,X,X,X,O,X,X,O
ITSLOJZ,O,X,O,O,X,X,X,X,X,X,X,O,O
ITSLOZJ,X,X,O,O,X,X,X,X,X,O,X,O,O
ITSJLZO,O,X,X,O,X,X,X,X,X,X,X,X,O
ITSJLOZ,O,X,O,X,X,X,X,X,X,X,X,X,O
ITSJZLO,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSJZOL,O,X,O,O,X,X,X,X,X,X,X,X,X
ITSJOLZ,O,X,O,O,X,X,X,X,X,X,X,X,X
ITSJOZL,O,X,O,O,X,X,X,X,X,X,X,X,X
ITSZLJO,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSZLOJ,X,X,X,O,X,X,X,X,X,X,X,X,X
ITSZJLO,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSZJOL,O,X,O,O,X,X,X,X,X,X,X,X,X
ITSZOLJ,X,X,O,O,X,X,O,X,X,O,X,X,X
ITSZOJL,X,X,O,O,X,X,O,X,X,X,X,X,X
ITSOLJZ,O,X,O,O,X,X,X,X,X,X,X,O,X
ITSOLZJ,X,X,O,O,X,X,X,X,X,O,X,O,X
ITSOJLZ,O,X,O,O,X,X,X,X,X,X,X,O,X
ITSOJZL,O,X,O,O,X,X,X,X,X,X,X,X,X
ITSOZLJ,X,X,O,O,X,X,O,X,X,O,X,O,X
ITSOZJL,X,X,O,O,X,X,O,X,X,X,X,X,X
ITZLJSO,O,X,X,X,X,X,X,X,X,X,X,X,X
ITZLJOS,O,X,X,X,X,X,X,X,X,O,X,X,X
ITZLSJO,O,X,X,X,X,X,X,X,X,X,X,X,X
ITZLSOJ,X,X,X,X,X,X,X,X,X,O,X,X,X
ITZLOJS,X,X,X,X,X,X,X,X,X,O,X,X,X
ITZLOSJ,X,X,X,X,X,X,O,X,X,O,X,X,X
ITZJLSO,O,X,X,X,X,X,X,X,X,X,X,X,X
ITZJLOS,O,X,X,X,X,X,X,X,X,X,X,X,X
ITZJSLO,O,X,X,O,X,X,X,X,X,X,X,X,X
ITZJSOL,O,X,X,O,X,X,X,X,X,X,X,X,X
ITZJOLS,O,X,X,X,X,X,X,X,X,O,X,X,X
ITZJOSL,O,X,X,X,X,X,O,X,X,X,X,X,X
ITZSLJO,O,X,X,O,X,X,X,X,X,X,X,X,X
ITZSLOJ,X,X,X,O,X,X,O,X,X,X,X,X,X
ITZSJLO,O,X,X,O,X,X,X,X,X,X,X,X,X
ITZSJOL,O,X,O,O,X,X,X,X,X,X,X,X,X
ITZSOLJ,X,X,O,O,X,X,O,X,X,O,X,X,X
ITZSOJL,X,X,O,O,X,X,O,X,X,X,X,X,X
ITZOLJS,X,X,X,X,X,X,X,X,X,O,X,X,X
ITZOLSJ,X,X,O,X,X,X,O,X,X,O,X,X,X
ITZOJLS,X,X,X,X,X,X,X,X,X,O,X,X,X
ITZOJSL,X,X,X,X,X,X,O,X,X,X,X,X,X
ITZOSLJ,X,X,O,X,X,X,O,X,X,O,X,X,X
ITZOSJL,X,X,O,X,X,X,O,X,X,X,X,X,X
ITOLJSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITOLJZS,O,X,X,X,X,X,X,X,X,O,X,X,X
ITOLSJZ,O,X,O,X,X,X,X,X,X,X,X,O,X
ITOLSZJ,X,X,O,X,X,X,X,X,X,O,X,O,X
ITOLZJS,X,X,X,X,X,X,X,X,X,O,X,X,X
ITOLZSJ,X,X,O,X,X,X,O,X,X,O,X,X,X
ITOJLSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITOJLZS,O,X,X,X,X,X,X,X,X,O,X,X,X
ITOJSLZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITOJSZL,O,X,O,X,X,X,X,X,X,X,X,X,X
ITOJZLS,O,X,X,X,X,X,X,X,X,O,X,X,X
ITOJZSL,O,X,X,X,X,X,O,X,X,X,X,X,X
ITOSLJZ,O,X,O,X,X,X,X,X,X,X,X,O,X
ITOSLZJ,X,X,O,X,X,X,X,X,X,O,X,O,X
ITOSJLZ,O,X,O,X,X,X,X,X,X,X,X,O,X
ITOSJZL,O,X,O,X,X,X,X,X,X,X,X,X,X
ITOSZLJ,X,X,O,X,X,X,O,X,X,O,X,O,X
ITOSZJL,X,X,O,X,X,X,O,X,X,X,X,X,X
ITOZLJS,X,X,X,X,X,X,X,X,X,O,X,X,X
ITOZLSJ,X,X,O,X,X,X,O,X,X,O,X,X,X
ITOZJLS,X,X,X,X,X,X,X,X,X,O,X,X,X
ITOZJSL,X,X,X,X,X,X,O,X,X,X,X,X,X
ITOZSLJ,X,X,O,X,X,X,O,X,X,O,X,X,X
ITOZSJL,X,X,O,X,X,X,O,X,X,X,X,X,X
ILTJSZO,O,X,X,X,X,O,X,X,X,X,X,X,O
ILTJSOZ,O,X,X,X,X,O,X,X,X,X,X,X,O
ILTJZSO,O,X,X,X,X,X,X,X,X,X,X,X,O
ILTJZOS,O,X,X,X,X,X,X,O,X,O,X,X,X
ILTJOSZ,O,X,X,X,X,X,X,O,X,X,X,X,X
ILTJOZS,O,X,X,X,X,X,X,O,X,O,X,X,X
ILTSJZO,O,X,X,X,X,O,X,X,X,X,X,X,O
ILTSJOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
ILTSZJO,O,X,X,X,X,O,X,X,X,X,X,X,O
ILTSZOJ,X,X,X,X,X,X,X,X,X,O,X,X,O
ILTSOJZ,O,X,O,X,X,O,X,X,X,X,X,O,O
ILTSOZJ,X,X,O,X,X,X,X,X,X,O,X,O,O
ILTZJSO,O,X,X,X,X,X,X,X,X,X,X,X,O
ILTZJOS,O,X,X,X,X,X,X,O,X,O,X,X,X
ILTZSJO,O,X,X,X,X,X,X,X,X,X,X,X,O
ILTZSOJ,X,X,X,X,X,X,X,X,X,O,X,X,O
ILTZOJS,X,X,X,X,X,X,X,O,X,O,X,X,X
ILTZOSJ,X,X,X,X,X,X,O,O,X,O,X,X,O
ILTOJSZ,O,X,O,X,X,X,X,O,X,X,X,X,X
ILTOJZS,O,X,X,X,X,X,X,O,X,O,X,X,X
ILTOSJZ,O,X,O,X,X,X,X,O,X,X,X,O,O
ILTOSZJ,X,X,O,X,X,X,X,O,X,O,X,O,O
ILTOZJS,X,X,X,X,X,X,X,O,X,O,X,X,X
ILTOZSJ,X,X,O,X,X,X,O,O,X,O,X,X,O
ILJTSZO,O,X,X,X,O,O,X,X,X,X,X,X,O
ILJTSOZ,O,X,X,X,O,O,X,X,X,X,X,X,O
ILJTZSO,O,X,X,X,O,X,X,X,X,X,X,X,O
ILJTZOS,O,X,X,X,X,X,X,X,X,O,X,X,X
ILJTOSZ,O,X,X,X,O,X,X,X,X,X,X,X,X
ILJTOZS,O,X,X,X,O,X,X,X,X,O,X,X,X
ILJSTZO,O,X,X,X,O,O,X,X,X,X,X,X,O
ILJSTOZ,O,X,X,X,O,O,X,X,X,X,X,X,O
ILJSZTO,O,X,X,X,O,O,X,X,X,X,X,X,O
ILJSZOT,X,X,X,X,O,X,X,X,X,X,O,X,O
ILJSOTZ,X,X,X,X,O,O,X,X,X,X,X,X,O
ILJSOZT,X,X,X,X,X,X,X,X,X,X,O,X,O
ILJZTSO,O,X,X,X,X,X,X,X,X,X,X,X,O
ILJZTOS,O,X,X,X,X,X,X,X,X,O,X,X,X
ILJZSTO,O,X,X,X,X,O,X,X,X,X,X,X,O
ILJZSOT,X,X,X,X,X,X,X,X,X,X,O,X,O
ILJZOTS,O,X,X,X,X,X,X,O,X,O,X,X,X
ILJZOST,X,X,X,X,X,X,X,O,X,X,O,X,X
ILJOTSZ,O,X,X,X,O,X,X,X,X,X,X,X,X
ILJOTZS,O,X,X,X,O,X,X,O,X,O,X,X,X
ILJOSTZ,X,X,X,X,O,O,X,X,X,X,X,X,X
ILJOSZT,X,X,X,X,X,X,X,O,X,X,O,X,X
ILJOZTS,O,X,X,X,O,X,X,O,X,O,X,X,X
ILJOZST,X,X,X,X,X,X,X,O,X,X,O,X,X
ILSTJZO,O,X,X,O,X,O,X,X,X,X,X,X,O
ILSTJOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
ILSTZJO,O,X,X,O,X,O,X,X,X,X,X,X,O
ILSTZOJ,X,X,X,O,X,X,X,X,X,O,X,X,O
ILSTOJZ,O,X,O,O,X,O,X,X,X,X,X,O,O
ILSTOZJ,X,X,O,O,X,X,X,X,X,O,X,O,O
ILSJTZO,O,X,X,X,X,O,X,X,X,X,X,X,O
ILSJTOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
ILSJZTO,O,X,X,O,X,O,X,X,X,X,X,X,O
ILSJZOT,X,X,X,O,X,X,X,X,X,X,O,X,O
ILSJOTZ,X,X,O,X,X,O,X,X,X,X,X,X,O
ILSJOZT,X,O,X,X,X,X,X,X,X,X,O,X,O
ILSZTJO,X,X,X,O,X,O,X,X,X,X,X,X,O
ILSZTOJ,X,X,X,X,X,X,X,X,X,O,X,X,O
ILSZJTO,X,X,X,O,X,O,X,X,X,X,X,X,O
ILSZJOT,X,X,X,O,X,X,X,X,X,X,O,X,O
ILSZOTJ,X,X,X,X,X,X,X,X,X,O,X,X,O
ILSZOJT,X,X,X,O,X,X,X,X,X,X,X,X,O
ILSOTJZ,X,X,O,X,X,O,X,X,X,X,X,O,O
ILSOTZJ,X,O,O,X,X,X,X,X,X,O,X,O,O
ILSOJTZ,X,X,O,X,X,O,X,X,X,X,X,O,O
ILSOJZT,X,O,X,X,X,X,X,X,X,X,X,X,O
ILSOZTJ,X,O,X,X,X,X,X,X,X,O,X,O,O
ILSOZJT,X,O,X,O,X,X,X,X,X,X,X,X,O
ILZTJSO,O,X,X,X,X,X,X,X,X,X,X,X,O
ILZTJOS,O,X,X,X,X,X,X,X,X,O,X,X,X
ILZTSJO,O,X,X,X,X,X,X,X,X,X,X,X,O
ILZTSOJ,X,X,X,X,X,X,X,X,X,O,X,X,O
ILZTOJS,X,X,X,X,X,X,X,X,X,O,X,X,X
ILZTOSJ,X,X,X,X,X,X,O,X,X,O,X,X,O
ILZJTSO,O,X,X,X,X,X,X,X,X,X,X,X,O
ILZJTOS,O,X,X,X,X,X,X,X,X,O,X,X,X
ILZJSTO,O,X,X,X,X,O,X,X,X,X,X,X,O
ILZJSOT,X,X,X,X,X,X,X,X,X,X,O,X,O
ILZJOTS,O,X,X,X,X,X,X,O,X,O,X,X,X
ILZJOST,X,X,X,X,X,X,X,O,X,X,O,X,X
ILZSTJO,X,X,X,O,X,O,X,X,X,X,X,X,O
ILZSTOJ,X,X,X,X,X,X,X,X,X,O,X,X,O
ILZSJTO,X,X,X,O,X,O,X,X,X,X,X,X,O
ILZSJOT,X,X,X,O,X,X,X,X,X,X,O,X,O
ILZSOTJ,X,X,X,X,X,X,X,X,X,O,X,X,O
ILZSOJT,X,X,X,O,X,X,X,X,X,X,X,X,O
ILZOTJS,X,X,X,X,X,X,X,O,X,O,X,X,X
ILZOTSJ,X,X,X,X,X,X,O,X,X,O,X,X,O
ILZOJTS,X,X,X,X,X,X,X,O,X,O,X,X,X
ILZOJST,X,X,X,X,X,X,X,O,X,X,X,X,X
ILZOSTJ,X,X,X,X,X,X,O,X,X,O,X,X,O
ILZOSJT,X,X,X,X,X,X,O,O,X,X,X,X,O
ILOTJSZ,O,X,O,X,O,X,X,O,X,X,X,X,X
ILOTJZS,O,X,X,X,O,X,X,O,X,O,X,X,X
ILOTSJZ,O,X,O,X,X,X,X,O,X,X,X,O,O
ILOTSZJ,X,O,O,X,X,X,X,O,X,O,X,O,O
ILOTZJS,X,X,X,X,X,X,X,O,X,O,X,X,X
ILOTZSJ,X,X,O,X,X,X,O,O,X,O,X,X,O
ILOJTSZ,O,X,X,X,O,X,X,O,X,X,X,X,X
ILOJTZS,O,X,X,X,O,X,X,O,X,O,X,X,X
ILOJSTZ,X,X,X,X,O,O,X,X,X,X,X,O,X
ILOJSZT,X,O,X,X,X,X,X,O,X,X,X,X,X
ILOJZTS,O,X,X,X,O,X,X,O,X,O,X,X,X
ILOJZST,X,X,X,X,X,X,X,O,X,X,X,X,X
ILOSTJZ,X,X,O,X,X,O,X,O,X,X,X,O,O
ILOSTZJ,X,O,O,X,X,X,X,O,X,O,X,O,O
ILOSJTZ,X,X,O,X,O,O,X,X,X,X,X,O,O
ILOSJZT,X,O,X,X,X,X,X,O,X,X,X,X,O
ILOSZTJ,X,O,X,X,X,X,X,X,X,O,X,O,O
ILOSZJT,X,O,X,X,X,X,X,O,X,X,X,X,O
ILOZTJS,X,X,X,X,X,X,X,O,X,O,X,X,X
ILOZTSJ,X,X,X,X,X,X,O,O,X,O,X,X,O
ILOZJTS,X,X,X,X,O,X,X,O,X,O,X,X,X
ILOZJST,X,X,X,X,X,X,X,O,X,X,X,X,X
ILOZSTJ,X,O,X,X,X,X,O,X,X,O,X,O,O
ILOZSJT,X,O,X,X,X,X,O,O,X,X,X,X,O
IJTLSZO,O,X,X,X,O,O,X,X,X,X,X,X,X
IJTLSOZ,O,X,X,X,O,O,X,X,X,X,X,X,X
IJTLZSO,O,X,X,X,O,X,X,X,X,X,X,X,X
IJTLZOS,O,X,X,X,X,X,X,X,O,O,X,X,X
IJTLOSZ,O,X,X,X,O,X,X,X,O,X,X,X,X
IJTLOZS,O,X,X,X,O,X,X,X,O,O,X,X,X
IJTSLZO,O,X,X,X,O,X,X,X,X,X,X,X,X
IJTSLOZ,O,X,O,X,O,X,X,X,X,X,X,X,X
IJTSZLO,O,X,X,X,O,X,X,X,X,X,X,X,X
IJTSZOL,O,X,O,X,O,X,X,X,X,X,X,X,X
IJTSOLZ,O,X,O,X,O,X,X,X,X,X,X,X,X
IJTSOZL,O,X,O,X,O,X,X,X,X,X,X,X,X
IJTZLSO,O,X,X,X,O,X,X,X,X,X,X,X,X
IJTZLOS,O,X,X,X,X,X,X,X,O,X,X,X,X
IJTZSLO,O,X,X,X,O,X,X,X,X,X,X,X,X
IJTZSOL,O,X,X,X,O,X,X,X,X,X,X,X,X
IJTZOLS,O,X,X,X,X,X,X,X,O,O,X,X,X
IJTZOSL,O,X,X,X,X,X,O,X,X,X,X,X,X
IJTOLSZ,O,X,O,X,O,X,X,X,O,X,X,X,X
IJTOLZS,O,X,X,X,O,X,X,X,O,O,X,X,X
IJTOSLZ,O,X,O,X,O,X,X,X,X,X,X,X,X
IJTOSZL,O,X,O,X,O,X,X,X,X,X,X,X,X
IJTOZLS,O,X,X,X,O,X,X,X,O,O,X,X,X
IJTOZSL,O,X,X,X,O,X,O,X,X,X,X,X,X
IJLTSZO,O,X,X,X,O,O,X,X,X,X,X,X,X
IJLTSOZ,O,X,X,X,O,O,X,X,X,X,X,X,X
IJLTZSO,O,X,X,X,O,X,X,X,X,X,X,X,X
IJLTZOS,O,X,X,X,X,X,X,X,O,O,X,X,X
IJLTOSZ,O,X,X,X,O,X,X,X,O,X,X,X,X
IJLTOZS,O,X,X,X,O,X,X,X,O,O,X,X,X
IJLSTZO,O,X,X,X,O,O,X,X,X,X,X,X,X
IJLSTOZ,O,X,X,X,O,O,X,X,X,X,X,X,X
IJLSZTO,O,X,X,X,O,O,X,X,X,X,X,X,X
IJLSZOT,X,X,X,X,O,X,X,X,X,X,O,X,X
IJLSOTZ,X,X,X,X,O,O,X,X,X,X,X,X,X
IJLSOZT,X,X,X,X,X,X,X,X,X,X,O,X,X
IJLZTSO,O,X,X,X,X,X,X,X,X,X,X,X,X
IJLZTOS,O,X,X,X,X,X,X,X,X,O,X,X,X
IJLZSTO,O,X,X,X,X,O,X,X,X,X,X,X,X
IJLZSOT,X,X,X,X,X,X,X,X,X,X,O,X,X
IJLZOTS,O,X,X,X,X,X,X,O,X,O,X,X,X
IJLZOST,X,X,X,X,X,X,X,O,X,X,O,X,X
IJLOTSZ,O,X,X,X,O,X,X,X,O,X,X,X,X
IJLOTZS,O,X,X,X,O,X,X,O,O,O,X,X,X
IJLOSTZ,X,X,X,X,O,O,X,X,O,X,X,X,X
IJLOSZT,X,X,X,X,X,X,X,O,X,X,O,X,X
IJLOZTS,O,X,X,X,O,X,X,O,O,O,X,X,X
IJLOZST,X,X,X,X,X,X,X,O,X,X,O,X,X
IJSTLZO,O,X,X,O,O,O,X,X,X,X,X,X,X
IJSTLOZ,O,X,O,X,O,O,X,X,X,X,X,X,X
IJSTZLO,O,X,X,O,O,O,X,X,X,X,X,X,X
IJSTZOL,O,X,O,O,O,X,X,X,X,X,X,X,X
IJSTOLZ,O,X,O,O,O,X,X,X,X,X,X,X,X
IJSTOZL,O,X,O,O,O,X,X,X,X,X,X,X,X
IJSLTZO,O,X,X,X,O,O,X,X,X,X,X,X,X
IJSLTOZ,O,X,O,X,O,O,X,X,X,X,X,X,X
IJSLZTO,O,X,X,O,O,O,X,X,X,X,X,X,X
IJSLZOT,X,X,X,O,O,X,X,X,X,X,O,X,X
IJSLOTZ,X,X,O,X,O,O,X,X,X,X,X,X,X
IJSLOZT,X,X,X,X,X,X,X,X,X,X,O,X,X
IJSZTLO,O,X,X,O,O,O,X,X,X,X,X,X,X
IJSZTOL,O,X,O,X,O,X,X,X,X,X,X,X,X
IJSZLTO,O,X,X,O,O,X,X,X,X,X,X,X,X
IJSZLOT,X,X,X,O,O,X,X,X,X,X,X,X,X
IJSZOTL,X,X,O,X,X,X,X,X,X,X,O,X,X
IJSZOLT,X,X,X,O,O,X,X,X,X,X,O,X,X
IJSOTLZ,X,X,O,X,O,X,X,X,X,X,X,X,X
IJSOTZL,X,X,O,X,O,X,X,X,X,X,X,X,X
IJSOLTZ,X,X,O,X,O,X,X,X,X,X,X,X,X
IJSOLZT,X,X,X,X,X,X,X,X,X,X,O,X,X
IJSOZTL,X,X,O,X,X,X,X,X,X,X,O,X,X
IJSOZLT,X,X,X,X,X,X,X,X,X,X,O,X,X
IJZTLSO,O,X,X,X,X,X,X,X,X,X,X,X,X
IJZTLOS,O,X,X,X,X,X,X,X,O,X,X,X,X
IJZTSLO,O,X,X,X,X,X,X,X,X,X,X,X,X
IJZTSOL,O,X,X,X,X,X,X,X,X,X,X,X,X
IJZTOLS,O,X,X,X,X,X,X,X,O,O,X,X,X
IJZTOSL,O,X,X,X,X,X,O,X,X,X,X,X,X
IJZLTSO,O,X,X,X,X,X,X,X,X,X,X,X,X
IJZLTOS,O,X,X,X,X,X,X,X,X,O,X,X,X
IJZLSTO,O,X,X,X,X,O,X,X,X,X,X,X,X
IJZLSOT,X,X,X,X,X,X,X,X,X,X,O,X,X
IJZLOTS,O,X,X,X,X,X,X,X,X,O,X,X,X
IJZLOST,X,X,X,X,X,X,X,X,X,X,O,X,X
IJZSTLO,O,X,X,O,X,O,X,X,X,X,X,X,X
IJZSTOL,O,X,X,X,X,X,X,X,X,X,X,X,X
IJZSLTO,O,X,X,O,X,X,X,X,X,X,X,X,X
IJZSLOT,X,X,X,O,X,X,X,X,X,X,X,X,X
IJZSOTL,X,X,X,X,X,X,X,X,X,X,O,X,X
IJZSOLT,X,X,X,O,X,X,X,X,X,X,O,X,X
IJZOTLS,O,X,X,X,X,X,X,O,O,O,X,X,X
IJZOTSL,O,X,X,X,X,X,O,X,X,X,X,X,X
IJZOLTS,O,X,X,X,X,X,X,O,X,O,X,X,X
IJZOLST,X,X,X,X,X,X,X,O,X,X,O,X,X
IJZOSTL,X,X,X,X,X,X,O,X,X,X,O,X,X
IJZOSLT,X,X,X,X,X,X,O,O,X,X,O,X,X
IJOTLSZ,O,X,O,X,O,X,X,X,O,X,X,X,X
IJOTLZS,O,X,X,X,O,X,X,O,O,O,X,X,X
IJOTSLZ,O,X,O,X,O,X,X,X,X,X,X,X,X
IJOTSZL,O,X,O,X,O,X,X,X,X,X,X,X,X
IJOTZLS,O,X,X,X,O,X,X,O,O,O,X,X,X
IJOTZSL,O,X,X,X,O,X,O,X,X,X,X,X,X
IJOLTSZ,O,X,X,X,O,X,X,X,O,X,X,X,X
IJOLTZS,O,X,X,X,O,X,X,O,O,O,X,X,X
IJOLSTZ,X,X,X,X,O,O,X,X,O,X,X,X,X
IJOLSZT,X,X,X,X,X,X,X,O,X,X,O,X,X
IJOLZTS,O,X,X,X,O,X,X,O,O,O,X,X,X
IJOLZST,X,X,X,X,X,X,X,O,X,X,O,X,X
IJOSTLZ,X,X,O,X,O,X,X,X,X,X,X,X,X
IJOSTZL,X,X,O,X,O,X,X,X,X,X,X,X,X
IJOSLTZ,X,X,O,X,O,X,X,X,O,X,X,X,X
IJOSLZT,X,X,X,X,X,X,X,O,X,X,O,X,X
IJOSZTL,X,X,O,X,X,X,X,X,X,X,O,X,X
IJOSZLT,X,X,X,X,X,X,X,O,X,X,O,X,X
IJOZTLS,O,X,X,X,O,X,X,O,O,O,X,X,X
IJOZTSL,O,X,X,X,O,X,O,X,X,X,X,X,X
IJOZLTS,O,X,X,X,O,X,X,O,O,O,X,X,X
IJOZLST,X,X,X,X,X,X,X,O,X,X,O,X,X
IJOZSTL,X,X,X,X,X,X,O,X,X,X,O,X,X
IJOZSLT,X,X,X,X,X,X,O,O,X,X,O,X,X
ISTLJZO,O,X,X,O,X,O,X,X,X,X,X,X,O
ISTLJOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
ISTLZJO,O,X,X,O,X,O,X,X,X,X,X,X,O
ISTLZOJ,X,X,X,O,X,X,X,X,X,O,X,X,O
ISTLOJZ,O,X,O,O,X,O,X,X,X,X,X,O,O
ISTLOZJ,X,X,O,O,X,X,X,X,X,O,X,O,O
ISTJLZO,O,X,X,O,X,O,X,X,X,X,X,X,O
ISTJLOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
ISTJZLO,O,X,X,O,X,O,X,X,X,X,X,X,X
ISTJZOL,O,X,O,O,X,X,X,X,X,X,X,X,X
ISTJOLZ,O,X,O,O,X,X,X,X,X,X,X,X,X
ISTJOZL,O,X,O,O,X,X,X,X,X,X,X,X,X
ISTZLJO,O,X,X,O,X,X,X,X,X,X,X,X,X
ISTZLOJ,X,X,X,O,X,X,X,X,X,X,X,X,X
ISTZJLO,O,X,X,O,X,X,X,X,X,X,X,X,X
ISTZJOL,O,X,O,O,X,X,X,X,X,X,X,X,X
ISTZOLJ,X,X,O,O,X,X,O,X,X,O,X,X,X
ISTZOJL,X,X,O,O,X,X,O,X,X,X,X,X,X
ISTOLJZ,O,X,O,O,X,X,X,X,X,X,X,O,X
ISTOLZJ,X,X,O,O,X,X,X,X,X,O,X,O,X
ISTOJLZ,O,X,O,O,X,X,X,X,X,X,X,O,X
ISTOJZL,O,X,O,O,X,X,X,X,X,X,X,X,X
ISTOZLJ,X,X,O,O,X,X,O,X,X,O,X,O,X
ISTOZJL,X,X,O,O,X,X,O,X,X,X,X,X,X
ISLTJZO,O,X,X,O,X,O,X,X,X,X,X,X,O
ISLTJOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
ISLTZJO,O,X,X,O,X,O,X,X,X,X,X,X,O
ISLTZOJ,X,X,X,O,X,X,X,X,X,O,X,X,O
ISLTOJZ,O,X,O,O,X,O,X,X,X,X,X,O,O
ISLTOZJ,X,X,O,O,X,X,X,X,X,O,X,O,O
ISLJTZO,O,X,X,X,X,O,X,X,X,X,X,X,O
ISLJTOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
ISLJZTO,O,X,X,O,X,O,X,X,X,X,X,X,O
ISLJZOT,X,X,X,O,X,X,X,X,X,X,X,X,O
ISLJOTZ,X,X,O,X,X,O,X,X,X,X,X,X,O
ISLJOZT,X,O,X,X,X,X,X,X,X,X,X,X,O
ISLZTJO,X,X,X,O,X,O,X,X,X,X,X,X,O
ISLZTOJ,X,X,X,X,X,X,X,X,X,O,X,X,O
ISLZJTO,X,X,X,O,X,O,X,X,X,X,X,X,O
ISLZJOT,X,X,X,O,X,X,X,X,X,X,X,X,O
ISLZOTJ,X,X,X,X,X,X,X,X,X,O,X,X,O
ISLZOJT,X,X,X,O,X,X,X,X,X,X,X,X,O
ISLOTJZ,X,X,O,X,X,O,X,X,X,X,X,O,O
ISLOTZJ,X,O,O,X,X,X,X,X,X,O,X,O,O
ISLOJTZ,X,X,O,X,X,O,X,X,X,X,X,O,O
ISLOJZT,X,O,X,X,X,X,X,X,X,X,X,X,O
ISLOZTJ,X,O,X,X,X,X,X,X,X,O,X,O,O
ISLOZJT,X,O,X,O,X,X,X,X,X,X,X,X,O
ISJTLZO,O,X,X,O,X,O,X,X,X,X,X,X,O
ISJTLOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
ISJTZLO,O,X,X,O,X,O,X,X,X,X,X,X,X
ISJTZOL,O,X,O,O,X,X,X,X,X,X,X,X,X
ISJTOLZ,O,X,O,O,X,X,X,X,X,X,X,X,X
ISJTOZL,O,X,O,O,X,X,X,X,X,X,X,X,X
ISJLTZO,O,X,X,X,X,O,X,X,X,X,X,X,O
ISJLTOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
ISJLZTO,O,X,X,O,X,O,X,X,X,X,X,X,O
ISJLZOT,X,X,X,O,X,X,X,X,X,X,X,X,O
ISJLOTZ,X,X,O,X,X,O,X,X,X,X,X,X,O
ISJLOZT,X,O,X,X,X,X,X,X,X,X,X,X,O
ISJZTLO,O,X,X,O,X,O,X,X,X,X,X,X,X
ISJZTOL,O,X,O,X,X,X,X,X,X,X,X,X,X
ISJZLTO,O,X,X,O,X,X,X,X,X,X,X,X,X
ISJZLOT,X,O,X,O,X,X,X,X,X,X,X,X,X
ISJZOTL,X,X,O,X,X,X,X,X,X,X,X,X,X
