sequence,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFqfBTbB?ehB3dBUiBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8Jei6IvhFRdBckB?mgBTiB3gBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFqfBTbB?ehBUdB3iBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFSgBehB?3dBzfBUiBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeO/IvhFVgBahB?RdBTiB3kBcqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFufBahB?3dBTgBUiBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFSgBehB?UdBzfB3iBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8Je2/IvhFRbB3dB?zgBUiBikBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8Je2/IvhFRbBUdB?zgB3iBikBFqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeO/IvhFRdB8lB?TiB3kBFlBiqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeaBJvhFRdBOkB?XgBTiBcqBlpB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFzbB3dB?ukBUiBllBaqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeO/IvhFlbBRdB?8lBTiB3kBaqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeZ/IvhFlbBaiB?uiB8lBzkBfqB,v115@8gA8EeA8BeB8EeA8BeB8DeH8AeG8JeK/IvhFfgBlbB?RdB8lBTiBmpB
JSTOZIL,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X
JSTOZLI,O,O,O,X,X,O,X,X,X,O,X,X,O,X,X
JSITLZO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JSITLOZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
JSITZLO,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X
JSITZOL,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
JSITOLZ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JSITOZL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JSILTZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSILTOZ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JSILZTO,X,X,X,O,O,X,O,X,X,X,X,X,O,X,O
JSILZOT,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O
JSILOTZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSILOZT,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
JSIZTLO,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X
JSIZTOL,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JSIZLTO,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O
JSIZLOT,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O
JSIZOTL,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JSIZOLT,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
JSIOTLZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JSIOTZL,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
JSIOLTZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIOLZT,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X
JSIOZTL,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JSIOZLT,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
JSLTIZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSLTIOZ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JSLTZIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSLTZOI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSLTOIZ,O,X,X,O,X,O,X,O,X,X,X,O,X,X,O
JSLTOZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O
JSLITZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSLITOZ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JSLIZTO,X,X,X,O,O,X,O,X,X,X,X,X,O,X,O
JSLIZOT,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O
JSLIOTZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
JSLIOZT,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O
JSLZTIO,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O
JSLZTOI,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O
JSLZITO,X,X,X,O,O,X,O,X,X,X,X,X,O,X,O
JSLZIOT,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O
JSLZOTI,X,X,X,X,O,X,X,O,X,O,O,X,O,X,O
JSLZOIT,X,X,X,X,O,X,X,O,X,O,O,X,O,O,O
JSLOTIZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JSLOTZI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JSLOITZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
JSLOIZT,X,X,X,O,O,X,X,O,X,O,O,X,O,O,O
JSLOZTI,X,X,X,X,O,X,X,O,X,O,O,X,O,X,O
JSLOZIT,X,X,X,X,O,X,X,O,X,O,O,X,O,O,O
JSZTILO,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X
JSZTIOL,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JSZTLIO,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X
JSZTLOI,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X
JSZTOIL,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
JSZTOLI,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X
JSZITLO,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X
JSZITOL,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JSZILTO,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O
JSZILOT,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O
JSZIOTL,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
JSZIOLT,X,X,X,X,X,X,X,X,X,O,O,X,O,O,X
JSZLTIO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JSZLTOI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O
JSZLITO,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O
JSZLIOT,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O
JSZLOTI,X,O,X,X,X,X,X,X,X,O,O,X,O,X,O
JSZLOIT,X,O,X,X,X,X,X,X,X,O,O,X,O,O,O
JSZOTIL,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
JSZOTLI,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X
JSZOITL,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
JSZOILT,X,O,X,X,X,X,X,X,X,O,O,X,O,O,O
JSZOLTI,X,O,X,X,X,X,X,X,X,O,O,X,O,X,O
JSZOLIT,X,O,X,X,X,X,X,X,X,O,O,X,O,O,O
JSOTILZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JSOTIZL,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X
JSOTLIZ,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
JSOTLZI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JSOTZIL,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X
JSOTZLI,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
JSOITLZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JSOITZL,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X
JSOILTZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSOILZT,X,X,X,O,O,X,X,X,X,O,O,X,O,O,O
JSOIZTL,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
JSOIZLT,X,O,X,X,X,X,X,X,X,O,O,X,O,O,O
JSOLTIZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JSOLTZI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JSOLITZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
JSOLIZT,X,X,X,O,O,X,X,O,X,O,O,X,O,O,O
JSOLZTI,X,X,X,X,O,X,X,O,X,O,O,X,O,X,O
JSOLZIT,X,X,X,X,O,X,X,O,X,O,O,X,O,O,O
JSOZTIL,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
JSOZTLI,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X
JSOZITL,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
JSOZILT,X,O,X,X,X,X,X,X,X,O,O,X,O,O,O
JSOZLTI,X,O,X,X,X,X,X,X,X,O,O,X,O,X,O
JSOZLIT,X,O,X,X,X,X,X,X,X,O,O,X,O,O,O
JZTILSO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O
JZTILOS,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X
JZTISLO,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X
JZTISOL,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X
JZTIOLS,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X
JZTIOSL,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JZTLISO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O
JZTLIOS,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X
JZTLSIO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O
JZTLSOI,O,O,O,X,O,X,X,X,O,X,O,X,X,X,O
JZTLOIS,O,O,O,X,O,X,O,X,O,X,O,X,X,O,O
JZTLOSI,O,O,O,X,O,X,X,X,O,X,O,X,X,X,O
JZTSILO,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X
JZTSIOL,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X
JZTSLIO,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X
JZTSLOI,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
JZTSOIL,X,O,X,X,O,X,X,X,X,X,O,O,O,X,X
JZTSOLI,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
JZTOILS,X,O,O,X,O,X,O,X,X,X,O,X,X,O,O
JZTOISL,X,O,X,X,O,X,X,X,X,X,O,O,O,X,X
JZTOLIS,O,O,O,X,O,X,O,X,O,X,O,X,X,O,O
JZTOLSI,O,O,O,X,O,X,X,X,O,X,O,X,X,X,O
JZTOSIL,X,O,X,X,O,X,X,X,X,X,O,O,O,X,X
JZTOSLI,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
JZITLSO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O
JZITLOS,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X
JZITSLO,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X
JZITSOL,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X
JZITOLS,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X
JZITOSL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZILTSO,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O
JZILTOS,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X
JZILSTO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O
JZILSOT,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O
JZILOTS,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O
JZILOST,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O
JZISTLO,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X
JZISTOL,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X
JZISLTO,X,X,X,O,O,X,O,X,X,X,X,X,O,X,O
JZISLOT,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O
JZISOTL,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X
JZISOLT,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JZIOTLS,X,O,O,X,X,X,O,X,X,X,O,X,X,O,O
JZIOTSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZIOLTS,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O
JZIOLST,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O
JZIOSTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZIOSLT,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
JZLTISO,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O
JZLTIOS,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X
JZLTSIO,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O
JZLTSOI,X,O,O,X,O,X,X,X,X,X,O,X,X,X,O
JZLTOIS,X,O,O,X,O,X,O,X,O,X,O,X,X,O,O
JZLTOSI,X,O,O,X,O,X,X,X,O,X,O,X,X,X,O
JZLITSO,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O
JZLITOS,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X
JZLISTO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O
JZLISOT,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O
JZLIOTS,X,O,X,X,X,X,O,X,O,X,O,X,X,O,O
JZLIOST,X,O,X,X,X,X,O,X,O,X,O,X,X,O,O
JZLSTIO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JZLSTOI,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
JZLSITO,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O
JZLSIOT,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O
JZLSOTI,X,O,X,X,O,X,X,X,O,X,O,X,X,X,O
JZLSOIT,X,O,X,X,O,X,X,X,O,X,O,X,X,O,O
JZLOTIS,X,O,O,X,O,X,X,X,O,X,O,X,X,O,O
JZLOTSI,X,O,O,X,O,X,X,X,O,X,O,X,X,X,O
JZLOITS,X,O,X,X,O,X,O,X,O,X,O,X,X,O,O
JZLOIST,X,O,X,X,O,X,O,X,O,X,O,X,X,O,O
JZLOSTI,X,O,X,X,O,X,X,X,O,X,O,X,X,X,O
JZLOSIT,X,O,X,X,O,X,X,X,O,X,O,X,X,O,O
JZSTILO,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X
JZSTIOL,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X
JZSTLIO,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X
JZSTLOI,O,X,O,X,O,X,X,X,X,X,O,X,O,X,X
JZSTOIL,X,X,X,X,O,X,X,X,X,O,O,O,O,X,X
JZSTOLI,O,X,O,X,O,X,X,X,X,O,O,X,O,X,X
JZSITLO,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X
JZSITOL,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X
JZSILTO,X,X,X,O,O,X,O,X,X,X,X,X,O,X,O
JZSILOT,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O
JZSIOTL,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X
JZSIOLT,X,X,X,X,O,X,X,X,X,O,O,X,O,O,X
JZSLTIO,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O
JZSLTOI,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O
JZSLITO,X,X,X,O,O,X,O,X,X,X,X,X,O,X,O
JZSLIOT,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O
JZSLOTI,X,O,X,X,O,X,X,X,X,O,O,X,O,X,O
JZSLOIT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,O
JZSOTIL,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X
JZSOTLI,O,X,O,X,O,X,X,X,X,O,O,X,O,X,X
JZSOITL,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X
JZSOILT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,O
JZSOLTI,X,O,X,X,O,X,X,X,X,O,O,X,O,X,O
JZSOLIT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,O
JZOTILS,X,O,O,X,O,X,O,X,X,X,O,X,X,O,O
JZOTISL,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
JZOTLIS,O,O,O,X,O,X,O,X,O,X,O,X,X,O,O
JZOTLSI,O,O,O,X,O,X,X,X,O,X,O,X,X,X,O
JZOTSIL,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
JZOTSLI,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
JZOITLS,X,O,O,X,O,X,O,X,X,X,O,X,X,O,O
JZOITSL,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
JZOILTS,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O
JZOILST,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O
JZOISTL,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X
JZOISLT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,O
JZOLTIS,X,O,O,X,O,X,X,X,O,X,O,X,X,O,O
JZOLTSI,X,O,O,X,O,X,X,X,O,X,O,X,X,X,O
JZOLITS,X,O,X,X,O,X,O,X,O,X,O,X,X,O,O
JZOLIST,X,O,X,X,O,X,O,X,O,X,O,X,X,O,O
JZOLSTI,X,O,X,X,O,X,X,X,O,X,O,X,X,X,O
JZOLSIT,X,O,X,X,O,X,X,X,O,X,O,X,X,O,O
JZOSTIL,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X
JZOSTLI,O,X,O,X,O,X,X,X,X,O,O,X,O,X,X
JZOSITL,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X
JZOSILT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,O
JZOSLTI,X,O,X,X,O,X,X,X,X,O,O,X,O,X,O
JZOSLIT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,O
JOTILSZ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O
JOTILZS,O,O,O,X,X,X,O,X,X,X,O,X,X,O,O
JOTISLZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOTISZL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTIZLS,X,O,O,X,X,X,O,X,X,X,O,X,X,O,O
JOTIZSL,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
JOTLISZ,O,X,O,O,X,X,X,O,O,X,X,O,X,X,O
JOTLIZS,O,O,O,X,X,X,O,O,O,X,O,X,X,O,O
JOTLSIZ,O,X,O,O,X,X,X,O,O,X,X,O,X,X,O
JOTLSZI,O,X,O,X,X,X,X,O,O,X,X,X,X,X,O
JOTLZIS,O,O,O,X,X,X,O,O,O,X,O,X,X,O,O
JOTLZSI,O,O,O,X,X,X,X,O,O,X,O,X,X,X,O
JOTSILZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOTSIZL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTSLIZ,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
JOTSLZI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOTSZIL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTSZLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTZILS,X,O,O,X,X,X,O,X,X,X,O,X,X,O,O
JOTZISL,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
JOTZLIS,O,O,O,X,X,X,O,X,O,X,O,X,X,O,O
JOTZLSI,O,O,O,X,X,X,X,X,O,X,O,X,X,X,O
JOTZSIL,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
JOTZSLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOITLSZ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O
JOITLZS,O,O,O,X,X,X,O,X,X,X,O,X,X,O,O
JOITSLZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOITSZL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOITZLS,X,O,O,X,X,X,O,X,X,X,O,X,X,O,O
JOITZSL,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
JOILTSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOILTZS,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
JOILSTZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JOILSZT,X,X,X,O,O,X,X,X,X,X,O,X,X,O,O
JOILZTS,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O
JOILZST,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O
JOISTLZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOISTZL,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X
JOISLTZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JOISLZT,X,X,X,O,O,X,X,X,X,O,O,X,O,O,O
JOISZTL,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
JOISZLT,X,O,X,X,X,X,X,X,X,O,O,X,O,O,O
JOIZTLS,X,O,O,X,O,X,O,X,X,X,O,X,X,O,O
JOIZTSL,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
JOIZLTS,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O
JOIZLST,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O
JOIZSTL,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X
JOIZSLT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,O
JOLTISZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O
JOLTIZS,O,O,O,X,X,X,X,X,O,X,O,X,X,O,O
JOLTSIZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O
JOLTSZI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O
JOLTZIS,O,O,O,X,X,X,X,X,O,X,O,X,X,O,O
JOLTZSI,O,O,O,X,X,X,X,X,O,X,O,X,X,X,O
JOLITSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JOLITZS,X,O,X,X,X,X,X,X,O,X,O,X,X,O,O
JOLISTZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
JOLISZT,X,X,X,O,O,X,X,O,O,X,O,X,X,O,O
JOLIZTS,X,O,X,X,O,X,O,X,O,X,O,X,X,O,O
JOLIZST,X,O,X,X,O,X,O,O,O,X,O,X,X,O,O
JOLSTIZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JOLSTZI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JOLSITZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
JOLSIZT,X,X,X,O,O,X,X,O,O,X,O,X,X,O,O
JOLSZTI,X,X,X,X,O,X,X,O,O,X,O,X,X,X,O
JOLSZIT,X,X,X,X,O,X,X,O,O,X,O,X,X,O,O
JOLZTIS,X,O,O,X,O,X,X,X,O,X,O,X,X,O,O
JOLZTSI,X,O,O,X,O,X,X,X,O,X,O,X,X,X,O
JOLZITS,X,O,X,X,O,X,O,X,O,X,O,X,X,O,O
JOLZIST,X,O,X,X,O,X,O,O,O,X,O,X,X,O,O
JOLZSTI,X,O,X,X,O,X,X,O,O,X,O,X,X,X,O
JOLZSIT,X,O,X,X,O,X,X,O,O,X,O,X,X,O,O
JOSTILZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOSTIZL,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X
JOSTLIZ,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
JOSTLZI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOSTZIL,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X
JOSTZLI,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
JOSITLZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOSITZL,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X
JOSILTZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JOSILZT,X,X,X,O,O,X,X,X,X,O,O,X,O,O,O
JOSIZTL,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
JOSIZLT,X,O,X,X,X,X,X,X,X,O,O,X,O,O,O
JOSLTIZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JOSLTZI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JOSLITZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
JOSLIZT,X,X,X,O,O,X,X,O,X,O,O,X,O,O,O
JOSLZTI,X,X,X,X,O,X,X,O,X,O,O,X,O,X,O
JOSLZIT,X,X,X,X,O,X,X,O,X,O,O,X,O,O,O
JOSZTIL,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
JOSZTLI,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X
JOSZITL,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
JOSZILT,X,O,X,X,X,X,X,X,X,O,O,X,O,O,O
JOSZLTI,X,O,X,X,X,X,X,X,X,O,O,X,O,X,O
JOSZLIT,X,O,X,X,X,X,X,X,X,O,O,X,O,O,O
JOZTILS,X,O,O,X,O,X,O,X,X,X,O,X,X,O,O
JOZTISL,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
JOZTLIS,O,O,O,X,O,X,O,X,O,X,O,X,X,O,O
JOZTLSI,O,O,O,X,O,X,X,X,O,X,O,X,X,X,O
JOZTSIL,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
JOZTSLI,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
JOZITLS,X,O,O,X,O,X,O,X,X,X,O,X,X,O,O
JOZITSL,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
JOZILTS,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O
JOZILST,X,O,X,X,O,X,O,X,X,X,O,X,X,O,O
JOZISTL,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X
JOZISLT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,O
JOZLTIS,X,O,O,X,O,X,X,X,O,X,O,X,X,O,O
JOZLTSI,X,O,O,X,O,X,X,X,O,X,O,X,X,X,O
JOZLITS,X,O,X,X,O,X,O,X,O,X,O,X,X,O,O
JOZLIST,X,O,X,X,O,X,O,X,O,X,O,X,X,O,O
JOZLSTI,X,O,X,X,O,X,X,X,O,X,O,X,X,X,O
JOZLSIT,X,O,X,X,O,X,X,X,O,X,O,X,X,O,O
JOZSTIL,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X
JOZSTLI,O,X,O,X,O,X,X,X,X,O,O,X,O,X,X
JOZSITL,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X
JOZSILT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,O
JOZSLTI,X,O,X,X,O,X,X,X,X,O,O,X,O,X,O
JOZSLIT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,O
STILJZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
STILJOZ,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X
STILZJO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
STILZOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
STILOJZ,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X
STILOZJ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
STIJLZO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
STIJLOZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
STIJZLO,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X
STIJZOL,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
