sequence,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFXeBOkBlgBSoBzk?BUtB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhFTeBflBlgBWoBCl?BUtB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhFCbBlgBGjBXjBzk?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFTeBKkBflBlgBWo?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFXeBlgBSoBmkBTk?BUtB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhFFbBTeBqkB3gBWo?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFTfBlgBGjBXjByp?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFOkBlgBUjBzkBft?B6tB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhFflBlgBunBcoBCl?BTtB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhF6jBukB3gBziBFl?BUtB,v115@3gD8GeB8GeC8FeD8BeI8LeT6IvhF1gBGjBXjBxkByp?BUtB,v115@3gD8GeB8GeC8FeD8BeI8LeZ/IvhFufB1gB6jBXlBzn?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhF6jBlfB3gB2pBzn?BUtB,v115@3gD8GeB8GeC8FeD8BeI8Le1/IvhF0bBCjBxkBXoB2p?BTtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFlgBWoBikB0kBXo?BTtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFKkBflBlgBunBco?BTtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhF0fBlgBCjB2pBXo?BTtB,v115@3gD8GeB8GeC8FeD8BeI8Lex6IvhFlgBUjBmkBftBTk?B6tB
JIOTZSL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JIOLTSZ,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X
JIOLTZS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JIOLSTZ,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JIOLSZT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JIOLZTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JIOLZST,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JIOSTLZ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JIOSTZL,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JIOSLTZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JIOSLZT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JIOSZTL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JIOSZLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JIOZTLS,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JIOZTSL,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JIOZLTS,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JIOZLST,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JIOZSTL,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
JIOZSLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLTISZO,O,X,O,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X
JLTISOZ,O,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
JLTIZSO,O,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
JLTIZOS,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
JLTIOSZ,O,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JLTIOZS,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JLTSIZO,O,O,O,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
JLTSIOZ,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
JLTSZIO,O,X,X,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
JLTSZOI,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,O
JLTSOIZ,O,O,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
JLTSOZI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X
JLTZISO,O,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,O,X
JLTZIOS,O,X,X,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X
JLTZSIO,O,X,X,X,O,O,X,X,O,X,X,X,O,X,O,O,O,X
JLTZSOI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,O,O,X
JLTZOIS,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JLTZOSI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JLTOISZ,O,X,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JLTOIZS,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JLTOSIZ,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JLTOSZI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JLTOZIS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JLTOZSI,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JLITSZO,O,X,O,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X
JLITSOZ,O,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
JLITZSO,O,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
JLITZOS,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X
JLITOSZ,O,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JLITOZS,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JLISTZO,O,O,X,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X
JLISTOZ,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
JLISZTO,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X
JLISZOT,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JLISOTZ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JLISOZT,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JLIZTSO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLIZTOS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLIZSTO,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X
JLIZSOT,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JLIZOTS,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JLIZOST,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JLIOTSZ,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JLIOTZS,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLIOSTZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLIOSZT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLIOZTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLIOZST,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLSTIZO,O,O,X,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
JLSTIOZ,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
JLSTZIO,O,X,X,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
JLSTZOI,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,O
JLSTOIZ,O,O,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
JLSTOZI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X
JLSITZO,O,O,X,O,O,O,X,X,O,X,X,O,O,X,X,O,O,X
JLSITOZ,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
JLSIZTO,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,O,O,X
JLSIZOT,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JLSIOTZ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JLSIOZT,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JLSZTIO,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,O,O,X
JLSZTOI,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,O
JLSZITO,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,O,O,X
JLSZIOT,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JLSZOTI,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X
JLSZOIT,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JLSOTIZ,O,O,X,O,O,O,O,X,X,X,X,X,O,X,X,O,X,X
JLSOTZI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X
JLSOITZ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JLSOIZT,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JLSOZTI,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X
JLSOZIT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLZTISO,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,O,X
JLZTIOS,O,X,X,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X
JLZTSIO,O,X,X,O,O,O,X,X,O,X,X,X,O,X,O,O,O,X
JLZTSOI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X
JLZTOIS,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JLZTOSI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JLZITSO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLZITOS,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JLZISTO,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X
JLZISOT,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JLZIOTS,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JLZIOST,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JLZSTIO,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,O,O,X
JLZSTOI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X
JLZSITO,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,O,O,X
JLZSIOT,O,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JLZSOTI,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,O,O,X
JLZSOIT,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JLZOTIS,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JLZOTSI,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JLZOITS,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JLZOIST,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JLZOSTI,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X
JLZOSIT,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JLOTISZ,O,X,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JLOTIZS,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JLOTSIZ,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JLOTSZI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JLOTZIS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JLOTZSI,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JLOITSZ,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLOITZS,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLOISTZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOISZT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOIZTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOIZST,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOSTIZ,O,O,X,O,O,O,O,X,X,X,X,X,O,X,X,O,X,X
JLOSTZI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X
JLOSITZ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JLOSIZT,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JLOSZTI,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JLOSZIT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOZTIS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLOZTSI,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOZITS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLOZIST,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOZSTI,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JLOZSIT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSTILZO,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
JSTILOZ,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
JSTIZLO,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
JSTIZOL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
JSTIOLZ,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
JSTIOZL,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JSTLIZO,O,O,O,X,O,O,X,X,O,X,X,O,O,X,O,X,O,X
JSTLIOZ,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
JSTLZIO,O,X,X,X,O,O,X,X,O,X,X,O,O,X,O,X,O,X
JSTLZOI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O
JSTLOIZ,O,O,X,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X
JSTLOZI,O,X,X,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X
JSTZILO,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
JSTZIOL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
JSTZLIO,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
JSTZLOI,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JSTZOIL,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O
JSTZOLI,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O,O
JSTOILZ,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
JSTOIZL,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JSTOLIZ,X,O,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X
JSTOLZI,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X
JSTOZIL,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,O
JSTOZLI,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O
JSITLZO,X,O,O,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X
JSITLOZ,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JSITZLO,X,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X
JSITZOL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
JSITOLZ,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
JSITOZL,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JSILTZO,O,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,O,X
JSILTOZ,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
JSILZTO,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X
JSILZOT,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JSILOTZ,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JSILOZT,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JSIZTLO,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
JSIZTOL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
JSIZLTO,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
JSIZLOT,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JSIZOTL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSIZOLT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSIOTLZ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSIOTZL,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JSIOLTZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JSIOLZT,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JSIOZTL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSIOZLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLTIZO,O,O,X,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
JSLTIOZ,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
JSLTZIO,O,X,X,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
JSLTZOI,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,O
JSLTOIZ,O,O,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
JSLTOZI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X
JSLITZO,O,O,X,O,O,O,X,X,O,X,X,O,O,X,X,O,O,X
JSLITOZ,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
JSLIZTO,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X
JSLIZOT,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JSLIOTZ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JSLIOZT,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JSLZTIO,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,O,O,X
JSLZTOI,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,O
JSLZITO,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X
JSLZIOT,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JSLZOTI,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X
JSLZOIT,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSLOTIZ,O,O,X,O,O,O,O,X,X,X,X,X,O,X,X,O,X,X
JSLOTZI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X
JSLOITZ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JSLOIZT,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JSLOZTI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X
JSLOZIT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZTILO,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X
JSZTIOL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
JSZTLIO,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X
JSZTLOI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JSZTOIL,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O
JSZTOLI,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,O
JSZITLO,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
JSZITOL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
JSZILTO,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X
JSZILOT,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JSZIOTL,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSZIOLT,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSZLTIO,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,O,X
JSZLTOI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,O
JSZLITO,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,O,X
JSZLIOT,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JSZLOTI,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X
JSZLOIT,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSZOTIL,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O
JSZOTLI,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,O
JSZOITL,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JSZOILT,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSZOLTI,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X
JSZOLIT,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSOTILZ,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
JSOTIZL,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOTLIZ,X,O,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X
JSOTLZI,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X
JSOTZIL,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,O
JSOTZLI,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O
JSOITLZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOITZL,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOILTZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JSOILZT,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JSOIZTL,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JSOIZLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSOLTIZ,X,O,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X
JSOLTZI,X,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,O,X
JSOLITZ,X,O,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X
JSOLIZT,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JSOLZTI,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X
JSOLZIT,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JSOZTIL,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O
JSOZTLI,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O
JSOZITL,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JSOZILT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSOZLTI,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X
JSOZLIT,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZTILSO,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X
JZTILOS,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JZTISLO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
JZTISOL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
JZTIOLS,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZTIOSL,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
JZTLISO,O,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,O,X
JZTLIOS,O,X,O,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X
JZTLSIO,O,O,O,O,O,O,X,X,O,X,X,X,O,X,O,O,O,X
JZTLSOI,O,O,X,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X
JZTLOIS,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JZTLOSI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JZTSILO,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X
JZTSIOL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,O
JZTSLIO,O,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X
JZTSLOI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O
JZTSOIL,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
JZTSOLI,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O
JZTOILS,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZTOISL,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
JZTOLIS,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZTOLSI,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZTOSIL,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
JZTOSLI,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
JZITLSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JZITLOS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JZITSLO,O,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
JZITSOL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
JZITOLS,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZITOSL,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
JZILTSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZILTOS,O,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JZILSTO,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X
JZILSOT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZILOTS,X,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X
JZILOST,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZISTLO,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
JZISTOL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
JZISLTO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
