sequence,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFTcB0dB6jB2nBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFicBzdB+jBUiBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF0cB6jBemBziBXi?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF2hBCeBTjBUiBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFCeBmhBTjBXmBcs?BlrB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFTcB6jBmiBXiBVr?BcsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF/hBGeBUjBVrBTn?BasB
TSZIOJL,X,X,X,X,X,X,X
TSZLIJO,X,X,X,X,X,X,X
TSZLIOJ,X,X,X,X,X,X,X
TSZLJIO,X,X,X,X,X,X,X
TSZLJOI,X,X,X,X,X,X,X
TSZLOIJ,X,X,X,X,X,X,X
TSZLOJI,X,X,X,X,X,X,X
TSZJILO,X,X,X,X,X,X,X
TSZJIOL,X,X,X,X,X,X,X
TSZJLIO,X,X,X,X,X,X,X
TSZJLOI,X,X,X,X,X,X,X
TSZJOIL,X,X,X,X,X,X,X
TSZJOLI,X,X,X,X,X,X,X
TSZOILJ,X,X,X,X,X,X,X
TSZOIJL,X,X,X,X,X,X,X
TSZOLIJ,X,X,X,X,X,X,X
TSZOLJI,X,X,X,X,X,X,X
TSZOJIL,X,X,X,X,X,X,X
TSZOJLI,X,X,X,X,X,X,X
TSOILJZ,X,X,X,X,X,X,X
TSOILZJ,X,X,X,X,X,X,X
TSOIJLZ,X,X,X,X,X,X,X
TSOIJZL,X,X,X,X,X,X,X
TSOIZLJ,X,X,X,X,X,X,O
TSOIZJL,X,X,X,X,X,X,O
TSOLIJZ,X,X,X,X,X,X,X
TSOLIZJ,X,X,X,X,X,X,X
TSOLJIZ,X,X,X,X,X,X,X
TSOLJZI,X,X,X,X,X,X,X
TSOLZIJ,X,X,X,X,X,X,X
TSOLZJI,X,X,X,X,X,X,X
TSOJILZ,X,X,X,X,X,X,X
TSOJIZL,X,X,X,X,X,X,X
TSOJLIZ,X,X,X,X,X,X,X
TSOJLZI,X,X,X,X,X,X,X
TSOJZIL,X,X,X,X,X,X,X
TSOJZLI,X,X,X,X,X,X,X
TSOZILJ,X,X,X,X,X,X,O
TSOZIJL,X,X,X,X,X,X,O
TSOZLIJ,X,X,X,X,X,X,O
TSOZLJI,X,X,X,X,X,X,O
TSOZJIL,X,X,X,X,X,X,O
TSOZJLI,X,X,X,X,X,X,O
TZILJSO,X,X,X,X,X,X,X
TZILJOS,X,O,X,X,X,O,X
