sequence,v115@7gB8GeC8FeD8FeE8AeH8JeZ/IvhFUbBFcBXdBWlBTm?BCqB,v115@7gB8GeC8FeD8FeE8AeH8JeT6IvhF0bBxcBykB3hBWr?BlpB,v115@7gB8GeC8FeD8FeE8AeH8Jex7IvhFXdBOkBlgB0fBTm?BCqB,v115@7gB8GeC8FeD8FeE8AeH8JeZ/IvhFufB3bBFdB6mB8p?BzqB,v115@7gB8GeC8FeD8FeE8AeH8JeZ/IvhFufBXdBlgB8pBTr?BCrB,v115@7gB8GeC8FeD8FeE8AeH8JeO/IvhF0bBxcBzfBCmB3m?BlpB,v115@7gB8GeC8FeD8FeE8AeH8JeK/IvhFzaBfhBxcBumB0l?BlpB,v115@7gB8GeC8FeD8FeE8AeH8Jey/IvhFfhBxcBumBTfB0l?BlpB,v115@7gB8GeC8FeD8FeE8AeH8Jex6IvhFXdBTfBmgB6mB0l?BlpB,v115@7gB8GeC8FeD8FeE8AeH8Jex8IvhFTfBlgB3hB8pBip?BWwB,v115@7gB8GeC8FeD8FeE8AeH8Jem7IvhFxfB3hBTfB0lBCn?BlpB,v115@7gB8GeC8FeD8FeE8AeH8JeZ/IvhFufBlgB3hB8pBzq?BCsB
ITZOSLJ,X,X,X,O,O,X,X,X,O,O,X,X
ITZOSJL,X,X,X,O,O,O,X,X,O,O,O,O
ITOLJSZ,O,O,X,X,X,O,X,X,X,X,X,X
ITOLJZS,O,O,X,O,X,O,X,X,X,X,X,X
ITOLSJZ,O,O,X,X,X,O,X,X,X,X,X,X
ITOLSZJ,O,O,X,O,X,O,X,X,O,X,X,X
ITOLZJS,O,O,X,O,X,O,X,X,O,X,X,X
ITOLZSJ,O,O,X,O,X,O,X,X,O,X,X,X
ITOJLSZ,O,O,X,X,X,O,X,X,X,X,X,X
ITOJLZS,O,O,X,X,X,O,X,X,X,X,X,X
ITOJSLZ,O,X,X,X,X,O,X,X,X,X,X,X
ITOJSZL,X,X,X,X,X,O,X,X,O,X,X,X
ITOJZLS,X,O,X,O,X,O,X,X,O,X,X,X
ITOJZSL,X,X,X,O,X,O,X,X,O,X,X,X
ITOSLJZ,O,O,X,X,X,O,X,X,X,X,X,X
ITOSLZJ,O,O,X,X,X,O,X,X,O,X,X,X
ITOSJLZ,O,X,X,X,X,O,X,X,X,X,X,X
ITOSJZL,X,X,X,X,X,O,X,X,O,X,X,X
ITOSZLJ,O,O,X,O,O,X,X,X,O,X,X,X
ITOSZJL,X,X,X,O,O,O,X,X,O,X,X,X
ITOZLJS,O,X,X,O,O,O,X,X,O,X,X,X
ITOZLSJ,O,X,X,O,O,O,X,X,O,X,X,X
ITOZJLS,X,X,X,O,O,O,X,X,O,X,X,X
ITOZJSL,X,X,X,O,O,O,X,X,O,X,X,X
ITOZSLJ,O,X,X,O,O,X,X,X,O,X,X,X
ITOZSJL,X,X,X,O,O,O,X,X,O,X,X,X
ILTJSZO,O,O,O,X,X,O,X,X,X,X,X,X
ILTJSOZ,O,O,O,X,X,X,X,X,X,X,X,X
ILTJZSO,O,O,O,O,X,O,X,X,X,X,X,X
ILTJZOS,O,O,X,O,X,O,X,X,X,X,X,X
ILTJOSZ,O,O,O,X,X,O,X,X,X,X,X,X
ILTJOZS,O,O,X,O,X,O,X,X,X,X,X,X
ILTSJZO,O,O,O,X,X,O,X,X,X,X,X,X
ILTSJOZ,O,O,O,X,X,X,X,X,X,X,X,X
ILTSZJO,O,O,O,O,X,O,X,X,X,X,X,X
ILTSZOJ,X,O,X,O,X,O,X,X,X,X,X,X
ILTSOJZ,O,O,O,X,X,O,X,X,X,X,X,X
ILTSOZJ,X,O,X,O,X,O,X,X,X,X,X,X
ILTZJSO,X,O,O,O,X,O,X,X,X,X,X,X
ILTZJOS,X,O,X,O,X,O,X,X,X,X,X,X
ILTZSJO,X,X,O,O,X,O,X,X,X,X,X,X
ILTZSOJ,X,O,X,O,X,O,X,X,X,X,X,X
ILTZOJS,X,O,X,O,X,O,X,X,X,X,X,X
ILTZOSJ,X,O,X,O,X,O,X,X,X,X,X,X
ILTOJSZ,O,O,O,X,X,O,X,X,X,X,X,X
ILTOJZS,O,O,X,O,X,O,X,X,X,X,X,X
ILTOSJZ,O,O,O,X,X,O,X,X,X,X,X,X
ILTOSZJ,O,O,X,O,X,O,X,X,X,X,X,X
ILTOZJS,O,O,X,O,X,O,X,X,X,X,X,X
ILTOZSJ,O,O,X,O,X,O,X,X,X,X,X,X
ILJTSZO,O,O,O,X,X,O,X,X,X,X,X,X
ILJTSOZ,O,O,O,X,X,X,X,X,X,X,X,X
ILJTZSO,O,O,O,O,X,O,X,X,X,X,X,X
ILJTZOS,O,O,X,O,X,O,X,X,X,X,X,X
ILJTOSZ,O,O,O,X,X,O,X,X,X,X,X,X
ILJTOZS,O,O,X,O,X,O,X,X,X,X,X,X
ILJSTZO,O,X,O,X,X,X,X,X,X,X,X,X
ILJSTOZ,O,X,O,X,X,X,X,X,X,X,X,X
ILJSZTO,O,X,X,X,X,X,X,X,X,X,X,X
ILJSZOT,O,X,X,X,X,X,X,X,X,X,X,X
ILJSOTZ,O,X,X,X,X,X,X,X,X,X,X,X
ILJSOZT,O,X,X,X,X,X,X,X,X,X,X,X
ILJZTSO,O,O,X,O,X,O,X,X,X,X,X,X
ILJZTOS,O,O,X,O,X,O,X,X,X,X,X,X
ILJZSTO,O,X,X,O,X,X,X,X,X,X,X,X
ILJZSOT,O,X,X,O,X,X,X,X,X,X,X,X
ILJZOTS,O,X,X,O,X,X,X,X,X,X,X,X
ILJZOST,O,X,X,O,X,X,X,X,X,X,X,X
ILJOTSZ,O,X,O,X,X,X,X,X,X,X,X,X
ILJOTZS,O,X,O,O,X,X,X,X,X,X,X,X
ILJOSTZ,O,X,O,X,X,X,X,X,X,X,X,X
ILJOSZT,O,X,X,X,X,X,X,X,X,X,X,X
ILJOZTS,O,X,X,O,X,X,X,X,X,X,X,X
ILJOZST,O,X,X,O,X,X,X,X,X,X,X,X
ILSTJZO,O,O,O,X,X,O,X,X,X,X,X,X
ILSTJOZ,O,O,O,X,X,X,X,X,X,X,X,X
ILSTZJO,O,O,O,O,X,O,X,X,X,X,X,X
ILSTZOJ,X,O,X,O,X,O,X,X,X,O,X,X
ILSTOJZ,O,O,O,X,X,O,X,X,X,X,X,X
ILSTOZJ,O,O,X,O,X,O,X,X,X,X,X,X
ILSJTZO,O,O,O,X,X,X,X,X,X,X,X,X
ILSJTOZ,O,O,O,X,X,X,X,X,X,X,X,X
ILSJZTO,O,O,X,X,X,X,X,X,X,X,X,X
ILSJZOT,O,X,X,X,X,X,X,X,X,X,X,X
ILSJOTZ,O,X,X,X,X,X,X,X,X,X,X,X
ILSJOZT,O,X,X,X,X,X,X,X,X,X,X,X
ILSZTJO,O,O,O,O,O,O,X,X,X,X,X,O
ILSZTOJ,X,O,X,O,X,O,X,X,X,O,X,X
ILSZJTO,O,O,X,O,O,X,X,X,X,X,X,O
ILSZJOT,O,X,X,O,O,X,X,X,X,X,X,X
ILSZOTJ,X,X,X,O,O,X,X,X,X,O,X,X
ILSZOJT,X,X,X,O,O,X,X,X,X,X,X,X
ILSOTJZ,O,X,O,X,X,X,X,X,X,X,X,X
ILSOTZJ,O,X,X,O,X,X,X,X,X,X,X,X
ILSOJTZ,O,X,X,X,X,X,X,X,X,X,X,X
ILSOJZT,O,X,X,X,X,X,X,X,X,X,X,X
ILSOZTJ,O,X,X,O,O,X,X,X,X,X,X,X
ILSOZJT,O,X,X,O,O,X,X,X,X,X,X,X
ILZTJSO,X,X,X,O,O,O,X,X,X,X,X,O
ILZTJOS,X,X,X,O,X,O,X,X,X,X,X,X
ILZTSJO,X,X,X,O,O,O,X,X,X,X,X,O
ILZTSOJ,X,X,X,O,X,O,X,X,X,X,X,X
ILZTOJS,X,X,X,O,X,O,X,X,X,X,X,X
ILZTOSJ,X,X,X,O,X,O,X,X,X,X,X,X
ILZJTSO,O,X,X,O,O,O,X,X,X,X,X,O
ILZJTOS,O,X,X,O,X,O,X,X,X,X,X,X
ILZJSTO,O,X,X,O,O,X,X,X,X,X,X,O
ILZJSOT,O,X,X,O,O,X,X,X,X,X,X,X
ILZJOTS,O,X,X,O,O,X,X,X,X,X,X,X
ILZJOST,O,X,X,O,O,X,X,X,X,X,X,X
ILZSTJO,O,X,X,O,O,O,X,X,X,X,X,O
ILZSTOJ,X,X,X,O,X,O,X,X,X,O,X,X
ILZSJTO,O,X,X,O,O,X,X,X,X,X,X,O
ILZSJOT,O,X,X,O,O,X,X,X,X,X,X,X
ILZSOTJ,X,X,X,O,O,X,X,X,X,O,X,X
ILZSOJT,X,X,X,O,O,X,X,X,X,X,X,X
ILZOTJS,O,X,X,O,O,O,X,X,X,X,X,X
ILZOTSJ,O,X,X,O,O,O,X,X,X,X,X,X
ILZOJTS,O,X,X,O,O,X,X,X,X,X,X,X
ILZOJST,O,X,X,O,O,X,X,X,X,X,X,X
ILZOSTJ,O,X,X,O,O,X,X,X,X,O,X,X
ILZOSJT,O,X,X,O,O,X,X,X,X,X,X,X
ILOTJSZ,O,X,O,X,X,O,X,X,X,X,X,X
ILOTJZS,O,X,O,O,X,O,X,X,X,X,X,X
ILOTSJZ,O,X,O,X,X,O,X,X,X,X,X,X
ILOTSZJ,O,X,O,O,X,O,X,X,X,X,X,X
ILOTZJS,O,X,O,O,X,O,X,X,X,X,X,X
ILOTZSJ,O,X,O,O,X,O,X,X,X,X,X,X
ILOJTSZ,O,X,O,X,X,X,X,X,X,X,X,X
ILOJTZS,O,X,O,O,X,X,X,X,X,X,X,X
ILOJSTZ,O,X,O,X,X,X,X,X,X,X,X,X
ILOJSZT,O,X,X,X,X,X,X,X,X,X,X,X
ILOJZTS,O,X,X,O,X,X,X,X,X,X,X,X
ILOJZST,O,X,X,O,X,X,X,X,X,X,X,X
ILOSTJZ,O,X,O,X,X,X,X,X,X,X,X,X
ILOSTZJ,O,X,O,O,X,X,X,X,X,X,X,X
ILOSJTZ,O,X,O,X,X,X,X,X,X,X,X,X
ILOSJZT,O,X,X,X,X,X,X,X,X,X,X,X
ILOSZTJ,O,X,O,O,O,X,X,X,X,X,X,X
ILOSZJT,O,X,X,O,O,X,X,X,X,X,X,X
ILOZTJS,O,X,X,O,O,O,X,X,X,X,X,X
ILOZTSJ,O,X,X,O,O,O,X,X,X,X,X,X
ILOZJTS,O,X,X,O,O,X,X,X,X,X,X,X
ILOZJST,O,X,X,O,O,X,X,X,X,X,X,X
ILOZSTJ,O,X,X,O,O,X,X,X,X,X,X,X
ILOZSJT,O,X,X,O,O,X,X,X,X,X,X,X
IJTLSZO,X,O,X,X,X,O,X,X,X,X,X,X
IJTLSOZ,X,O,X,X,X,X,X,X,X,X,X,X
IJTLZSO,X,O,X,O,X,O,O,X,X,X,X,X
IJTLZOS,X,O,X,O,X,O,O,X,X,X,X,X
IJTLOSZ,X,O,X,X,X,O,X,X,X,X,X,X
IJTLOZS,X,O,X,O,X,O,O,X,X,X,X,X
IJTSLZO,X,O,X,X,X,O,X,X,X,X,X,X
IJTSLOZ,X,O,X,X,X,X,X,X,X,X,X,X
IJTSZLO,X,O,X,X,X,X,X,X,X,X,X,X
IJTSZOL,X,O,X,X,X,X,X,X,X,X,X,X
IJTSOLZ,X,O,X,X,X,O,X,X,X,X,X,X
IJTSOZL,X,O,X,X,X,O,X,X,X,X,X,X
IJTZLSO,X,O,X,O,X,O,O,O,X,X,X,X
IJTZLOS,X,O,X,O,X,O,O,X,X,X,X,X
IJTZSLO,X,O,X,O,X,X,O,O,X,X,X,X
IJTZSOL,X,O,X,O,X,X,O,O,X,X,X,X
IJTZOLS,X,O,X,O,X,O,X,X,X,X,X,X
IJTZOSL,X,X,X,O,X,O,X,X,X,X,X,X
IJTOLSZ,X,O,X,X,X,O,X,X,X,X,X,X
IJTOLZS,X,O,X,X,X,O,X,X,X,X,X,X
IJTOSLZ,X,X,X,X,X,O,X,X,X,X,X,X
IJTOSZL,X,X,X,X,X,O,X,X,X,X,X,X
IJTOZLS,X,O,X,O,X,O,X,X,X,X,X,X
IJTOZSL,X,X,X,O,X,O,X,X,X,X,X,X
IJLTSZO,O,O,O,X,X,O,X,X,X,X,X,X
IJLTSOZ,O,O,O,X,X,X,X,X,X,X,X,X
IJLTZSO,O,O,O,O,X,O,X,X,X,X,X,X
IJLTZOS,O,O,X,O,X,O,X,X,X,X,X,X
IJLTOSZ,O,O,O,X,X,O,X,X,X,X,X,X
IJLTOZS,O,O,X,O,X,O,X,X,X,X,X,X
IJLSTZO,O,X,O,X,X,X,X,X,X,X,X,X
IJLSTOZ,O,X,O,X,X,X,X,X,X,X,X,X
IJLSZTO,O,X,X,X,X,X,X,X,X,X,X,X
IJLSZOT,O,X,X,X,X,X,X,X,X,X,X,X
IJLSOTZ,O,X,X,X,X,X,X,X,X,X,X,X
IJLSOZT,O,X,X,X,X,X,X,X,X,X,X,X
IJLZTSO,O,O,X,O,X,O,X,X,X,X,X,X
IJLZTOS,O,O,X,O,X,O,X,X,X,X,X,X
IJLZSTO,O,X,X,O,X,X,X,X,X,X,X,X
IJLZSOT,O,X,X,O,X,X,X,X,X,X,X,X
IJLZOTS,O,X,X,O,X,X,X,X,X,X,X,X
IJLZOST,O,X,X,O,X,X,X,X,X,X,X,X
IJLOTSZ,O,X,O,X,X,X,X,X,X,X,X,X
IJLOTZS,O,X,O,O,X,X,X,X,X,X,X,X
IJLOSTZ,O,X,O,X,X,X,X,X,X,X,X,X
IJLOSZT,O,X,X,X,X,X,X,X,X,X,X,X
IJLOZTS,O,X,X,O,X,X,X,X,X,X,X,X
IJLOZST,O,X,X,O,X,X,X,X,X,X,X,X
IJSTLZO,O,O,X,X,X,X,X,X,X,X,X,X
IJSTLOZ,O,O,X,X,X,X,X,X,X,X,X,X
IJSTZLO,X,O,X,X,X,X,X,X,X,X,X,X
IJSTZOL,X,O,X,X,X,X,X,X,X,O,X,X
IJSTOLZ,O,O,X,X,X,X,X,X,X,X,X,X
IJSTOZL,X,O,X,X,X,X,X,X,X,X,X,X
IJSLTZO,O,O,O,X,X,X,X,X,X,X,X,X
IJSLTOZ,O,O,O,X,X,X,X,X,X,X,X,X
IJSLZTO,O,O,X,X,X,X,X,X,X,X,X,X
IJSLZOT,O,X,X,X,X,X,X,X,X,X,X,X
IJSLOTZ,O,X,X,X,X,X,X,X,X,X,X,X
IJSLOZT,O,X,X,X,X,X,X,X,X,X,X,X
IJSZTLO,X,O,X,X,O,X,X,X,X,X,X,O
IJSZTOL,X,O,X,X,O,X,X,X,X,O,X,O
IJSZLTO,X,O,X,X,O,X,X,X,X,X,X,O
IJSZLOT,X,X,X,X,O,X,X,X,X,X,X,X
IJSZOTL,X,O,X,X,O,X,X,X,X,O,X,O
IJSZOLT,X,X,X,X,O,X,X,X,X,X,X,X
IJSOTLZ,O,O,O,X,X,X,X,X,X,X,X,X
IJSOTZL,X,O,O,X,X,X,X,X,X,X,X,X
IJSOLTZ,O,X,O,X,X,X,X,X,X,X,X,X
IJSOLZT,O,X,X,X,X,X,X,X,X,X,X,X
IJSOZTL,X,O,X,X,O,X,X,X,X,X,X,X
IJSOZLT,X,X,X,X,O,X,X,X,X,X,X,X
IJZTLSO,X,O,X,O,O,X,O,O,X,X,X,O
IJZTLOS,X,O,X,O,X,X,O,X,X,X,X,X
IJZTSLO,X,O,X,O,O,X,O,O,X,X,X,O
IJZTSOL,X,O,X,O,O,X,O,O,X,X,X,O
IJZTOLS,X,O,X,O,O,X,X,X,X,X,X,X
IJZTOSL,X,X,X,O,O,X,X,X,X,X,X,O
IJZLTSO,X,O,X,O,O,X,X,X,X,X,X,O
IJZLTOS,X,O,X,O,X,X,X,X,X,X,X,X
IJZLSTO,X,X,X,O,O,X,X,O,X,X,X,O
IJZLSOT,X,X,X,O,O,X,X,O,X,X,X,X
IJZLOTS,X,X,X,O,O,X,X,X,X,X,X,X
IJZLOST,X,X,X,O,O,X,X,X,X,X,X,X
IJZSTLO,X,O,X,O,O,X,O,O,X,X,X,O
IJZSTOL,X,O,X,O,O,X,O,O,X,O,X,O
IJZSLTO,X,O,X,O,O,X,O,O,X,X,X,O
IJZSLOT,X,X,X,O,O,X,X,O,X,X,X,X
IJZSOTL,X,O,X,O,O,X,O,O,X,O,X,O
IJZSOLT,X,X,X,O,O,X,X,O,X,X,X,X
IJZOTLS,X,O,X,O,O,X,X,X,X,X,X,X
IJZOTSL,X,X,X,O,O,X,X,X,X,X,X,O
IJZOLTS,X,X,X,O,O,X,X,X,X,X,X,X
IJZOLST,X,X,X,O,O,X,X,X,X,X,X,X
IJZOSTL,X,X,X,O,O,X,X,X,X,O,X,O
IJZOSLT,X,X,X,O,O,X,X,X,X,X,X,X
IJOTLSZ,O,O,O,X,X,X,X,X,X,X,X,X
IJOTLZS,O,O,X,X,X,X,X,X,X,X,X,X
IJOTSLZ,O,X,O,X,X,X,X,X,X,X,X,X
IJOTSZL,X,X,O,X,X,X,X,X,X,X,X,X
IJOTZLS,X,O,X,O,X,X,X,X,X,X,X,X
IJOTZSL,X,X,O,O,X,X,X,X,X,X,X,X
IJOLTSZ,O,X,O,X,X,X,X,X,X,X,X,X
IJOLTZS,O,X,O,O,X,X,X,X,X,X,X,X
IJOLSTZ,O,X,O,X,X,X,X,X,X,X,X,X
IJOLSZT,O,X,X,X,X,X,X,X,X,X,X,X
IJOLZTS,O,X,X,O,X,X,X,X,X,X,X,X
IJOLZST,O,X,X,O,X,X,X,X,X,X,X,X
IJOSTLZ,O,X,O,X,X,X,X,X,X,X,X,X
IJOSTZL,X,X,O,X,X,X,X,X,X,X,X,X
IJOSLTZ,O,X,O,X,X,X,X,X,X,X,X,X
IJOSLZT,O,X,X,X,X,X,X,X,X,X,X,X
IJOSZTL,X,X,X,X,O,X,X,X,X,X,X,X
IJOSZLT,X,X,X,X,O,X,X,X,X,X,X,X
IJOZTLS,X,O,X,O,O,X,X,X,X,X,X,X
IJOZTSL,X,X,X,O,O,X,X,X,X,X,X,X
IJOZLTS,X,X,X,O,O,X,X,X,X,X,X,X
IJOZLST,X,X,X,O,O,X,X,X,X,X,X,X
IJOZSTL,X,X,X,O,O,X,X,X,X,X,X,X
IJOZSLT,X,X,X,O,O,X,X,X,X,X,X,X
ISTLJZO,O,O,O,X,X,O,X,X,X,X,X,X
ISTLJOZ,O,O,O,X,X,X,X,X,X,X,X,X
ISTLZJO,O,O,O,O,X,O,X,X,X,X,X,X
ISTLZOJ,X,O,X,O,X,O,X,X,X,O,X,X
ISTLOJZ,O,O,O,X,X,O,X,X,X,X,X,X
ISTLOZJ,O,O,X,O,X,O,X,X,X,X,X,X
ISTJLZO,O,O,X,X,X,O,X,X,X,X,X,X
ISTJLOZ,O,O,X,X,X,X,X,X,X,X,X,X
ISTJZLO,X,O,X,X,X,X,X,X,X,X,X,X
ISTJZOL,X,O,X,X,X,X,X,X,X,O,X,X
ISTJOLZ,O,O,X,X,X,O,X,X,X,X,X,X
ISTJOZL,X,O,X,X,X,O,X,X,X,X,X,X
ISTZLJO,O,O,X,O,O,X,X,X,X,X,O,O
ISTZLOJ,X,O,X,O,X,X,X,X,X,O,X,X
ISTZJLO,X,O,X,O,O,X,X,X,X,X,O,O
ISTZJOL,X,O,X,O,O,X,X,X,O,O,O,O
ISTZOLJ,O,O,X,O,O,X,X,X,O,O,X,X
ISTZOJL,X,X,X,O,O,X,X,X,O,O,O,O
ISTOLJZ,O,O,O,X,X,O,X,X,X,X,X,X
ISTOLZJ,O,O,O,X,X,O,X,X,O,X,X,X
ISTOJLZ,O,X,O,X,X,O,X,X,X,X,X,X
ISTOJZL,X,X,O,X,X,O,X,X,O,X,X,X
ISTOZLJ,O,O,X,O,O,X,X,X,O,O,X,X
ISTOZJL,X,X,O,O,O,O,X,X,O,O,X,X
ISLTJZO,O,O,O,X,X,O,X,X,X,X,X,X
ISLTJOZ,O,O,O,X,X,X,X,X,X,X,X,X
ISLTZJO,O,O,O,O,X,O,X,X,X,X,X,X
ISLTZOJ,X,O,X,O,X,O,X,X,X,O,X,X
ISLTOJZ,O,O,O,X,X,O,X,X,X,X,X,X
ISLTOZJ,O,O,X,O,X,O,X,X,X,X,X,X
ISLJTZO,O,O,O,X,X,X,X,X,X,X,X,X
ISLJTOZ,O,O,O,X,X,X,X,X,X,X,X,X
ISLJZTO,O,O,X,X,X,X,X,X,X,X,X,X
ISLJZOT,O,X,X,X,X,X,X,X,X,X,X,X
ISLJOTZ,O,X,X,X,X,X,X,X,X,X,X,X
ISLJOZT,O,X,X,X,X,X,X,X,X,X,X,X
ISLZTJO,O,O,O,O,O,O,X,X,X,X,X,O
ISLZTOJ,X,O,X,O,X,O,X,X,X,O,X,X
ISLZJTO,O,O,X,O,O,X,X,X,X,X,X,O
ISLZJOT,O,X,X,O,O,X,X,X,X,X,X,X
ISLZOTJ,X,X,X,O,O,X,X,X,X,O,X,X
ISLZOJT,X,X,X,O,O,X,X,X,X,X,X,X
ISLOTJZ,O,X,O,X,X,X,X,X,X,X,X,X
ISLOTZJ,O,X,O,O,X,X,X,X,X,X,X,X
ISLOJTZ,O,X,O,X,X,X,X,X,X,X,X,X
ISLOJZT,O,X,X,X,X,X,X,X,X,X,X,X
ISLOZTJ,O,X,O,O,O,X,X,X,X,X,X,X
ISLOZJT,O,X,X,O,O,X,X,X,X,X,X,X
ISJTLZO,O,O,X,X,X,X,X,X,X,X,X,X
ISJTLOZ,O,O,X,X,X,X,X,X,X,X,X,X
ISJTZLO,X,O,X,X,X,X,X,X,X,X,X,X
ISJTZOL,X,O,X,X,X,X,X,X,X,O,X,X
ISJTOLZ,O,O,X,X,X,X,X,X,X,X,X,X
ISJTOZL,X,O,X,X,X,X,X,X,X,X,X,X
ISJLTZO,O,O,O,X,X,X,X,X,X,X,X,X
ISJLTOZ,O,O,O,X,X,X,X,X,X,X,X,X
ISJLZTO,O,O,X,X,X,X,X,X,X,X,X,X
ISJLZOT,O,X,X,X,X,X,X,X,X,X,X,X
ISJLOTZ,O,X,X,X,X,X,X,X,X,X,X,X
ISJLOZT,O,X,X,X,X,X,X,X,X,X,X,X
ISJZTLO,X,O,X,X,O,X,X,X,X,X,O,O
ISJZTOL,X,O,X,X,O,X,X,X,X,O,O,O
ISJZLTO,X,O,X,X,O,X,X,X,X,X,O,O
ISJZLOT,X,X,X,X,O,X,X,X,X,X,X,X
ISJZOTL,X,O,X,X,O,X,X,X,X,O,O,O
ISJZOLT,X,X,X,X,O,X,X,X,X,X,X,X
ISJOTLZ,O,O,O,X,X,X,X,X,X,X,X,X
ISJOTZL,X,O,O,X,X,X,X,X,X,X,X,X
ISJOLTZ,O,X,O,X,X,X,X,X,X,X,X,X
ISJOLZT,O,X,X,X,X,X,X,X,X,X,X,X
ISJOZTL,X,O,X,X,O,X,X,X,X,X,X,X
ISJOZLT,X,X,X,X,O,X,X,X,X,X,X,X
ISZTLJO,O,O,X,O,O,X,X,X,X,X,O,O
ISZTLOJ,X,O,X,O,X,X,X,X,X,O,X,X
ISZTJLO,X,O,X,O,O,X,X,X,X,X,O,O
ISZTJOL,X,O,X,O,O,X,X,X,O,O,O,O
ISZTOLJ,O,O,X,O,O,X,X,X,O,O,X,X
ISZTOJL,X,X,X,O,O,X,X,X,O,O,O,O
ISZLTJO,O,O,O,O,O,X,X,X,X,X,X,O
ISZLTOJ,X,O,X,O,X,X,X,X,X,O,X,X
ISZLJTO,O,O,X,O,O,X,X,X,X,X,O,O
ISZLJOT,O,X,X,O,O,X,X,X,X,X,X,X
ISZLOTJ,X,X,X,O,O,X,X,X,X,O,X,X
ISZLOJT,X,X,X,O,O,X,X,X,X,X,X,X
ISZJTLO,X,O,X,O,O,X,X,X,X,X,O,O
ISZJTOL,X,O,X,O,O,X,X,X,O,O,O,O
ISZJLTO,X,O,X,O,O,X,X,X,X,X,O,O
ISZJLOT,X,X,X,O,O,X,X,X,X,X,X,X
ISZJOTL,X,O,X,O,O,X,X,X,X,O,O,O
ISZJOLT,X,X,X,O,O,X,X,X,X,X,X,X
ISZOTLJ,O,O,X,O,O,X,X,X,X,O,X,X
ISZOTJL,X,X,O,O,O,X,X,X,X,O,X,O
ISZOLTJ,O,X,O,O,O,X,X,X,X,O,X,X
ISZOLJT,O,X,X,O,O,X,X,X,X,X,X,X
ISZOJTL,X,O,X,O,O,X,X,X,X,O,O,O
ISZOJLT,X,X,X,O,O,X,X,X,X,X,X,X
ISOTLJZ,O,O,O,X,X,X,X,X,X,X,X,X
ISOTLZJ,O,O,O,X,X,X,X,X,X,X,X,X
ISOTJLZ,O,X,O,X,X,X,X,X,X,X,X,X
ISOTJZL,X,X,O,X,X,X,X,X,X,X,X,X
ISOTZLJ,O,O,X,O,O,X,X,X,X,O,X,X
ISOTZJL,X,X,O,O,O,X,X,X,X,O,X,X
ISOLTJZ,O,X,O,X,X,X,X,X,X,X,X,X
ISOLTZJ,O,X,O,O,X,X,X,X,X,X,X,X
ISOLJTZ,O,X,O,X,X,X,X,X,X,X,X,X
ISOLJZT,O,X,X,X,X,X,X,X,X,X,X,X
ISOLZTJ,O,X,O,O,O,X,X,X,X,X,X,X
ISOLZJT,O,X,X,O,O,X,X,X,X,X,X,X
ISOJTLZ,O,O,O,X,X,X,X,X,X,X,X,X
ISOJTZL,X,O,O,X,X,X,X,X,X,X,X,X
ISOJLTZ,O,X,O,X,X,X,X,X,X,X,X,X
ISOJLZT,O,X,X,X,X,X,X,X,X,X,X,X
ISOJZTL,X,O,X,X,O,X,X,X,X,X,X,X
ISOJZLT,X,X,X,X,O,X,X,X,X,X,X,X
ISOZTLJ,O,O,X,O,O,X,X,X,X,O,X,X
ISOZTJL,X,X,O,O,O,X,X,X,X,O,X,O
ISOZLTJ,O,X,O,O,O,X,X,X,X,O,X,X
ISOZLJT,O,X,X,O,O,X,X,X,X,X,X,X
ISOZJTL,X,O,X,O,O,X,X,X,X,O,X,O
ISOZJLT,X,X,X,O,O,X,X,X,X,X,X,X
IZTLJSO,X,O,X,O,O,O,O,O,X,X,X,O
IZTLJOS,X,O,X,O,X,O,O,X,X,X,X,X
IZTLSJO,X,X,X,O,O,O,O,O,X,X,O,O
IZTLSOJ,X,O,X,O,X,O,O,X,X,X,X,X
IZTLOJS,X,O,X,O,X,O,O,X,X,X,X,X
IZTLOSJ,X,O,X,O,X,O,O,X,X,X,X,X
IZTJLSO,X,O,X,O,O,O,O,O,X,X,X,O
IZTJLOS,X,O,X,O,X,O,O,X,X,X,X,X
IZTJSLO,X,O,X,O,O,X,O,O,X,X,O,O
IZTJSOL,X,X,X,O,O,X,O,O,O,X,O,O
IZTJOLS,X,O,X,O,O,O,X,X,O,X,X,X
IZTJOSL,X,X,X,O,O,O,X,X,O,X,X,O
IZTSLJO,X,O,X,O,O,X,O,O,X,X,O,O
IZTSLOJ,X,O,X,O,X,X,O,X,X,O,X,X
IZTSJLO,X,O,X,O,O,X,O,O,X,X,O,O
IZTSJOL,X,X,X,O,O,X,O,O,O,O,O,O
IZTSOLJ,X,O,X,O,O,X,O,X,O,O,X,X
IZTSOJL,X,X,X,O,O,X,X,X,O,O,O,O
IZTOLJS,X,X,X,O,O,O,X,X,O,X,X,X
IZTOLSJ,X,X,X,O,O,O,X,X,O,X,X,X
IZTOJLS,X,X,X,O,O,O,X,X,O,X,X,X
IZTOJSL,X,X,X,O,O,O,X,X,O,X,X,O
IZTOSLJ,X,X,X,O,O,X,X,X,O,O,X,X
IZTOSJL,X,X,X,O,O,O,X,X,O,O,O,O
IZLTJSO,X,X,X,O,O,O,X,X,X,X,X,O
IZLTJOS,X,X,X,O,X,O,X,X,X,X,X,X
IZLTSJO,X,X,X,O,O,O,X,X,X,X,X,O
IZLTSOJ,X,X,X,O,X,O,X,X,X,X,X,X
