sequence,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFxbBXdBigBu?qBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFxbBXdBmgB6?qBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFOgB0cB5lBK?mBFnBXsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFOgBXdB5lBK?mBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFibBFdB3gB5?mB8qBOsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Je2/IvhFRbBCdB3gBV?nB8qBzrB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jex6IvhFXdBmfBzgBF?nBCrB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jex6IvhF0cBmfBzgBF?nBCrBXsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFTcBUgB/rBF?nB5lBOsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFFdBRgBWnB3?gB8qBzrB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFZhB/lBWnB8?rB6qBFsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFFdBUgBxmBX?mBzrBuqB
TLSIZOJ,O,O,O,O,X,X,X,X,O,X,X,X
TLSIOJZ,O,O,O,O,X,X,O,X,X,X,X,X
TLSIOZJ,O,O,O,O,X,X,X,X,X,X,X,X
TLSJIZO,O,O,X,O,X,O,X,X,X,O,X,X
TLSJIOZ,O,O,X,O,X,X,O,X,X,X,X,X
TLSJZIO,O,O,X,X,X,O,X,X,O,O,X,X
TLSJZOI,O,O,X,X,X,O,O,X,O,X,X,X
TLSJOIZ,O,O,X,O,X,X,O,O,X,X,X,X
TLSJOZI,O,O,X,X,X,X,O,O,X,X,X,X
TLSZIJO,X,O,O,O,X,O,X,X,O,X,X,X
TLSZIOJ,O,O,O,O,X,O,X,X,O,X,X,X
TLSZJIO,X,O,X,X,X,O,X,X,O,X,X,X
TLSZJOI,X,O,X,X,X,O,O,X,O,X,X,X
TLSZOIJ,O,O,O,O,X,O,X,X,O,X,X,X
TLSZOJI,O,O,X,X,X,O,O,O,O,X,X,X
TLSOIJZ,O,O,O,O,X,X,O,X,X,X,X,X
TLSOIZJ,O,O,O,O,X,X,X,X,X,X,X,O
TLSOJIZ,O,O,X,O,X,X,O,O,X,O,X,X
TLSOJZI,O,O,X,X,X,X,O,O,X,O,X,X
TLSOZIJ,O,O,O,O,X,X,X,X,O,X,X,O
TLSOZJI,O,O,X,X,X,X,O,O,O,X,X,X
TLZIJSO,O,O,O,O,X,O,X,X,X,O,X,X
TLZIJOS,O,O,O,O,X,O,X,X,X,O,X,X
TLZISJO,O,O,O,O,O,O,X,X,X,X,X,X
TLZISOJ,O,O,O,O,O,O,X,X,X,X,X,X
TLZIOJS,O,O,O,O,X,X,X,O,X,O,X,O
TLZIOSJ,O,O,O,O,O,X,X,X,X,X,X,O
TLZJISO,O,O,O,X,X,O,X,X,X,O,X,X
TLZJIOS,O,O,O,X,X,O,X,X,X,O,X,X
TLZJSIO,O,O,X,X,X,O,X,X,X,O,X,X
TLZJSOI,O,O,X,X,X,O,O,X,X,X,X,X
TLZJOIS,O,O,O,X,X,O,O,O,X,O,X,X
TLZJOSI,O,O,X,X,X,O,O,O,X,X,X,X
TLZSIJO,O,O,O,O,X,O,X,X,O,X,X,X
TLZSIOJ,O,O,O,O,O,O,X,X,O,X,X,X
TLZSJIO,O,O,X,X,X,O,X,X,O,X,X,X
TLZSJOI,O,O,X,X,O,O,O,X,O,X,X,X
TLZSOIJ,O,O,O,O,O,O,X,X,O,X,X,X
TLZSOJI,O,O,X,X,O,O,O,O,O,X,X,X
TLZOIJS,O,O,O,O,X,X,X,O,X,O,X,O
TLZOISJ,O,O,O,O,O,X,X,X,X,X,X,O
TLZOJIS,O,O,O,X,X,O,O,O,X,O,X,O
TLZOJSI,O,O,X,X,X,O,O,O,X,O,X,X
TLZOSIJ,O,O,O,O,O,O,X,X,X,X,X,O
TLZOSJI,O,O,X,X,O,O,O,O,X,X,X,X
TLOIJSZ,O,O,O,O,X,X,O,O,X,O,X,X
TLOIJZS,O,O,O,O,X,X,O,O,X,O,X,O
TLOISJZ,O,O,O,O,X,X,O,X,X,X,X,X
TLOISZJ,O,O,O,O,X,X,X,X,X,X,X,O
TLOIZJS,X,X,O,O,X,X,X,O,X,X,X,O
TLOIZSJ,O,X,O,O,O,X,X,X,X,X,X,O
TLOJISZ,O,O,O,O,X,X,O,O,X,O,X,X
TLOJIZS,O,O,O,O,O,O,O,O,X,O,X,O
TLOJSIZ,O,O,X,O,X,X,O,O,X,O,X,X
TLOJSZI,O,O,X,X,X,X,O,O,X,O,X,X
TLOJZIS,O,O,O,X,O,O,O,O,X,O,X,O
TLOJZSI,O,O,X,X,O,O,O,O,X,O,X,X
TLOSIJZ,O,O,O,O,X,X,O,X,X,X,X,X
TLOSIZJ,O,O,O,O,X,X,X,X,X,X,X,O
TLOSJIZ,O,O,X,O,X,X,O,O,X,O,X,X
TLOSJZI,O,O,X,X,X,X,O,O,X,O,X,X
TLOSZIJ,O,O,O,O,X,X,X,X,X,X,X,O
TLOSZJI,O,O,X,X,X,X,O,O,X,X,X,X
TLOZIJS,O,O,O,O,X,X,X,O,X,O,X,O
TLOZISJ,O,O,O,O,O,X,X,X,X,X,X,O
TLOZJIS,O,O,O,X,X,O,O,O,X,O,X,O
TLOZJSI,O,O,X,X,X,O,O,O,X,O,X,X
TLOZSIJ,O,O,O,O,O,O,X,X,X,X,X,O
