sequence,v115@EhD8EeF8DeI8BeC8JeT6IvhFegBCcBxdBlhB3lB0rB,v115@EhD8EeF8DeI8BeC8Jei6IvhFFcBxdBzfB+lB3hB0rB,v115@EhD8EeF8DeI8BeC8JeT6IvhF0cBxdBmgBXgB1qBqrB,v115@EhD8EeF8DeI8BeC8JeT6IvhFxdBSlBXmBOlBlmB0rB,v115@EhD8EeF8DeI8BeC8JeT6IvhFibBxdBUhBFlBGrBfsB,v115@EhD8EeF8DeI8BeC8JeT6IvhF2gBxdB3hBFlBCmB0rB,v115@EhD8EeF8DeI8BeC8Je//IvhFFbBOhBxdBclBSrBzrB,v115@EhD8EeF8DeI8BeC8Jei6IvhFfhBxdBzfBumB1qB0rB
ISLJZOT,O,O,X,O,X,X,O,X
ISLJOTZ,O,O,X,O,X,X,X,O
ISLJOZT,O,O,X,O,X,X,O,X
ISLZTJO,X,O,O,O,X,X,O,X
ISLZTOJ,X,X,O,O,X,X,O,X
ISLZJTO,X,O,X,O,X,X,O,X
ISLZJOT,O,X,X,O,X,X,O,X
ISLZOTJ,X,X,O,O,X,X,O,X
ISLZOJT,X,X,X,O,X,X,O,X
ISLOTJZ,O,O,O,O,X,O,X,X
ISLOTZJ,X,X,O,O,X,X,X,X
ISLOJTZ,O,O,X,O,X,X,X,O
ISLOJZT,O,O,X,O,X,X,O,X
ISLOZTJ,X,X,O,O,X,X,O,X
ISLOZJT,X,O,X,O,X,X,O,X
ISJTLZO,O,O,X,X,X,X,X,X
ISJTLOZ,O,O,X,X,X,O,X,O
ISJTZLO,O,O,X,X,X,X,O,X
ISJTZOL,O,O,X,X,X,O,X,O
ISJTOLZ,O,O,X,X,X,O,X,O
ISJTOZL,O,O,X,X,X,O,X,O
ISJLTZO,O,O,X,O,X,X,O,X
ISJLTOZ,O,O,X,O,X,X,X,X
ISJLZTO,X,O,X,O,X,X,O,X
ISJLZOT,O,O,X,O,X,X,O,X
ISJLOTZ,O,O,X,O,X,X,X,O
ISJLOZT,O,O,X,O,X,X,O,X
ISJZTLO,O,O,X,X,X,X,O,X
ISJZTOL,O,O,X,X,X,X,X,X
ISJZLTO,X,O,X,X,X,X,O,X
ISJZLOT,O,O,X,X,X,X,O,X
ISJZOTL,O,O,X,X,X,X,X,X
ISJZOLT,O,O,X,X,X,X,X,X
ISJOTLZ,O,O,X,X,X,O,X,O
ISJOTZL,O,O,X,X,X,O,X,O
ISJOLTZ,O,O,X,X,X,X,X,O
ISJOLZT,O,O,X,X,X,X,X,X
ISJOZTL,O,O,X,X,X,X,X,X
ISJOZLT,O,O,X,X,X,X,X,X
ISZTLJO,O,O,X,X,X,X,O,X
ISZTLOJ,X,X,X,X,X,X,O,X
ISZTJLO,O,O,X,X,X,X,O,X
ISZTJOL,O,O,X,X,X,O,X,X
ISZTOLJ,X,X,X,X,X,X,O,X
ISZTOJL,O,X,X,X,X,O,X,X
ISZLTJO,X,O,O,O,X,X,O,X
ISZLTOJ,X,X,O,O,X,X,O,X
ISZLJTO,X,O,X,O,X,X,O,X
ISZLJOT,O,X,X,O,X,X,O,X
ISZLOTJ,X,X,O,O,X,X,O,X
ISZLOJT,X,X,X,O,X,X,O,X
ISZJTLO,O,O,X,X,X,X,O,X
ISZJTOL,O,O,X,X,X,X,X,X
ISZJLTO,X,O,X,X,X,X,O,X
ISZJLOT,O,X,X,X,X,X,O,X
ISZJOTL,O,O,X,X,X,X,X,X
ISZJOLT,O,O,X,X,X,X,X,X
ISZOTLJ,X,X,X,X,X,X,O,X
ISZOTJL,O,X,X,X,X,O,X,X
ISZOLTJ,X,X,O,X,X,X,O,X
ISZOLJT,X,O,X,X,X,X,O,X
ISZOJTL,O,O,X,X,X,X,X,X
ISZOJLT,O,O,X,X,X,X,X,X
ISOTLJZ,O,O,O,X,X,O,X,X
ISOTLZJ,X,X,O,X,X,X,X,X
ISOTJLZ,O,O,X,X,X,O,X,X
ISOTJZL,O,O,X,X,X,O,X,X
ISOTZLJ,X,X,X,X,X,O,O,X
ISOTZJL,O,X,X,X,X,O,X,X
ISOLTJZ,O,O,O,O,X,O,X,X
ISOLTZJ,X,X,O,O,X,X,X,X
ISOLJTZ,O,O,X,O,X,X,X,O
ISOLJZT,O,O,X,O,X,X,O,X
ISOLZTJ,X,X,O,O,X,X,O,X
ISOLZJT,X,O,X,O,X,X,O,X
ISOJTLZ,O,O,X,X,X,O,X,O
ISOJTZL,O,O,X,X,X,O,X,O
ISOJLTZ,O,O,X,X,X,X,X,O
ISOJLZT,O,O,X,X,X,X,X,X
ISOJZTL,O,O,X,X,X,X,X,X
ISOJZLT,O,O,X,X,X,X,X,X
ISOZTLJ,X,X,X,X,X,X,O,X
ISOZTJL,O,X,X,X,X,O,X,X
ISOZLTJ,X,X,O,X,X,X,O,X
ISOZLJT,X,O,X,X,X,X,O,X
ISOZJTL,O,O,X,X,X,X,X,X
ISOZJLT,O,O,X,X,X,X,X,X
IZTLJSO,X,X,O,X,X,O,O,X
IZTLJOS,O,X,O,X,X,O,X,X
IZTLSJO,O,X,O,X,X,O,O,X
IZTLSOJ,X,X,O,X,X,O,O,X
IZTLOJS,X,X,O,X,X,O,X,X
IZTLOSJ,X,X,O,X,X,O,X,X
IZTJLSO,X,X,X,X,X,O,X,X
IZTJLOS,O,X,X,X,X,O,X,X
IZTJSLO,X,X,X,X,X,O,X,X
IZTJSOL,X,X,X,X,X,O,X,X
IZTJOLS,O,X,X,X,X,O,X,X
IZTJOSL,X,X,X,X,X,O,X,X
IZTSLJO,O,X,X,X,X,O,O,X
IZTSLOJ,X,X,X,X,X,O,O,X
IZTSJLO,O,X,X,X,X,O,O,X
IZTSJOL,O,X,X,X,X,O,X,X
IZTSOLJ,X,X,X,X,X,O,O,X
IZTSOJL,O,X,X,X,X,O,X,X
IZTOLJS,X,X,O,X,X,O,X,X
IZTOLSJ,X,X,O,X,X,O,X,X
IZTOJLS,O,X,X,X,X,O,X,X
IZTOJSL,X,X,X,X,X,O,X,X
IZTOSLJ,X,X,X,X,X,O,X,X
IZTOSJL,O,X,X,X,X,O,X,X
IZLTJSO,X,X,O,X,X,X,O,X
IZLTJOS,X,X,O,X,X,X,X,X
IZLTSJO,X,X,O,X,X,X,O,X
IZLTSOJ,X,X,O,X,X,X,O,X
IZLTOJS,X,X,O,X,X,X,X,X
IZLTOSJ,X,X,O,X,X,X,X,X
IZLJTSO,X,O,O,X,X,X,O,X
IZLJTOS,X,O,O,X,X,X,X,X
IZLJSTO,X,O,X,X,X,X,O,X
IZLJSOT,X,O,X,X,X,X,O,X
IZLJOTS,X,O,O,X,X,X,X,O
IZLJOST,X,O,X,X,X,X,O,X
IZLSTJO,X,O,O,O,X,X,O,X
IZLSTOJ,X,X,O,O,X,X,O,X
IZLSJTO,X,O,X,O,X,X,O,X
IZLSJOT,X,X,X,O,X,X,O,X
IZLSOTJ,X,X,O,O,X,X,O,X
IZLSOJT,X,X,X,O,X,X,O,X
IZLOTJS,X,X,O,X,X,X,X,X
IZLOTSJ,X,X,O,X,X,X,X,X
IZLOJTS,X,O,O,X,X,X,X,O
IZLOJST,X,O,X,X,X,X,O,X
IZLOSTJ,X,X,O,O,X,X,O,X
IZLOSJT,X,O,X,O,X,X,O,X
IZJTLSO,X,O,X,X,X,X,X,X
IZJTLOS,O,O,X,X,X,X,X,X
IZJTSLO,X,O,X,X,X,X,X,X
IZJTSOL,X,O,X,X,X,X,X,O
IZJTOLS,O,O,X,X,X,X,X,O
IZJTOSL,X,O,X,X,X,X,X,O
IZJLTSO,X,O,O,X,X,X,O,X
IZJLTOS,X,O,O,X,X,X,X,X
IZJLSTO,X,O,X,X,X,X,O,X
IZJLSOT,X,O,X,X,X,X,O,X
IZJLOTS,X,O,O,X,X,X,X,O
IZJLOST,X,O,X,X,X,X,O,X
IZJSTLO,O,O,X,X,X,X,O,X
IZJSTOL,O,O,X,X,X,X,X,X
IZJSLTO,X,O,X,X,X,X,O,X
IZJSLOT,O,O,X,X,X,X,O,X
IZJSOTL,O,O,X,X,X,X,X,X
IZJSOLT,O,O,X,X,X,X,X,X
IZJOTLS,O,O,X,X,X,X,X,O
IZJOTSL,X,O,X,X,X,X,X,O
IZJOLTS,X,O,O,X,X,X,X,O
IZJOLST,X,O,X,X,X,X,X,X
IZJOSTL,O,O,X,X,X,X,X,X
IZJOSLT,O,O,X,X,X,X,X,X
IZSTLJO,O,O,X,X,X,X,O,X
IZSTLOJ,X,X,X,X,X,X,O,X
IZSTJLO,O,O,X,X,X,X,O,X
IZSTJOL,O,O,X,X,X,O,X,X
IZSTOLJ,X,X,X,X,X,X,O,X
IZSTOJL,O,X,X,X,X,O,X,X
IZSLTJO,X,O,O,O,X,X,O,X
IZSLTOJ,X,X,O,O,X,X,O,X
IZSLJTO,X,O,X,O,X,X,O,X
IZSLJOT,O,X,X,O,X,X,O,X
IZSLOTJ,X,X,O,O,X,X,O,X
IZSLOJT,X,X,X,O,X,X,O,X
IZSJTLO,O,O,X,X,X,X,O,X
IZSJTOL,O,O,X,X,X,X,X,X
IZSJLTO,X,O,X,X,X,X,O,X
IZSJLOT,O,X,X,X,X,X,O,X
IZSJOTL,O,O,X,X,X,X,X,X
IZSJOLT,O,O,X,X,X,X,X,X
IZSOTLJ,X,X,X,X,X,X,O,X
IZSOTJL,O,X,X,X,X,O,X,X
IZSOLTJ,X,X,O,X,X,X,O,X
IZSOLJT,X,O,X,X,X,X,O,X
IZSOJTL,O,O,X,X,X,X,X,X
IZSOJLT,O,O,X,X,X,X,X,X
IZOTLJS,X,X,O,X,X,O,X,X
IZOTLSJ,X,X,O,X,X,O,X,X
IZOTJLS,O,X,X,X,X,O,X,X
IZOTJSL,X,X,X,X,X,O,X,X
IZOTSLJ,X,X,X,X,X,O,X,X
IZOTSJL,O,X,X,X,X,O,X,X
IZOLTJS,X,X,O,X,X,X,X,X
IZOLTSJ,X,X,O,X,X,X,X,X
IZOLJTS,X,O,O,X,X,X,X,O
IZOLJST,X,O,X,X,X,X,O,X
IZOLSTJ,X,X,O,O,X,X,O,X
IZOLSJT,X,O,X,O,X,X,O,X
IZOJTLS,O,O,X,X,X,X,X,O
IZOJTSL,X,O,X,X,X,X,X,O
IZOJLTS,X,O,O,X,X,X,X,O
IZOJLST,X,O,X,X,X,X,X,X
IZOJSTL,O,O,X,X,X,X,X,X
IZOJSLT,O,O,X,X,X,X,X,X
IZOSTLJ,X,X,X,X,X,X,O,X
IZOSTJL,O,X,X,X,X,O,X,X
IZOSLTJ,X,X,O,X,X,X,O,X
IZOSLJT,X,O,X,X,X,X,O,X
IZOSJTL,O,O,X,X,X,X,X,X
IZOSJLT,O,O,X,X,X,X,X,X
IOTLJSZ,O,O,O,X,X,O,X,O
IOTLJZS,O,O,O,X,O,X,X,O
IOTLSJZ,O,O,O,O,X,O,X,O
IOTLSZJ,X,X,O,O,X,X,X,X
IOTLZJS,X,X,O,X,O,O,X,X
IOTLZSJ,X,X,O,X,X,O,X,X
IOTJLSZ,O,O,O,X,X,O,X,O
IOTJLZS,O,O,O,X,O,X,X,O
IOTJSLZ,O,O,X,X,X,O,X,O
IOTJSZL,O,O,X,X,X,O,X,O
IOTJZLS,O,O,X,X,O,O,X,O
IOTJZSL,X,O,X,X,O,O,X,O
IOTSLJZ,O,O,O,X,X,O,X,O
IOTSLZJ,X,X,O,X,X,X,X,X
IOTSJLZ,O,O,X,X,X,O,X,O
IOTSJZL,O,O,X,X,X,O,X,O
IOTSZLJ,X,X,X,X,X,O,X,X
IOTSZJL,O,X,X,X,X,O,X,X
IOTZLJS,X,X,O,X,O,O,X,X
IOTZLSJ,X,X,O,X,X,O,X,X
IOTZJLS,O,X,X,X,O,O,X,X
IOTZJSL,X,X,X,X,O,O,X,X
IOTZSLJ,X,X,X,X,X,O,X,X
IOTZSJL,O,X,X,X,X,O,X,X
IOLTJSZ,O,O,O,X,X,O,X,O
IOLTJZS,O,O,O,X,X,X,X,O
IOLTSJZ,O,O,O,O,X,O,X,O
IOLTSZJ,X,X,O,O,X,X,X,X
IOLTZJS,X,X,O,X,X,O,X,X
IOLTZSJ,X,X,O,X,X,O,X,X
IOLJTSZ,O,O,O,X,X,X,X,O
IOLJTZS,O,O,O,X,X,X,X,O
IOLJSTZ,O,O,X,O,X,X,X,O
IOLJSZT,O,O,X,O,X,X,O,X
IOLJZTS,X,O,O,X,X,X,X,O
IOLJZST,X,O,X,X,X,X,O,X
IOLSTJZ,O,O,O,O,X,O,X,X
IOLSTZJ,X,X,O,O,X,X,X,X
IOLSJTZ,O,O,X,O,X,X,X,O
IOLSJZT,O,O,X,O,X,X,O,X
IOLSZTJ,X,X,O,O,X,X,O,X
IOLSZJT,X,O,X,O,X,X,O,X
IOLZTJS,X,X,O,X,X,X,X,X
IOLZTSJ,X,X,O,X,X,X,X,X
IOLZJTS,X,O,O,X,X,X,X,O
IOLZJST,X,O,X,X,X,X,O,X
IOLZSTJ,X,X,O,O,X,X,O,X
IOLZSJT,X,O,X,O,X,X,O,X
IOJTLSZ,O,O,O,X,X,O,X,O
IOJTLZS,O,O,O,X,O,X,X,O
IOJTSLZ,O,O,X,X,X,O,X,O
IOJTSZL,O,O,X,X,X,O,X,O
IOJTZLS,O,O,X,X,O,O,X,O
IOJTZSL,X,O,X,X,O,O,X,O
IOJLTSZ,O,O,O,X,X,X,X,O
IOJLTZS,O,O,O,X,X,X,X,O
IOJLSTZ,O,O,X,O,X,X,X,O
IOJLSZT,O,O,X,O,X,X,X,X
IOJLZTS,X,O,O,X,X,X,X,O
IOJLZST,X,O,X,X,X,X,X,X
IOJSTLZ,O,O,X,X,X,O,X,O
IOJSTZL,O,O,X,X,X,O,X,O
IOJSLTZ,O,O,X,X,X,X,X,O
IOJSLZT,O,O,X,X,X,X,X,X
IOJSZTL,O,O,X,X,X,X,X,X
IOJSZLT,O,O,X,X,X,X,X,X
IOJZTLS,O,O,X,X,X,X,X,O
IOJZTSL,X,O,X,X,X,X,X,O
IOJZLTS,X,O,O,X,X,X,X,O
IOJZLST,X,O,X,X,X,X,X,X
IOJZSTL,O,O,X,X,X,X,X,X
IOJZSLT,O,O,X,X,X,X,X,X
IOSTLJZ,O,O,O,X,X,O,X,X
IOSTLZJ,X,X,O,X,X,X,X,X
IOSTJLZ,O,O,X,X,X,O,X,X
IOSTJZL,O,O,X,X,X,O,X,X
IOSTZLJ,X,X,X,X,X,O,O,X
IOSTZJL,O,X,X,X,X,O,X,X
IOSLTJZ,O,O,O,O,X,O,X,X
IOSLTZJ,X,X,O,O,X,X,X,X
IOSLJTZ,O,O,X,O,X,X,X,O
IOSLJZT,O,O,X,O,X,X,O,X
IOSLZTJ,X,X,O,O,X,X,O,X
IOSLZJT,X,O,X,O,X,X,O,X
IOSJTLZ,O,O,X,X,X,O,X,O
IOSJTZL,O,O,X,X,X,O,X,O
IOSJLTZ,O,O,X,X,X,X,X,O
IOSJLZT,O,O,X,X,X,X,X,X
IOSJZTL,O,O,X,X,X,X,X,X
IOSJZLT,O,O,X,X,X,X,X,X
IOSZTLJ,X,X,X,X,X,X,O,X
IOSZTJL,O,X,X,X,X,O,X,X
IOSZLTJ,X,X,O,X,X,X,O,X
IOSZLJT,X,O,X,X,X,X,O,X
IOSZJTL,O,O,X,X,X,X,X,X
IOSZJLT,O,O,X,X,X,X,X,X
IOZTLJS,X,X,O,X,X,O,X,X
IOZTLSJ,X,X,O,X,X,O,X,X
IOZTJLS,O,X,X,X,X,O,X,X
IOZTJSL,X,X,X,X,X,O,X,X
IOZTSLJ,X,X,X,X,X,O,X,X
IOZTSJL,O,X,X,X,X,O,X,X
IOZLTJS,X,X,O,X,X,X,X,X
IOZLTSJ,X,X,O,X,X,X,X,X
IOZLJTS,X,O,O,X,X,X,X,O
IOZLJST,X,O,X,X,X,X,O,X
IOZLSTJ,X,X,O,O,X,X,O,X
IOZLSJT,X,O,X,O,X,X,O,X
IOZJTLS,O,O,X,X,X,X,X,O
IOZJTSL,X,O,X,X,X,X,X,O
IOZJLTS,X,O,O,X,X,X,X,O
IOZJLST,X,O,X,X,X,X,X,X
IOZJSTL,O,O,X,X,X,X,X,X
IOZJSLT,O,O,X,X,X,X,X,X
IOZSTLJ,X,X,X,X,X,X,O,X
IOZSTJL,O,X,X,X,X,O,X,X
IOZSLTJ,X,X,O,X,X,X,O,X
IOZSLJT,X,O,X,X,X,X,O,X
IOZSJTL,O,O,X,X,X,X,X,X
IOZSJLT,O,O,X,X,X,X,X,X
LTIJSZO,O,O,O,X,X,X,O,X
LTIJSOZ,O,O,O,X,X,O,X,X
LTIJZSO,X,O,O,X,O,X,O,X
LTIJZOS,O,O,O,X,O,X,X,X
LTIJOSZ,O,O,O,X,X,O,X,O
LTIJOZS,O,O,O,X,O,X,X,O
LTISJZO,O,O,O,O,X,X,O,X
LTISJOZ,O,O,O,O,X,O,X,X
LTISZJO,O,O,O,O,X,X,O,X
LTISZOJ,X,X,O,O,X,X,O,X
LTISOJZ,O,O,O,O,X,O,X,X
LTISOZJ,X,X,O,O,X,X,X,X
LTIZJSO,X,X,O,X,O,O,O,X
LTIZJOS,O,X,O,X,O,O,X,X
LTIZSJO,O,X,O,X,X,O,O,X
LTIZSOJ,X,X,O,X,X,O,O,X
LTIZOJS,X,X,O,X,O,O,X,X
LTIZOSJ,X,X,O,X,X,O,X,X
LTIOJSZ,O,O,O,X,X,O,X,O
LTIOJZS,O,O,O,X,O,X,X,O
LTIOSJZ,O,O,O,O,X,O,X,X
LTIOSZJ,X,X,O,O,X,X,X,X
LTIOZJS,X,X,O,X,O,O,X,X
LTIOZSJ,X,X,O,X,X,O,X,X
LTJISZO,O,O,O,X,X,X,O,X
LTJISOZ,O,O,O,X,X,O,X,O
LTJIZSO,X,O,O,X,O,X,O,X
LTJIZOS,O,O,O,X,O,X,X,X
LTJIOSZ,O,O,O,X,X,O,X,O
LTJIOZS,O,O,O,X,O,X,X,O
LTJSIZO,O,O,O,X,X,X,O,X
LTJSIOZ,O,O,O,X,X,O,X,O
LTJSZIO,O,O,O,X,O,X,O,X
LTJSZOI,O,X,O,X,O,X,O,X
LTJSOIZ,O,O,O,X,X,O,X,O
LTJSOZI,O,X,O,X,O,O,X,O
LTJZISO,X,O,O,X,O,X,O,X
LTJZIOS,O,O,O,X,O,X,X,X
LTJZSIO,X,O,O,X,O,X,O,X
LTJZSOI,X,O,O,X,O,X,O,X
LTJZOIS,O,O,O,X,O,X,X,X
LTJZOSI,X,X,O,X,O,X,X,X
LTJOISZ,O,O,O,X,X,O,X,O
LTJOIZS,O,O,O,X,O,X,X,O
LTJOSIZ,O,X,O,X,X,O,X,O
LTJOSZI,X,X,O,X,O,O,X,O
LTJOZIS,O,X,O,X,O,X,X,O
LTJOZSI,X,X,O,X,O,X,X,O
LTSIJZO,O,O,O,O,X,X,O,X
LTSIJOZ,O,O,O,O,X,O,X,X
LTSIZJO,O,O,O,O,X,X,O,X
LTSIZOJ,X,X,O,O,X,X,O,X
LTSIOJZ,O,O,O,O,X,O,X,X
LTSIOZJ,X,X,O,O,X,X,X,X
LTSJIZO,O,O,O,O,X,X,O,X
LTSJIOZ,O,O,O,O,X,O,X,O
LTSJZIO,O,O,O,O,O,X,O,X
LTSJZOI,O,X,O,O,O,X,O,X
LTSJOIZ,O,O,O,O,X,O,X,O
LTSJOZI,O,X,O,O,O,O,X,O
LTSZIJO,O,O,O,O,X,X,O,X
LTSZIOJ,X,X,O,O,X,X,O,X
LTSZJIO,O,X,O,O,O,X,O,X
LTSZJOI,O,X,O,O,O,X,O,X
LTSZOIJ,X,X,O,O,X,X,O,X
LTSZOJI,X,X,O,O,O,X,O,X
LTSOIJZ,O,O,O,O,X,O,X,O
LTSOIZJ,X,X,O,O,X,X,X,X
LTSOJIZ,O,X,O,O,X,O,X,O
LTSOJZI,O,X,O,O,O,O,X,O
LTSOZIJ,X,X,O,O,X,X,X,X
LTSOZJI,X,X,O,O,O,X,X,O
LTZIJSO,X,X,O,X,O,O,O,X
LTZIJOS,O,X,O,X,O,O,X,X
LTZISJO,O,X,O,X,X,O,O,X
LTZISOJ,X,X,O,X,X,O,O,X
LTZIOJS,X,X,O,X,O,O,X,X
LTZIOSJ,X,X,O,X,X,O,X,X
LTZJISO,X,X,O,X,O,O,O,X
LTZJIOS,O,X,O,X,O,O,X,X
LTZJSIO,X,X,O,X,O,O,O,X
LTZJSOI,X,X,O,X,O,O,O,X
LTZJOIS,O,X,O,X,O,O,X,X
LTZJOSI,X,X,O,X,O,O,X,X
LTZSIJO,O,X,O,X,X,O,O,X
LTZSIOJ,X,X,O,X,X,O,O,X
LTZSJIO,O,X,O,X,O,O,O,X
LTZSJOI,O,X,O,X,O,O,O,X
LTZSOIJ,X,X,O,X,X,O,O,X
LTZSOJI,X,X,O,X,O,O,O,X
LTZOIJS,X,X,O,X,O,O,X,X
LTZOISJ,X,X,O,X,X,O,X,X
LTZOJIS,X,X,O,X,O,O,X,X
LTZOJSI,X,X,O,X,O,O,X,X
LTZOSIJ,X,X,O,X,X,O,X,X
LTZOSJI,X,X,O,X,O,O,X,X
LTOIJSZ,O,O,O,X,X,O,X,O
LTOIJZS,O,O,O,X,O,X,X,O
LTOISJZ,O,O,O,O,X,O,X,O
LTOISZJ,X,X,O,O,X,X,X,X
LTOIZJS,X,X,O,X,O,O,X,X
LTOIZSJ,X,X,O,X,X,O,X,X
LTOJISZ,O,O,O,X,X,O,X,O
LTOJIZS,O,O,O,X,O,X,X,O
LTOJSIZ,O,O,O,X,X,O,X,O
LTOJSZI,X,O,O,X,O,O,X,O
LTOJZIS,O,O,O,X,O,X,X,O
LTOJZSI,X,O,O,X,O,X,X,O
LTOSIJZ,O,O,O,O,X,O,X,O
LTOSIZJ,X,X,O,O,X,X,X,X
LTOSJIZ,O,O,O,O,X,O,X,O
LTOSJZI,O,O,O,O,O,O,X,O
LTOSZIJ,X,X,O,O,X,X,X,X
LTOSZJI,X,X,O,O,O,X,X,O
LTOZIJS,X,X,O,X,O,O,X,X
LTOZISJ,X,X,O,X,X,O,X,X
LTOZJIS,X,X,O,X,O,O,X,O
LTOZJSI,X,X,O,X,O,O,X,O
LTOZSIJ,X,X,O,X,X,O,X,X
LTOZSJI,X,X,O,X,O,O,X,O
LITJSZO,O,O,O,X,X,X,O,X
LITJSOZ,O,O,O,X,X,O,X,X
LITJZSO,X,O,O,X,X,X,O,X
LITJZOS,O,O,O,X,X,X,X,X
LITJOSZ,O,O,O,X,X,O,X,O
LITJOZS,O,O,O,X,X,X,X,O
LITSJZO,O,O,O,O,X,X,O,X
LITSJOZ,O,O,O,O,X,O,X,X
LITSZJO,O,O,O,O,X,X,O,X
LITSZOJ,X,X,O,O,X,X,O,X
LITSOJZ,O,O,O,O,X,O,X,X
LITSOZJ,X,X,O,O,X,X,X,X
LITZJSO,X,X,O,X,X,O,O,X
LITZJOS,O,X,O,X,X,O,X,X
LITZSJO,O,X,O,X,X,O,O,X
LITZSOJ,X,X,O,X,X,O,O,X
LITZOJS,X,X,O,X,X,O,X,X
LITZOSJ,X,X,O,X,X,O,X,X
LITOJSZ,O,O,O,X,X,O,X,O
LITOJZS,O,O,O,X,X,X,X,O
LITOSJZ,O,O,O,O,X,O,X,X
LITOSZJ,X,X,O,O,X,X,X,X
LITOZJS,X,X,O,X,X,O,X,X
LITOZSJ,X,X,O,X,X,O,X,X
LIJTSZO,X,O,O,X,X,X,O,X
LIJTSOZ,O,O,O,X,X,X,X,O
LIJTZSO,X,O,O,X,X,X,O,X
LIJTZOS,O,O,O,X,X,X,X,X
LIJTOSZ,O,O,O,X,X,X,X,O
LIJTOZS,O,O,O,X,X,X,X,O
LIJSTZO,O,O,X,O,X,X,O,X
LIJSTOZ,O,O,X,O,X,X,X,X
LIJSZTO,X,O,X,O,X,X,O,X
LIJSZOT,O,O,X,O,X,X,O,X
LIJSOTZ,O,O,X,O,X,X,X,O
LIJSOZT,O,O,X,O,X,X,O,X
LIJZTSO,X,O,O,X,X,X,O,X
LIJZTOS,X,O,O,X,X,X,X,X
LIJZSTO,X,O,X,X,X,X,O,X
LIJZSOT,X,O,X,X,X,X,O,X
LIJZOTS,X,O,O,X,X,X,X,O
LIJZOST,X,O,X,X,X,X,O,X
LIJOTSZ,O,O,O,X,X,X,X,O
LIJOTZS,O,O,O,X,X,X,X,O
LIJOSTZ,O,O,X,O,X,X,X,O
LIJOSZT,O,O,X,O,X,X,O,X
LIJOZTS,X,O,O,X,X,X,X,O
LIJOZST,X,O,X,X,X,X,O,X
LISTJZO,O,O,O,O,X,X,O,X
LISTJOZ,O,O,O,O,X,O,X,X
LISTZJO,O,O,O,O,X,X,O,X
LISTZOJ,X,X,O,O,X,X,O,X
LISTOJZ,O,O,O,O,X,O,X,X
LISTOZJ,X,X,O,O,X,X,X,X
LISJTZO,O,O,X,O,X,X,O,X
LISJTOZ,O,O,X,O,X,X,X,X
LISJZTO,X,O,X,O,X,X,O,X
LISJZOT,O,O,X,O,X,X,O,X
LISJOTZ,O,O,X,O,X,X,X,O
LISJOZT,O,O,X,O,X,X,O,X
LISZTJO,X,O,O,O,X,X,O,X
LISZTOJ,X,X,O,O,X,X,O,X
LISZJTO,X,O,X,O,X,X,O,X
LISZJOT,O,X,X,O,X,X,O,X
LISZOTJ,X,X,O,O,X,X,O,X
LISZOJT,X,X,X,O,X,X,O,X
LISOTJZ,O,O,O,O,X,O,X,X
LISOTZJ,X,X,O,O,X,X,X,X
LISOJTZ,O,O,X,O,X,X,X,O
LISOJZT,O,O,X,O,X,X,O,X
LISOZTJ,X,X,O,O,X,X,O,X
LISOZJT,X,O,X,O,X,X,O,X
LIZTJSO,X,X,O,X,X,X,O,X
LIZTJOS,X,X,O,X,X,X,X,X
LIZTSJO,X,X,O,X,X,X,O,X
LIZTSOJ,X,X,O,X,X,X,O,X
LIZTOJS,X,X,O,X,X,X,X,X
LIZTOSJ,X,X,O,X,X,X,X,X
LIZJTSO,X,O,O,X,X,X,O,X
LIZJTOS,X,O,O,X,X,X,X,X
LIZJSTO,X,O,X,X,X,X,O,X
LIZJSOT,X,O,X,X,X,X,O,X
LIZJOTS,X,O,O,X,X,X,X,O
LIZJOST,X,O,X,X,X,X,O,X
LIZSTJO,X,O,O,O,X,X,O,X
LIZSTOJ,X,X,O,O,X,X,O,X
LIZSJTO,X,O,X,O,X,X,O,X
LIZSJOT,X,X,X,O,X,X,O,X
LIZSOTJ,X,X,O,O,X,X,O,X
LIZSOJT,X,X,X,O,X,X,O,X
LIZOTJS,X,X,O,X,X,X,X,X
LIZOTSJ,X,X,O,X,X,X,X,X
LIZOJTS,X,O,O,X,X,X,X,O
LIZOJST,X,O,X,X,X,X,O,X
LIZOSTJ,X,X,O,O,X,X,O,X
LIZOSJT,X,O,X,O,X,X,O,X
LIOTJSZ,O,O,O,X,X,O,X,O
LIOTJZS,O,O,O,X,X,X,X,O
LIOTSJZ,O,O,O,O,X,O,X,O
LIOTSZJ,X,X,O,O,X,X,X,X
LIOTZJS,X,X,O,X,X,O,X,X
LIOTZSJ,X,X,O,X,X,O,X,X
LIOJTSZ,O,O,O,X,X,X,X,O
LIOJTZS,O,O,O,X,X,X,X,O
LIOJSTZ,O,O,X,O,X,X,X,O
LIOJSZT,O,O,X,O,X,X,O,X
LIOJZTS,X,O,O,X,X,X,X,O
LIOJZST,X,O,X,X,X,X,O,X
LIOSTJZ,O,O,O,O,X,O,X,X
LIOSTZJ,X,X,O,O,X,X,X,X
LIOSJTZ,O,O,X,O,X,X,X,O
LIOSJZT,O,O,X,O,X,X,O,X
LIOSZTJ,X,X,O,O,X,X,O,X
LIOSZJT,X,O,X,O,X,X,O,X
LIOZTJS,X,X,O,X,X,X,X,X
LIOZTSJ,X,X,O,X,X,X,X,X
