sequence,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFzaBGcB3gBqpB0m?BlqB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFufB3bBchB6qB1r?BzpB,v115@5gD8FeD8FeD8GeD8CeF8Jex6IvhF6hB0fBlgB/pB2r?BTqB,v115@5gD8FeD8FeD8GeD8CeF8Jex6IvhF6hBTfBlgB/qB2r?B0pB,v115@5gD8FeD8FeD8GeD8CeF8Jex6IvhFTcBOkB0gBqpB/q?B1wB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFUbBFcBflBqmBzl?BWvB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFzaBUhBupB1qBqm?B3qB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFufBchBTgB1rBCq?B3qB,v115@5gD8FeD8FeD8GeD8CeF8Jem6IvhFCcBTfBxlB0mBlp?B3qB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFzaBWhBClBXmB0m?BVvB,v115@5gD8FeD8FeD8GeD8CeF8Jei6IvhFzbB+hB/pBFlBRr?BUqB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhFFcB0gBqmBzkB3q?BupB,v115@5gD8FeD8FeD8GeD8CeF8Je2/IvhFCcBThB/pBFlBRr?BUqB,v115@5gD8FeD8FeD8GeD8CeF8Jex6IvhF6hBlgBTkB/qB2r?B0pB,v115@5gD8FeD8FeD8GeD8CeF8JeT6IvhFGcBUhB/pBFlBRr?BKqB,v115@5gD8FeD8FeD8GeD8CeF8JeZ/IvhF3bBchBWlB1rBzk?BSvB,v115@5gD8FeD8FeD8GeD8CeF8JeO/IvhF8fBzbBxlBqmBlp?B3qB
JLZISTO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZISOT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZIOTS,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZIOST,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZSTIO,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JLZSTOI,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JLZSITO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZSIOT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZSOTI,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JLZSOIT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZOTIS,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZOTSI,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZOITS,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JLZOIST,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZOSTI,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JLZOSIT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOTISZ,O,X,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X
JLOTIZS,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X
JLOTSIZ,O,X,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X
JLOTSZI,O,X,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X
JLOTZIS,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X
JLOTZSI,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X
JLOITSZ,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JLOITZS,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X
JLOISTZ,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JLOISZT,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOIZTS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLOIZST,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOSTIZ,X,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X
JLOSTZI,X,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X
JLOSITZ,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JLOSIZT,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOSZTI,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JLOSZIT,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOZTIS,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JLOZTSI,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JLOZITS,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JLOZIST,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOZSTI,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JLOZSIT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTILZO,X,X,O,O,O,O,X,X,O,O,X,X,X,O,X,X,X
JSTILOZ,X,X,O,O,O,O,X,X,O,O,X,X,X,O,X,X,X
JSTIZLO,X,X,O,O,X,O,O,X,O,O,X,X,X,O,X,X,O
JSTIZOL,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O
JSTIOLZ,X,X,O,O,O,O,X,X,O,O,X,X,O,O,X,X,X
JSTIOZL,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X
JSTLIZO,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JSTLIOZ,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JSTLZIO,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,O
JSTLZOI,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JSTLOIZ,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JSTLOZI,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JSTZILO,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X,O
JSTZIOL,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O
JSTZLIO,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O
JSTZLOI,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSTZOIL,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X,O
JSTZOLI,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JSTOILZ,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X
JSTOIZL,X,X,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X
JSTOLIZ,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X
JSTOLZI,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JSTOZIL,X,X,O,O,X,O,O,X,O,X,X,X,X,O,X,X,O
JSTOZLI,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JSITLZO,X,X,O,O,O,O,X,X,O,O,O,X,X,O,X,X,X
JSITLOZ,X,X,O,O,O,O,X,X,O,O,O,X,O,O,X,X,X
JSITZLO,X,X,O,O,X,O,O,X,O,O,O,X,X,O,O,X,O
JSITZOL,X,X,O,O,X,O,O,X,X,X,O,X,O,X,O,X,O
JSITOLZ,X,X,O,O,O,O,X,X,O,O,O,X,O,O,X,X,X
JSITOZL,X,X,X,X,X,O,O,X,O,X,O,X,O,O,X,X,X
JSILTZO,X,X,O,O,O,O,X,X,O,O,O,X,X,O,X,X,X
JSILTOZ,X,X,O,O,O,O,X,X,O,O,O,X,X,O,X,X,X
JSILZTO,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
JSILZOT,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSILOTZ,X,X,O,X,X,O,X,X,O,X,O,X,O,O,X,X,X
JSILOZT,X,X,O,X,X,O,X,X,X,X,O,O,O,X,X,X,X
JSIZTLO,X,X,O,O,X,O,X,X,X,O,O,X,X,X,O,X,O
JSIZTOL,X,X,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X
JSIZLTO,X,X,O,O,X,O,X,X,O,X,O,X,X,X,O,X,O
JSIZLOT,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O
JSIZOTL,X,X,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X
JSIZOLT,X,X,O,O,X,O,X,X,X,X,O,X,O,X,X,X,O
JSIOTLZ,X,X,O,X,X,O,X,X,X,O,O,X,O,O,X,X,X
JSIOTZL,X,X,O,X,X,O,O,X,X,X,O,X,O,O,X,X,X
JSIOLTZ,X,X,O,X,X,O,X,X,O,X,O,X,O,O,X,X,X
JSIOLZT,X,X,O,X,X,O,X,X,X,X,O,O,O,X,X,X,X
JSIOZTL,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JSIOZLT,X,X,O,X,X,O,X,X,X,X,O,O,O,X,X,X,X
JSLTIZO,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JSLTIOZ,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JSLTZIO,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JSLTZOI,X,X,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X
JSLTOIZ,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JSLTOZI,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JSLITZO,X,X,O,O,O,O,X,X,X,O,O,X,X,O,X,X,X
JSLITOZ,X,X,O,O,O,O,X,X,X,O,O,X,X,O,X,X,X
JSLIZTO,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSLIZOT,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSLIOTZ,X,X,O,X,X,O,X,X,X,X,O,X,O,O,X,X,X
JSLIOZT,X,X,O,X,X,O,X,X,X,X,O,O,O,X,X,X,X
JSLZTIO,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSLZTOI,X,X,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X
JSLZITO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZIOT,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZOTI,X,X,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X
JSLZOIT,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JSLOTIZ,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSLOTZI,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSLOITZ,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JSLOIZT,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSLOZTI,X,X,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X
JSLOZIT,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JSZTILO,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSZTIOL,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZTLIO,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSZTLOI,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSZTOIL,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSZTOLI,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSZITLO,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
JSZITOL,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZILTO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZILOT,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZIOTL,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZIOLT,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JSZLTIO,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSZLTOI,X,X,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X
JSZLITO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZLIOT,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZLOTI,X,X,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X
JSZLOIT,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JSZOTIL,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSZOTLI,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSZOITL,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZOILT,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JSZOLTI,X,X,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X
JSZOLIT,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JSOTILZ,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSOTIZL,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
JSOTLIZ,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSOTLZI,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSOTZIL,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
JSOTZLI,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSOITLZ,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X
JSOITZL,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
JSOILTZ,X,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X
JSOILZT,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JSOIZTL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOIZLT,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
JSOLTIZ,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSOLTZI,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSOLITZ,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JSOLIZT,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSOLZTI,X,X,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X
JSOLZIT,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JSOZTIL,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSOZTLI,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSOZITL,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOZILT,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JSOZLTI,X,X,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X
JSOZLIT,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JZTILSO,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X
JZTILOS,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTISLO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTISOL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTIOLS,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTIOSL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTLISO,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X
JZTLIOS,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTLSIO,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
JZTLSOI,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
JZTLOIS,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTLOSI,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTSILO,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JZTSIOL,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTSLIO,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZTSLOI,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZTSOIL,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JZTSOLI,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
JZTOILS,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTOISL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTOLIS,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTOLSI,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTOSIL,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTOSLI,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZITLSO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZITLOS,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZITSLO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZITSOL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZITOLS,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZITOSL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZILTSO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZILTOS,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZILSTO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZILSOT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZILOTS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZILOST,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISTLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISTOL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISLTO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISLOT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISOLT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOTLS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZIOTSL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZIOLTS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOLST,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOSTL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOSLT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLTISO,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JZLTIOS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLTSIO,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JZLTSOI,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JZLTOIS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLTOSI,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLITSO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLITOS,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLISTO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLISOT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLIOTS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLIOST,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSTIO,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JZLSTOI,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JZLSITO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSIOT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSOTI,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JZLSOIT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOTIS,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOTSI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOITS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOIST,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOSTI,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JZLOSIT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSTILO,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JZSTIOL,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSTLIO,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JZSTLOI,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JZSTOIL,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JZSTOLI,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JZSITLO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSITOL,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSILTO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSILOT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSIOTL,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSIOLT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSLTIO,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JZSLTOI,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JZSLITO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSLIOT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSLOTI,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JZSLOIT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSOTIL,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JZSOTLI,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JZSOITL,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSOILT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSOLTI,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JZSOLIT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOTILS,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOTISL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOTLIS,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOTLSI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTSIL,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOTSLI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOITLS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOITSL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOILTS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOILST,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOISTL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOISLT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOLTIS,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOLTSI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOLITS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOLIST,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOLSTI,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JZOLSIT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOSTIL,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JZOSTLI,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JZOSITL,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOSILT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOSLTI,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JZOSLIT,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTILSZ,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JOTILZS,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOTISLZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTISZL,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTIZLS,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTIZSL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTLISZ,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JOTLIZS,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOTLSIZ,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JOTLSZI,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JOTLZIS,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JOTLZSI,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTSILZ,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JOTSIZL,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
JOTSLIZ,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JOTSLZI,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JOTSZIL,X,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
JOTSZLI,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JOTZILS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTZISL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTZLIS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTZLSI,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTZSIL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTZSLI,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOITLSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOITLZS,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOITSLZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOITSZL,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOITZLS,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOITZSL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOILTSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOILTZS,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOILSTZ,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOILSZT,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
