sequence,v115@7gB8GeC8GeF8CeF8CeE8Jex6IvhFCdBTfB2lB8mB3q?BdrB,v115@7gB8GeC8GeF8CeF8CeE8JeK/IvhFfgB8gB5hBOiBdr?BTqB,v115@7gB8GeC8GeF8CeF8CeE8Jem6IvhFCdBTfB9lBZmB8m?B3qB,v115@7gB8GeC8GeF8CeF8CeE8JeK/IvhFfgBxcBtlBmhBcr?BTqB,v115@7gB8GeC8GeF8CeF8CeE8Jex6IvhFXcBOiBTfBCrBNq?BcrB,v115@7gB8GeC8GeF8CeF8CeE8Jei6IvhFWhBxcB3fB8mBdr?BTqB,v115@7gB8GeC8GeF8CeF8CeE8JeN/IvhFxcB8lBzhBXrBOq?BCqB,v115@7gB8GeC8GeF8CeF8CeE8Jex6IvhFXdBTfBigB0hB+q?BNrB,v115@7gB8GeC8GeF8CeF8CeE8Jex6IvhFXdBTfBCrBOqBdr?B0rB,v115@7gB8GeC8GeF8CeF8CeE8JeN/IvhF3bBZmBzhBGlBCn?BUqB,v115@7gB8GeC8GeF8CeF8CeE8JeT6IvhF0bBXdBykBZmBtm?B+qB,v115@7gB8GeC8GeF8CeF8CeE8JeK/IvhFxcB9lBmhBTmBfq?B0qB,v115@7gB8GeC8GeF8CeF8CeE8JeN/IvhF3bBCdBZmB8mBzf?B+qB
ITJOLSZ,X,O,X,X,X,X,X,X,X,O,X,X,X
ITJOLZS,X,O,O,X,X,X,X,X,X,X,X,X,X
ITJOSLZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ITJOSZL,X,X,O,X,X,X,O,X,X,O,X,X,O
ITJOZLS,X,O,O,X,X,X,X,X,X,X,X,X,O
ITJOZSL,X,X,O,X,X,X,X,X,X,O,X,X,O
ITSLJZO,X,O,X,X,X,X,X,X,X,X,X,X,X
ITSLJOZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ITSLZJO,X,O,X,X,X,O,X,X,X,X,X,X,X
ITSLZOJ,X,O,X,X,X,O,X,X,X,X,X,X,X
ITSLOJZ,X,O,X,X,X,X,X,X,X,O,X,X,X
ITSLOZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
ITSJLZO,X,O,X,X,X,X,X,X,X,X,X,X,X
ITSJLOZ,X,O,X,X,X,X,X,X,X,O,X,X,X
ITSJZLO,X,O,X,X,X,X,X,X,X,X,X,X,X
ITSJZOL,X,X,X,X,X,X,X,X,X,O,X,X,X
ITSJOLZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ITSJOZL,X,X,X,X,X,X,O,X,X,O,X,X,X
ITSZLJO,X,O,X,X,X,O,X,X,X,X,X,X,X
ITSZLOJ,X,O,O,X,X,O,X,X,X,X,X,X,X
ITSZJLO,X,O,X,X,X,O,X,X,X,X,X,X,X
ITSZJOL,X,X,X,X,X,O,O,X,X,X,X,X,X
ITSZOLJ,X,X,O,X,X,O,O,X,X,X,X,X,X
ITSZOJL,X,X,O,X,X,O,O,X,X,O,X,X,X
ITSOLJZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ITSOLZJ,X,X,X,X,X,X,O,X,X,X,X,X,X
ITSOJLZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ITSOJZL,X,X,O,X,X,X,O,X,X,O,X,X,X
ITSOZLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
ITSOZJL,X,X,O,X,X,X,O,X,X,O,X,X,X
ITZLJSO,X,O,X,O,X,O,X,X,X,X,X,X,O
ITZLJOS,X,O,O,O,X,X,X,X,X,X,X,X,O
ITZLSJO,X,O,X,X,X,O,X,X,X,X,X,X,X
ITZLSOJ,X,O,O,X,X,O,X,X,X,X,X,X,X
ITZLOJS,X,O,O,X,X,O,X,X,X,X,X,X,X
ITZLOSJ,X,O,O,X,X,O,X,X,X,X,X,X,X
ITZJLSO,X,O,X,O,X,O,X,X,X,X,X,X,O
ITZJLOS,X,O,O,O,X,X,X,X,X,X,X,X,O
ITZJSLO,X,O,X,O,X,O,X,X,X,X,X,X,O
ITZJSOL,X,X,X,X,X,O,X,X,X,O,X,X,O
ITZJOLS,X,O,O,O,X,O,X,X,X,X,X,X,O
ITZJOSL,X,X,O,X,X,O,X,X,X,O,X,X,O
ITZSLJO,X,O,X,X,X,O,X,X,X,X,X,X,X
ITZSLOJ,X,O,O,X,X,O,X,X,X,X,X,X,X
ITZSJLO,X,O,X,X,X,O,X,X,X,X,X,X,X
ITZSJOL,X,X,X,X,X,O,X,X,X,X,X,X,X
ITZSOLJ,X,X,O,X,X,O,O,X,X,X,X,X,X
ITZSOJL,X,X,O,X,X,O,O,X,X,O,X,X,X
ITZOLJS,X,O,O,X,X,O,X,X,X,X,X,X,X
ITZOLSJ,X,O,O,X,X,O,X,X,X,X,X,X,X
ITZOJLS,X,O,O,X,X,O,X,X,X,X,X,X,X
ITZOJSL,X,X,O,X,X,O,X,X,X,O,X,X,X
ITZOSLJ,X,X,O,X,X,O,O,X,X,X,X,X,X
ITZOSJL,X,X,O,X,X,O,O,X,X,O,X,X,X
ITOLJSZ,X,O,X,X,X,X,X,X,X,O,X,O,X
ITOLJZS,X,O,O,X,X,X,X,X,X,X,X,O,X
ITOLSJZ,X,O,X,X,X,X,X,X,X,O,X,X,X
ITOLSZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
ITOLZJS,X,O,O,X,X,X,X,X,X,X,X,X,X
ITOLZSJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ITOJLSZ,X,O,X,X,X,X,X,X,X,O,X,O,X
ITOJLZS,X,O,O,X,X,X,X,X,X,X,X,O,X
ITOJSLZ,X,X,X,X,X,X,X,X,X,O,X,O,X
ITOJSZL,X,X,O,X,X,X,O,X,X,O,X,X,X
ITOJZLS,X,O,O,X,X,X,X,X,X,X,X,O,X
ITOJZSL,X,X,O,X,X,X,X,X,X,O,X,X,X
ITOSLJZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ITOSLZJ,X,X,X,X,X,X,O,X,X,X,X,X,X
ITOSJLZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ITOSJZL,X,X,O,X,X,X,O,X,X,O,X,X,X
ITOSZLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
ITOSZJL,X,X,O,X,X,X,O,X,X,O,X,X,X
ITOZLJS,X,O,O,X,X,X,X,X,X,X,X,X,X
ITOZLSJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ITOZJLS,X,O,O,X,X,X,X,X,X,X,X,X,X
ITOZJSL,X,X,O,X,X,X,X,X,X,O,X,X,X
ITOZSLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
ITOZSJL,X,X,O,X,X,X,O,X,X,O,X,X,X
ILTJSZO,X,O,X,X,O,X,X,X,X,X,X,X,X
ILTJSOZ,X,O,X,X,X,X,X,X,O,O,X,X,X
ILTJZSO,X,O,X,O,O,X,X,X,X,X,X,X,X
ILTJZOS,X,O,X,O,O,X,X,X,X,X,X,X,X
ILTJOSZ,X,O,X,X,O,X,X,X,O,O,X,X,X
ILTJOZS,X,O,X,X,O,X,X,X,O,X,X,X,X
ILTSJZO,X,O,X,X,O,X,X,X,X,X,X,X,X
ILTSJOZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ILTSZJO,X,O,X,X,O,X,X,X,X,X,X,X,X
ILTSZOJ,X,O,X,X,O,X,X,X,X,X,X,X,X
ILTSOJZ,X,O,X,X,X,X,X,X,O,O,X,X,X
ILTSOZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
ILTZJSO,X,O,X,O,O,X,X,X,X,X,X,X,X
ILTZJOS,X,O,O,O,O,X,X,X,X,X,X,X,X
ILTZSJO,X,O,X,X,O,X,X,X,X,X,X,X,X
ILTZSOJ,X,O,O,X,O,X,X,X,X,X,X,X,X
ILTZOJS,X,O,O,X,O,X,X,X,X,X,X,X,X
ILTZOSJ,X,O,O,X,O,X,X,X,X,X,X,X,X
ILTOJSZ,X,O,X,X,O,X,X,X,O,O,X,O,X
ILTOJZS,X,O,O,X,O,X,X,X,O,X,X,O,X
ILTOSJZ,X,O,X,X,O,X,X,X,O,O,X,X,X
ILTOSZJ,X,O,X,X,O,X,O,X,X,X,X,X,X
ILTOZJS,X,O,O,X,O,X,X,X,X,X,X,X,X
ILTOZSJ,X,O,O,X,O,X,X,X,X,X,X,X,X
ILJTSZO,X,O,X,X,O,X,X,X,X,X,X,X,X
ILJTSOZ,X,O,X,X,X,X,X,X,O,O,X,X,X
ILJTZSO,X,O,X,O,O,X,X,X,X,X,X,X,X
ILJTZOS,X,O,X,O,O,X,X,X,X,X,X,X,X
ILJTOSZ,X,O,X,X,O,X,X,X,O,O,X,X,X
ILJTOZS,X,O,X,X,O,X,X,X,O,X,X,X,X
ILJSTZO,X,O,X,X,X,X,X,X,X,X,X,X,X
ILJSTOZ,X,O,X,X,X,X,X,X,X,O,X,X,X
ILJSZTO,X,O,X,O,X,X,X,X,X,X,X,X,X
ILJSZOT,X,X,X,X,X,X,X,X,X,X,O,X,X
ILJSOTZ,X,O,X,X,X,X,X,O,X,O,X,X,X
ILJSOZT,X,X,X,X,X,X,X,O,X,X,O,X,X
ILJZTSO,X,O,X,O,O,X,X,X,X,X,X,X,X
ILJZTOS,X,O,X,O,O,X,X,X,X,X,X,X,X
ILJZSTO,X,O,X,O,O,X,X,X,X,X,X,X,X
ILJZSOT,X,X,X,X,O,X,X,X,X,X,O,X,X
ILJZOTS,X,X,X,O,O,X,X,X,X,X,X,X,X
ILJZOST,X,X,X,X,X,X,X,X,X,X,O,X,X
ILJOTSZ,X,O,X,X,O,X,X,O,O,O,X,O,X
ILJOTZS,X,O,X,X,O,X,X,X,O,X,X,O,X
ILJOSTZ,X,O,X,X,O,X,X,O,O,O,X,O,X
ILJOSZT,X,X,X,X,X,X,X,O,X,X,O,X,X
ILJOZTS,X,X,X,O,O,X,X,X,O,X,X,O,X
ILJOZST,X,X,X,X,X,X,X,O,X,X,O,X,X
ILSTJZO,X,O,X,X,X,X,X,X,X,X,X,X,X
ILSTJOZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ILSTZJO,X,O,X,X,X,X,X,X,X,X,X,X,X
ILSTZOJ,X,O,X,X,X,X,X,X,X,X,X,X,X
ILSTOJZ,X,O,X,X,X,X,X,X,O,O,X,X,X
ILSTOZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
ILSJTZO,X,O,X,X,X,X,X,X,X,X,X,X,X
ILSJTOZ,X,O,X,X,X,X,X,X,X,O,X,X,X
ILSJZTO,X,O,X,O,X,X,X,X,X,X,X,X,X
ILSJZOT,X,X,X,X,X,X,X,X,X,X,O,X,X
ILSJOTZ,X,O,X,X,X,X,X,X,X,O,X,X,X
ILSJOZT,X,X,X,X,X,X,X,X,X,X,O,X,X
ILSZTJO,X,O,X,O,X,O,X,X,X,X,X,X,X
ILSZTOJ,X,O,X,X,X,X,X,X,X,X,X,X,X
ILSZJTO,X,O,X,O,X,O,X,X,X,X,X,X,X
ILSZJOT,X,X,X,X,X,O,X,X,X,X,X,X,X
ILSZOTJ,X,X,X,X,X,X,X,X,X,X,O,X,X
ILSZOJT,X,X,X,X,X,O,X,X,X,X,O,X,X
ILSOTJZ,X,O,X,X,X,X,X,O,O,O,X,X,X
ILSOTZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
ILSOJTZ,X,O,X,X,X,X,X,O,X,O,X,O,X
ILSOJZT,X,X,X,X,X,X,X,O,X,X,O,X,X
ILSOZTJ,X,X,X,X,X,X,O,X,X,X,O,X,X
ILSOZJT,X,X,X,X,X,X,O,O,X,X,O,X,X
ILZTJSO,X,O,X,O,O,O,X,X,X,X,X,X,X
ILZTJOS,X,O,O,O,O,X,X,X,X,X,X,X,X
ILZTSJO,X,O,X,O,O,O,X,X,X,X,X,X,X
ILZTSOJ,X,O,O,X,O,O,X,X,X,X,X,X,X
ILZTOJS,X,O,O,X,O,O,X,X,X,X,X,X,X
ILZTOSJ,X,O,O,X,O,O,X,X,X,X,X,X,X
ILZJTSO,X,O,X,O,O,X,X,X,X,X,X,X,X
ILZJTOS,X,O,O,O,O,X,X,X,X,X,X,X,X
ILZJSTO,X,O,X,O,O,O,X,X,X,X,X,X,X
ILZJSOT,X,X,X,X,O,O,X,X,X,X,O,X,X
ILZJOTS,X,X,O,O,O,X,X,X,X,X,X,X,X
ILZJOST,X,X,X,X,X,X,X,X,X,X,O,X,X
ILZSTJO,X,O,X,O,O,O,X,X,X,X,X,X,X
ILZSTOJ,X,O,O,X,O,X,X,X,X,X,X,X,X
ILZSJTO,X,O,X,O,O,O,X,X,X,X,X,X,X
ILZSJOT,X,X,X,X,O,O,X,X,X,X,X,X,X
ILZSOTJ,X,X,O,X,X,X,X,X,X,X,O,X,X
ILZSOJT,X,X,X,X,O,O,X,X,X,X,O,X,X
ILZOTJS,X,X,O,X,O,X,X,X,X,X,X,X,X
ILZOTSJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ILZOJTS,X,X,O,O,O,X,X,X,X,X,X,O,X
ILZOJST,X,X,X,X,X,X,X,X,X,X,O,X,X
ILZOSTJ,X,X,O,X,X,X,X,X,X,X,O,X,X
ILZOSJT,X,X,X,X,X,X,X,X,X,X,O,X,X
ILOTJSZ,X,O,X,X,O,X,X,O,O,O,X,O,X
ILOTJZS,X,O,O,X,O,X,X,X,O,X,X,O,X
ILOTSJZ,X,O,X,X,O,X,X,O,O,O,X,X,X
ILOTSZJ,X,O,X,X,O,X,O,X,X,X,X,X,X
ILOTZJS,X,O,O,X,O,X,X,X,X,X,X,X,X
ILOTZSJ,X,O,O,X,O,X,X,X,X,X,X,X,X
ILOJTSZ,X,O,X,X,O,X,X,O,O,O,X,O,X
ILOJTZS,X,O,X,X,O,X,X,X,O,X,X,O,X
ILOJSTZ,X,O,X,X,O,X,X,O,O,O,X,O,X
ILOJSZT,X,X,X,X,X,X,X,O,X,X,O,X,X
ILOJZTS,X,X,X,O,O,X,X,X,O,X,X,O,X
ILOJZST,X,X,X,X,X,X,X,O,X,X,O,X,X
ILOSTJZ,X,O,X,X,O,X,X,O,O,O,X,X,X
ILOSTZJ,X,O,X,X,O,X,O,X,X,X,X,X,X
ILOSJTZ,X,O,X,X,O,X,X,O,O,O,X,O,X
ILOSJZT,X,X,X,X,X,X,X,O,X,X,O,X,X
ILOSZTJ,X,X,X,X,X,X,O,X,X,X,O,X,X
ILOSZJT,X,X,X,X,X,X,O,O,X,X,O,X,X
ILOZTJS,X,X,O,X,O,X,X,X,X,X,X,X,X
ILOZTSJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ILOZJTS,X,X,O,O,O,X,X,X,O,X,X,O,X
ILOZJST,X,X,X,X,X,X,X,O,X,X,O,X,X
ILOZSTJ,X,X,O,X,X,X,X,X,X,X,O,X,X
ILOZSJT,X,X,X,X,X,X,X,O,X,X,O,X,X
IJTLSZO,X,O,X,X,X,X,X,X,X,X,X,X,O
IJTLSOZ,X,O,X,X,X,X,X,O,X,O,X,X,X
IJTLZSO,X,O,X,O,X,X,X,X,X,X,X,X,O
IJTLZOS,X,O,X,O,X,X,X,X,X,X,X,X,O
IJTLOSZ,X,O,X,X,X,X,X,O,X,O,X,X,X
IJTLOZS,X,O,X,X,X,X,X,O,X,X,X,X,X
IJTSLZO,X,O,X,X,X,X,X,X,X,X,X,X,O
IJTSLOZ,X,O,X,X,X,X,X,O,X,O,X,X,X
IJTSZLO,X,O,X,X,X,X,X,X,X,X,X,X,O
IJTSZOL,X,X,X,X,X,X,X,X,X,O,X,X,O
IJTSOLZ,X,X,X,X,X,X,X,O,X,O,X,X,X
IJTSOZL,X,X,X,X,X,X,O,O,X,O,X,X,O
IJTZLSO,X,O,X,O,X,X,X,X,X,X,X,X,O
IJTZLOS,X,O,O,O,X,X,X,X,X,X,X,X,O
IJTZSLO,X,O,X,O,X,X,X,X,X,X,X,X,O
IJTZSOL,X,X,X,X,X,X,X,X,X,O,X,X,O
IJTZOLS,X,O,O,O,X,X,X,X,X,X,X,X,O
IJTZOSL,X,X,O,X,X,X,X,X,X,O,X,X,O
IJTOLSZ,X,O,X,X,X,X,X,O,X,O,X,X,X
IJTOLZS,X,O,O,X,X,X,X,O,X,X,X,X,X
IJTOSLZ,X,X,X,X,X,X,X,O,X,O,X,X,X
IJTOSZL,X,X,O,X,X,X,O,O,X,O,X,X,O
IJTOZLS,X,O,O,X,X,X,X,O,X,X,X,X,O
IJTOZSL,X,X,O,X,X,X,X,O,X,O,X,X,O
IJLTSZO,X,O,X,X,O,X,X,X,X,X,X,X,O
IJLTSOZ,X,O,X,X,X,X,X,X,X,O,X,X,X
IJLTZSO,X,O,X,O,O,X,X,X,X,X,X,X,O
IJLTZOS,X,O,X,O,O,X,X,X,X,X,X,X,O
IJLTOSZ,X,O,X,X,O,X,X,X,X,O,X,X,X
IJLTOZS,X,O,X,X,O,X,X,X,X,X,X,X,X
IJLSTZO,X,O,X,X,X,X,X,X,X,X,X,X,O
IJLSTOZ,X,O,X,X,X,X,X,X,X,O,X,X,X
IJLSZTO,X,O,X,O,X,X,X,X,X,X,X,X,O
IJLSZOT,X,X,X,X,X,X,X,X,X,X,O,X,O
IJLSOTZ,X,O,X,X,X,X,X,O,X,O,X,X,X
IJLSOZT,X,X,X,X,X,X,X,O,X,X,O,X,X
IJLZTSO,X,O,X,O,O,X,X,X,X,X,X,X,O
IJLZTOS,X,O,X,O,O,X,X,X,X,X,X,X,O
IJLZSTO,X,O,X,O,O,X,X,X,X,X,X,X,O
IJLZSOT,X,X,X,X,O,X,X,X,X,X,O,X,O
IJLZOTS,X,X,X,O,O,X,X,X,X,X,X,X,O
IJLZOST,X,X,X,X,X,X,X,X,X,X,O,X,O
IJLOTSZ,X,O,X,X,O,X,X,O,X,O,X,O,X
IJLOTZS,X,O,X,X,O,X,X,X,X,X,X,O,X
IJLOSTZ,X,O,X,X,O,X,X,O,X,O,X,O,X
IJLOSZT,X,X,X,X,X,X,X,O,X,X,O,X,X
IJLOZTS,X,X,X,O,O,X,X,X,X,X,X,O,X
IJLOZST,X,X,X,X,X,X,X,O,X,X,O,X,X
IJSTLZO,X,O,X,X,X,X,X,X,X,X,X,X,O
IJSTLOZ,X,O,X,X,X,X,X,X,X,O,X,X,X
IJSTZLO,X,O,X,X,X,X,X,X,X,X,X,X,O
IJSTZOL,X,X,X,X,X,X,X,X,X,O,X,X,O
IJSTOLZ,X,X,X,X,X,X,X,X,X,O,X,X,X
IJSTOZL,X,X,X,X,X,X,O,X,X,O,X,X,O
IJSLTZO,X,O,X,X,X,X,X,X,X,X,X,X,O
IJSLTOZ,X,O,X,X,X,X,X,X,X,O,X,X,X
IJSLZTO,X,O,X,O,X,X,X,X,X,X,X,X,O
IJSLZOT,X,X,X,X,X,X,X,X,X,X,O,X,O
IJSLOTZ,X,O,X,X,X,X,X,O,X,O,X,X,X
IJSLOZT,X,X,X,X,X,X,X,O,X,X,O,X,X
IJSZTLO,X,X,X,O,X,O,X,X,X,X,X,X,O
IJSZTOL,X,X,X,X,X,X,X,X,X,O,X,X,O
IJSZLTO,X,X,X,O,X,O,X,X,X,X,X,X,O
IJSZLOT,X,X,X,X,X,O,X,X,X,X,O,X,O
IJSZOTL,X,X,X,X,X,X,X,X,X,O,X,X,O
IJSZOLT,X,X,X,X,X,O,X,X,X,X,X,X,O
IJSOTLZ,X,X,X,X,X,X,X,O,X,O,X,X,X
IJSOTZL,X,X,X,X,X,X,O,X,X,O,X,X,O
IJSOLTZ,X,X,X,X,X,X,X,O,X,O,X,X,X
IJSOLZT,X,X,X,X,X,X,X,O,X,X,X,X,X
IJSOZTL,X,X,X,X,X,X,O,X,X,O,X,X,O
IJSOZLT,X,X,X,X,X,X,O,O,X,X,X,X,O
IJZTLSO,X,O,X,O,X,O,X,X,X,X,X,X,O
IJZTLOS,X,O,O,O,X,X,X,X,X,X,X,X,O
IJZTSLO,X,O,X,O,X,O,X,X,X,X,X,X,O
IJZTSOL,X,X,X,X,X,O,X,X,X,O,X,X,O
IJZTOLS,X,O,O,O,X,O,X,X,X,X,X,X,O
IJZTOSL,X,X,O,X,X,O,X,X,X,O,X,X,O
IJZLTSO,X,O,X,O,X,X,X,X,X,X,X,X,O
IJZLTOS,X,O,O,O,X,X,X,X,X,X,X,X,O
IJZLSTO,X,O,X,O,X,O,X,X,X,X,X,X,O
IJZLSOT,X,X,X,X,X,O,X,X,X,X,O,X,O
IJZLOTS,X,X,O,O,X,X,X,X,X,X,X,X,O
IJZLOST,O,X,X,X,X,X,X,X,X,X,O,X,O
IJZSTLO,X,X,X,O,X,O,X,X,X,X,X,X,O
IJZSTOL,X,X,X,X,X,X,X,X,X,O,X,X,O
IJZSLTO,X,X,X,O,X,O,X,X,X,X,X,X,O
IJZSLOT,X,X,X,X,X,O,X,X,X,X,O,X,O
IJZSOTL,X,X,X,X,X,X,X,X,X,O,X,X,O
IJZSOLT,X,X,X,X,X,O,X,X,X,X,X,X,O
IJZOTLS,X,X,O,O,X,X,X,X,X,X,X,X,O
IJZOTSL,O,X,O,X,X,X,X,X,X,O,X,X,O
IJZOLTS,X,X,O,O,X,X,X,X,X,X,X,X,O
IJZOLST,O,X,X,X,X,X,X,X,X,X,X,X,O
IJZOSTL,O,X,X,X,X,X,X,X,X,O,X,X,O
IJZOSLT,O,X,X,X,X,O,X,X,X,X,X,X,O
IJOTLSZ,X,O,X,X,O,X,X,O,X,O,X,O,X
IJOTLZS,X,O,O,X,O,X,X,O,X,X,X,O,X
IJOTSLZ,X,X,X,X,X,X,X,O,X,O,X,O,X
IJOTSZL,X,X,O,X,X,X,O,O,X,O,X,X,O
IJOTZLS,X,O,O,X,X,X,X,O,X,X,X,O,O
IJOTZSL,O,X,O,X,X,X,X,O,X,O,X,X,O
IJOLTSZ,X,O,X,X,O,X,X,O,X,O,X,O,X
IJOLTZS,X,O,X,X,O,X,X,O,X,X,X,O,X
IJOLSTZ,X,O,X,X,O,X,X,O,X,O,X,O,X
IJOLSZT,X,X,X,X,X,X,X,O,X,X,X,X,X
IJOLZTS,X,X,X,O,O,X,X,X,X,X,X,O,X
IJOLZST,O,X,X,X,X,X,X,O,X,X,X,X,X
IJOSTLZ,X,X,X,X,X,X,X,O,X,O,X,O,X
IJOSTZL,X,X,X,X,X,X,O,O,X,O,X,X,O
IJOSLTZ,X,X,X,X,O,X,X,O,X,O,X,O,X
IJOSLZT,X,X,X,X,X,X,X,O,X,X,X,X,X
IJOSZTL,O,X,X,X,X,X,O,X,X,O,X,X,O
IJOSZLT,O,X,X,X,X,X,O,O,X,X,X,X,O
IJOZTLS,X,X,O,O,X,X,X,O,X,X,X,O,O
IJOZTSL,O,X,O,X,X,X,X,O,X,O,X,X,O
IJOZLTS,X,X,O,O,O,X,X,X,X,X,X,O,O
IJOZLST,O,X,X,X,X,X,X,O,X,X,X,X,O
IJOZSTL,O,X,X,X,X,X,X,X,X,O,X,X,O
IJOZSLT,O,X,X,X,X,X,X,O,X,X,X,X,O
ISTLJZO,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTLJOZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTLZJO,X,O,X,X,X,O,X,X,X,X,X,X,X
ISTLZOJ,X,O,X,X,X,O,X,X,X,X,X,X,X
ISTLOJZ,X,O,X,X,X,X,X,X,X,O,X,X,X
ISTLOZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
ISTJLZO,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTJLOZ,X,O,X,X,X,X,X,X,X,O,X,X,X
ISTJZLO,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTJZOL,X,X,X,X,X,X,X,X,X,O,X,X,X
ISTJOLZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ISTJOZL,X,X,X,X,X,X,O,X,X,O,X,X,X
ISTZLJO,X,O,X,X,X,O,X,X,X,X,X,X,X
ISTZLOJ,X,O,O,X,X,O,X,X,X,X,X,X,X
ISTZJLO,X,O,X,X,X,O,X,X,X,X,X,X,X
ISTZJOL,X,X,X,X,X,O,O,X,X,X,X,X,X
ISTZOLJ,X,X,O,X,X,O,O,X,X,X,X,X,X
ISTZOJL,X,X,O,X,X,O,O,X,X,O,X,X,X
ISTOLJZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ISTOLZJ,X,X,X,X,X,X,O,X,X,X,X,X,X
ISTOJLZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ISTOJZL,X,X,O,X,X,X,O,X,X,O,X,X,X
ISTOZLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
ISTOZJL,X,X,O,X,X,X,O,X,X,O,X,X,X
ISLTJZO,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLTJOZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ISLTZJO,X,O,X,X,X,O,X,X,X,X,X,X,X
ISLTZOJ,X,O,X,X,X,O,X,X,X,X,X,X,X
ISLTOJZ,X,O,X,X,X,X,X,X,O,O,X,X,X
ISLTOZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
ISLJTZO,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLJTOZ,X,O,X,X,X,X,X,X,X,O,X,X,X
ISLJZTO,X,O,X,O,X,X,X,X,X,X,X,X,X
ISLJZOT,X,X,X,X,X,X,X,X,X,X,O,X,X
ISLJOTZ,X,O,X,X,X,X,X,X,X,O,X,X,X
ISLJOZT,X,X,X,X,X,X,X,X,X,X,O,X,X
ISLZTJO,X,O,X,X,X,O,X,X,X,X,X,X,X
ISLZTOJ,X,O,X,X,X,O,X,X,X,X,X,X,X
ISLZJTO,X,O,X,O,X,O,X,X,X,X,X,X,X
ISLZJOT,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLZOTJ,X,X,X,X,X,X,X,X,X,X,O,X,X
ISLZOJT,X,X,X,X,X,O,X,X,X,X,O,X,X
ISLOTJZ,X,O,X,X,X,X,X,O,O,O,X,X,X
ISLOTZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
ISLOJTZ,X,O,X,X,X,X,X,O,X,O,X,O,X
ISLOJZT,X,X,X,X,X,X,X,O,X,X,O,X,X
ISLOZTJ,X,X,X,X,X,X,O,X,X,X,O,X,X
ISLOZJT,X,X,X,X,X,X,O,O,X,X,O,X,X
ISJTLZO,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJTLOZ,X,O,X,X,X,X,X,X,X,O,X,X,X
ISJTZLO,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJTZOL,X,X,X,X,X,X,X,X,X,O,X,X,X
ISJTOLZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ISJTOZL,X,X,X,X,X,X,O,X,X,O,X,X,X
ISJLTZO,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJLTOZ,X,O,X,X,X,X,X,X,X,O,X,X,X
ISJLZTO,X,O,X,O,X,X,X,X,X,X,X,X,X
ISJLZOT,X,X,X,X,X,X,X,X,X,X,O,X,X
ISJLOTZ,X,O,X,X,X,X,X,O,X,O,X,X,X
ISJLOZT,X,X,X,X,X,X,X,O,X,X,O,X,X
ISJZTLO,X,X,X,O,X,O,X,X,X,X,X,X,X
ISJZTOL,X,X,X,X,X,X,X,X,X,O,X,X,X
ISJZLTO,X,X,X,O,X,O,X,X,X,X,X,X,X
ISJZLOT,O,X,X,X,X,O,X,X,X,X,O,X,X
ISJZOTL,O,X,X,X,X,X,X,X,X,O,X,X,X
ISJZOLT,O,X,X,X,X,O,X,X,X,X,X,X,X
ISJOTLZ,X,X,X,X,X,X,X,O,X,O,X,X,X
ISJOTZL,O,X,X,X,X,X,O,X,X,O,X,X,X
ISJOLTZ,X,X,X,X,X,X,X,O,X,O,X,X,X
ISJOLZT,O,X,X,X,X,X,X,O,X,X,X,X,X
