sequence,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Je07IvhFlcBGeB?ymB5nB/oBzrB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Jex7IvhFTeBUhB?FiBGoBXnBSxB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Je07IvhFmcB5jB?1mBziBCsB3sB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Jel7IvhFUdBajB?5jBThBGsBXsB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Je07IvhFmdB5jB?lmB3nB6rBTsB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Jex7IvhFUhBFiB?XjB6oBTnBWxB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Je07IvhFzdB5jB?umBihBXsBlsB
IZTJLOS,X,O,O,O,X,X,X
IZTJSLO,O,X,X,O,O,O,X
IZTJSOL,O,O,O,O,O,O,X
IZTJOLS,X,O,O,O,X,X,X
IZTJOSL,X,O,O,O,X,O,X
IZTSLJO,O,X,O,X,O,O,X
IZTSLOJ,O,X,O,X,O,O,X
IZTSJLO,O,X,X,X,O,O,O
IZTSJOL,O,O,O,X,O,O,O
IZTSOLJ,O,X,O,X,O,O,X
IZTSOJL,O,X,O,X,O,X,X
IZTOLJS,O,X,O,O,X,X,X
IZTOLSJ,O,X,O,O,X,X,X
IZTOJLS,X,O,O,O,X,X,X
IZTOJSL,O,O,O,O,X,X,X
IZTOSLJ,O,X,O,O,O,O,X
IZTOSJL,O,X,O,X,O,X,X
IZLTJSO,O,O,O,O,X,X,X
IZLTJOS,X,O,O,O,X,X,X
IZLTSJO,O,O,O,X,O,O,X
IZLTSOJ,O,X,O,X,O,O,X
IZLTOJS,X,O,O,O,X,X,X
IZLTOSJ,O,X,O,O,X,X,X
IZLJTSO,O,O,O,O,X,O,X
IZLJTOS,X,O,O,O,X,X,X
IZLJSTO,O,O,O,O,X,O,X
IZLJSOT,O,O,X,O,X,X,X
IZLJOTS,X,O,O,O,X,X,X
IZLJOST,X,O,X,O,X,X,X
IZLSTJO,O,O,O,X,O,O,X
IZLSTOJ,O,X,O,X,O,O,X
IZLSJTO,O,O,O,X,X,O,O
IZLSJOT,O,O,X,X,X,X,X
IZLSOTJ,O,X,O,X,X,X,X
IZLSOJT,O,X,X,X,X,X,X
IZLOTJS,O,O,O,O,X,X,X
IZLOTSJ,O,X,O,O,X,X,X
IZLOJTS,O,O,O,O,X,X,X
IZLOJST,O,O,X,X,X,X,X
IZLOSTJ,O,X,O,O,X,X,X
IZLOSJT,O,X,X,X,X,X,X
IZJTLSO,X,O,O,O,X,O,X
IZJTLOS,X,O,O,O,X,X,X
IZJTSLO,O,X,X,O,O,O,X
IZJTSOL,O,O,O,O,O,O,X
IZJTOLS,X,O,O,O,X,X,X
IZJTOSL,X,O,O,O,X,O,X
IZJLTSO,O,O,O,O,X,O,X
IZJLTOS,X,O,O,O,X,X,X
IZJLSTO,O,O,O,O,X,O,X
IZJLSOT,O,O,X,O,X,X,X
IZJLOTS,X,O,O,O,X,X,X
IZJLOST,X,O,X,O,X,X,X
IZJSTLO,O,X,X,O,O,O,O
IZJSTOL,O,O,O,O,O,O,O
IZJSLTO,O,O,O,O,X,O,O
IZJSLOT,O,O,X,O,X,X,X
IZJSOTL,O,O,X,O,X,O,O
IZJSOLT,O,O,X,O,X,X,X
IZJOTLS,X,O,O,O,X,X,X
IZJOTSL,O,O,O,O,X,O,X
IZJOLTS,O,O,O,O,X,X,X
IZJOLST,O,O,X,O,X,X,X
IZJOSTL,O,O,X,O,X,O,X
IZJOSLT,O,O,X,O,X,X,X
IZSTLJO,O,X,O,X,O,O,X
IZSTLOJ,O,X,O,X,O,O,X
IZSTJLO,O,X,X,X,O,O,O
IZSTJOL,O,O,O,X,O,O,O
IZSTOLJ,O,X,O,X,O,O,X
IZSTOJL,O,X,O,X,O,X,X
IZSLTJO,O,O,O,X,O,O,X
IZSLTOJ,O,X,O,X,O,O,X
IZSLJTO,O,O,O,X,X,O,O
IZSLJOT,O,O,X,X,X,X,X
IZSLOTJ,O,X,O,X,X,X,X
IZSLOJT,O,X,X,X,X,X,X
IZSJTLO,O,X,X,X,O,O,O
IZSJTOL,O,O,O,X,O,O,O
IZSJLTO,O,O,O,X,X,O,O
IZSJLOT,O,O,X,X,X,X,X
IZSJOTL,O,O,X,X,X,O,O
IZSJOLT,O,O,X,X,X,X,X
IZSOTLJ,O,X,O,X,O,O,X
IZSOTJL,O,X,O,X,O,X,X
IZSOLTJ,O,X,O,X,X,X,X
IZSOLJT,O,X,X,X,X,X,X
IZSOJTL,O,X,X,X,X,O,O
IZSOJLT,O,X,X,X,X,X,X
IZOTLJS,O,X,O,O,X,X,X
IZOTLSJ,O,X,O,O,X,X,X
IZOTJLS,X,O,O,O,X,X,X
IZOTJSL,O,O,O,O,X,X,X
IZOTSLJ,O,X,O,O,O,O,X
IZOTSJL,O,X,O,X,O,X,X
IZOLTJS,O,O,O,O,X,X,X
IZOLTSJ,O,X,O,O,X,X,X
IZOLJTS,O,O,O,O,X,X,X
IZOLJST,O,O,X,X,X,X,X
IZOLSTJ,O,X,O,O,X,X,X
IZOLSJT,O,X,X,X,X,X,X
IZOJTLS,X,O,O,O,X,X,X
IZOJTSL,O,O,O,O,X,O,X
IZOJLTS,O,O,O,O,X,X,X
IZOJLST,O,O,X,O,X,X,X
IZOJSTL,O,O,X,O,X,O,X
IZOJSLT,O,O,X,O,X,X,X
IZOSTLJ,O,X,O,O,O,O,X
IZOSTJL,O,X,O,X,O,X,X
IZOSLTJ,O,X,O,O,X,X,X
IZOSLJT,O,X,X,X,X,X,X
IZOSJTL,O,X,X,X,X,O,O
IZOSJLT,O,X,X,X,X,X,X
IOTLJSZ,O,X,O,O,X,X,X
IOTLJZS,O,X,O,O,X,X,X
IOTLSJZ,O,X,O,X,X,X,X
IOTLSZJ,O,X,O,O,X,X,X
IOTLZJS,O,X,O,O,X,X,X
IOTLZSJ,O,X,O,O,X,X,X
IOTJLSZ,X,X,O,O,X,X,X
IOTJLZS,X,X,O,O,X,X,X
IOTJSLZ,X,X,X,O,X,X,X
IOTJSZL,X,X,O,O,X,X,X
IOTJZLS,X,X,O,O,X,X,X
IOTJZSL,X,X,O,O,X,X,X
IOTSLJZ,O,X,O,X,O,X,X
IOTSLZJ,O,X,O,O,O,X,X
IOTSJLZ,O,X,X,O,O,X,X
IOTSJZL,O,X,O,O,O,X,X
IOTSZLJ,O,X,O,O,O,X,X
IOTSZJL,O,X,O,X,O,X,X
IOTZLJS,O,X,O,O,X,X,X
IOTZLSJ,O,X,O,O,X,X,X
IOTZJLS,X,X,O,O,X,X,X
IOTZJSL,O,X,O,O,X,X,X
IOTZSLJ,O,X,O,O,O,X,X
IOTZSJL,O,X,O,X,O,X,X
IOLTJSZ,O,X,O,O,X,X,X
IOLTJZS,O,X,O,O,X,X,X
IOLTSJZ,O,X,O,X,X,X,X
IOLTSZJ,O,X,O,O,X,X,X
IOLTZJS,O,X,O,O,X,X,X
IOLTZSJ,O,X,O,O,X,X,X
IOLJTSZ,O,X,O,O,X,X,X
IOLJTZS,O,O,O,O,X,X,X
IOLJSTZ,O,X,X,O,X,X,X
IOLJSZT,O,O,X,O,X,X,X
IOLJZTS,O,O,O,O,X,X,X
IOLJZST,O,O,X,O,X,X,X
IOLSTJZ,O,X,O,X,X,X,X
IOLSTZJ,O,X,O,O,X,X,X
IOLSJTZ,O,X,X,X,X,X,X
IOLSJZT,O,X,X,X,X,X,X
IOLSZTJ,O,X,O,O,X,X,X
IOLSZJT,O,X,X,X,X,X,X
IOLZTJS,O,O,O,O,X,X,X
IOLZTSJ,O,X,O,O,X,X,X
IOLZJTS,O,O,O,O,X,X,X
IOLZJST,O,O,X,X,X,X,X
IOLZSTJ,O,X,O,O,X,X,X
IOLZSJT,O,X,X,X,X,X,X
IOJTLSZ,X,X,O,O,X,X,X
IOJTLZS,X,O,O,O,X,X,X
IOJTSLZ,X,X,X,O,X,X,X
IOJTSZL,X,X,O,O,X,X,X
IOJTZLS,X,O,O,O,X,X,X
IOJTZSL,X,O,O,O,X,X,X
IOJLTSZ,O,X,O,O,X,X,X
IOJLTZS,O,O,O,O,X,X,X
IOJLSTZ,O,X,X,O,X,X,X
IOJLSZT,O,O,X,O,X,X,X
IOJLZTS,O,O,O,O,X,X,X
IOJLZST,O,O,X,O,X,X,X
IOJSTLZ,O,X,X,O,X,X,X
IOJSTZL,O,X,X,O,X,X,X
IOJSLTZ,O,X,X,O,X,X,X
IOJSLZT,O,O,X,O,X,X,X
IOJSZTL,O,O,X,O,X,O,X
IOJSZLT,O,O,X,O,X,X,X
IOJZTLS,X,O,O,O,X,X,X
IOJZTSL,O,O,O,O,X,O,X
IOJZLTS,O,O,O,O,X,X,X
IOJZLST,O,O,X,O,X,X,X
IOJZSTL,O,O,X,O,X,O,X
IOJZSLT,O,O,X,O,X,X,X
IOSTLJZ,O,X,O,X,O,X,X
IOSTLZJ,O,X,O,O,O,X,X
IOSTJLZ,O,X,X,O,O,X,X
IOSTJZL,O,X,O,O,O,X,X
IOSTZLJ,O,X,O,O,O,X,X
IOSTZJL,O,X,O,X,O,X,X
IOSLTJZ,O,X,O,X,X,X,X
IOSLTZJ,O,X,O,O,X,X,X
IOSLJTZ,O,X,X,X,X,X,X
IOSLJZT,O,X,X,X,X,X,X
IOSLZTJ,O,X,O,O,X,X,X
IOSLZJT,O,X,X,X,X,X,X
IOSJTLZ,O,X,X,O,O,X,O
IOSJTZL,O,X,X,O,O,X,O
IOSJLTZ,O,X,X,O,X,X,X
IOSJLZT,O,X,X,O,X,X,X
IOSJZTL,O,X,X,O,X,O,O
IOSJZLT,O,X,X,O,X,X,X
IOSZTLJ,O,X,O,O,O,O,X
IOSZTJL,O,X,O,X,O,X,X
IOSZLTJ,O,X,O,O,X,X,X
IOSZLJT,O,X,X,X,X,X,X
IOSZJTL,O,X,X,X,X,O,O
IOSZJLT,O,X,X,X,X,X,X
IOZTLJS,O,X,O,O,X,X,X
IOZTLSJ,O,X,O,O,X,X,X
IOZTJLS,X,O,O,O,X,X,X
IOZTJSL,O,O,O,O,X,X,X
IOZTSLJ,O,X,O,O,O,O,X
IOZTSJL,O,X,O,X,O,X,X
IOZLTJS,O,O,O,O,X,X,X
IOZLTSJ,O,X,O,O,X,X,X
IOZLJTS,O,O,O,O,X,X,X
IOZLJST,O,O,X,X,X,X,X
IOZLSTJ,O,X,O,O,X,X,X
IOZLSJT,O,X,X,X,X,X,X
IOZJTLS,X,O,O,O,X,X,X
IOZJTSL,O,O,O,O,X,O,X
IOZJLTS,O,O,O,O,X,X,X
IOZJLST,O,O,X,O,X,X,X
IOZJSTL,O,O,X,O,X,O,X
IOZJSLT,O,O,X,O,X,X,X
IOZSTLJ,O,X,O,O,O,O,X
IOZSTJL,O,X,O,X,O,X,X
IOZSLTJ,O,X,O,O,X,X,X
IOZSLJT,O,X,X,X,X,X,X
IOZSJTL,O,X,X,X,X,O,O
IOZSJLT,O,X,X,X,X,X,X
LTIJSZO,O,X,O,O,X,X,X
LTIJSOZ,O,X,O,O,X,X,X
LTIJZSO,O,O,O,O,X,X,X
LTIJZOS,X,O,O,O,X,X,X
LTIJOSZ,X,X,O,O,X,X,X
LTIJOZS,X,O,O,O,X,X,X
LTISJZO,O,X,O,O,O,X,X
LTISJOZ,O,X,O,O,O,X,X
LTISZJO,O,X,O,X,O,X,X
LTISZOJ,O,X,O,X,O,X,X
LTISOJZ,O,X,O,X,O,X,X
LTISOZJ,O,X,O,O,O,X,X
LTIZJSO,O,O,O,O,X,X,X
LTIZJOS,X,O,O,O,X,X,X
LTIZSJO,O,O,O,X,O,X,X
LTIZSOJ,O,X,O,X,O,X,X
LTIZOJS,X,O,O,O,X,X,X
LTIZOSJ,O,X,O,O,X,X,X
LTIOJSZ,X,X,O,O,X,X,X
LTIOJZS,X,X,O,O,X,X,X
LTIOSJZ,O,X,O,X,X,X,X
LTIOSZJ,O,X,O,O,X,X,X
LTIOZJS,X,X,O,O,X,X,X
LTIOZSJ,O,X,O,O,X,X,X
LTJISZO,O,X,O,O,X,X,X
LTJISOZ,O,X,O,O,X,X,X
LTJIZSO,O,O,O,O,X,X,X
LTJIZOS,X,O,O,O,X,X,X
LTJIOSZ,X,X,O,O,X,X,X
LTJIOZS,X,O,O,O,X,X,X
LTJSIZO,O,X,O,O,X,X,X
LTJSIOZ,O,X,O,O,X,X,X
LTJSZIO,O,O,O,X,X,X,X
LTJSZOI,O,O,O,X,X,X,X
LTJSOIZ,X,X,O,O,X,X,X
LTJSOZI,O,O,O,O,X,X,X
LTJZISO,O,O,O,O,X,X,X
LTJZIOS,X,O,O,O,X,X,X
LTJZSIO,O,O,O,X,X,X,X
LTJZSOI,O,O,O,X,X,X,X
LTJZOIS,X,O,O,O,X,X,X
LTJZOSI,X,O,O,O,X,X,X
LTJOISZ,X,X,O,O,X,X,X
LTJOIZS,X,O,O,O,X,X,X
LTJOSIZ,X,X,O,O,X,X,X
LTJOSZI,X,O,O,O,X,X,X
LTJOZIS,X,O,O,O,X,X,X
LTJOZSI,X,O,O,O,X,X,X
LTSIJZO,O,X,O,O,O,X,X
LTSIJOZ,O,X,O,O,O,X,X
LTSIZJO,O,X,O,X,O,X,X
LTSIZOJ,O,X,O,X,O,X,X
LTSIOJZ,O,X,O,X,O,X,X
LTSIOZJ,O,X,O,O,O,X,X
LTSJIZO,O,X,O,O,O,X,X
LTSJIOZ,O,X,O,O,O,X,X
LTSJZIO,O,X,O,X,O,X,X
LTSJZOI,O,X,O,X,X,X,X
LTSJOIZ,X,X,O,O,X,X,X
LTSJOZI,O,X,O,O,X,X,X
LTSZIJO,O,X,O,X,O,X,X
LTSZIOJ,O,X,O,X,O,X,X
LTSZJIO,O,X,O,X,O,X,X
LTSZJOI,O,X,O,X,X,X,X
LTSZOIJ,O,X,O,X,X,X,X
LTSZOJI,O,X,O,X,X,X,X
LTSOIJZ,O,X,O,X,X,X,X
LTSOIZJ,O,X,O,O,X,X,X
LTSOJIZ,X,X,O,X,X,X,X
LTSOJZI,O,X,O,X,X,X,X
LTSOZIJ,O,X,O,O,X,X,X
LTSOZJI,O,X,O,X,X,X,X
LTZIJSO,O,O,O,O,X,X,X
LTZIJOS,X,O,O,O,X,X,X
LTZISJO,O,O,O,X,O,X,X
LTZISOJ,O,X,O,X,O,X,X
LTZIOJS,X,O,O,O,X,X,X
LTZIOSJ,O,X,O,O,X,X,X
LTZJISO,O,O,O,O,X,X,X
LTZJIOS,X,O,O,O,X,X,X
LTZJSIO,O,O,O,X,X,X,X
LTZJSOI,O,O,O,X,X,X,X
LTZJOIS,X,O,O,O,X,X,X
LTZJOSI,X,O,O,O,X,X,X
LTZSIJO,O,O,O,X,O,X,X
LTZSIOJ,O,X,O,X,O,X,X
LTZSJIO,O,O,O,X,O,X,X
LTZSJOI,O,O,O,X,X,X,X
LTZSOIJ,O,X,O,X,X,X,X
LTZSOJI,O,X,O,X,X,X,X
LTZOIJS,X,O,O,O,X,X,X
LTZOISJ,O,X,O,O,X,X,X
LTZOJIS,X,O,O,O,X,X,X
LTZOJSI,X,O,O,X,X,X,X
LTZOSIJ,O,X,O,O,X,X,X
LTZOSJI,O,X,O,X,X,X,X
LTOIJSZ,X,X,O,O,X,X,X
LTOIJZS,X,X,O,O,X,X,X
LTOISJZ,O,X,O,X,X,X,X
LTOISZJ,O,X,O,O,X,X,X
LTOIZJS,X,X,O,O,X,X,X
LTOIZSJ,O,X,O,O,X,X,X
LTOJISZ,X,X,O,O,X,X,X
LTOJIZS,X,X,O,O,X,X,X
LTOJSIZ,X,X,O,O,X,X,X
LTOJSZI,X,X,O,O,X,X,X
LTOJZIS,X,X,O,O,X,X,X
LTOJZSI,X,X,O,O,X,X,X
LTOSIJZ,O,X,O,X,X,X,X
LTOSIZJ,O,X,O,O,X,X,X
LTOSJIZ,X,X,O,X,X,X,X
LTOSJZI,O,X,O,X,X,X,X
LTOSZIJ,O,X,O,O,X,X,X
LTOSZJI,O,X,O,X,X,X,X
LTOZIJS,X,X,O,O,X,X,X
LTOZISJ,O,X,O,O,X,X,X
LTOZJIS,X,X,O,O,X,X,X
LTOZJSI,X,X,O,X,X,X,X
LTOZSIJ,O,X,O,O,X,X,X
LTOZSJI,O,X,O,X,X,X,X
LITJSZO,O,X,O,O,X,X,X
LITJSOZ,O,X,O,O,X,X,X
LITJZSO,O,O,O,O,X,X,X
LITJZOS,X,O,O,O,X,X,X
LITJOSZ,X,X,O,O,X,X,X
LITJOZS,X,O,O,O,X,X,X
LITSJZO,O,X,O,O,O,X,X
LITSJOZ,O,X,O,O,O,X,X
LITSZJO,O,X,O,X,O,X,X
LITSZOJ,O,X,O,X,O,X,X
LITSOJZ,O,X,O,X,O,X,X
LITSOZJ,O,X,O,O,O,X,X
LITZJSO,O,O,O,O,X,X,X
LITZJOS,X,O,O,O,X,X,X
LITZSJO,O,O,O,X,O,X,X
LITZSOJ,O,X,O,X,O,X,X
LITZOJS,X,O,O,O,X,X,X
LITZOSJ,O,X,O,O,X,X,X
LITOJSZ,X,X,O,O,X,X,X
LITOJZS,X,X,O,O,X,X,X
LITOSJZ,O,X,O,X,X,X,X
LITOSZJ,O,X,O,O,X,X,X
LITOZJS,X,X,O,O,X,X,X
LITOZSJ,O,X,O,O,X,X,X
LIJTSZO,O,X,O,O,X,X,X
LIJTSOZ,O,X,O,O,X,X,X
LIJTZSO,O,O,O,O,X,X,X
LIJTZOS,X,O,O,O,X,X,X
LIJTOSZ,X,X,O,O,X,X,X
LIJTOZS,X,O,O,O,X,X,X
LIJSTZO,O,X,X,O,X,X,X
LIJSTOZ,O,X,X,O,X,X,X
LIJSZTO,O,O,X,O,X,O,X
LIJSZOT,O,O,X,O,X,X,X
LIJSOTZ,O,X,X,O,X,X,X
LIJSOZT,O,O,X,O,X,X,X
LIJZTSO,O,O,O,O,X,O,X
LIJZTOS,X,O,O,O,X,X,X
LIJZSTO,O,O,O,O,X,O,X
LIJZSOT,O,O,X,O,X,X,X
LIJZOTS,X,O,O,O,X,X,X
LIJZOST,X,O,X,O,X,X,X
LIJOTSZ,X,X,O,O,X,X,X
LIJOTZS,X,O,O,O,X,X,X
LIJOSTZ,X,X,X,O,X,X,X
LIJOSZT,X,O,X,O,X,X,X
LIJOZTS,X,O,O,O,X,X,X
LIJOZST,X,O,X,O,X,X,X
LISTJZO,O,X,O,O,O,X,X
LISTJOZ,O,X,O,O,O,X,X
LISTZJO,O,X,O,X,O,X,X
LISTZOJ,O,X,O,X,O,X,X
LISTOJZ,O,X,O,X,O,X,X
LISTOZJ,O,X,O,O,O,X,X
LISJTZO,O,X,X,O,O,X,O
LISJTOZ,O,X,X,O,O,X,O
LISJZTO,O,O,X,O,X,O,O
LISJZOT,O,O,X,O,X,X,X
LISJOTZ,O,X,X,O,X,X,X
LISJOZT,O,O,X,O,X,X,X
LISZTJO,O,O,O,X,O,O,X
LISZTOJ,O,X,O,X,O,O,X
LISZJTO,O,O,O,X,X,O,O
LISZJOT,O,O,X,X,X,X,X
LISZOTJ,O,X,O,X,X,X,X
LISZOJT,O,X,X,X,X,X,X
LISOTJZ,O,X,O,X,X,X,X
LISOTZJ,O,X,O,O,X,X,X
LISOJTZ,O,X,X,X,X,X,X
LISOJZT,O,X,X,X,X,X,X
LISOZTJ,O,X,O,O,X,X,X
LISOZJT,O,X,X,X,X,X,X
LIZTJSO,O,O,O,O,X,X,X
LIZTJOS,X,O,O,O,X,X,X
LIZTSJO,O,O,O,X,O,O,X
LIZTSOJ,O,X,O,X,O,O,X
LIZTOJS,X,O,O,O,X,X,X
LIZTOSJ,O,X,O,O,X,X,X
LIZJTSO,O,O,O,O,X,O,X
LIZJTOS,X,O,O,O,X,X,X
LIZJSTO,O,O,O,O,X,O,X
LIZJSOT,O,O,X,O,X,X,X
LIZJOTS,X,O,O,O,X,X,X
LIZJOST,X,O,X,O,X,X,X
LIZSTJO,O,O,O,X,O,O,X
LIZSTOJ,O,X,O,X,O,O,X
LIZSJTO,O,O,O,X,X,O,O
LIZSJOT,O,O,X,X,X,X,X
LIZSOTJ,O,X,O,X,X,X,X
LIZSOJT,O,X,X,X,X,X,X
LIZOTJS,O,O,O,O,X,X,X
LIZOTSJ,O,X,O,O,X,X,X
LIZOJTS,O,O,O,O,X,X,X
LIZOJST,O,O,X,X,X,X,X
LIZOSTJ,O,X,O,O,X,X,X
LIZOSJT,O,X,X,X,X,X,X
LIOTJSZ,O,X,O,O,X,X,X
LIOTJZS,O,X,O,O,X,X,X
LIOTSJZ,O,X,O,X,X,X,X
LIOTSZJ,O,X,O,O,X,X,X
LIOTZJS,O,X,O,O,X,X,X
LIOTZSJ,O,X,O,O,X,X,X
LIOJTSZ,O,X,O,O,X,X,X
LIOJTZS,O,O,O,O,X,X,X
LIOJSTZ,O,X,X,O,X,X,X
LIOJSZT,O,O,X,O,X,X,X
LIOJZTS,O,O,O,O,X,X,X
LIOJZST,O,O,X,O,X,X,X
LIOSTJZ,O,X,O,X,X,X,X
LIOSTZJ,O,X,O,O,X,X,X
LIOSJTZ,O,X,X,X,X,X,X
LIOSJZT,O,X,X,X,X,X,X
LIOSZTJ,O,X,O,O,X,X,X
LIOSZJT,O,X,X,X,X,X,X
LIOZTJS,O,O,O,O,X,X,X
LIOZTSJ,O,X,O,O,X,X,X
LIOZJTS,O,O,O,O,X,X,X
LIOZJST,O,O,X,X,X,X,X
LIOZSTJ,O,X,O,O,X,X,X
LIOZSJT,O,X,X,X,X,X,X
LJTISZO,O,X,O,O,X,X,X
LJTISOZ,O,X,O,O,X,X,X
LJTIZSO,O,O,O,O,X,X,X
LJTIZOS,X,O,O,O,X,X,X
LJTIOSZ,X,X,O,O,X,X,X
LJTIOZS,X,O,O,O,X,X,X
LJTSIZO,O,X,O,O,X,X,X
LJTSIOZ,O,X,O,O,X,X,X
LJTSZIO,O,O,O,X,X,X,X
LJTSZOI,O,O,O,X,X,X,X
LJTSOIZ,X,X,O,O,X,X,X
LJTSOZI,O,O,O,O,X,X,X
LJTZISO,O,O,O,O,X,X,X
LJTZIOS,X,O,O,O,X,X,X
LJTZSIO,O,O,O,X,X,X,X
LJTZSOI,O,O,O,X,X,X,X
LJTZOIS,X,O,O,O,X,X,X
LJTZOSI,X,O,O,O,X,X,X
LJTOISZ,X,X,O,O,X,X,X
LJTOIZS,X,O,O,O,X,X,X
LJTOSIZ,X,X,O,O,X,X,X
LJTOSZI,X,O,O,O,X,X,X
LJTOZIS,X,O,O,O,X,X,X
LJTOZSI,X,O,O,O,X,X,X
LJITSZO,O,X,O,O,X,X,X
LJITSOZ,O,X,O,O,X,X,X
LJITZSO,O,O,O,O,X,X,X
LJITZOS,X,O,O,O,X,X,X
LJITOSZ,X,X,O,O,X,X,X
LJITOZS,X,O,O,O,X,X,X
LJISTZO,O,X,X,O,X,X,X
LJISTOZ,O,X,X,O,X,X,X
LJISZTO,O,O,X,O,X,O,X
LJISZOT,O,O,X,O,X,X,X
LJISOTZ,O,X,X,O,X,X,X
LJISOZT,O,O,X,O,X,X,X
LJIZTSO,O,O,O,O,X,O,X
LJIZTOS,X,O,O,O,X,X,X
LJIZSTO,O,O,O,O,X,O,X
LJIZSOT,O,O,X,O,X,X,X
LJIZOTS,X,O,O,O,X,X,X
LJIZOST,X,O,X,O,X,X,X
LJIOTSZ,X,X,O,O,X,X,X
LJIOTZS,X,O,O,O,X,X,X
LJIOSTZ,X,X,X,O,X,X,X
LJIOSZT,X,O,X,O,X,X,X
LJIOZTS,X,O,O,O,X,X,X
LJIOZST,X,O,X,O,X,X,X
LJSTIZO,O,X,X,O,X,X,X
LJSTIOZ,O,X,X,O,X,X,X
LJSTZIO,O,O,X,X,X,O,X
LJSTZOI,O,O,X,X,X,O,X
LJSTOIZ,X,X,X,O,X,X,X
LJSTOZI,O,O,X,O,X,X,X
LJSITZO,O,X,X,O,X,X,X
LJSITOZ,O,X,X,O,X,X,X
LJSIZTO,O,O,X,O,X,O,X
LJSIZOT,O,O,X,O,X,X,X
LJSIOTZ,O,X,X,O,X,X,X
LJSIOZT,O,O,X,O,X,X,X
LJSZTIO,O,O,X,X,X,O,X
LJSZTOI,O,O,X,X,X,O,X
LJSZITO,O,O,X,X,X,O,X
LJSZIOT,O,O,X,X,X,X,X
LJSZOTI,O,O,X,X,X,X,X
LJSZOIT,X,O,X,X,X,X,X
LJSOTIZ,X,X,X,O,X,X,X
LJSOTZI,O,O,X,O,X,X,X
LJSOITZ,X,X,X,O,X,X,X
LJSOIZT,X,O,X,O,X,X,X
LJSOZTI,O,O,X,O,X,X,X
LJSOZIT,X,O,X,O,X,X,X
LJZTISO,O,O,O,O,X,O,X
LJZTIOS,X,O,O,O,X,X,X
LJZTSIO,O,O,O,X,X,O,X
LJZTSOI,O,O,O,X,X,O,X
LJZTOIS,X,O,O,O,X,X,X
LJZTOSI,X,O,O,O,X,X,X
LJZITSO,O,O,O,O,X,O,X
LJZITOS,X,O,O,O,X,X,X
LJZISTO,O,O,O,O,X,O,X
LJZISOT,O,O,X,O,X,X,X
LJZIOTS,X,O,O,O,X,X,X
LJZIOST,X,O,X,O,X,X,X
LJZSTIO,O,O,X,X,X,O,X
LJZSTOI,O,O,X,X,X,O,X
LJZSITO,O,O,O,X,X,O,X
LJZSIOT,O,O,X,X,X,X,X
LJZSOTI,O,O,X,X,X,X,X
LJZSOIT,X,O,X,X,X,X,X
LJZOTIS,X,O,O,O,X,X,X
LJZOTSI,X,O,O,O,X,X,X
LJZOITS,X,O,O,O,X,X,X
LJZOIST,X,O,X,O,X,X,X
LJZOSTI,X,O,X,O,X,X,X
LJZOSIT,X,O,X,O,X,X,X
LJOTISZ,X,X,O,O,X,X,X
LJOTIZS,X,O,O,O,X,X,X
LJOTSIZ,X,X,O,O,X,X,X
LJOTSZI,X,O,O,O,X,X,X
LJOTZIS,X,O,O,O,X,X,X
LJOTZSI,X,O,O,O,X,X,X
LJOITSZ,X,X,O,O,X,X,X
LJOITZS,X,O,O,O,X,X,X
LJOISTZ,X,X,X,O,X,X,X
LJOISZT,X,O,X,O,X,X,X
LJOIZTS,X,O,O,O,X,X,X
LJOIZST,X,O,X,O,X,X,X
LJOSTIZ,X,X,X,O,X,X,X
LJOSTZI,X,O,X,O,X,X,X
LJOSITZ,X,X,X,O,X,X,X
LJOSIZT,X,O,X,O,X,X,X
LJOSZTI,X,O,X,O,X,X,X
LJOSZIT,X,O,X,O,X,X,X
LJOZTIS,X,O,O,O,X,X,X
LJOZTSI,X,O,O,O,X,X,X
LJOZITS,X,O,O,O,X,X,X
LJOZIST,X,O,X,O,X,X,X
LJOZSTI,X,O,X,O,X,X,X
LJOZSIT,X,O,X,O,X,X,X
LSTIJZO,O,X,O,O,O,X,X
LSTIJOZ,O,X,O,O,O,X,X
LSTIZJO,O,X,O,X,O,X,X
LSTIZOJ,O,X,O,X,O,X,X
LSTIOJZ,O,X,O,X,O,X,X
LSTIOZJ,O,X,O,O,O,X,X
LSTJIZO,O,X,O,O,O,X,X
LSTJIOZ,O,X,O,O,O,X,X
LSTJZIO,O,X,O,X,O,X,X
LSTJZOI,O,X,O,X,X,X,X
LSTJOIZ,X,X,O,O,X,X,X
LSTJOZI,O,X,O,O,X,X,X
LSTZIJO,O,X,O,X,O,O,X
LSTZIOJ,O,X,O,X,O,O,X
LSTZJIO,O,X,O,X,O,O,X
LSTZJOI,O,X,O,X,X,O,X
LSTZOIJ,O,X,O,X,X,O,X
LSTZOJI,O,X,O,X,X,O,X
LSTOIJZ,O,X,O,X,X,X,X
LSTOIZJ,O,X,O,O,X,X,X
LSTOJIZ,X,X,O,X,X,X,X
