sequence,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jem6Iv?hF/iBajB5jB0fBFqBzsB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je//Iv?hFagBmdB5jB0iBFqBzsB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jem6Iv?hFxdB0fB6nBTjBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je2/Iv?hFxiBzfB0iBStBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hFegB/iB5jB8sBFqBatB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hFegBxdB0iBStBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hF/iB6oBWqB8sBZlBFtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je2/Iv?hFxiBzfBXjBStBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jem6Iv?hF0fBxiB6nBTjBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hF/iBFeBWqBCtBZlBctB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jem6Iv?hFxdB0fB6nBToBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je2/Iv?hFxiBzfBXjBctB6sBFqB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hFegBxdBXjBStBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je//Iv?hFagBxdBTjBWtBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je//Iv?hFagBxiBTjBWtBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jei6Iv?hFzfBxiBGoBXoBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jex9Iv?hF6nBUlBToBlkBXtBmpB
JLISOTZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLISOZT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLIZTSO,X,X,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X
JLIZTOS,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X
JLIZSTO,X,X,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X
JLIZSOT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLIZOTS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JLIZOST,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLIOTSZ,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JLIOTZS,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JLIOSTZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLIOSZT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLIOZTS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JLIOZST,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSTIZO,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JLSTIOZ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JLSTZIO,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JLSTZOI,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JLSTOIZ,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JLSTOZI,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JLSITZO,X,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X
JLSITOZ,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X
JLSIZTO,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JLSIZOT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSIOTZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLSIOZT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSZTIO,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLSZTOI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLSZITO,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLSZIOT,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLSZOTI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLSZOIT,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLSOTIZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSOTZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSOITZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSOIZT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSOZTI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLSOZIT,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLZTISO,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JLZTIOS,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JLZTSIO,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JLZTSOI,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JLZTOIS,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JLZTOSI,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JLZITSO,X,X,O,O,X,O,O,O,X,O,X,O,X,X,X,X,X
JLZITOS,X,X,X,O,X,O,O,O,X,O,X,O,X,X,X,X,X
JLZISTO,X,X,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X
JLZISOT,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLZIOTS,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JLZIOST,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLZSTIO,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLZSTOI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLZSITO,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLZSIOT,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLZSOTI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLZSOIT,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLZOTIS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLZOTSI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O
JLZOITS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLZOIST,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLZOSTI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLZOSIT,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLOTISZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JLOTIZS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLOTSIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JLOTSZI,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JLOTZIS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLOTZSI,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JLOITSZ,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X
JLOITZS,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X
JLOISTZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLOISZT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOIZTS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOIZST,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOSTIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOSTZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOSITZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOSIZT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOSZTI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLOSZIT,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLOZTIS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLOZTSI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O
JLOZITS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLOZIST,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLOZSTI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLOZSIT,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSTILZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSTILOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JSTIZLO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
JSTIZOL,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSTIOLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X
JSTIOZL,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JSTLIZO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JSTLIOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
JSTLZIO,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X
JSTLZOI,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X
JSTLOIZ,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X
JSTLOZI,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X
JSTZILO,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
JSTZIOL,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSTZLIO,O,X,O,X,O,X,O,X,O,X,X,X,X,X,O,X,X
JSTZLOI,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
JSTZOIL,O,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X
JSTZOLI,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
JSTOILZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X
JSTOIZL,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JSTOLIZ,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,O,X
JSTOLZI,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X
JSTOZIL,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JSTOZLI,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
JSITLZO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
JSITLOZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
JSITZLO,O,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X
JSITZOL,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
JSITOLZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X
JSITOZL,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JSILTZO,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JSILTOZ,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JSILZTO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JSILZOT,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSILOTZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JSILOZT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSIZTLO,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
JSIZTOL,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
JSIZLTO,O,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X
JSIZLOT,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSIZOTL,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JSIZOLT,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSIOTLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOTZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOLTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSIOLZT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSIOZTL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOZLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLTIZO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLTIOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLTZIO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLTZOI,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLTOIZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLTOZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLITZO,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JSLITOZ,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JSLIZTO,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JSLIZOT,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLIOTZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JSLIOZT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLZTIO,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSLZTOI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSLZITO,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSLZIOT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSLZOTI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSLZOIT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSLOTIZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLOTZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLOITZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLOIZT,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLOZTI,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSLOZIT,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSZTILO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSZTIOL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSZTLIO,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSZTLOI,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSZTOIL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZTOLI,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSZITLO,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JSZITOL,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JSZILTO,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X
JSZILOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSZIOTL,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JSZIOLT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSZLTIO,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSZLTOI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSZLITO,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JSZLIOT,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JSZLOTI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSZLOIT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSZOTIL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTLI,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSZOITL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZOILT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSZOLTI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSZOLIT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSOTILZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOTIZL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOTLIZ,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JSOTLZI,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JSOTZIL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOTZLI,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JSOITLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOITZL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOILTZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOILZT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOIZTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOIZLT,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOLTIZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOLTZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOLITZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOLIZT,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOLZTI,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSOLZIT,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSOZTIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZTLI,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOZITL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZILT,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOZLTI,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSOZLIT,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZTILSO,X,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X
JZTILOS,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JZTISLO,O,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X
JZTISOL,X,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X
JZTIOLS,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X
JZTIOSL,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JZTLISO,X,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
JZTLIOS,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
JZTLSIO,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JZTLSOI,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JZTLOIS,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JZTLOSI,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JZTSILO,O,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X
JZTSIOL,X,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X
JZTSLIO,O,O,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X
JZTSLOI,X,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X
JZTSOIL,X,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JZTSOLI,X,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X
JZTOILS,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X
JZTOISL,O,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X
JZTOLIS,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X
JZTOLSI,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JZTOSIL,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JZTOSLI,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X
JZITLSO,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X
JZITLOS,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JZITSLO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X
JZITSOL,X,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
JZITOLS,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X
JZITOSL,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JZILTSO,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X
JZILTOS,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X
JZILSTO,O,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X
JZILSOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZILOTS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZILOST,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZISTLO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
JZISTOL,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
JZISLTO,O,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X
JZISLOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZISOTL,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JZISOLT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZIOTLS,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JZIOTSL,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JZIOLTS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZIOLST,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZIOSTL,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JZIOSLT,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZLTISO,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JZLTIOS,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JZLTSIO,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JZLTSOI,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JZLTOIS,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JZLTOSI,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JZLITSO,X,O,O,O,X,O,O,O,O,O,X,O,X,X,X,X,X
JZLITOS,X,X,X,O,X,O,O,O,X,O,X,O,X,X,X,X,X
JZLISTO,O,O,O,O,X,X,O,O,O,O,X,O,X,X,X,X,X
JZLISOT,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JZLIOTS,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLIOST,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JZLSTIO,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLSTOI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLSITO,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JZLSIOT,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JZLSOTI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLSOIT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLOTIS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLOTSI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O
JZLOITS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLOIST,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLOSTI,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLOSIT,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZSTILO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSTIOL,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSTLIO,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZSTLOI,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZSTOIL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSTOLI,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZSITLO,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JZSITOL,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JZSILTO,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X
JZSILOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZSIOTL,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JZSIOLT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZSLTIO,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZSLTOI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZSLITO,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JZSLIOT,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JZSLOTI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZSLOIT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZSOTIL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOTLI,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZSOITL,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSOILT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZSOLTI,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZSOLIT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZOTILS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTISL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZOTLIS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOTLSI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOTSIL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
