sequence,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFufBcgB9iBTeBXo?BSyB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFCbB9jBXgB0iBus?BTtB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFCbB9iBTeBXgB8s?B+tB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFufBcgB9iB/oBzs?B6tB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFGbB3dBcjBzfBqs?B9tB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFqfBTbB3dBcjBts?B+tB,v115@3gC8GeB8GeD8DeF8CeG8Mex6IvhF9iBOkBXgB6oB8s?BTtB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFqfBTbB3dB9jBUo?BWyB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFCbB9jBXgB0iBGt?BzsB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFCbBTeBXgBGoBUt?B9sB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFWgB9iB6oBXgB8s?BTtB
ILJSZTO,O,X,O,X,X,X,X,O,O,X,X
ILJSZOT,O,X,O,X,X,X,X,O,O,X,X
ILJSOTZ,X,X,X,X,X,O,X,X,O,X,X
ILJSOZT,X,X,O,X,X,X,X,O,O,X,X
ILJZTSO,O,X,O,X,O,O,X,O,O,X,O
ILJZTOS,O,X,O,X,O,O,X,O,X,X,O
ILJZSTO,O,X,O,X,X,X,X,O,O,X,X
ILJZSOT,O,X,O,X,X,X,X,O,O,X,X
ILJZOTS,O,X,X,X,X,O,X,O,X,X,X
ILJZOST,O,X,X,X,X,X,X,O,X,X,X
ILJOTSZ,X,X,X,X,O,O,X,X,X,X,X
ILJOTZS,X,X,X,X,O,O,X,O,X,X,X
ILJOSTZ,X,X,X,X,O,O,X,X,X,X,X
ILJOSZT,X,X,X,X,X,X,X,O,X,X,X
ILJOZTS,X,X,X,X,O,O,X,O,X,X,X
ILJOZST,X,X,X,X,X,X,X,O,X,X,X
ILSTJZO,O,X,O,X,O,X,X,X,O,X,X
ILSTJOZ,O,X,X,X,X,X,X,X,O,X,X
ILSTZJO,O,O,X,X,O,X,X,X,O,O,X
ILSTZOJ,O,O,X,X,O,X,X,X,O,X,X
ILSTOJZ,O,O,X,X,O,X,X,X,X,X,X
ILSTOZJ,O,O,X,X,O,X,X,X,X,X,X
ILSJTZO,O,X,O,X,O,O,X,X,O,X,X
ILSJTOZ,O,X,X,X,X,O,X,X,O,X,X
ILSJZTO,O,O,O,X,X,X,X,O,O,O,X
ILSJZOT,O,X,O,X,X,X,X,O,O,O,X
ILSJOTZ,X,O,X,X,X,O,X,X,O,X,X
ILSJOZT,X,O,O,X,X,X,X,O,O,X,X
ILSZTJO,O,O,X,X,X,X,X,X,O,O,X
ILSZTOJ,O,O,X,X,X,X,X,X,O,X,X
ILSZJTO,O,O,O,X,X,X,X,X,O,O,X
ILSZJOT,O,X,O,X,X,X,X,X,O,O,X
ILSZOTJ,O,O,X,X,X,X,X,X,O,X,X
ILSZOJT,O,O,X,X,X,X,X,X,X,O,X
ILSOTJZ,O,O,X,X,O,X,X,X,X,X,X
ILSOTZJ,O,O,X,X,O,X,X,X,X,X,X
ILSOJTZ,X,O,X,X,O,O,X,X,O,X,X
ILSOJZT,X,O,O,X,X,X,X,O,O,X,X
ILSOZTJ,O,O,X,X,X,X,X,X,O,X,X
ILSOZJT,O,O,X,X,X,X,X,X,X,O,X
ILZTJSO,O,X,X,X,O,X,X,X,X,X,O
ILZTJOS,O,X,X,O,O,X,X,X,X,X,O
ILZTSJO,O,O,X,X,O,X,X,X,O,X,O
ILZTSOJ,O,O,X,X,O,X,X,X,O,X,X
ILZTOJS,O,X,X,O,O,X,X,X,X,X,O
ILZTOSJ,O,X,X,O,O,X,X,X,X,X,X
ILZJTSO,O,X,X,X,O,O,X,O,X,X,O
ILZJTOS,O,X,X,O,O,O,X,O,X,X,O
ILZJSTO,O,X,X,X,X,X,X,O,X,O,X
ILZJSOT,O,X,X,X,X,X,X,O,X,O,X
ILZJOTS,O,X,X,O,X,O,X,O,X,X,X
ILZJOST,O,X,X,X,X,X,X,O,X,X,X
ILZSTJO,O,O,X,X,X,X,X,X,O,O,X
ILZSTOJ,O,O,X,X,X,X,X,X,O,X,X
ILZSJTO,O,O,X,X,X,X,X,X,O,O,X
ILZSJOT,O,X,X,X,X,X,X,X,X,O,X
ILZSOTJ,O,O,X,X,X,X,X,X,O,X,X
ILZSOJT,O,X,X,X,X,X,X,X,X,O,X
ILZOTJS,O,X,X,O,O,X,X,X,X,X,X
ILZOTSJ,O,X,X,O,O,X,X,X,X,X,X
ILZOJTS,O,X,X,O,O,O,X,O,X,X,X
ILZOJST,O,X,X,X,X,X,X,O,X,X,X
ILZOSTJ,O,X,X,X,X,X,X,X,X,X,X
ILZOSJT,O,X,X,X,X,X,X,X,X,X,X
ILOTJSZ,X,X,X,X,O,O,X,X,X,X,X
ILOTJZS,X,X,X,X,O,O,X,O,X,X,X
ILOTSJZ,O,O,X,X,O,X,X,X,X,X,X
ILOTSZJ,O,O,X,O,O,X,X,X,X,X,X
ILOTZJS,O,X,X,O,O,X,X,X,X,X,X
ILOTZSJ,O,O,X,O,O,X,X,X,X,X,X
ILOJTSZ,X,X,X,X,O,O,X,X,X,X,X
ILOJTZS,X,X,X,X,O,O,X,O,X,X,X
ILOJSTZ,X,X,X,X,O,O,X,X,X,X,X
ILOJSZT,X,X,X,X,X,X,X,O,X,X,X
ILOJZTS,X,X,X,X,O,O,X,O,X,X,X
ILOJZST,X,X,X,X,X,X,X,O,X,X,X
ILOSTJZ,O,O,X,X,O,X,X,X,X,X,X
ILOSTZJ,O,O,X,X,O,X,X,X,X,X,X
ILOSJTZ,X,O,X,X,O,O,X,X,X,X,X
ILOSJZT,X,O,X,X,X,X,X,O,X,X,X
ILOSZTJ,O,O,X,X,X,X,X,X,X,X,X
ILOSZJT,O,O,X,X,X,X,X,X,X,X,X
ILOZTJS,O,X,X,O,O,X,X,X,X,X,X
ILOZTSJ,O,O,X,O,O,X,X,X,X,X,X
ILOZJTS,O,X,X,O,O,O,X,O,X,X,X
ILOZJST,O,X,X,X,X,X,X,O,X,X,X
ILOZSTJ,O,O,X,X,X,X,X,X,X,X,X
ILOZSJT,O,O,X,X,X,X,X,X,X,X,X
IJTLSZO,O,X,X,X,O,O,X,X,O,X,X
IJTLSOZ,O,X,X,X,X,O,X,X,O,X,X
IJTLZSO,O,X,X,X,O,O,X,O,O,X,O
IJTLZOS,O,X,X,X,O,O,X,O,X,X,O
IJTLOSZ,X,X,X,X,X,O,X,X,X,X,X
IJTLOZS,X,X,X,X,O,O,X,O,X,X,X
IJTSLZO,X,X,O,X,X,O,O,X,O,X,X
IJTSLOZ,X,X,X,X,X,O,X,X,O,X,X
IJTSZLO,X,X,O,X,X,O,O,X,O,X,O
IJTSZOL,X,X,O,X,X,O,O,X,O,X,X
IJTSOLZ,X,X,X,X,X,X,X,X,O,X,X
IJTSOZL,X,X,X,X,X,X,O,X,O,X,X
IJTZLSO,O,X,O,X,X,O,O,O,O,X,O
IJTZLOS,O,X,O,O,X,O,X,O,X,X,O
IJTZSLO,O,X,O,X,X,O,O,O,O,X,O
IJTZSOL,X,X,O,O,X,O,O,O,O,X,X
IJTZOLS,O,X,O,O,X,O,X,O,X,X,O
IJTZOSL,X,X,O,O,X,O,X,O,O,X,X
IJTOLSZ,X,X,X,X,X,O,X,X,X,X,X
IJTOLZS,X,X,X,X,X,O,X,X,X,X,X
IJTOSLZ,X,X,X,X,X,X,X,X,O,X,X
IJTOSZL,X,X,X,O,X,X,X,X,O,X,X
IJTOZLS,X,X,X,O,X,O,X,X,X,X,O
IJTOZSL,X,X,X,O,X,O,X,X,O,X,X
IJLTSZO,O,X,X,X,O,O,X,X,O,X,X
IJLTSOZ,O,X,X,X,X,O,X,X,O,X,X
IJLTZSO,O,X,X,X,O,O,X,O,O,X,O
IJLTZOS,O,X,X,X,O,O,X,O,X,X,O
IJLTOSZ,X,X,X,X,O,O,X,X,X,X,X
IJLTOZS,X,X,X,X,O,O,X,O,X,X,X
IJLSTZO,O,X,O,X,O,O,X,X,O,X,X
IJLSTOZ,O,X,X,X,X,O,X,X,O,X,X
IJLSZTO,O,X,O,X,X,X,X,O,O,X,X
IJLSZOT,O,X,O,X,X,X,X,O,O,X,X
IJLSOTZ,X,X,X,X,X,O,X,X,O,X,X
IJLSOZT,X,X,O,X,X,X,X,O,O,X,X
IJLZTSO,O,X,O,X,O,O,X,O,O,X,O
IJLZTOS,O,X,O,X,O,O,X,O,X,X,O
IJLZSTO,O,X,O,X,X,X,X,O,O,X,X
IJLZSOT,O,X,O,X,X,X,X,O,O,X,X
IJLZOTS,O,X,X,X,X,O,X,O,X,X,X
IJLZOST,O,X,X,X,X,X,X,O,X,X,X
IJLOTSZ,X,X,X,X,O,O,X,X,X,X,X
IJLOTZS,X,X,X,X,O,O,X,O,X,X,X
IJLOSTZ,X,X,X,X,O,O,X,X,X,X,X
IJLOSZT,X,X,X,X,X,X,X,O,X,X,X
IJLOZTS,X,X,X,X,O,O,X,O,X,X,X
IJLOZST,X,X,X,X,X,X,X,O,X,X,X
IJSTLZO,X,X,O,X,X,O,O,X,O,X,X
IJSTLOZ,X,X,X,X,X,O,X,X,O,X,X
IJSTZLO,X,X,O,X,X,O,O,X,O,X,O
IJSTZOL,X,X,O,X,X,O,O,X,O,X,X
IJSTOLZ,X,X,X,X,X,X,X,X,O,X,X
IJSTOZL,X,X,X,X,X,X,O,X,O,X,X
IJSLTZO,X,X,O,X,O,O,O,X,O,X,X
IJSLTOZ,X,X,X,X,X,O,X,X,O,X,X
IJSLZTO,X,O,O,X,X,X,O,O,O,O,X
IJSLZOT,X,X,O,X,X,X,X,O,O,O,X
IJSLOTZ,X,O,X,X,X,O,X,X,O,X,X
IJSLOZT,X,O,O,X,X,X,X,O,O,X,X
IJSZTLO,X,O,O,X,X,X,O,O,O,O,O
IJSZTOL,X,X,O,X,X,X,O,O,O,O,X
IJSZLTO,X,O,O,X,X,X,O,O,O,O,X
IJSZLOT,X,X,O,X,X,X,X,O,O,O,X
IJSZOTL,X,X,O,X,X,X,O,X,O,O,X
IJSZOLT,X,X,O,X,X,X,X,X,O,O,X
IJSOTLZ,X,O,X,X,X,X,X,X,O,X,X
IJSOTZL,X,O,X,X,X,X,O,X,O,X,X
IJSOLTZ,X,O,X,X,X,X,X,X,O,X,X
IJSOLZT,X,O,O,X,X,X,X,X,O,X,X
IJSOZTL,X,O,O,X,X,X,O,X,O,X,X
IJSOZLT,X,O,O,X,X,X,X,X,O,X,X
IJZTLSO,O,X,O,X,X,O,O,O,O,X,O
IJZTLOS,O,X,O,O,X,O,X,O,X,X,O
IJZTSLO,O,O,O,X,X,O,O,O,O,O,O
IJZTSOL,X,X,O,O,X,O,O,O,O,O,X
IJZTOLS,O,X,O,O,X,O,X,O,X,X,O
IJZTOSL,X,X,O,O,X,O,X,O,O,X,X
IJZLTSO,O,X,O,X,O,O,X,O,O,X,O
IJZLTOS,O,X,O,O,O,O,X,O,X,X,O
IJZLSTO,O,X,O,X,X,X,X,O,O,O,X
IJZLSOT,O,X,O,X,X,X,X,O,O,O,X
IJZLOTS,O,X,X,O,X,O,X,O,X,X,X
IJZLOST,O,X,X,X,X,X,X,O,X,X,X
IJZSTLO,O,O,O,X,X,X,O,O,O,O,O
IJZSTOL,X,X,O,O,X,X,O,O,O,O,X
IJZSLTO,O,O,O,X,X,X,O,O,O,O,X
IJZSLOT,O,X,O,X,X,X,X,O,O,O,X
IJZSOTL,X,X,O,O,X,X,O,X,O,O,X
IJZSOLT,X,X,O,X,X,X,X,X,O,O,X
IJZOTLS,O,X,O,O,X,X,X,O,X,X,O
IJZOTSL,X,X,O,O,X,X,X,O,O,X,X
IJZOLTS,O,X,X,O,X,X,X,O,X,X,X
IJZOLST,O,X,X,X,X,X,X,O,X,X,X
IJZOSTL,X,X,O,O,X,X,X,X,O,O,X
IJZOSLT,X,X,O,X,X,X,X,X,O,O,X
IJOTLSZ,X,X,X,X,O,O,X,X,X,X,X
IJOTLZS,X,X,X,X,O,O,X,X,X,X,X
IJOTSLZ,X,O,X,X,X,X,X,X,O,X,X
IJOTSZL,X,O,X,O,X,X,X,X,O,X,X
IJOTZLS,X,X,X,O,X,O,X,X,X,X,O
IJOTZSL,X,O,X,O,X,O,X,X,O,X,X
IJOLTSZ,X,X,X,X,O,O,X,X,X,X,X
IJOLTZS,X,X,X,X,O,O,X,O,X,X,X
IJOLSTZ,X,X,X,X,O,O,X,X,X,X,X
IJOLSZT,X,X,X,X,X,X,X,O,X,X,X
IJOLZTS,X,X,X,X,O,O,X,O,X,X,X
IJOLZST,X,X,X,X,X,X,X,O,X,X,X
IJOSTLZ,X,O,X,X,X,X,X,X,O,X,X
IJOSTZL,X,O,X,X,X,X,X,X,O,X,X
IJOSLTZ,X,O,X,X,O,X,X,X,O,X,X
IJOSLZT,X,O,O,X,X,X,X,X,O,X,X
IJOSZTL,X,O,O,X,X,X,X,X,O,X,X
IJOSZLT,X,O,O,X,X,X,X,X,O,X,X
IJOZTLS,X,X,O,O,X,X,X,O,X,X,O
IJOZTSL,X,O,O,O,X,X,X,O,O,X,X
IJOZLTS,X,X,X,O,O,X,X,O,X,X,X
IJOZLST,X,X,X,X,X,X,X,O,X,X,X
IJOZSTL,X,O,O,O,X,X,X,X,O,X,X
IJOZSLT,X,O,O,X,X,X,X,X,O,X,X
ISTLJZO,O,X,O,X,X,X,X,X,O,X,X
ISTLJOZ,O,X,X,X,X,X,X,X,O,X,X
ISTLZJO,O,O,X,X,X,X,X,X,O,O,X
ISTLZOJ,O,O,X,X,X,X,X,X,O,X,X
ISTLOJZ,O,O,X,X,X,X,X,X,X,X,X
ISTLOZJ,O,O,X,X,X,X,X,X,X,X,X
ISTJLZO,X,X,O,X,X,X,O,X,O,X,X
ISTJLOZ,X,X,X,X,X,X,X,X,O,X,X
ISTJZLO,X,X,O,X,X,X,O,X,O,X,O
ISTJZOL,X,X,O,X,X,X,O,X,O,X,X
ISTJOLZ,X,X,X,X,X,X,X,X,O,X,X
ISTJOZL,X,X,X,X,X,X,O,X,O,X,X
ISTZLJO,O,O,X,X,X,X,O,X,O,O,O
ISTZLOJ,O,O,X,X,X,X,X,X,O,X,X
ISTZJLO,O,O,X,X,X,X,O,X,O,O,O
ISTZJOL,X,X,X,O,X,X,O,X,X,O,X
ISTZOLJ,X,O,X,O,X,X,X,X,O,X,X
ISTZOJL,X,X,X,O,X,X,X,X,X,X,X
ISTOLJZ,X,O,X,X,X,X,X,X,X,X,X
ISTOLZJ,X,O,X,O,X,X,X,X,X,X,X
ISTOJLZ,X,O,X,X,X,X,X,X,X,X,X
ISTOJZL,X,O,X,O,X,X,X,X,X,X,X
ISTOZLJ,X,O,X,O,X,X,X,X,X,X,X
ISTOZJL,X,O,X,O,X,X,X,X,X,X,X
ISLTJZO,O,X,O,X,O,X,X,X,O,X,X
ISLTJOZ,O,X,X,X,X,X,X,X,O,X,X
ISLTZJO,O,O,X,X,O,X,X,X,O,O,X
ISLTZOJ,O,O,X,X,O,X,X,X,O,X,X
ISLTOJZ,O,O,X,X,O,X,X,X,X,X,X
ISLTOZJ,O,O,X,X,O,X,X,X,X,X,X
ISLJTZO,O,X,O,X,O,O,X,X,O,X,X
ISLJTOZ,O,X,X,X,X,O,X,X,O,X,X
ISLJZTO,O,O,O,X,X,X,X,O,O,O,X
ISLJZOT,O,X,O,X,X,X,X,O,O,O,X
ISLJOTZ,X,O,X,X,X,O,X,X,O,X,X
ISLJOZT,X,O,O,X,X,X,X,O,O,X,X
ISLZTJO,O,O,X,X,X,X,X,X,O,O,X
ISLZTOJ,O,O,X,X,X,X,X,X,O,X,X
ISLZJTO,O,O,O,X,X,X,X,X,O,O,X
ISLZJOT,O,X,O,X,X,X,X,X,O,O,X
ISLZOTJ,O,O,X,X,X,X,X,X,O,X,X
ISLZOJT,O,O,X,X,X,X,X,X,X,O,X
ISLOTJZ,O,O,X,X,O,X,X,X,X,X,X
ISLOTZJ,O,O,X,X,O,X,X,X,X,X,X
ISLOJTZ,X,O,X,X,O,O,X,X,O,X,X
ISLOJZT,X,O,O,X,X,X,X,O,O,X,X
ISLOZTJ,O,O,X,X,X,X,X,X,O,X,X
ISLOZJT,O,O,X,X,X,X,X,X,X,O,X
ISJTLZO,X,X,O,X,X,O,O,X,O,X,X
ISJTLOZ,X,X,X,X,X,O,X,X,O,X,X
ISJTZLO,X,X,O,X,X,O,O,X,O,X,O
ISJTZOL,X,X,O,X,X,O,O,X,O,X,X
ISJTOLZ,X,X,X,X,X,X,X,X,O,X,X
ISJTOZL,X,X,X,X,X,X,O,X,O,X,X
ISJLTZO,X,X,O,X,O,O,O,X,O,X,X
ISJLTOZ,X,X,X,X,X,O,X,X,O,X,X
ISJLZTO,X,O,O,X,X,X,O,O,O,O,X
ISJLZOT,X,X,O,X,X,X,X,O,O,O,X
ISJLOTZ,X,O,X,X,X,O,X,X,O,X,X
ISJLOZT,X,O,O,X,X,X,X,O,O,X,X
ISJZTLO,X,O,O,X,X,X,O,O,O,O,O
ISJZTOL,X,X,O,X,X,X,O,O,O,O,X
ISJZLTO,X,O,O,X,X,X,O,O,O,O,X
ISJZLOT,X,X,O,X,X,X,X,O,O,O,X
ISJZOTL,X,X,O,X,X,X,O,X,O,O,X
ISJZOLT,X,X,O,X,X,X,X,X,O,O,X
ISJOTLZ,X,O,X,X,X,X,X,X,O,X,X
ISJOTZL,X,O,X,X,X,X,O,X,O,X,X
ISJOLTZ,X,O,X,X,X,X,X,X,O,X,X
ISJOLZT,X,O,O,X,X,X,X,X,O,X,X
ISJOZTL,X,O,O,X,X,X,O,X,O,X,X
ISJOZLT,X,O,O,X,X,X,X,X,O,X,X
ISZTLJO,O,O,X,X,X,X,O,X,O,O,O
ISZTLOJ,O,O,X,X,X,X,X,X,O,X,X
ISZTJLO,O,O,X,X,X,X,O,X,O,O,O
ISZTJOL,X,X,X,O,X,X,O,X,X,O,X
ISZTOLJ,X,O,X,O,X,X,X,X,O,X,X
ISZTOJL,X,X,X,O,X,X,X,X,X,X,X
ISZLTJO,O,O,X,X,X,X,X,X,O,O,X
ISZLTOJ,O,O,X,X,X,X,X,X,O,X,X
ISZLJTO,O,O,O,X,X,X,X,X,O,O,X
ISZLJOT,O,X,O,X,X,X,X,X,O,O,X
ISZLOTJ,O,O,X,X,X,X,X,X,O,X,X
ISZLOJT,O,O,X,X,X,X,X,X,X,O,X
ISZJTLO,O,O,O,X,X,X,O,X,O,O,O
ISZJTOL,X,X,O,O,X,X,O,X,O,O,X
ISZJLTO,O,O,O,X,X,X,O,X,O,O,X
ISZJLOT,O,X,O,X,X,X,X,X,O,O,X
ISZJOTL,X,X,O,O,X,X,O,X,O,O,X
ISZJOLT,X,X,O,X,X,X,X,X,O,O,X
ISZOTLJ,X,O,X,O,X,X,X,X,O,X,X
ISZOTJL,X,O,X,O,X,X,X,X,X,X,X
ISZOLTJ,X,O,X,X,X,X,X,X,O,X,X
ISZOLJT,X,O,X,X,X,X,X,X,X,O,X
ISZOJTL,X,O,X,O,X,X,X,X,X,O,X
ISZOJLT,X,O,X,X,X,X,X,X,X,O,X
ISOTLJZ,X,O,X,X,X,X,X,X,X,X,X
ISOTLZJ,X,O,X,O,X,X,X,X,X,X,X
ISOTJLZ,X,O,X,X,X,X,X,X,X,X,X
ISOTJZL,X,O,X,O,X,X,X,X,X,X,X
ISOTZLJ,X,O,X,O,X,X,X,X,X,X,X
ISOTZJL,X,O,X,O,X,X,X,X,X,X,X
ISOLTJZ,X,O,X,X,O,X,X,X,X,X,X
ISOLTZJ,X,O,X,X,O,X,X,X,X,X,X
ISOLJTZ,X,O,X,X,O,X,X,X,O,X,X
ISOLJZT,X,O,O,X,X,X,X,X,O,X,X
ISOLZTJ,X,O,X,X,X,X,X,X,O,X,X
ISOLZJT,X,O,X,X,X,X,X,X,X,O,X
ISOJTLZ,X,O,X,X,X,X,X,X,O,X,X
ISOJTZL,X,O,X,X,X,X,X,X,O,X,X
ISOJLTZ,X,O,X,X,O,X,X,X,O,X,X
ISOJLZT,X,O,O,X,X,X,X,X,O,X,X
ISOJZTL,X,O,O,X,X,X,X,X,O,X,X
ISOJZLT,X,O,O,X,X,X,X,X,O,X,X
ISOZTLJ,X,O,X,O,X,X,X,X,O,X,X
ISOZTJL,X,O,X,O,X,X,X,X,X,X,X
ISOZLTJ,X,O,X,X,X,X,X,X,O,X,X
ISOZLJT,X,O,X,X,X,X,X,X,X,O,X
ISOZJTL,X,O,X,O,X,X,X,X,X,O,X
ISOZJLT,X,O,X,X,X,X,X,X,X,O,X
IZTLJSO,O,X,X,X,X,X,O,X,X,X,O
IZTLJOS,O,X,X,O,X,X,X,X,X,X,O
IZTLSJO,O,O,X,X,X,X,O,X,O,X,O
IZTLSOJ,O,O,X,X,X,X,X,X,O,X,X
IZTLOJS,O,X,X,O,X,X,X,X,X,X,O
IZTLOSJ,O,X,X,O,X,X,X,X,X,X,X
IZTJLSO,O,X,X,X,X,X,O,X,X,X,O
IZTJLOS,O,X,X,O,X,X,X,X,X,X,O
IZTJSLO,O,O,X,X,X,X,O,X,O,O,O
IZTJSOL,X,X,X,O,X,X,O,X,X,O,X
IZTJOLS,O,X,X,O,X,X,X,X,X,X,O
IZTJOSL,X,X,X,O,X,X,X,X,X,X,X
IZTSLJO,O,O,X,X,X,X,O,X,O,O,O
IZTSLOJ,O,O,X,X,X,X,X,X,O,X,X
IZTSJLO,O,O,X,X,X,X,O,X,O,O,O
IZTSJOL,X,X,X,O,X,X,O,X,X,O,X
IZTSOLJ,X,O,X,O,X,X,X,X,O,X,X
IZTSOJL,X,X,X,O,X,X,X,X,X,X,X
IZTOLJS,O,X,X,O,X,X,X,X,X,X,O
IZTOLSJ,O,X,X,O,X,X,X,X,X,X,X
IZTOJLS,O,X,X,O,X,X,X,X,X,X,O
IZTOJSL,X,X,X,O,X,X,X,X,X,X,X
IZTOSLJ,X,O,X,O,X,X,X,X,O,X,X
IZTOSJL,X,X,X,O,X,X,X,X,X,X,X
IZLTJSO,O,X,X,X,O,X,X,X,X,X,O
IZLTJOS,O,X,X,O,O,X,X,X,X,X,O
IZLTSJO,O,O,X,X,O,X,X,X,O,X,O
IZLTSOJ,O,O,X,X,O,X,X,X,O,X,X
IZLTOJS,O,X,X,O,O,X,X,X,X,X,O
IZLTOSJ,O,X,X,O,O,X,X,X,X,X,X
IZLJTSO,O,X,X,X,O,O,X,O,X,X,O
IZLJTOS,O,X,X,O,O,O,X,O,X,X,O
IZLJSTO,O,X,X,X,X,X,X,O,X,O,X
IZLJSOT,O,X,X,X,X,X,X,O,X,O,X
IZLJOTS,O,X,X,O,X,O,X,O,X,X,X
IZLJOST,O,X,X,X,X,X,X,O,X,X,X
IZLSTJO,O,O,X,X,X,X,X,X,O,O,X
IZLSTOJ,O,O,X,X,X,X,X,X,O,X,X
IZLSJTO,O,O,X,X,X,X,X,X,O,O,X
IZLSJOT,O,X,X,X,X,X,X,X,X,O,X
IZLSOTJ,O,O,X,X,X,X,X,X,O,X,X
IZLSOJT,O,X,X,X,X,X,X,X,X,O,X
IZLOTJS,O,X,X,O,O,X,X,X,X,X,X
IZLOTSJ,O,X,X,O,O,X,X,X,X,X,X
IZLOJTS,O,X,X,O,O,O,X,O,X,X,X
IZLOJST,O,X,X,X,X,X,X,O,X,X,X
IZLOSTJ,O,X,X,X,X,X,X,X,X,X,X
IZLOSJT,O,X,X,X,X,X,X,X,X,X,X
IZJTLSO,O,X,O,X,X,O,O,O,O,X,O
IZJTLOS,O,X,O,O,X,O,X,O,X,X,O
IZJTSLO,O,O,O,X,X,O,O,O,O,O,O
IZJTSOL,X,X,O,O,X,O,O,O,O,O,X
IZJTOLS,O,X,O,O,X,O,X,O,X,X,O
IZJTOSL,X,X,O,O,X,O,X,O,O,X,X
IZJLTSO,O,X,O,X,O,O,X,O,O,X,O
IZJLTOS,O,X,O,O,O,O,X,O,X,X,O
IZJLSTO,O,X,O,X,X,X,X,O,O,O,X
IZJLSOT,O,X,O,X,X,X,X,O,O,O,X
IZJLOTS,O,X,X,O,X,O,X,O,X,X,X
IZJLOST,O,X,X,X,X,X,X,O,X,X,X
IZJSTLO,O,O,O,X,X,X,O,O,O,O,O
IZJSTOL,X,X,O,O,X,X,O,O,O,O,X
IZJSLTO,O,O,O,X,X,X,O,O,O,O,X
IZJSLOT,O,X,O,X,X,X,X,O,O,O,X
IZJSOTL,X,X,O,O,X,X,O,X,O,O,X
IZJSOLT,X,X,O,X,X,X,X,X,O,O,X
IZJOTLS,O,X,O,O,X,X,X,O,X,X,O
IZJOTSL,X,X,O,O,X,X,X,O,O,X,X
IZJOLTS,O,X,X,O,X,X,X,O,X,X,X
IZJOLST,O,X,X,X,X,X,X,O,X,X,X
IZJOSTL,X,X,O,O,X,X,X,X,O,O,X
IZJOSLT,X,X,O,X,X,X,X,X,O,O,X
IZSTLJO,O,O,X,X,X,X,O,X,O,O,O
IZSTLOJ,O,O,X,X,X,X,X,X,O,X,X
IZSTJLO,O,O,X,X,X,X,O,X,O,O,O
IZSTJOL,X,X,X,O,X,X,O,X,X,O,X
IZSTOLJ,X,O,X,O,X,X,X,X,O,X,X
IZSTOJL,X,X,X,O,X,X,X,X,X,X,X
IZSLTJO,O,O,X,X,X,X,X,X,O,O,X
IZSLTOJ,O,O,X,X,X,X,X,X,O,X,X
IZSLJTO,O,O,O,X,X,X,X,X,O,O,X
IZSLJOT,O,X,O,X,X,X,X,X,O,O,X
IZSLOTJ,O,O,X,X,X,X,X,X,O,X,X
IZSLOJT,O,O,X,X,X,X,X,X,X,O,X
IZSJTLO,O,O,O,X,X,X,O,X,O,O,O
IZSJTOL,X,X,O,O,X,X,O,X,O,O,X
IZSJLTO,O,O,O,X,X,X,O,X,O,O,X
IZSJLOT,O,X,O,X,X,X,X,X,O,O,X
IZSJOTL,X,X,O,O,X,X,O,X,O,O,X
IZSJOLT,X,X,O,X,X,X,X,X,O,O,X
IZSOTLJ,X,O,X,O,X,X,X,X,O,X,X
IZSOTJL,X,O,X,O,X,X,X,X,X,X,X
IZSOLTJ,X,O,X,X,X,X,X,X,O,X,X
IZSOLJT,X,O,X,X,X,X,X,X,X,O,X
IZSOJTL,X,O,X,O,X,X,X,X,X,O,X
IZSOJLT,X,O,X,X,X,X,X,X,X,O,X
IZOTLJS,O,X,X,O,X,X,X,X,X,X,O
IZOTLSJ,O,O,X,O,X,X,X,X,X,X,X
IZOTJLS,O,X,X,O,X,X,X,X,X,X,O
IZOTJSL,X,O,X,O,X,X,X,X,X,X,X
IZOTSLJ,X,O,X,O,X,X,X,X,O,X,X
IZOTSJL,X,O,X,O,X,X,X,X,X,X,X
IZOLTJS,O,X,X,O,O,X,X,X,X,X,X
IZOLTSJ,O,O,X,O,O,X,X,X,X,X,X
IZOLJTS,O,X,X,O,O,X,X,X,X,X,X
IZOLJST,O,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,O,O,X,X,X,X,X,X,X,X,X
IZOLSJT,O,O,X,X,X,X,X,X,X,X,X
IZOJTLS,O,X,X,O,X,X,X,X,X,X,O
IZOJTSL,X,O,X,O,X,X,X,X,X,X,X
IZOJLTS,O,X,X,O,O,X,X,X,X,X,X
IZOJLST,O,X,X,X,X,X,X,X,X,X,X
IZOJSTL,X,O,X,O,X,X,X,X,X,O,X
IZOJSLT,X,O,X,X,X,X,X,X,X,O,X
IZOSTLJ,X,O,X,O,X,X,X,X,O,X,X
