sequence,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhF0d?B6jBzfB2nBFsBXtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFKi?BGeBzfBUjBFsBXtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFOi?BXeBzfBSoBUsBFtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je6/IvhFOg?BxdB/nBToBUsBFtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je06IvhFyi?B5jBXgBTiBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8JeX7IvhFyi?B5jB0fBTiBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je06IvhFxd?BTiB6oBXgBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhF0d?B6jBzfBenBFtB3sB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFld?BcjBzfBXnBStB2xB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8JeX7IvhFxd?BTiB6oB0fBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFOi?BzfBFjB6oBftBUsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je6/IvhFOg?BxiB/nBToBUsBFtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFGe?BzfBynBctBFsB/sB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFzf?B0iB6oBenB3sBFtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je06IvhFxi?BXgBCjBVsBToB2xB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je06IvhFxi?BXgBTiB6oBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8JeX7IvhFxi?B0fBTiB6oBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFzf?B1nBStBenBctB3sB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8JeX7IvhF5j?BenBziB0fBlnByxB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhF0d?B6jBzfBXnBVtB2xB
JSOTLZI,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O
JSOTZIL,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
JSOTZLI,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O
JSOITLZ,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,O
JSOITZL,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,O
JSOILTZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
JSOILZT,O,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X
JSOIZTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOIZLT,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
JSOLTIZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOLTZI,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOLITZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLIZT,O,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X
JSOLZTI,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JSOLZIT,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
JSOZTIL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZTLI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZITL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZILT,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JSOZLTI,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOZLIT,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JZTILSO,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZTILOS,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JZTISLO,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
JZTISOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
JZTIOLS,X,X,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X
JZTIOSL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
JZTLISO,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZTLIOS,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JZTLSIO,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTLSOI,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTLOIS,X,X,O,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
JZTLOSI,X,X,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JZTSILO,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
JZTSIOL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X
JZTSLIO,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTSLOI,X,X,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JZTSOIL,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZTSOLI,X,X,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JZTOILS,X,X,O,X,O,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X
JZTOISL,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X
JZTOLIS,X,X,O,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
JZTOLSI,X,X,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JZTOSIL,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZTOSLI,X,X,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JZITLSO,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZITLOS,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JZITSLO,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZITSOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZITOLS,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JZITOSL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZILTSO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZILTOS,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JZILSTO,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZILSOT,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
JZILOTS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
JZILOST,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X
JZISTLO,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
JZISTOL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X
JZISLTO,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
JZISLOT,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,O,X
JZISOTL,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X
JZISOLT,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X
JZIOTLS,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
JZIOTSL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JZIOLTS,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
JZIOLST,X,X,X,O,O,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X
JZIOSTL,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JZIOSLT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X
JZLTISO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLTIOS,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JZLTSIO,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTSOI,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLTOIS,X,X,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JZLTOSI,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLITSO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLITOS,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JZLISTO,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLISOT,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZLIOTS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
JZLIOST,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
JZLSTIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTOI,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZLSITO,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSIOT,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLSOTI,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLSOIT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JZLOTIS,X,X,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZLOTSI,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZLOITS,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JZLOIST,X,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JZLOSTI,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLOSIT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JZSTILO,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
JZSTIOL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X
JZSTLIO,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLOI,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZSTOIL,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSTOLI,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZSITLO,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
JZSITOL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X
JZSILTO,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
JZSILOT,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,O,X
JZSIOTL,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X
JZSIOLT,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X
JZSLTIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTOI,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZSLITO,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLIOT,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSLOTI,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSLOIT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JZSOTIL,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSOTLI,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSOITL,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSOILT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JZSOLTI,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSOLIT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JZOTILS,X,X,O,X,O,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X
JZOTISL,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X
JZOTLIS,X,X,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZOTLSI,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZOTSIL,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOTSLI,X,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOITLS,X,X,O,X,O,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X
JZOITSL,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X
JZOILTS,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X
JZOILST,X,X,X,O,O,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X
JZOISTL,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
JZOISLT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X
JZOLTIS,X,X,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JZOLTSI,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOLITS,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JZOLIST,X,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JZOLSTI,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOLSIT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JZOSTIL,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOSTLI,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOSITL,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOSILT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JZOSLTI,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOSLIT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JOTILSZ,X,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTILZS,O,O,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JOTISLZ,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
JOTISZL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JOTIZLS,O,X,O,X,O,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X
JOTIZSL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
JOTLISZ,X,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTLIZS,O,O,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JOTLSIZ,X,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTLSZI,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTLZIS,O,O,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JOTLZSI,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTSILZ,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
JOTSIZL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JOTSLIZ,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTSLZI,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTSZIL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTSZLI,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTZILS,O,X,O,X,O,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X
JOTZISL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
JOTZLIS,O,X,O,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
JOTZLSI,O,X,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
JOTZSIL,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTZSLI,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOITLSZ,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOITLZS,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JOITSLZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOITSZL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOITZLS,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOITZSL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOILTSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
JOILTZS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
JOILSTZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JOILSZT,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X
JOILZTS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JOILZST,X,X,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X
JOISTLZ,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,O
JOISTZL,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,O
JOISLTZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
JOISLZT,O,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X
JOISZTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOISZLT,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
JOIZTLS,X,X,O,X,O,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X
JOIZTSL,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X
JOIZLTS,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X
JOIZLST,X,X,X,O,O,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X
JOIZSTL,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
JOIZSLT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X
JOLTISZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
JOLTIZS,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X
JOLTSIZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
JOLTSZI,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
JOLTZIS,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X
JOLTZSI,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
JOLITSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOLITZS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
JOLISTZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLISZT,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLIZTS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JOLIZST,X,X,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JOLSTIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLSTZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLSITZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSIZT,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLSZTI,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLSZIT,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLZTIS,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JOLZTSI,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZITS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JOLZIST,X,X,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JOLZSTI,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLZSIT,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JOSTILZ,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,O,X,X,O
JOSTIZL,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,O
JOSTLIZ,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O
JOSTLZI,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O
JOSTZIL,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
JOSTZLI,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O
JOSITLZ,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,O
JOSITZL,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,O
JOSILTZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
JOSILZT,O,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X
JOSIZTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSIZLT,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
JOSLTIZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOSLTZI,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOSLITZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLIZT,O,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X
JOSLZTI,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOSLZIT,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
JOSZTIL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZTLI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZITL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZILT,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JOSZLTI,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOSZLIT,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JOZTILS,X,X,O,X,O,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X
JOZTISL,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X
JOZTLIS,X,X,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JOZTLSI,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JOZTSIL,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOZTSLI,X,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOZITLS,X,X,O,X,O,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X
JOZITSL,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X
JOZILTS,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X
JOZILST,X,X,X,O,O,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X
JOZISTL,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
JOZISLT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X
JOZLTIS,X,X,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JOZLTSI,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOZLITS,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JOZLIST,X,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JOZLSTI,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOZLSIT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JOZSTIL,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOZSTLI,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOZSITL,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOZSILT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JOZSLTI,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOZSLIT,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
STILJZO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
STILJOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
STILZJO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
STILZOJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
STILOJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
STILOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
STIJLZO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O
