sequence,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8Jez6IvhFGc?B/iBajB5jBllBUrB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8JeC7IvhFmd?B5jB/lBFmB0nBTrB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8Jez6IvhFmd?B5jB0iBllBfrB6rB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8Jez6IvhFGd?BRhB6oBXjBllBUrB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8JeR7IvhFSi?BTeBFgB8lBGoB3rB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8Jez6IvhFGd?BRhBXjB6oBllBUrB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8Jex9IvhFFg?BXhB0iB6oBGlBTrB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8JefAJvhFlb?BidB5jB8lBznB+rB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8JeSCJvhFTe?BRgBFgB8lBGoB3rB
IJLOSZT,O,X,X,O,X,O,X,X,O
IJLOZTS,X,X,X,O,O,X,X,X,O
IJLOZST,X,X,X,O,X,X,X,X,O
IJSTLZO,O,O,X,X,X,X,X,X,X
IJSTLOZ,O,X,X,X,X,X,X,X,X
IJSTZLO,O,O,X,X,X,X,X,X,X
IJSTZOL,O,O,X,X,X,X,X,X,X
IJSTOLZ,O,X,X,X,X,O,X,X,X
IJSTOZL,O,X,X,X,X,O,X,X,X
IJSLTZO,O,O,X,X,X,X,X,X,X
IJSLTOZ,O,X,X,X,X,X,X,X,X
IJSLZTO,O,O,X,X,X,X,X,X,X
IJSLZOT,O,O,X,X,X,X,X,X,X
IJSLOTZ,O,X,X,O,X,O,X,X,X
IJSLOZT,O,X,X,O,X,O,X,X,O
IJSZTLO,O,O,X,X,X,X,X,X,X
IJSZTOL,O,O,X,X,X,X,X,O,X
IJSZLTO,O,O,X,X,X,X,X,X,X
IJSZLOT,O,O,X,X,X,X,X,X,X
IJSZOTL,X,O,X,X,X,O,X,O,X
IJSZOLT,O,O,X,X,X,O,X,O,X
IJSOTLZ,O,X,X,X,X,O,X,X,X
IJSOTZL,O,X,X,X,X,O,X,X,X
IJSOLTZ,O,X,X,O,X,O,X,X,X
IJSOLZT,O,X,X,O,X,O,X,X,O
IJSOZTL,X,X,X,X,X,O,X,O,X
IJSOZLT,O,X,X,X,X,O,X,O,X
IJZTLSO,X,O,O,X,O,X,X,X,X
IJZTLOS,X,X,O,X,O,X,X,X,X
IJZTSLO,O,O,O,X,O,X,X,X,X
IJZTSOL,O,O,O,X,O,X,X,X,X
IJZTOLS,X,X,O,X,O,X,X,X,X
IJZTOSL,O,X,O,X,O,X,X,X,X
IJZLTSO,X,O,O,X,O,X,X,X,X
IJZLTOS,X,X,O,X,O,X,X,X,X
IJZLSTO,X,O,X,X,X,X,X,X,X
IJZLSOT,X,O,X,X,X,X,X,X,X
IJZLOTS,X,X,O,O,O,X,X,X,O
IJZLOST,X,O,X,O,X,X,X,X,O
IJZSTLO,O,O,O,X,X,X,X,X,X
IJZSTOL,O,O,O,X,X,X,X,O,X
IJZSLTO,O,O,X,X,X,X,X,X,X
IJZSLOT,O,O,X,X,X,X,X,X,X
IJZSOTL,X,O,O,X,X,O,X,O,X
IJZSOLT,O,O,X,X,X,O,X,O,X
IJZOTLS,X,X,O,X,O,X,X,X,X
IJZOTSL,X,X,O,X,O,X,X,X,X
IJZOLTS,X,X,O,O,O,X,X,X,O
IJZOLST,X,O,X,O,X,X,X,X,O
IJZOSTL,X,O,O,X,X,O,X,O,X
IJZOSLT,O,O,X,X,X,O,X,O,X
IJOTLSZ,O,X,X,O,X,X,X,X,X
IJOTLZS,X,X,X,O,X,X,X,X,O
IJOTSLZ,O,X,X,X,X,O,X,X,X
IJOTSZL,O,X,X,X,X,O,X,X,X
IJOTZLS,X,X,O,X,X,X,X,X,X
IJOTZSL,O,X,O,X,X,X,X,X,X
IJOLTSZ,X,X,X,O,X,X,X,X,X
IJOLTZS,X,X,X,O,X,X,X,X,O
IJOLSTZ,O,X,X,O,X,O,X,X,X
IJOLSZT,O,X,X,O,X,O,X,X,O
IJOLZTS,X,X,X,O,O,X,X,X,O
IJOLZST,X,X,X,O,X,X,X,X,O
IJOSTLZ,O,X,X,X,X,O,X,X,X
IJOSTZL,O,X,X,X,X,O,X,X,X
IJOSLTZ,O,X,X,O,X,O,X,X,X
IJOSLZT,O,X,X,O,X,O,X,X,O
IJOSZTL,X,X,X,X,X,O,X,O,X
IJOSZLT,O,X,X,X,X,O,X,O,X
IJOZTLS,X,X,O,X,O,X,X,X,X
IJOZTSL,X,X,O,X,O,X,X,X,X
IJOZLTS,X,X,O,O,O,X,X,X,O
IJOZLST,X,X,X,O,X,X,X,X,O
IJOZSTL,X,X,O,X,X,O,X,O,X
IJOZSLT,O,X,X,X,X,O,X,O,X
ISTLJZO,O,O,X,X,X,X,X,X,X
ISTLJOZ,O,X,X,X,X,O,X,X,X
ISTLZJO,O,O,X,X,X,X,O,X,X
ISTLZOJ,O,O,X,X,X,X,O,X,X
ISTLOJZ,O,X,X,X,X,O,X,X,X
ISTLOZJ,O,O,X,X,X,X,X,X,X
ISTJLZO,O,O,X,X,X,X,X,X,X
ISTJLOZ,O,X,X,X,X,O,X,X,X
ISTJZLO,O,O,X,X,X,X,X,X,X
ISTJZOL,O,O,X,X,X,O,X,X,X
ISTJOLZ,O,X,X,X,X,O,X,X,X
ISTJOZL,O,X,X,X,X,O,X,X,X
ISTZLJO,O,O,O,X,X,X,O,X,X
ISTZLOJ,O,O,O,X,X,X,O,O,X
ISTZJLO,O,O,O,X,X,X,X,X,X
ISTZJOL,O,O,O,X,X,O,X,O,X
ISTZOLJ,O,O,O,X,X,X,X,O,X
ISTZOJL,O,O,O,X,X,O,X,O,X
ISTOLJZ,O,X,X,X,X,O,X,X,X
ISTOLZJ,O,O,X,X,X,X,X,X,X
ISTOJLZ,O,X,X,X,X,O,X,X,X
ISTOJZL,O,X,X,X,X,O,X,X,X
ISTOZLJ,O,O,O,X,X,X,X,O,X
ISTOZJL,O,O,O,X,X,O,X,O,X
ISLTJZO,O,O,X,X,X,X,X,X,X
ISLTJOZ,O,X,X,X,X,X,X,X,X
ISLTZJO,O,O,X,X,X,X,O,X,X
ISLTZOJ,O,O,X,X,X,X,O,X,X
ISLTOJZ,O,X,X,X,X,X,X,X,X
ISLTOZJ,O,O,X,X,X,X,X,X,X
ISLJTZO,O,O,X,X,X,X,X,X,X
ISLJTOZ,O,X,X,X,X,X,X,X,X
ISLJZTO,O,O,X,X,X,X,X,X,X
ISLJZOT,O,O,X,X,X,X,X,X,X
ISLJOTZ,O,X,X,O,X,O,X,X,X
ISLJOZT,O,X,X,O,X,O,X,X,O
ISLZTJO,O,O,X,X,X,X,O,X,X
ISLZTOJ,O,O,X,X,X,X,O,O,X
ISLZJTO,O,O,X,X,X,X,O,X,X
ISLZJOT,O,O,X,X,X,X,X,X,X
ISLZOTJ,O,O,X,X,X,X,O,O,X
ISLZOJT,O,O,X,X,X,X,X,O,X
ISLOTJZ,O,X,X,X,X,X,X,X,X
ISLOTZJ,O,O,X,X,X,X,X,X,X
ISLOJTZ,O,X,X,O,X,O,X,X,X
ISLOJZT,O,X,X,O,X,O,X,X,X
ISLOZTJ,O,O,X,X,X,X,X,O,X
ISLOZJT,O,O,X,X,X,X,X,O,X
ISJTLZO,O,O,X,X,X,X,X,X,X
ISJTLOZ,O,X,X,X,X,O,X,X,X
ISJTZLO,O,O,X,X,X,X,X,X,X
ISJTZOL,O,O,X,X,X,O,X,X,X
ISJTOLZ,O,X,X,X,X,O,X,X,X
ISJTOZL,O,X,X,X,X,O,X,X,X
ISJLTZO,O,O,X,X,X,X,X,X,X
ISJLTOZ,O,X,X,X,X,X,X,X,X
ISJLZTO,O,O,X,X,X,X,X,X,X
ISJLZOT,O,O,X,X,X,X,X,X,X
ISJLOTZ,O,X,X,O,X,O,X,X,X
ISJLOZT,O,X,X,O,X,O,X,X,O
ISJZTLO,O,O,X,X,X,X,X,X,X
ISJZTOL,O,O,X,X,X,X,X,O,X
ISJZLTO,O,O,X,X,X,X,X,X,X
ISJZLOT,O,O,X,X,X,X,X,X,X
ISJZOTL,X,O,X,X,X,O,X,O,X
ISJZOLT,O,O,X,X,X,O,X,O,X
ISJOTLZ,O,X,X,X,X,O,X,X,X
ISJOTZL,O,X,X,X,X,O,X,X,X
ISJOLTZ,O,X,X,O,X,O,X,X,X
ISJOLZT,O,X,X,O,X,O,X,X,O
ISJOZTL,X,X,X,X,X,O,X,O,X
ISJOZLT,O,X,X,X,X,O,X,O,X
ISZTLJO,O,O,O,X,X,X,O,X,X
ISZTLOJ,O,O,O,X,X,X,O,O,X
ISZTJLO,O,O,O,X,X,X,X,X,X
ISZTJOL,O,O,O,X,X,X,X,O,X
ISZTOLJ,O,O,O,X,X,X,X,O,X
ISZTOJL,O,O,O,X,X,X,X,O,X
ISZLTJO,O,O,X,X,X,X,O,X,X
ISZLTOJ,O,O,X,X,X,X,O,O,X
ISZLJTO,O,O,X,X,X,X,O,X,X
ISZLJOT,O,O,X,X,X,X,X,X,X
ISZLOTJ,O,O,X,X,X,X,O,O,X
ISZLOJT,O,O,X,X,X,X,X,O,X
ISZJTLO,O,O,O,X,X,X,X,X,X
ISZJTOL,O,O,O,X,X,X,X,O,X
ISZJLTO,O,O,X,X,X,X,X,X,X
ISZJLOT,O,O,X,X,X,X,X,X,X
ISZJOTL,X,O,O,X,X,O,X,O,X
ISZJOLT,O,O,X,X,X,O,X,O,X
ISZOTLJ,O,O,O,X,X,X,X,O,X
ISZOTJL,O,O,O,X,X,X,X,O,X
ISZOLTJ,O,O,X,X,X,X,X,O,X
ISZOLJT,O,O,X,X,X,X,X,O,X
ISZOJTL,X,O,O,X,X,O,X,O,X
ISZOJLT,O,O,X,X,X,O,X,O,X
ISOTLJZ,O,X,X,X,X,O,X,X,X
ISOTLZJ,O,O,X,X,X,X,X,X,X
ISOTJLZ,O,X,X,X,X,O,X,X,X
ISOTJZL,O,X,X,X,X,O,X,X,X
ISOTZLJ,O,O,O,X,X,X,X,O,X
ISOTZJL,O,O,O,X,X,O,X,O,X
ISOLTJZ,O,X,X,X,X,X,X,X,X
ISOLTZJ,O,O,X,X,X,X,X,X,X
ISOLJTZ,O,X,X,O,X,O,X,X,X
ISOLJZT,O,X,X,O,X,O,X,X,X
ISOLZTJ,O,O,X,X,X,X,X,O,X
ISOLZJT,O,O,X,X,X,X,X,O,X
ISOJTLZ,O,X,X,X,X,O,X,X,X
ISOJTZL,O,X,X,X,X,O,X,X,X
ISOJLTZ,O,X,X,O,X,O,X,X,X
ISOJLZT,O,X,X,O,X,O,X,X,X
ISOJZTL,X,X,X,X,X,O,X,O,X
ISOJZLT,O,X,X,X,X,O,X,O,X
ISOZTLJ,O,O,O,X,X,X,X,O,X
ISOZTJL,O,O,O,X,X,X,X,O,X
ISOZLTJ,O,O,X,X,X,X,X,O,X
ISOZLJT,O,O,X,X,X,X,X,O,X
ISOZJTL,X,O,O,X,X,O,X,O,X
ISOZJLT,O,O,X,X,X,O,X,O,X
IZTLJSO,X,O,O,X,O,X,O,X,X
IZTLJOS,X,X,O,X,O,X,X,X,X
IZTLSJO,X,O,O,X,O,X,O,X,X
IZTLSOJ,X,O,O,X,X,X,O,X,X
IZTLOJS,X,X,O,X,O,X,X,X,X
IZTLOSJ,X,X,O,X,X,X,O,X,X
IZTJLSO,X,O,O,X,O,X,X,X,X
IZTJLOS,X,X,O,X,O,X,X,X,X
IZTJSLO,O,O,O,X,O,X,X,X,X
IZTJSOL,O,O,O,X,O,X,X,X,X
IZTJOLS,X,X,O,X,O,X,X,X,X
IZTJOSL,O,X,O,X,O,X,X,X,X
IZTSLJO,O,O,O,X,O,X,O,X,X
IZTSLOJ,O,O,O,X,X,X,O,O,X
IZTSJLO,O,O,O,X,O,X,X,X,X
IZTSJOL,O,O,O,X,O,X,X,O,X
IZTSOLJ,O,O,O,X,X,X,X,O,X
IZTSOJL,O,O,O,X,X,X,X,O,X
IZTOLJS,X,X,O,X,O,X,X,X,X
IZTOLSJ,X,X,O,X,X,X,X,X,X
IZTOJLS,X,X,O,X,O,X,X,X,X
IZTOJSL,O,X,O,X,O,X,X,X,X
IZTOSLJ,O,X,O,X,X,X,X,O,X
IZTOSJL,O,X,O,X,X,X,X,O,X
IZLTJSO,X,O,O,X,O,X,O,X,X
IZLTJOS,X,X,O,X,O,X,X,X,X
IZLTSJO,X,O,O,X,O,X,O,X,X
IZLTSOJ,X,O,O,X,X,X,O,X,X
IZLTOJS,X,X,O,X,O,X,X,X,X
IZLTOSJ,X,X,O,X,X,X,O,X,X
IZLJTSO,X,O,O,X,O,X,O,X,X
IZLJTOS,X,X,O,X,O,X,X,X,X
IZLJSTO,X,O,X,X,X,X,O,X,X
IZLJSOT,X,O,X,X,X,X,X,X,X
IZLJOTS,X,X,O,O,O,X,X,X,O
IZLJOST,X,O,X,O,X,X,X,X,O
IZLSTJO,X,O,X,X,X,X,O,X,X
IZLSTOJ,X,O,X,X,X,X,O,O,X
IZLSJTO,X,O,X,X,X,X,O,X,X
IZLSJOT,X,O,X,X,X,X,X,X,X
IZLSOTJ,X,O,X,X,X,X,O,O,X
IZLSOJT,X,O,X,X,X,X,X,O,X
IZLOTJS,X,X,O,X,X,X,X,X,X
IZLOTSJ,X,X,O,X,X,X,O,X,X
IZLOJTS,X,X,O,O,X,X,X,X,X
IZLOJST,X,O,X,O,X,X,X,X,X
IZLOSTJ,X,O,X,X,X,X,O,O,X
IZLOSJT,X,O,X,X,X,X,X,O,X
IZJTLSO,X,O,O,X,O,X,X,X,X
IZJTLOS,X,X,O,X,O,X,X,X,X
IZJTSLO,O,O,O,X,O,X,X,X,X
IZJTSOL,O,O,O,X,O,X,X,X,X
IZJTOLS,X,X,O,X,O,X,X,X,X
IZJTOSL,O,X,O,X,O,X,X,X,X
IZJLTSO,X,O,O,X,O,X,X,X,X
IZJLTOS,X,X,O,X,O,X,X,X,X
IZJLSTO,X,O,X,X,X,X,X,X,X
IZJLSOT,X,O,X,X,X,X,X,X,X
IZJLOTS,X,X,O,O,O,X,X,X,O
IZJLOST,X,O,X,O,X,X,X,X,O
IZJSTLO,O,O,O,X,X,X,X,X,X
IZJSTOL,O,O,O,X,X,X,X,O,X
IZJSLTO,O,O,X,X,X,X,X,X,X
IZJSLOT,O,O,X,X,X,X,X,X,X
IZJSOTL,X,O,O,X,X,O,X,O,X
IZJSOLT,O,O,X,X,X,O,X,O,X
IZJOTLS,X,X,O,X,O,X,X,X,X
IZJOTSL,X,X,O,X,O,X,X,X,X
IZJOLTS,X,X,O,O,O,X,X,X,O
IZJOLST,X,O,X,O,X,X,X,X,O
IZJOSTL,X,O,O,X,X,O,X,O,X
IZJOSLT,O,O,X,X,X,O,X,O,X
IZSTLJO,O,O,O,X,X,X,O,X,X
IZSTLOJ,O,O,O,X,X,X,O,O,X
IZSTJLO,O,O,O,X,X,X,X,X,X
IZSTJOL,O,O,O,X,X,X,X,O,X
IZSTOLJ,O,O,O,X,X,X,X,O,X
IZSTOJL,O,O,O,X,X,X,X,O,X
IZSLTJO,O,O,X,X,X,X,O,X,X
IZSLTOJ,O,O,X,X,X,X,O,O,X
IZSLJTO,O,O,X,X,X,X,O,X,X
IZSLJOT,O,O,X,X,X,X,X,X,X
IZSLOTJ,O,O,X,X,X,X,O,O,X
IZSLOJT,O,O,X,X,X,X,X,O,X
IZSJTLO,O,O,O,X,X,X,X,X,X
IZSJTOL,O,O,O,X,X,X,X,O,X
IZSJLTO,O,O,X,X,X,X,X,X,X
IZSJLOT,O,O,X,X,X,X,X,X,X
IZSJOTL,X,O,O,X,X,O,X,O,X
IZSJOLT,O,O,X,X,X,O,X,O,X
IZSOTLJ,O,O,O,X,X,X,X,O,X
IZSOTJL,O,O,O,X,X,X,X,O,X
IZSOLTJ,O,O,X,X,X,X,X,O,X
IZSOLJT,O,O,X,X,X,X,X,O,X
IZSOJTL,X,O,O,X,X,O,X,O,X
IZSOJLT,O,O,X,X,X,O,X,O,X
IZOTLJS,X,X,O,X,X,X,X,X,X
IZOTLSJ,X,X,O,X,X,X,X,X,X
IZOTJLS,X,X,O,X,X,X,X,X,X
IZOTJSL,O,X,O,X,X,X,X,X,X
IZOTSLJ,O,X,O,X,X,X,X,O,X
IZOTSJL,O,X,O,X,X,X,X,O,X
IZOLTJS,X,X,O,X,X,X,X,X,X
IZOLTSJ,X,X,O,X,X,X,X,X,X
IZOLJTS,X,X,O,O,X,X,X,X,X
IZOLJST,X,O,X,O,X,X,X,X,X
IZOLSTJ,X,O,X,X,X,X,X,O,X
IZOLSJT,X,O,X,X,X,X,X,O,X
IZOJTLS,X,X,O,X,X,X,X,X,X
IZOJTSL,X,X,O,X,X,X,X,X,X
IZOJLTS,X,X,O,O,X,X,X,X,X
IZOJLST,X,O,X,O,X,X,X,X,X
IZOJSTL,X,O,O,X,X,O,X,O,X
IZOJSLT,O,O,X,X,X,O,X,O,X
IZOSTLJ,O,O,O,X,X,X,X,O,X
IZOSTJL,O,O,O,X,X,X,X,O,X
IZOSLTJ,O,O,X,X,X,X,X,O,X
IZOSLJT,O,O,X,X,X,X,X,O,X
IZOSJTL,X,O,O,X,X,O,X,O,X
IZOSJLT,O,O,X,X,X,O,X,O,X
IOTLJSZ,O,X,X,O,X,O,X,X,X
IOTLJZS,X,X,X,O,X,X,X,X,X
IOTLSJZ,O,X,X,O,X,O,X,X,X
IOTLSZJ,O,X,X,X,X,X,X,X,X
IOTLZJS,X,X,O,O,X,X,X,X,X
IOTLZSJ,X,X,O,X,X,X,X,X,X
IOTJLSZ,O,X,X,O,X,O,X,X,X
IOTJLZS,X,X,X,O,X,X,X,X,X
IOTJSLZ,O,X,X,O,X,O,X,X,X
IOTJSZL,O,X,X,X,X,O,X,X,X
IOTJZLS,X,X,O,O,X,X,X,X,X
IOTJZSL,O,X,O,X,X,O,X,X,X
IOTSLJZ,O,X,X,O,X,O,X,X,X
IOTSLZJ,O,X,X,X,X,X,X,X,X
IOTSJLZ,O,X,X,O,X,O,X,X,X
IOTSJZL,O,X,X,X,X,O,X,X,X
IOTSZLJ,O,X,O,X,X,X,X,O,X
IOTSZJL,O,X,O,X,X,O,X,O,X
IOTZLJS,X,X,O,O,X,X,X,X,X
IOTZLSJ,X,X,O,X,X,X,X,X,X
IOTZJLS,X,X,O,O,X,X,X,X,X
IOTZJSL,O,X,O,X,X,O,X,X,X
IOTZSLJ,O,X,O,X,X,X,X,O,X
IOTZSJL,O,X,O,X,X,O,X,O,X
IOLTJSZ,O,X,X,O,X,X,X,X,X
IOLTJZS,X,X,X,O,X,X,X,X,X
IOLTSJZ,O,X,X,O,X,X,X,X,X
IOLTSZJ,O,X,X,X,X,X,X,X,X
IOLTZJS,X,X,O,O,X,X,X,X,X
IOLTZSJ,X,X,O,X,X,X,X,X,X
IOLJTSZ,X,X,X,O,X,X,X,X,X
IOLJTZS,X,X,X,O,X,X,X,X,O
IOLJSTZ,O,X,X,O,X,O,X,X,X
IOLJSZT,O,X,X,O,X,O,X,X,O
IOLJZTS,X,X,X,O,X,X,X,X,O
IOLJZST,X,X,X,O,X,X,X,X,O
IOLSTJZ,O,X,X,X,X,X,X,X,X
IOLSTZJ,O,O,X,X,X,X,X,X,X
IOLSJTZ,O,X,X,O,X,O,X,X,X
IOLSJZT,O,X,X,O,X,O,X,X,X
IOLSZTJ,O,O,X,X,X,X,X,O,X
IOLSZJT,O,O,X,X,X,X,X,O,X
IOLZTJS,X,X,O,X,X,X,X,X,X
IOLZTSJ,X,X,O,X,X,X,X,X,X
IOLZJTS,X,X,O,O,X,X,X,X,X
IOLZJST,X,O,X,O,X,X,X,X,X
IOLZSTJ,X,O,X,X,X,X,X,O,X
IOLZSJT,X,O,X,X,X,X,X,O,X
IOJTLSZ,O,X,X,O,X,X,X,X,X
IOJTLZS,X,X,X,O,X,X,X,X,O
IOJTSLZ,O,X,X,X,X,O,X,X,X
IOJTSZL,O,X,X,X,X,O,X,X,X
IOJTZLS,X,X,O,X,X,X,X,X,X
IOJTZSL,O,X,O,X,X,X,X,X,X
IOJLTSZ,X,X,X,O,X,X,X,X,X
IOJLTZS,X,X,X,O,X,X,X,X,O
IOJLSTZ,O,X,X,O,X,O,X,X,X
IOJLSZT,O,X,X,O,X,O,X,X,O
IOJLZTS,X,X,X,O,X,X,X,X,O
IOJLZST,X,X,X,O,X,X,X,X,O
IOJSTLZ,O,X,X,X,X,O,X,X,X
IOJSTZL,O,X,X,X,X,O,X,X,X
IOJSLTZ,O,X,X,O,X,O,X,X,X
IOJSLZT,O,X,X,O,X,O,X,X,O
IOJSZTL,X,X,X,X,X,O,X,O,X
IOJSZLT,O,X,X,X,X,O,X,O,X
IOJZTLS,X,X,O,X,X,X,X,X,X
IOJZTSL,X,X,O,X,X,X,X,X,X
IOJZLTS,X,X,O,O,X,X,X,X,O
IOJZLST,X,X,X,O,X,X,X,X,O
IOJZSTL,X,X,O,X,X,O,X,O,X
IOJZSLT,O,X,X,X,X,O,X,O,X
IOSTLJZ,O,X,X,X,X,O,X,X,X
IOSTLZJ,O,O,X,X,X,X,X,X,X
IOSTJLZ,O,X,X,X,X,O,X,X,X
IOSTJZL,O,X,X,X,X,O,X,X,X
IOSTZLJ,O,O,O,X,X,X,X,O,X
IOSTZJL,O,O,O,X,X,O,X,O,X
IOSLTJZ,O,X,X,X,X,X,X,X,X
IOSLTZJ,O,O,X,X,X,X,X,X,X
IOSLJTZ,O,X,X,O,X,O,X,X,X
IOSLJZT,O,X,X,O,X,O,X,X,X
IOSLZTJ,O,O,X,X,X,X,X,O,X
IOSLZJT,O,O,X,X,X,X,X,O,X
IOSJTLZ,O,X,X,X,X,O,X,X,X
IOSJTZL,O,X,X,X,X,O,X,X,X
IOSJLTZ,O,X,X,O,X,O,X,X,X
IOSJLZT,O,X,X,O,X,O,X,X,X
IOSJZTL,X,X,X,X,X,O,X,O,X
IOSJZLT,O,X,X,X,X,O,X,O,X
IOSZTLJ,O,O,O,X,X,X,X,O,X
IOSZTJL,O,O,O,X,X,X,X,O,X
IOSZLTJ,O,O,X,X,X,X,X,O,X
IOSZLJT,O,O,X,X,X,X,X,O,X
IOSZJTL,X,O,O,X,X,O,X,O,X
IOSZJLT,O,O,X,X,X,O,X,O,X
IOZTLJS,X,X,O,X,X,X,X,X,X
IOZTLSJ,X,X,O,X,X,X,X,X,X
IOZTJLS,X,X,O,X,X,X,X,X,X
IOZTJSL,O,X,O,X,X,X,X,X,X
IOZTSLJ,O,X,O,X,X,X,X,O,X
IOZTSJL,O,X,O,X,X,X,X,O,X
IOZLTJS,X,X,O,X,X,X,X,X,X
IOZLTSJ,X,X,O,X,X,X,X,X,X
IOZLJTS,X,X,O,O,X,X,X,X,X
IOZLJST,X,O,X,O,X,X,X,X,X
IOZLSTJ,X,O,X,X,X,X,X,O,X
IOZLSJT,X,O,X,X,X,X,X,O,X
IOZJTLS,X,X,O,X,X,X,X,X,X
IOZJTSL,X,X,O,X,X,X,X,X,X
IOZJLTS,X,X,O,O,X,X,X,X,X
IOZJLST,X,O,X,O,X,X,X,X,X
IOZJSTL,X,O,O,X,X,O,X,O,X
IOZJSLT,O,O,X,X,X,O,X,O,X
IOZSTLJ,O,O,O,X,X,X,X,O,X
IOZSTJL,O,O,O,X,X,X,X,O,X
IOZSLTJ,O,O,X,X,X,X,X,O,X
IOZSLJT,O,O,X,X,X,X,X,O,X
IOZSJTL,X,O,O,X,X,O,X,O,X
IOZSJLT,O,O,X,X,X,O,X,O,X
LTIJSZO,O,X,X,X,X,X,X,X,X
LTIJSOZ,O,X,X,O,X,O,X,X,X
LTIJZSO,X,X,X,X,X,X,X,X,X
LTIJZOS,X,X,X,O,X,X,X,X,X
LTIJOSZ,O,X,X,O,X,O,X,X,X
LTIJOZS,X,X,X,O,X,X,X,X,O
LTISJZO,O,O,X,X,X,X,X,X,X
LTISJOZ,O,X,X,O,X,O,X,X,X
LTISZJO,O,O,X,X,X,X,O,X,X
LTISZOJ,O,O,X,X,X,X,O,X,X
LTISOJZ,O,X,X,O,X,O,X,X,X
LTISOZJ,O,O,X,X,X,X,X,X,X
LTIZJSO,X,O,O,X,X,X,O,X,X
LTIZJOS,X,X,O,O,X,X,X,X,X
LTIZSJO,X,O,O,X,X,X,O,X,X
LTIZSOJ,X,O,O,X,X,X,O,X,X
LTIZOJS,X,X,O,O,X,X,X,X,X
LTIZOSJ,X,X,O,X,X,X,O,X,X
LTIOJSZ,O,X,X,O,X,O,X,X,X
LTIOJZS,X,X,X,O,X,X,X,X,X
LTIOSJZ,O,X,X,O,X,O,X,X,X
LTIOSZJ,O,X,X,X,X,X,X,X,X
LTIOZJS,X,X,O,O,X,X,X,X,X
LTIOZSJ,X,X,O,X,X,X,X,X,X
LTJISZO,O,X,X,X,X,X,X,X,X
LTJISOZ,O,X,X,O,X,X,X,X,X
LTJIZSO,X,X,X,X,X,X,X,X,X
LTJIZOS,X,X,X,O,X,X,X,X,X
LTJIOSZ,O,X,X,O,X,X,X,X,X
LTJIOZS,X,X,X,O,X,X,X,X,O
LTJSIZO,O,X,X,X,X,X,X,X,X
LTJSIOZ,O,X,X,X,X,X,X,X,X
LTJSZIO,O,X,X,X,X,X,O,X,X
LTJSZOI,O,X,X,X,X,X,O,X,X
LTJSOIZ,O,X,X,X,X,X,X,X,X
LTJSOZI,O,X,X,X,X,X,X,X,X
LTJZISO,X,X,X,X,O,X,O,X,X
LTJZIOS,X,X,X,X,O,X,X,X,X
LTJZSIO,X,X,X,X,O,X,O,X,X
LTJZSOI,X,X,X,X,O,X,O,X,X
LTJZOIS,X,X,X,X,O,X,X,X,X
LTJZOSI,X,X,X,X,O,X,X,X,X
LTJOISZ,O,X,X,O,X,X,X,X,X
LTJOIZS,X,X,X,O,X,X,X,X,O
LTJOSIZ,O,X,X,X,X,X,X,X,X
LTJOSZI,O,X,X,X,X,X,X,X,X
LTJOZIS,X,X,X,X,O,X,X,X,X
LTJOZSI,X,X,X,X,O,X,X,X,X
LTSIJZO,O,O,X,X,X,X,X,X,X
LTSIJOZ,O,X,X,O,X,O,X,X,X
LTSIZJO,O,O,X,X,X,X,O,X,X
LTSIZOJ,O,O,X,X,X,X,O,X,X
LTSIOJZ,O,X,X,O,X,O,X,X,X
LTSIOZJ,O,O,X,X,X,X,X,X,X
LTSJIZO,O,O,X,X,X,X,X,X,X
LTSJIOZ,O,X,X,X,X,O,X,X,X
LTSJZIO,O,O,X,X,X,X,O,X,X
LTSJZOI,O,O,X,X,X,X,O,X,X
LTSJOIZ,O,X,X,X,X,X,X,X,X
LTSJOZI,O,X,X,X,X,X,X,X,X
LTSZIJO,O,O,X,X,X,X,O,X,X
LTSZIOJ,O,O,X,X,X,X,O,X,X
LTSZJIO,O,O,X,X,X,X,O,X,X
LTSZJOI,O,O,X,X,X,X,O,X,X
LTSZOIJ,O,O,X,X,X,X,O,X,X
LTSZOJI,O,O,X,X,X,X,O,X,X
LTSOIJZ,O,X,X,O,X,O,X,X,X
LTSOIZJ,O,O,X,X,X,X,X,X,X
LTSOJIZ,O,X,X,X,X,X,X,X,X
LTSOJZI,O,X,X,X,X,X,X,X,X
LTSOZIJ,O,O,X,X,X,X,O,X,X
LTSOZJI,O,O,X,X,X,X,O,X,X
LTZIJSO,X,O,O,X,O,X,O,X,X
LTZIJOS,X,X,O,O,O,X,X,X,X
LTZISJO,X,O,O,X,O,X,O,X,X
LTZISOJ,X,O,O,X,X,X,O,X,X
