sequence,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFzaBaiB?FhB0lB+rB3qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFahBzcB?FgBfrBurBUqB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFzaBUcB?aiB1lB+rB3qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFzaBaiB?llBcrBGrB3qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFGbByhB?UgBlmB3qBTrB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFCbBmcB?TgB0hB/rB1vB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFGbB/hB?aiBllBTrBUqB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFahBFgB?zhBfrBurBUqB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFGbByhB?llB3mBUqBTrB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFmcB0hB?llBTrBfqB6qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFfgBlbB?8lBzhBurByvB
TJISLOZ,O,O,O,X,X,X,X,O,X,X,X
TJISZLO,X,O,O,X,O,O,X,X,O,X,X
TJISZOL,X,O,O,X,O,O,X,X,O,X,X
TJISOLZ,O,O,O,X,X,O,X,O,X,X,X
TJISOZL,X,O,O,X,X,O,X,X,X,X,X
TJIZLSO,O,X,O,X,X,X,X,X,X,X,X
TJIZLOS,O,X,O,X,X,X,X,X,X,X,X
TJIZSLO,O,X,O,X,O,X,X,X,X,X,X
TJIZSOL,O,X,O,X,O,X,X,X,X,X,X
TJIZOLS,O,X,O,X,X,X,X,X,X,X,X
TJIZOSL,O,X,O,X,X,X,X,X,X,X,X
TJIOLSZ,O,X,O,X,X,O,X,X,X,X,X
TJIOLZS,O,X,O,O,X,X,X,X,X,X,X
TJIOSLZ,O,O,O,X,X,O,X,X,X,X,X
TJIOSZL,X,O,O,X,X,O,X,X,X,X,X
TJIOZLS,O,X,O,X,X,X,X,X,X,X,X
TJIOZSL,O,X,O,X,X,X,X,X,X,X,X
TJLISZO,X,X,O,X,O,O,X,X,X,X,X
TJLISOZ,O,X,O,X,X,X,X,X,X,X,X
TJLIZSO,O,X,O,O,X,X,X,X,X,X,X
TJLIZOS,O,X,O,O,X,X,X,X,X,X,X
TJLIOSZ,O,X,O,X,X,O,X,X,X,X,X
TJLIOZS,O,X,O,O,X,X,X,X,X,X,X
TJLSIZO,X,X,O,X,O,O,X,X,X,X,X
TJLSIOZ,O,X,O,X,X,X,X,X,X,X,X
TJLSZIO,X,X,O,X,O,O,X,X,X,X,X
TJLSZOI,X,X,O,X,O,O,X,X,X,X,X
TJLSOIZ,O,X,O,X,X,X,X,X,X,X,X
TJLSOZI,X,X,O,X,X,X,X,X,X,X,X
TJLZISO,O,X,O,O,X,X,X,X,X,X,X
TJLZIOS,O,X,O,O,X,X,X,X,X,X,X
