sequence,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFidB+jB?ZkBThB3iBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFOiBXeB?ZkBThBSoBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFXdB6jB?ZkB2mBziBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFTeBZkB?/mBFiBCoBOsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Jex9IvhFifB/mB?FiBTjBcsBOpB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFTeBZkB?ihBWoBXiBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFViBZkB?/mBTjBOsBCtB
TJLZSIO,O,O,O,X,X,X,X
TJLZSOI,O,O,O,X,X,X,X
TJLZOIS,X,X,O,X,X,O,X
TJLZOSI,O,O,O,X,X,X,X
TJLOISZ,O,O,O,X,X,O,X
TJLOIZS,O,O,O,X,X,O,X
TJLOSIZ,O,O,O,X,X,O,X
TJLOSZI,O,O,O,X,X,X,X
TJLOZIS,X,X,O,X,X,O,X
TJLOZSI,O,O,O,X,X,X,X
TJSILZO,O,O,O,X,X,O,X
TJSILOZ,O,O,O,X,X,O,X
TJSIZLO,O,O,O,X,X,O,X
TJSIZOL,O,X,O,X,X,O,X
TJSIOLZ,O,X,O,X,X,O,X
TJSIOZL,O,X,O,X,X,O,X
TJSLIZO,O,O,O,X,X,O,X
TJSLIOZ,O,O,O,X,X,O,X
TJSLZIO,O,O,O,X,X,X,X
TJSLZOI,O,O,O,X,X,X,X
TJSLOIZ,O,O,O,X,X,O,X
TJSLOZI,O,O,O,X,X,X,X
TJSZILO,O,X,O,X,X,X,X
TJSZIOL,O,X,O,X,X,X,X
TJSZLIO,O,O,O,X,X,X,X
TJSZLOI,O,O,O,X,X,X,X
TJSZOIL,O,X,O,X,X,X,X
TJSZOLI,O,X,O,X,X,X,X
TJSOILZ,O,X,O,X,X,O,X
TJSOIZL,O,X,O,X,X,O,X
TJSOLIZ,O,X,O,X,X,O,X
TJSOLZI,O,X,O,X,X,X,X
TJSOZIL,O,X,O,X,X,X,X
TJSOZLI,O,X,O,X,X,X,X
TJZILSO,O,O,O,X,X,O,X
TJZILOS,O,O,O,X,X,O,X
