sequence,v115@DhD8FeF8EeF8AeF8JeO/IvhFXbBTcBxdBSlB0mBlqB,v115@DhD8FeF8EeF8AeF8JeK/IvhFzaBGcBxdB3gB0mBlqB,v115@DhD8FeF8EeF8AeF8JeO/IvhFXcBxdBzfBqmB0gBlqB,v115@DhD8FeF8EeF8AeF8JeO/IvhF0bBxdBzfBqmBXhBlqB,v115@DhD8FeF8EeF8AeF8Jem6IvhFShBxdBTfB3gB0mBlqB,v115@DhD8FeF8EeF8AeF8JeO/IvhF8fBxdBzgBqmB/qBFrB,v115@DhD8FeF8EeF8AeF8JeT6IvhF/gBFcBxdBqmBmkB8qB,v115@DhD8FeF8EeF8AeF8JeO/IvhFXbBxdBSlBThB0mBlqB,v115@DhD8FeF8EeF8AeF8JeO/IvhFTcBxdBCgB0gB/qB1wB,v115@DhD8FeF8EeF8AeF8Jei6IvhFchBxdB3fBTlB1rBuqB,v115@DhD8FeF8EeF8AeF8Jem6IvhFCcBxdBTfB/qBFrB0rB
ILJZSTO,O,O,X,X,X,O,O,O,X,X,X
ILJZSOT,O,O,X,X,X,O,O,X,X,X,X
ILJZOTS,O,O,O,O,X,X,O,X,X,X,X
ILJZOST,O,O,O,O,X,O,O,X,X,X,X
ILJOTSZ,O,O,O,O,X,X,X,O,O,X,X
ILJOTZS,O,X,O,O,X,X,O,O,O,X,X
ILJOSTZ,O,X,O,O,X,X,X,O,X,X,X
ILJOSZT,O,X,O,O,X,X,O,X,X,X,X
ILJOZTS,O,O,O,O,X,X,O,X,X,X,X
ILJOZST,O,O,O,O,X,O,O,X,X,X,X
ILSTJZO,O,O,X,X,X,X,X,O,X,X,O
ILSTJOZ,O,O,O,O,X,X,X,O,O,X,O
ILSTZJO,O,O,X,X,X,O,O,O,X,X,O
ILSTZOJ,O,O,O,X,X,O,O,O,X,X,O
ILSTOJZ,O,O,O,O,X,X,X,O,O,O,O
ILSTOZJ,O,O,O,O,X,O,X,O,X,O,O
ILSJTZO,O,X,X,X,X,X,X,O,X,X,O
ILSJTOZ,O,X,O,O,X,X,X,O,O,X,O
ILSJZTO,O,X,X,X,X,O,O,O,X,X,X
ILSJZOT,O,X,X,X,X,O,O,X,X,X,X
ILSJOTZ,O,X,O,O,X,X,X,O,X,O,X
ILSJOZT,O,X,O,O,X,O,O,X,X,X,X
ILSZTJO,O,O,X,X,X,O,O,O,X,X,X
ILSZTOJ,O,O,O,X,X,O,O,O,X,X,X
ILSZJTO,O,O,X,X,X,O,O,O,X,X,X
ILSZJOT,O,O,X,X,X,O,O,X,X,X,X
ILSZOTJ,O,O,X,X,X,O,O,X,X,O,X
ILSZOJT,O,O,O,X,X,O,O,X,X,X,X
ILSOTJZ,O,O,O,O,X,X,X,O,X,O,O
ILSOTZJ,O,O,O,O,X,O,X,O,X,O,O
ILSOJTZ,O,X,O,O,X,X,X,O,X,O,O
ILSOJZT,O,X,O,O,X,O,X,X,X,X,X
ILSOZTJ,O,X,X,X,X,O,X,X,X,O,X
ILSOZJT,O,O,O,O,X,O,X,X,X,X,X
ILZTJSO,O,O,X,X,X,O,O,O,X,X,X
ILZTJOS,O,O,O,O,O,X,O,O,O,X,X
ILZTSJO,O,O,X,X,X,O,O,O,X,X,X
ILZTSOJ,O,O,O,X,O,O,O,O,X,X,X
ILZTOJS,O,O,O,O,O,X,X,O,O,X,X
ILZTOSJ,O,O,O,O,O,X,O,O,X,X,X
ILZJTSO,O,O,X,X,X,O,O,O,X,X,X
ILZJTOS,O,O,O,O,X,X,O,O,O,X,X
ILZJSTO,O,O,X,X,X,O,O,O,X,X,X
ILZJSOT,O,O,X,X,X,O,O,X,X,X,X
ILZJOTS,O,O,O,O,O,X,O,X,X,X,X
ILZJOST,O,O,O,O,O,O,O,X,X,X,X
ILZSTJO,O,O,X,X,X,O,O,O,X,X,X
ILZSTOJ,O,O,O,X,X,O,O,O,X,X,X
ILZSJTO,O,O,X,X,X,O,O,O,X,X,X
ILZSJOT,O,O,X,X,X,O,O,X,X,X,X
ILZSOTJ,O,O,X,X,X,O,O,X,X,X,X
ILZSOJT,O,O,O,X,O,O,O,X,X,X,X
ILZOTJS,O,O,O,O,O,X,X,X,X,X,X
ILZOTSJ,O,O,O,O,O,X,O,X,X,X,X
ILZOJTS,O,O,O,O,O,X,O,X,X,X,X
ILZOJST,O,O,O,O,O,O,O,X,X,X,X
ILZOSTJ,O,O,X,X,X,O,O,X,X,X,X
ILZOSJT,O,O,O,O,O,O,O,X,X,X,X
ILOTJSZ,O,O,O,O,X,X,X,O,O,X,X
ILOTJZS,O,X,O,O,X,X,X,O,O,X,X
ILOTSJZ,O,O,O,O,X,X,X,O,O,O,X
ILOTSZJ,O,O,O,O,X,X,X,O,X,O,X
ILOTZJS,O,O,O,O,X,X,X,O,O,X,X
ILOTZSJ,O,O,O,O,X,X,O,O,X,O,X
ILOJTSZ,O,O,O,O,X,X,X,O,O,X,X
ILOJTZS,O,X,O,O,X,X,O,O,O,X,X
ILOJSTZ,O,X,O,O,X,X,X,O,X,X,O
ILOJSZT,O,X,O,O,X,X,O,X,X,X,X
ILOJZTS,O,O,O,O,O,X,O,X,X,X,X
ILOJZST,O,O,O,O,O,O,O,X,X,X,X
ILOSTJZ,O,O,O,O,X,X,X,O,X,O,O
ILOSTZJ,O,O,O,O,X,O,X,O,X,O,O
ILOSJTZ,O,X,O,O,X,X,X,O,X,O,O
ILOSJZT,O,X,O,O,X,O,X,X,X,X,X
ILOSZTJ,O,X,X,X,X,O,X,X,X,O,X
ILOSZJT,O,O,O,O,X,O,X,X,X,X,X
ILOZTJS,O,O,O,O,O,X,X,X,X,X,X
ILOZTSJ,O,O,O,O,O,X,O,X,X,X,X
ILOZJTS,O,O,O,O,O,X,O,X,X,X,X
ILOZJST,O,O,O,O,O,O,O,X,X,X,X
ILOZSTJ,O,O,X,X,X,O,O,X,X,X,X
ILOZSJT,O,O,O,O,O,O,O,X,X,X,X
IJTLSZO,O,O,X,X,X,X,X,O,O,X,X
IJTLSOZ,O,O,O,O,X,X,X,O,O,X,X
IJTLZSO,O,X,X,X,X,O,O,O,X,X,X
IJTLZOS,O,X,O,O,X,X,O,O,O,X,X
IJTLOSZ,O,O,O,O,X,X,X,O,O,X,X
IJTLOZS,O,X,O,O,X,X,O,O,O,X,X
IJTSLZO,O,O,X,X,X,X,X,O,O,X,X
IJTSLOZ,O,O,O,O,X,X,X,O,O,X,X
IJTSZLO,X,O,X,X,X,X,X,X,O,X,X
IJTSZOL,X,X,X,X,X,X,X,X,O,X,X
IJTSOLZ,X,O,O,O,X,X,X,O,O,X,X
IJTSOZL,X,X,X,X,X,X,X,X,O,X,X
IJTZLSO,O,X,X,X,X,O,O,O,X,X,X
IJTZLOS,O,X,O,O,X,X,O,O,O,X,X
IJTZSLO,O,X,X,X,X,O,O,X,O,X,X
IJTZSOL,O,X,X,X,X,X,O,X,O,X,X
IJTZOLS,O,X,O,O,X,X,O,O,O,X,X
IJTZOSL,O,X,X,X,X,X,O,X,O,O,X
IJTOLSZ,O,X,O,O,X,X,X,O,O,X,X
IJTOLZS,O,X,O,O,X,X,O,O,O,X,X
IJTOSLZ,X,X,O,O,X,X,X,O,O,O,X
IJTOSZL,X,X,X,X,X,X,X,X,O,O,X
IJTOZLS,X,X,O,O,X,X,O,O,O,X,X
IJTOZSL,X,X,X,X,X,X,O,X,O,O,X
IJLTSZO,O,O,X,X,X,X,X,O,O,X,X
IJLTSOZ,O,O,O,O,X,X,X,O,O,X,X
IJLTZSO,O,X,X,X,X,O,O,O,X,X,X
IJLTZOS,O,X,O,O,X,X,O,O,O,X,X
IJLTOSZ,O,O,O,O,X,X,X,O,O,X,X
IJLTOZS,O,X,O,O,X,X,O,O,O,X,X
IJLSTZO,O,X,X,X,X,X,X,O,X,X,X
IJLSTOZ,O,X,O,O,X,X,X,O,O,X,X
IJLSZTO,O,X,X,X,X,O,O,O,X,X,X
IJLSZOT,O,X,X,X,X,O,O,X,X,X,X
IJLSOTZ,O,X,O,O,X,X,X,O,X,X,X
IJLSOZT,O,X,O,O,X,O,O,X,X,X,X
IJLZTSO,O,O,X,X,X,O,O,O,X,X,X
IJLZTOS,O,O,O,O,X,X,O,O,O,X,X
IJLZSTO,O,O,X,X,X,O,O,O,X,X,X
IJLZSOT,O,O,X,X,X,O,O,X,X,X,X
IJLZOTS,O,O,O,O,X,X,O,X,X,X,X
IJLZOST,O,O,O,O,X,O,O,X,X,X,X
IJLOTSZ,O,O,O,O,X,X,X,O,O,X,X
IJLOTZS,O,X,O,O,X,X,O,O,O,X,X
IJLOSTZ,O,X,O,O,X,X,X,O,X,X,X
IJLOSZT,O,X,O,O,X,X,O,X,X,X,X
IJLOZTS,O,O,O,O,X,X,O,X,X,X,X
IJLOZST,O,O,O,O,X,O,O,X,X,X,X
IJSTLZO,O,X,X,X,X,X,X,O,O,X,O
IJSTLOZ,O,X,O,O,X,X,X,O,O,X,O
IJSTZLO,X,X,X,X,X,X,X,X,O,X,O
IJSTZOL,X,X,X,X,X,X,X,X,O,X,X
IJSTOLZ,X,X,O,O,X,X,X,O,O,X,O
IJSTOZL,X,X,X,X,X,X,X,X,O,X,O
IJSLTZO,O,X,X,X,X,X,X,O,X,X,O
IJSLTOZ,O,X,O,O,X,X,X,O,O,X,O
IJSLZTO,O,X,X,X,X,O,O,O,X,X,X
IJSLZOT,O,X,X,X,X,O,O,X,X,X,X
IJSLOTZ,O,X,O,O,X,X,X,O,X,O,X
IJSLOZT,O,X,O,O,X,O,O,X,X,X,X
IJSZTLO,O,X,X,X,X,O,O,X,X,X,O
IJSZTOL,O,X,X,X,X,X,O,X,X,X,X
IJSZLTO,O,X,X,X,X,O,O,X,X,X,X
IJSZLOT,O,X,X,X,X,O,O,X,X,X,X
IJSZOTL,O,X,X,X,X,X,O,X,X,X,X
IJSZOLT,O,X,X,X,X,O,O,X,X,X,X
IJSOTLZ,X,X,O,O,X,X,X,X,X,O,O
IJSOTZL,X,X,X,X,X,X,X,X,X,O,O
IJSOLTZ,X,X,O,O,X,X,X,X,X,O,O
IJSOLZT,X,X,O,O,X,X,O,X,X,X,X
IJSOZTL,X,X,X,X,X,X,O,X,X,X,O
IJSOZLT,X,X,X,X,X,X,O,X,X,X,X
IJZTLSO,O,O,X,X,X,O,O,O,X,X,X
IJZTLOS,O,O,O,O,O,X,O,O,O,X,X
IJZTSLO,O,O,X,X,X,O,O,X,O,X,X
IJZTSOL,O,O,X,X,X,X,O,X,O,X,X
IJZTOLS,O,O,O,O,O,X,O,O,O,X,X
IJZTOSL,O,O,X,X,O,X,O,X,O,X,X
IJZLTSO,O,O,X,X,X,O,O,O,X,X,X
IJZLTOS,O,O,O,O,X,X,O,O,O,X,X
IJZLSTO,O,O,X,X,X,O,O,O,X,X,X
IJZLSOT,O,O,X,X,X,O,O,X,X,X,X
IJZLOTS,O,O,O,O,O,X,O,X,X,X,X
IJZLOST,O,O,O,O,O,O,O,X,X,X,X
IJZSTLO,O,O,X,X,X,O,O,X,X,X,X
IJZSTOL,O,O,X,X,X,X,O,X,X,X,X
IJZSLTO,O,O,X,X,X,O,O,X,X,X,X
IJZSLOT,O,O,X,X,X,O,O,X,X,X,X
IJZSOTL,O,X,X,X,X,X,O,X,X,X,X
IJZSOLT,O,O,X,X,X,O,O,X,X,X,X
IJZOTLS,O,O,O,O,O,X,O,X,X,X,X
IJZOTSL,O,O,X,X,O,X,O,X,X,X,X
IJZOLTS,O,O,O,O,O,X,O,X,X,X,X
IJZOLST,O,O,O,O,O,O,O,X,X,X,X
IJZOSTL,O,X,X,X,X,X,O,X,X,X,X
IJZOSLT,O,O,X,X,O,O,O,X,X,X,X
IJOTLSZ,O,X,O,O,X,X,X,O,O,X,X
IJOTLZS,O,X,O,O,X,X,O,O,O,X,X
IJOTSLZ,X,X,O,O,X,X,X,O,O,O,O
IJOTSZL,X,X,X,X,X,X,X,X,O,O,O
IJOTZLS,X,X,O,O,O,X,O,O,O,X,X
IJOTZSL,X,X,X,X,X,X,O,X,O,O,X
IJOLTSZ,O,X,O,O,X,X,X,O,O,X,X
IJOLTZS,O,X,O,O,X,X,O,O,O,X,X
IJOLSTZ,O,X,O,O,X,X,X,O,X,X,O
IJOLSZT,O,X,O,O,X,X,O,X,X,X,X
IJOLZTS,O,X,O,O,O,X,O,X,X,X,X
IJOLZST,O,X,O,O,O,O,O,X,X,X,X
IJOSTLZ,X,X,O,O,X,X,X,X,X,O,O
IJOSTZL,X,X,X,X,X,X,X,X,X,O,O
IJOSLTZ,X,X,O,O,X,X,X,X,X,O,O
IJOSLZT,X,X,O,O,X,X,O,X,X,X,X
IJOSZTL,X,X,X,X,X,X,O,X,X,X,O
IJOSZLT,X,X,X,X,O,X,O,X,X,X,X
IJOZTLS,O,X,O,O,O,X,O,X,X,X,X
IJOZTSL,O,X,X,X,O,X,O,X,X,X,X
IJOZLTS,O,X,O,O,O,X,O,X,X,X,X
IJOZLST,O,X,O,O,O,O,O,X,X,X,X
IJOZSTL,O,X,X,X,X,X,O,X,X,X,O
IJOZSLT,O,X,X,X,O,O,O,X,X,X,X
ISTLJZO,O,O,X,X,X,X,X,O,O,X,O
ISTLJOZ,O,O,O,O,X,X,X,O,O,X,O
ISTLZJO,O,O,X,X,X,O,X,O,O,X,O
ISTLZOJ,O,O,O,X,X,O,X,O,O,X,O
ISTLOJZ,O,O,O,O,X,X,X,O,O,O,O
ISTLOZJ,O,O,O,O,X,O,X,O,O,O,O
ISTJLZO,O,O,X,X,X,X,X,O,O,X,O
ISTJLOZ,O,O,O,O,X,X,X,O,O,X,O
ISTJZLO,X,O,X,X,X,X,X,X,O,X,O
ISTJZOL,X,X,X,X,X,X,X,X,O,X,X
ISTJOLZ,X,O,O,O,X,X,X,O,O,X,O
ISTJOZL,X,X,X,X,X,X,X,X,O,X,O
ISTZLJO,X,O,X,X,X,O,X,X,O,X,O
ISTZLOJ,X,O,X,X,X,O,X,X,O,X,O
ISTZJLO,X,O,X,X,X,O,X,X,O,X,O
ISTZJOL,X,X,X,X,X,X,X,X,O,X,X
ISTZOLJ,X,X,X,X,X,X,X,X,O,O,O
ISTZOJL,X,X,X,X,X,X,X,X,O,O,O
ISTOLJZ,X,O,O,O,X,X,X,O,O,O,O
ISTOLZJ,X,O,O,O,X,X,X,O,O,O,O
ISTOJLZ,X,O,O,O,X,X,X,O,O,O,O
ISTOJZL,X,X,X,X,X,X,X,X,O,O,O
ISTOZLJ,X,X,X,X,X,X,X,X,O,O,O
ISTOZJL,X,X,X,X,X,X,X,X,O,O,O
ISLTJZO,O,O,X,X,X,X,X,O,X,X,O
ISLTJOZ,O,O,O,O,X,X,X,O,O,X,O
ISLTZJO,O,O,X,X,X,O,O,O,X,X,O
ISLTZOJ,O,O,O,X,X,O,O,O,X,X,O
ISLTOJZ,O,O,O,O,X,X,X,O,O,O,O
ISLTOZJ,O,O,O,O,X,O,X,O,X,O,O
ISLJTZO,O,X,X,X,X,X,X,O,X,X,O
ISLJTOZ,O,X,O,O,X,X,X,O,O,X,O
ISLJZTO,O,X,X,X,X,O,O,O,X,X,X
ISLJZOT,O,X,X,X,X,O,O,X,X,X,X
ISLJOTZ,O,X,O,O,X,X,X,O,X,O,X
ISLJOZT,O,X,O,O,X,O,O,X,X,X,X
ISLZTJO,O,O,X,X,X,O,O,O,X,X,X
ISLZTOJ,O,O,O,X,X,O,O,O,X,X,X
ISLZJTO,O,O,X,X,X,O,O,O,X,X,X
ISLZJOT,O,O,X,X,X,O,O,X,X,X,X
ISLZOTJ,O,O,X,X,X,O,O,X,X,O,X
ISLZOJT,O,O,O,X,X,O,O,X,X,X,X
ISLOTJZ,O,O,O,O,X,X,X,O,X,O,O
ISLOTZJ,O,O,O,O,X,O,X,O,X,O,O
ISLOJTZ,O,X,O,O,X,X,X,O,X,O,O
ISLOJZT,O,X,O,O,X,O,X,X,X,X,X
ISLOZTJ,O,X,X,X,X,O,X,X,X,O,X
ISLOZJT,O,O,O,O,X,O,X,X,X,X,X
ISJTLZO,O,X,X,X,X,X,X,O,O,X,O
ISJTLOZ,O,X,O,O,X,X,X,O,O,X,O
ISJTZLO,X,X,X,X,X,X,X,X,O,X,O
ISJTZOL,X,X,X,X,X,X,X,X,O,X,X
ISJTOLZ,X,X,O,O,X,X,X,O,O,X,O
ISJTOZL,X,X,X,X,X,X,X,X,O,X,O
ISJLTZO,O,X,X,X,X,X,X,O,X,X,O
ISJLTOZ,O,X,O,O,X,X,X,O,O,X,O
ISJLZTO,O,X,X,X,X,O,O,O,X,X,X
ISJLZOT,O,X,X,X,X,O,O,X,X,X,X
ISJLOTZ,O,X,O,O,X,X,X,O,X,O,X
ISJLOZT,O,X,O,O,X,O,O,X,X,X,X
ISJZTLO,O,X,X,X,X,O,O,X,X,X,O
ISJZTOL,O,X,X,X,X,X,O,X,X,X,X
ISJZLTO,O,X,X,X,X,O,O,X,X,X,X
ISJZLOT,O,X,X,X,X,O,O,X,X,X,X
ISJZOTL,O,X,X,X,X,X,O,X,X,X,X
ISJZOLT,O,X,X,X,X,O,O,X,X,X,X
ISJOTLZ,X,X,O,O,X,X,X,X,X,O,O
ISJOTZL,X,X,X,X,X,X,X,X,X,O,O
ISJOLTZ,X,X,O,O,X,X,X,X,X,O,O
ISJOLZT,X,X,O,O,X,X,O,X,X,X,X
ISJOZTL,X,X,X,X,X,X,O,X,X,X,O
ISJOZLT,X,X,X,X,X,X,O,X,X,X,X
ISZTLJO,O,O,X,X,X,O,O,X,X,X,O
ISZTLOJ,O,O,X,X,O,O,O,X,X,X,O
ISZTJLO,O,O,X,X,X,O,O,X,X,X,O
ISZTJOL,O,O,X,X,X,X,O,X,X,X,X
ISZTOLJ,O,O,X,X,O,X,X,X,X,X,O
ISZTOJL,O,O,X,X,O,X,X,X,X,X,O
ISZLTJO,O,O,X,X,X,O,O,X,X,X,X
ISZLTOJ,O,O,X,X,X,O,O,X,X,X,X
ISZLJTO,O,O,X,X,X,O,O,X,X,X,X
ISZLJOT,O,O,X,X,X,O,O,X,X,X,X
ISZLOTJ,O,O,X,X,X,O,O,X,X,O,X
ISZLOJT,O,O,X,X,O,O,O,X,X,X,X
ISZJTLO,O,O,X,X,X,O,O,X,X,X,O
ISZJTOL,O,O,X,X,X,X,O,X,X,X,X
ISZJLTO,O,O,X,X,X,O,O,X,X,X,X
ISZJLOT,O,O,X,X,X,O,O,X,X,X,X
ISZJOTL,O,X,X,X,X,X,O,X,X,X,X
ISZJOLT,O,O,X,X,X,O,O,X,X,X,X
ISZOTLJ,O,X,X,X,O,X,X,X,X,O,O
ISZOTJL,O,X,X,X,O,X,X,X,X,O,O
ISZOLTJ,O,O,X,X,X,O,O,X,X,O,X
ISZOLJT,O,O,X,X,O,O,O,X,X,X,X
ISZOJTL,O,X,X,X,X,X,O,X,X,X,O
ISZOJLT,O,O,X,X,O,O,O,X,X,X,X
ISOTLJZ,X,X,O,O,X,X,X,X,X,O,O
ISOTLZJ,X,X,O,O,X,X,X,X,X,O,O
ISOTJLZ,X,X,O,O,X,X,X,X,X,O,O
ISOTJZL,X,X,X,X,X,X,X,X,X,O,O
ISOTZLJ,X,X,X,X,X,X,X,X,X,O,O
ISOTZJL,X,X,X,X,X,X,X,X,X,O,O
ISOLTJZ,X,X,O,O,X,X,X,X,X,O,O
ISOLTZJ,X,X,O,O,X,O,X,X,X,O,O
ISOLJTZ,X,X,O,O,X,X,X,X,X,O,O
ISOLJZT,X,X,O,O,X,O,X,X,X,X,X
ISOLZTJ,X,X,X,X,X,O,X,X,X,O,X
ISOLZJT,X,X,O,O,X,O,X,X,X,X,X
ISOJTLZ,X,X,O,O,X,X,X,X,X,O,O
ISOJTZL,X,X,X,X,X,X,X,X,X,O,O
ISOJLTZ,X,X,O,O,X,X,X,X,X,O,O
ISOJLZT,X,X,O,O,X,X,X,X,X,X,X
ISOJZTL,X,X,X,X,X,X,X,X,X,X,O
ISOJZLT,X,X,X,X,O,X,X,X,X,X,X
ISOZTLJ,X,X,X,X,O,X,X,X,X,O,O
ISOZTJL,X,X,X,X,O,X,X,X,X,O,O
ISOZLTJ,X,X,X,X,X,O,X,X,X,O,X
ISOZLJT,X,X,X,X,O,O,X,X,X,X,X
ISOZJTL,X,X,X,X,X,X,X,X,X,X,O
ISOZJLT,X,X,X,X,O,O,X,X,X,X,X
IZTLJSO,O,O,X,X,X,O,O,O,X,X,X
IZTLJOS,O,O,O,O,O,X,O,O,O,X,X
IZTLSJO,O,O,X,X,X,O,O,O,X,X,X
IZTLSOJ,O,O,O,X,O,O,O,O,X,X,X
IZTLOJS,O,O,O,O,O,X,X,O,O,X,X
IZTLOSJ,O,O,O,O,O,X,O,O,X,O,X
IZTJLSO,O,O,X,X,X,O,O,O,X,X,X
IZTJLOS,O,O,O,O,O,X,O,O,O,X,X
IZTJSLO,O,O,X,X,X,O,O,X,O,X,X
IZTJSOL,O,O,X,X,X,X,O,X,O,X,X
IZTJOLS,O,O,O,O,O,X,O,O,O,X,X
IZTJOSL,O,O,X,X,O,X,O,X,O,O,X
IZTSLJO,O,O,X,X,X,O,O,X,O,X,X
IZTSLOJ,O,O,X,X,O,O,O,X,O,X,X
IZTSJLO,O,O,X,X,X,O,O,X,O,X,X
IZTSJOL,O,O,X,X,X,X,O,X,O,X,X
IZTSOLJ,O,O,X,X,O,X,X,X,O,O,X
IZTSOJL,O,O,X,X,O,X,X,X,O,O,X
IZTOLJS,O,O,O,O,O,X,X,O,O,X,X
IZTOLSJ,O,O,O,O,O,X,X,O,X,O,X
IZTOJLS,O,O,O,O,O,X,X,O,O,X,X
IZTOJSL,O,O,X,X,O,X,X,X,O,O,X
IZTOSLJ,O,O,X,X,O,X,X,X,O,O,X
IZTOSJL,O,O,X,X,O,X,X,X,O,O,X
IZLTJSO,O,O,X,X,X,O,O,O,X,X,X
IZLTJOS,O,O,O,O,O,X,O,O,O,X,X
IZLTSJO,O,O,X,X,X,O,O,O,X,X,X
IZLTSOJ,O,O,O,X,O,O,O,O,X,X,X
IZLTOJS,O,O,O,O,O,X,X,O,O,X,X
IZLTOSJ,O,O,O,O,O,X,O,O,X,X,X
IZLJTSO,O,O,X,X,X,O,O,O,X,X,X
IZLJTOS,O,O,O,O,X,X,O,O,O,X,X
IZLJSTO,O,O,X,X,X,O,O,O,X,X,X
IZLJSOT,O,O,X,X,X,O,O,X,X,X,X
IZLJOTS,O,O,O,O,O,X,O,X,X,X,X
IZLJOST,O,O,O,O,O,O,O,X,X,X,X
IZLSTJO,O,O,X,X,X,O,O,O,X,X,X
IZLSTOJ,O,O,O,X,X,O,O,O,X,X,X
IZLSJTO,O,O,X,X,X,O,O,O,X,X,X
IZLSJOT,O,O,X,X,X,O,O,X,X,X,X
IZLSOTJ,O,O,X,X,X,O,O,X,X,X,X
IZLSOJT,O,O,O,X,O,O,O,X,X,X,X
IZLOTJS,O,O,O,O,O,X,X,X,X,X,X
IZLOTSJ,O,O,O,O,O,X,O,X,X,X,X
IZLOJTS,O,O,O,O,O,X,O,X,X,X,X
IZLOJST,O,O,O,O,O,O,O,X,X,X,X
IZLOSTJ,O,O,X,X,X,O,O,X,X,X,X
IZLOSJT,O,O,O,O,O,O,O,X,X,X,X
IZJTLSO,O,O,X,X,X,O,O,O,X,X,X
IZJTLOS,O,O,O,O,O,X,O,O,O,X,X
IZJTSLO,O,O,X,X,X,O,O,X,O,X,X
IZJTSOL,O,O,X,X,X,X,O,X,O,X,X
IZJTOLS,O,O,O,O,O,X,O,O,O,X,X
IZJTOSL,O,O,X,X,O,X,O,X,O,X,X
IZJLTSO,O,O,X,X,X,O,O,O,X,X,X
IZJLTOS,O,O,O,O,X,X,O,O,O,X,X
IZJLSTO,O,O,X,X,X,O,O,O,X,X,X
IZJLSOT,O,O,X,X,X,O,O,X,X,X,X
IZJLOTS,O,O,O,O,O,X,O,X,X,X,X
IZJLOST,O,O,O,O,O,O,O,X,X,X,X
IZJSTLO,O,O,X,X,X,O,O,X,X,X,X
IZJSTOL,O,O,X,X,X,X,O,X,X,X,X
IZJSLTO,O,O,X,X,X,O,O,X,X,X,X
IZJSLOT,O,O,X,X,X,O,O,X,X,X,X
IZJSOTL,O,X,X,X,X,X,O,X,X,X,X
IZJSOLT,O,O,X,X,X,O,O,X,X,X,X
IZJOTLS,O,O,O,O,O,X,O,X,X,X,X
IZJOTSL,O,O,X,X,O,X,O,X,X,X,X
IZJOLTS,O,O,O,O,O,X,O,X,X,X,X
IZJOLST,O,O,O,O,O,O,O,X,X,X,X
IZJOSTL,O,X,X,X,X,X,O,X,X,X,X
IZJOSLT,O,O,X,X,O,O,O,X,X,X,X
IZSTLJO,O,O,X,X,X,O,O,X,X,X,O
IZSTLOJ,O,O,X,X,O,O,O,X,X,X,O
IZSTJLO,O,O,X,X,X,O,O,X,X,X,O
IZSTJOL,O,O,X,X,X,X,O,X,X,X,X
IZSTOLJ,O,O,X,X,O,X,X,X,X,X,O
IZSTOJL,O,O,X,X,O,X,X,X,X,X,O
IZSLTJO,O,O,X,X,X,O,O,X,X,X,X
IZSLTOJ,O,O,X,X,X,O,O,X,X,X,X
IZSLJTO,O,O,X,X,X,O,O,X,X,X,X
IZSLJOT,O,O,X,X,X,O,O,X,X,X,X
IZSLOTJ,O,O,X,X,X,O,O,X,X,O,X
IZSLOJT,O,O,X,X,O,O,O,X,X,X,X
IZSJTLO,O,O,X,X,X,O,O,X,X,X,O
IZSJTOL,O,O,X,X,X,X,O,X,X,X,X
IZSJLTO,O,O,X,X,X,O,O,X,X,X,X
IZSJLOT,O,O,X,X,X,O,O,X,X,X,X
IZSJOTL,O,X,X,X,X,X,O,X,X,X,X
IZSJOLT,O,O,X,X,X,O,O,X,X,X,X
IZSOTLJ,O,X,X,X,O,X,X,X,X,O,O
IZSOTJL,O,X,X,X,O,X,X,X,X,O,O
IZSOLTJ,O,O,X,X,X,O,O,X,X,O,X
IZSOLJT,O,O,X,X,O,O,O,X,X,X,X
IZSOJTL,O,X,X,X,X,X,O,X,X,X,O
IZSOJLT,O,O,X,X,O,O,O,X,X,X,X
IZOTLJS,O,O,O,O,O,X,X,X,X,X,X
IZOTLSJ,O,O,O,O,O,X,X,X,X,O,X
IZOTJLS,O,O,O,O,O,X,X,X,X,X,X
IZOTJSL,O,O,X,X,O,X,X,X,X,O,X
IZOTSLJ,O,O,X,X,O,X,X,X,X,O,X
IZOTSJL,O,O,X,X,O,X,X,X,X,O,X
IZOLTJS,O,O,O,O,O,X,X,X,X,X,X
IZOLTSJ,O,O,O,O,O,X,O,X,X,X,X
IZOLJTS,O,O,O,O,O,X,O,X,X,X,X
IZOLJST,O,O,O,O,O,O,O,X,X,X,X
IZOLSTJ,O,O,X,X,X,O,O,X,X,X,X
IZOLSJT,O,O,O,O,O,O,O,X,X,X,X
IZOJTLS,O,O,O,O,O,X,O,X,X,X,X
IZOJTSL,O,O,X,X,O,X,O,X,X,X,X
IZOJLTS,O,O,O,O,O,X,O,X,X,X,X
IZOJLST,O,O,O,O,O,O,O,X,X,X,X
IZOJSTL,O,X,X,X,X,X,O,X,X,X,O
IZOJSLT,O,O,X,X,O,O,O,X,X,X,X
IZOSTLJ,O,X,X,X,O,X,X,X,X,O,O
IZOSTJL,O,X,X,X,O,X,X,X,X,O,O
IZOSLTJ,O,O,X,X,X,O,O,X,X,O,X
IZOSLJT,O,O,X,X,O,O,O,X,X,X,X
IZOSJTL,O,X,X,X,X,X,O,X,X,X,O
IZOSJLT,O,O,X,X,O,O,O,X,X,X,X
IOTLJSZ,O,O,O,O,X,X,X,O,O,X,X
IOTLJZS,O,X,O,O,X,X,X,O,O,X,X
IOTLSJZ,O,O,O,O,X,X,X,O,O,O,X
IOTLSZJ,O,O,O,O,X,X,X,O,O,O,X
