sequence,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhFicB9iBfnB5oB8s?BOtB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhF/hBRdBcjBOnBqs?B9tB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhF/hBRdBSjBNnB8s?B+tB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhF/hBRdBOnBtsB6t?BctB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhF2hBXeBxsB9tBCn?B0sB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhFxcB6jB0hB9sB/t?BmsB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhFmcBtiB0hB5oBys?BXtB
IZTSJLO,O,X,X,X,O,O,X
IZTSJOL,O,X,X,X,O,O,X
IZTSOLJ,O,X,X,X,O,O,X
IZTSOJL,O,X,X,X,O,O,X
IZTOLJS,X,X,X,X,O,X,O
IZTOLSJ,O,X,X,X,O,O,O
IZTOJLS,X,X,X,X,O,X,O
IZTOJSL,O,X,X,X,O,O,X
IZTOSLJ,O,X,X,X,O,O,X
IZTOSJL,O,X,X,X,O,O,X
IZLTJSO,X,X,X,X,O,X,O
IZLTJOS,X,X,X,X,O,X,O
IZLTSJO,O,X,X,X,O,O,O
IZLTSOJ,O,X,X,X,O,O,O
IZLTOJS,X,X,X,X,O,X,O
IZLTOSJ,O,X,X,X,O,O,O
IZLJTSO,X,X,X,X,O,X,O
IZLJTOS,X,X,X,X,O,X,O
IZLJSTO,O,X,X,X,X,X,O
IZLJSOT,O,X,X,X,X,X,O
IZLJOTS,X,X,X,X,O,X,O
IZLJOST,O,X,X,X,X,X,O
IZLSTJO,O,X,X,X,X,O,O
IZLSTOJ,O,X,X,X,X,O,O
IZLSJTO,O,X,X,X,X,X,O
IZLSJOT,O,X,X,X,X,X,O
IZLSOTJ,O,X,X,X,X,O,O
IZLSOJT,O,X,X,X,X,X,O
IZLOTJS,X,X,X,X,O,X,O
IZLOTSJ,O,X,X,X,O,O,O
IZLOJTS,X,X,X,X,O,X,O
IZLOJST,O,X,X,X,X,X,O
IZLOSTJ,O,X,X,X,X,O,O
IZLOSJT,O,X,X,X,X,X,O
IZJTLSO,X,X,X,X,O,X,O
IZJTLOS,X,X,X,X,O,X,O
IZJTSLO,O,X,X,X,O,O,X
IZJTSOL,O,X,X,X,O,O,X
IZJTOLS,X,X,X,X,O,X,O
IZJTOSL,O,X,X,X,O,O,X
IZJLTSO,X,X,X,X,O,X,O
IZJLTOS,X,X,X,X,O,X,O
IZJLSTO,O,X,X,X,X,X,O
IZJLSOT,O,X,X,X,X,X,O
IZJLOTS,X,X,X,X,O,X,O
IZJLOST,O,X,X,X,X,X,O
IZJSTLO,O,X,X,X,O,O,X
IZJSTOL,O,X,X,X,O,O,X
IZJSLTO,O,X,X,X,X,X,O
IZJSLOT,O,X,X,X,X,X,O
IZJSOTL,O,X,X,X,O,O,X
IZJSOLT,O,X,X,X,X,X,O
IZJOTLS,X,X,X,X,O,X,O
IZJOTSL,O,X,X,X,O,O,X
IZJOLTS,X,X,X,X,O,X,O
IZJOLST,O,X,X,X,X,X,O
IZJOSTL,O,X,X,X,O,O,X
IZJOSLT,O,X,X,X,X,X,O
IZSTLJO,O,X,X,X,O,O,X
IZSTLOJ,O,X,X,X,O,O,X
IZSTJLO,O,X,X,X,O,O,X
IZSTJOL,O,X,X,X,O,O,X
IZSTOLJ,O,X,X,X,O,O,X
IZSTOJL,O,X,X,X,O,O,X
IZSLTJO,O,X,X,X,X,O,O
IZSLTOJ,O,X,X,X,X,O,O
IZSLJTO,O,X,X,X,X,X,O
IZSLJOT,O,X,X,X,X,X,O
IZSLOTJ,O,X,X,X,X,O,O
IZSLOJT,O,X,X,X,X,X,O
IZSJTLO,O,X,X,X,O,O,X
IZSJTOL,O,X,X,X,O,O,X
IZSJLTO,O,X,X,X,X,X,O
IZSJLOT,O,X,X,X,X,X,O
IZSJOTL,O,X,X,X,O,O,X
IZSJOLT,O,X,X,X,X,X,O
IZSOTLJ,O,X,X,X,O,O,X
IZSOTJL,O,X,X,X,O,O,X
IZSOLTJ,O,X,X,X,X,O,O
IZSOLJT,O,X,X,X,X,X,O
IZSOJTL,O,X,X,X,O,O,X
IZSOJLT,O,X,X,X,X,X,O
IZOTLJS,X,X,X,X,O,X,O
IZOTLSJ,O,X,X,X,O,O,O
IZOTJLS,X,X,X,X,O,X,O
IZOTJSL,O,X,X,X,O,O,X
IZOTSLJ,O,X,X,X,O,O,X
IZOTSJL,O,X,X,X,O,O,X
IZOLTJS,X,X,X,X,O,X,O
IZOLTSJ,O,X,X,X,O,O,O
IZOLJTS,X,X,X,X,O,X,O
IZOLJST,O,X,X,X,X,X,O
IZOLSTJ,O,X,X,X,X,O,O
IZOLSJT,O,X,X,X,X,X,O
IZOJTLS,X,X,X,X,O,X,O
IZOJTSL,O,X,X,X,O,O,X
IZOJLTS,X,X,X,X,O,X,O
IZOJLST,O,X,X,X,X,X,O
IZOJSTL,O,X,X,X,O,O,X
IZOJSLT,O,X,X,X,X,X,O
IZOSTLJ,O,X,X,X,O,O,X
IZOSTJL,O,X,X,X,O,O,X
IZOSLTJ,O,X,X,X,X,O,O
IZOSLJT,O,X,X,X,X,X,O
IZOSJTL,O,X,X,X,O,O,X
IZOSJLT,O,X,X,X,X,X,O
IOTLJSZ,X,O,X,O,O,X,X
IOTLJZS,X,O,X,X,O,X,O
IOTLSJZ,X,O,X,O,O,X,X
IOTLSZJ,O,O,X,X,X,X,O
IOTLZJS,X,O,X,X,O,X,O
IOTLZSJ,O,O,X,X,O,X,O
IOTJLSZ,X,X,X,O,O,X,X
IOTJLZS,X,X,X,X,O,X,X
IOTJSLZ,X,X,X,O,O,X,X
IOTJSZL,X,X,O,X,O,X,X
IOTJZLS,X,X,O,X,O,X,X
IOTJZSL,X,X,O,X,O,X,X
IOTSLJZ,X,O,X,O,O,X,X
IOTSLZJ,O,O,X,X,X,O,X
IOTSJLZ,X,X,X,O,O,X,X
IOTSJZL,X,X,O,X,O,X,X
IOTSZLJ,O,O,X,X,O,O,X
IOTSZJL,O,O,X,X,O,O,X
IOTZLJS,X,O,X,X,O,X,O
IOTZLSJ,O,O,X,X,O,O,O
IOTZJLS,X,X,X,X,O,X,O
IOTZJSL,O,X,X,X,O,O,X
IOTZSLJ,O,O,X,X,O,O,X
IOTZSJL,O,O,X,X,O,O,X
IOLTJSZ,X,O,X,O,O,X,X
IOLTJZS,X,O,X,X,O,X,O
IOLTSJZ,X,O,X,O,O,X,X
IOLTSZJ,O,O,X,X,X,X,O
IOLTZJS,X,O,X,X,O,X,O
IOLTZSJ,O,O,X,X,O,X,O
IOLJTSZ,X,O,X,X,O,X,X
IOLJTZS,X,O,X,X,O,X,O
IOLJSTZ,X,O,X,X,X,X,X
IOLJSZT,O,X,X,X,X,X,X
IOLJZTS,X,X,X,X,O,X,O
IOLJZST,O,X,X,X,X,X,O
IOLSTJZ,X,O,X,O,X,X,X
IOLSTZJ,O,O,X,X,X,X,O
IOLSJTZ,X,O,X,X,X,X,X
IOLSJZT,O,X,X,X,X,X,X
IOLSZTJ,O,X,X,X,X,X,O
IOLSZJT,O,X,X,X,X,X,O
IOLZTJS,X,X,X,X,O,X,O
IOLZTSJ,O,X,X,X,O,X,O
IOLZJTS,X,X,X,X,O,X,O
IOLZJST,O,X,X,X,X,X,O
IOLZSTJ,O,X,X,X,X,X,O
IOLZSJT,O,X,X,X,X,X,O
IOJTLSZ,X,X,X,O,O,X,X
IOJTLZS,X,X,X,X,O,X,X
IOJTSLZ,X,X,X,O,O,X,X
IOJTSZL,X,X,O,X,O,X,X
IOJTZLS,X,X,O,X,O,X,X
IOJTZSL,X,X,O,X,O,X,X
IOJLTSZ,X,O,X,X,O,X,X
IOJLTZS,X,O,X,X,O,X,O
IOJLSTZ,X,O,X,X,X,X,X
IOJLSZT,O,X,X,X,X,X,X
IOJLZTS,X,X,O,X,O,X,O
IOJLZST,O,X,X,X,X,X,O
IOJSTLZ,X,X,X,O,O,X,X
IOJSTZL,X,X,O,X,O,X,X
IOJSLTZ,X,O,X,X,X,X,X
IOJSLZT,O,X,X,X,X,X,X
IOJSZTL,O,X,O,X,O,X,X
IOJSZLT,O,X,X,X,X,X,X
IOJZTLS,X,X,O,X,O,X,O
IOJZTSL,O,X,O,X,O,X,X
IOJZLTS,X,X,O,X,O,X,O
IOJZLST,O,X,X,X,X,X,O
IOJZSTL,O,X,O,X,O,X,X
IOJZSLT,O,X,X,X,X,X,O
IOSTLJZ,X,O,X,O,O,X,X
IOSTLZJ,O,O,X,X,X,O,X
IOSTJLZ,X,X,X,O,O,X,X
IOSTJZL,X,X,O,X,O,X,X
IOSTZLJ,O,O,X,X,O,O,X
IOSTZJL,O,O,X,X,O,O,X
IOSLTJZ,X,O,X,O,X,X,X
IOSLTZJ,O,O,X,X,X,O,O
IOSLJTZ,X,O,X,X,X,X,X
IOSLJZT,O,X,X,X,X,X,X
IOSLZTJ,O,X,X,X,X,X,O
IOSLZJT,O,X,X,X,X,X,O
IOSJTLZ,X,X,X,O,O,X,X
IOSJTZL,X,X,O,X,O,X,X
IOSJLTZ,X,O,X,X,X,X,X
IOSJLZT,O,X,X,X,X,X,X
IOSJZTL,O,X,O,X,O,X,X
IOSJZLT,O,X,X,X,X,X,X
IOSZTLJ,O,X,X,X,O,O,X
IOSZTJL,O,X,X,X,O,O,X
IOSZLTJ,O,X,X,X,X,O,O
IOSZLJT,O,X,X,X,X,X,O
IOSZJTL,O,X,X,X,O,O,X
IOSZJLT,O,X,X,X,X,X,O
IOZTLJS,X,X,X,X,O,X,O
IOZTLSJ,O,X,X,X,O,O,O
IOZTJLS,X,X,X,X,O,X,O
IOZTJSL,O,X,X,X,O,O,X
IOZTSLJ,O,X,X,X,O,O,X
IOZTSJL,O,X,X,X,O,O,X
IOZLTJS,X,X,X,X,O,X,O
IOZLTSJ,O,X,X,X,O,O,O
IOZLJTS,X,X,X,X,O,X,O
IOZLJST,O,X,X,X,X,X,O
IOZLSTJ,O,X,X,X,X,O,O
IOZLSJT,O,X,X,X,X,X,O
IOZJTLS,X,X,X,X,O,X,O
IOZJTSL,O,X,X,X,O,O,X
IOZJLTS,X,X,X,X,O,X,O
IOZJLST,O,X,X,X,X,X,O
IOZJSTL,O,X,X,X,O,O,X
IOZJSLT,O,X,X,X,X,X,O
IOZSTLJ,O,X,X,X,O,O,X
IOZSTJL,O,X,X,X,O,O,X
IOZSLTJ,O,X,X,X,X,O,O
IOZSLJT,O,X,X,X,X,X,O
IOZSJTL,O,X,X,X,O,O,X
IOZSJLT,O,X,X,X,X,X,O
LTIJSZO,X,O,X,O,X,X,X
LTIJSOZ,X,O,X,O,X,X,X
LTIJZSO,X,O,X,X,X,X,O
LTIJZOS,X,O,X,X,X,X,O
LTIJOSZ,X,O,X,O,X,X,X
LTIJOZS,X,O,X,X,X,X,O
LTISJZO,X,O,X,O,X,X,X
LTISJOZ,X,O,X,O,X,X,X
LTISZJO,O,O,X,X,X,X,O
LTISZOJ,O,O,X,X,X,X,O
LTISOJZ,X,O,X,O,X,X,X
LTISOZJ,O,O,X,X,X,X,O
LTIZJSO,X,O,X,X,X,X,O
LTIZJOS,X,O,X,X,X,X,O
LTIZSJO,O,O,X,X,X,X,O
LTIZSOJ,O,O,X,X,X,X,O
LTIZOJS,X,O,X,X,X,X,O
LTIZOSJ,O,O,X,X,X,X,O
LTIOJSZ,X,O,X,O,X,X,X
LTIOJZS,X,O,X,X,X,X,O
LTIOSJZ,X,O,X,O,X,X,X
LTIOSZJ,O,O,X,X,X,X,O
LTIOZJS,X,O,X,X,X,X,O
LTIOZSJ,O,O,X,X,X,X,O
LTJISZO,X,O,X,O,X,X,X
LTJISOZ,X,O,X,O,X,X,X
LTJIZSO,X,O,X,X,X,X,O
LTJIZOS,X,O,X,X,X,X,O
LTJIOSZ,X,O,X,O,X,X,X
LTJIOZS,X,O,X,X,X,X,O
LTJSIZO,X,O,X,O,X,X,X
LTJSIOZ,X,O,X,O,X,X,X
LTJSZIO,X,O,O,O,X,X,X
LTJSZOI,X,O,O,O,X,X,X
LTJSOIZ,X,O,X,O,X,X,X
LTJSOZI,X,O,O,O,X,X,X
LTJZISO,X,O,O,X,X,X,O
LTJZIOS,X,O,O,X,X,X,O
LTJZSIO,X,O,O,O,X,X,O
LTJZSOI,X,O,O,O,X,X,O
LTJZOIS,X,O,O,X,X,X,O
LTJZOSI,X,O,O,O,X,X,O
LTJOISZ,X,O,X,O,X,X,X
LTJOIZS,X,O,X,X,X,X,O
LTJOSIZ,X,O,X,O,X,X,X
LTJOSZI,X,O,O,O,X,X,X
LTJOZIS,X,O,O,X,X,X,O
LTJOZSI,X,O,O,O,X,X,O
LTSIJZO,X,O,X,O,X,X,X
LTSIJOZ,X,O,X,O,X,X,X
LTSIZJO,O,O,X,X,X,O,O
LTSIZOJ,O,O,X,X,X,O,O
LTSIOJZ,X,O,X,O,X,X,X
LTSIOZJ,O,O,X,X,X,O,O
LTSJIZO,X,O,X,O,X,X,X
LTSJIOZ,X,O,X,O,X,X,X
LTSJZIO,O,O,O,O,X,O,X
LTSJZOI,O,O,O,O,X,O,X
LTSJOIZ,X,O,X,O,X,X,X
LTSJOZI,O,O,O,O,X,O,X
LTSZIJO,O,O,X,X,X,O,O
LTSZIOJ,O,O,X,X,X,O,O
LTSZJIO,O,O,X,O,X,O,O
LTSZJOI,O,O,X,O,X,O,O
LTSZOIJ,O,O,X,X,X,O,O
LTSZOJI,O,O,X,O,X,O,O
LTSOIJZ,X,O,X,O,X,X,X
LTSOIZJ,O,O,X,X,X,O,O
LTSOJIZ,X,O,X,O,X,X,X
LTSOJZI,O,O,O,O,X,O,X
LTSOZIJ,O,O,X,X,X,O,O
LTSOZJI,O,O,X,O,X,O,O
LTZIJSO,X,O,X,X,X,X,O
LTZIJOS,X,O,X,X,X,X,O
LTZISJO,O,O,X,X,X,O,O
LTZISOJ,O,O,X,X,X,O,O
LTZIOJS,X,O,X,X,X,X,O
LTZIOSJ,O,O,X,X,X,O,O
LTZJISO,X,O,X,X,X,X,O
LTZJIOS,X,O,X,X,X,X,O
LTZJSIO,X,O,X,O,X,X,O
LTZJSOI,X,O,X,O,X,X,O
LTZJOIS,X,O,X,X,X,X,O
LTZJOSI,X,O,X,O,X,X,O
LTZSIJO,O,O,X,X,X,O,O
LTZSIOJ,O,O,X,X,X,O,O
LTZSJIO,O,O,X,O,X,O,O
LTZSJOI,O,O,X,O,X,O,O
LTZSOIJ,O,O,X,X,X,O,O
LTZSOJI,O,O,X,O,X,O,O
LTZOIJS,X,O,X,X,X,X,O
LTZOISJ,O,O,X,X,X,O,O
LTZOJIS,X,O,X,X,X,X,O
LTZOJSI,X,O,X,O,X,X,O
LTZOSIJ,O,O,X,X,X,O,O
LTZOSJI,O,O,X,O,X,O,O
LTOIJSZ,X,O,X,O,X,X,X
LTOIJZS,X,O,X,X,X,X,O
LTOISJZ,X,O,X,O,X,X,X
LTOISZJ,O,O,X,X,X,X,O
LTOIZJS,X,O,X,X,X,X,O
LTOIZSJ,O,O,X,X,X,X,O
LTOJISZ,X,O,X,O,X,X,X
LTOJIZS,X,O,X,X,X,X,O
LTOJSIZ,X,O,X,O,X,X,X
LTOJSZI,X,O,O,O,X,X,X
LTOJZIS,X,O,O,X,X,X,O
LTOJZSI,X,O,O,O,X,X,O
LTOSIJZ,X,O,X,O,X,X,X
LTOSIZJ,O,O,X,X,X,O,O
LTOSJIZ,X,O,X,O,X,X,X
LTOSJZI,O,O,O,O,X,O,X
LTOSZIJ,O,O,X,X,X,O,O
LTOSZJI,O,O,X,O,X,O,O
LTOZIJS,X,O,X,X,X,X,O
LTOZISJ,O,O,X,X,X,O,O
LTOZJIS,X,O,X,X,X,X,O
LTOZJSI,X,O,X,O,X,X,O
LTOZSIJ,O,O,X,X,X,O,O
LTOZSJI,O,O,X,O,X,O,O
LITJSZO,X,O,X,O,X,X,X
LITJSOZ,X,O,X,O,O,X,X
LITJZSO,X,O,X,X,O,X,O
LITJZOS,X,O,X,X,O,X,O
LITJOSZ,X,O,X,O,O,X,X
LITJOZS,X,O,X,X,O,X,O
LITSJZO,X,O,X,O,X,X,X
LITSJOZ,X,O,X,O,O,X,X
LITSZJO,O,O,X,X,X,X,O
LITSZOJ,O,O,X,X,X,X,O
LITSOJZ,X,O,X,O,O,X,X
LITSOZJ,O,O,X,X,X,X,O
LITZJSO,X,O,X,X,O,X,O
LITZJOS,X,O,X,X,O,X,O
LITZSJO,O,O,X,X,O,X,O
LITZSOJ,O,O,X,X,O,X,O
LITZOJS,X,O,X,X,O,X,O
LITZOSJ,O,O,X,X,O,X,O
LITOJSZ,X,O,X,O,O,X,X
LITOJZS,X,O,X,X,O,X,O
LITOSJZ,X,O,X,O,O,X,X
LITOSZJ,O,O,X,X,X,X,O
LITOZJS,X,O,X,X,O,X,O
LITOZSJ,O,O,X,X,O,X,O
LIJTSZO,X,O,X,X,X,X,X
LIJTSOZ,X,O,X,X,O,X,X
LIJTZSO,X,O,X,X,O,X,O
LIJTZOS,X,O,X,X,O,X,O
LIJTOSZ,X,O,X,X,O,X,X
LIJTOZS,X,O,X,X,O,X,O
LIJSTZO,X,O,X,X,X,X,X
LIJSTOZ,X,O,X,X,X,X,X
LIJSZTO,O,X,X,X,X,X,X
LIJSZOT,O,X,X,X,X,X,X
LIJSOTZ,X,O,X,X,X,X,X
LIJSOZT,O,X,X,X,X,X,X
LIJZTSO,X,X,X,X,O,X,O
LIJZTOS,X,X,X,X,O,X,O
LIJZSTO,O,X,X,X,X,X,O
LIJZSOT,O,X,X,X,X,X,O
LIJZOTS,X,X,X,X,O,X,O
LIJZOST,O,X,X,X,X,X,O
LIJOTSZ,X,O,X,X,O,X,X
LIJOTZS,X,O,X,X,O,X,O
LIJOSTZ,X,O,X,X,X,X,X
LIJOSZT,O,X,X,X,X,X,X
LIJOZTS,X,X,X,X,O,X,O
LIJOZST,O,X,X,X,X,X,O
LISTJZO,X,O,X,O,X,X,X
LISTJOZ,X,O,X,O,X,X,X
LISTZJO,O,O,X,X,X,X,O
LISTZOJ,O,O,X,X,X,X,O
LISTOJZ,X,O,X,O,X,X,X
LISTOZJ,O,O,X,X,X,X,O
LISJTZO,X,O,X,X,X,X,X
LISJTOZ,X,O,X,X,X,X,X
LISJZTO,O,X,X,X,X,X,X
LISJZOT,O,X,X,X,X,X,X
LISJOTZ,X,O,X,X,X,X,X
LISJOZT,O,X,X,X,X,X,X
LISZTJO,O,X,X,X,X,X,O
LISZTOJ,O,X,X,X,X,X,O
LISZJTO,O,X,X,X,X,X,O
LISZJOT,O,X,X,X,X,X,O
LISZOTJ,O,X,X,X,X,X,O
LISZOJT,O,X,X,X,X,X,O
LISOTJZ,X,O,X,O,X,X,X
LISOTZJ,O,O,X,X,X,X,O
LISOJTZ,X,O,X,X,X,X,X
LISOJZT,O,X,X,X,X,X,X
LISOZTJ,O,X,X,X,X,X,O
LISOZJT,O,X,X,X,X,X,O
LIZTJSO,X,X,X,X,O,X,O
LIZTJOS,X,X,X,X,O,X,O
LIZTSJO,O,X,X,X,O,X,O
LIZTSOJ,O,X,X,X,O,X,O
LIZTOJS,X,X,X,X,O,X,O
LIZTOSJ,O,X,X,X,O,X,O
LIZJTSO,X,X,X,X,O,X,O
LIZJTOS,X,X,X,X,O,X,O
LIZJSTO,O,X,X,X,X,X,O
LIZJSOT,O,X,X,X,X,X,O
LIZJOTS,X,X,X,X,O,X,O
LIZJOST,O,X,X,X,X,X,O
LIZSTJO,O,X,X,X,X,X,O
LIZSTOJ,O,X,X,X,X,X,O
LIZSJTO,O,X,X,X,X,X,O
LIZSJOT,O,X,X,X,X,X,O
LIZSOTJ,O,X,X,X,X,X,O
LIZSOJT,O,X,X,X,X,X,O
LIZOTJS,X,X,X,X,O,X,O
LIZOTSJ,O,X,X,X,O,X,O
LIZOJTS,X,X,X,X,O,X,O
LIZOJST,O,X,X,X,X,X,O
LIZOSTJ,O,X,X,X,X,X,O
LIZOSJT,O,X,X,X,X,X,O
LIOTJSZ,X,O,X,O,O,X,X
LIOTJZS,X,O,X,X,O,X,O
LIOTSJZ,X,O,X,O,O,X,X
LIOTSZJ,O,O,X,X,X,X,O
LIOTZJS,X,O,X,X,O,X,O
LIOTZSJ,O,O,X,X,O,X,O
LIOJTSZ,X,O,X,X,O,X,X
LIOJTZS,X,O,X,X,O,X,O
LIOJSTZ,X,O,X,X,X,X,X
LIOJSZT,O,X,X,X,X,X,X
LIOJZTS,X,X,X,X,O,X,O
LIOJZST,O,X,X,X,X,X,O
LIOSTJZ,X,O,X,O,X,X,X
LIOSTZJ,O,O,X,X,X,X,O
LIOSJTZ,X,O,X,X,X,X,X
LIOSJZT,O,X,X,X,X,X,X
LIOSZTJ,O,X,X,X,X,X,O
LIOSZJT,O,X,X,X,X,X,O
LIOZTJS,X,X,X,X,O,X,O
LIOZTSJ,O,X,X,X,O,X,O
LIOZJTS,X,X,X,X,O,X,O
LIOZJST,O,X,X,X,X,X,O
LIOZSTJ,O,X,X,X,X,X,O
LIOZSJT,O,X,X,X,X,X,O
LJTISZO,X,O,X,O,X,X,X
LJTISOZ,X,O,X,O,X,X,X
LJTIZSO,X,O,X,X,X,X,O
LJTIZOS,X,O,X,X,X,X,O
LJTIOSZ,X,O,X,O,X,X,X
LJTIOZS,X,O,X,X,X,X,O
LJTSIZO,X,O,X,O,X,X,X
LJTSIOZ,X,O,X,O,X,X,X
LJTSZIO,X,O,O,O,X,X,X
LJTSZOI,X,O,O,O,X,X,X
LJTSOIZ,X,O,X,O,X,X,X
LJTSOZI,X,O,O,O,X,X,X
LJTZISO,X,O,O,X,X,X,O
LJTZIOS,X,O,O,X,X,X,O
LJTZSIO,X,O,O,O,X,X,O
LJTZSOI,X,O,O,O,X,X,O
LJTZOIS,X,O,O,X,X,X,O
LJTZOSI,X,O,O,O,X,X,O
LJTOISZ,X,O,X,O,X,X,X
LJTOIZS,X,O,X,X,X,X,O
LJTOSIZ,X,O,X,O,X,X,X
LJTOSZI,X,O,O,O,X,X,X
LJTOZIS,X,O,O,X,X,X,O
LJTOZSI,X,O,O,O,X,X,O
LJITSZO,X,O,X,X,X,X,X
LJITSOZ,X,O,X,X,O,X,X
LJITZSO,X,O,X,X,O,X,O
LJITZOS,X,O,X,X,O,X,O
LJITOSZ,X,O,X,X,O,X,X
LJITOZS,X,O,X,X,O,X,O
LJISTZO,X,O,X,X,X,X,X
LJISTOZ,X,O,X,X,X,X,X
LJISZTO,O,X,X,X,X,X,X
LJISZOT,O,X,X,X,X,X,X
LJISOTZ,X,O,X,X,X,X,X
LJISOZT,O,X,X,X,X,X,X
LJIZTSO,X,X,O,X,O,X,O
LJIZTOS,X,X,O,X,O,X,O
LJIZSTO,O,X,X,X,X,X,O
LJIZSOT,O,X,X,X,X,X,O
LJIZOTS,X,X,O,X,O,X,O
LJIZOST,O,X,X,X,X,X,O
LJIOTSZ,X,O,X,X,O,X,X
LJIOTZS,X,O,X,X,O,X,O
LJIOSTZ,X,O,X,X,X,X,X
LJIOSZT,O,X,X,X,X,X,X
LJIOZTS,X,X,O,X,O,X,O
LJIOZST,O,X,X,X,X,X,O
LJSTIZO,X,O,X,O,X,X,X
LJSTIOZ,X,O,X,O,X,X,X
LJSTZIO,O,O,O,O,X,X,X
LJSTZOI,O,O,O,O,X,X,X
LJSTOIZ,X,O,X,O,X,X,X
LJSTOZI,O,O,O,O,X,X,X
LJSITZO,X,O,X,X,X,X,X
LJSITOZ,X,O,X,X,X,X,X
LJSIZTO,O,X,X,X,X,X,X
LJSIZOT,O,X,X,X,X,X,X
LJSIOTZ,X,O,X,X,X,X,X
LJSIOZT,O,X,X,X,X,X,X
LJSZTIO,O,O,O,X,X,X,X
LJSZTOI,O,O,O,X,X,X,X
LJSZITO,O,X,X,X,X,X,X
LJSZIOT,O,X,X,X,X,X,X
LJSZOTI,O,O,O,X,X,X,X
LJSZOIT,O,X,X,X,X,X,X
LJSOTIZ,X,O,X,O,X,X,X
LJSOTZI,O,O,O,O,X,X,X
LJSOITZ,X,O,X,X,X,X,X
LJSOIZT,O,X,X,X,X,X,X
LJSOZTI,O,O,O,X,X,X,X
LJSOZIT,O,X,X,X,X,X,X
LJZTISO,X,O,O,X,X,X,O
LJZTIOS,X,O,O,X,X,X,O
LJZTSIO,X,O,O,X,X,X,O
LJZTSOI,X,O,O,X,X,X,O
LJZTOIS,X,O,O,X,X,X,O
LJZTOSI,X,O,O,X,X,X,O
LJZITSO,X,X,O,X,X,X,O
LJZITOS,X,X,O,X,X,X,O
LJZISTO,O,X,X,X,X,X,O
LJZISOT,O,X,X,X,X,X,O
LJZIOTS,X,X,O,X,X,X,O
LJZIOST,O,X,X,X,X,X,O
LJZSTIO,O,O,O,X,X,X,O
LJZSTOI,O,O,O,X,X,X,O
LJZSITO,O,X,X,X,X,X,O
LJZSIOT,O,X,X,X,X,X,O
LJZSOTI,O,O,O,X,X,X,O
LJZSOIT,O,X,X,X,X,X,O
LJZOTIS,X,O,O,X,X,X,O
LJZOTSI,X,O,O,X,X,X,O
LJZOITS,X,X,O,X,X,X,O
LJZOIST,O,X,X,X,X,X,O
LJZOSTI,O,O,O,X,X,X,O
LJZOSIT,O,X,X,X,X,X,O
LJOTISZ,X,O,X,O,X,X,X
LJOTIZS,X,O,X,X,X,X,O
LJOTSIZ,X,O,X,O,X,X,X
LJOTSZI,X,O,O,O,X,X,X
LJOTZIS,X,O,O,X,X,X,O
LJOTZSI,X,O,O,O,X,X,O
LJOITSZ,X,O,X,X,O,X,X
LJOITZS,X,O,X,X,O,X,O
LJOISTZ,X,O,X,X,X,X,X
LJOISZT,O,X,X,X,X,X,X
LJOIZTS,X,X,O,X,O,X,O
LJOIZST,O,X,X,X,X,X,O
LJOSTIZ,X,O,X,O,X,X,X
LJOSTZI,O,O,O,O,X,X,X
LJOSITZ,X,O,X,X,X,X,X
LJOSIZT,O,X,X,X,X,X,X
LJOSZTI,O,O,O,X,X,X,X
LJOSZIT,O,X,X,X,X,X,X
LJOZTIS,X,O,O,X,X,X,O
LJOZTSI,X,O,O,X,X,X,O
LJOZITS,X,X,O,X,X,X,O
LJOZIST,O,X,X,X,X,X,O
LJOZSTI,O,O,O,X,X,X,O
LJOZSIT,O,X,X,X,X,X,O
LSTIJZO,X,O,X,O,X,X,X
LSTIJOZ,X,O,X,O,X,X,X
LSTIZJO,O,O,X,X,X,O,O
LSTIZOJ,O,O,X,X,X,O,O
LSTIOJZ,X,O,X,O,X,X,X
LSTIOZJ,O,O,X,X,X,O,O
LSTJIZO,X,O,X,O,X,X,X
LSTJIOZ,X,O,X,O,X,X,X
LSTJZIO,O,O,O,O,X,O,X
LSTJZOI,O,O,O,O,X,O,X
LSTJOIZ,X,O,X,O,X,X,X
LSTJOZI,O,O,O,O,X,O,X
LSTZIJO,O,O,X,X,X,O,O
LSTZIOJ,O,O,X,X,X,O,O
LSTZJIO,O,O,X,O,X,O,O
LSTZJOI,O,O,X,O,X,O,O
LSTZOIJ,O,O,X,X,X,O,O
LSTZOJI,O,O,X,O,X,O,O
LSTOIJZ,X,O,X,O,X,X,X
LSTOIZJ,O,O,X,X,X,O,O
LSTOJIZ,X,O,X,O,X,X,X
LSTOJZI,O,O,O,O,X,O,X
LSTOZIJ,O,O,X,X,X,O,O
LSTOZJI,O,O,X,O,X,O,O
LSITJZO,X,O,X,O,X,X,X
LSITJOZ,X,O,X,O,X,X,X
LSITZJO,O,O,X,X,X,O,O
LSITZOJ,O,O,X,X,X,O,O
LSITOJZ,X,O,X,O,X,X,X
LSITOZJ,O,O,X,X,X,O,O
