sequence,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxbBXdB0gBFnBCr?B2wB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxbBXdBmgBqqBFn?B0rB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFibBFdBulBcmBXn?BRwB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxcBlgB3hBOsB0l?BSwB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhF0cBlgBxmB6qBXn?B2wB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFibB5lB/rBFnBcr?BOsB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxcB0gBlhBXnB6q?B2wB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhF2gBXdBUmBFnBCm?BRwB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxcB6lB/rBFnBmr?B0qB,v115@7gB8GeF8EeE8DeF8DeC8Jei6IvhFchBGgBVnBzlBXn?BRwB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxbBXdB6lBFnB0r?BerB
ILJSZOT,X,O,O,O,X,X,X,X,X,X,X
ILJSOTZ,X,O,O,O,X,X,O,O,X,X,X
ILJSOZT,X,O,O,O,X,X,X,X,X,X,X
ILJZTSO,X,O,O,X,X,X,X,O,X,O,X
ILJZTOS,X,O,O,X,O,X,X,O,X,O,X
ILJZSTO,X,O,O,O,X,X,X,X,X,X,X
ILJZSOT,X,O,O,O,X,X,X,X,X,X,X
ILJZOTS,X,O,O,X,O,X,X,O,X,X,X
ILJZOST,X,O,O,O,X,X,X,X,X,X,X
ILJOTSZ,X,O,O,O,X,X,X,O,X,X,X
ILJOTZS,X,O,O,X,O,X,X,X,X,O,X
ILJOSTZ,X,O,O,O,X,X,O,O,X,X,X
ILJOSZT,X,O,O,O,X,X,X,X,X,X,X
ILJOZTS,X,O,O,X,O,X,X,O,X,X,X
ILJOZST,X,O,O,O,X,X,X,X,X,X,X
ILSTJZO,X,X,X,X,X,O,X,X,O,O,X
ILSTJOZ,X,O,O,X,X,O,X,O,O,X,X
ILSTZJO,X,X,O,X,X,O,X,O,X,O,X
ILSTZOJ,X,X,O,X,X,O,X,O,X,X,X
ILSTOJZ,X,O,O,O,X,O,X,O,O,X,X
ILSTOZJ,X,X,O,X,X,O,O,O,X,X,X
ILSJTZO,X,X,X,X,X,X,X,X,X,O,X
ILSJTOZ,X,O,O,X,X,X,O,X,X,X,X
ILSJZTO,X,X,O,X,X,X,X,X,X,X,X
ILSJZOT,X,O,O,X,X,X,X,X,X,X,X
ILSJOTZ,X,O,O,X,X,X,O,O,X,X,X
ILSJOZT,X,O,O,X,X,X,X,X,X,X,X
ILSZTJO,X,X,O,X,X,X,X,X,X,X,X
ILSZTOJ,X,X,O,X,X,X,X,X,X,X,X
ILSZJTO,X,X,O,X,X,X,X,X,X,X,X
ILSZJOT,X,O,O,X,X,X,X,X,X,X,X
ILSZOTJ,X,X,O,X,X,X,X,X,X,X,X
ILSZOJT,X,O,O,X,X,X,X,X,X,X,X
ILSOTJZ,X,O,O,O,X,O,X,O,O,X,X
ILSOTZJ,X,X,O,X,X,O,O,O,X,X,X
ILSOJTZ,X,O,O,X,X,X,O,O,X,X,X
ILSOJZT,X,O,O,X,X,X,X,X,X,X,X
ILSOZTJ,X,X,O,X,X,X,X,X,X,X,X
ILSOZJT,X,O,O,X,X,X,X,X,X,X,X
ILZTJSO,O,O,O,X,X,X,X,O,X,O,O
ILZTJOS,O,O,O,X,X,X,X,O,X,O,O
ILZTSJO,O,O,X,X,X,X,X,O,X,O,X
ILZTSOJ,O,O,O,X,X,X,X,O,X,X,X
ILZTOJS,O,O,O,X,O,X,X,O,X,O,O
ILZTOSJ,O,O,O,X,O,X,X,O,X,X,X
ILZJTSO,X,O,O,X,X,X,X,O,X,O,X
ILZJTOS,X,O,O,X,X,X,X,O,X,O,X
ILZJSTO,X,O,O,X,X,X,X,X,X,X,X
ILZJSOT,X,O,O,X,X,X,X,X,X,X,X
ILZJOTS,X,O,O,X,X,X,X,O,X,X,X
ILZJOST,X,O,O,X,X,X,X,X,X,X,X
ILZSTJO,X,O,O,X,X,X,X,X,X,X,X
ILZSTOJ,X,O,O,X,X,X,X,X,X,X,X
ILZSJTO,X,O,O,X,X,X,X,X,X,X,X
ILZSJOT,X,O,O,X,X,X,X,X,X,X,X
ILZSOTJ,X,O,O,X,X,X,X,X,X,X,X
ILZSOJT,X,O,O,X,X,X,X,X,X,X,X
ILZOTJS,O,O,O,X,O,X,X,O,X,X,O
ILZOTSJ,O,O,O,X,O,X,X,O,X,X,X
ILZOJTS,X,O,O,X,X,X,X,O,X,X,X
ILZOJST,X,O,O,X,X,X,X,X,X,X,X
ILZOSTJ,X,O,O,X,X,X,X,X,X,X,X
ILZOSJT,X,O,O,X,X,X,X,X,X,X,X
ILOTJSZ,X,O,O,X,X,X,X,O,X,X,X
ILOTJZS,X,O,O,X,O,X,X,X,X,O,X
ILOTSJZ,O,O,O,O,X,X,X,O,X,X,X
ILOTSZJ,O,O,O,X,X,X,X,O,X,X,X
ILOTZJS,O,X,O,X,O,X,X,O,X,O,X
ILOTZSJ,O,X,O,X,O,X,X,O,X,X,X
ILOJTSZ,X,O,O,O,X,X,X,O,X,X,X
ILOJTZS,X,O,O,X,O,X,X,X,X,O,X
ILOJSTZ,X,O,O,O,X,X,O,O,X,X,X
ILOJSZT,X,O,O,O,X,X,X,X,X,X,X
ILOJZTS,X,O,O,X,O,X,X,O,X,X,X
ILOJZST,X,O,O,O,X,X,X,X,X,X,X
ILOSTJZ,X,O,O,O,X,O,X,O,O,X,X
ILOSTZJ,X,X,O,X,X,O,O,O,X,X,X
ILOSJTZ,X,O,O,X,X,X,O,O,X,X,X
ILOSJZT,X,O,O,X,X,X,X,X,X,X,X
ILOSZTJ,X,X,O,X,X,X,X,X,X,X,X
ILOSZJT,X,O,O,X,X,X,X,X,X,X,X
ILOZTJS,O,O,O,X,O,X,X,O,X,X,O
ILOZTSJ,O,O,O,X,O,X,X,O,X,X,X
ILOZJTS,X,O,O,X,X,X,X,O,X,X,X
ILOZJST,X,O,O,X,X,X,X,X,X,X,X
ILOZSTJ,X,O,O,X,X,X,X,X,X,X,X
ILOZSJT,X,O,O,X,X,X,X,X,X,X,X
IJTLSZO,X,X,X,O,X,X,X,X,X,O,X
IJTLSOZ,X,O,X,O,X,X,X,O,X,X,X
IJTLZSO,X,X,O,X,X,X,X,X,X,O,X
IJTLZOS,X,X,O,X,O,X,X,X,X,O,X
IJTLOSZ,X,O,O,O,X,X,X,O,X,X,X
IJTLOZS,X,X,O,X,O,X,X,X,X,O,X
IJTSLZO,X,X,X,O,X,X,X,X,X,O,X
IJTSLOZ,X,O,O,O,X,X,O,O,X,X,X
IJTSZLO,X,X,O,X,X,X,X,O,X,O,X
IJTSZOL,X,O,O,O,O,X,O,O,X,X,X
IJTSOLZ,X,O,O,O,X,X,O,O,X,X,X
IJTSOZL,X,O,O,O,O,X,O,O,X,X,X
IJTZLSO,X,X,O,X,X,X,X,O,X,O,X
IJTZLOS,X,X,O,X,O,X,X,O,X,O,X
IJTZSLO,X,X,O,X,X,X,X,O,X,O,X
IJTZSOL,X,O,O,X,O,X,X,O,X,X,X
IJTZOLS,X,X,O,X,O,X,X,O,X,O,X
IJTZOSL,X,O,O,X,O,X,X,O,X,X,X
IJTOLSZ,X,O,O,O,X,X,X,O,X,X,X
IJTOLZS,X,X,O,X,O,X,X,X,X,O,X
IJTOSLZ,X,O,O,O,X,X,O,O,X,X,X
IJTOSZL,X,O,O,O,O,X,O,O,X,X,X
IJTOZLS,X,X,O,X,O,X,X,O,X,O,X
IJTOZSL,X,O,O,X,O,X,X,O,X,X,X
IJLTSZO,X,O,X,O,X,X,X,X,X,O,X
IJLTSOZ,X,O,X,O,X,X,X,O,X,X,X
IJLTZSO,X,O,O,X,X,X,X,X,X,O,X
IJLTZOS,X,O,O,X,O,X,X,X,X,O,X
IJLTOSZ,X,O,O,O,X,X,X,O,X,X,X
IJLTOZS,X,O,O,X,O,X,X,X,X,O,X
IJLSTZO,X,X,X,O,X,X,X,X,X,O,X
IJLSTOZ,X,O,O,O,X,X,O,X,X,X,X
IJLSZTO,X,O,O,O,X,X,X,X,X,X,X
IJLSZOT,X,O,O,O,X,X,X,X,X,X,X
IJLSOTZ,X,O,O,O,X,X,O,O,X,X,X
IJLSOZT,X,O,O,O,X,X,X,X,X,X,X
IJLZTSO,X,O,O,X,X,X,X,O,X,O,X
IJLZTOS,X,O,O,X,O,X,X,O,X,O,X
IJLZSTO,X,O,O,O,X,X,X,X,X,X,X
IJLZSOT,X,O,O,O,X,X,X,X,X,X,X
IJLZOTS,X,O,O,X,O,X,X,O,X,X,X
IJLZOST,X,O,O,O,X,X,X,X,X,X,X
IJLOTSZ,X,O,O,O,X,X,X,O,X,X,X
IJLOTZS,X,O,O,X,O,X,X,X,X,O,X
IJLOSTZ,X,O,O,O,X,X,O,O,X,X,X
IJLOSZT,X,O,O,O,X,X,X,X,X,X,X
IJLOZTS,X,O,O,X,O,X,X,O,X,X,X
IJLOZST,X,O,O,O,X,X,X,X,X,X,X
IJSTLZO,X,X,X,O,X,O,X,X,X,O,X
IJSTLOZ,X,X,O,O,X,O,O,O,X,X,X
IJSTZLO,X,X,O,X,X,O,O,O,X,O,X
IJSTZOL,X,X,O,O,O,O,O,O,X,X,X
IJSTOLZ,X,O,O,O,X,O,O,O,X,X,X
IJSTOZL,X,O,O,O,O,O,O,O,X,X,X
IJSLTZO,X,X,X,O,X,X,X,X,X,O,X
IJSLTOZ,X,X,O,O,X,X,O,X,X,X,X
IJSLZTO,X,X,O,O,X,X,X,X,X,X,X
IJSLZOT,X,X,O,O,X,X,X,X,X,X,X
IJSLOTZ,X,O,O,O,X,X,O,O,X,X,X
IJSLOZT,X,O,O,O,X,X,X,X,X,X,X
IJSZTLO,X,X,O,X,X,X,O,O,X,X,X
IJSZTOL,X,X,O,O,O,X,O,O,X,X,X
IJSZLTO,X,X,O,O,X,X,X,X,X,X,X
IJSZLOT,X,X,O,O,X,X,X,X,X,X,X
IJSZOTL,X,O,O,O,O,X,O,O,X,X,X
IJSZOLT,X,O,O,O,X,X,X,X,X,X,X
IJSOTLZ,X,O,O,O,X,O,O,O,X,X,X
IJSOTZL,X,O,O,O,O,O,O,O,X,X,X
IJSOLTZ,X,O,O,O,X,X,O,O,X,X,X
IJSOLZT,X,O,O,O,X,X,X,X,X,X,X
IJSOZTL,X,O,O,O,O,X,O,O,X,X,X
IJSOZLT,X,O,O,O,X,X,X,X,X,X,X
IJZTLSO,X,X,O,X,X,X,X,O,X,O,X
IJZTLOS,X,X,O,X,O,X,X,O,X,O,X
IJZTSLO,X,X,O,X,X,X,X,O,X,O,X
IJZTSOL,X,X,O,X,O,X,X,O,X,X,X
IJZTOLS,X,X,O,X,O,X,X,O,X,O,X
IJZTOSL,X,X,O,X,O,X,O,O,X,X,X
IJZLTSO,X,X,O,X,X,X,X,O,X,O,X
IJZLTOS,X,X,O,X,O,X,X,O,X,O,X
IJZLSTO,X,X,O,O,X,X,X,X,X,X,X
IJZLSOT,X,X,O,O,X,X,X,X,X,X,X
IJZLOTS,X,X,O,X,O,X,X,O,X,X,X
IJZLOST,X,X,O,O,X,X,X,X,X,X,X
IJZSTLO,X,X,O,X,X,X,O,O,X,X,X
IJZSTOL,X,X,O,O,O,X,O,O,X,X,X
IJZSLTO,X,X,O,O,X,X,X,X,X,X,X
IJZSLOT,X,X,O,O,X,X,X,X,X,X,X
IJZSOTL,X,O,O,O,O,X,O,O,X,X,X
IJZSOLT,X,O,O,O,X,X,X,X,X,X,X
IJZOTLS,X,X,O,X,O,X,X,O,X,X,X
IJZOTSL,X,X,O,X,O,X,O,O,X,X,X
IJZOLTS,X,X,O,X,O,X,X,O,X,X,X
IJZOLST,X,X,O,O,X,X,X,X,X,X,X
IJZOSTL,X,O,O,O,O,X,O,O,X,X,X
IJZOSLT,X,O,O,O,X,X,X,X,X,X,X
IJOTLSZ,X,O,O,O,X,X,X,O,X,X,X
IJOTLZS,X,X,O,X,O,X,X,X,X,O,X
IJOTSLZ,X,O,O,O,X,X,O,O,X,X,X
IJOTSZL,X,O,O,O,O,X,O,O,X,X,X
IJOTZLS,X,X,O,X,O,X,X,O,X,O,X
IJOTZSL,X,O,O,X,O,X,X,O,X,X,X
IJOLTSZ,X,O,O,O,X,X,X,O,X,X,X
IJOLTZS,X,O,O,X,O,X,X,X,X,O,X
IJOLSTZ,X,O,O,O,X,X,O,O,X,X,X
IJOLSZT,X,O,O,O,X,X,X,X,X,X,X
IJOLZTS,X,O,O,X,O,X,X,O,X,X,X
IJOLZST,X,O,O,O,X,X,X,X,X,X,X
IJOSTLZ,X,O,O,O,X,O,O,O,X,X,X
IJOSTZL,X,O,O,O,O,O,O,O,X,X,X
IJOSLTZ,X,O,O,O,X,X,O,O,X,X,X
IJOSLZT,X,O,O,O,X,X,X,X,X,X,X
IJOSZTL,X,O,O,O,O,X,O,O,X,X,X
IJOSZLT,X,O,O,O,X,X,X,X,X,X,X
IJOZTLS,X,X,O,X,O,X,X,O,X,X,X
IJOZTSL,X,X,O,X,O,X,O,O,X,X,X
IJOZLTS,X,X,O,X,O,X,X,O,X,X,X
IJOZLST,X,X,O,O,X,X,X,X,X,X,X
IJOZSTL,X,O,O,O,O,X,O,O,X,X,X
IJOZSLT,X,O,O,O,X,X,X,X,X,X,X
ISTLJZO,X,O,X,X,X,O,X,X,O,O,X
ISTLJOZ,O,O,O,X,X,O,X,O,O,X,X
ISTLZJO,O,O,O,X,X,O,X,O,X,O,X
ISTLZOJ,O,O,O,X,X,O,X,O,X,X,X
ISTLOJZ,O,O,O,X,X,O,X,O,O,X,X
ISTLOZJ,O,O,O,X,X,O,O,O,X,X,X
ISTJLZO,X,X,X,X,X,O,X,X,X,O,X
ISTJLOZ,X,O,O,X,X,O,O,O,X,X,X
ISTJZLO,X,X,O,X,X,O,X,O,X,O,X
ISTJZOL,X,O,O,X,O,O,O,O,X,X,X
ISTJOLZ,O,O,O,X,X,O,O,O,X,X,X
ISTJOZL,O,O,O,X,O,O,O,O,X,X,X
ISTZLJO,O,X,O,X,X,O,X,O,X,O,X
ISTZLOJ,O,X,O,X,X,O,O,O,X,X,X
ISTZJLO,X,X,O,X,X,O,X,O,X,O,X
ISTZJOL,O,O,O,X,X,O,O,O,X,X,X
ISTZOLJ,O,O,O,X,O,O,O,O,X,X,X
ISTZOJL,O,O,O,X,O,O,O,O,X,X,X
ISTOLJZ,O,O,O,X,X,O,X,O,O,X,X
ISTOLZJ,O,O,O,X,X,O,O,O,X,X,X
ISTOJLZ,O,O,O,X,X,O,O,O,X,X,X
ISTOJZL,O,O,O,X,O,O,O,O,X,X,X
ISTOZLJ,O,O,O,X,O,O,O,O,X,X,X
ISTOZJL,O,O,O,X,O,O,O,O,X,X,X
ISLTJZO,X,X,X,X,X,O,X,X,O,O,X
ISLTJOZ,X,O,O,X,X,O,X,O,O,X,X
ISLTZJO,X,X,O,X,X,O,X,O,X,O,X
ISLTZOJ,X,X,O,X,X,O,X,O,X,X,X
ISLTOJZ,X,O,O,X,X,O,X,O,O,X,X
ISLTOZJ,X,X,O,X,X,O,O,O,X,X,X
ISLJTZO,X,X,X,X,X,X,X,X,X,O,X
ISLJTOZ,X,O,O,X,X,X,O,X,X,X,X
ISLJZTO,X,X,O,X,X,X,X,X,X,X,X
ISLJZOT,X,O,O,X,X,X,X,X,X,X,X
ISLJOTZ,X,O,O,X,X,X,O,O,X,X,X
ISLJOZT,X,O,O,X,X,X,X,X,X,X,X
ISLZTJO,X,X,O,X,X,X,X,X,X,X,X
ISLZTOJ,X,X,O,X,X,X,X,X,X,X,X
ISLZJTO,X,X,O,X,X,X,X,X,X,X,X
ISLZJOT,X,O,O,X,X,X,X,X,X,X,X
ISLZOTJ,X,X,O,X,X,X,X,X,X,X,X
ISLZOJT,X,O,O,X,X,X,X,X,X,X,X
ISLOTJZ,O,O,O,X,X,O,X,O,O,X,X
ISLOTZJ,O,O,O,X,X,O,O,O,X,X,X
ISLOJTZ,X,O,O,X,X,X,O,O,X,X,X
ISLOJZT,X,O,O,X,X,X,X,X,X,X,X
ISLOZTJ,X,X,O,X,X,X,X,X,X,X,X
ISLOZJT,X,O,O,X,X,X,X,X,X,X,X
ISJTLZO,X,X,X,O,X,O,X,X,X,O,X
ISJTLOZ,X,X,O,O,X,O,O,O,X,X,X
ISJTZLO,X,X,O,X,X,O,O,O,X,O,X
ISJTZOL,X,X,O,O,O,O,O,O,X,X,X
ISJTOLZ,X,O,O,O,X,O,O,O,X,X,X
ISJTOZL,X,O,O,O,O,O,O,O,X,X,X
ISJLTZO,X,X,X,O,X,X,X,X,X,O,X
ISJLTOZ,X,X,O,O,X,X,O,X,X,X,X
ISJLZTO,X,X,O,O,X,X,X,X,X,X,X
ISJLZOT,X,X,O,O,X,X,X,X,X,X,X
ISJLOTZ,X,O,O,O,X,X,O,O,X,X,X
ISJLOZT,X,O,O,O,X,X,X,X,X,X,X
ISJZTLO,X,X,O,X,X,X,O,O,X,X,X
ISJZTOL,X,X,O,O,O,X,O,O,X,X,X
ISJZLTO,X,X,O,O,X,X,X,X,X,X,X
ISJZLOT,X,X,O,O,X,X,X,X,X,X,X
ISJZOTL,X,O,O,O,O,X,O,O,X,X,X
ISJZOLT,X,O,O,O,X,X,X,X,X,X,X
ISJOTLZ,O,O,O,O,X,O,O,O,X,X,X
ISJOTZL,O,O,O,O,O,O,O,O,X,X,X
ISJOLTZ,X,O,O,O,X,X,O,O,X,X,X
ISJOLZT,X,O,O,O,X,X,X,X,X,X,X
ISJOZTL,X,O,O,O,O,X,O,O,X,X,X
ISJOZLT,X,O,O,O,X,X,X,X,X,X,X
ISZTLJO,X,X,O,X,X,O,X,O,X,X,X
ISZTLOJ,X,X,O,X,X,O,O,O,X,X,X
ISZTJLO,X,X,O,X,X,O,X,O,X,X,X
ISZTJOL,X,X,O,X,X,O,O,O,X,X,X
ISZTOLJ,X,X,O,X,O,O,O,O,X,X,X
ISZTOJL,X,X,O,X,O,O,O,O,X,X,X
ISZLTJO,X,X,O,X,X,X,X,X,X,X,X
ISZLTOJ,X,X,O,X,X,X,X,X,X,X,X
ISZLJTO,X,X,O,X,X,X,X,X,X,X,X
ISZLJOT,X,X,O,X,X,X,X,X,X,X,X
ISZLOTJ,X,X,O,X,X,X,X,X,X,X,X
ISZLOJT,X,X,O,X,X,X,X,X,X,X,X
ISZJTLO,X,X,O,X,X,X,X,O,X,X,X
ISZJTOL,X,X,O,X,X,X,O,O,X,X,X
ISZJLTO,X,X,O,X,X,X,X,X,X,X,X
ISZJLOT,X,X,O,X,X,X,X,X,X,X,X
ISZJOTL,X,O,O,X,X,X,O,O,X,X,X
ISZJOLT,X,O,O,X,X,X,X,X,X,X,X
ISZOTLJ,O,O,O,X,O,O,O,O,X,X,X
ISZOTJL,O,O,O,X,O,O,O,O,X,X,X
ISZOLTJ,X,X,O,X,X,X,X,X,X,X,X
ISZOLJT,X,O,O,X,X,X,X,X,X,X,X
ISZOJTL,X,O,O,X,X,X,O,O,X,X,X
ISZOJLT,X,O,O,X,X,X,X,X,X,X,X
ISOTLJZ,O,O,O,X,X,O,X,O,O,X,X
ISOTLZJ,O,O,O,X,X,O,O,O,X,X,X
ISOTJLZ,O,O,O,X,X,O,O,O,X,X,X
ISOTJZL,O,O,O,X,O,O,O,O,X,X,X
ISOTZLJ,O,O,O,X,O,O,O,O,X,X,X
ISOTZJL,O,O,O,X,O,O,O,O,X,X,X
ISOLTJZ,O,O,O,X,X,O,X,O,O,X,X
ISOLTZJ,O,O,O,X,X,O,O,O,X,X,X
ISOLJTZ,X,O,O,X,X,X,O,O,X,X,X
ISOLJZT,X,O,O,X,X,X,X,X,X,X,X
ISOLZTJ,X,X,O,X,X,X,X,X,X,X,X
ISOLZJT,X,O,O,X,X,X,X,X,X,X,X
ISOJTLZ,O,O,O,O,X,O,O,O,X,X,X
ISOJTZL,O,O,O,O,O,O,O,O,X,X,X
ISOJLTZ,X,O,O,O,X,X,O,O,X,X,X
ISOJLZT,X,O,O,O,X,X,X,X,X,X,X
ISOJZTL,X,O,O,O,O,X,O,O,X,X,X
ISOJZLT,X,O,O,O,X,X,X,X,X,X,X
ISOZTLJ,O,O,O,X,O,O,O,O,X,X,X
ISOZTJL,O,O,O,X,O,O,O,O,X,X,X
ISOZLTJ,X,X,O,X,X,X,X,X,X,X,X
ISOZLJT,X,O,O,X,X,X,X,X,X,X,X
ISOZJTL,X,O,O,X,X,X,O,O,X,X,X
ISOZJLT,X,O,O,X,X,X,X,X,X,X,X
IZTLJSO,O,X,O,X,X,X,X,O,X,O,O
IZTLJOS,O,X,O,X,X,X,X,O,X,O,O
IZTLSJO,O,X,X,X,X,X,X,O,X,O,X
IZTLSOJ,O,X,O,X,X,X,X,O,X,X,X
IZTLOJS,O,X,O,X,O,X,X,O,X,O,O
IZTLOSJ,O,X,O,X,O,X,X,O,X,X,X
IZTJLSO,X,X,O,X,X,X,X,O,X,O,X
IZTJLOS,X,X,O,X,O,X,X,O,X,O,X
IZTJSLO,X,X,O,X,X,X,X,O,X,O,X
IZTJSOL,O,X,O,X,O,X,X,O,X,X,X
IZTJOLS,X,X,O,X,O,X,X,O,X,O,X
IZTJOSL,O,X,O,X,O,X,X,O,X,X,X
IZTSLJO,O,X,O,X,X,X,X,O,X,O,X
IZTSLOJ,O,X,O,X,X,X,X,O,X,X,X
IZTSJLO,X,X,O,X,X,X,X,O,X,O,X
IZTSJOL,O,X,O,X,X,X,X,O,X,X,X
IZTSOLJ,O,X,O,X,O,X,X,O,X,X,X
IZTSOJL,O,X,O,X,O,X,X,O,X,X,X
IZTOLJS,O,X,O,X,O,X,X,O,X,O,O
IZTOLSJ,O,X,O,X,O,X,X,O,X,X,X
IZTOJLS,X,X,O,X,O,X,X,O,X,O,X
IZTOJSL,O,X,O,X,O,X,O,O,X,X,X
IZTOSLJ,O,X,O,X,O,X,O,O,X,X,X
IZTOSJL,O,X,O,X,O,X,O,O,X,X,X
IZLTJSO,O,X,O,X,X,X,X,O,X,O,O
IZLTJOS,O,X,O,X,X,X,X,O,X,O,O
IZLTSJO,O,X,X,X,X,X,X,O,X,O,X
IZLTSOJ,O,X,O,X,X,X,X,O,X,X,X
IZLTOJS,O,X,O,X,O,X,X,O,X,O,O
IZLTOSJ,O,X,O,X,O,X,X,O,X,X,X
IZLJTSO,X,X,O,X,X,X,X,O,X,O,X
IZLJTOS,X,X,O,X,X,X,X,O,X,O,X
IZLJSTO,X,X,O,X,X,X,X,X,X,X,X
IZLJSOT,X,X,O,X,X,X,X,X,X,X,X
IZLJOTS,X,X,O,X,X,X,X,O,X,X,X
IZLJOST,X,X,O,X,X,X,X,X,X,X,X
IZLSTJO,X,X,O,X,X,X,X,X,X,X,X
IZLSTOJ,X,X,O,X,X,X,X,X,X,X,X
IZLSJTO,X,X,O,X,X,X,X,X,X,X,X
IZLSJOT,X,X,O,X,X,X,X,X,X,X,X
IZLSOTJ,X,X,O,X,X,X,X,X,X,X,X
IZLSOJT,X,X,O,X,X,X,X,X,X,X,X
IZLOTJS,O,X,O,X,O,X,X,O,X,X,O
IZLOTSJ,O,X,O,X,O,X,X,O,X,X,X
IZLOJTS,X,X,O,X,X,X,X,O,X,X,X
IZLOJST,X,X,O,X,X,X,X,X,X,X,X
IZLOSTJ,X,X,O,X,X,X,X,X,X,X,X
IZLOSJT,X,X,O,X,X,X,X,X,X,X,X
IZJTLSO,X,X,O,X,X,X,X,O,X,O,X
IZJTLOS,X,X,O,X,O,X,X,O,X,O,X
IZJTSLO,X,X,O,X,X,X,X,O,X,O,X
IZJTSOL,X,X,O,X,O,X,X,O,X,X,X
IZJTOLS,X,X,O,X,O,X,X,O,X,O,X
IZJTOSL,X,X,O,X,O,X,O,O,X,X,X
IZJLTSO,X,X,O,X,X,X,X,O,X,O,X
IZJLTOS,X,X,O,X,O,X,X,O,X,O,X
IZJLSTO,X,X,O,O,X,X,X,X,X,X,X
IZJLSOT,X,X,O,O,X,X,X,X,X,X,X
IZJLOTS,X,X,O,X,O,X,X,O,X,X,X
IZJLOST,X,X,O,O,X,X,X,X,X,X,X
IZJSTLO,X,X,O,X,X,X,O,O,X,X,X
IZJSTOL,X,X,O,O,O,X,O,O,X,X,X
IZJSLTO,X,X,O,O,X,X,X,X,X,X,X
IZJSLOT,X,X,O,O,X,X,X,X,X,X,X
IZJSOTL,X,X,O,O,O,X,O,O,X,X,X
IZJSOLT,X,X,O,O,X,X,X,X,X,X,X
IZJOTLS,X,X,O,X,O,X,X,O,X,X,X
IZJOTSL,X,X,O,X,O,X,O,O,X,X,X
IZJOLTS,X,X,O,X,O,X,X,O,X,X,X
IZJOLST,X,X,O,O,X,X,X,X,X,X,X
IZJOSTL,X,X,O,O,O,X,O,O,X,X,X
IZJOSLT,X,X,O,O,X,X,X,X,X,X,X
IZSTLJO,X,X,O,X,X,O,X,O,X,X,X
IZSTLOJ,X,X,O,X,X,O,O,O,X,X,X
IZSTJLO,X,X,O,X,X,O,X,O,X,X,X
IZSTJOL,X,X,O,X,X,O,O,O,X,X,X
IZSTOLJ,X,X,O,X,O,O,O,O,X,X,X
IZSTOJL,X,X,O,X,O,O,O,O,X,X,X
IZSLTJO,X,X,O,X,X,X,X,X,X,X,X
IZSLTOJ,X,X,O,X,X,X,X,X,X,X,X
IZSLJTO,X,X,O,X,X,X,X,X,X,X,X
IZSLJOT,X,X,O,X,X,X,X,X,X,X,X
IZSLOTJ,X,X,O,X,X,X,X,X,X,X,X
IZSLOJT,X,X,O,X,X,X,X,X,X,X,X
IZSJTLO,X,X,O,X,X,X,X,O,X,X,X
IZSJTOL,X,X,O,X,X,X,O,O,X,X,X
IZSJLTO,X,X,O,X,X,X,X,X,X,X,X
IZSJLOT,X,X,O,X,X,X,X,X,X,X,X
IZSJOTL,X,X,O,X,X,X,O,O,X,X,X
IZSJOLT,X,X,O,X,X,X,X,X,X,X,X
IZSOTLJ,X,X,O,X,O,O,O,O,X,X,X
IZSOTJL,X,X,O,X,O,O,O,O,X,X,X
IZSOLTJ,X,X,O,X,X,X,X,X,X,X,X
IZSOLJT,X,X,O,X,X,X,X,X,X,X,X
IZSOJTL,X,X,O,X,X,X,O,O,X,X,X
IZSOJLT,X,X,O,X,X,X,X,X,X,X,X
IZOTLJS,O,X,O,X,O,X,X,O,X,X,O
IZOTLSJ,O,X,O,X,O,X,X,O,X,X,X
IZOTJLS,X,X,O,X,O,X,X,O,X,X,X
IZOTJSL,O,X,O,X,O,X,O,O,X,X,X
IZOTSLJ,O,X,O,X,O,X,O,O,X,X,X
IZOTSJL,O,X,O,X,O,X,O,O,X,X,X
IZOLTJS,O,X,O,X,O,X,X,O,X,X,O
IZOLTSJ,O,X,O,X,O,X,X,O,X,X,X
IZOLJTS,X,X,O,X,X,X,X,O,X,X,X
IZOLJST,X,X,O,X,X,X,X,X,X,X,X
IZOLSTJ,X,X,O,X,X,X,X,X,X,X,X
IZOLSJT,X,X,O,X,X,X,X,X,X,X,X
IZOJTLS,X,X,O,X,O,X,X,O,X,X,X
IZOJTSL,X,X,O,X,O,X,O,O,X,X,X
IZOJLTS,X,X,O,X,O,X,X,O,X,X,X
IZOJLST,X,X,O,O,X,X,X,X,X,X,X
IZOJSTL,X,X,O,O,O,X,O,O,X,X,X
IZOJSLT,X,X,O,O,X,X,X,X,X,X,X
IZOSTLJ,X,X,O,X,O,O,O,O,X,X,X
IZOSTJL,X,X,O,X,O,O,O,O,X,X,X
IZOSLTJ,X,X,O,X,X,X,X,X,X,X,X
