sequence,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhFygBzcBGeB0mBln?B3sB,v115@9gB8HeD8EeF8CeH8BeB8Jem6IvhFzbBRdBSjBlmB3n?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhFygBGdBTeBlmB3n?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jem6IvhFzbBRdBSjB3hBln?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhF0cBTeBmgBfsBln?B6sB,v115@9gB8HeD8EeF8CeH8BeB8Jem6IvhFfhBxcBTeBCiBln?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhFygBGdBTeB3hBln?BUsB
TJZOILS,O,X,X,O,X,O,O
TJZOISL,O,X,X,X,X,O,X
TJZOLIS,O,X,X,O,X,O,O
TJZOLSI,O,X,X,O,X,O,X
TJZOSIL,O,O,X,O,X,O,O
TJZOSLI,O,O,X,O,X,O,O
TJOILSZ,X,X,O,O,X,O,O
TJOILZS,O,X,X,O,X,X,O
TJOISLZ,X,O,O,X,O,O,O
TJOISZL,X,O,O,X,O,O,O
TJOIZLS,O,X,X,X,X,X,O
TJOIZSL,O,X,X,X,X,X,X
TJOLISZ,X,O,O,O,X,O,O
TJOLIZS,O,X,X,O,X,X,O
TJOLSIZ,X,O,O,O,X,O,O
TJOLSZI,X,O,O,O,X,O,O
TJOLZIS,O,X,X,O,X,X,O
TJOLZSI,O,X,X,O,X,O,X
TJOSILZ,X,O,O,O,O,O,O
TJOSIZL,X,O,O,O,O,O,O
TJOSLIZ,X,O,O,O,O,O,O
TJOSLZI,X,O,O,O,O,O,O
TJOSZIL,X,O,O,O,O,O,O
TJOSZLI,X,O,O,O,O,O,O
TJOZILS,O,X,X,O,X,O,O
TJOZISL,O,X,X,X,X,O,X
TJOZLIS,O,X,X,O,X,O,O
TJOZLSI,O,X,X,O,X,O,X
TJOZSIL,O,O,X,O,X,O,O
TJOZSLI,O,O,X,O,X,O,O
TSILJZO,O,O,O,O,O,O,O
TSILJOZ,X,O,O,O,O,O,O
TSILZJO,O,O,O,O,X,O,O
TSILZOJ,O,O,O,O,X,O,O
TSILOJZ,X,O,O,O,O,O,O
TSILOZJ,X,O,O,O,X,O,O
TSIJLZO,O,O,O,O,O,O,O
TSIJLOZ,X,O,O,O,O,O,O
TSIJZLO,O,O,O,O,O,O,O
TSIJZOL,O,O,O,O,O,O,O
TSIJOLZ,X,O,O,O,O,O,O
TSIJOZL,X,O,O,O,O,O,O
TSIZLJO,O,O,O,O,X,O,O
TSIZLOJ,O,O,O,O,X,O,O
TSIZJLO,O,O,O,O,O,O,O
TSIZJOL,O,O,O,O,O,O,O
TSIZOLJ,O,O,O,O,X,O,O
TSIZOJL,O,O,O,O,O,O,O
TSIOLJZ,X,O,O,O,O,O,O
TSIOLZJ,X,O,O,O,X,O,O
TSIOJLZ,X,O,O,O,O,O,O
TSIOJZL,X,O,O,O,O,O,O
TSIOZLJ,X,O,O,O,X,X,O
TSIOZJL,X,O,O,O,O,O,O
TSLIJZO,O,O,O,O,O,O,O
TSLIJOZ,X,O,O,O,O,O,O
TSLIZJO,O,O,O,O,X,O,O
TSLIZOJ,O,O,O,O,X,O,O
TSLIOJZ,X,O,O,O,O,O,O
TSLIOZJ,X,O,O,O,X,O,O
TSLJIZO,O,O,O,O,O,O,O
TSLJIOZ,X,O,O,O,O,O,O
TSLJZIO,O,O,O,O,O,O,O
TSLJZOI,O,O,O,O,O,O,O
TSLJOIZ,X,O,O,O,O,O,O
TSLJOZI,X,O,O,O,O,O,O
TSLZIJO,O,O,O,O,X,O,O
TSLZIOJ,O,O,O,O,X,O,O
TSLZJIO,O,O,O,O,X,O,O
TSLZJOI,O,O,O,O,X,O,O
TSLZOIJ,O,O,O,O,X,O,O
TSLZOJI,O,O,O,O,X,O,O
TSLOIJZ,X,O,O,O,O,O,O
TSLOIZJ,X,O,O,O,X,O,O
TSLOJIZ,X,O,O,O,O,O,O
TSLOJZI,X,O,O,O,O,O,O
TSLOZIJ,X,O,O,O,X,O,O
TSLOZJI,X,O,O,O,X,O,O
TSJILZO,O,O,O,O,O,O,O
TSJILOZ,X,O,O,O,O,O,O
TSJIZLO,O,O,O,O,O,O,O
TSJIZOL,O,O,O,O,O,O,O
TSJIOLZ,X,O,O,O,O,O,O
TSJIOZL,X,O,O,O,O,O,O
TSJLIZO,O,O,O,O,O,O,O
TSJLIOZ,X,O,O,O,O,O,O
TSJLZIO,O,O,O,O,O,O,O
TSJLZOI,O,O,O,O,O,O,O
TSJLOIZ,X,O,O,O,O,O,O
TSJLOZI,X,O,O,O,O,O,O
TSJZILO,O,O,O,O,O,O,O
TSJZIOL,O,O,O,O,O,O,O
TSJZLIO,O,O,O,O,O,O,O
TSJZLOI,O,O,O,O,O,O,O
TSJZOIL,O,O,O,O,O,O,O
TSJZOLI,O,O,O,O,O,O,O
TSJOILZ,X,O,O,O,O,O,O
TSJOIZL,X,O,O,O,O,O,O
TSJOLIZ,X,O,O,O,O,O,O
TSJOLZI,X,O,O,O,O,O,O
TSJOZIL,X,O,O,O,O,O,O
TSJOZLI,X,O,O,O,O,O,O
TSZILJO,O,O,O,O,X,O,O
TSZILOJ,O,O,O,O,X,O,O
TSZIJLO,O,O,O,O,O,O,O
TSZIJOL,O,O,O,O,O,O,O
TSZIOLJ,O,O,O,O,X,O,O
TSZIOJL,O,O,O,O,O,O,O
TSZLIJO,O,O,O,O,X,O,O
TSZLIOJ,O,O,O,O,X,O,O
TSZLJIO,O,O,O,O,X,O,O
TSZLJOI,O,O,O,O,X,O,O
TSZLOIJ,O,O,O,O,X,O,O
TSZLOJI,O,O,O,O,X,O,O
TSZJILO,O,O,O,O,O,O,O
TSZJIOL,O,O,O,O,O,O,O
TSZJLIO,O,O,O,O,O,O,O
TSZJLOI,O,O,O,O,O,O,O
TSZJOIL,O,O,O,O,O,O,O
TSZJOLI,O,O,O,O,O,O,O
TSZOILJ,O,O,O,O,X,O,O
TSZOIJL,O,O,O,O,O,O,O
TSZOLIJ,O,O,O,O,X,O,O
TSZOLJI,O,O,O,O,X,O,O
TSZOJIL,O,O,O,O,O,O,O
TSZOJLI,O,O,O,O,O,O,O
TSOILJZ,X,O,O,O,O,O,O
TSOILZJ,X,O,O,O,X,O,O
TSOIJLZ,X,O,O,O,O,O,O
TSOIJZL,X,O,O,O,O,O,O
TSOIZLJ,X,O,O,O,X,X,O
TSOIZJL,X,O,O,O,O,O,O
TSOLIJZ,X,O,O,O,O,O,O
TSOLIZJ,X,O,O,O,X,O,O
TSOLJIZ,X,O,O,O,O,O,O
TSOLJZI,X,O,O,O,O,O,O
TSOLZIJ,X,O,O,O,X,O,O
TSOLZJI,X,O,O,O,X,O,O
TSOJILZ,X,O,O,O,O,O,O
TSOJIZL,X,O,O,O,O,O,O
TSOJLIZ,X,O,O,O,O,O,O
TSOJLZI,X,O,O,O,O,O,O
TSOJZIL,X,O,O,O,O,O,O
TSOJZLI,X,O,O,O,O,O,O
TSOZILJ,X,O,O,O,X,O,O
TSOZIJL,X,O,O,O,O,O,O
TSOZLIJ,X,O,O,O,X,O,O
TSOZLJI,X,O,O,O,X,O,O
TSOZJIL,X,O,O,O,O,O,O
TSOZJLI,X,O,O,O,O,O,O
TZILJSO,O,X,X,O,X,O,O
TZILJOS,O,X,X,O,X,O,O
TZILSJO,O,X,O,O,X,O,O
TZILSOJ,O,X,O,O,X,O,O
TZILOJS,O,X,X,O,X,O,O
TZILOSJ,O,X,O,O,X,O,O
TZIJLSO,O,X,X,O,X,O,O
TZIJLOS,O,X,X,O,X,O,O
TZIJSLO,O,X,X,O,X,O,O
TZIJSOL,O,X,X,O,X,O,O
TZIJOLS,O,X,X,O,X,O,O
TZIJOSL,O,X,X,X,X,O,O
TZISLJO,O,X,O,O,X,O,O
TZISLOJ,O,X,O,O,X,O,O
TZISJLO,O,X,O,O,X,O,O
TZISJOL,O,X,O,O,X,O,O
TZISOLJ,O,X,O,O,X,O,O
TZISOJL,O,X,O,O,X,O,O
TZIOLJS,O,X,X,O,X,O,O
TZIOLSJ,O,X,O,O,X,O,O
TZIOJLS,O,X,X,O,X,O,O
TZIOJSL,O,X,X,X,X,O,O
TZIOSLJ,O,X,O,X,X,O,O
TZIOSJL,O,X,O,X,X,O,O
TZLIJSO,O,X,X,O,X,O,O
TZLIJOS,O,X,X,O,X,O,O
TZLISJO,O,X,O,O,X,O,O
TZLISOJ,O,X,O,O,X,O,O
TZLIOJS,O,X,X,O,X,O,O
TZLIOSJ,O,X,O,O,X,O,O
TZLJISO,O,X,X,O,X,O,O
TZLJIOS,O,X,X,O,X,O,O
TZLJSIO,O,X,X,O,X,O,O
TZLJSOI,O,X,X,O,X,O,O
TZLJOIS,O,X,X,O,X,O,O
TZLJOSI,O,X,X,O,X,O,O
TZLSIJO,O,X,O,O,X,O,O
TZLSIOJ,O,X,O,O,X,O,O
TZLSJIO,O,X,O,O,X,O,O
TZLSJOI,O,X,O,O,X,O,O
TZLSOIJ,O,X,O,O,X,O,O
