sequence,v115@vhH39IcjBOpByrBtsB+tBzpBRwB,v115@vhH//IUbBKpBdqBWrBToBWyBRwB,v115@vhH/BJcjBOpByrBtsB+tBzpBRwB,v115@vhH//IchBKpBdqBWrBToBWyBRwB,v115@vhH6+IZjBXiB9sB+tBTpB2vB0rB,v115@vhHK6IcjB/lBOpBtsB+tBzpBRwB,v115@vhH++I/fBcnBKpBdqBToBWyBRwB,v115@vhHO6I3dBcjBTkBtsB+tByuBRwB,v115@vhHX5IcjBOpByrBtsB+tBzpBRwB,v115@vhH01I/fBKpBdqBWrBToBWyBRwB,v115@vhHT1IcjB/kBalBtsB+tB2uBRwB,v115@vhHT5I/fBGjBKpBdqBUoBWyBRwB,v115@vhHO6IfgBcjBTkBtsB+tByuBRwB,v115@vhHO6IXZBcjBTkBtsB+tByuBRwB,v115@vhHi1I+eBcfBdlB+tBTpB3qBRsB,v115@vhHK6IXZBcjBOpBtsB+tBzpBRwB,v115@vhH01I+eB/fBKpBdqBToBWyBRwB,v115@vhH+7IXhBKoB9rBTnB2uB0qBxxB,v115@vhHK6I3dBcjBOpBtsB+tBzpBRwB,v115@vhH++I/fBUbBKpBdqBToBWyBRwB,v115@vhHT1I3dBcjBifBtsB+tB2uBRwB,v115@vhHT1IXZBcjBifBtsB+tB2uBRwB,v115@vhHK6IOpBTlBNrBUnB/tBWvBRxB,v115@vhHT1I/kBalBtqB0mB+tB2uBxwB,v115@vhHq6IUhB+oBzkBtqB2uB3rBxxB,v115@vhHe+IZkB3hBdsBznBWvBUrBSyB,v115@vhH01ITZB/fB+oBKpBdqBWyBRwB,v115@vhHO/IUhB5oBzkBtqB2uB3rByxB,v115@vhH38I0fBtlB2pBasBTrBGtBxuB,v115@vhHU8IymBTjBtqBWtB2uB3rBxxB,v115@vhHi1IcfBdlB5oB+rBTpB3qBmsB,v115@vhHG5I/jBZkBtnBKrBGqBUsBTtB,v115@vhHX5IcjBifBzkBtsB+tB2uBRwB,v115@vhH01I/fBziB+oBKpBdqBWyBRwB,v115@vhHX5IcjBmfBTkBtsB+tByuBRwB,v115@vhH37IWlBTjBKpBdrBUqBGtBRxB,v115@vhHX5IKfBcjBOqBtsB+tBTpBRwB,v115@vhHu6IzkBtqB0mBftB6tB2uBxwB,v115@vhHT1IdgB/kBRmB+sB6tB2uB0qB,v115@vhHq7IcjB/lBOpBtsB+tBzpBRwB,v115@vhHe9I/fBcnBKpBdqBToBWyBRwB,v115@vhHeAJaoBcqB3mB9sB+tBTpBRwB,v115@vhHq7IcjB/kBTlBtsB+tB2uBRwB,v115@vhHi3IzcBUhB+oBtqB2uB3rBxxB,v115@vhHT3IedBUhB5oBtqB2uB3rByxB,v115@vhHG3IzbBZkB3hBdsBWvBUrBSyB,v115@vhH01I/fB+jBKpBdqBGsBTtBRwB,v115@vhH+DJanBcpB3lB9rB+sBTtBRvB,v115@vhHi1IcfBGeBdlB+tBTpB3qBRsB,v115@vhHKDJThBmkBtqB0nB2uB3rBxxB,v115@vhHKDJThBmkBtqBXnB2uBUtBxwB,v115@vhH+/IaoBcqB3mB9sB+tBTpBRwB,v115@vhHK/IOoBcqB3mB9sB+tBTpBRwB,v115@vhH/DJZkBCgBtnB2qBWvBUsBTtB,v115@vhHe+IOpB8pBXmBdsBznBSyBxvB,v115@vhHK6IXZBcjBTkBtsB+tB2wBxuB,v115@vhHX5IcjBZkBzkBtsB+tBSvB2wB,v115@vhHX5IcjB2kBtsB+tBTpBiqBRwB,v115@vhHT5I2mB8nB5oBtqB2uB3rByxB,v115@vhHT2I/kBalBtqB0mB+tB2uBxwB,v115@vhHX5IcjBTfBypBtsB+tB2wBxuB,v115@vhHG+I/kBNnBUjB2uBxqBSxBTtB,v115@vhHx3I3cBdnBcqBerBStBTpBWxB,v115@vhH/6I2kB8lB5oB9rBTpB2vByxB,v115@vhH++I8fBZkB9lB+tBzpBXrBisB,v115@vhHi3IUhB+oBzkBtqB2uB3rBxxB,v115@vhHG3IZkB3hBdsBznBWvBUrBSyB
SITZOJL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
SITOLJZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
SITOLZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X
SITOJLZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X
SITOJZL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
SITOZLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
SITOZJL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X
SILTJZO,X,O,X,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
SILTJOZ,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
SILTZJO,X,O,X,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
SILTZOJ,X,O,X,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
SILTOJZ,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
SILTOZJ,X,O,X,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X
SILJTZO,X,O,X,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
SILJTOZ,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X
SILJZTO,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,O,O,O,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,X,X,O,X
SILJZOT,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,O,O,O,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,X,O,X,O,O,X
SILJOTZ,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,O,X,X
SILJOZT,X,O,X,X,X,X,O,X,X,O,O,X,X,X,O,X,O,X,X,O,O,O,O,X,X,X,O,X,X,O,O,X,O,O,X,X,X,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,O,O,O,O,O,X,O,X,X
SILZTJO,X,O,X,O,X,X,O,O,X,O,X,O,X,O,X,X,O,O,X,O,X,X,O,X,O,O,O,O,X,O,X,X,X,O,O,X,X,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,O,O
SILZTOJ,X,O,X,O,X,X,O,O,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,X,O,O,O,O,X,O,X,X,X,O,O,X,X,O,O,O,O,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,O,O,O,O,O,X,X,X,X,O,O
SILZJTO,X,O,X,X,X,X,O,O,X,O,O,O,X,O,X,X,O,O,X,O,X,X,O,O,O,O,O,O,X,O,X,X,X,O,O,O,X,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,X,X,O,O
SILZJOT,X,O,X,X,X,X,O,O,X,O,O,O,X,O,X,X,O,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,O,O,X,X,O,O,O,X,X,O,O,O,O,X,X,O,O,X,X,O,X,X,O,O,O,O,O,X,O,X,O,O,O
SILZOTJ,X,O,X,O,X,X,O,O,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X,O,O,X,X,O,O,O,O,O,X,O,O,O,O,O,X,O,O,O,O,O,X,X,O,O,O,O,O,O,X,O,O,O,O
SILZOJT,X,O,X,X,X,O,O,O,X,O,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,O,X,X,O,X,O,X,O,O,O,X,X,O,O,O,O,X,O,O,O,O,O,X,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O
SILOTJZ,X,O,X,O,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X
SILOTZJ,X,O,X,O,X,X,O,X,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X
SILOJTZ,X,O,X,O,X,O,O,X,X,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,O,O,X,X
SILOJZT,X,O,X,X,X,O,O,O,X,O,O,X,O,O,O,X,O,X,X,O,O,O,O,X,X,X,O,X,X,O,O,O,O,O,O,X,X,X,O,O,O,X,O,X,X,X,O,O,O,X,X,O,O,O,X,X,O,O,O,O,O,O,O,O,O,X,X
SILOZTJ,X,O,X,O,X,X,O,O,X,O,X,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,O,O,X,O,O,O,X,O,O,X,X,O,O,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,X,O,O,X,X
SILOZJT,X,O,X,X,X,O,O,O,X,O,O,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,O,O,X,O,O,O,X,X,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,X,X
SIJTLZO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
SIJTLOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X
SIJTZLO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X
SIJTZOL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X
SIJTOLZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X
SIJTOZL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
SIJLTZO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
SIJLTOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X
SIJLZTO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,X,X,O,X
SIJLZOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,O,X,O,X,O,O,X
SIJLOTZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,O,X,X
SIJLOZT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O,O,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,O,O,O,O,O,X,O,X,X
SIJZTLO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,O,X
SIJZTOL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,O,X
SIJZLTO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,O,X,X,O,X
SIJZLOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,O,O,X,X,O,O,O,X,X,X,X,O,O,X,X,O,X,O,O,X,O,O,O,X,O,X,O,O,X
SIJZOTL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O,O,X,O,O,O,O,X,X,O,O,O,O,O,O,O,X,O,X,X,X,O,O,X,O,X,O,O,X
SIJZOLT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X,O,O,X,O,O,O,O,X,X,O,O,O,O,O,O,O,X,O,O,X,O,O,O,X,O,X,O,O,X
SIJOTLZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X
SIJOTZL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
SIJOLTZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,O,X,X
SIJOLZT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O,O,X,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,O,O,X,X,O,O,O,X,O,X,X,O,O,X,O,O,X,O,X,X
SIJOZTL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X,O,O,O,O,O,O,O,X,O,X,X,X,O,X,O,O,X,O,O,X
SIJOZLT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X,O,O,O,O,O,O,O,X,O,X,X,O,O,X,O,O,X,O,O,X
SIZTLJO,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,O
SIZTLOJ,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,O,O
SIZTJLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,O,O
SIZTJOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,O,X
SIZTOLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,O,X,O,O,O,X,O,X,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X
SIZTOJL,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,O,X,O,O,O,X,O,X,O,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,O,X
SIZLTJO,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X,X,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,O,O
SIZLTOJ,X,X,X,X,X,X,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X,O,O,O,O,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,O,O,O,O,O,X,X,X,X,O,O
SIZLJTO,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,O,X,X,O,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,O,X,X,O,O
SIZLJOT,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,O,O,O,X,X,O,O,O,X,X,X,O,O,X,X,O,X,O,O,O,O,O,O,X,O,X,O,O,O
SIZLOTJ,X,X,X,X,X,X,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O,X,O,O,O,O,O,O,X,O,O,O,X,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O
SIZLOJT,O,X,X,X,X,O,O,O,O,X,O,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,O,O,O,O,X,O,O,O,X,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O
SIZJTLO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,O,O
SIZJTOL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,O,X
SIZJLTO,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X,O,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,O,X,X,O,O
SIZJLOT,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,O,O,O,X,O,O,O,O,X,X,X,O,O,X,X,O,X,O,O,O,O,O,O,X,O,X,O,O,O
SIZJOTL,O,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,O,X
SIZJOLT,O,X,X,X,X,O,X,X,O,X,O,O,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,X,O,O,O
SIZOTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,X,O,X,O,X,X,X,O,X,X,O,O,X
SIZOTJL,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,X,O,X,O,X,X,X,O,O,X,O,O,X
SIZOLTJ,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,O,O,X,X,O,X,O,O,O,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O
SIZOLJT,O,X,X,X,X,O,O,O,O,X,O,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O
SIZOJTL,O,X,O,X,X,O,X,X,O,X,O,X,X,X,O,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,O,O,O,X,X,X,O,X,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,O,X
SIZOJLT,O,X,X,X,X,O,O,X,O,X,O,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,O,O,O,O,X,X,X,O,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O
SIOTLJZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
SIOTLZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X
SIOTJLZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X
SIOTJZL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
SIOTZLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
